playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,groundDuelsLost,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,goals,awayGoals,iboxTarget,shotsOnTargetInBox,homeGoals,headedGoals,cornersTakenInclShortCorners,penaltiesConceded,ownGoalScored,clearancesOffTheLine,secondGoalAssists,unsuccessfulCornersIntoBox,successfulCornersIntoBox,leftFootGoals,freekickTotal,attemptsFromSetPieces,hitWoodwork,expectedGoalsFreekick,foulWonPenalty,rightFootGoals,penaltiesTaken,unsuccessfulLayoffs,penaltyGoals
153366,Harrison Reed,Midfielder,Fulham,England,2024-25,13.0,,0.1025,0.0,,6.0,,8.0,12.0,,,10.0,48.0,,,4.0,,,92.0,3.0,9.0,,4.0,8.0,38.0,,,1.0,4.5667,1.0,,2.0,3.0,12.0,,2.0,0.0,22.0,1.0,,13.0,10.0,12.0,,,26.0,3.0,18.0,1.0,0.0,,44.0,21.0,3.0,,,8.0,,81.0,1.0,13.0,,2.0,2.0,1.0,,,2.0,,0.6535,3.0,,1.0,2.0,,,12.0,1.0,1.0,5.0,,,10.0,1.0,3.0,1.0,5.0,3.0,,1.0,1.0,,,6.0,1.0,15.0,,,,3.0,,0.2311,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,
153682,Harry Wilson,Forward,Fulham,Wales,2024-25,53.0,,1.1701,0.0,,20.0,,67.0,25.0,1.0,12.0,88.0,399.0,,,25.0,,,1157.0,20.0,56.0,6.0,20.0,51.0,296.0,,,1.0,19.7639,19.0,3.0,9.0,21.0,37.0,,22.0,2.0,109.0,14.0,,109.0,55.0,25.0,,,236.0,15.0,84.0,5.0,0.0,,381.0,157.0,14.0,,,132.0,15.0,635.0,9.0,86.0,,2.0,21.0,18.0,2.0,11.0,17.0,3.0,7.5448,32.0,1.0,15.0,10.0,1.0,4.0,13.0,3.0,11.0,68.0,,7.0,33.0,3.0,6.0,10.0,30.0,16.0,7.0,15.0,13.0,9.0,1.0,12.0,7.0,121.0,4.0,11.0,4.0,7.0,1.0,4.196,6.0,3.0,8.0,8.0,3.0,3.0,27.0,,,,1.0,15.0,6.0,3.0,1.0,1.0,2.0,0.0651,1.0,,,,
76357,Tom Cairney,Midfielder,Fulham,Scotland,2024-25,28.0,,1.1619,1.0,,13.0,,40.0,25.0,,3.0,44.0,606.0,,,15.0,,,615.0,10.0,42.0,3.0,14.0,37.0,545.0,,,1.0,11.5752,11.0,1.0,3.0,12.0,146.0,,19.0,0.0,70.0,6.0,,121.0,52.0,25.0,,,335.0,9.0,55.0,5.0,1.0,,591.0,72.0,5.0,,,204.0,17.0,713.0,,233.0,,3.0,4.0,16.0,4.0,4.0,4.0,,1.2008,7.0,,20.0,7.0,,3.0,22.0,2.0,6.0,18.0,,1.0,18.0,2.0,8.0,4.0,14.0,8.0,1.0,3.0,5.0,5.0,1.0,8.0,4.0,135.0,1.0,4.0,3.0,7.0,,0.7721,2.0,2.0,,,0.0,1.0,8.0,,,,,4.0,2.0,1.0,2.0,2.0,,0.1515,,,,,
207189,Sander Berge,Midfielder,Fulham,Norway,2024-25,86.0,,0.6253,0.0,,50.0,,73.0,31.0,,26.0,99.0,1189.0,,,50.0,3.0,,2227.0,22.0,99.0,9.0,27.0,71.0,1031.0,,,1.0,29.5015,18.0,7.0,37.0,35.0,378.0,,10.0,0.0,185.0,19.0,,283.0,126.0,31.0,,,595.0,26.0,135.0,28.0,0.0,,1149.0,141.0,30.0,,,333.0,59.0,1436.0,19.0,495.0,,6.0,26.0,38.0,,1.0,1.0,2.0,0.7649,2.0,3.0,18.0,3.0,,,5.0,,,14.0,,1.0,64.0,,20.0,6.0,3.0,22.0,1.0,1.0,2.0,11.0,8.0,31.0,21.0,195.0,1.0,10.0,,14.0,1.0,0.3526,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
156689,Andreas Pereira,Midfielder,Fulham,Brazil,2024-25,113.0,,4.6059,0.0,,24.0,,130.0,33.0,4.0,25.0,175.0,786.0,,,37.0,1.0,,2022.0,23.0,75.0,10.0,41.0,61.0,575.0,,,1.0,28.2963,53.0,1.0,16.0,32.0,173.0,,24.0,0.0,188.0,15.0,,252.0,100.0,33.0,,,435.0,22.0,151.0,14.0,0.0,,713.0,359.0,13.0,,,205.0,36.0,1205.0,16.0,227.0,,8.0,45.0,40.0,5.0,13.0,9.0,,3.3492,26.0,5.0,9.0,43.0,1.0,10.0,8.0,3.0,51.0,51.0,1.0,3.0,90.0,3.0,11.0,8.0,120.0,30.0,3.0,17.0,21.0,14.0,2.0,28.0,8.0,156.0,8.0,22.0,10.0,23.0,,3.806,2.0,2.0,4.0,4.0,0.0,,109.0,,,,,58.0,42.0,,6.0,6.0,,0.3235,1.0,2.0,1.0,,
212314,Sasa Lukic,Midfielder,Fulham,Serbia,2024-25,135.0,,1.4194,0.0,,68.0,,101.0,30.0,2.0,28.0,118.0,1195.0,,,44.0,,,2355.0,25.0,121.0,8.0,36.0,102.0,1035.0,,,2.0,35.6575,24.0,4.0,32.0,37.0,364.0,,26.0,0.0,256.0,13.0,,271.0,109.0,30.0,,,610.0,29.0,212.0,19.0,0.0,,1153.0,197.0,39.0,,,363.0,42.0,1546.0,7.0,489.0,,12.0,17.0,43.0,7.0,7.0,3.0,1.0,0.6765,11.0,1.0,19.0,11.0,,6.0,2.0,1.0,22.0,23.0,,1.0,110.0,1.0,29.0,5.0,40.0,13.0,1.0,8.0,6.0,8.0,7.0,66.0,28.0,197.0,1.0,18.0,6.0,44.0,1.0,1.1631,,,2.0,2.0,,,42.0,1.0,,,1.0,22.0,14.0,,,,,,,,,2.0,
577725,Josh King,Midfielder,Fulham U21,England,2024-25,18.0,,0.6721,0.0,,7.0,,9.0,8.0,,1.0,9.0,62.0,,,3.0,,,126.0,2.0,14.0,,6.0,13.0,51.0,,,,0.3511,3.0,,1.0,,15.0,,2.0,0.0,32.0,3.0,,15.0,5.0,8.0,,,42.0,,29.0,1.0,0.0,,61.0,22.0,5.0,,,15.0,2.0,100.0,,12.0,,0.0,,1.0,1.0,2.0,,1.0,,1.0,,3.0,1.0,,,7.0,,1.0,12.0,,2.0,16.0,,2.0,4.0,1.0,10.0,2.0,1.0,,4.0,,3.0,1.0,17.0,,1.0,,3.0,,0.315,,,,,,,,,,,,,,,,,,,,,,,
184349,Ryan Sessegnon,Midfielder,Fulham,England,2024-25,59.0,,1.1323,0.0,,27.0,,36.0,16.0,2.0,7.0,40.0,212.0,,,19.0,,,580.0,11.0,47.0,3.0,21.0,39.0,168.0,,,1.0,8.4345,10.0,1.0,13.0,10.0,41.0,,4.0,1.0,106.0,12.0,,73.0,30.0,16.0,,,103.0,7.0,87.0,8.0,0.0,,210.0,91.0,13.0,,,41.0,4.0,389.0,2.0,74.0,,1.0,4.0,15.0,5.0,3.0,8.0,2.0,3.5811,11.0,,,11.0,1.0,1.0,9.0,,5.0,45.0,1.0,2.0,48.0,,14.0,10.0,11.0,18.0,2.0,3.0,4.0,8.0,1.0,20.0,3.0,57.0,12.0,6.0,1.0,8.0,1.0,1.6438,4.0,2.0,4.0,4.0,2.0,1.0,1.0,,,,,,,2.0,,,,,,1.0,,1.0,
209289,Emile Smith Rowe,Midfielder,Fulham,England,2024-25,89.0,,2.0361,0.0,,31.0,,80.0,34.0,3.0,25.0,87.0,1001.0,,,26.0,,,2061.0,20.0,67.0,8.0,38.0,61.0,898.0,,,2.0,24.804,21.0,,16.0,28.0,237.0,,14.0,3.0,156.0,20.0,,220.0,75.0,34.0,,,581.0,20.0,130.0,6.0,0.0,,969.0,172.0,18.0,,,266.0,16.0,1279.0,4.0,338.0,,3.0,7.0,25.0,5.0,13.0,11.0,1.0,4.545,24.0,2.0,49.0,11.0,4.0,3.0,9.0,3.0,5.0,62.0,,10.0,69.0,3.0,13.0,16.0,11.0,34.0,10.0,13.0,10.0,16.0,2.0,19.0,11.0,278.0,3.0,25.0,3.0,8.0,,4.542,6.0,3.0,2.0,2.0,3.0,2.0,1.0,,,,,,,2.0,,,1.0,,,2.0,,1.0,
102057,Raúl Jiménez,Forward,Fulham,Mexico,2024-25,223.0,,2.0827,0.0,,35.0,,152.0,38.0,3.0,30.0,166.0,615.0,,,193.0,,,2505.0,101.0,188.0,8.0,44.0,96.0,428.0,,,2.0,35.3848,21.0,2.0,23.0,37.0,165.0,,41.0,1.0,411.0,16.0,,144.0,80.0,38.0,,,294.0,29.0,218.0,92.0,0.0,,612.0,331.0,24.0,,,129.0,21.0,1111.0,5.0,160.0,,4.0,14.0,42.0,5.0,23.0,33.0,1.0,11.106,73.0,3.0,48.0,18.0,15.0,5.0,8.0,3.0,5.0,171.0,,18.0,122.0,3.0,11.0,26.0,18.0,71.0,18.0,40.0,19.0,21.0,5.0,39.0,10.0,177.0,4.0,21.0,5.0,24.0,,11.9877,12.0,4.0,18.0,18.0,8.0,3.0,,,,,,,,3.0,1.0,1.0,2.0,0.0974,1.0,6.0,3.0,7.0,3.0
244042,Rodrigo Muniz,Forward,Fulham,Brazil,2024-25,107.0,,0.223,0.0,,10.0,,46.0,31.0,1.0,8.0,48.0,140.0,,,130.0,,,951.0,63.0,114.0,6.0,11.0,47.0,84.0,,,2.0,14.5457,6.0,,14.0,17.0,38.0,,31.0,5.0,221.0,7.0,,49.0,14.0,31.0,,,71.0,11.0,91.0,67.0,0.0,,134.0,130.0,5.0,,,28.0,8.0,371.0,,21.0,,1.0,2.0,5.0,,3.0,19.0,,8.2841,36.0,3.0,5.0,1.0,3.0,,23.0,,,58.0,,3.0,44.0,,5.0,9.0,1.0,33.0,3.0,17.0,3.0,6.0,2.0,11.0,5.0,25.0,,8.0,,4.0,,5.8127,8.0,6.0,11.0,11.0,2.0,,,,,,,,,1.0,,,,,,7.0,,3.0,
159533,Adama Traoré,Forward,West Ham United,Spain,2024-25,119.0,,4.5299,0.0,,20.0,,83.0,36.0,7.0,18.0,91.0,484.0,,,52.0,,,1769.0,27.0,125.0,8.0,26.0,100.0,384.0,,,1.0,25.4702,35.0,,4.0,28.0,49.0,,32.0,0.0,244.0,7.0,,110.0,87.0,36.0,,,333.0,20.0,192.0,25.0,0.0,,482.0,272.0,13.0,,,161.0,9.0,888.0,2.0,90.0,,3.0,8.0,23.0,30.0,15.0,12.0,11.0,3.6646,24.0,6.0,15.0,70.0,1.0,4.0,18.0,1.0,30.0,92.0,,11.0,92.0,1.0,7.0,36.0,70.0,61.0,11.0,12.0,33.0,48.0,,24.0,1.0,164.0,1.0,14.0,4.0,7.0,,4.0026,2.0,2.0,9.0,9.0,0.0,,,,,,,,,,,,,,,2.0,,2.0,
245824,Carlos Vinícius,Forward,Fulham,Brazil,2024-25,1.0,,,0.0,,,,2.0,3.0,,,2.0,3.0,,,,,,13.0,,3.0,,2.0,3.0,1.0,,,,0.2383,,,,1.0,1.0,,2.0,0.0,4.0,1.0,,1.0,,3.0,,,,1.0,4.0,,0.0,,3.0,3.0,,,,1.0,,10.0,,1.0,,0.0,,,,,1.0,,0.0257,1.0,,,,,,3.0,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,0.037,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
153133,Alex Iwobi,Forward,Fulham,Nigeria,2024-25,143.0,,6.9803,0.0,,44.0,,226.0,38.0,6.0,35.0,275.0,1376.0,,,38.0,2.0,,2994.0,31.0,117.0,13.0,77.0,110.0,1044.0,,,1.0,39.96,53.0,1.0,28.0,45.0,476.0,,18.0,1.0,260.0,25.0,,358.0,140.0,38.0,,,775.0,32.0,222.0,7.0,0.0,,1363.0,529.0,25.0,,,250.0,57.0,1983.0,13.0,351.0,,1.0,49.0,57.0,25.0,20.0,29.0,3.0,6.2604,48.0,15.0,41.0,99.0,5.0,3.0,3.0,8.0,25.0,119.0,,17.0,112.0,8.0,19.0,42.0,101.0,82.0,17.0,19.0,33.0,48.0,1.0,19.0,14.0,292.0,24.0,21.0,3.0,8.0,1.0,4.723,9.0,3.0,12.0,12.0,6.0,,2.0,,,,1.0,1.0,,4.0,,,2.0,,,5.0,,,
200641,Reiss Nelson,Forward,Brentford,England,2024-25,41.0,,0.9665,0.0,,9.0,,17.0,12.0,1.0,5.0,21.0,243.0,,,4.0,,,488.0,4.0,32.0,3.0,13.0,32.0,220.0,,,,5.3295,12.0,,2.0,9.0,79.0,,10.0,0.0,73.0,11.0,,46.0,29.0,12.0,,,175.0,6.0,69.0,,0.0,,242.0,76.0,6.0,,,26.0,2.0,376.0,2.0,56.0,,1.0,4.0,3.0,6.0,3.0,6.0,5.0,0.8639,9.0,2.0,17.0,13.0,1.0,,7.0,,9.0,36.0,,3.0,37.0,,3.0,13.0,14.0,21.0,3.0,3.0,5.0,13.0,,7.0,5.0,92.0,1.0,5.0,,2.0,,1.0988,1.0,0.0,5.0,5.0,1.0,,5.0,,,,,1.0,3.0,,,,,,,1.0,,1.0,
47431,Willian,Forward,Fulham,Brazil,2024-25,13.0,,0.7095,0.0,,4.0,,19.0,10.0,,2.0,21.0,189.0,,,4.0,,,253.0,3.0,6.0,,1.0,5.0,161.0,,,1.0,4.0892,7.0,,1.0,3.0,60.0,,,0.0,19.0,,,55.0,14.0,10.0,,,147.0,3.0,15.0,1.0,0.0,,188.0,38.0,2.0,,,30.0,7.0,233.0,,29.0,,0.0,2.0,4.0,3.0,3.0,,,,4.0,,4.0,5.0,,2.0,8.0,,8.0,7.0,,1.0,10.0,,2.0,4.0,8.0,5.0,1.0,4.0,4.0,1.0,,1.0,1.0,44.0,2.0,2.0,2.0,,,0.2751,,,,,,,7.0,,,,,2.0,5.0,,,,1.0,,,,,,
573062,Martial Godo,Forward,Fulham U21,Cote d’Ivoire,2024-25,5.0,,0.0753,0.0,,,,4.0,2.0,,,4.0,14.0,,,1.0,,,21.0,1.0,1.0,,3.0,1.0,10.0,,,,0.1389,1.0,,,,8.0,,,0.0,6.0,1.0,,1.0,1.0,2.0,,,8.0,,5.0,,0.0,,14.0,8.0,,,,1.0,,26.0,,2.0,,0.0,,1.0,,,,,,,,,1.0,,,2.0,,,7.0,,,4.0,,,3.0,1.0,3.0,,,,1.0,,1.0,1.0,4.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
