gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,savedObox,saves,attLfGoal,attGoalLowCentre,goals,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissHighRight,penaltyWon,divingSave,midfielderGoals,interceptionsInBox,goalAssist,errorLeadToShot,attRfGoal,totalOffside,goalsOpenplay,attPenGoal,attSvLowRight,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,goalAssistIntentional,forwardGoals,effectiveBlockedCross,goalsConcededIbox,blockedCross,attHdTarget,accurateThroughBall,overrun,shieldBallOop,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,attSetpiece,attGoalLowLeft,attSvLowLeft,attCmissHighLeft,attSvHighCentre,penaltySave,goalAssistSetplay,attGoalHighCentre,penaltyConceded,defenderGoals,penaltyFaced,errorLeadToGoal,attGoalHighRight,ptsGainedLosingPos,clearanceOffLine,shotFastbreak,attOneOnOne,totalFastbreak,attCorner,attFastbreak,attCmissHighRight,attPostRight,handBall,attFreekickPost,attPostLeft,attHdGoal,ptsDroppedWinningPos,attOboxGoal,punches,goalAssistDeadball,attFreekickTarget,attGoalHighLeft,attObxdLeft,attObxRight,goalFastbreak,attLgCentre,foulThrowIn,penGoalsConceded,attFreekickGoal,attObxdRight,secondYellow
1,918900,2017-08-12 15:00:00,"St. Mary's Stadium, Southampton",31447,Home,Southampton,Swansea City,0,0,D,0,0,0,0,1.0,61.0,6.0,18.0,11.0,13.0,10.0,16.0,1.0,172.0,12.0,6.0,4.0,23.0,2.0,3.0,2.0,133.0,136.0,47.0,1.0,29.0,5.0,18.0,3.0,1.0,4.0,35.0,1.0,10.0,2.0,11.0,11.0,16.0,32.0,288.0,1.0,1.0,0.0,206.0,10.0,1.0,1.0,2.0,90.0,80.0,9.0,77.0,6.0,25.0,23.0,13.0,1.0,9.0,6.0,136.0,2.0,2.0,3.0,136.0,1.0,707.0,21.0,5.0,38.0,1.0,12.0,418.0,27.0,2.0,2.0,9.0,2.0,2.0,14.0,26.0,496.0,55.0,1.0,88900,8.0,156.0,2.0,15.0,2.0,172.0,2.0,2.0,23.0,4.0,42.0,2.0,1.0,1.0,13.0,1.0,2.0,3.0,46.0,432.0,12.0,4.0,2.0,15.0,55.0,2.0,0.0,1.0,2.0,0.0,9.0,3.0,59.6,23.0,2.0,5.0,2.0,1.0,11.0,28.0,13.0,2.0,518.0,12.0,1.0,9.0,18.0,16.0,54.0,4.0,9.0,381.0,14.0,15.0,17.0,168.0,26.0,9.0,12.0,23.0,3.0,8.0,6.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,919210,2017-08-19 15:00:00,"St. Mary's Stadium, Southampton",31424,Home,Southampton,West Ham United,3,2,W,2,1,0,1,1.0,61.0,,16.0,19.0,7.0,7.0,7.0,1.0,179.0,4.0,3.0,2.0,11.0,,,5.0,164.0,129.0,39.0,,14.0,3.0,25.0,3.0,1.0,2.0,26.0,,7.0,1.0,19.0,5.0,26.0,28.0,293.0,,,0.0,193.0,18.0,,,,70.0,69.0,6.0,80.0,2.0,21.0,12.0,7.0,,7.0,2.0,129.0,,,13.0,146.0,,725.0,10.0,7.0,26.0,2.0,8.0,470.0,20.0,,2.0,9.0,1.0,2.0,5.0,16.0,545.0,55.0,,88900,3.0,198.0,,14.0,,215.0,9.0,,12.0,8.0,61.0,,,1.0,9.0,3.0,7.0,,43.0,487.0,10.0,6.0,,12.0,62.0,1.0,0.0,1.0,3.0,0.0,1.0,,66.1,13.0,,4.0,1.0,1.0,3.0,44.0,7.0,,569.0,8.0,,9.0,14.0,6.0,49.0,3.0,3.0,380.0,7.0,24.0,16.0,143.0,32.0,9.0,10.0,12.0,3.0,6.0,6.0,7.0,2.0,1.0,1.0,6.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918916,2017-08-26 15:00:00,"John Smith's Stadium, Huddersfield",23548,Away,Southampton,Huddersfield Town,0,0,D,0,0,0,0,1.0,65.0,,21.0,29.0,3.0,2.0,3.0,1.0,193.0,1.0,9.0,1.0,6.0,,1.0,3.0,114.0,171.0,52.0,,6.0,,25.0,,,,8.0,,11.0,1.0,29.0,3.0,19.0,41.0,143.0,1.0,1.0,0.0,96.0,10.0,,,,44.0,50.0,3.0,72.0,3.0,5.0,16.0,3.0,,,2.0,171.0,2.0,,12.0,123.0,,704.0,6.0,7.0,7.0,,10.0,369.0,33.0,,3.0,17.0,1.0,6.0,3.0,28.0,481.0,59.0,,88900,1.0,240.0,2.0,5.0,,282.0,5.0,1.0,16.0,8.0,59.0,,4.0,5.0,19.0,4.0,6.0,,75.0,382.0,10.0,8.0,,32.0,90.0,,0.0,,3.0,0.0,1.0,1.0,55.3,24.0,,1.0,1.0,5.0,,51.0,4.0,,502.0,10.0,,13.0,23.0,3.0,19.0,,1.0,228.0,3.0,18.0,18.0,43.0,24.0,17.0,16.0,6.0,3.0,13.0,5.0,4.0,,,1.0,6.0,,,,2.0,,1.0,,,3.0,,,,2.0,,3.0,,,1.0,5.0,5.0,,,,,,5.0,,5.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918929,2017-09-09 15:00:00,"St. Mary's Stadium, Southampton",31435,Home,Southampton,Watford,0,2,L,0,1,0,0,,59.0,2.0,31.0,22.0,5.0,3.0,4.0,1.0,171.0,3.0,6.0,2.0,7.0,,,1.0,89.0,181.0,55.0,,9.0,3.0,23.0,1.0,,1.0,22.0,,9.0,1.0,22.0,6.0,13.0,36.0,172.0,1.0,,0.0,140.0,8.0,,2.0,,83.0,70.0,5.0,71.0,1.0,16.0,22.0,5.0,,4.0,1.0,181.0,,,4.0,92.0,,637.0,7.0,8.0,20.0,,12.0,288.0,29.0,1.0,5.0,11.0,0.0,4.0,2.0,32.0,397.0,72.0,,88900,1.0,135.0,,10.0,1.0,157.0,7.0,1.0,22.0,11.0,60.0,,1.0,3.0,17.0,8.0,5.0,,76.0,304.0,11.0,10.0,,26.0,77.0,1.0,0.0,,3.0,0.0,3.0,,52.7,28.0,,3.0,1.0,3.0,5.0,32.0,7.0,,423.0,12.0,,13.0,13.0,3.0,40.0,,2.0,288.0,6.0,12.0,19.0,84.0,23.0,11.0,19.0,4.0,3.0,12.0,9.0,7.0,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,4.0,,,,2.0,,,1.0,,1.0,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918935,2017-09-16 12:30:00,"Selhurst Park, London",24199,Away,Southampton,Crystal Palace,1,0,W,1,0,0,0,1.0,76.0,3.0,40.0,36.0,5.0,3.0,8.0,2.0,156.0,4.0,8.0,2.0,11.0,,,4.0,149.0,143.0,56.0,,13.0,2.0,20.0,1.0,,2.0,16.0,,11.0,2.0,36.0,5.0,14.0,41.0,231.0,,1.0,0.0,152.0,13.0,,1.0,,69.0,79.0,7.0,67.0,1.0,11.0,16.0,5.0,,1.0,1.0,143.0,,,10.0,131.0,,699.0,9.0,8.0,27.0,,10.0,388.0,35.0,1.0,3.0,23.0,1.0,2.0,4.0,17.0,473.0,64.0,,97032,7.0,177.0,,9.0,1.0,205.0,5.0,,16.0,11.0,57.0,,,3.0,11.0,4.0,5.0,,76.0,404.0,13.0,10.0,2.0,19.0,82.0,,0.0,,2.0,0.0,2.0,2.0,54.4,13.0,2.0,2.0,,3.0,5.0,53.0,5.0,,503.0,10.0,,8.0,24.0,4.0,36.0,2.0,3.0,314.0,7.0,13.0,20.0,104.0,30.0,23.0,15.0,11.0,3.0,15.0,5.0,5.0,1.0,,,3.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,5.0,3.0,1.0,,,,,6.0,,6.0,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918949,2017-09-23 15:00:00,"St. Mary's Stadium, Southampton",31930,Home,Southampton,Manchester United,0,1,L,0,1,0,0,,72.0,2.0,27.0,10.0,6.0,4.0,8.0,3.0,182.0,7.0,8.0,1.0,10.0,,1.0,4.0,151.0,148.0,41.0,,14.0,2.0,18.0,,,2.0,31.0,,13.0,2.0,10.0,8.0,14.0,28.0,264.0,1.0,,0.0,179.0,12.0,,2.0,,64.0,70.0,7.0,76.0,3.0,23.0,20.0,6.0,,8.0,2.0,148.0,,,6.0,135.0,,736.0,8.0,11.0,25.0,,11.0,441.0,32.0,,7.0,5.0,1.0,2.0,3.0,21.0,530.0,75.0,1.0,97032,4.0,196.0,,13.0,,215.0,8.0,1.0,20.0,3.0,50.0,,1.0,6.0,11.0,3.0,2.0,1.0,53.0,453.0,9.0,5.0,2.0,21.0,65.0,1.0,0.0,,4.0,0.0,3.0,2.0,60.6,20.0,1.0,3.0,2.0,6.0,4.0,47.0,8.0,,544.0,11.0,,13.0,14.0,6.0,50.0,4.0,4.0,360.0,8.0,14.0,6.0,128.0,30.0,5.0,18.0,10.0,3.0,11.0,8.0,8.0,,,1.0,3.0,,,,2.0,,2.0,,,1.0,,1.0,,1.0,,3.0,,,,4.0,2.0,,,1.0,,,2.0,1.0,2.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918960,2017-09-30 15:00:00,"bet365 Stadium, Stoke",29285,Away,Southampton,Stoke City,1,2,L,0,1,0,0,,67.0,4.0,25.0,19.0,5.0,3.0,16.0,1.0,176.0,7.0,15.0,1.0,19.0,,2.0,3.0,192.0,142.0,61.0,,21.0,2.0,29.0,4.0,,5.0,27.0,,10.0,,19.0,5.0,19.0,30.0,280.0,,,0.0,168.0,10.0,,1.0,1.0,78.0,73.0,9.0,97.0,2.0,22.0,18.0,5.0,,9.0,3.0,142.0,1.0,,11.0,155.0,,838.0,15.0,5.0,35.0,,14.0,519.0,30.0,2.0,4.0,9.0,2.0,9.0,10.0,20.0,602.0,62.0,1.0,97032,10.0,260.0,1.0,12.0,,281.0,3.0,1.0,18.0,2.0,57.0,,3.0,5.0,16.0,6.0,,2.0,61.0,533.0,11.0,4.0,3.0,25.0,83.0,1.0,0.0,,3.0,0.0,5.0,5.0,70.5,19.0,4.0,1.0,1.0,5.0,6.0,56.0,6.0,1.0,620.0,14.0,,11.0,14.0,12.0,48.0,2.0,9.0,366.0,13.0,17.0,21.0,124.0,28.0,9.0,14.0,16.0,3.0,18.0,7.0,6.0,,,1.0,5.0,,,1.0,2.0,,1.0,1.0,,3.0,,1.0,1.0,,1.0,3.0,,,,5.0,3.0,1.0,,2.0,1.0,,,2.0,,1.0,2.0,1.0,,,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918969,2017-10-15 16:00:00,"St. Mary's Stadium, Southampton",31437,Home,Southampton,Newcastle United,2,2,D,0,1,0,0,,59.0,3.0,38.0,32.0,5.0,5.0,7.0,,171.0,3.0,12.0,2.0,9.0,,,2.0,157.0,139.0,62.0,,12.0,1.0,18.0,1.0,,1.0,21.0,,11.0,,32.0,3.0,9.0,40.0,259.0,,,0.0,159.0,11.0,,,,95.0,78.0,5.0,83.0,3.0,18.0,16.0,5.0,,3.0,4.0,139.0,2.0,1.0,12.0,172.0,,780.0,7.0,2.0,14.0,,11.0,479.0,26.0,,8.0,20.0,1.0,6.0,4.0,24.0,558.0,71.0,,97032,4.0,239.0,2.0,15.0,,257.0,5.0,,16.0,8.0,52.0,,,2.0,15.0,7.0,2.0,2.0,73.0,495.0,12.0,9.0,1.0,20.0,94.0,,0.0,,2.0,0.0,2.0,2.0,61.8,23.0,2.0,10.0,1.0,2.0,4.0,70.0,3.0,,583.0,11.0,,11.0,20.0,6.0,43.0,1.0,2.0,347.0,5.0,9.0,28.0,116.0,18.0,20.0,11.0,10.0,3.0,15.0,7.0,3.0,1.0,1.0,,2.0,2.0,,2.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,8.0,3.0,2.0,,2.0,1.0,2.0,4.0,1.0,4.0,,,2.0,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,918978,2017-10-21 17:30:00,"St. Mary's Stadium, Southampton",29947,Home,Southampton,West Bromwich Albion,1,0,W,0,0,0,0,3.0,73.0,1.0,29.0,30.0,9.0,6.0,11.0,1.0,187.0,5.0,17.0,2.0,16.0,,3.0,6.0,159.0,149.0,65.0,1.0,20.0,2.0,20.0,1.0,1.0,2.0,29.0,1.0,16.0,2.0,30.0,6.0,19.0,28.0,310.0,,1.0,0.0,214.0,10.0,,,,98.0,54.0,7.0,87.0,3.0,23.0,20.0,9.0,1.0,5.0,5.0,149.0,2.0,,2.0,156.0,,797.0,15.0,9.0,25.0,2.0,8.0,481.0,24.0,,7.0,18.0,0.0,1.0,9.0,16.0,571.0,73.0,,97032,5.0,187.0,2.0,18.0,,208.0,5.0,1.0,20.0,6.0,40.0,1.0,2.0,5.0,13.0,5.0,2.0,3.0,62.0,492.0,7.0,1.0,1.0,19.0,79.0,1.0,0.0,,2.0,0.0,3.0,3.0,65.7,15.0,2.0,5.0,2.0,5.0,3.0,52.0,8.0,1.0,589.0,8.0,,6.0,13.0,11.0,49.0,2.0,5.0,410.0,11.0,18.0,20.0,156.0,37.0,18.0,21.0,14.0,3.0,21.0,7.0,8.0,,1.0,1.0,2.0,,,1.0,3.0,,4.0,2.0,,1.0,,,,,1.0,2.0,1.0,,,3.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10,918985,2017-10-29 13:30:00,"Amex Stadium, Falmer",30564,Away,Southampton,Brighton and Hove Albion,1,1,D,1,0,0,0,,65.0,2.0,24.0,17.0,3.0,4.0,3.0,,163.0,2.0,8.0,2.0,3.0,,,1.0,109.0,143.0,41.0,1.0,6.0,1.0,16.0,,1.0,,21.0,,10.0,,17.0,6.0,16.0,25.0,167.0,,,0.0,105.0,10.0,,2.0,2.0,54.0,82.0,3.0,73.0,1.0,15.0,19.0,3.0,1.0,4.0,1.0,143.0,,,6.0,105.0,,623.0,3.0,5.0,15.0,1.0,7.0,349.0,25.0,,7.0,10.0,1.0,1.0,,23.0,430.0,54.0,,97032,2.0,195.0,,9.0,1.0,212.0,4.0,1.0,19.0,7.0,52.0,,,5.0,12.0,1.0,1.0,,67.0,360.0,8.0,9.0,,28.0,82.0,,0.0,,,0.0,2.0,1.0,48.1,20.0,,1.0,,5.0,3.0,47.0,7.0,2.0,450.0,7.0,,13.0,9.0,2.0,29.0,,,259.0,1.0,14.0,9.0,64.0,29.0,10.0,16.0,2.0,3.0,13.0,10.0,7.0,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,3.0,1.0,3.0,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
