gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attLfTarget,attOboxTarget,attSvHighRight,overrun,foulThrowIn,attBxLeft,attSvHighCentre,errorLeadToGoal,attObxLeft,cleanSheet,attSvLowLeft,attCmissHigh,attSvLowRight,attObxRight,bigChanceScored,attGoalLowRight,attLfGoal,accuratePullBack,attFreekickTotal,attGoalHighRight,midfielderGoals,freekickTotal,attRfGoal,attFreekickTarget,shieldBallOop,attFreekickMiss,attCmissHighRight,postScoringAtt,accurateKeeperSweeper,attIboxPost,hitWoodwork,totalKeeperSweeper,attPostRight,goalAssistSetplay,goalAssistDeadball,penaltyConceded,defenderGoals,penaltyFaced,penGoalsConceded,attGoalLowCentre,shotFastbreak,goalFastbreak,attOboxGoal,totalFastbreak,contentiousDecision,sixYardBlock,attFastbreak,attOneOnOne,attGoalHighCentre,attHdPost,attLgCentre,secondYellow,penaltyWon,attPenGoal,handBall,attOboxPost,attPostHigh,attPostLeft,attFreekickGoal,attObxdRight,attFreekickPost,attPenTarget,attObxdLeft,attCmissHighLeft
1,803166,2015-08-09 13:30:00,"St. James' Park, Newcastle",49019,Away,Southampton,Newcastle United,2,2,D,1,1,0,0,63.0,1.0,1.0,1.0,36.0,32.0,4.0,5.0,2.0,1.0,153.0,6.0,7.0,2.0,2.0,12.0,1.0,4.0,100.0,140.0,54.0,14.0,2.0,14.0,2.0,1.0,2.0,1.0,1.0,18.0,14.0,23.0,5.0,5.0,44.0,158.0,1.0,0.0,117.0,12.0,1.0,1.0,2.0,1.0,37.0,48.0,6.0,48.0,3.0,2.0,13.0,8.0,4.0,2.0,131.0,1.0,6.0,88.0,606.0,8.0,11.0,1.0,34.0,294.0,27.0,1.0,14.0,13.0,2.0,4.0,3.0,6.0,19.0,370.0,59.0,1.0,1.0,1.0,80447,8.0,157.0,1.0,7.0,1.0,173.0,9.0,1.0,8.0,6.0,49.0,1.0,3.0,1.0,2.0,20.0,3.0,4.0,2.0,66.0,309.0,9.0,10.0,2.0,26.0,67.0,1.0,1.0,1.0,0.0,6.0,1.0,2.0,2.0,5.0,0.0,5.0,2.0,5.0,43.7,16.0,2.0,3.0,1.0,3.0,1.0,42.0,6.0,1.0,389.0,34.0,8.0,25.0,7.0,28.0,1.0,5.0,234.0,4.0,5.0,21.0,74.0,28.0,1.0,8.0,11.0,18.0,2.0,2.0,12.0,2.0,12.0,8.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803175,2015-08-15 12:45:00,"St. Mary's Stadium, Southampton",30966,Home,Southampton,Everton,0,3,L,0,2,0,0,64.0,,,4.0,38.0,19.0,3.0,6.0,1.0,1.0,161.0,7.0,5.0,,2.0,13.0,1.0,4.0,131.0,138.0,46.0,17.0,,17.0,2.0,2.0,,1.0,3.0,39.0,15.0,15.0,8.0,11.0,38.0,259.0,,0.0,160.0,11.0,1.0,1.0,2.0,,54.0,86.0,5.0,54.0,1.0,2.0,31.0,13.0,17.0,1.0,134.0,,7.0,112.0,660.0,10.0,2.0,,13.0,375.0,26.0,,6.0,9.0,,4.0,4.0,8.0,23.0,441.0,78.0,,,,80447,10.0,139.0,,12.0,,143.0,6.0,,13.0,3.0,48.0,1.0,1.0,5.0,,14.0,3.0,3.0,4.0,58.0,391.0,9.0,6.0,3.0,12.0,68.0,,1.0,,0.0,9.0,1.0,,3.0,1.0,0.0,4.0,,4.0,54.4,19.0,4.0,5.0,5.0,4.0,,49.0,9.0,,458.0,13.0,7.0,20.0,9.0,49.0,3.0,8.0,354.0,7.0,11.0,15.0,115.0,26.0,,3.0,9.0,18.0,,2.0,13.0,3.0,12.0,3.0,6.0,9.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803188,2015-08-23 16:00:00,"Vicarage Road, Watford",20166,Away,Southampton,Watford,0,0,D,0,0,0,0,72.0,,,,35.0,28.0,4.0,4.0,,2.0,174.0,9.0,5.0,,1.0,13.0,2.0,4.0,98.0,159.0,51.0,14.0,,25.0,3.0,2.0,,,3.0,21.0,11.0,24.0,2.0,12.0,38.0,191.0,1.0,0.0,136.0,11.0,,1.0,2.0,,46.0,68.0,4.0,49.0,1.0,2.0,19.0,18.0,6.0,5.0,155.0,,6.0,91.0,613.0,9.0,12.0,1.0,28.0,292.0,28.0,2.0,13.0,13.0,,2.0,6.0,9.0,18.0,386.0,76.0,,2.0,1.0,80447,5.0,126.0,,11.0,2.0,154.0,7.0,,18.0,10.0,62.0,,2.0,4.0,,14.0,7.0,6.0,2.0,80.0,308.0,10.0,11.0,4.0,37.0,85.0,,2.0,,0.0,5.0,,,,3.0,0.0,7.0,,4.0,48.0,14.0,3.0,5.0,4.0,,,45.0,2.0,,412.0,28.0,10.0,16.0,10.0,31.0,2.0,5.0,279.0,5.0,11.0,23.0,87.0,32.0,,10.0,13.0,14.0,,,10.0,3.0,10.0,10.0,8.0,2.0,,,1.0,1.0,2.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803197,2015-08-30 13:30:00,"St. Mary's Stadium, Southampton",29573,Home,Southampton,Norwich City,3,0,W,1,0,0,1,68.0,,1.0,,25.0,19.0,6.0,7.0,1.0,3.0,195.0,13.0,10.0,3.0,3.0,18.0,3.0,8.0,116.0,136.0,57.0,23.0,2.0,15.0,4.0,5.0,2.0,2.0,4.0,37.0,14.0,14.0,5.0,24.0,37.0,264.0,1.0,0.0,160.0,4.0,1.0,1.0,1.0,1.0,81.0,86.0,7.0,67.0,2.0,5.0,32.0,9.0,7.0,3.0,131.0,3.0,3.0,155.0,733.0,14.0,5.0,1.0,15.0,434.0,27.0,1.0,3.0,10.0,2.0,0.0,2.0,11.0,22.0,514.0,58.0,,,,80447,8.0,200.0,1.0,24.0,,215.0,3.0,1.0,9.0,7.0,37.0,8.0,2.0,4.0,3.0,8.0,3.0,6.0,2.0,48.0,451.0,12.0,4.0,2.0,15.0,83.0,,1.0,,0.0,4.0,,3.0,,1.0,0.0,11.0,2.0,4.0,61.1,21.0,3.0,5.0,4.0,2.0,,60.0,6.0,1.0,533.0,15.0,9.0,25.0,13.0,47.0,2.0,10.0,355.0,11.0,22.0,22.0,118.0,30.0,1.0,1.0,8.0,16.0,,,17.0,3.0,15.0,1.0,5.0,6.0,,1.0,1.0,,,,2.0,,,,1.0,2.0,,,,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803208,2015-09-12 15:00:00,"The Hawthorns, West Bromwich",24265,Away,Southampton,West Bromwich Albion,0,0,D,0,0,0,0,70.0,,,2.0,55.0,20.0,5.0,3.0,1.0,4.0,196.0,5.0,6.0,,1.0,14.0,1.0,4.0,176.0,162.0,42.0,15.0,3.0,21.0,3.0,3.0,,2.0,2.0,33.0,8.0,17.0,5.0,15.0,52.0,279.0,1.0,0.0,182.0,5.0,,,,2.0,91.0,82.0,8.0,90.0,2.0,2.0,28.0,17.0,13.0,1.0,159.0,1.0,5.0,152.0,816.0,13.0,16.0,,18.0,511.0,35.0,,12.0,10.0,,0.0,3.0,6.0,25.0,600.0,80.0,1.0,,,97032,3.0,249.0,1.0,15.0,,276.0,5.0,,17.0,7.0,52.0,1.0,2.0,6.0,,14.0,3.0,5.0,1.0,88.0,523.0,5.0,6.0,1.0,27.0,86.0,,,1.0,0.0,4.0,1.0,,,5.0,0.0,4.0,,2.0,64.9,23.0,2.0,3.0,6.0,5.0,,54.0,5.0,3.0,614.0,18.0,11.0,30.0,6.0,40.0,1.0,5.0,371.0,9.0,14.0,20.0,147.0,24.0,,4.0,8.0,12.0,,,13.0,2.0,15.0,4.0,9.0,5.0,,,1.0,,2.0,,4.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803216,2015-09-20 16:00:00,"St. Mary's Stadium, Southampton",31588,Home,Southampton,Manchester United,2,3,L,1,1,0,0,59.0,1.0,,1.0,28.0,10.0,4.0,3.0,,1.0,157.0,11.0,11.0,2.0,1.0,12.0,,8.0,89.0,132.0,61.0,15.0,,15.0,4.0,,1.0,3.0,3.0,21.0,12.0,5.0,5.0,9.0,31.0,169.0,1.0,0.0,123.0,6.0,,1.0,1.0,,48.0,43.0,7.0,59.0,1.0,,16.0,13.0,5.0,2.0,127.0,2.0,6.0,77.0,556.0,9.0,10.0,3.0,17.0,282.0,26.0,,14.0,3.0,1.0,2.0,2.0,5.0,16.0,358.0,68.0,,1.0,,97032,11.0,141.0,1.0,10.0,1.0,158.0,3.0,,13.0,5.0,42.0,,1.0,1.0,2.0,13.0,4.0,3.0,1.0,64.0,299.0,13.0,6.0,2.0,38.0,79.0,,2.0,,0.0,5.0,,2.0,3.0,3.0,0.0,9.0,1.0,6.0,40.8,13.0,2.0,2.0,1.0,1.0,,43.0,5.0,,382.0,17.0,11.0,17.0,6.0,36.0,2.0,3.0,245.0,5.0,9.0,17.0,80.0,29.0,2.0,2.0,2.0,21.0,1.0,3.0,10.0,3.0,15.0,2.0,10.0,5.0,,2.0,2.0,1.0,2.0,,,1.0,1.0,,,,,,,2.0,,,,,1.0,,,1.0,,,,,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,803231,2015-09-26 15:00:00,"St. Mary's Stadium, Southampton",30704,Home,Southampton,Swansea City,3,1,W,1,0,0,0,70.0,1.0,2.0,3.0,37.0,25.0,5.0,5.0,3.0,2.0,150.0,6.0,4.0,3.0,1.0,10.0,1.0,6.0,88.0,141.0,50.0,17.0,,13.0,1.0,1.0,,2.0,,23.0,12.0,19.0,4.0,9.0,43.0,151.0,,0.0,105.0,18.0,3.0,1.0,,2.0,61.0,32.0,5.0,53.0,4.0,4.0,19.0,19.0,6.0,2.0,135.0,1.0,4.0,89.0,564.0,8.0,13.0,2.0,17.0,267.0,31.0,2.0,15.0,11.0,1.0,3.0,3.0,5.0,17.0,353.0,46.0,,,,97032,7.0,142.0,,13.0,1.0,165.0,11.0,2.0,19.0,7.0,42.0,,6.0,3.0,1.0,10.0,7.0,6.0,2.0,67.0,287.0,13.0,5.0,1.0,37.0,71.0,,,,0.0,3.0,1.0,3.0,1.0,5.0,0.0,4.0,1.0,4.0,41.5,17.0,1.0,2.0,3.0,3.0,,44.0,4.0,2.0,380.0,17.0,6.0,25.0,8.0,35.0,2.0,6.0,238.0,8.0,6.0,17.0,70.0,31.0,,5.0,9.0,17.0,1.0,1.0,12.0,3.0,5.0,5.0,7.0,4.0,,,3.0,,2.0,,2.0,1.0,,,,,1.0,,,1.0,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,2.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,803236,2015-10-03 17:30:00,"Stamford Bridge, London",41642,Away,Southampton,Chelsea,3,1,W,1,1,0,0,66.0,2.0,1.0,3.0,26.0,30.0,5.0,3.0,2.0,1.0,160.0,,8.0,3.0,4.0,9.0,2.0,5.0,84.0,169.0,65.0,13.0,1.0,19.0,2.0,2.0,2.0,2.0,,15.0,15.0,23.0,6.0,12.0,24.0,117.0,1.0,0.0,104.0,14.0,,,3.0,1.0,46.0,40.0,8.0,54.0,1.0,2.0,9.0,23.0,3.0,3.0,162.0,3.0,4.0,62.0,572.0,6.0,9.0,,17.0,246.0,32.0,,8.0,19.0,3.0,5.0,3.0,1.0,22.0,338.0,57.0,1.0,,,97032,4.0,142.0,2.0,3.0,3.0,167.0,8.0,1.0,23.0,8.0,59.0,1.0,3.0,3.0,2.0,17.0,6.0,4.0,1.0,68.0,259.0,13.0,5.0,,36.0,78.0,,,1.0,0.0,4.0,1.0,2.0,1.0,3.0,0.0,,3.0,,39.8,19.0,,4.0,3.0,4.0,,37.0,6.0,2.0,360.0,17.0,17.0,17.0,4.0,23.0,,1.0,208.0,10.0,11.0,26.0,58.0,26.0,1.0,4.0,17.0,19.0,,,9.0,3.0,13.0,4.0,14.0,6.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,,2.0,1.0,3.0,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
9,803245,2015-10-17 15:00:00,"St. Mary's Stadium, Southampton",30966,Home,Southampton,Leicester City,2,2,D,2,0,0,0,56.0,1.0,2.0,1.0,28.0,58.0,3.0,3.0,5.0,2.0,158.0,7.0,11.0,2.0,2.0,11.0,,6.0,78.0,149.0,61.0,14.0,1.0,21.0,2.0,2.0,,,,21.0,12.0,51.0,5.0,9.0,29.0,118.0,1.0,0.0,80.0,16.0,1.0,,1.0,2.0,41.0,38.0,6.0,44.0,3.0,1.0,16.0,28.0,3.0,1.0,142.0,1.0,16.0,80.0,599.0,8.0,11.0,1.0,18.0,254.0,28.0,1.0,6.0,33.0,1.0,2.0,8.0,4.0,16.0,331.0,45.0,,,1.0,97032,2.0,158.0,2.0,12.0,,189.0,7.0,1.0,28.0,14.0,65.0,,1.0,4.0,,11.0,11.0,3.0,1.0,62.0,269.0,9.0,10.0,1.0,21.0,75.0,,,1.0,0.0,7.0,3.0,2.0,2.0,2.0,0.0,4.0,1.0,3.0,50.6,13.0,,1.0,4.0,2.0,,43.0,6.0,2.0,360.0,18.0,15.0,16.0,6.0,27.0,3.0,3.0,192.0,7.0,8.0,29.0,51.0,18.0,,2.0,32.0,15.0,1.0,2.0,9.0,3.0,15.0,2.0,13.0,6.0,,1.0,2.0,,3.0,,2.0,,,,,4.0,,,,1.0,,1.0,1.0,,,,,,,,,,2.0,,2.0,2.0,,2.0,1.0,1.0,,2.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
10,803257,2015-10-25 16:15:00,"Anfield, Liverpool",44171,Away,Southampton,Liverpool,1,1,D,0,0,1,0,64.0,1.0,1.0,1.0,35.0,33.0,1.0,1.0,1.0,1.0,171.0,6.0,6.0,1.0,1.0,8.0,,3.0,85.0,167.0,63.0,8.0,1.0,15.0,2.0,,,1.0,1.0,20.0,18.0,25.0,7.0,22.0,44.0,153.0,1.0,0.0,159.0,11.0,,,1.0,,57.0,43.0,4.0,48.0,2.0,,13.0,23.0,2.0,,159.0,3.0,8.0,79.0,607.0,4.0,13.0,1.0,23.0,259.0,24.0,,10.0,15.0,1.0,0.0,5.0,3.0,25.0,357.0,64.0,1.0,1.0,,97032,3.0,132.0,2.0,10.0,2.0,147.0,6.0,1.0,23.0,12.0,62.0,4.0,2.0,2.0,,12.0,7.0,10.0,1.0,75.0,279.0,8.0,14.0,2.0,34.0,82.0,,,,0.0,10.0,,1.0,1.0,5.0,1.0,4.0,1.0,2.0,39.7,23.0,1.0,,2.0,2.0,,43.0,7.0,,383.0,23.0,11.0,27.0,3.0,41.0,2.0,3.0,256.0,4.0,20.0,20.0,91.0,36.0,,3.0,13.0,29.0,,1.0,5.0,3.0,18.0,3.0,12.0,7.0,,,,1.0,2.0,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
