gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,attIboxTarget,attSvLowCentre,attMissHighRight,divingSave,attMissRight,freekickTotal,bigChanceCreated,contentiousDecision,attHdTarget,goalAssist,bigChanceMissed,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,goalsConceded,goalAssistIntentional,shieldBallOop,attBxLeft,attFreekickMiss,attHdGoal,goalsConcededIbox,goalsConcededObox,postScoringAtt,attIboxPost,attPostLeft,hitWoodwork,accurateThroughBall,attSvLowRight,accuratePullBack,shotFastbreak,attBxRight,attSvHighRight,totalFastbreak,attHdPost,sixYardBlock,totalPullBack,attFastbreak,attPostRight,savedObox,attGoalLowCentre,attCmissRight,attLfGoal,attObxLeft,goalAssistOpenplay,attOboxGoal,goalsOpenplay,attFreekickGoal,attFreekickTarget,attCmissHighRight,attGoalLowRight,midfielderGoals,attMissHighLeft,attGoalHighLeft,attObpGoal,attGoalHighRight,errorLeadToShot,errorLeadToGoal,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,penaltyConceded,penaltyFaced,penGoalsConceded,attOneOnOne,attCmissHighLeft,goalFastbreak,attOboxPost,clearanceOffLine,ownGoals,attIboxOwnGoal,attGoalHighCentre,ptsGainedLosingPos,ptsDroppedWinningPos,attSvHighLeft,attObxdLeft,attObxRight,attPostHigh,foulThrowIn,attFreekickPost
1,694909,2013-08-17 15:00:00,"The Hawthorns, West Bromwich",25927,Away,Southampton,West Bromwich Albion,1,0,W,0,0,0,0,1.0,1.0,1.0,42.0,1.0,2.0,49.0,39.0,3.0,2.0,1.0,1.0,132.0,6.0,6.0,1.0,4.0,4.0,3.0,108.0,155.0,41.0,8.0,1.0,18.0,2.0,2.0,33.0,9.0,2.0,38.0,8.0,9.0,40.0,141.0,1.0,1.0,0.0,103.0,25.0,1.0,3.0,1.0,51.0,74.0,2.0,64.0,1.0,25.0,11.0,9.0,1.0,154.0,6.0,96.0,620.0,1.0,4.0,9.0,16.0,304.0,11.0,4.0,18.0,2.0,0.0,4.0,2.0,22.0,387.0,56.0,1.0,78091,4.0,177.0,13.0,1.0,202.0,7.0,1.0,11.0,7.0,59.0,1.0,2.0,10.0,13.0,5.0,6.0,1.0,83.0,312.0,14.0,5.0,40.0,69.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,3.0,1.0,53.3,17.0,1.0,1.0,1.0,11.0,3.0,31.0,8.0,2.0,400.0,16.0,9.0,23.0,2.0,17.0,3.0,1.0,231.0,5.0,9.0,13.0,65.0,18.0,1.0,2.0,18.0,11.0,6.0,3.0,13.0,2.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694918,2013-08-24 15:00:00,"St. Mary's Stadium, Southampton",29596,Home,Southampton,Sunderland,1,1,D,0,1,0,0,,,,61.0,1.0,1.0,56.0,38.0,7.0,,2.0,1.0,166.0,10.0,8.0,1.0,4.0,14.0,6.0,145.0,139.0,62.0,17.0,2.0,15.0,,2.0,27.0,10.0,1.0,38.0,5.0,22.0,42.0,258.0,,,0.0,156.0,11.0,2.0,2.0,1.0,78.0,84.0,8.0,76.0,,22.0,13.0,14.0,4.0,139.0,4.0,153.0,760.0,,12.0,7.0,14.0,449.0,18.0,1.0,23.0,1.0,2.0,1.0,6.0,19.0,527.0,83.0,1.0,78091,9.0,211.0,6.0,1.0,225.0,5.0,,12.0,9.0,49.0,2.0,1.0,5.0,10.0,4.0,5.0,,77.0,459.0,13.0,2.0,9.0,87.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,8.0,8.0,66.6,15.0,3.0,5.0,,5.0,3.0,60.0,5.0,1.0,540.0,14.0,15.0,20.0,8.0,33.0,2.0,4.0,342.0,9.0,18.0,32.0,109.0,31.0,,5.0,23.0,12.0,13.0,3.0,14.0,5.0,10.0,5.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694927,2013-08-31 15:00:00,"Carrow Road, Norwich",26819,Away,Southampton,Norwich City,0,1,L,0,0,0,0,,1.0,,60.0,,1.0,27.0,16.0,7.0,4.0,3.0,1.0,204.0,4.0,6.0,,4.0,7.0,2.0,101.0,178.0,58.0,11.0,3.0,21.0,3.0,1.0,18.0,16.0,,16.0,4.0,26.0,37.0,181.0,,,0.0,128.0,15.0,,2.0,4.0,48.0,60.0,4.0,80.0,,14.0,14.0,3.0,4.0,178.0,8.0,95.0,687.0,,6.0,6.0,3.0,363.0,31.0,5.0,8.0,3.0,0.0,4.0,3.0,33.0,468.0,63.0,1.0,80447,2.0,193.0,9.0,1.0,227.0,8.0,,14.0,8.0,70.0,2.0,6.0,3.0,5.0,6.0,5.0,,66.0,370.0,10.0,6.0,34.0,96.0,,1.0,0.0,2.0,5.0,3.0,,3.0,0.0,4.0,,57.8,26.0,,4.0,,4.0,4.0,52.0,4.0,4.0,480.0,3.0,11.0,18.0,5.0,19.0,,,271.0,7.0,22.0,24.0,84.0,19.0,,1.0,8.0,19.0,6.0,3.0,25.0,1.0,7.0,4.0,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694936,2013-09-15 16:00:00,"St. Mary's Stadium, Southampton",28794,Home,Southampton,West Ham United,0,0,D,0,0,0,0,1.0,,,52.0,,3.0,17.0,44.0,4.0,2.0,1.0,5.0,165.0,10.0,5.0,,5.0,10.0,5.0,94.0,161.0,63.0,15.0,2.0,17.0,2.0,3.0,24.0,18.0,1.0,44.0,10.0,16.0,38.0,161.0,1.0,,0.0,122.0,12.0,1.0,4.0,1.0,44.0,36.0,6.0,63.0,,14.0,20.0,2.0,1.0,161.0,4.0,91.0,666.0,,6.0,14.0,16.0,294.0,13.0,6.0,26.0,2.0,1.0,,4.0,30.0,401.0,56.0,2.0,78091,8.0,151.0,8.0,2.0,180.0,3.0,,20.0,10.0,54.0,5.0,,11.0,11.0,2.0,8.0,,36.0,302.0,9.0,9.0,17.0,81.0,1.0,,0.0,3.0,5.0,1.0,,2.0,0.0,6.0,3.0,58.7,29.0,2.0,1.0,1.0,11.0,5.0,47.0,10.0,1.0,413.0,16.0,18.0,16.0,5.0,27.0,4.0,3.0,257.0,10.0,11.0,23.0,75.0,24.0,,3.0,26.0,26.0,9.0,2.0,6.0,3.0,7.0,10.0,,,,4.0,1.0,,,,,1.0,,,,1.0,,,1.0,4.0,,,2.0,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694944,2013-09-21 15:00:00,"Anfield, Liverpool",44755,Away,Southampton,Liverpool,1,0,W,0,0,0,0,,1.0,,65.0,,2.0,19.0,29.0,4.0,2.0,5.0,5.0,167.0,3.0,8.0,1.0,1.0,8.0,7.0,76.0,174.0,66.0,12.0,,18.0,,1.0,19.0,32.0,2.0,29.0,5.0,13.0,28.0,158.0,1.0,,0.0,131.0,9.0,1.0,2.0,4.0,57.0,51.0,6.0,65.0,,14.0,13.0,5.0,2.0,174.0,4.0,65.0,598.0,,7.0,6.0,11.0,262.0,22.0,8.0,14.0,,1.0,1.0,2.0,29.0,361.0,59.0,,78091,4.0,113.0,7.0,1.0,136.0,1.0,,13.0,9.0,70.0,2.0,5.0,3.0,13.0,6.0,3.0,,50.0,268.0,6.0,24.0,36.0,83.0,,,0.0,,6.0,1.0,1.0,1.0,0.0,2.0,1.0,44.8,20.0,,6.0,,3.0,2.0,34.0,6.0,4.0,373.0,11.0,13.0,9.0,3.0,24.0,1.0,1.0,256.0,9.0,11.0,14.0,80.0,26.0,,2.0,14.0,38.0,10.0,3.0,15.0,2.0,7.0,6.0,1.0,1.0,,4.0,4.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,1.0,,2.0,,1.0,,,,,,,,1.0,,,2.0,,,,,,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694956,2013-09-28 15:00:00,"St. Mary's Stadium, Southampton",30699,Home,Southampton,Crystal Palace,2,0,W,0,0,0,0,,,,59.0,2.0,1.0,31.0,35.0,6.0,3.0,,1.0,178.0,2.0,5.0,2.0,4.0,7.0,4.0,136.0,151.0,45.0,12.0,2.0,29.0,1.0,1.0,22.0,13.0,1.0,35.0,7.0,24.0,45.0,254.0,1.0,,0.0,173.0,11.0,,1.0,1.0,90.0,96.0,2.0,85.0,1.0,15.0,20.0,4.0,3.0,151.0,3.0,138.0,765.0,,5.0,9.0,13.0,437.0,22.0,3.0,17.0,2.0,1.0,6.0,5.0,24.0,520.0,61.0,,78091,5.0,198.0,10.0,,213.0,1.0,1.0,20.0,8.0,69.0,4.0,1.0,3.0,14.0,5.0,4.0,,55.0,450.0,11.0,9.0,14.0,92.0,1.0,,0.0,,2.0,,1.0,6.0,0.0,1.0,1.0,60.8,21.0,,2.0,1.0,3.0,3.0,58.0,8.0,1.0,537.0,13.0,18.0,20.0,5.0,23.0,1.0,2.0,346.0,8.0,19.0,14.0,126.0,31.0,2.0,3.0,17.0,15.0,7.0,3.0,9.0,3.0,17.0,8.0,,,2.0,1.0,1.0,3.0,,1.0,2.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694967,2013-10-06 13:30:00,"St. Mary's Stadium, Southampton",28570,Home,Southampton,Swansea City,2,0,W,1,0,0,0,,,,64.0,,1.0,26.0,23.0,7.0,3.0,7.0,2.0,128.0,7.0,4.0,2.0,1.0,9.0,4.0,90.0,139.0,49.0,12.0,2.0,13.0,,,21.0,17.0,2.0,23.0,6.0,16.0,35.0,139.0,1.0,,0.0,110.0,13.0,1.0,,3.0,27.0,59.0,5.0,69.0,2.0,15.0,13.0,3.0,3.0,139.0,10.0,80.0,572.0,,8.0,12.0,15.0,273.0,20.0,6.0,12.0,,3.0,2.0,4.0,23.0,349.0,61.0,,57328,2.0,152.0,12.0,1.0,173.0,6.0,1.0,13.0,10.0,48.0,3.0,5.0,3.0,14.0,7.0,5.0,,49.0,284.0,8.0,9.0,21.0,69.0,,1.0,0.0,2.0,4.0,3.0,2.0,2.0,0.0,4.0,1.0,42.6,21.0,1.0,5.0,,3.0,3.0,36.0,7.0,3.0,367.0,15.0,8.0,14.0,5.0,16.0,3.0,2.0,215.0,8.0,14.0,15.0,69.0,26.0,1.0,4.0,12.0,23.0,8.0,3.0,10.0,4.0,7.0,7.0,,,1.0,,,2.0,4.0,2.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,4.0,,1.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,694975,2013-10-19 15:00:00,"Old Trafford, Manchester",75220,Away,Southampton,Manchester United,1,1,D,0,1,0,0,1.0,2.0,,53.0,,1.0,35.0,23.0,7.0,3.0,4.0,3.0,159.0,8.0,5.0,1.0,3.0,16.0,7.0,126.0,163.0,55.0,18.0,1.0,10.0,,5.0,27.0,22.0,2.0,23.0,4.0,11.0,31.0,182.0,,,0.0,137.0,19.0,2.0,2.0,,44.0,65.0,8.0,62.0,,23.0,12.0,8.0,4.0,163.0,10.0,107.0,664.0,,12.0,3.0,8.0,340.0,17.0,8.0,9.0,,3.0,2.0,8.0,27.0,436.0,74.0,1.0,57328,6.0,180.0,13.0,1.0,210.0,5.0,,12.0,5.0,52.0,,2.0,3.0,15.0,2.0,4.0,,62.0,354.0,9.0,6.0,31.0,82.0,3.0,1.0,0.0,4.0,4.0,3.0,1.0,1.0,0.0,5.0,5.0,53.6,23.0,4.0,4.0,1.0,3.0,2.0,47.0,4.0,,454.0,8.0,14.0,10.0,9.0,23.0,3.0,5.0,271.0,9.0,9.0,14.0,86.0,28.0,,,9.0,27.0,13.0,3.0,9.0,,9.0,4.0,,,1.0,4.0,2.0,,4.0,3.0,1.0,2.0,,1.0,1.0,2.0,,,,3.0,1.0,,2.0,,,,1.0,,,,,,,1.0,,,3.0,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,694987,2013-10-26 17:30:00,"St. Mary's Stadium, Southampton",28631,Home,Southampton,Fulham,2,0,W,2,0,0,0,1.0,,2.0,65.0,1.0,1.0,36.0,21.0,7.0,5.0,,3.0,165.0,8.0,15.0,2.0,1.0,15.0,6.0,168.0,141.0,70.0,20.0,4.0,18.0,,7.0,31.0,20.0,,21.0,10.0,16.0,43.0,235.0,1.0,,0.0,136.0,12.0,,,2.0,61.0,78.0,8.0,122.0,1.0,21.0,20.0,7.0,3.0,141.0,1.0,179.0,840.0,,13.0,8.0,11.0,536.0,21.0,7.0,12.0,,0.0,,7.0,18.0,620.0,54.0,,98777,8.0,322.0,14.0,,342.0,5.0,,20.0,1.0,56.0,2.0,4.0,5.0,9.0,,1.0,,54.0,549.0,8.0,11.0,18.0,82.0,,,0.0,,3.0,,2.0,3.0,0.0,6.0,6.0,66.2,14.0,3.0,2.0,,5.0,5.0,59.0,10.0,2.0,634.0,11.0,12.0,28.0,9.0,17.0,2.0,6.0,323.0,9.0,16.0,20.0,96.0,34.0,2.0,1.0,12.0,28.0,16.0,2.0,19.0,1.0,7.0,10.0,1.0,,,4.0,1.0,1.0,,1.0,,3.0,,1.0,2.0,1.0,,,,,,2.0,1.0,1.0,,2.0,,,,,,1.0,,3.0,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,694997,2013-11-02 15:00:00,"bet365 Stadium, Stoke",26053,Away,Southampton,Stoke City,1,1,D,1,1,0,0,,,1.0,69.0,,1.0,15.0,28.0,5.0,1.0,2.0,1.0,191.0,5.0,11.0,1.0,4.0,7.0,2.0,123.0,187.0,53.0,10.0,,15.0,1.0,2.0,25.0,13.0,1.0,28.0,5.0,24.0,39.0,201.0,,,0.0,129.0,13.0,,2.0,,57.0,68.0,3.0,70.0,1.0,20.0,21.0,4.0,4.0,187.0,5.0,124.0,747.0,,4.0,12.0,15.0,386.0,25.0,4.0,10.0,1.0,1.0,1.0,4.0,31.0,497.0,68.0,1.0,98777,3.0,197.0,14.0,,226.0,3.0,,21.0,12.0,59.0,2.0,2.0,7.0,17.0,4.0,9.0,,47.0,393.0,13.0,10.0,27.0,90.0,,,0.0,3.0,5.0,1.0,1.0,4.0,0.0,3.0,2.0,60.8,27.0,1.0,5.0,,7.0,1.0,38.0,5.0,,508.0,15.0,15.0,15.0,7.0,18.0,2.0,3.0,307.0,7.0,22.0,15.0,83.0,31.0,1.0,2.0,10.0,14.0,5.0,1.0,19.0,2.0,11.0,5.0,,,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
