gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,handBall,savedObox,saves,accuratePullBack,attPenTarget,attFreekickTotal,shotFastbreak,postScoringAtt,attMissLeft,attOboxTarget,penaltyWon,divingSave,totalFastbreak,attSvHighLeft,attSvLowLeft,attFreekickPost,freekickTotal,attOboxMiss,contentiousDecision,attHdTarget,hitWoodwork,attMissHighLeft,bigChanceMissed,sixYardBlock,totalPullBack,attCmissHighLeft,attAssistSetplay,attFastbreak,attSvLowRight,savedIbox,attOboxPost,attPostHigh,shieldBallOop,attFreekickMiss,dispossessed,accurateCornersIntobox,effectiveBlockedCross,blockedCross,attMissHighRight,interceptionsInBox,attMissRight,accurateFreekickCross,attSetpiece,attSvHighCentre,goals,goalAssistOpenplay,cleanSheet,attOboxGoal,midfielderGoals,attGoalHighCentre,goalAssist,attRfGoal,totalThroughBall,goalsOpenplay,attLfTarget,bigChanceScored,attGoalLowRight,attBxRight,attIboxPost,ptsGainedLosingPos,bigChanceCreated,ownGoals,attIboxGoal,goalAssistIntentional,attPostRight,attIboxOwnGoal,attGoalLowLeft,goalAssistSetplay,attSvHighRight,attHdPost,forwardGoals,ptsDroppedWinningPos,goalsConcededObox,goalAssistDeadball,defenderGoals,attFreekickTarget,clearanceOffLine,attHdGoal,errorLeadToGoal,attCmissLeft,attLfGoal,attGoalLowCentre,subsGoals,accurateThroughBall,attPenGoal,attCmissRight,attPostLeft,attCmissHighRight,errorLeadToShot,attObxdLeft,attGoalHighLeft,penaltySave,attObxLeft,attObxdRight,attGoalHighRight,attLgCentre,attOneOnOne,goalFastbreak,attLgLeft
11,2292917,2022-10-16 14:00:00,"St. Mary's Stadium, Southampton",29159,Away,West Ham United,Southampton,1,1,D,0,1,0,0,22.0,63.0,8.0,23.0,19.0,9.0,11.0,16.0,,182.0,10.0,4.0,5.0,2.0,16.0,4.0,121.0,158.0,57.0,25.0,4.0,23.0,2.0,,3.0,35.0,12.0,19.0,12.0,6.0,42.0,227.0,0.0,169.0,3.0,2.0,,89.0,75.0,8.0,64.0,23.0,28.0,9.0,9.0,158.0,5.0,121.0,701.0,13.0,8.0,25.0,7.0,379.0,28.0,3.0,11.0,,1.0,1.0,8.0,20.0,474.0,61.0,86934,10.0,168.0,12.0,,201.0,2.0,10.0,3.0,48.0,,,7.0,15.0,5.0,2.0,1.0,44.0,391.0,7.0,8.0,11.0,6.0,64.0,,0.0,,4.0,1.0,1.0,0.0,3.0,4.0,60.9,19.0,1.0,5.0,2.0,7.0,12.0,44.0,14.0,,,488.0,,7.0,26.0,9.0,45.0,5.0,322.0,10.0,4.0,23.0,126.0,22.0,11.0,22.0,,19.0,3.0,9.0,10.0,14.0,,3.0,7.0,,,,3.0,1.0,2.0,1.0,,3.0,3.0,,,,,3.0,,1.0,1.0,,1.0,1.0,,,2.0,3.0,,4.0,,,,,10.0,1.0,,,2.0,3.0,3.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,3.0,1.0,2.0,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,,
12,2292927,2022-10-19 19:30:00,"Anfield, Liverpool",53346,Away,West Ham United,Liverpool,0,1,L,0,1,0,0,21.0,62.0,1.0,40.0,18.0,1.0,2.0,7.0,2.0,161.0,15.0,4.0,9.0,2.0,5.0,3.0,138.0,138.0,40.0,8.0,,11.0,3.0,,,13.0,8.0,18.0,3.0,5.0,38.0,157.0,0.0,103.0,8.0,1.0,1.0,84.0,59.0,2.0,77.0,10.0,18.0,1.0,6.0,138.0,15.0,134.0,682.0,3.0,,14.0,8.0,397.0,26.0,3.0,11.0,,0.0,6.0,3.0,21.0,490.0,55.0,86934,5.0,259.0,3.0,,294.0,4.0,11.0,9.0,37.0,,,7.0,14.0,7.0,7.0,1.0,78.0,412.0,9.0,6.0,18.0,3.0,68.0,,0.0,2.0,8.0,1.0,,0.0,2.0,2.0,46.2,19.0,2.0,6.0,,7.0,1.0,36.0,3.0,,1.0,510.0,,8.0,17.0,4.0,15.0,3.0,229.0,4.0,5.0,7.0,68.0,21.0,11.0,15.0,1.0,4.0,2.0,13.0,11.0,3.0,1.0,1.0,6.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,3.0,,,1.0,1.0,,,1.0,5.0,,3.0,,2.0,1.0,,5.0,,,,,9.0,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
13,2292938,2022-10-24 20:00:00,"London Stadium, London",62447,Home,West Ham United,Bournemouth,2,0,W,1,0,0,0,28.0,59.0,4.0,33.0,9.0,8.0,3.0,11.0,1.0,166.0,14.0,7.0,9.0,5.0,14.0,4.0,128.0,135.0,57.0,20.0,4.0,18.0,1.0,,,26.0,10.0,9.0,5.0,3.0,47.0,201.0,0.0,117.0,9.0,3.0,,73.0,75.0,7.0,82.0,21.0,9.0,9.0,6.0,135.0,4.0,121.0,694.0,10.0,1.0,24.0,8.0,413.0,20.0,1.0,5.0,,0.0,,7.0,26.0,484.0,58.0,86934,7.0,227.0,12.0,,246.0,3.0,9.0,5.0,53.0,,1.0,6.0,16.0,1.0,2.0,2.0,58.0,421.0,10.0,6.0,6.0,3.0,82.0,,0.0,,,,,0.0,5.0,5.0,54.4,24.0,3.0,2.0,3.0,6.0,8.0,54.0,5.0,,,497.0,,8.0,23.0,8.0,38.0,4.0,277.0,12.0,3.0,17.0,85.0,28.0,5.0,22.0,,13.0,3.0,14.0,3.0,5.0,,,3.0,1.0,,1.0,,,2.0,1.0,1.0,,,,,,1.0,4.0,2.0,,,,,1.0,2.0,,3.0,,,3.0,,,,1.0,16.0,2.0,,,1.0,1.0,3.0,2.0,2.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,,,1.0,,2.0,1.0,,,2.0,1.0,1.0,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,
14,2292948,2022-10-30 16:15:00,"Old Trafford, Manchester",73682,Away,West Ham United,Manchester United,0,1,L,0,1,0,0,18.0,60.0,1.0,29.0,19.0,9.0,,4.0,4.0,135.0,6.0,4.0,4.0,2.0,10.0,5.0,105.0,133.0,43.0,13.0,5.0,16.0,2.0,,1.0,29.0,7.0,19.0,9.0,3.0,42.0,166.0,0.0,103.0,10.0,2.0,,62.0,65.0,8.0,68.0,20.0,15.0,9.0,7.0,133.0,11.0,104.0,609.0,10.0,4.0,24.0,8.0,323.0,18.0,1.0,10.0,,3.0,6.0,2.0,19.0,392.0,49.0,86934,3.0,179.0,11.0,,200.0,8.0,15.0,6.0,50.0,,2.0,9.0,10.0,5.0,5.0,1.0,55.0,341.0,12.0,6.0,6.0,1.0,58.0,2.0,0.0,3.0,5.0,1.0,3.0,0.0,4.0,1.0,47.0,15.0,,3.0,,9.0,6.0,37.0,10.0,,,412.0,,8.0,20.0,2.0,36.0,1.0,241.0,12.0,3.0,14.0,71.0,30.0,10.0,13.0,1.0,11.0,3.0,15.0,7.0,10.0,,1.0,2.0,2.0,,,1.0,,,3.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,2.0,,,1.0,,1.0,,,1.0,,7.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2292958,2022-11-06 14:00:00,"London Stadium, London",62451,Home,West Ham United,Crystal Palace,1,2,L,1,1,0,0,21.0,69.0,,21.0,15.0,2.0,1.0,3.0,,157.0,12.0,2.0,2.0,,4.0,2.0,100.0,126.0,35.0,5.0,,10.0,1.0,2.0,1.0,12.0,9.0,15.0,2.0,4.0,36.0,118.0,0.0,70.0,10.0,1.0,1.0,34.0,61.0,2.0,65.0,10.0,17.0,2.0,2.0,126.0,8.0,97.0,573.0,1.0,9.0,8.0,9.0,322.0,27.0,2.0,7.0,2.0,1.0,7.0,2.0,13.0,402.0,45.0,86934,2.0,221.0,7.0,,244.0,6.0,6.0,7.0,41.0,,4.0,11.0,16.0,7.0,7.0,2.0,49.0,337.0,5.0,8.0,11.0,1.0,69.0,1.0,0.0,1.0,5.0,2.0,4.0,0.0,1.0,2.0,42.0,13.0,1.0,1.0,,11.0,,36.0,2.0,,1.0,419.0,,9.0,13.0,3.0,16.0,2.0,187.0,2.0,4.0,12.0,38.0,27.0,7.0,16.0,2.0,3.0,4.0,10.0,6.0,2.0,,4.0,5.0,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,2.0,,,,,,1.0,,5.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
16,2292968,2022-11-12 15:00:00,"London Stadium, London",62459,Home,West Ham United,Leicester City,0,2,L,0,1,0,0,24.0,74.0,2.0,30.0,9.0,5.0,3.0,12.0,3.0,186.0,11.0,5.0,9.0,1.0,14.0,6.0,107.0,159.0,56.0,18.0,1.0,12.0,4.0,,4.0,19.0,12.0,9.0,5.0,5.0,52.0,171.0,0.0,146.0,9.0,1.0,1.0,89.0,52.0,7.0,67.0,14.0,22.0,6.0,2.0,159.0,4.0,123.0,677.0,10.0,5.0,24.0,10.0,362.0,25.0,1.0,9.0,,3.0,1.0,7.0,29.0,467.0,62.0,86934,8.0,208.0,11.0,1.0,235.0,7.0,14.0,3.0,44.0,,2.0,3.0,14.0,5.0,2.0,3.0,57.0,374.0,8.0,4.0,7.0,4.0,68.0,,0.0,,2.0,2.0,2.0,0.0,3.0,6.0,53.6,28.0,4.0,10.0,2.0,3.0,3.0,37.0,7.0,1.0,1.0,483.0,,10.0,22.0,9.0,35.0,6.0,267.0,9.0,4.0,21.0,95.0,35.0,9.0,18.0,1.0,13.0,2.0,21.0,14.0,7.0,,2.0,4.0,,,,,,,2.0,,4.0,,,,,,3.0,,2.0,,,,,1.0,,4.0,,,2.0,,,,,7.0,2.0,1.0,1.0,2.0,,4.0,1.0,1.0,,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
17,2292970,2022-12-26 20:00:00,"Emirates Stadium, London",60125,Away,West Ham United,Arsenal,1,3,L,1,0,0,0,22.0,61.0,,22.0,22.0,4.0,3.0,4.0,3.0,151.0,8.0,1.0,,1.0,6.0,4.0,59.0,117.0,42.0,8.0,,15.0,1.0,,,12.0,7.0,22.0,5.0,5.0,32.0,98.0,0.0,58.0,17.0,,,26.0,57.0,2.0,60.0,7.0,11.0,4.0,,117.0,8.0,61.0,478.0,5.0,5.0,10.0,7.0,234.0,41.0,8.0,11.0,,2.0,5.0,4.0,15.0,304.0,33.0,86934,1.0,153.0,7.0,,180.0,7.0,3.0,7.0,53.0,,,2.0,8.0,8.0,1.0,,56.0,250.0,13.0,6.0,23.0,2.0,67.0,3.0,0.0,,7.0,3.0,1.0,0.0,,,33.5,13.0,,2.0,2.0,2.0,,32.0,5.0,,,331.0,,7.0,19.0,4.0,18.0,2.0,163.0,5.0,4.0,16.0,38.0,13.0,11.0,14.0,3.0,4.0,2.0,7.0,3.0,5.0,,1.0,2.0,,,,,,1.0,2.0,1.0,2.0,,,,,,2.0,,,,2.0,,,,,1.0,,2.0,1.0,,,1.0,,8.0,1.0,3.0,3.0,1.0,2.0,,,1.0,,1.0,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,3.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
18,2292988,2022-12-30 19:45:00,"London Stadium, London",62467,Home,West Ham United,Brentford,0,2,L,0,2,0,0,13.0,59.0,4.0,35.0,10.0,7.0,7.0,12.0,1.0,162.0,7.0,9.0,5.0,2.0,15.0,5.0,162.0,140.0,39.0,20.0,2.0,14.0,3.0,,1.0,41.0,5.0,10.0,7.0,5.0,37.0,319.0,0.0,202.0,9.0,,,144.0,82.0,7.0,92.0,34.0,14.0,8.0,22.0,140.0,7.0,154.0,757.0,12.0,5.0,31.0,7.0,482.0,22.0,3.0,4.0,,1.0,1.0,8.0,27.0,557.0,59.0,86934,7.0,183.0,12.0,,194.0,4.0,3.0,6.0,41.0,,,4.0,11.0,2.0,5.0,1.0,55.0,493.0,5.0,2.0,10.0,4.0,59.0,,0.0,3.0,1.0,2.0,2.0,0.0,6.0,6.0,63.1,26.0,4.0,3.0,2.0,4.0,6.0,36.0,8.0,,,570.0,,7.0,19.0,9.0,43.0,5.0,417.0,7.0,5.0,17.0,169.0,29.0,4.0,12.0,2.0,12.0,2.0,14.0,3.0,8.0,,1.0,4.0,1.0,,2.0,,1.0,3.0,2.0,,2.0,,1.0,,,2.0,3.0,1.0,2.0,1.0,1.0,,1.0,1.0,,3.0,,1.0,3.0,1.0,,1.0,1.0,7.0,3.0,,,,1.0,3.0,,,2.0,,,,,,,,,,,2.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,
19,2292996,2023-01-04 19:45:00,"Elland Road, Leeds",36173,Away,West Ham United,Leeds United,2,2,D,1,1,0,0,25.0,52.0,1.0,25.0,18.0,7.0,3.0,7.0,,148.0,15.0,3.0,3.0,3.0,5.0,2.0,47.0,158.0,58.0,15.0,1.0,23.0,,,,16.0,9.0,18.0,1.0,2.0,38.0,108.0,0.0,94.0,18.0,,,66.0,42.0,1.0,34.0,15.0,24.0,8.0,3.0,158.0,11.0,46.0,466.0,5.0,18.0,12.0,13.0,153.0,20.0,3.0,10.0,,1.0,3.0,4.0,25.0,246.0,44.0,86934,4.0,67.0,12.0,,97.0,10.0,12.0,13.0,65.0,1.0,3.0,1.0,14.0,3.0,8.0,1.0,59.0,172.0,11.0,5.0,16.0,1.0,61.0,1.0,0.0,,8.0,2.0,8.0,0.0,3.0,2.0,36.7,19.0,2.0,10.0,1.0,1.0,2.0,29.0,1.0,,1.0,275.0,,13.0,13.0,11.0,29.0,5.0,194.0,10.0,1.0,25.0,56.0,20.0,10.0,19.0,1.0,13.0,4.0,12.0,12.0,1.0,,,3.0,,,,1.0,,4.0,,1.0,1.0,1.0,,,,,6.0,1.0,,,,1.0,,,,,1.0,,4.0,,,,,10.0,,2.0,2.0,2.0,4.0,4.0,,,,2.0,,,1.0,1.0,,,1.0,3.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,2.0,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,
20,2293009,2023-01-14 15:00:00,"Molineux Stadium, Wolverhampton",31511,Away,West Ham United,Wolverhampton Wanderers,0,1,L,0,0,0,0,20.0,66.0,3.0,30.0,17.0,7.0,6.0,9.0,3.0,158.0,8.0,10.0,7.0,2.0,12.0,4.0,82.0,146.0,47.0,16.0,4.0,16.0,4.0,,1.0,31.0,4.0,17.0,3.0,2.0,34.0,154.0,0.0,113.0,7.0,4.0,1.0,76.0,47.0,8.0,43.0,28.0,22.0,7.0,7.0,146.0,10.0,86.0,566.0,11.0,11.0,28.0,11.0,275.0,29.0,5.0,7.0,,2.0,7.0,4.0,22.0,352.0,51.0,86934,5.0,144.0,17.0,,165.0,6.0,7.0,4.0,46.0,,1.0,2.0,18.0,7.0,4.0,,55.0,288.0,10.0,8.0,17.0,,63.0,,0.0,1.0,4.0,1.0,3.0,0.0,10.0,2.0,41.5,14.0,2.0,3.0,2.0,3.0,7.0,38.0,3.0,,1.0,369.0,,11.0,16.0,5.0,43.0,2.0,235.0,8.0,1.0,19.0,75.0,29.0,7.0,11.0,1.0,14.0,2.0,14.0,7.0,3.0,,2.0,3.0,,,,,,3.0,,,1.0,,,2.0,,,3.0,,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,8.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,2293019,2023-01-21 15:00:00,"London Stadium, London",62470,Home,West Ham United,Everton,2,0,W,2,0,0,0,19.0,61.0,3.0,13.0,50.0,2.0,4.0,9.0,1.0,129.0,11.0,6.0,7.0,,10.0,4.0,74.0,124.0,47.0,11.0,1.0,19.0,1.0,,,18.0,9.0,50.0,3.0,3.0,25.0,129.0,0.0,95.0,9.0,,1.0,57.0,42.0,7.0,51.0,15.0,13.0,2.0,4.0,124.0,4.0,92.0,544.0,8.0,3.0,22.0,13.0,268.0,28.0,1.0,27.0,,1.0,2.0,3.0,15.0,330.0,52.0,86934,4.0,152.0,11.0,,168.0,8.0,5.0,4.0,51.0,1.0,1.0,2.0,13.0,1.0,1.0,1.0,39.0,275.0,5.0,4.0,11.0,3.0,54.0,1.0,0.0,1.0,9.0,,1.0,0.0,5.0,4.0,32.2,8.0,2.0,4.0,1.0,2.0,4.0,29.0,4.0,,1.0,346.0,,13.0,11.0,3.0,22.0,3.0,196.0,3.0,2.0,18.0,61.0,25.0,27.0,17.0,,8.0,4.0,20.0,5.0,4.0,,1.0,2.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,2.0,,1.0,1.0,,1.0,,,,,6.0,1.0,2.0,2.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,,,2.0,1.0,,4.0,1.0,1.0,2.0,,,,,2.0,,2.0,1.0,,,,,1.0,,2.0,,,,,,,,,,2.0,,,3.0,,1.0,,,,,,,,,,,,,
22,2293026,2023-02-04 17:30:00,"St. James' Park, Newcastle",52256,Away,West Ham United,Newcastle United,1,1,D,1,1,0,0,21.0,66.0,1.0,19.0,21.0,4.0,3.0,6.0,,157.0,9.0,3.0,6.0,2.0,8.0,1.0,60.0,146.0,50.0,10.0,3.0,20.0,,,,15.0,11.0,21.0,2.0,1.0,41.0,114.0,0.0,94.0,13.0,1.0,3.0,53.0,43.0,3.0,52.0,13.0,25.0,4.0,3.0,146.0,7.0,60.0,512.0,7.0,3.0,18.0,17.0,218.0,32.0,6.0,12.0,,1.0,3.0,5.0,18.0,302.0,51.0,86934,5.0,116.0,9.0,,147.0,7.0,13.0,8.0,51.0,,2.0,,13.0,1.0,3.0,2.0,68.0,227.0,10.0,6.0,25.0,2.0,76.0,,0.0,1.0,4.0,1.0,,0.0,3.0,3.0,37.3,15.0,3.0,3.0,,,4.0,29.0,2.0,,3.0,329.0,,17.0,18.0,5.0,25.0,4.0,197.0,4.0,1.0,15.0,56.0,23.0,12.0,19.0,,7.0,5.0,10.0,13.0,2.0,1.0,,1.0,,,,,,2.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,9.0,,,,,3.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
23,2293039,2023-02-11 12:30:00,"London Stadium, London",62471,Home,West Ham United,Chelsea,1,1,D,1,1,0,0,13.0,44.0,2.0,13.0,25.0,2.0,3.0,8.0,1.0,104.0,5.0,4.0,7.0,3.0,7.0,2.0,58.0,110.0,56.0,10.0,1.0,18.0,1.0,,1.0,16.0,14.0,25.0,3.0,1.0,25.0,104.0,0.0,94.0,9.0,1.0,2.0,34.0,58.0,3.0,40.0,13.0,16.0,2.0,2.0,110.0,6.0,45.0,435.0,6.0,3.0,27.0,7.0,170.0,18.0,1.0,18.0,,1.0,4.0,4.0,19.0,224.0,42.0,86934,3.0,87.0,10.0,,95.0,6.0,8.0,6.0,61.0,1.0,3.0,6.0,7.0,6.0,4.0,1.0,33.0,187.0,11.0,13.0,12.0,1.0,43.0,,0.0,1.0,6.0,1.0,,0.0,3.0,2.0,28.2,13.0,2.0,6.0,1.0,6.0,3.0,24.0,5.0,,2.0,247.0,,7.0,14.0,5.0,31.0,4.0,168.0,5.0,1.0,15.0,59.0,12.0,18.0,23.0,1.0,7.0,4.0,12.0,8.0,5.0,,2.0,3.0,,,1.0,,,2.0,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,16.0,1.0,1.0,1.0,,1.0,2.0,,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
24,2293048,2023-02-19 16:30:00,"Tottenham Hotspur Stadium, London",61476,Away,West Ham United,Tottenham Hotspur,0,2,L,0,0,0,0,21.0,65.0,1.0,19.0,17.0,2.0,2.0,4.0,,154.0,8.0,3.0,10.0,4.0,4.0,1.0,95.0,157.0,64.0,6.0,,19.0,1.0,3.0,,23.0,11.0,17.0,6.0,2.0,48.0,162.0,0.0,114.0,10.0,3.0,,53.0,56.0,1.0,55.0,17.0,19.0,2.0,6.0,157.0,8.0,99.0,591.0,4.0,3.0,13.0,13.0,282.0,27.0,3.0,9.0,3.0,1.0,6.0,3.0,18.0,374.0,51.0,86934,2.0,143.0,8.0,,168.0,4.0,5.0,11.0,51.0,1.0,,1.0,13.0,8.0,4.0,1.0,55.0,302.0,16.0,5.0,17.0,,67.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,43.0,15.0,1.0,6.0,1.0,1.0,1.0,29.0,7.0,,,403.0,,13.0,15.0,4.0,28.0,2.0,258.0,3.0,1.0,20.0,71.0,28.0,9.0,18.0,2.0,4.0,4.0,16.0,5.0,7.0,2.0,2.0,4.0,1.0,,1.0,,,,,,2.0,,,1.0,,1.0,2.0,,,,,,,1.0,,,,,2.0,,,1.0,1.0,13.0,1.0,1.0,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
25,2293059,2023-02-25 15:00:00,"London Stadium, London",62469,Home,West Ham United,Nottingham Forest,4,0,W,0,0,0,0,14.0,71.0,3.0,20.0,15.0,6.0,8.0,12.0,1.0,155.0,6.0,6.0,11.0,1.0,16.0,5.0,100.0,149.0,54.0,18.0,2.0,23.0,1.0,,,33.0,9.0,15.0,10.0,4.0,52.0,187.0,0.0,152.0,8.0,2.0,,60.0,79.0,9.0,63.0,23.0,23.0,6.0,5.0,149.0,4.0,91.0,591.0,10.0,3.0,38.0,7.0,308.0,29.0,1.0,6.0,,0.0,2.0,7.0,15.0,393.0,46.0,86934,3.0,138.0,16.0,,164.0,2.0,10.0,8.0,57.0,2.0,1.0,2.0,13.0,4.0,6.0,2.0,47.0,319.0,5.0,13.0,11.0,4.0,58.0,,0.0,1.0,3.0,,1.0,0.0,4.0,3.0,49.1,13.0,2.0,10.0,1.0,2.0,5.0,32.0,12.0,,,409.0,,7.0,23.0,8.0,42.0,5.0,278.0,6.0,4.0,25.0,112.0,28.0,6.0,13.0,,14.0,5.0,20.0,10.0,12.0,2.0,1.0,3.0,1.0,,,,1.0,3.0,,,1.0,,,1.0,,,2.0,2.0,,2.0,1.0,1.0,,2.0,,2.0,,,2.0,1.0,,2.0,,6.0,2.0,1.0,1.0,,1.0,1.0,,,,4.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,,3.0,1.0,4.0,,,4.0,,3.0,3.0,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,
26,2293063,2023-03-04 15:00:00,"American Express Stadium, Falmer",31523,Away,West Ham United,Brighton and Hove Albion,0,4,L,0,1,0,0,18.0,43.0,1.0,15.0,20.0,,1.0,3.0,1.0,136.0,13.0,,8.0,,3.0,2.0,79.0,115.0,30.0,3.0,,8.0,2.0,,1.0,7.0,5.0,20.0,3.0,2.0,43.0,85.0,0.0,61.0,8.0,,1.0,40.0,32.0,3.0,60.0,4.0,14.0,,2.0,115.0,12.0,93.0,520.0,3.0,6.0,9.0,10.0,272.0,21.0,1.0,9.0,,3.0,4.0,,18.0,345.0,23.0,86934,2.0,205.0,2.0,1.0,241.0,4.0,7.0,12.0,47.0,,,4.0,7.0,8.0,10.0,,41.0,290.0,5.0,12.0,6.0,,39.0,,0.0,2.0,7.0,4.0,1.0,0.0,,,34.2,17.0,,2.0,,4.0,1.0,17.0,3.0,1.0,1.0,368.0,1.0,10.0,15.0,,12.0,,134.0,2.0,2.0,6.0,39.0,16.0,9.0,11.0,3.0,3.0,4.0,16.0,7.0,3.0,,2.0,5.0,,,,1.0,,,,,4.0,1.0,,1.0,,,,,,,,,,,,,1.0,,3.0,,,2.0,,12.0,,2.0,2.0,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
