gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,punches,redCard,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attGoalLowRight,attGoalLowCentre,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissHighRight,cleanSheet,totalFastbreak,attLgCentre,attMissHighLeft,goalAssist,totalKeeperSweeper,accurateThroughBall,attSetpiece,totalThroughBall,goalsOpenplay,attAssistSetplay,attFastbreak,overrun,savedIbox,goalsConcededObox,postScoringAtt,attIboxPost,attOboxTarget,attPostLeft,hitWoodwork,fastestPlayer_topSpeed,totalDistance,errorLeadToGoal,goalAssistSetplay,accuratePullBack,ptsGainedLosingPos,subsGoals,accurateFreekickCross,attRfGoal,totalPullBack,attCmissHigh,goalAssistIntentional,shieldBallOop,attFreekickTotal,attSvHighRight,attSvLowLeft,freekickTotal,errorLeadToShot,attHdPost,attGoalHighLeft,attPostHigh,attFreekickMiss,forwardGoals,attHdGoal,contentiousDecision,ownGoals,attIboxOwnGoal,ptsDroppedWinningPos,attCmissHighRight,secondYellow,attOneOnOne,attSvHighCentre,goalAssistDeadball,defenderGoals,attFreekickTarget,attGoalHighRight,attOboxGoal,attSvHighLeft,penaltyConceded,attFreekickGoal,penaltyFaced,penGoalsConceded,attOboxPost,attPostRight,attGoalHighCentre,clearanceOffLine,expectedGoalsOnTarget,attObxLeft,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,winningGoal,keeperGoals,attObpGoal,attCmissHighLeft
1,2444476,2024-08-17 17:30:00,"London Stadium, London",62463,Home,West Ham United,Aston Villa,1,2,L,1,1,0,0,1.0,47.0,1.0,1.0,2.0,27.0,22.0,3.0,4.0,11.0,1.0,1.0,1.0,127.0,5.0,4.0,1.0,2.0,10.0,1.0,3.0,110.0,127.0,43.0,14.0,2.0,13.0,2.0,2.0,1.0,2.0,25.0,10.0,22.0,5.0,8.0,45.0,145.0,1.0,0.0,79.0,18.0,1.0,1.0,2.0,1.0,56.0,37.0,6.0,55.0,1.0,2.0,20.0,19.0,3.0,5.0,1.0,127.0,2.0,10.0,125.0,612.0,10.0,3.0,26.0,1.0,6.0,335.0,22.0,5.0,16.0,1.0,6.0,4.0,14.0,398.0,39.0,91889,4.0,212.0,3.0,13.0,2.0,234.0,11.0,8.0,7.0,62.0,1.0,7.0,16.0,5.0,7.0,3.0,1.0,52.0,352.0,11.0,8.0,18.0,2.0,46.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,4.0,4.0,52.1,13.0,2.0,3.0,1.0,7.0,4.0,26.0,5.0,1.0,417.0,6.0,18.0,24.0,7.0,31.0,1.0,6.0,208.0,6.0,8.0,14.0,55.0,14.0,3.0,16.0,14.0,2.0,11.0,5.0,10.0,3.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444483,2024-08-24 15:00:00,"Selhurst Park, London",25099,Away,West Ham United,Crystal Palace,2,0,W,0,0,0,0,,57.0,,1.0,4.0,31.0,25.0,4.0,8.0,13.0,2.0,2.0,,158.0,4.0,14.0,2.0,,8.0,,3.0,90.0,144.0,66.0,18.0,1.0,13.0,1.0,,1.0,3.0,14.0,12.0,25.0,3.0,12.0,39.0,105.0,,0.0,76.0,17.0,1.0,2.0,,1.0,35.0,41.0,3.0,55.0,2.0,3.0,11.0,15.0,5.0,,4.0,144.0,,8.0,90.0,596.0,4.0,4.0,21.0,,15.0,285.0,26.0,9.0,13.0,1.0,4.0,5.0,13.0,368.0,57.0,91889,5.0,201.0,1.0,11.0,1.0,230.0,7.0,6.0,13.0,55.0,2.0,3.0,13.0,6.0,7.0,2.0,,68.0,302.0,9.0,3.0,28.0,5.0,68.0,,,,0.0,3.0,2.0,,,0.0,1.0,4.0,41.6,11.0,3.0,3.0,5.0,3.0,5.0,32.0,3.0,1.0,393.0,15.0,14.0,20.0,10.0,15.0,3.0,6.0,177.0,6.0,12.0,23.0,41.0,23.0,,13.0,20.0,,12.0,5.0,23.0,,6.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444499,2024-08-31 17:30:00,"London Stadium, London",62469,Home,West Ham United,Manchester City,1,3,L,1,2,0,0,,37.0,,1.0,2.0,19.0,20.0,3.0,6.0,7.0,5.0,,1.0,114.0,4.0,10.0,1.0,1.0,6.0,1.0,2.0,81.0,95.0,32.0,10.0,1.0,7.0,1.0,,1.0,1.0,14.0,6.0,20.0,2.0,8.0,27.0,140.0,,0.0,96.0,10.0,2.0,,,1.0,46.0,56.0,3.0,59.0,3.0,2.0,12.0,21.0,3.0,5.0,1.0,95.0,1.0,19.0,86.0,499.0,5.0,2.0,24.0,,6.0,270.0,17.0,4.0,7.0,3.0,5.0,3.0,19.0,321.0,42.0,460842,2.0,148.0,1.0,7.0,1.0,164.0,8.0,8.0,8.0,44.0,,6.0,10.0,4.0,6.0,,,34.0,284.0,2.0,12.0,8.0,2.0,43.0,1.0,,1.0,0.0,11.0,1.0,3.0,,0.0,3.0,1.0,32.4,16.0,1.0,3.0,3.0,6.0,3.0,27.0,3.0,1.0,340.0,6.0,10.0,15.0,5.0,20.0,1.0,3.0,190.0,3.0,7.0,9.0,70.0,9.0,1.0,7.0,11.0,2.0,8.0,5.0,15.0,1.0,8.0,3.0,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,33.16,108266.08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444504,2024-09-14 15:00:00,"Craven Cottage, London",26528,Away,West Ham United,Fulham,1,1,D,0,1,0,0,,45.0,,1.0,1.0,18.0,24.0,4.0,3.0,7.0,4.0,,1.0,130.0,5.0,9.0,1.0,5.0,9.0,,3.0,76.0,138.0,52.0,11.0,2.0,21.0,2.0,2.0,2.0,,16.0,10.0,24.0,2.0,8.0,35.0,131.0,,0.0,96.0,18.0,1.0,,4.0,,61.0,44.0,5.0,46.0,,2.0,14.0,22.0,4.0,3.0,2.0,138.0,1.0,17.0,81.0,551.0,6.0,7.0,13.0,1.0,10.0,238.0,17.0,4.0,12.0,3.0,6.0,4.0,26.0,305.0,45.0,214048,4.0,132.0,1.0,7.0,,159.0,12.0,10.0,13.0,80.0,2.0,2.0,12.0,4.0,9.0,1.0,,48.0,258.0,15.0,12.0,21.0,2.0,52.0,,,,0.0,3.0,1.0,1.0,2.0,0.0,4.0,3.0,45.5,18.0,2.0,5.0,,2.0,3.0,24.0,2.0,,333.0,10.0,24.0,21.0,5.0,23.0,1.0,3.0,190.0,5.0,7.0,10.0,72.0,18.0,,12.0,18.0,1.0,5.0,5.0,15.0,,10.0,2.0,,,1.0,,,,,,,,,,2.0,1.0,,,1.0,,,2.0,,,3.0,,,,,,,32.77,100576.29,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444519,2024-09-21 12:30:00,"London Stadium, London",62473,Home,West Ham United,Chelsea,0,3,L,0,2,0,0,,50.0,,,1.0,20.0,10.0,7.0,8.0,8.0,2.0,,4.0,167.0,6.0,9.0,,3.0,9.0,,7.0,131.0,107.0,43.0,15.0,4.0,10.0,5.0,4.0,3.0,1.0,29.0,6.0,10.0,6.0,6.0,38.0,238.0,,0.0,144.0,17.0,2.0,,3.0,,60.0,74.0,7.0,78.0,1.0,,23.0,13.0,7.0,7.0,1.0,107.0,,11.0,122.0,666.0,8.0,2.0,36.0,,8.0,430.0,17.0,2.0,4.0,5.0,3.0,2.0,9.0,484.0,68.0,460842,1.0,212.0,,13.0,,223.0,11.0,6.0,4.0,52.0,2.0,4.0,8.0,1.0,4.0,1.0,,35.0,444.0,9.0,6.0,6.0,2.0,44.0,2.0,,1.0,0.0,5.0,,3.0,1.0,0.0,4.0,1.0,53.0,9.0,1.0,7.0,,4.0,5.0,31.0,6.0,,498.0,8.0,8.0,22.0,3.0,43.0,2.0,2.0,304.0,6.0,6.0,10.0,108.0,22.0,,4.0,16.0,3.0,11.0,5.0,20.0,,6.0,6.0,,3.0,,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,,2.0,,,35.31,104266.38,,,,,,2.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2444522,2024-09-28 15:00:00,"Gtech Community Stadium, Brentford",17050,Away,West Ham United,Brentford,1,1,D,0,1,0,0,1.0,55.0,1.0,2.0,5.0,34.0,37.0,6.0,9.0,11.0,2.0,1.0,1.0,138.0,4.0,10.0,1.0,,14.0,,3.0,97.0,143.0,46.0,19.0,1.0,18.0,2.0,2.0,1.0,1.0,16.0,7.0,37.0,5.0,8.0,48.0,192.0,,0.0,150.0,11.0,1.0,1.0,,,64.0,48.0,7.0,62.0,1.0,4.0,11.0,17.0,8.0,5.0,7.0,143.0,1.0,4.0,102.0,615.0,12.0,4.0,39.0,,10.0,308.0,26.0,6.0,23.0,3.0,3.0,7.0,18.0,387.0,54.0,462116,5.0,128.0,,6.0,,143.0,3.0,10.0,6.0,53.0,2.0,4.0,15.0,4.0,2.0,3.0,,65.0,316.0,2.0,4.0,23.0,4.0,56.0,,,,0.0,7.0,1.0,1.0,1.0,0.0,2.0,1.0,42.8,14.0,1.0,4.0,3.0,4.0,6.0,28.0,6.0,,399.0,10.0,17.0,34.0,10.0,30.0,2.0,3.0,272.0,9.0,7.0,17.0,105.0,20.0,1.0,23.0,17.0,1.0,14.0,5.0,18.0,1.0,10.0,7.0,3.0,1.0,,,1.0,1.0,1.0,,2.0,,1.0,2.0,,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,2.0,,,,,,,,33.71,111364.65,,,,1.0,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2444539,2024-10-05 15:00:00,"London Stadium, London",62467,Home,West Ham United,Ipswich Town,4,1,W,2,1,0,0,3.0,55.0,1.0,,4.0,31.0,18.0,5.0,8.0,17.0,2.0,1.0,5.0,138.0,3.0,8.0,4.0,1.0,15.0,,13.0,118.0,109.0,42.0,23.0,,16.0,6.0,4.0,6.0,,11.0,11.0,18.0,5.0,10.0,50.0,154.0,,0.0,91.0,12.0,2.0,3.0,1.0,2.0,53.0,51.0,13.0,106.0,1.0,,6.0,14.0,6.0,2.0,3.0,109.0,6.0,5.0,134.0,676.0,13.0,5.0,27.0,,8.0,421.0,22.0,3.0,8.0,0.0,3.0,2.0,13.0,481.0,45.0,57531,8.0,281.0,6.0,3.0,2.0,304.0,6.0,11.0,7.0,52.0,3.0,5.0,17.0,4.0,5.0,2.0,,54.0,432.0,5.0,11.0,13.0,2.0,55.0,1.0,,1.0,0.0,5.0,4.0,1.0,1.0,0.0,2.0,3.0,53.0,12.0,,7.0,1.0,5.0,4.0,38.0,5.0,2.0,496.0,8.0,7.0,29.0,6.0,20.0,1.0,1.0,203.0,12.0,10.0,10.0,68.0,20.0,,8.0,19.0,1.0,20.0,5.0,16.0,,11.0,5.0,2.0,4.0,,2.0,2.0,,1.0,,2.0,,2.0,1.0,,1.0,,1.0,,2.0,4.0,1.0,2.0,1.0,1.0,,2.0,2.0,3.0,1.0,2.0,34.46,109906.88,,,1.0,,,,2.0,1.0,,1.0,,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2444548,2024-10-19 12:30:00,"Tottenham Hotspur Stadium, London",61381,Away,West Ham United,Tottenham Hotspur,1,4,L,1,1,1,0,1.0,40.0,,1.0,1.0,37.0,25.0,4.0,6.0,7.0,4.0,,1.0,124.0,3.0,15.0,1.0,1.0,8.0,,4.0,100.0,123.0,64.0,11.0,2.0,9.0,2.0,3.0,2.0,1.0,12.0,25.0,25.0,5.0,6.0,35.0,136.0,,0.0,96.0,15.0,4.0,1.0,,2.0,39.0,56.0,5.0,57.0,3.0,2.0,7.0,11.0,4.0,4.0,1.0,123.0,1.0,18.0,85.0,577.0,8.0,4.0,21.0,,11.0,274.0,19.0,3.0,12.0,3.0,6.0,3.0,17.0,338.0,34.0,84939,3.0,162.0,1.0,3.0,,188.0,9.0,4.0,11.0,56.0,1.0,4.0,13.0,5.0,7.0,,,63.0,295.0,9.0,7.0,17.0,1.0,49.0,1.0,,,0.0,13.0,1.0,4.0,1.0,1.0,3.0,1.0,43.0,15.0,1.0,1.0,,4.0,3.0,30.0,5.0,2.0,366.0,11.0,10.0,23.0,4.0,18.0,,3.0,190.0,4.0,5.0,7.0,69.0,14.0,3.0,12.0,33.0,4.0,9.0,4.0,30.0,3.0,4.0,5.0,,2.0,,,,2.0,,,,,,,1.0,,2.0,,1.0,,1.0,,,2.0,3.0,,,,1.0,,,,,,,1.0,,,,1.0,3.0,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2444559,2024-10-27 14:00:00,"London Stadium, London",62474,Home,West Ham United,Manchester United,2,1,W,0,0,0,0,2.0,57.0,1.0,2.0,1.0,24.0,40.0,1.0,3.0,11.0,4.0,1.0,,142.0,6.0,10.0,2.0,2.0,10.0,,3.0,108.0,130.0,40.0,12.0,,15.0,1.0,1.0,,4.0,23.0,5.0,40.0,6.0,7.0,34.0,156.0,1.0,0.0,118.0,6.0,3.0,1.0,,1.0,41.0,84.0,3.0,46.0,2.0,2.0,17.0,22.0,1.0,3.0,1.0,130.0,3.0,10.0,97.0,596.0,7.0,11.0,30.0,,12.0,303.0,21.0,5.0,16.0,5.0,5.0,7.0,14.0,374.0,42.0,84939,5.0,168.0,2.0,14.0,,190.0,5.0,6.0,7.0,46.0,3.0,3.0,13.0,8.0,6.0,1.0,1.0,41.0,318.0,6.0,7.0,15.0,2.0,45.0,,,1.0,0.0,5.0,2.0,1.0,7.0,0.0,4.0,4.0,42.5,11.0,4.0,7.0,1.0,3.0,1.0,34.0,6.0,1.0,393.0,12.0,13.0,19.0,8.0,31.0,2.0,7.0,226.0,5.0,7.0,13.0,79.0,24.0,3.0,16.0,11.0,1.0,8.0,5.0,16.0,3.0,6.0,6.0,,1.0,1.0,,2.0,,1.0,,1.0,,2.0,,,1.0,1.0,,,2.0,1.0,2.0,2.0,,2.0,,,,,,,,,,,2.0,,1.0,,1.0,2.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2444566,2024-11-02 15:00:00,"The City Ground, Nottingham",30112,Away,West Ham United,Nottingham Forest,0,3,L,0,1,1,0,,38.0,,1.0,,15.0,30.0,2.0,3.0,2.0,3.0,,1.0,126.0,3.0,10.0,,,2.0,,2.0,110.0,127.0,45.0,4.0,,13.0,1.0,,2.0,,15.0,11.0,30.0,5.0,10.0,31.0,109.0,,0.0,104.0,9.0,1.0,,,1.0,28.0,47.0,,60.0,2.0,1.0,10.0,16.0,2.0,4.0,1.0,127.0,,9.0,96.0,561.0,2.0,3.0,9.0,,11.0,290.0,15.0,2.0,18.0,2.0,3.0,2.0,13.0,365.0,52.0,84939,1.0,202.0,,6.0,,220.0,6.0,6.0,12.0,45.0,1.0,2.0,9.0,10.0,6.0,1.0,,52.0,308.0,7.0,6.0,15.0,2.0,54.0,,,,0.0,11.0,,3.0,,1.0,1.0,,46.6,13.0,,3.0,1.0,2.0,,23.0,6.0,1.0,392.0,11.0,11.0,11.0,2.0,22.0,2.0,1.0,187.0,1.0,10.0,15.0,54.0,15.0,2.0,18.0,13.0,1.0,2.0,3.0,17.0,2.0,6.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,3.0,2.0,2.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
