gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,penaltySave,accuratePullBack,attOboxBlocked,attGoalHighRight,penaltyWon,attMissRight,attMissHighLeft,attSetpiece,penaltyConceded,totalPullBack,attMissHigh,attPenGoal,attSvLowRight,goalsConceded,attHdMiss,penaltyFaced,forwardGoals,attLfGoal,accurateKeeperSweeper,totalKeeperSweeper,foulThrowIn,goalsConcededIbox,errorLeadToGoal,attFreekickTotal,postScoringAtt,attSvHighRight,attSvHighLeft,freekickTotal,attPostLeft,attObxdRight,hitWoodwork,errorLeadToShot,attOboxPost,attFreekickMiss,attGoalLowRight,attIboxPost,attGoalHighCentre,attPostRight,attGoalLowCentre,saves,penGoalsConceded,attFreekickTarget,expectedGoalsOnTarget,attemptsIbox,fouledFinalThird,attBxRight,expectedGoalsOnTargetConceded,ptsGainedLosingPos,winningGoal,freekickCross,attemptsObox,keeperGoals,secondYellow,subsGoals,attLgCentre,touchesInOppBox,successfulOpenPlayPass,expectedAssists,openPlayPass,expectedGoalsFreekick,accurateFreekickCross,attBxCentre,ownGoals,goalsOpenplay,attCorner,attObpGoal,attFreekickGoal,attOpenplay,expectedGoals,attHdPost,attCmissHigh,attPostHigh,clearanceOffLine,attLgLeft,attObxdLeft,attObxRight,attObxLeft,attPenTarget,attCmissLeft,attBxLeft,attIboxOwnGoal,attCmissRight
1,284009,2009-08-15 15:00:00,"Molineux Stadium, Wolverhampton",28674.0,Away,West Ham United,Wolverhampton Wanderers,2,0,W,1,0,0,0,1.0,1.0,51.0,1.0,3.0,4.0,1.0,1.0,38.0,59.0,5.0,3.0,6.0,6.0,6.0,2.0,13.0,10.0,156.0,32.0,17.0,16.0,6.0,1.0,1.0,5.0,2.0,19.0,5.0,2.0,31.0,6.0,23.0,47.0,156.0,1.0,1.0,1.0,0.0,118.0,6.0,1.0,1.0,2.0,6.0,42.0,48.0,10.0,1.0,13.0,5.0,2.0,128.0,8.0,665.0,9.0,8.0,1.0,7.0,24.0,7.0,38.0,2.0,0.0,6.0,3.0,20.0,67.0,1.0,8380,177.0,6.0,2.0,193.0,1.0,15.0,46.0,4.0,1.0,7.0,8.0,11.0,8.0,66.0,327.0,9.0,8.0,2.0,19.0,90.0,1.0,1.0,3.0,0.0,8.0,2.0,1.0,3.0,0.0,3.0,2.0,2.0,2.0,51.4,17.0,2.0,1.0,8.0,4.0,49.0,6.0,6.0,408.0,7.0,7.0,26.0,3.0,30.0,3.0,1.0,234.0,11.0,21.0,10.0,73.0,11.0,5.0,19.0,7.0,1.0,3.0,16.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,284016,2009-11-04 19:45:00,"Boleyn Ground, London",30024.0,Home,West Ham United,Aston Villa,2,1,W,1,0,0,1,,,59.0,,3.0,4.0,,,30.0,34.0,8.0,4.0,5.0,3.0,5.0,2.0,13.0,7.0,164.0,52.0,20.0,19.0,2.0,1.0,1.0,2.0,1.0,20.0,18.0,3.0,16.0,5.0,18.0,35.0,168.0,1.0,,,0.0,109.0,11.0,4.0,1.0,2.0,3.0,49.0,40.0,9.0,1.0,15.0,9.0,4.0,146.0,10.0,651.0,10.0,10.0,,14.0,21.0,4.0,17.0,1.0,2.0,7.0,4.0,17.0,67.0,1.0,59879,124.0,3.0,,149.0,2.0,11.0,55.0,5.0,,3.0,5.0,9.0,3.0,62.0,289.0,16.0,6.0,2.0,25.0,88.0,1.0,1.0,,0.0,14.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,54.2,14.0,2.0,,5.0,5.0,47.0,6.0,3.0,385.0,14.0,7.0,16.0,8.0,27.0,2.0,4.0,256.0,14.0,17.0,11.0,63.0,24.0,3.0,6.0,20.0,,3.0,17.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,284028,2009-08-23 13:30:00,"Boleyn Ground, London",33095.0,Home,West Ham United,Tottenham Hotspur,1,2,L,0,0,0,0,1.0,,44.0,,2.0,2.0,,,30.0,37.0,10.0,5.0,3.0,3.0,4.0,1.0,17.0,5.0,140.0,43.0,19.0,15.0,3.0,,1.0,1.0,4.0,20.0,13.0,1.0,27.0,4.0,9.0,39.0,129.0,3.0,,1.0,0.0,116.0,16.0,4.0,,1.0,1.0,31.0,48.0,8.0,1.0,16.0,8.0,5.0,130.0,11.0,586.0,15.0,13.0,1.0,17.0,27.0,4.0,19.0,1.0,2.0,9.0,9.0,32.0,72.0,3.0,8380,129.0,7.0,,147.0,,8.0,63.0,4.0,,1.0,6.0,11.0,4.0,54.0,255.0,11.0,9.0,1.0,16.0,84.0,,,,0.0,8.0,2.0,,3.0,0.0,2.0,1.0,,2.0,46.9,26.0,,,6.0,5.0,44.0,4.0,1.0,332.0,16.0,15.0,22.0,9.0,26.0,1.0,4.0,205.0,12.0,9.0,9.0,74.0,9.0,2.0,11.0,19.0,,3.0,13.0,2.0,4.0,,,,3.0,1.0,,,,,,1.0,2.0,,2.0,2.0,1.0,,1.0,1.0,3.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,284031,2009-08-29 15:00:00,"Ewood Park, Blackburn",23421.0,Away,West Ham United,Blackburn Rovers,0,0,D,0,0,0,0,,,72.0,,4.0,3.0,,,37.0,54.0,6.0,3.0,1.0,3.0,12.0,,11.0,1.0,148.0,54.0,14.0,14.0,1.0,1.0,,,2.0,13.0,13.0,,27.0,2.0,23.0,55.0,146.0,1.0,1.0,,0.0,106.0,18.0,,,,4.0,40.0,46.0,4.0,,11.0,5.0,3.0,121.0,9.0,693.0,9.0,8.0,,22.0,31.0,6.0,33.0,,3.0,3.0,7.0,6.0,64.0,2.0,8380,188.0,6.0,,198.0,,10.0,63.0,10.0,,2.0,13.0,10.0,8.0,71.0,331.0,13.0,9.0,2.0,21.0,103.0,1.0,,1.0,0.0,5.0,2.0,,1.0,0.0,1.0,,,2.0,53.3,6.0,,,13.0,6.0,59.0,2.0,4.0,416.0,22.0,14.0,33.0,7.0,22.0,2.0,4.0,231.0,9.0,20.0,13.0,57.0,19.0,2.0,15.0,16.0,,2.0,20.0,2.0,2.0,,,,3.0,,,1.0,1.0,,,,2.0,,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,284049,2009-09-12 15:00:00,"The Brick Community Stadium, Wigan",17142.0,Away,West Ham United,Wigan Athletic,0,1,L,0,0,0,0,1.0,,53.0,,4.0,,,,19.0,32.0,2.0,3.0,4.0,12.0,13.0,,10.0,5.0,161.0,59.0,13.0,12.0,5.0,1.0,,1.0,,25.0,17.0,,27.0,6.0,22.0,27.0,142.0,1.0,,,0.0,89.0,13.0,3.0,,2.0,,47.0,38.0,5.0,2.0,19.0,9.0,1.0,156.0,5.0,652.0,5.0,14.0,1.0,25.0,20.0,12.0,12.0,,1.0,1.0,5.0,29.0,52.0,,70755,141.0,5.0,1.0,167.0,,13.0,65.0,2.0,,3.0,6.0,7.0,6.0,39.0,271.0,13.0,7.0,5.0,29.0,89.0,1.0,,,0.0,5.0,1.0,,4.0,0.0,7.0,,4.0,3.0,47.0,23.0,2.0,,6.0,2.0,48.0,7.0,,364.0,25.0,19.0,15.0,6.0,21.0,5.0,4.0,222.0,7.0,20.0,12.0,54.0,24.0,2.0,11.0,21.0,,3.0,28.0,2.0,7.0,,,,2.0,,,4.0,,1.0,,,,,,1.0,2.0,,,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,284058,2009-09-19 17:30:00,"Boleyn Ground, London",34658.0,Home,West Ham United,Liverpool,2,3,L,2,2,0,0,2.0,,59.0,,1.0,1.0,1.0,1.0,23.0,38.0,3.0,4.0,,4.0,10.0,2.0,8.0,3.0,146.0,65.0,12.0,17.0,1.0,,,,1.0,12.0,17.0,,21.0,4.0,30.0,28.0,123.0,,,,0.0,86.0,15.0,2.0,,,1.0,53.0,34.0,5.0,2.0,8.0,4.0,,129.0,8.0,646.0,4.0,11.0,1.0,25.0,27.0,5.0,18.0,1.0,3.0,9.0,3.0,23.0,62.0,1.0,70755,161.0,2.0,,181.0,,11.0,73.0,1.0,,2.0,10.0,11.0,6.0,55.0,280.0,17.0,10.0,3.0,25.0,89.0,,,,0.0,4.0,1.0,2.0,5.0,0.0,1.0,1.0,3.0,5.0,42.1,22.0,1.0,,11.0,4.0,52.0,4.0,1.0,359.0,25.0,18.0,16.0,5.0,16.0,3.0,4.0,190.0,3.0,28.0,15.0,46.0,17.0,5.0,12.0,23.0,1.0,3.0,25.0,5.0,4.0,,,,3.0,,1.0,3.0,,1.0,,,,1.0,1.0,3.0,3.0,,2.0,1.0,3.0,3.0,,3.0,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,284064,2009-09-28 20:00:00,"Etihad Stadium, Manchester",42745.0,Away,West Ham United,Manchester City,1,3,L,1,2,0,0,1.0,1.0,52.0,,4.0,2.0,1.0,,28.0,25.0,6.0,4.0,2.0,3.0,4.0,1.0,10.0,5.0,143.0,49.0,14.0,14.0,1.0,1.0,,2.0,3.0,16.0,20.0,3.0,12.0,4.0,23.0,35.0,145.0,1.0,,,0.0,92.0,17.0,4.0,,,,38.0,47.0,6.0,,12.0,4.0,2.0,130.0,14.0,663.0,7.0,8.0,1.0,24.0,19.0,3.0,13.0,1.0,1.0,2.0,4.0,25.0,59.0,,70755,192.0,4.0,1.0,206.0,1.0,11.0,67.0,2.0,,1.0,4.0,7.0,3.0,48.0,334.0,18.0,12.0,2.0,21.0,79.0,1.0,,2.0,0.0,11.0,3.0,1.0,3.0,0.0,2.0,,,2.0,47.3,21.0,1.0,1.0,5.0,4.0,41.0,5.0,,412.0,24.0,12.0,18.0,5.0,16.0,1.0,3.0,222.0,7.0,22.0,7.0,57.0,25.0,5.0,5.0,20.0,,2.0,17.0,5.0,5.0,1.0,,,2.0,,,1.0,,3.0,,,,,1.0,3.0,1.0,,1.0,,1.0,1.0,,2.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,284078,2009-10-04 15:00:00,"Boleyn Ground, London",32612.0,Home,West Ham United,Fulham,2,2,D,1,0,0,1,,2.0,57.0,,4.0,4.0,1.0,1.0,58.0,20.0,14.0,11.0,3.0,10.0,15.0,2.0,24.0,7.0,130.0,63.0,29.0,20.0,3.0,,1.0,3.0,4.0,35.0,14.0,2.0,12.0,6.0,36.0,58.0,270.0,1.0,,1.0,0.0,173.0,14.0,2.0,1.0,,1.0,74.0,74.0,12.0,,29.0,15.0,5.0,122.0,3.0,840.0,20.0,5.0,,17.0,27.0,7.0,10.0,2.0,3.0,1.0,12.0,18.0,75.0,3.0,70755,245.0,13.0,,254.0,,8.0,57.0,5.0,,1.0,3.0,8.0,5.0,82.0,505.0,13.0,10.0,2.0,19.0,88.0,,,,0.0,4.0,,1.0,1.0,0.0,9.0,1.0,2.0,3.0,64.8,17.0,2.0,,3.0,10.0,56.0,8.0,1.0,584.0,17.0,9.0,37.0,12.0,30.0,1.0,7.0,365.0,14.0,35.0,15.0,128.0,22.0,,5.0,20.0,1.0,2.0,19.0,,8.0,,,,6.0,1.0,,5.0,,2.0,1.0,,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,2.0,,1.0,,,,1.0,,,,,,,,,1.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,284087,2009-10-17 15:00:00,"bet365 Stadium, Stoke",,Away,West Ham United,Stoke City,1,2,L,1,1,0,0,1.0,3.0,45.0,,,2.0,1.0,1.0,38.0,45.0,9.0,5.0,,6.0,6.0,1.0,10.0,5.0,175.0,55.0,13.0,20.0,1.0,,,1.0,1.0,29.0,15.0,3.0,15.0,6.0,25.0,48.0,227.0,,,,0.0,128.0,13.0,1.0,,1.0,1.0,62.0,62.0,9.0,2.0,23.0,8.0,2.0,145.0,7.0,746.0,7.0,3.0,1.0,23.0,16.0,7.0,29.0,1.0,3.0,3.0,1.0,27.0,75.0,3.0,59879,162.0,11.0,,175.0,,9.0,68.0,6.0,1.0,3.0,5.0,5.0,4.0,58.0,383.0,17.0,6.0,2.0,23.0,79.0,,,,0.0,5.0,1.0,1.0,1.0,0.0,4.0,1.0,,2.0,61.2,27.0,3.0,1.0,5.0,6.0,41.0,6.0,1.0,467.0,23.0,15.0,29.0,2.0,27.0,2.0,,321.0,6.0,24.0,13.0,81.0,20.0,2.0,9.0,19.0,1.0,3.0,21.0,2.0,6.0,,,,4.0,,,,1.0,1.0,1.0,1.0,,,1.0,2.0,,1.0,,,,,,2.0,,2.0,,,,2.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,284098,2009-10-25 16:15:00,"Boleyn Ground, London",34442.0,Home,West Ham United,Arsenal,2,2,D,0,2,1,0,2.0,1.0,49.0,0.0,1.0,2.0,,,32.0,42.0,8.0,5.0,,4.0,9.0,2.0,7.0,3.0,139.0,66.0,16.0,9.0,,,,,3.0,25.0,14.0,1.0,23.0,6.0,28.0,33.0,142.0,2.0,,0.0,0.0,107.0,19.0,3.0,0.0,1.0,2.0,42.0,49.0,2.0,1.0,19.0,6.0,4.0,139.0,11.0,596.0,5.0,12.0,,21.0,21.0,10.0,23.0,,2.0,5.0,5.0,22.0,68.0,2.0,59879,139.0,9.0,,152.0,0.0,10.0,69.0,4.0,0.0,5.0,5.0,6.0,4.0,51.0,277.0,16.0,16.0,2.0,14.0,88.0,,0.0,3.0,0.0,8.0,3.0,2.0,4.0,1.0,3.0,,,3.0,46.9,20.0,3.0,,5.0,6.0,59.0,6.0,2.0,361.0,21.0,12.0,19.0,7.0,32.0,1.0,3.0,234.0,8.0,25.0,23.0,57.0,18.0,3.0,12.0,18.0,1.0,3.0,24.0,3.0,6.0,0.0,,,4.0,0.0,1.0,1.0,,2.0,,,1.0,1.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,2.0,1.0,3.0,,,,3.0,,,,,,1.0,1.0,,0.0,,1.0,4.0,,1.0,1.4827,7.0,7.0,1.0,1.4179,1.0,0.0,4.0,9.0,0.0,1.0,1.0,1.0,22.0,266.0,0.6531,340.0,0.2263,1.0,5.0,0.0,0.0,2.0,0.0,0.0,8.0,2.09594,,,,,,,,,,,,,
