gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attCmissRight,attBxRight,attMissHighRight,attSvHighRight,freekickCross,goodHighClaim,attMissRight,attHdMiss,totalHighClaim,attIboxMiss,attMissHighLeft,accurateThroughBall,accurateFreekickCross,sixYardBlock,totalThroughBall,ptsDroppedWinningPos,cleanSheet,divingSave,interceptionsInBox,secondYellow,shieldBallOop,clearanceOffLine,effectiveBlockedCross,blockedCross,savedObox,attOboxGoal,errorLeadToShot,goalsConcededObox,handBall,attOneOnOne,attObxdRight,attFreekickTarget,accurateKeeperSweeper,totalKeeperSweeper,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attSvHighLeft,punches,attPostHigh,attGoalHighLeft,attGoalHighCentre,attLgCentre,attObxdLeft,attPenGoal,attCmissHigh,attCmissHighRight,penaltySave,penaltyConceded,foulThrowIn,penaltyFaced,penGoalsConceded,attOboxPost,attPostRight,attObpGoal,errorLeadToGoal,ownGoals,attIboxOwnGoal,attFreekickGoal
1,2210277,2021-08-15 14:00:00,"St. James' Park, Newcastle",50673.0,Away,West Ham United,Newcastle United,4,2,W,1,2,0,0,2.0,3.0,20.0,52.0,2.0,1.0,3.0,18.0,21.0,6.0,5.0,12.0,1.0,1.0,2.0,137.0,9.0,4.0,11.0,4.0,2.0,12.0,1.0,9.0,135.0,116.0,58.0,1.0,1.0,18.0,2.0,12.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,23.0,1.0,14.0,1.0,1.0,21.0,6.0,8.0,21.0,237.0,1.0,0.0,151.0,3.0,3.0,2.0,2.0,1.0,103.0,61.0,10.0,69.0,17.0,11.0,6.0,1.0,5.0,3.0,116.0,4.0,1.0,9.0,1.0,132.0,1.0,654.0,8.0,9.0,33.0,1.0,1.0,7.0,391.0,20.0,3.0,10.0,3.0,0.0,6.0,2.0,21.0,455.0,42.0,86934,6.0,172.0,3.0,12.0,1.0,184.0,2.0,2.0,1.0,11.0,12.0,37.0,1.0,2.0,2.0,3.0,16.0,8.0,8.0,1.0,38.0,405.0,4.0,14.0,1.0,14.0,3.0,55.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,4.0,2.0,4.0,0.0,1.0,3.0,5.0,53.6,20.0,3.0,2.0,1.0,3.0,5.0,35.0,6.0,473.0,7.0,1.0,4.0,10.0,4.0,28.0,3.0,312.0,8.0,6.0,20.0,122.0,25.0,1.0,10.0,23.0,1.0,2.0,12.0,3.0,15.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210289,2021-08-23 20:00:00,"London Stadium, London",59901.0,Home,West Ham United,Leicester City,4,1,W,1,0,0,1,,2.0,26.0,60.0,2.0,2.0,2.0,31.0,7.0,4.0,2.0,15.0,,1.0,2.0,163.0,12.0,12.0,10.0,4.0,3.0,16.0,1.0,7.0,126.0,122.0,54.0,,,19.0,,10.0,1.0,2.0,,4.0,,1.0,1.0,34.0,,11.0,,2.0,7.0,9.0,11.0,42.0,227.0,,0.0,149.0,8.0,,3.0,2.0,,91.0,62.0,7.0,80.0,25.0,13.0,4.0,,10.0,2.0,122.0,3.0,,4.0,,133.0,,684.0,9.0,8.0,29.0,1.0,,5.0,421.0,21.0,1.0,2.0,4.0,0.0,2.0,9.0,23.0,490.0,59.0,86934,9.0,216.0,1.0,13.0,,230.0,5.0,3.0,1.0,13.0,3.0,36.0,,2.0,6.0,4.0,10.0,1.0,3.0,3.0,51.0,431.0,8.0,5.0,3.0,9.0,5.0,60.0,2.0,1.0,,0.0,1.0,,,4.0,1.0,3.0,0.0,7.0,4.0,7.0,51.4,20.0,6.0,1.0,1.0,6.0,2.0,32.0,10.0,502.0,5.0,,11.0,25.0,10.0,40.0,5.0,306.0,10.0,10.0,21.0,116.0,26.0,2.0,2.0,15.0,,1.0,14.0,2.0,12.0,5.0,10.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210299,2021-08-28 15:00:00,"London Stadium, London",59751.0,Home,West Ham United,Crystal Palace,2,2,D,1,0,0,0,,2.0,27.0,49.0,1.0,1.0,5.0,19.0,13.0,3.0,8.0,11.0,,2.0,1.0,151.0,12.0,8.0,11.0,2.0,2.0,12.0,1.0,4.0,94.0,138.0,47.0,,,14.0,2.0,29.0,2.0,,,1.0,,,1.0,28.0,,5.0,,,13.0,5.0,3.0,45.0,186.0,,0.0,142.0,10.0,,,1.0,2.0,58.0,65.0,9.0,55.0,23.0,21.0,3.0,,3.0,1.0,138.0,1.0,,6.0,,78.0,,570.0,10.0,3.0,39.0,1.0,,15.0,284.0,22.0,2.0,8.0,1.0,1.0,4.0,3.0,32.0,361.0,64.0,86934,4.0,117.0,,18.0,2.0,134.0,6.0,,1.0,21.0,6.0,67.0,,1.0,1.0,2.0,16.0,3.0,3.0,,45.0,295.0,5.0,15.0,1.0,9.0,,59.0,,,,0.0,,3.0,,2.0,2.0,2.0,0.0,6.0,1.0,2.0,45.7,27.0,5.0,1.0,,1.0,7.0,34.0,5.0,378.0,15.0,,8.0,22.0,3.0,43.0,2.0,272.0,4.0,3.0,15.0,101.0,20.0,1.0,8.0,16.0,,2.0,12.0,2.0,16.0,6.0,5.0,,4.0,,,2.0,,,,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210309,2021-09-11 15:00:00,"St. Mary's Stadium, Southampton",,Away,West Ham United,Southampton,0,0,D,0,0,1,0,1.0,,24.0,65.0,,,1.0,26.0,17.0,8.0,5.0,5.0,2.0,,1.0,178.0,14.0,4.0,6.0,,3.0,7.0,1.0,3.0,137.0,125.0,46.0,,1.0,13.0,6.0,17.0,3.0,,,,,,,22.0,,5.0,,,17.0,4.0,2.0,39.0,257.0,,0.0,158.0,12.0,,,,,80.0,68.0,5.0,73.0,18.0,8.0,8.0,1.0,7.0,2.0,125.0,,,10.0,,153.0,,719.0,5.0,6.0,16.0,1.0,,15.0,453.0,26.0,1.0,8.0,,1.0,4.0,2.0,10.0,524.0,70.0,86934,4.0,215.0,,10.0,2.0,227.0,7.0,,1.0,8.0,7.0,41.0,,2.0,6.0,,20.0,1.0,7.0,1.0,43.0,468.0,10.0,5.0,2.0,3.0,1.0,69.0,,1.0,,0.0,1.0,5.0,3.0,,,,1.0,3.0,,2.0,58.2,7.0,7.0,,2.0,6.0,7.0,46.0,4.0,541.0,15.0,,3.0,20.0,3.0,28.0,1.0,336.0,6.0,2.0,16.0,123.0,24.0,,8.0,14.0,,,9.0,2.0,11.0,5.0,4.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210319,2021-09-19 14:00:00,"London Stadium, London",59958.0,Home,West Ham United,Manchester United,1,2,L,1,1,0,0,1.0,,21.0,45.0,1.0,,2.0,14.0,31.0,7.0,5.0,6.0,8.0,,2.0,130.0,12.0,1.0,14.0,1.0,2.0,10.0,1.0,4.0,108.0,112.0,46.0,1.0,,13.0,2.0,9.0,2.0,,,1.0,1.0,,1.0,17.0,,7.0,,1.0,31.0,2.0,,31.0,152.0,1.0,0.0,105.0,5.0,,,,1.0,45.0,48.0,7.0,55.0,15.0,19.0,7.0,,3.0,3.0,112.0,1.0,1.0,12.0,,124.0,,597.0,9.0,4.0,17.0,,,4.0,332.0,29.0,1.0,18.0,1.0,0.0,3.0,3.0,15.0,397.0,43.0,86934,5.0,197.0,2.0,12.0,,224.0,4.0,1.0,1.0,19.0,10.0,47.0,,2.0,6.0,1.0,8.0,5.0,7.0,2.0,39.0,348.0,6.0,19.0,,10.0,2.0,53.0,,1.0,,0.0,,11.0,6.0,,2.0,,0.0,1.0,,,39.9,12.0,2.0,,,6.0,4.0,33.0,2.0,417.0,4.0,,11.0,11.0,5.0,31.0,,210.0,8.0,,12.0,77.0,8.0,1.0,18.0,14.0,,2.0,10.0,3.0,17.0,9.0,2.0,2.0,1.0,,,,,2.0,,,2.0,,,,1.0,1.0,3.0,,4.0,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210326,2021-09-25 15:00:00,"Elland Road, Leeds",36417.0,Away,West Ham United,Leeds United,2,1,W,0,1,0,0,1.0,1.0,23.0,54.0,,1.0,2.0,26.0,12.0,8.0,6.0,11.0,4.0,,4.0,142.0,15.0,1.0,7.0,2.0,5.0,15.0,,7.0,73.0,127.0,51.0,,2.0,20.0,2.0,19.0,4.0,2.0,,1.0,1.0,,4.0,21.0,,9.0,,2.0,12.0,7.0,8.0,26.0,145.0,,0.0,105.0,6.0,3.0,2.0,,2.0,50.0,61.0,9.0,51.0,14.0,11.0,9.0,2.0,5.0,5.0,127.0,2.0,1.0,6.0,,82.0,,528.0,12.0,8.0,23.0,1.0,,7.0,264.0,25.0,9.0,8.0,1.0,2.0,6.0,6.0,22.0,333.0,43.0,86934,5.0,129.0,1.0,6.0,1.0,149.0,4.0,1.0,,11.0,5.0,44.0,,,8.0,1.0,8.0,9.0,3.0,,60.0,273.0,10.0,5.0,2.0,28.0,1.0,69.0,2.0,1.0,2.0,0.0,4.0,5.0,2.0,2.0,1.0,1.0,0.0,,1.0,1.0,46.5,18.0,1.0,2.0,1.0,8.0,4.0,39.0,7.0,348.0,7.0,1.0,5.0,13.0,9.0,24.0,1.0,220.0,13.0,7.0,19.0,73.0,18.0,1.0,8.0,15.0,,,15.0,3.0,18.0,2.0,7.0,,3.0,1.0,1.0,3.0,,2.0,,,4.0,2.0,2.0,,,2.0,,,2.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210339,2021-10-03 14:00:00,"London Stadium, London",49940.0,Home,West Ham United,Brentford,1,2,L,0,1,0,0,1.0,,27.0,60.0,,1.0,4.0,21.0,13.0,7.0,4.0,11.0,4.0,,3.0,181.0,12.0,11.0,9.0,1.0,3.0,11.0,,5.0,87.0,159.0,62.0,,1.0,18.0,3.0,25.0,2.0,1.0,,1.0,1.0,,3.0,33.0,,8.0,,2.0,13.0,10.0,3.0,53.0,190.0,,0.0,160.0,16.0,,1.0,1.0,1.0,89.0,67.0,6.0,59.0,23.0,20.0,7.0,1.0,8.0,2.0,159.0,1.0,,11.0,,97.0,,607.0,8.0,4.0,30.0,,,8.0,295.0,21.0,2.0,9.0,1.0,2.0,4.0,5.0,17.0,401.0,80.0,86934,6.0,130.0,1.0,15.0,,155.0,11.0,1.0,1.0,20.0,6.0,51.0,,2.0,4.0,,12.0,2.0,2.0,1.0,62.0,309.0,13.0,5.0,2.0,12.0,4.0,76.0,1.0,1.0,1.0,0.0,2.0,6.0,4.0,1.0,2.0,,0.0,6.0,,4.0,59.9,16.0,7.0,,1.0,4.0,7.0,34.0,10.0,424.0,8.0,,2.0,14.0,6.0,39.0,5.0,302.0,10.0,3.0,25.0,97.0,27.0,,9.0,15.0,,2.0,13.0,,12.0,10.0,11.0,1.0,1.0,,,,2.0,1.0,4.0,2.0,4.0,1.0,1.0,,,1.0,,,3.0,,,,,2.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210344,2021-10-17 14:00:00,"Goodison Park, Liverpool",39132.0,Away,West Ham United,Everton,1,0,W,0,0,0,0,2.0,1.0,34.0,66.0,1.0,,6.0,22.0,15.0,4.0,3.0,12.0,2.0,,,176.0,18.0,3.0,8.0,1.0,,10.0,,4.0,145.0,154.0,37.0,,,16.0,2.0,20.0,3.0,2.0,,,,,,29.0,,8.0,,,15.0,8.0,11.0,32.0,248.0,,0.0,149.0,3.0,,2.0,,,111.0,93.0,8.0,62.0,21.0,18.0,4.0,,8.0,2.0,154.0,1.0,,13.0,,156.0,,739.0,9.0,2.0,32.0,1.0,,10.0,440.0,23.0,1.0,9.0,1.0,2.0,4.0,2.0,25.0,521.0,64.0,86934,5.0,207.0,1.0,13.0,,224.0,2.0,,1.0,18.0,13.0,47.0,1.0,2.0,5.0,,14.0,2.0,7.0,2.0,52.0,452.0,3.0,6.0,,11.0,5.0,91.0,2.0,1.0,,0.0,1.0,7.0,1.0,1.0,,,0.0,2.0,1.0,2.0,61.0,20.0,5.0,3.0,2.0,5.0,8.0,59.0,9.0,539.0,10.0,,6.0,14.0,4.0,40.0,1.0,344.0,11.0,8.0,13.0,109.0,33.0,,9.0,13.0,1.0,,11.0,3.0,21.0,11.0,9.0,1.0,2.0,1.0,,,2.0,1.0,,2.0,2.0,,,,1.0,1.0,,1.0,,4.0,,1.0,,4.0,4.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,2210360,2021-10-24 14:00:00,"London Stadium, London",59924.0,Home,West Ham United,Tottenham Hotspur,1,0,W,0,0,0,0,1.0,1.0,24.0,68.0,1.0,,2.0,18.0,16.0,3.0,5.0,10.0,4.0,,2.0,151.0,10.0,5.0,9.0,1.0,1.0,10.0,,4.0,79.0,131.0,46.0,,,13.0,2.0,15.0,3.0,,,,,,1.0,14.0,,13.0,,,16.0,2.0,1.0,28.0,131.0,,0.0,97.0,11.0,,,,2.0,52.0,52.0,6.0,53.0,12.0,22.0,3.0,,6.0,1.0,131.0,2.0,,4.0,,86.0,,569.0,9.0,1.0,23.0,,,9.0,288.0,27.0,2.0,9.0,1.0,2.0,1.0,4.0,21.0,361.0,53.0,86934,3.0,167.0,1.0,5.0,,190.0,8.0,1.0,,22.0,3.0,50.0,,1.0,14.0,,22.0,3.0,2.0,1.0,49.0,293.0,3.0,10.0,,20.0,2.0,57.0,,,,0.0,2.0,4.0,3.0,1.0,,,0.0,4.0,1.0,1.0,37.7,15.0,6.0,1.0,1.0,14.0,4.0,32.0,2.0,369.0,9.0,,8.0,15.0,5.0,25.0,1.0,193.0,7.0,1.0,11.0,62.0,20.0,1.0,9.0,23.0,,,11.0,2.0,16.0,13.0,2.0,2.0,3.0,,,1.0,1.0,3.0,1.0,1.0,4.0,,1.0,,,3.0,,1.0,,4.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,2210361,2021-10-31 16:30:00,"Villa Park, Birmingham",41874.0,Away,West Ham United,Aston Villa,4,1,W,2,1,0,1,1.0,2.0,20.0,63.0,3.0,,5.0,25.0,23.0,8.0,8.0,13.0,2.0,2.0,2.0,157.0,10.0,2.0,7.0,4.0,4.0,12.0,,8.0,106.0,134.0,50.0,,3.0,21.0,3.0,25.0,3.0,3.0,,3.0,,1.0,1.0,16.0,,10.0,,1.0,23.0,5.0,6.0,38.0,179.0,,0.0,111.0,13.0,,3.0,3.0,1.0,93.0,54.0,9.0,70.0,11.0,12.0,8.0,3.0,2.0,3.0,134.0,2.0,1.0,6.0,,126.0,,655.0,7.0,4.0,25.0,1.0,,13.0,372.0,32.0,4.0,13.0,3.0,2.0,1.0,3.0,21.0,443.0,55.0,86934,5.0,205.0,1.0,9.0,1.0,225.0,6.0,2.0,,12.0,7.0,62.0,1.0,,4.0,4.0,17.0,3.0,2.0,2.0,56.0,382.0,7.0,8.0,2.0,22.0,4.0,68.0,3.0,2.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,57.6,13.0,4.0,2.0,,4.0,8.0,30.0,6.0,459.0,13.0,1.0,7.0,18.0,5.0,17.0,1.0,250.0,10.0,6.0,16.0,84.0,23.0,,13.0,20.0,,1.0,13.0,3.0,16.0,5.0,6.0,,3.0,1.0,,,,1.0,1.0,,2.0,,,,2.0,1.0,,,1.0,2.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
