gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,goalAssistOpenplay,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,handBall,attLfTarget,attIboxBlocked,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCornersIntobox,cleanSheet,attOboxMiss,bigChanceCreated,attHdTarget,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attSetpiece,attRfGoal,attMissHigh,attAssistSetplay,attHdTotal,cornerTaken,shotOffTarget,attIboxMiss,wonCorners,bigChanceScored,attGoalLowLeft,attCmissRight,attMissHighRight,totalFastbreak,attMissRight,contentiousDecision,attLgCentre,attMissHighLeft,offtargetAttAssist,accurateFreekickCross,totalPullBack,attCmissHigh,attCmissHighLeft,attCmissHighRight,attHdMiss,attemptsIbox,accuratePullBack,attOneOnOne,attemptsObox,touchesInOppBox,attBxLeft,ptsDroppedWinningPos,postScoringAtt,attIboxPost,secondYellow,hitWoodwork,attSvLowRight,attPostHigh,accurateCornersIntobox,attCmissLeft,forwardGoals,attFreekickTotal,penaltyWon,freekickTotal,penaltyConceded,attPenGoal,attFreekickTarget,attSvHighCentre,penaltyFaced,penGoalsConceded,attFreekickMiss,attOboxPost,sixYardBlock,attGoalHighLeft,attFreekickGoal,attHdGoal,attPostLeft,shotFastbreak,attFastbreak,errorLeadToGoal,attObpGoal,attPostRight,attGoalHighRight,attSvHighLeft,goalsConcededObox,ownGoals,attIboxOwnGoal,attHdPost,clearanceOffLine,attGoalHighCentre,attFreekickPost,attObxRight,goalFastbreak,goalAssistSetplay,goalAssistDeadball
1,755307,2014-08-16 12:45:00,"Old Trafford, Manchester",75339,Away,Swansea City,Manchester United,2,1,W,1,0,0,0,57.0,1.0,3.0,28.0,35.0,4.0,3.0,4.0,2.0,2.0,128.0,1.0,2.0,4.0,2.0,1.0,5.0,4.0,85.0,115.0,44.0,5.0,1.0,20.0,2.0,9.0,19.0,2.0,35.0,17.0,22.0,107.0,1.0,1.0,0.0,55.0,20.0,1.0,2.0,1.0,1.0,6.0,45.0,37.0,5.0,65.0,3.0,9.0,13.0,4.0,115.0,8.0,105.0,569.0,3.0,2.0,17.0,284.0,24.0,5.0,17.0,2.0,4.0,3.0,23.0,352.0,34.0,1.0,80789,1.0,202.0,4.0,224.0,8.0,13.0,9.0,65.0,2.0,1.0,7.0,2.0,11.0,6.0,5.0,60.0,307.0,11.0,13.0,19.0,78.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,40.4,19.0,3.0,7.0,1.0,42.0,6.0,383.0,17.0,7.0,8.0,4.0,168.0,2.0,15.0,10.0,37.0,14.0,4.0,17.0,19.0,1.0,5.0,3.0,10.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755321,2014-08-23 15:00:00,"Swansea.com Stadium, Swansea",20565,Home,Swansea City,Burnley,1,0,W,1,0,0,0,59.0,1.0,,46.0,39.0,4.0,2.0,1.0,,1.0,182.0,,2.0,6.0,1.0,3.0,6.0,5.0,135.0,129.0,52.0,10.0,1.0,22.0,1.0,17.0,11.0,2.0,39.0,30.0,22.0,162.0,1.0,,0.0,87.0,14.0,1.0,1.0,1.0,1.0,7.0,35.0,79.0,6.0,95.0,3.0,15.0,15.0,7.0,129.0,7.0,146.0,757.0,4.0,12.0,11.0,460.0,26.0,12.0,23.0,1.0,2.0,5.0,15.0,532.0,54.0,1.0,80789,3.0,319.0,7.0,340.0,6.0,15.0,9.0,55.0,1.0,3.0,5.0,1.0,8.0,5.0,7.0,77.0,479.0,12.0,3.0,32.0,86.0,1.0,0.0,2.0,3.0,1.0,1.0,,7.0,0.0,2.0,,2.0,1.0,55.4,13.0,2.0,5.0,2.0,51.0,7.0,558.0,11.0,6.0,14.0,12.0,235.0,7.0,29.0,19.0,57.0,19.0,2.0,23.0,16.0,,7.0,3.0,19.0,2.0,9.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755330,2014-08-30 15:00:00,"Swansea.com Stadium, Swansea",20318,Home,Swansea City,West Bromwich Albion,3,0,W,2,0,0,0,62.0,2.0,2.0,32.0,29.0,5.0,1.0,2.0,,4.0,163.0,,2.0,8.0,3.0,3.0,10.0,8.0,153.0,107.0,42.0,15.0,,10.0,2.0,13.0,9.0,2.0,29.0,25.0,28.0,183.0,,1.0,0.0,71.0,10.0,2.0,3.0,1.0,2.0,1.0,37.0,93.0,5.0,95.0,1.0,13.0,20.0,3.0,107.0,6.0,162.0,770.0,7.0,6.0,19.0,500.0,25.0,3.0,15.0,2.0,1.0,7.0,15.0,558.0,40.0,1.0,93464,6.0,329.0,8.0,344.0,7.0,20.0,6.0,43.0,1.0,2.0,10.0,3.0,7.0,10.0,3.0,50.0,510.0,6.0,3.0,9.0,71.0,2.0,0.0,1.0,7.0,,2.0,,1.0,0.0,2.0,2.0,,1.0,55.9,15.0,2.0,11.0,,51.0,1.0,573.0,19.0,13.0,17.0,10.0,242.0,13.0,23.0,12.0,49.0,22.0,6.0,15.0,16.0,,12.0,3.0,16.0,6.0,8.0,1.0,1.0,,3.0,2.0,,4.0,2.0,,1.0,4.0,3.0,,,1.0,1.0,2.0,3.0,2.0,1.0,1.0,,7.0,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755334,2014-09-13 15:00:00,"Stamford Bridge, London",41400,Away,Swansea City,Chelsea,2,4,L,1,1,0,0,62.0,1.0,3.0,21.0,40.0,6.0,3.0,5.0,,1.0,151.0,,2.0,12.0,2.0,,10.0,2.0,105.0,104.0,48.0,12.0,2.0,11.0,1.0,15.0,15.0,1.0,40.0,33.0,24.0,145.0,,1.0,0.0,50.0,11.0,4.0,1.0,,,3.0,38.0,49.0,3.0,90.0,2.0,11.0,14.0,6.0,104.0,17.0,109.0,668.0,8.0,1.0,13.0,374.0,29.0,5.0,15.0,1.0,3.0,7.0,13.0,426.0,34.0,2.0,93464,3.0,251.0,5.0,266.0,7.0,14.0,11.0,59.0,2.0,,10.0,1.0,12.0,13.0,4.0,51.0,394.0,12.0,20.0,20.0,75.0,1.0,0.0,1.0,7.0,2.0,1.0,4.0,1.0,0.0,2.0,1.0,,,44.7,13.0,1.0,10.0,2.0,43.0,3.0,455.0,13.0,10.0,15.0,16.0,204.0,9.0,33.0,6.0,29.0,21.0,7.0,15.0,18.0,4.0,11.0,3.0,19.0,7.0,6.0,,,,,1.0,,1.0,1.0,4.0,,2.0,2.0,,1.0,,1.0,,1.0,1.0,1.0,,4.0,8.0,6.0,4.0,1.0,,2.0,1.0,,5.0,,,,7.0,,1.0,,,1.0,,6.0,1.0,2.0,6.0,13.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755350,2014-09-20 15:00:00,"Swansea.com Stadium, Swansea",20596,Home,Swansea City,Southampton,0,1,L,0,0,1,0,65.0,,1.0,28.0,42.0,1.0,,3.0,,1.0,144.0,,2.0,7.0,,2.0,4.0,2.0,97.0,121.0,39.0,5.0,,12.0,,13.0,5.0,1.0,42.0,9.0,36.0,133.0,,,0.0,74.0,11.0,2.0,,,2.0,7.0,42.0,46.0,2.0,53.0,,11.0,14.0,4.0,121.0,8.0,124.0,604.0,2.0,10.0,16.0,319.0,24.0,9.0,24.0,,0.0,2.0,16.0,388.0,51.0,,93464,2.0,206.0,5.0,222.0,6.0,14.0,8.0,39.0,,,12.0,,8.0,3.0,3.0,68.0,337.0,15.0,2.0,23.0,78.0,,0.0,3.0,4.0,2.0,,1.0,3.0,1.0,1.0,,,,44.0,14.0,1.0,12.0,1.0,35.0,7.0,418.0,16.0,5.0,13.0,9.0,209.0,4.0,9.0,11.0,42.0,23.0,6.0,24.0,6.0,1.0,4.0,2.0,18.0,6.0,6.0,,,1.0,1.0,1.0,,1.0,,2.0,,,2.0,,,,2.0,,,,1.0,,2.0,2.0,1.0,2.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755361,2014-09-27 15:00:00,"Stadium of Light, Sunderland",41325,Away,Swansea City,Sunderland,0,0,D,0,0,1,0,64.0,,1.0,29.0,33.0,7.0,3.0,3.0,,1.0,137.0,,2.0,9.0,,2.0,7.0,1.0,88.0,109.0,52.0,7.0,,9.0,,15.0,15.0,1.0,33.0,31.0,19.0,156.0,,,0.0,82.0,15.0,2.0,,,3.0,2.0,41.0,42.0,1.0,86.0,4.0,14.0,8.0,4.0,109.0,6.0,83.0,585.0,6.0,5.0,19.0,317.0,29.0,6.0,18.0,,1.0,6.0,10.0,372.0,51.0,,93464,,179.0,7.0,192.0,5.0,8.0,7.0,50.0,1.0,2.0,6.0,,14.0,9.0,5.0,58.0,333.0,13.0,10.0,23.0,74.0,1.0,0.0,2.0,10.0,2.0,,,2.0,1.0,2.0,,,,50.5,10.0,2.0,7.0,,48.0,2.0,394.0,19.0,11.0,13.0,12.0,217.0,4.0,28.0,12.0,57.0,24.0,1.0,18.0,18.0,,6.0,3.0,14.0,1.0,7.0,,,,,,2.0,1.0,,1.0,1.0,6.0,,,2.0,,,1.0,,2.0,1.0,,1.0,6.0,,1.0,,,,1.0,,1.0,2.0,,2.0,6.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755370,2014-10-04 15:00:00,"Swansea.com Stadium, Swansea",20622,Home,Swansea City,Newcastle United,2,2,D,1,1,0,0,67.0,1.0,1.0,36.0,26.0,2.0,2.0,2.0,,2.0,214.0,1.0,3.0,8.0,2.0,3.0,9.0,5.0,141.0,142.0,50.0,11.0,,13.0,2.0,13.0,13.0,,26.0,36.0,43.0,200.0,,,0.0,106.0,11.0,1.0,1.0,1.0,2.0,1.0,60.0,50.0,5.0,115.0,1.0,10.0,19.0,4.0,142.0,7.0,157.0,823.0,6.0,8.0,21.0,522.0,27.0,4.0,14.0,2.0,1.0,1.0,22.0,604.0,64.0,1.0,93464,7.0,344.0,4.0,362.0,6.0,19.0,5.0,56.0,1.0,3.0,3.0,2.0,15.0,2.0,5.0,59.0,541.0,14.0,9.0,15.0,101.0,1.0,0.0,,1.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,,,62.9,20.0,3.0,4.0,1.0,71.0,1.0,627.0,21.0,14.0,27.0,21.0,278.0,8.0,33.0,15.0,67.0,32.0,2.0,14.0,14.0,2.0,8.0,2.0,19.0,2.0,5.0,1.0,1.0,1.0,3.0,,1.0,,1.0,3.0,,2.0,3.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,2.0,,1.0,2.0,,1.0,,,,4.0,1.0,,1.0,,2.0,1.0,,,2.0,,,1.0,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,755381,2014-10-19 16:00:00,"bet365 Stadium, Stoke",27017,Away,Swansea City,Stoke City,1,2,L,1,1,0,0,58.0,1.0,,18.0,27.0,7.0,3.0,1.0,,4.0,179.0,,3.0,11.0,1.0,5.0,8.0,5.0,99.0,137.0,69.0,13.0,4.0,18.0,,16.0,22.0,1.0,27.0,25.0,26.0,174.0,,,0.0,90.0,7.0,,,,2.0,2.0,26.0,52.0,4.0,100.0,1.0,11.0,13.0,3.0,137.0,9.0,105.0,693.0,7.0,7.0,11.0,377.0,29.0,4.0,15.0,,1.0,6.0,25.0,457.0,53.0,1.0,96305,4.0,224.0,6.0,246.0,4.0,13.0,10.0,60.0,2.0,,7.0,,12.0,8.0,5.0,57.0,395.0,17.0,13.0,18.0,85.0,,0.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,3.0,,,,57.0,25.0,,7.0,4.0,50.0,2.0,483.0,11.0,15.0,8.0,14.0,253.0,9.0,24.0,16.0,56.0,21.0,2.0,15.0,25.0,2.0,7.0,3.0,19.0,2.0,7.0,1.0,,,3.0,,,3.0,2.0,5.0,,2.0,3.0,,,,4.0,2.0,1.0,1.0,,1.0,5.0,4.0,2.0,5.0,1.0,,,,,1.0,1.0,,,3.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,755389,2014-10-25 17:30:00,"Swansea.com Stadium, Swansea",20259,Home,Swansea City,Leicester City,2,0,W,1,0,0,0,73.0,1.0,2.0,22.0,23.0,4.0,2.0,4.0,,1.0,186.0,1.0,1.0,5.0,2.0,,6.0,3.0,128.0,140.0,43.0,7.0,,17.0,2.0,13.0,11.0,1.0,23.0,17.0,26.0,202.0,,,0.0,109.0,7.0,3.0,,,,1.0,51.0,53.0,3.0,84.0,,11.0,15.0,2.0,140.0,4.0,145.0,718.0,3.0,8.0,17.0,431.0,22.0,4.0,10.0,2.0,0.0,1.0,20.0,521.0,60.0,3.0,93464,3.0,246.0,9.0,276.0,4.0,15.0,10.0,50.0,8.0,1.0,10.0,2.0,11.0,5.0,5.0,53.0,447.0,10.0,9.0,20.0,76.0,1.0,0.0,1.0,2.0,2.0,2.0,,4.0,0.0,,2.0,2.0,,49.5,18.0,5.0,10.0,,48.0,1.0,543.0,17.0,7.0,15.0,15.0,280.0,4.0,16.0,15.0,73.0,32.0,6.0,10.0,15.0,,6.0,3.0,15.0,6.0,7.0,,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,1.0,1.0,,2.0,,1.0,1.0,2.0,4.0,1.0,2.0,2.0,,,,1.0,1.0,,,1.0,3.0,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,755397,2014-11-01 15:00:00,"Goodison Park, Liverpool",39149,Away,Swansea City,Everton,0,0,D,0,0,1,0,61.0,,2.0,24.0,36.0,4.0,3.0,3.0,,,138.0,,1.0,12.0,,1.0,6.0,,53.0,112.0,48.0,8.0,2.0,11.0,,10.0,16.0,,36.0,13.0,20.0,120.0,,,0.0,83.0,15.0,2.0,,,1.0,2.0,33.0,45.0,3.0,46.0,3.0,10.0,7.0,3.0,112.0,6.0,69.0,496.0,6.0,5.0,18.0,222.0,33.0,5.0,21.0,,3.0,5.0,16.0,284.0,40.0,,93464,4.0,115.0,6.0,132.0,10.0,7.0,10.0,57.0,,1.0,4.0,,10.0,11.0,6.0,59.0,234.0,10.0,17.0,25.0,60.0,1.0,0.0,1.0,11.0,1.0,,,,1.0,1.0,,,,33.3,13.0,2.0,4.0,4.0,29.0,2.0,306.0,18.0,10.0,13.0,10.0,184.0,5.0,12.0,6.0,59.0,20.0,7.0,21.0,20.0,,8.0,3.0,18.0,7.0,5.0,,,2.0,,,,,1.0,,1.0,2.0,1.0,,,,1.0,,,2.0,,,,4.0,2.0,,,,1.0,,1.0,1.0,1.0,,,3.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
