matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
1059820,12,2019-11-09 15:00:00,"Tottenham Hotspur Stadium, London",59781.0,Away,Sheff Utd,Spurs,1,1,D,0,0,0,0,1.0,14.0,4.0,7.0,3.0,1.0,,1.0,1.0,1.0,10.0,5.0,24.0,63.0,378.0,285.0,38.9,17.0,27.0,16.0,10.0,23.0,23.0,12.0,3.0,,1.0,13.0,10.0,152.0,4.0,1.0,,59.0,63.0,14.0,22.0,4.0,4.0,1.0,9.0,6.0,0.0,0.0,,,6.0
1059829,13,2019-11-24 16:30:00,"Bramall Lane, Sheffield",32024.0,Home,Sheff Utd,Man Utd,3,3,D,1,0,0,0,3.0,12.0,8.0,1.0,3.0,2.0,1.0,2.0,,2.0,8.0,7.0,34.0,64.0,383.0,277.0,40.6,15.0,13.0,9.0,16.0,21.0,21.0,21.0,2.0,,1.0,9.0,6.0,165.0,2.0,3.0,,52.0,55.0,22.0,23.0,6.0,6.0,,13.0,9.0,0.0,0.0,,,3.0
1059841,14,2019-12-01 14:00:00,"Molineux Stadium, Wolverhampton",31642.0,Away,Sheff Utd,Wolves,1,1,D,1,0,0,0,1.0,10.0,4.0,5.0,1.0,4.0,1.0,3.0,,1.0,8.0,4.0,31.0,60.0,361.0,270.0,40.6,22.0,19.0,14.0,17.0,37.0,37.0,7.0,6.0,,,16.0,8.0,142.0,3.0,1.0,,63.0,75.0,26.0,26.0,2.0,2.0,1.0,18.0,12.0,0.0,0.0,,,3.0
1059846,15,2019-12-05 19:30:00,"Bramall Lane, Sheffield",30409.0,Home,Sheff Utd,Newcastle,0,2,L,0,1,0,0,,13.0,6.0,4.0,3.0,1.0,,1.0,,,10.0,7.0,55.0,90.0,675.0,579.0,73.3,29.0,18.0,15.0,2.0,13.0,13.0,18.0,1.0,,,7.0,9.0,167.0,2.0,2.0,,50.0,56.0,20.0,26.0,8.0,8.0,1.0,10.0,6.0,0.0,0.0,,,3.0
1059858,16,2019-12-08 14:00:00,"Carrow Road, Norwich",26881.0,Away,Sheff Utd,Norwich,2,1,W,0,1,0,0,2.0,9.0,3.0,5.0,1.0,1.0,,1.0,,1.0,7.0,2.0,30.0,69.0,418.0,293.0,41.8,23.0,17.0,11.0,13.0,23.0,23.0,18.0,5.0,,,12.0,13.0,177.0,3.0,1.0,,71.0,64.0,34.0,24.0,1.0,1.0,,12.0,6.0,0.0,0.0,,,2.0
1059869,17,2019-12-14 15:00:00,"Bramall Lane, Sheffield",30396.0,Home,Sheff Utd,Aston Villa,2,0,W,0,0,0,0,2.0,7.0,3.0,2.0,2.0,5.0,2.0,3.0,,2.0,6.0,4.0,48.0,84.0,512.0,394.0,56.7,35.0,12.0,7.0,11.0,16.0,16.0,15.0,1.0,,,3.0,5.0,181.0,,,1.0,58.0,58.0,32.0,36.0,3.0,3.0,,10.0,7.0,0.0,0.0,,,3.0
1059874,18,2019-12-21 15:00:00,"American Express Stadium, Falmer",30505.0,Away,Sheff Utd,Brighton,1,0,W,1,0,0,0,1.0,7.0,2.0,5.0,,1.0,1.0,2.0,1.0,,5.0,1.0,11.0,55.0,293.0,188.0,31.0,13.0,22.0,13.0,9.0,23.0,23.0,14.0,3.0,,,10.0,4.0,153.0,2.0,,1.0,65.0,56.0,29.0,28.0,3.0,3.0,1.0,11.0,5.0,0.0,0.0,,,3.0
1059889,19,2019-12-26 15:00:00,"Bramall Lane, Sheffield",30222.0,Home,Sheff Utd,Watford,1,1,D,1,1,0,0,1.0,16.0,4.0,6.0,6.0,1.0,1.0,1.0,,,12.0,8.0,42.0,71.0,517.0,392.0,58.1,27.0,18.0,8.0,4.0,10.0,10.0,21.0,1.0,,,6.0,6.0,184.0,1.0,1.0,,72.0,50.0,35.0,26.0,9.0,9.0,2.0,11.0,8.0,0.0,0.0,1.0,1.0,4.0
1059896,20,2019-12-29 18:00:00,"Etihad Stadium, Manchester",54512.0,Away,Sheff Utd,Man City,0,2,L,0,0,0,0,,8.0,,6.0,2.0,3.0,,3.0,1.0,,7.0,1.0,24.0,55.0,314.0,233.0,27.1,13.0,16.0,10.0,12.0,23.0,23.0,16.0,6.0,,,6.0,6.0,118.0,2.0,2.0,,45.0,34.0,17.0,12.0,5.0,5.0,,6.0,4.0,0.0,0.0,,,5.0
1059905,21,2020-01-02 20:00:00,"Anfield, Liverpool",53321.0,Away,Sheff Utd,Liverpool,0,2,L,0,1,0,0,,3.0,2.0,1.0,,1.0,,1.0,,,2.0,2.0,14.0,51.0,327.0,239.0,25.2,9.0,14.0,9.0,12.0,29.0,29.0,5.0,6.0,1.0,1.0,8.0,5.0,118.0,5.0,2.0,,35.0,37.0,10.0,18.0,4.0,4.0,,8.0,5.0,0.0,0.0,,,3.0
