matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
2292813,1,2022-08-06 12:30:00,"Craven Cottage, London",25000.0,Away,Liverpool,Fulham,2,2,D,0,1,0,0,2.0,11.0,4.0,5.0,2.0,,3.0,2.0,2.0,2.0,,1.0,8.0,4.0,44.0,74.0,612.0,473.0,66.9,34.0,11.0,9.0,10.0,14.0,14.0,19.0,4.0,,,5.0,14.0,203.0,1.0,2.0,,,,35.0,61.0,13.0,23.0,4.0,4.0,,9.0,7.0,0.0,0.0,,,4.0
2292825,2,2022-08-15 20:00:00,"Anfield, Liverpool",52970.0,Home,Liverpool,Crystal Palace,1,1,D,0,1,1,0,1.0,24.0,4.0,10.0,10.0,,3.0,,3.0,1.0,,1.0,20.0,12.0,60.0,97.0,741.0,645.0,72.6,45.0,20.0,15.0,13.0,8.0,8.0,14.0,,,,13.0,12.0,160.0,2.0,1.0,,,,46.0,59.0,9.0,16.0,4.0,4.0,1.0,7.0,7.0,0.0,0.0,,,3.0
2292836,3,2022-08-22 20:00:00,"Old Trafford, Manchester",,Away,Liverpool,Man Utd,1,2,L,0,1,0,0,1.0,17.0,5.0,7.0,5.0,,1.0,,1.0,,,,13.0,7.0,43.0,66.0,645.0,540.0,70.5,47.0,13.0,11.0,6.0,7.0,7.0,22.0,3.0,,,11.0,21.0,165.0,3.0,2.0,,,,53.0,56.0,20.0,14.0,8.0,8.0,,7.0,10.0,0.0,0.0,,,2.0
2292845,4,2022-08-27 15:00:00,"Anfield, Liverpool",53328.0,Home,Liverpool,Bournemouth,9,0,W,5,0,0,0,9.0,19.0,12.0,6.0,1.0,,3.0,3.0,3.0,,,6.0,15.0,10.0,44.0,93.0,681.0,589.0,69.4,50.0,12.0,10.0,9.0,3.0,3.0,22.0,1.0,,,6.0,8.0,136.0,2.0,,,1.0,,45.0,46.0,18.0,14.0,8.0,8.0,,6.0,5.0,0.0,0.0,,,3.0
2292857,5,2022-08-31 20:00:00,"Anfield, Liverpool",53316.0,Home,Liverpool,Newcastle,2,1,W,0,1,0,0,2.0,23.0,6.0,8.0,9.0,,1.0,,1.0,,,2.0,17.0,12.0,59.0,83.0,625.0,523.0,71.8,51.0,7.0,5.0,6.0,4.0,4.0,15.0,,,,6.0,10.0,172.0,1.0,1.0,,,,43.0,58.0,15.0,22.0,13.0,13.0,2.0,9.0,10.0,0.0,0.0,,,2.0
2292864,6,2022-09-03 12:30:00,"Goodison Park, Liverpool",39240.0,Away,Liverpool,Everton,0,0,D,0,0,0,0,,23.0,8.0,9.0,6.0,,,,1.0,3.0,,,18.0,11.0,43.0,70.0,469.0,380.0,60.9,46.0,15.0,12.0,12.0,16.0,16.0,10.0,5.0,1.0,,4.0,14.0,149.0,4.0,,,1.0,,39.0,41.0,14.0,9.0,9.0,9.0,1.0,11.0,7.0,0.0,0.0,,,2.0
2292876,7,2023-03-01 20:00:00,"Anfield, Liverpool",53259.0,Home,Liverpool,Wolves,2,0,W,0,0,0,0,2.0,15.0,6.0,6.0,3.0,,3.0,2.0,1.0,,,2.0,12.0,7.0,31.0,45.0,528.0,439.0,56.8,34.0,12.0,10.0,12.0,5.0,5.0,5.0,1.0,1.0,,15.0,12.0,134.0,1.0,,,1.0,,47.0,61.0,9.0,12.0,5.0,5.0,2.0,13.0,13.0,0.0,0.0,,,1.0
2292883,8,2023-04-04 20:00:00,"Stamford Bridge, London",40093.0,Away,Liverpool,Chelsea,0,0,D,0,0,0,0,,7.0,4.0,,3.0,,,,,,,,4.0,4.0,23.0,55.0,537.0,449.0,50.4,17.0,13.0,7.0,6.0,17.0,17.0,12.0,3.0,,,16.0,16.0,151.0,2.0,,,1.0,,36.0,65.0,10.0,8.0,5.0,5.0,,17.0,2.0,0.0,0.0,,,3.0
2292896,9,2022-10-01 15:00:00,"Anfield, Liverpool",53320.0,Home,Liverpool,Brighton,3,3,D,1,2,0,0,3.0,15.0,7.0,6.0,2.0,,4.0,2.0,3.0,1.0,,2.0,9.0,6.0,41.0,83.0,530.0,432.0,53.8,45.0,14.0,9.0,9.0,16.0,16.0,10.0,,,1.0,11.0,16.0,166.0,3.0,3.0,,,,46.0,48.0,11.0,8.0,9.0,9.0,1.0,9.0,13.0,0.0,0.0,,,1.0
2292901,10,2022-10-09 16:30:00,"Emirates Stadium, London",59968.0,Away,Liverpool,Arsenal,2,3,L,1,2,0,0,2.0,8.0,3.0,2.0,3.0,,1.0,1.0,,,,2.0,5.0,3.0,20.0,47.0,488.0,395.0,56.0,19.0,15.0,7.0,8.0,19.0,19.0,4.0,3.0,1.0,,8.0,11.0,145.0,4.0,3.0,,,,39.0,46.0,10.0,13.0,3.0,3.0,,11.0,10.0,0.0,0.0,,,6.0
2292915,11,2022-10-16 16:30:00,"Anfield, Liverpool",53286.0,Home,Liverpool,Man City,1,0,W,0,0,0,0,1.0,13.0,2.0,8.0,3.0,2.0448,5.0,1.0,4.0,,1.5871,1.0,10.0,5.0,27.0,39.0,407.0,313.0,36.8,26.0,23.0,12.0,11.0,27.0,27.0,22.0,5.0,,,8.0,15.0,148.0,6.0,,1.3289,1.0,,45.0,51.0,10.0,15.0,5.0,5.0,2.0,10.0,6.0,0.0,0.0,,,3.0
