gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attCmissRight,attMissRight,attHdTarget,bigChanceMissed,totalPullBack,attAssistSetplay,attSvLowRight,shieldBallOop,attHdTotal,attHdMiss,attIboxMiss,errorLeadToGoal,shotFastbreak,attBxRight,goalFastbreak,attMissHighRight,cleanSheet,penaltyWon,accurateFreekickCross,attSetpiece,defenderGoals,attPenGoal,attFastbreak,handBall,attObxLeft,postScoringAtt,attIboxPost,hitWoodwork,punches,attPostRight,attSvHighRight,attObxdLeft,goalsConcededObox,attFreekickTotal,attGoalHighRight,attOboxGoal,freekickTotal,contentiousDecision,attFreekickGoal,attFreekickTarget,attPostHigh,foulThrowIn,penaltyConceded,penaltyFaced,penGoalsConceded,sixYardBlock,ownGoals,attIboxOwnGoal,attCmissHigh,attCmissLeft,clearanceOffLine,attFreekickMiss,attGoalLowCentre,accuratePullBack,attHdPost,attHdGoal,attGoalHighCentre,goalAssistSetplay,goalAssistDeadball,secondYellow,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attPostLeft,attObpGoal,attSvHighLeft,attOboxPost,attGoalHighLeft,penaltySave,attCmissHighRight,attLgCentre,attPenTarget
1,755306,2014-08-17 13:30:00,"Anfield, Liverpool",44736,Home,Liverpool,Southampton,2,1,W,1,0,0,0,2.0,2.0,75.0,1.0,1.0,2.0,42.0,50.0,8.0,6.0,5.0,1.0,1.0,193.0,2.0,15.0,2.0,2.0,10.0,5.0,167.0,156.0,64.0,12.0,2.0,14.0,2.0,2.0,2.0,1.0,1.0,16.0,11.0,1.0,50.0,2.0,7.0,42.0,1.0,237.0,0.0,140.0,8.0,3.0,1.0,1.0,1.0,3.0,1.0,62.0,93.0,7.0,85.0,3.0,14.0,13.0,2.0,5.0,156.0,2.0,8.0,156.0,849.0,8.0,6.0,17.0,498.0,26.0,2.0,5.0,25.0,2.0,2.0,1.0,2.0,3.0,22.0,580.0,74.0,2.0,1.0,9631,1.0,279.0,9.0,301.0,4.0,1.0,13.0,6.0,67.0,2.0,2.0,10.0,1.0,2.0,12.0,4.0,5.0,2.0,74.0,514.0,11.0,10.0,17.0,96.0,0.0,2.0,6.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,56.1,18.0,4.0,1.0,1.0,10.0,2.0,65.0,2.0,1.0,601.0,17.0,23.0,23.0,5.0,10.0,1.0,316.0,6.0,6.0,23.0,99.0,30.0,1.0,5.0,25.0,16.0,1.0,10.0,2.0,27.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755318,2014-08-25 20:00:00,"Etihad Stadium, Manchester",45471,Away,Liverpool,Manchester City,1,3,L,0,1,0,0,1.0,,50.0,,,1.0,20.0,20.0,4.0,3.0,1.0,,1.0,172.0,5.0,9.0,1.0,4.0,9.0,3.0,144.0,117.0,46.0,11.0,3.0,7.0,3.0,,,,2.0,25.0,14.0,,20.0,7.0,10.0,28.0,,240.0,0.0,167.0,7.0,1.0,1.0,,2.0,3.0,,44.0,72.0,5.0,66.0,1.0,18.0,24.0,2.0,1.0,117.0,1.0,6.0,126.0,686.0,8.0,6.0,13.0,422.0,20.0,,1.0,10.0,,,1.0,1.0,4.0,16.0,488.0,57.0,,,99323,5.0,206.0,13.0,214.0,1.0,,24.0,5.0,34.0,2.0,1.0,5.0,,,10.0,3.0,4.0,1.0,34.0,441.0,13.0,4.0,5.0,66.0,0.0,,6.0,,1.0,3.0,,0.0,3.0,,47.1,13.0,4.0,1.0,,5.0,4.0,52.0,7.0,,508.0,13.0,5.0,19.0,4.0,22.0,2.0,319.0,5.0,10.0,8.0,121.0,21.0,,1.0,10.0,17.0,3.0,10.0,3.0,20.0,1.0,12.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755331,2014-08-31 13:30:00,"White Hart Lane, London",36130,Away,Liverpool,Tottenham Hotspur,3,0,W,1,0,0,0,2.0,2.0,64.0,2.0,1.0,,23.0,45.0,6.0,6.0,1.0,2.0,2.0,143.0,6.0,8.0,3.0,4.0,11.0,8.0,78.0,127.0,52.0,17.0,1.0,13.0,4.0,1.0,1.0,,1.0,9.0,24.0,1.0,45.0,3.0,4.0,27.0,,130.0,0.0,107.0,11.0,1.0,4.0,2.0,3.0,3.0,,45.0,54.0,6.0,66.0,,7.0,15.0,1.0,4.0,127.0,1.0,5.0,83.0,581.0,7.0,1.0,14.0,273.0,21.0,1.0,5.0,22.0,1.0,1.0,4.0,2.0,5.0,17.0,343.0,55.0,,,99323,5.0,159.0,3.0,177.0,7.0,1.0,15.0,10.0,51.0,2.0,1.0,1.0,,2.0,13.0,2.0,2.0,,63.0,283.0,12.0,10.0,22.0,75.0,0.0,2.0,7.0,1.0,3.0,,,0.0,4.0,1.0,39.6,13.0,1.0,1.0,,1.0,1.0,32.0,3.0,1.0,370.0,14.0,11.0,11.0,8.0,12.0,3.0,202.0,8.0,4.0,4.0,67.0,38.0,,2.0,22.0,28.0,,12.0,3.0,14.0,2.0,10.0,3.0,,2.0,3.0,1.0,1.0,,3.0,2.0,2.0,3.0,2.0,4.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755337,2014-09-13 17:30:00,"Anfield, Liverpool",44689,Home,Liverpool,Aston Villa,0,1,L,0,1,0,0,,,54.0,,,,49.0,25.0,7.0,1.0,,,,185.0,6.0,2.0,,4.0,14.0,1.0,234.0,141.0,47.0,18.0,5.0,11.0,1.0,,,,1.0,32.0,9.0,,25.0,7.0,19.0,53.0,,349.0,0.0,194.0,9.0,,,,1.0,5.0,1.0,72.0,118.0,6.0,93.0,,25.0,14.0,6.0,3.0,141.0,,5.0,229.0,923.0,10.0,3.0,8.0,645.0,17.0,1.0,1.0,17.0,,,2.0,1.0,8.0,22.0,727.0,88.0,,,99323,7.0,316.0,14.0,327.0,5.0,,14.0,6.0,32.0,2.0,3.0,5.0,,,14.0,,6.0,1.0,69.0,659.0,10.0,1.0,6.0,98.0,0.0,2.0,6.0,,,1.0,1.0,0.0,2.0,,74.7,21.0,1.0,2.0,,5.0,7.0,74.0,7.0,1.0,741.0,8.0,7.0,30.0,10.0,27.0,4.0,446.0,12.0,17.0,23.0,140.0,31.0,,1.0,17.0,12.0,1.0,14.0,3.0,8.0,1.0,8.0,7.0,2.0,1.0,4.0,1.0,,1.0,4.0,,1.0,5.0,4.0,6.0,,,1.0,,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755352,2014-09-20 17:30:00,"Boleyn Ground, London",34977,Away,Liverpool,West Ham United,1,3,L,1,2,0,0,,,51.0,1.0,,2.0,42.0,37.0,4.0,1.0,4.0,,4.0,190.0,2.0,4.0,1.0,5.0,8.0,5.0,108.0,129.0,54.0,11.0,,12.0,1.0,1.0,,,,20.0,13.0,3.0,37.0,4.0,6.0,44.0,,154.0,0.0,113.0,11.0,3.0,,1.0,1.0,4.0,2.0,33.0,61.0,6.0,67.0,2.0,16.0,11.0,6.0,2.0,129.0,,6.0,104.0,669.0,8.0,3.0,12.0,364.0,26.0,,5.0,19.0,,1.0,1.0,3.0,2.0,21.0,444.0,57.0,1.0,1.0,99323,1.0,234.0,6.0,256.0,6.0,1.0,11.0,6.0,40.0,2.0,,6.0,,1.0,10.0,7.0,6.0,1.0,70.0,386.0,16.0,4.0,17.0,69.0,0.0,3.0,7.0,2.0,1.0,3.0,,0.0,2.0,,62.4,21.0,,2.0,,6.0,3.0,45.0,5.0,2.0,469.0,12.0,13.0,24.0,3.0,19.0,,233.0,10.0,6.0,16.0,68.0,18.0,,,19.0,18.0,3.0,11.0,3.0,6.0,,5.0,5.0,3.0,,2.0,,,1.0,,2.0,,,,1.0,1.0,,3.0,,,,,,,,,,2.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755357,2014-09-27 12:45:00,"Anfield, Liverpool",44511,Home,Liverpool,Everton,1,1,D,0,0,0,0,2.0,,56.0,,,3.0,25.0,24.0,13.0,6.0,4.0,,4.0,162.0,6.0,11.0,1.0,5.0,17.0,8.0,92.0,117.0,54.0,24.0,6.0,7.0,4.0,,,3.0,2.0,24.0,20.0,3.0,24.0,6.0,6.0,27.0,,193.0,0.0,165.0,8.0,1.0,3.0,1.0,1.0,1.0,,77.0,46.0,10.0,59.0,,18.0,17.0,3.0,3.0,117.0,2.0,3.0,105.0,627.0,13.0,5.0,10.0,337.0,22.0,,2.0,10.0,,,2.0,1.0,6.0,16.0,399.0,55.0,2.0,,99323,4.0,167.0,14.0,181.0,4.0,1.0,17.0,8.0,44.0,2.0,2.0,8.0,,,11.0,8.0,7.0,1.0,43.0,354.0,9.0,10.0,12.0,53.0,0.0,1.0,2.0,1.0,,1.0,1.0,0.0,3.0,,46.4,16.0,2.0,6.0,2.0,8.0,9.0,33.0,8.0,,418.0,10.0,9.0,17.0,7.0,16.0,3.0,261.0,15.0,6.0,7.0,128.0,24.0,,3.0,10.0,27.0,,16.0,2.0,22.0,3.0,10.0,8.0,3.0,,2.0,1.0,2.0,,3.0,1.0,1.0,3.0,2.0,3.0,,1.0,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755367,2014-10-04 15:00:00,"Anfield, Liverpool",44708,Home,Liverpool,West Bromwich Albion,2,1,W,1,0,0,0,1.0,1.0,56.0,1.0,1.0,2.0,40.0,33.0,9.0,6.0,3.0,1.0,4.0,178.0,4.0,10.0,2.0,5.0,17.0,7.0,107.0,145.0,52.0,19.0,4.0,12.0,3.0,,2.0,1.0,,19.0,10.0,2.0,33.0,4.0,10.0,36.0,,203.0,0.0,145.0,12.0,1.0,1.0,2.0,1.0,4.0,,54.0,72.0,10.0,55.0,2.0,15.0,10.0,5.0,3.0,145.0,3.0,3.0,112.0,690.0,13.0,9.0,15.0,360.0,27.0,,5.0,14.0,2.0,,2.0,,5.0,34.0,422.0,65.0,1.0,1.0,99323,4.0,185.0,6.0,201.0,7.0,1.0,10.0,11.0,56.0,2.0,3.0,3.0,,2.0,17.0,5.0,10.0,1.0,61.0,384.0,13.0,4.0,12.0,75.0,0.0,2.0,5.0,1.0,2.0,1.0,5.0,0.0,4.0,2.0,54.3,22.0,1.0,2.0,1.0,3.0,7.0,49.0,5.0,,452.0,15.0,18.0,26.0,5.0,18.0,,270.0,13.0,7.0,13.0,116.0,20.0,,5.0,14.0,16.0,1.0,18.0,3.0,20.0,5.0,5.0,5.0,3.0,1.0,2.0,,2.0,,,2.0,4.0,,,2.0,,1.0,2.0,,2.0,,,1.0,,,,1.0,,,,,,2.0,,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,755379,2014-10-19 13:30:00,"MATRADE Loftus Road, London",18069,Away,Liverpool,Queens Park Rangers,3,2,W,0,0,0,0,3.0,,69.0,,1.0,1.0,27.0,58.0,5.0,6.0,4.0,,,195.0,2.0,13.0,3.0,2.0,12.0,4.0,94.0,151.0,69.0,15.0,2.0,21.0,3.0,,1.0,1.0,1.0,8.0,21.0,,58.0,,11.0,41.0,,152.0,0.0,127.0,15.0,4.0,4.0,,1.0,1.0,,51.0,61.0,7.0,52.0,,8.0,14.0,1.0,3.0,151.0,,12.0,113.0,685.0,11.0,5.0,11.0,331.0,28.0,,4.0,34.0,1.0,,3.0,1.0,5.0,24.0,428.0,60.0,3.0,2.0,99323,5.0,202.0,6.0,233.0,8.0,1.0,14.0,11.0,65.0,6.0,2.0,6.0,,1.0,15.0,4.0,7.0,1.0,67.0,352.0,10.0,9.0,22.0,68.0,0.0,1.0,7.0,3.0,3.0,2.0,2.0,0.0,2.0,,56.5,21.0,4.0,1.0,,6.0,4.0,36.0,2.0,,454.0,11.0,15.0,17.0,7.0,15.0,,229.0,9.0,10.0,21.0,86.0,31.0,,4.0,34.0,26.0,2.0,14.0,3.0,20.0,4.0,3.0,2.0,2.0,3.0,3.0,,2.0,,,1.0,,,,4.0,1.0,2.0,3.0,1.0,2.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,755384,2014-10-25 15:00:00,"Anfield, Liverpool",44591,Home,Liverpool,Hull City,0,0,D,0,0,0,0,,,63.0,,,2.0,28.0,19.0,11.0,2.0,3.0,,3.0,188.0,8.0,20.0,,5.0,12.0,4.0,138.0,164.0,70.0,17.0,6.0,15.0,2.0,1.0,,,3.0,34.0,16.0,2.0,19.0,13.0,11.0,39.0,,204.0,0.0,151.0,12.0,,1.0,,1.0,5.0,,50.0,71.0,4.0,69.0,,21.0,15.0,4.0,3.0,164.0,4.0,2.0,140.0,773.0,7.0,7.0,5.0,431.0,27.0,,2.0,15.0,,1.0,3.0,1.0,5.0,33.0,516.0,75.0,1.0,,99323,3.0,252.0,12.0,264.0,4.0,,15.0,4.0,56.0,1.0,1.0,7.0,,,21.0,4.0,4.0,2.0,53.0,448.0,17.0,8.0,10.0,84.0,0.0,2.0,1.0,1.0,,,1.0,0.0,5.0,,65.9,30.0,2.0,,1.0,7.0,7.0,58.0,14.0,,535.0,5.0,12.0,16.0,6.0,24.0,3.0,305.0,12.0,11.0,13.0,98.0,27.0,,1.0,15.0,21.0,,9.0,3.0,32.0,1.0,6.0,14.0,1.0,1.0,1.0,1.0,4.0,,2.0,1.0,,3.0,2.0,3.0,,,2.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,755401,2014-11-01 12:45:00,"St. James' Park, Newcastle",52166,Away,Liverpool,Newcastle United,0,1,L,0,0,0,0,1.0,,60.0,,,,26.0,25.0,4.0,2.0,1.0,,2.0,194.0,4.0,7.0,,1.0,5.0,3.0,154.0,150.0,65.0,6.0,1.0,17.0,1.0,,,1.0,1.0,13.0,19.0,2.0,25.0,2.0,14.0,50.0,,199.0,0.0,129.0,8.0,2.0,2.0,,,1.0,2.0,58.0,60.0,3.0,83.0,1.0,11.0,14.0,5.0,1.0,150.0,,7.0,152.0,793.0,4.0,3.0,8.0,477.0,27.0,,4.0,11.0,,,3.0,6.0,2.0,25.0,563.0,77.0,,3.0,9631,2.0,301.0,5.0,314.0,4.0,,14.0,7.0,56.0,2.0,7.0,6.0,,,15.0,7.0,6.0,,53.0,496.0,12.0,5.0,16.0,84.0,0.0,2.0,7.0,2.0,,1.0,,0.0,2.0,,64.5,22.0,2.0,,,6.0,1.0,55.0,2.0,2.0,583.0,8.0,18.0,30.0,2.0,17.0,2.0,282.0,3.0,13.0,17.0,76.0,25.0,,4.0,11.0,29.0,1.0,4.0,2.0,16.0,4.0,8.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
