gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,attGoalLowLeft,attIboxBlocked,attLfGoal,attRfTarget,attGoalLowCentre,accuratePullBack,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissHighRight,cleanSheet,attSvHighLeft,attSvLowLeft,attMissRight,attHdTarget,goalAssist,totalKeeperSweeper,accurateThroughBall,totalPullBack,defenderGoals,attMissHigh,attFastbreak,punches,goalAssistIntentional,foulThrowIn,forwardGoals,attHdGoal,fouledFinalThird,attBxRight,attSvHighRight,freekickCross,hitWoodwork,attBxCentre,penaltyConceded,ownGoals,goalsOpenplay,attCmissLeft,attBxLeft,penaltyFaced,penGoalsConceded,attIboxOwnGoal,attOpenplay,attGoalLowRight,postScoringAtt,attIboxPost,attOboxGoal,attMissHighLeft,sixYardBlock,attSetpiece,attObxdLeft,attGoalHighLeft,attPostHigh,attemptsIbox,saves,attCmissRight,goalFastbreak,totalFastbreak,attemptsObox,attPostLeft,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,goalAssistSetplay,errorLeadToShot,attGoalHighRight,attCmissHigh,attCmissHighLeft,errorLeadToGoal,attLgCentre,attFreekickMiss,secondYellow,attHdPost,attPostRight,goalAssistDeadball,accurateFreekickCross,clearanceOffLine,attFreekickPost,attOboxPost,penaltySave,attObpGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,expectedGoalsFreekick,attFreekickGoal,expectedGoals,attObxLeft
1,284008,2009-08-16 16:00:00,"White Hart Lane, London",35935,Away,Liverpool,Tottenham Hotspur,1,2,L,0,1,0,0,1.0,1.0,2.0,50.0,2.0,36.0,34.0,5.0,2.0,4.0,9.0,1.0,6.0,3.0,159.0,47.0,1.0,9.0,2.0,10.0,1.0,4.0,27.0,16.0,1.0,17.0,5.0,16.0,30.0,165.0,1.0,0.0,136.0,17.0,2.0,1.0,2.0,39.0,71.0,3.0,1.0,22.0,1.0,1.0,7.0,2.0,142.0,10.0,698.0,5.0,11.0,18.0,19.0,6.0,18.0,3.0,6.0,3.0,23.0,76.0,9047,181.0,14.0,192.0,1.0,7.0,67.0,2.0,2.0,3.0,10.0,6.0,1.0,60.0,342.0,12.0,8.0,1.0,23.0,86.0,1.0,0.0,1.0,6.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,52.5,22.0,2.0,2.0,1.0,3.0,2.0,45.0,5.0,2.0,424.0,18.0,13.0,15.0,4.0,19.0,2.0,2.0,259.0,5.0,16.0,4.0,87.0,20.0,3.0,9.0,22.0,1.0,3.0,29.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,284018,2009-08-19 20:00:00,"Anfield, Liverpool",44318,Home,Liverpool,Stoke City,4,0,W,2,0,0,0,,2.0,4.0,46.0,1.0,45.0,33.0,6.0,6.0,7.0,9.0,4.0,16.0,14.0,136.0,45.0,,21.0,,11.0,6.0,2.0,34.0,11.0,4.0,20.0,10.0,16.0,41.0,296.0,,0.0,177.0,11.0,2.0,1.0,1.0,56.0,91.0,12.0,,24.0,,1.0,6.0,2.0,123.0,4.0,790.0,12.0,5.0,9.0,10.0,3.0,21.0,0.0,2.0,4.0,17.0,83.0,9562,195.0,16.0,207.0,2.0,3.0,34.0,4.0,,12.0,2.0,3.0,,67.0,484.0,9.0,,2.0,10.0,81.0,3.0,0.0,,5.0,2.0,4.0,,2.0,0.0,5.0,,4.0,75.9,14.0,1.0,1.0,,12.0,1.0,57.0,11.0,2.0,562.0,9.0,5.0,20.0,6.0,19.0,2.0,4.0,389.0,11.0,15.0,12.0,126.0,19.0,,12.0,15.0,,3.0,18.0,,11.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,284025,2009-08-24 20:00:00,"Anfield, Liverpool",43667,Home,Liverpool,Aston Villa,1,3,L,0,2,0,0,,,1.0,35.0,,51.0,26.0,10.0,2.0,8.0,7.0,1.0,21.0,11.0,154.0,55.0,,24.0,2.0,8.0,6.0,6.0,37.0,16.0,4.0,19.0,8.0,15.0,33.0,303.0,,0.0,212.0,14.0,,,1.0,62.0,71.0,13.0,1.0,29.0,,1.0,11.0,4.0,147.0,5.0,799.0,18.0,12.0,15.0,17.0,5.0,20.0,3.0,3.0,8.0,26.0,87.0,9562,177.0,14.0,193.0,1.0,3.0,50.0,5.0,1.0,8.0,4.0,2.0,,65.0,472.0,11.0,5.0,2.0,16.0,79.0,1.0,0.0,,4.0,2.0,1.0,3.0,6.0,0.0,6.0,1.0,3.0,67.4,24.0,1.0,2.0,3.0,8.0,5.0,55.0,10.0,2.0,563.0,15.0,13.0,21.0,8.0,30.0,2.0,4.0,407.0,19.0,14.0,16.0,156.0,7.0,4.0,15.0,21.0,3.0,2.0,17.0,4.0,10.0,,3.0,,7.0,,,,2.0,1.0,3.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,,1.0,,1.0,,4.0,2.0,2.0,4.0,1.0,6.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,284032,2009-08-29 15:00:00,"Toughsheet Community Stadium, Bolton",23284,Away,Liverpool,Bolton Wanderers,3,2,W,1,1,0,1,,1.0,2.0,42.0,1.0,44.0,31.0,9.0,8.0,11.0,8.0,3.0,24.0,9.0,152.0,57.0,1.0,30.0,4.0,12.0,5.0,1.0,39.0,11.0,1.0,16.0,5.0,17.0,29.0,326.0,,0.0,230.0,8.0,1.0,1.0,1.0,74.0,103.0,12.0,,34.0,1.0,,11.0,4.0,137.0,2.0,887.0,20.0,9.0,10.0,18.0,3.0,23.0,1.0,2.0,12.0,38.0,86.0,9562,223.0,20.0,232.0,2.0,5.0,47.0,7.0,1.0,8.0,7.0,2.0,,65.0,538.0,15.0,3.0,2.0,21.0,85.0,2.0,0.0,,5.0,,2.0,2.0,4.0,0.0,11.0,3.0,4.0,77.8,32.0,4.0,1.0,,8.0,8.0,54.0,11.0,1.0,612.0,10.0,10.0,17.0,13.0,32.0,,8.0,419.0,18.0,17.0,19.0,186.0,15.0,3.0,12.0,15.0,2.0,3.0,23.0,3.0,11.0,,4.0,1.0,4.0,,,2.0,,2.0,2.0,1.0,,,2.0,6.0,,2.0,,3.0,1.0,1.0,3.0,2.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,284043,2009-09-12 15:00:00,"Anfield, Liverpool",43817,Home,Liverpool,Burnley,4,0,W,2,0,0,0,,,1.0,61.0,2.0,38.0,30.0,15.0,6.0,7.0,15.0,4.0,23.0,15.0,156.0,60.0,2.0,28.0,3.0,10.0,4.0,5.0,26.0,18.0,7.0,18.0,4.0,20.0,29.0,247.0,,0.0,196.0,8.0,,3.0,2.0,55.0,81.0,14.0,1.0,22.0,2.0,,7.0,5.0,144.0,3.0,757.0,18.0,10.0,20.0,33.0,4.0,15.0,0.0,1.0,9.0,17.0,81.0,9562,188.0,13.0,205.0,4.0,10.0,46.0,7.0,4.0,2.0,4.0,4.0,,66.0,428.0,10.0,7.0,2.0,15.0,85.0,5.0,0.0,1.0,5.0,1.0,4.0,,4.0,0.0,6.0,1.0,3.0,60.4,14.0,2.0,4.0,,2.0,3.0,47.0,7.0,2.0,525.0,19.0,11.0,13.0,10.0,35.0,1.0,4.0,346.0,19.0,20.0,10.0,147.0,19.0,3.0,9.0,25.0,,3.0,25.0,3.0,7.0,3.0,,,9.0,1.0,,2.0,,3.0,4.0,,1.0,,1.0,3.0,1.0,3.0,,5.0,1.0,,1.0,2.0,1.0,2.0,,1.0,,6.0,1.0,1.0,2.0,1.0,8.0,,,4.0,2.0,,,,,24.0,,1.0,1.0,,,,1.0,,,,13.0,3.0,2.0,1.0,2.0,15.0,1.0,37.0,412.0,501.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,284058,2009-09-19 17:30:00,"Boleyn Ground, London",34658,Away,Liverpool,West Ham United,3,2,W,2,2,0,0,,,,54.0,,27.0,13.0,11.0,5.0,4.0,10.0,3.0,17.0,5.0,138.0,73.0,1.0,19.0,7.0,15.0,1.0,,19.0,23.0,1.0,8.0,4.0,25.0,31.0,237.0,,0.0,191.0,17.0,2.0,1.0,,71.0,77.0,14.0,1.0,15.0,1.0,,3.0,3.0,133.0,9.0,776.0,12.0,11.0,27.0,22.0,6.0,8.0,3.0,3.0,3.0,30.0,100.0,9562,184.0,11.0,194.0,1.0,8.0,65.0,6.0,2.0,7.0,3.0,5.0,,48.0,417.0,13.0,10.0,2.0,19.0,79.0,2.0,0.0,,4.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,1.0,57.9,29.0,,2.0,,7.0,10.0,56.0,4.0,,506.0,26.0,12.0,20.0,4.0,19.0,1.0,1.0,331.0,12.0,22.0,17.0,128.0,21.0,2.0,5.0,33.0,2.0,3.0,21.0,2.0,4.0,2.0,3.0,1.0,2.0,,,,,2.0,,1.0,,,,2.0,,3.0,,1.0,,,1.0,,,1.0,,2.0,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,284063,2009-09-26 15:00:00,"Anfield, Liverpool",44392,Home,Liverpool,Hull City,6,1,W,2,1,0,0,,,1.0,48.0,1.0,30.0,33.0,4.0,10.0,14.0,12.0,6.0,21.0,8.0,158.0,45.0,,25.0,1.0,13.0,1.0,4.0,41.0,17.0,1.0,13.0,10.0,19.0,24.0,222.0,,0.0,189.0,11.0,,1.0,2.0,80.0,53.0,12.0,,31.0,,1.0,14.0,2.0,138.0,3.0,722.0,13.0,16.0,18.0,22.0,6.0,15.0,1.0,3.0,9.0,25.0,79.0,9562,200.0,15.0,210.0,3.0,5.0,53.0,8.0,2.0,4.0,7.0,4.0,,50.0,408.0,3.0,5.0,2.0,24.0,92.0,,0.0,,2.0,,5.0,1.0,6.0,0.0,11.0,1.0,4.0,63.4,23.0,4.0,2.0,,4.0,7.0,53.0,13.0,2.0,491.0,18.0,12.0,17.0,10.0,44.0,3.0,8.0,322.0,10.0,17.0,9.0,136.0,16.0,1.0,5.0,21.0,1.0,3.0,24.0,1.0,13.0,2.0,6.0,3.0,1.0,1.0,,,1.0,6.0,1.0,1.0,,,1.0,2.0,,6.0,1.0,4.0,2.0,,2.0,,,4.0,,3.0,,2.0,3.0,,2.0,,11.0,,,5.0,1.0,3.0,,,,18.0,1.0,,,1.0,1.0,,,1.0,,,20.0,1.0,1.0,,,5.0,,54.0,398.0,479.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
8,284074,2009-10-04 16:00:00,"Stamford Bridge, London",41732,Away,Liverpool,Chelsea,0,2,L,0,0,0,0,,,1.0,55.0,2.0,39.0,29.0,9.0,5.0,8.0,7.0,,10.0,3.0,177.0,65.0,2.0,17.0,2.0,19.0,1.0,3.0,38.0,20.0,2.0,17.0,7.0,14.0,32.0,166.0,,0.0,139.0,17.0,1.0,,,77.0,57.0,3.0,1.0,31.0,2.0,,11.0,6.0,165.0,9.0,673.0,10.0,7.0,26.0,20.0,6.0,17.0,1.0,2.0,7.0,23.0,75.0,9562,129.0,17.0,139.0,,12.0,79.0,2.0,2.0,8.0,8.0,7.0,,66.0,287.0,15.0,12.0,,22.0,92.0,,0.0,1.0,5.0,4.0,,2.0,1.0,0.0,8.0,3.0,3.0,49.0,19.0,2.0,2.0,,8.0,5.0,45.0,8.0,,380.0,26.0,14.0,15.0,9.0,21.0,,3.0,279.0,9.0,14.0,13.0,84.0,19.0,2.0,9.0,30.0,2.0,3.0,24.0,2.0,8.0,,3.0,,1.0,,1.0,,1.0,,1.0,1.0,,,2.0,1.0,1.0,,1.0,,1.0,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
9,284088,2009-10-17 15:00:00,"Stadium of Light, Sunderland",47327,Away,Liverpool,Sunderland,0,1,L,0,1,0,0,,1.0,1.0,49.0,,43.0,28.0,10.0,7.0,4.0,8.0,,12.0,4.0,175.0,67.0,1.0,19.0,1.0,14.0,4.0,3.0,27.0,21.0,,15.0,6.0,19.0,35.0,205.0,,0.0,157.0,18.0,1.0,,3.0,34.0,75.0,4.0,1.0,21.0,1.0,,7.0,9.0,162.0,8.0,774.0,10.0,13.0,16.0,16.0,7.0,15.0,1.0,5.0,8.0,26.0,85.0,9562,195.0,10.0,218.0,,7.0,61.0,5.0,,8.0,7.0,4.0,,67.0,396.0,20.0,3.0,2.0,23.0,93.0,,0.0,,1.0,2.0,,1.0,5.0,0.0,3.0,,3.0,68.0,25.0,1.0,2.0,,8.0,4.0,53.0,8.0,3.0,504.0,16.0,17.0,19.0,11.0,30.0,1.0,2.0,313.0,8.0,17.0,11.0,99.0,20.0,1.0,10.0,28.0,1.0,3.0,18.0,1.0,7.0,,3.0,,1.0,,,,1.0,,1.0,1.0,,1.0,2.0,3.0,2.0,,1.0,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10,284095,2009-10-25 14:00:00,"Anfield, Liverpool",44188,Home,Liverpool,Manchester United,2,0,W,0,0,1,1,,,1.0,63.0,1.0,26.0,41.0,8.0,4.0,5.0,6.0,2.0,10.0,5.0,180.0,66.0,1.0,16.0,4.0,21.0,2.0,3.0,25.0,23.0,1.0,20.0,5.0,14.0,33.0,144.0,,0.0,128.0,20.0,1.0,,1.0,40.0,54.0,7.0,3.0,20.0,1.0,,5.0,3.0,159.0,4.0,658.0,8.0,17.0,22.0,32.0,9.0,24.0,1.0,3.0,3.0,20.0,85.0,9047,116.0,12.0,135.0,2.0,7.0,73.0,4.0,1.0,2.0,4.0,3.0,,64.0,255.0,12.0,7.0,,33.0,97.0,1.0,0.0,1.0,1.0,2.0,2.0,,6.0,1.0,4.0,,1.0,43.8,17.0,,,,3.0,5.0,47.0,5.0,1.0,360.0,21.0,18.0,13.0,6.0,20.0,1.0,3.0,250.0,11.0,11.0,16.0,62.0,21.0,4.0,12.0,32.0,,2.0,13.0,4.0,5.0,,1.0,,1.0,,1.0,1.0,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
