gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,shotFastbreak,accurateKeeperSweeper,attOboxTarget,totalFastbreak,contentiousDecision,attLgCentre,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,attSetpiece,attCmissHigh,totalOffside,attAssistSetplay,attFastbreak,punches,attHdMiss,attHdGoal,handBall,attGoalLowLeft,attCmissRight,postScoringAtt,attIboxPost,penaltyWon,ptsGainedLosingPos,attSvHighLeft,interceptionsInBox,attHdPost,hitWoodwork,attPenGoal,attPostHigh,goalsConceded,attCmissHighRight,goalsConcededIbox,savedObox,midfielderGoals,attGoalHighRight,attOboxGoal,accurateFlickOn,accuratePullBack,attOneOnOne,attGoalHighLeft,clearanceOffLine,ptsDroppedWinningPos,goalsConcededObox,goalFastbreak,ownGoals,defenderGoals,attFreekickGoal,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attCmissHighLeft,errorLeadToGoal,attPenTarget,attPostLeft
11,2210380,2021-11-07 16:30:00,"London Stadium, London",59909.0,Away,Liverpool,West Ham United,2,3,L,1,1,0,0,1.0,,25.0,69.0,3.0,27.0,13.0,4.0,6.0,12.0,1.0,1.0,1.0,221.0,,16.0,6.0,10.0,2.0,5.0,13.0,5.0,184.0,143.0,44.0,1.0,16.0,3.0,17.0,3.0,1.0,2.0,3.0,1.0,24.0,4.0,13.0,2.0,4.0,63.0,377.0,,,,0.0,250.0,6.0,,,1.0,1.0,92.0,74.0,9.0,98.0,1.0,22.0,18.0,4.0,1.0,,6.0,,143.0,2.0,6.0,180.0,857.0,9.0,4.0,45.0,1.0,12.0,571.0,22.0,3.0,6.0,2.0,1.0,2.0,4.0,19.0,663.0,93.0,1.0,,97032,9.0,219.0,2.0,15.0,,233.0,2.0,1.0,2.0,18.0,3.0,40.0,5.0,4.0,1.0,20.0,2.0,2.0,3.0,47.0,590.0,9.0,9.0,8.0,,59.0,,1.0,0.0,1.0,3.0,1.0,1.0,0.0,6.0,1.0,,5.0,69.1,16.0,6.0,,,4.0,6.0,41.0,2.0,1.0,683.0,12.0,,3.0,34.0,5.0,46.0,,5.0,474.0,5.0,4.0,19.0,186.0,36.0,,2.0,6.0,6.0,13.0,3.0,15.0,2.0,9.0,2.0,1.0,,1.0,,,1.0,,,1.0,1.0,2.0,2.0,,2.0,,,3.0,,,,,,,,,,,,,,,3.0,,2.0,,,1.0,1.0,2.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,
12,2210384,2021-11-20 17:30:00,"Anfield, Liverpool",53092.0,Home,Liverpool,Arsenal,4,0,W,1,0,0,0,4.0,4.0,24.0,57.0,5.0,30.0,9.0,3.0,8.0,16.0,3.0,1.0,1.0,185.0,3.0,16.0,5.0,9.0,4.0,2.0,13.0,9.0,170.0,125.0,44.0,,19.0,2.0,11.0,5.0,3.0,2.0,3.0,,17.0,8.0,9.0,6.0,5.0,51.0,233.0,,,1.0,0.0,112.0,15.0,1.0,1.0,2.0,,56.0,82.0,10.0,109.0,2.0,11.0,7.0,3.0,,,4.0,1.0,125.0,4.0,3.0,175.0,807.0,8.0,6.0,41.0,,4.0,545.0,17.0,2.0,3.0,3.0,2.0,2.0,3.0,17.0,617.0,52.0,,,97032,10.0,337.0,1.0,5.0,1.0,352.0,11.0,2.0,1.0,7.0,3.0,52.0,,2.0,3.0,14.0,2.0,3.0,,56.0,565.0,11.0,9.0,6.0,2.0,84.0,,,0.0,3.0,1.0,1.0,4.0,0.0,4.0,3.0,,3.0,62.5,15.0,10.0,,1.0,2.0,7.0,58.0,6.0,,639.0,4.0,,3.0,19.0,3.0,27.0,1.0,2.0,304.0,8.0,4.0,11.0,72.0,28.0,3.0,,3.0,14.0,15.0,3.0,24.0,,3.0,6.0,1.0,,,,,,,1.0,,2.0,2.0,,2.0,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,2.0,1.0,,,,,,,,,,,1.0,1.0,,,,
13,2210398,2021-11-27 15:00:00,"Anfield, Liverpool",53040.0,Home,Liverpool,Southampton,4,0,W,3,0,0,0,,2.0,27.0,83.0,4.0,32.0,24.0,5.0,8.0,15.0,3.0,2.0,2.0,243.0,3.0,13.0,5.0,8.0,4.0,2.0,16.0,6.0,153.0,172.0,49.0,,20.0,1.0,20.0,,4.0,2.0,,4.0,16.0,10.0,24.0,4.0,2.0,51.0,238.0,1.0,1.0,1.0,0.0,159.0,7.0,2.0,,,,68.0,79.0,10.0,66.0,3.0,12.0,15.0,5.0,,,6.0,2.0,172.0,3.0,7.0,151.0,816.0,13.0,5.0,43.0,,6.0,472.0,35.0,,8.0,3.0,0.0,3.0,6.0,23.0,591.0,54.0,,,97032,6.0,259.0,1.0,6.0,1.0,298.0,4.0,2.0,1.0,15.0,3.0,50.0,2.0,11.0,3.0,20.0,,3.0,1.0,64.0,492.0,14.0,7.0,12.0,2.0,94.0,,3.0,0.0,1.0,7.0,3.0,4.0,0.0,4.0,3.0,2.0,2.0,64.5,22.0,3.0,2.0,1.0,11.0,5.0,59.0,5.0,,613.0,6.0,,8.0,26.0,9.0,34.0,1.0,7.0,331.0,10.0,2.0,14.0,111.0,30.0,2.0,,8.0,13.0,17.0,3.0,16.0,,4.0,5.0,,,,2.0,,,,,,,1.0,,2.0,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,3.0,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,
14,2210402,2021-12-01 20:15:00,"Goodison Park, Liverpool",39641.0,Away,Liverpool,Everton,4,1,W,2,1,0,0,2.0,3.0,23.0,78.0,2.0,31.0,14.0,6.0,8.0,10.0,1.0,4.0,1.0,230.0,,13.0,4.0,8.0,4.0,1.0,12.0,7.0,160.0,158.0,49.0,1.0,16.0,2.0,15.0,1.0,1.0,3.0,,2.0,21.0,11.0,14.0,10.0,2.0,53.0,229.0,2.0,1.0,,0.0,154.0,16.0,,2.0,,1.0,39.0,97.0,9.0,78.0,,11.0,18.0,6.0,1.0,,2.0,2.0,158.0,5.0,4.0,131.0,768.0,7.0,1.0,30.0,,9.0,471.0,38.0,3.0,9.0,3.0,3.0,4.0,3.0,14.0,580.0,68.0,1.0,,97032,5.0,264.0,3.0,9.0,1.0,297.0,10.0,,2.0,18.0,6.0,47.0,2.0,5.0,4.0,17.0,4.0,6.0,1.0,59.0,489.0,4.0,8.0,18.0,2.0,89.0,,1.0,0.0,2.0,3.0,1.0,4.0,0.0,1.0,2.0,,3.0,68.7,12.0,6.0,1.0,,5.0,4.0,57.0,11.0,1.0,599.0,9.0,,2.0,26.0,5.0,35.0,3.0,3.0,323.0,5.0,1.0,22.0,107.0,29.0,3.0,,9.0,15.0,12.0,3.0,15.0,,9.0,11.0,1.0,3.0,,2.0,4.0,,,,,,1.0,,1.0,2.0,3.0,1.0,2.0,,1.0,1.0,,,,,,,3.0,,,,,1.0,1.0,1.0,,1.0,,,,2.0,1.0,2.0,,,,2.0,,,,,,,,,,
15,2210420,2021-12-04 15:00:00,"Molineux Stadium, Wolverhampton",30729.0,Away,Liverpool,Wolverhampton Wanderers,1,0,W,0,0,0,0,2.0,1.0,29.0,78.0,3.0,22.0,7.0,4.0,4.0,13.0,1.0,1.0,2.0,200.0,,13.0,8.0,8.0,1.0,,11.0,5.0,202.0,155.0,38.0,,17.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,28.0,8.0,7.0,7.0,9.0,47.0,338.0,,,1.0,0.0,227.0,7.0,1.0,,,,71.0,107.0,4.0,78.0,5.0,21.0,18.0,4.0,,,6.0,3.0,155.0,1.0,1.0,161.0,825.0,9.0,4.0,40.0,,9.0,529.0,20.0,,1.0,1.0,2.0,,7.0,23.0,626.0,90.0,,,97032,8.0,214.0,2.0,15.0,2.0,233.0,4.0,,1.0,18.0,2.0,42.0,2.0,7.0,1.0,12.0,2.0,2.0,2.0,42.0,544.0,4.0,10.0,7.0,7.0,66.0,1.0,1.0,0.0,1.0,2.0,,1.0,0.0,6.0,1.0,,3.0,67.1,20.0,15.0,1.0,,7.0,4.0,52.0,8.0,,641.0,9.0,,17.0,23.0,8.0,59.0,2.0,5.0,436.0,10.0,8.0,11.0,162.0,36.0,,,1.0,15.0,10.0,3.0,12.0,,8.0,8.0,1.0,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,
16,2210428,2021-12-11 15:00:00,"Anfield, Liverpool",53093.0,Home,Liverpool,Aston Villa,1,0,W,0,0,0,0,1.0,1.0,22.0,58.0,5.0,36.0,19.0,5.0,5.0,15.0,,1.0,,177.0,,10.0,11.0,10.0,1.0,2.0,14.0,5.0,143.0,163.0,54.0,,20.0,2.0,7.0,4.0,4.0,,,2.0,28.0,8.0,19.0,10.0,4.0,43.0,279.0,,,1.0,0.0,208.0,13.0,,1.0,1.0,,98.0,101.0,9.0,76.0,2.0,18.0,26.0,5.0,,,7.0,3.0,163.0,1.0,1.0,155.0,766.0,12.0,3.0,64.0,3.0,10.0,442.0,21.0,,9.0,,1.0,2.0,5.0,23.0,540.0,73.0,1.0,,97032,9.0,184.0,3.0,10.0,1.0,209.0,8.0,,2.0,26.0,3.0,54.0,3.0,3.0,,19.0,3.0,3.0,2.0,59.0,452.0,6.0,13.0,9.0,2.0,75.0,1.0,,0.0,2.0,3.0,,1.0,0.0,6.0,,,5.0,62.3,20.0,5.0,2.0,,3.0,7.0,53.0,11.0,,551.0,10.0,,12.0,23.0,8.0,52.0,5.0,5.0,370.0,10.0,4.0,21.0,153.0,28.0,1.0,2.0,9.0,17.0,15.0,3.0,19.0,2.0,6.0,11.0,1.0,1.0,1.0,,1.0,,,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,,1.0,,,,,,,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
17,2210439,2021-12-16 20:00:00,"Anfield, Liverpool",52951.0,Home,Liverpool,Newcastle United,3,1,W,2,1,0,0,2.0,2.0,20.0,81.0,4.0,30.0,3.0,7.0,7.0,16.0,2.0,2.0,1.0,209.0,,6.0,7.0,8.0,3.0,1.0,13.0,8.0,234.0,164.0,40.0,,23.0,2.0,9.0,4.0,2.0,,,5.0,23.0,9.0,3.0,9.0,4.0,59.0,437.0,,1.0,,0.0,264.0,9.0,1.0,,,1.0,86.0,109.0,7.0,82.0,2.0,14.0,5.0,7.0,,,2.0,3.0,164.0,2.0,,213.0,900.0,10.0,3.0,56.0,2.0,9.0,616.0,22.0,1.0,,1.0,1.0,,6.0,23.0,725.0,87.0,1.0,1.0,92217,10.0,198.0,3.0,12.0,1.0,214.0,4.0,1.0,3.0,5.0,4.0,48.0,6.0,4.0,1.0,6.0,5.0,4.0,1.0,55.0,628.0,4.0,6.0,10.0,8.0,71.0,2.0,3.0,0.0,3.0,,,2.0,0.0,5.0,,,4.0,74.2,20.0,11.0,2.0,,4.0,6.0,44.0,11.0,1.0,738.0,9.0,,19.0,30.0,9.0,59.0,2.0,6.0,547.0,12.0,4.0,16.0,195.0,44.0,2.0,1.0,,12.0,14.0,3.0,13.0,1.0,3.0,11.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,2.0,2.0,1.0,,2.0,,,1.0,1.0,,,,3.0,2.0,2.0,,,,,1.0,,,2.0,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,
18,2210447,2021-12-19 16:30:00,"Tottenham Hotspur Stadium, London",45421.0,Away,Liverpool,Tottenham Hotspur,2,2,D,1,1,1,0,3.0,1.0,17.0,73.0,3.0,31.0,15.0,7.0,5.0,11.0,3.0,,1.0,167.0,,10.0,6.0,6.0,2.0,5.0,13.0,6.0,145.0,159.0,54.0,,18.0,3.0,16.0,1.0,2.0,2.0,,3.0,27.0,13.0,15.0,3.0,8.0,46.0,256.0,,,,0.0,212.0,11.0,2.0,1.0,3.0,,105.0,59.0,7.0,72.0,3.0,24.0,22.0,7.0,,,7.0,1.0,159.0,1.0,10.0,135.0,734.0,10.0,,34.0,,11.0,405.0,18.0,2.0,3.0,2.0,4.0,2.0,6.0,21.0,498.0,64.0,1.0,,92217,6.0,173.0,,14.0,,193.0,5.0,,4.0,22.0,4.0,50.0,2.0,8.0,2.0,23.0,,2.0,,62.0,423.0,11.0,9.0,16.0,2.0,61.0,3.0,1.0,0.0,1.0,6.0,3.0,2.0,1.0,6.0,2.0,,7.0,56.3,19.0,9.0,1.0,,8.0,6.0,33.0,4.0,,519.0,11.0,,9.0,22.0,6.0,37.0,,5.0,353.0,6.0,6.0,11.0,167.0,37.0,1.0,1.0,3.0,25.0,12.0,3.0,12.0,1.0,11.0,4.0,,,3.0,3.0,,1.0,,,3.0,1.0,4.0,,1.0,1.0,,1.0,5.0,2.0,,2.0,2.0,,,,1.0,,1.0,,,,,2.0,,2.0,,,,,,1.0,,,,2.0,,,,1.0,,,,,,1.0,,
19,2210454,2022-02-23 19:45:00,"Anfield, Liverpool",53018.0,Home,Liverpool,Leeds United,6,0,W,3,0,0,0,4.0,6.0,32.0,80.0,1.0,37.0,8.0,7.0,11.0,16.0,2.0,3.0,5.0,218.0,1.0,21.0,5.0,20.0,6.0,4.0,17.0,15.0,186.0,139.0,47.0,,23.0,2.0,1.0,7.0,,2.0,6.0,,15.0,3.0,8.0,4.0,10.0,36.0,260.0,1.0,,1.0,0.0,161.0,5.0,,3.0,2.0,,72.0,64.0,13.0,110.0,3.0,11.0,16.0,7.0,,1.0,4.0,3.0,139.0,4.0,1.0,158.0,862.0,14.0,2.0,45.0,,12.0,572.0,23.0,3.0,3.0,3.0,0.0,,4.0,20.0,656.0,71.0,4.0,,97032,12.0,328.0,2.0,5.0,,345.0,3.0,2.0,1.0,16.0,2.0,38.0,6.0,7.0,3.0,17.0,2.0,2.0,1.0,66.0,583.0,10.0,11.0,15.0,2.0,84.0,,,0.0,,,,6.0,0.0,2.0,3.0,,1.0,63.7,19.0,8.0,2.0,,7.0,3.0,57.0,4.0,,672.0,12.0,,9.0,15.0,5.0,29.0,3.0,2.0,342.0,11.0,9.0,9.0,117.0,42.0,4.0,,3.0,8.0,18.0,3.0,32.0,,3.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,,2.0,,,1.0,,2.0,2.0,,,2.0,,,2.0,,,2.0,,,,,2.0,,1.0,,2.0,1.0,1.0,,,,,,,2.0,,,1.0,1.0,,,,
20,2210467,2021-12-28 20:00:00,"King Power Stadium, Leicester",32230.0,Away,Liverpool,Leicester City,0,1,L,0,0,0,0,3.0,,34.0,67.0,4.0,31.0,6.0,4.0,5.0,17.0,,,1.0,183.0,,15.0,11.0,11.0,,4.0,13.0,4.0,156.0,180.0,51.0,,21.0,1.0,20.0,3.0,1.0,,1.0,4.0,42.0,10.0,6.0,12.0,2.0,55.0,363.0,,1.0,,0.0,270.0,11.0,,2.0,3.0,,88.0,101.0,6.0,90.0,1.0,30.0,17.0,4.0,,,8.0,2.0,180.0,2.0,5.0,159.0,797.0,8.0,4.0,67.0,,15.0,469.0,23.0,1.0,2.0,,1.0,3.0,7.0,26.0,577.0,103.0,1.0,,97032,11.0,128.0,5.0,19.0,,144.0,4.0,,1.0,17.0,2.0,55.0,1.0,4.0,,18.0,1.0,2.0,6.0,56.0,480.0,8.0,8.0,8.0,7.0,56.0,,1.0,0.0,1.0,1.0,,,0.0,5.0,,,6.0,63.4,22.0,9.0,2.0,,4.0,5.0,38.0,12.0,,588.0,15.0,,9.0,28.0,12.0,79.0,6.0,9.0,486.0,10.0,2.0,17.0,193.0,31.0,,,2.0,15.0,9.0,3.0,19.0,,5.0,12.0,,,,1.0,,,,,,1.0,4.0,2.0,1.0,5.0,,,4.0,,1.0,,,1.0,1.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,
21,2210473,2022-01-02 16:30:00,"Stamford Bridge, London",40072.0,Away,Liverpool,Chelsea,2,2,D,2,2,0,0,1.0,2.0,26.0,68.0,2.0,23.0,20.0,3.0,5.0,7.0,4.0,2.0,3.0,184.0,1.0,11.0,4.0,10.0,2.0,,5.0,6.0,109.0,164.0,44.0,,10.0,,10.0,2.0,1.0,1.0,1.0,,14.0,5.0,20.0,5.0,4.0,47.0,169.0,,,,0.0,147.0,13.0,2.0,1.0,,,59.0,56.0,3.0,68.0,1.0,9.0,13.0,3.0,,,3.0,1.0,164.0,2.0,9.0,102.0,653.0,3.0,3.0,17.0,,10.0,336.0,25.0,5.0,15.0,1.0,2.0,4.0,2.0,28.0,442.0,72.0,1.0,,97032,4.0,190.0,1.0,6.0,,226.0,8.0,,1.0,13.0,8.0,55.0,6.0,10.0,2.0,16.0,6.0,7.0,1.0,62.0,355.0,5.0,13.0,23.0,3.0,64.0,,,0.0,2.0,6.0,1.0,2.0,0.0,2.0,1.0,,1.0,44.7,22.0,6.0,1.0,1.0,10.0,2.0,30.0,7.0,,463.0,10.0,,10.0,19.0,2.0,22.0,2.0,1.0,251.0,4.0,3.0,17.0,96.0,27.0,2.0,4.0,15.0,12.0,7.0,3.0,19.0,4.0,3.0,7.0,1.0,2.0,3.0,2.0,2.0,,,,3.0,,,,3.0,1.0,2.0,,1.0,,,,,,,,,1.0,2.0,,,,,2.0,,1.0,3.0,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,
22,2210484,2022-01-16 14:00:00,"Anfield, Liverpool",52824.0,Home,Liverpool,Brentford,3,0,W,1,0,0,0,4.0,3.0,31.0,80.0,5.0,35.0,5.0,9.0,8.0,18.0,1.0,,5.0,218.0,,19.0,4.0,9.0,3.0,2.0,18.0,13.0,189.0,191.0,47.0,,27.0,1.0,19.0,6.0,1.0,2.0,3.0,1.0,32.0,7.0,5.0,9.0,5.0,54.0,377.0,1.0,,1.0,0.0,247.0,6.0,1.0,3.0,2.0,2.0,111.0,108.0,12.0,120.0,1.0,23.0,25.0,9.0,,,8.0,4.0,191.0,4.0,4.0,185.0,905.0,13.0,6.0,40.0,1.0,9.0,574.0,25.0,3.0,2.0,3.0,0.0,2.0,6.0,26.0,695.0,81.0,1.0,,97032,12.0,216.0,2.0,13.0,,252.0,4.0,1.0,1.0,25.0,4.0,52.0,2.0,3.0,2.0,13.0,2.0,4.0,4.0,75.0,589.0,5.0,6.0,24.0,6.0,87.0,1.0,,0.0,1.0,,1.0,3.0,0.0,1.0,3.0,1.0,6.0,68.3,23.0,13.0,2.0,3.0,3.0,6.0,42.0,9.0,2.0,712.0,9.0,,10.0,33.0,8.0,48.0,3.0,3.0,492.0,13.0,4.0,24.0,200.0,37.0,1.0,,2.0,9.0,19.0,3.0,20.0,,5.0,9.0,3.0,1.0,1.0,4.0,1.0,,,,1.0,,2.0,1.0,2.0,2.0,1.0,,2.0,2.0,,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,,,3.0,,1.0,,,,,,,,,,1.0,1.0,,,,1.0
23,2210494,2022-01-23 14:00:00,"Selhurst Park, London",25002.0,Away,Liverpool,Crystal Palace,3,1,W,2,0,0,0,1.0,2.0,23.0,67.0,,35.0,11.0,7.0,7.0,7.0,4.0,1.0,3.0,191.0,1.0,12.0,4.0,6.0,3.0,3.0,11.0,7.0,158.0,163.0,40.0,,14.0,1.0,20.0,,,1.0,1.0,1.0,19.0,6.0,11.0,5.0,2.0,50.0,253.0,,1.0,,0.0,184.0,10.0,2.0,1.0,3.0,1.0,77.0,84.0,6.0,87.0,2.0,14.0,18.0,7.0,,,3.0,2.0,163.0,1.0,6.0,140.0,747.0,9.0,9.0,27.0,,9.0,451.0,28.0,2.0,6.0,2.0,1.0,,5.0,27.0,553.0,75.0,1.0,1.0,97032,4.0,216.0,,8.0,,246.0,7.0,1.0,1.0,18.0,5.0,49.0,2.0,4.0,1.0,15.0,2.0,3.0,2.0,74.0,465.0,11.0,6.0,22.0,2.0,75.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,0.0,2.0,2.0,,1.0,56.6,21.0,9.0,1.0,,4.0,1.0,47.0,5.0,1.0,576.0,9.0,,7.0,30.0,6.0,46.0,2.0,4.0,349.0,6.0,2.0,16.0,126.0,23.0,1.0,,6.0,7.0,11.0,3.0,12.0,,8.0,5.0,1.0,,,4.0,,1.0,,1.0,,,,1.0,2.0,,,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,,2.0,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,
24,2210507,2022-02-10 19:45:00,"Anfield, Liverpool",53050.0,Home,Liverpool,Leicester City,2,0,W,1,0,0,0,4.0,2.0,34.0,75.0,2.0,27.0,15.0,6.0,6.0,16.0,1.0,,4.0,221.0,1.0,24.0,5.0,18.0,2.0,1.0,14.0,11.0,166.0,174.0,66.0,,22.0,2.0,10.0,7.0,2.0,1.0,2.0,1.0,28.0,11.0,15.0,6.0,,52.0,303.0,1.0,,1.0,0.0,236.0,11.0,,1.0,,,107.0,97.0,9.0,99.0,2.0,22.0,20.0,6.0,,,6.0,2.0,174.0,2.0,3.0,179.0,905.0,10.0,4.0,53.0,1.0,20.0,548.0,28.0,1.0,4.0,1.0,1.0,1.0,5.0,19.0,649.0,81.0,,,97032,10.0,265.0,2.0,16.0,,288.0,7.0,2.0,,20.0,3.0,52.0,,4.0,1.0,20.0,2.0,3.0,2.0,55.0,563.0,6.0,8.0,13.0,5.0,80.0,2.0,1.0,0.0,3.0,6.0,1.0,2.0,0.0,2.0,1.0,,4.0,65.0,19.0,15.0,1.0,3.0,4.0,4.0,62.0,7.0,,665.0,20.0,,9.0,29.0,7.0,45.0,3.0,4.0,405.0,12.0,,24.0,172.0,28.0,2.0,1.0,4.0,18.0,15.0,3.0,32.0,1.0,12.0,7.0,,1.0,1.0,2.0,1.0,,,,1.0,,2.0,,3.0,3.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,
25,2210512,2022-02-13 14:00:00,"Turf Moor, Burnley",21239.0,Away,Liverpool,Burnley,1,0,W,1,0,0,0,1.0,1.0,20.0,68.0,1.0,41.0,21.0,4.0,3.0,8.0,5.0,,2.0,216.0,,11.0,2.0,12.0,1.0,2.0,8.0,4.0,167.0,165.0,45.0,,12.0,2.0,12.0,2.0,,,,2.0,16.0,3.0,21.0,7.0,6.0,61.0,242.0,,,1.0,0.0,164.0,6.0,1.0,3.0,,,93.0,73.0,5.0,106.0,2.0,9.0,16.0,4.0,,,5.0,1.0,165.0,2.0,5.0,154.0,823.0,5.0,4.0,26.0,,6.0,512.0,30.0,4.0,9.0,,1.0,,3.0,21.0,621.0,74.0,,,97032,3.0,290.0,3.0,4.0,1.0,318.0,3.0,1.0,,16.0,4.0,44.0,1.0,8.0,,15.0,3.0,4.0,,67.0,530.0,6.0,12.0,18.0,5.0,90.0,,2.0,0.0,2.0,5.0,2.0,1.0,0.0,,,1.0,1.0,67.4,17.0,2.0,,,8.0,3.0,60.0,8.0,,643.0,6.0,,8.0,28.0,5.0,38.0,2.0,4.0,341.0,8.0,6.0,16.0,110.0,25.0,,1.0,9.0,11.0,5.0,3.0,18.0,1.0,10.0,8.0,,,2.0,1.0,,,,1.0,2.0,,2.0,,3.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
26,2210526,2022-02-19 15:00:00,"Anfield, Liverpool",53135.0,Home,Liverpool,Norwich City,3,1,W,0,0,0,0,3.0,3.0,20.0,72.0,4.0,24.0,12.0,13.0,14.0,16.0,,1.0,,193.0,1.0,8.0,4.0,18.0,3.0,2.0,25.0,8.0,202.0,138.0,57.0,,29.0,6.0,13.0,3.0,4.0,3.0,2.0,1.0,37.0,5.0,12.0,8.0,2.0,39.0,400.0,1.0,,,0.0,252.0,7.0,,2.0,2.0,1.0,116.0,79.0,16.0,108.0,4.0,29.0,17.0,13.0,,,9.0,4.0,138.0,6.0,3.0,194.0,899.0,22.0,1.0,61.0,2.0,7.0,606.0,24.0,,5.0,3.0,0.0,1.0,9.0,11.0,678.0,97.0,1.0,,97032,7.0,227.0,3.0,18.0,1.0,242.0,4.0,2.0,,17.0,5.0,47.0,4.0,4.0,3.0,11.0,3.0,3.0,4.0,43.0,623.0,8.0,9.0,6.0,3.0,70.0,1.0,1.0,0.0,,4.0,,2.0,0.0,4.0,3.0,,3.0,69.4,11.0,10.0,2.0,,4.0,10.0,53.0,8.0,1.0,697.0,7.0,,7.0,24.0,11.0,55.0,,7.0,492.0,12.0,2.0,17.0,205.0,33.0,3.0,1.0,5.0,14.0,26.0,3.0,30.0,1.0,7.0,9.0,1.0,,,2.0,,,,1.0,,,,2.0,1.0,,,1.0,1.0,,1.0,1.0,2.0,,,,3.0,,2.0,,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,
