matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,totalOffside
1059711,1,2019-08-11 14:00:00,"St. James' Park, Newcastle",47635.0,Home,Newcastle,Arsenal,0,1,L,0,0,0,0,,9.0,2.0,4.0,3.0,,,,,,1.0,,,7.0,4.0,27.0,54.0,378.0,287.0,38.1,13.0,26.0,17.0,20.0,17.0,17.0,13.0,2.0,,,12.0,4.0,143.0,1.0,1.0,,,,65.0,48.0,21.0,14.0,5.0,5.0,,12.0,7.0,0.0,0.0,,1.0
1059718,2,2019-08-17 15:00:00,"Carrow Road, Norwich",27059.0,Away,Newcastle,Norwich,1,3,L,0,1,0,0,1.0,12.0,4.0,7.0,1.0,,,2.0,,2.0,,,1.0,9.0,5.0,26.0,47.0,336.0,271.0,36.7,19.0,14.0,10.0,11.0,13.0,13.0,18.0,4.0,,,11.0,8.0,116.0,5.0,3.0,,,,38.0,49.0,9.0,14.0,5.0,5.0,1.0,11.0,9.0,0.0,0.0,,1.0
1059729,3,2019-08-25 16:30:00,"Tottenham Hotspur Stadium, London",59245.0,Away,Newcastle,Spurs,1,0,W,1,0,0,0,1.0,8.0,3.0,2.0,3.0,,,1.0,1.0,,,,1.0,7.0,5.0,14.0,30.0,190.0,142.0,19.8,12.0,15.0,10.0,11.0,54.0,54.0,14.0,7.0,,,12.0,4.0,94.0,2.0,,,1.0,,44.0,37.0,16.0,10.0,6.0,6.0,,5.0,10.0,0.0,0.0,,4.0
1059739,4,2019-08-31 15:00:00,"St. James' Park, Newcastle",44157.0,Home,Newcastle,Watford,1,1,D,1,1,0,0,1.0,13.0,5.0,3.0,5.0,,,2.0,1.0,1.0,,,1.0,10.0,8.0,33.0,50.0,468.0,359.0,48.8,24.0,11.0,3.0,12.0,14.0,14.0,17.0,4.0,,,7.0,8.0,164.0,3.0,1.0,,,,52.0,50.0,18.0,24.0,6.0,6.0,1.0,5.0,11.0,0.0,0.0,,6.0
1059745,5,2019-09-14 12:30:00,"Anfield, Liverpool",51430.0,Away,Newcastle,Liverpool,1,3,L,1,2,0,0,1.0,8.0,1.0,4.0,3.0,,,,,,,,1.0,6.0,3.0,11.0,25.0,282.0,205.0,24.7,8.0,20.0,11.0,11.0,33.0,33.0,14.0,4.0,,1.0,10.0,5.0,128.0,5.0,3.0,,,,47.0,52.0,13.0,25.0,1.0,1.0,,4.0,5.0,0.0,0.0,,8.0
1059759,6,2019-09-21 17:30:00,"St. James' Park, Newcastle",43316.0,Home,Newcastle,Brighton,0,0,D,0,0,0,0,,11.0,4.0,5.0,2.0,,,2.0,,2.0,,,,11.0,6.0,26.0,38.0,280.0,195.0,28.7,21.0,18.0,11.0,11.0,22.0,22.0,25.0,6.0,,,6.0,8.0,129.0,2.0,,,1.0,,56.0,50.0,19.0,18.0,5.0,5.0,,12.0,8.0,0.0,0.0,,
1059767,7,2019-09-29 16:30:00,"King Power Stadium, Leicester",32168.0,Away,Newcastle,Leicester,0,5,L,0,1,1,0,,3.0,,3.0,,,,,,,,,,2.0,,16.0,36.0,328.0,252.0,31.1,4.0,17.0,11.0,12.0,24.0,24.0,17.0,3.0,,,6.0,17.0,137.0,1.0,5.0,,,1.0,49.0,47.0,13.0,9.0,,,,9.0,11.0,0.0,0.0,,1.0
1059777,8,2019-10-06 16:30:00,"St. James' Park, Newcastle",51198.0,Home,Newcastle,Man Utd,1,0,W,0,0,0,0,1.0,12.0,2.0,5.0,5.0,,,1.0,,1.0,1.0,,1.0,11.0,6.0,15.0,25.0,281.0,204.0,31.9,16.0,12.0,10.0,14.0,17.0,17.0,12.0,3.0,,,3.0,5.0,124.0,3.0,,,1.0,,53.0,41.0,23.0,18.0,4.0,4.0,1.0,12.0,9.0,0.0,0.0,,1.0
1059784,9,2019-10-19 15:00:00,"Stamford Bridge, London",40513.0,Away,Newcastle,Chelsea,0,1,L,0,0,0,0,,5.0,,4.0,1.0,,,1.0,,1.0,,,,4.0,1.0,14.0,32.0,258.0,172.0,28.9,6.0,12.0,7.0,6.0,31.0,31.0,14.0,5.0,,,14.0,10.0,144.0,6.0,1.0,,,,45.0,71.0,18.0,23.0,,,,12.0,9.0,0.0,0.0,,1.0
1059797,10,2019-10-27 14:00:00,"St. James' Park, Newcastle",46019.0,Home,Newcastle,Wolves,1,1,D,1,0,1,0,1.0,13.0,2.0,7.0,4.0,,,1.0,,1.0,,,1.0,10.0,6.0,21.0,38.0,405.0,317.0,43.1,24.0,13.0,9.0,5.0,28.0,28.0,10.0,3.0,,1.0,11.0,11.0,138.0,4.0,1.0,,,,71.0,61.0,30.0,25.0,3.0,3.0,3.0,8.0,15.0,0.0,0.0,,1.0
