matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,totalOffside
918899,1,2017-08-13 13:30:00,"St. James' Park, Newcastle",52077,Home,Newcastle,Spurs,0,2,L,0,0,1,0,,6.0,2.0,4.0,,1.0,,1.0,,,5.0,1.0,24.0,40.0,245.0,157.0,26.9,16.0,12.0,9.0,8.0,29.0,29.0,19.0,7.0,,,10.0,13.0,137.0,4.0,2.0,,,39.0,47.0,16.0,15.0,5.0,5.0,1.0,6.0,9.0,0.0,0.0,,2.0
918905,2,2017-08-20 13:30:00,"John Smith's Stadium, Huddersfield",24128,Away,Newcastle,Huddersfield,0,1,L,0,0,0,0,,13.0,5.0,3.0,5.0,1.0,,1.0,,,9.0,7.0,23.0,75.0,415.0,296.0,47.3,19.0,18.0,13.0,7.0,27.0,27.0,30.0,1.0,1.0,,5.0,17.0,171.0,2.0,1.0,,,50.0,62.0,12.0,24.0,3.0,3.0,,10.0,12.0,0.0,0.0,,5.0
918919,3,2017-08-26 15:00:00,"St. James' Park, Newcastle",52093,Home,Newcastle,West Ham,3,0,W,1,0,0,0,3.0,17.0,8.0,6.0,3.0,4.0,3.0,1.0,,3.0,15.0,11.0,29.0,59.0,271.0,169.0,37.5,32.0,14.0,12.0,15.0,21.0,21.0,18.0,,,,8.0,9.0,149.0,3.0,,1.0,,56.0,57.0,25.0,16.0,7.0,7.0,,17.0,10.0,0.0,0.0,,
918931,4,2017-09-10 16:00:00,"Liberty Stadium, Swansea",20872,Away,Newcastle,Swansea,1,0,W,0,0,0,0,1.0,16.0,8.0,3.0,5.0,2.0,1.0,1.0,,1.0,14.0,12.0,31.0,47.0,329.0,240.0,38.2,16.0,21.0,15.0,11.0,34.0,34.0,16.0,2.0,,,13.0,10.0,142.0,3.0,,1.0,,53.0,62.0,16.0,21.0,5.0,5.0,,15.0,11.0,0.0,0.0,,
918939,5,2017-09-16 15:00:00,"St. James' Park, Newcastle",51795,Home,Newcastle,Stoke,2,1,W,1,0,0,0,2.0,14.0,3.0,6.0,5.0,4.0,1.0,4.0,,2.0,11.0,5.0,30.0,51.0,291.0,207.0,42.1,20.0,25.0,14.0,10.0,37.0,37.0,18.0,2.0,,,11.0,10.0,135.0,3.0,1.0,,,64.0,59.0,23.0,22.0,7.0,7.0,1.0,13.0,11.0,0.0,0.0,,2.0
918944,6,2017-09-24 16:00:00,"Amex Stadium, Falmer",30468,Away,Newcastle,Brighton,0,1,L,0,0,0,0,,17.0,5.0,7.0,5.0,1.0,,2.0,1.0,,8.0,4.0,40.0,51.0,458.0,365.0,51.2,24.0,14.0,10.0,12.0,29.0,29.0,15.0,1.0,,,6.0,9.0,142.0,2.0,1.0,,,51.0,62.0,21.0,33.0,8.0,8.0,1.0,8.0,6.0,0.0,0.0,,
918959,7,2017-10-01 16:30:00,"St. James' Park, Newcastle",52303,Home,Newcastle,Liverpool,1,1,D,1,1,0,0,1.0,8.0,5.0,1.0,2.0,,,,,,4.0,4.0,15.0,46.0,295.0,196.0,32.2,9.0,14.0,10.0,13.0,35.0,35.0,12.0,6.0,1.0,,10.0,14.0,147.0,1.0,1.0,,,39.0,57.0,17.0,20.0,1.0,1.0,,11.0,6.0,0.0,0.0,,1.0
918969,8,2017-10-15 16:00:00,"St. Mary's Stadium, Southampton",31437,Away,Newcastle,Southampton,2,2,D,1,0,0,0,2.0,19.0,5.0,8.0,6.0,,,,1.0,,12.0,7.0,39.0,50.0,347.0,260.0,38.2,23.0,14.0,9.0,6.0,39.0,39.0,18.0,4.0,,,12.0,9.0,140.0,,2.0,,,52.0,62.0,18.0,28.0,8.0,8.0,3.0,12.0,11.0,0.0,0.0,,
918977,9,2017-10-21 15:00:00,"St. James' Park, Newcastle",52251,Home,Newcastle,Crystal Palace,1,0,W,0,0,0,0,1.0,7.0,3.0,1.0,3.0,,,,,,5.0,5.0,30.0,49.0,453.0,361.0,55.3,14.0,16.0,12.0,6.0,30.0,30.0,23.0,3.0,,,13.0,9.0,146.0,,,1.0,,58.0,68.0,23.0,27.0,3.0,3.0,,12.0,14.0,0.0,0.0,,
918986,10,2017-10-30 20:00:00,"Turf Moor, Burnley",21031,Away,Newcastle,Burnley,0,1,L,0,0,0,0,,12.0,5.0,3.0,4.0,,,,,,8.0,6.0,20.0,67.0,521.0,409.0,52.9,6.0,10.0,6.0,12.0,27.0,27.0,9.0,3.0,,,9.0,10.0,162.0,4.0,1.0,,,52.0,54.0,29.0,24.0,3.0,3.0,1.0,10.0,7.0,0.0,0.0,,1.0
918997,11,2017-11-04 15:00:00,"St. James' Park, Newcastle",52237,Home,Newcastle,Bournemouth,0,1,L,0,0,0,0,,16.0,4.0,9.0,3.0,,,,1.0,,14.0,6.0,35.0,71.0,373.0,276.0,48.0,17.0,19.0,12.0,12.0,28.0,28.0,17.0,5.0,,,5.0,8.0,147.0,4.0,1.0,,,69.0,61.0,31.0,36.0,11.0,11.0,2.0,11.0,12.0,0.0,0.0,,5.0
919010,12,2017-11-18 17:30:00,"Old Trafford, Manchester",75035,Away,Newcastle,Man Utd,1,4,L,1,2,0,0,1.0,12.0,5.0,6.0,1.0,2.0,1.0,1.0,,1.0,10.0,6.0,20.0,46.0,344.0,260.0,35.3,17.0,18.0,13.0,9.0,34.0,34.0,14.0,3.0,,,12.0,10.0,122.0,3.0,4.0,,,53.0,50.0,13.0,14.0,4.0,4.0,,9.0,10.0,0.0,0.0,,1.0
919018,13,2017-11-25 15:00:00,"St. James' Park, Newcastle",52188,Home,Newcastle,Watford,0,3,L,0,2,0,0,,12.0,2.0,5.0,5.0,1.0,,1.0,,,11.0,6.0,44.0,73.0,480.0,378.0,52.4,29.0,12.0,8.0,21.0,22.0,22.0,20.0,1.0,,,4.0,15.0,174.0,2.0,3.0,,1.0,64.0,61.0,28.0,23.0,6.0,6.0,,8.0,13.0,0.0,0.0,,4.0
919028,14,2017-11-28 20:00:00,"The Hawthorns, West Bromwich",25534,Away,Newcastle,West Brom,2,2,D,0,1,0,0,2.0,14.0,4.0,5.0,5.0,1.0,1.0,,,1.0,10.0,5.0,31.0,64.0,435.0,342.0,52.1,14.0,18.0,16.0,7.0,29.0,29.0,17.0,2.0,,,11.0,16.0,158.0,2.0,2.0,,,62.0,72.0,27.0,27.0,6.0,6.0,1.0,12.0,12.0,0.0,0.0,,2.0
919036,15,2017-12-02 12:30:00,"Stamford Bridge, London",41538,Away,Newcastle,Chelsea,1,3,L,1,2,0,0,1.0,8.0,2.0,4.0,2.0,,1.0,,,,6.0,2.0,14.0,51.0,390.0,299.0,34.4,8.0,17.0,10.0,13.0,37.0,37.0,19.0,5.0,,1.0,18.0,14.0,135.0,6.0,3.0,,,41.0,68.0,10.0,20.0,4.0,4.0,1.0,13.0,8.0,0.0,0.0,,1.0
919048,16,2017-12-09 17:30:00,"St. James' Park, Newcastle",52117,Home,Newcastle,Leicester,2,3,L,1,1,0,0,2.0,10.0,4.0,4.0,2.0,1.0,1.0,,,2.0,8.0,4.0,24.0,60.0,337.0,230.0,37.8,17.0,21.0,15.0,10.0,22.0,22.0,22.0,1.0,,,22.0,9.0,153.0,3.0,3.0,,1.0,71.0,76.0,33.0,24.0,6.0,6.0,,10.0,8.0,0.0,0.0,,1.0
919060,17,2017-12-13 19:45:00,"St. James' Park, Newcastle",51042,Home,Newcastle,Everton,0,1,L,0,1,1,0,,16.0,4.0,4.0,8.0,,,,2.0,,8.0,6.0,37.0,67.0,509.0,392.0,55.0,18.0,17.0,10.0,10.0,7.0,7.0,21.0,,,1.0,4.0,18.0,192.0,3.0,1.0,,,72.0,74.0,34.0,37.0,4.0,4.0,2.0,10.0,11.0,0.0,0.0,,2.0
919064,18,2017-12-16 15:00:00,"Emirates Stadium, London",59379,Away,Newcastle,Arsenal,0,1,L,0,1,0,0,,10.0,2.0,4.0,4.0,,,,,,8.0,6.0,28.0,66.0,299.0,201.0,28.7,13.0,21.0,12.0,14.0,41.0,41.0,22.0,7.0,,,21.0,10.0,142.0,4.0,1.0,,,79.0,71.0,38.0,26.0,5.0,5.0,1.0,9.0,12.0,0.0,0.0,,2.0
919082,19,2017-12-23 15:00:00,"London Stadium, London",56955,Away,Newcastle,West Ham,3,2,W,1,1,0,0,3.0,11.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,5.0,2.0,18.0,51.0,249.0,155.0,36.5,11.0,23.0,15.0,8.0,56.0,56.0,16.0,7.0,,1.0,17.0,12.0,137.0,4.0,2.0,,,67.0,81.0,31.0,37.0,3.0,3.0,1.0,12.0,9.0,0.0,0.0,,
919089,20,2017-12-27 19:45:00,"St. James' Park, Newcastle",52311,Home,Newcastle,Man City,0,1,L,0,1,0,0,,6.0,2.0,3.0,1.0,,,,,,5.0,2.0,9.0,33.0,228.0,133.0,22.0,7.0,14.0,5.0,11.0,23.0,23.0,20.0,3.0,2.0,,13.0,12.0,128.0,5.0,1.0,,,51.0,52.0,22.0,15.0,3.0,3.0,,11.0,4.0,0.0,0.0,,4.0
919099,21,2017-12-30 15:00:00,"St. James' Park, Newcastle",52209,Home,Newcastle,Brighton,0,0,D,0,0,0,0,,11.0,2.0,5.0,4.0,1.0,,1.0,,,7.0,4.0,31.0,76.0,411.0,292.0,45.3,14.0,12.0,8.0,9.0,20.0,20.0,20.0,2.0,,,10.0,8.0,177.0,3.0,,1.0,,62.0,64.0,28.0,31.0,3.0,3.0,,11.0,10.0,0.0,0.0,,1.0
919110,22,2018-01-01 15:00:00,"bet365 Stadium, Stoke",28471,Away,Newcastle,Stoke,1,0,W,0,0,0,0,1.0,14.0,6.0,5.0,3.0,2.0,1.0,2.0,,1.0,10.0,8.0,31.0,63.0,335.0,223.0,41.2,23.0,17.0,12.0,12.0,39.0,39.0,17.0,4.0,,,14.0,9.0,155.0,4.0,,1.0,,65.0,69.0,28.0,30.0,5.0,5.0,,11.0,10.0,0.0,0.0,,
919119,23,2018-01-13 15:00:00,"St. James' Park, Newcastle",51444,Home,Newcastle,Swansea,1,1,D,0,0,0,0,1.0,12.0,4.0,7.0,1.0,2.0,,2.0,,,8.0,4.0,31.0,57.0,369.0,276.0,42.2,19.0,22.0,16.0,8.0,19.0,19.0,21.0,3.0,,,7.0,6.0,134.0,2.0,1.0,,,59.0,65.0,23.0,40.0,4.0,4.0,,11.0,10.0,0.0,0.0,,2.0
919128,24,2018-01-20 17:30:00,"Etihad Stadium, Manchester",54452,Away,Newcastle,Man City,1,3,L,0,1,0,0,1.0,6.0,4.0,1.0,1.0,2.0,1.0,1.0,,1.0,3.0,2.0,14.0,39.0,193.0,114.0,19.5,13.0,18.0,13.0,19.0,41.0,41.0,21.0,2.0,,,22.0,14.0,131.0,6.0,3.0,,,47.0,71.0,16.0,17.0,,,1.0,10.0,4.0,0.0,0.0,,2.0
919139,25,2018-01-31 19:45:00,"St. James' Park, Newcastle",50174,Home,Newcastle,Burnley,1,1,D,0,0,0,0,1.0,14.0,4.0,7.0,3.0,2.0,1.0,3.0,1.0,1.0,10.0,4.0,29.0,51.0,397.0,280.0,52.5,23.0,17.0,11.0,9.0,43.0,43.0,24.0,2.0,1.0,,5.0,7.0,172.0,2.0,1.0,,1.0,80.0,69.0,42.0,33.0,7.0,7.0,,15.0,14.0,0.0,0.0,1.0,2.0
919147,26,2018-02-04 14:15:00,"Selhurst Park, London",25746,Away,Newcastle,Crystal Palace,1,1,D,1,0,0,0,1.0,12.0,8.0,2.0,2.0,1.0,1.0,,,1.0,10.0,8.0,26.0,51.0,363.0,253.0,45.7,14.0,11.0,7.0,17.0,30.0,30.0,25.0,6.0,3.0,,15.0,14.0,160.0,4.0,1.0,,,42.0,73.0,19.0,31.0,6.0,6.0,1.0,8.0,11.0,0.0,0.0,,3.0
919157,27,2018-02-11 14:15:00,"St. James' Park, Newcastle",52309,Home,Newcastle,Man Utd,1,0,W,0,0,0,0,1.0,10.0,3.0,5.0,2.0,1.0,1.0,,,1.0,7.0,4.0,15.0,60.0,361.0,251.0,35.9,13.0,20.0,13.0,12.0,47.0,47.0,30.0,7.0,,,18.0,8.0,148.0,3.0,,1.0,,63.0,61.0,24.0,19.0,,,3.0,12.0,12.0,0.0,0.0,,2.0
919163,28,2018-02-24 15:00:00,"Vitality Stadium, Bournemouth",10808,Away,Newcastle,Bournemouth,2,2,D,2,0,0,0,2.0,15.0,4.0,6.0,5.0,4.0,2.0,3.0,,1.0,7.0,4.0,17.0,64.0,338.0,234.0,36.8,19.0,21.0,15.0,13.0,50.0,50.0,12.0,4.0,,,9.0,12.0,163.0,3.0,2.0,,,69.0,57.0,29.0,23.0,1.0,1.0,2.0,10.0,12.0,0.0,0.0,,4.0
919177,29,2018-03-03 17:30:00,"Anfield, Liverpool",53287,Away,Newcastle,Liverpool,0,2,L,0,1,0,0,,7.0,2.0,2.0,3.0,,,,,,5.0,3.0,14.0,50.0,315.0,208.0,29.1,7.0,12.0,7.0,14.0,18.0,18.0,9.0,8.0,,,8.0,12.0,160.0,1.0,2.0,,,63.0,71.0,21.0,29.0,3.0,3.0,1.0,9.0,7.0,0.0,0.0,,1.0
919189,30,2018-03-10 15:00:00,"St. James' Park, Newcastle",52246,Home,Newcastle,Southampton,3,0,W,2,0,0,0,3.0,7.0,5.0,2.0,,3.0,2.0,1.0,,3.0,8.0,5.0,22.0,59.0,305.0,188.0,37.0,13.0,15.0,10.0,16.0,35.0,35.0,17.0,1.0,,,10.0,8.0,158.0,2.0,,1.0,,60.0,54.0,28.0,20.0,2.0,2.0,,10.0,9.0,0.0,0.0,,1.0
919201,31,2018-05-09 20:00:00,"Wembley Stadium, London",54923,Away,Newcastle,Spurs,0,1,L,0,0,0,0,,14.0,3.0,9.0,2.0,,,,1.0,,11.0,4.0,27.0,66.0,319.0,211.0,37.1,21.0,21.0,15.0,3.0,22.0,22.0,13.0,1.0,1.0,,11.0,8.0,153.0,6.0,1.0,,,62.0,49.0,24.0,18.0,4.0,4.0,1.0,8.0,10.0,0.0,0.0,,1.0
919209,32,2018-03-31 15:00:00,"St. James' Park, Newcastle",52261,Home,Newcastle,Huddersfield,1,0,W,0,0,0,0,1.0,18.0,3.0,9.0,6.0,3.0,1.0,3.0,,1.0,12.0,6.0,24.0,79.0,582.0,467.0,63.0,22.0,16.0,11.0,15.0,27.0,27.0,22.0,2.0,,,6.0,9.0,181.0,,,1.0,,48.0,55.0,18.0,17.0,3.0,3.0,1.0,9.0,10.0,0.0,0.0,,3.0
919218,33,2018-04-07 15:00:00,"King Power Stadium, Leicester",32066,Away,Newcastle,Leicester,2,1,W,1,0,0,0,2.0,8.0,4.0,3.0,1.0,,,,,2.0,5.0,4.0,17.0,47.0,272.0,162.0,33.7,5.0,13.0,6.0,14.0,27.0,27.0,16.0,1.0,,,10.0,3.0,154.0,,1.0,,,48.0,63.0,24.0,31.0,5.0,5.0,,14.0,7.0,0.0,0.0,,3.0
919228,34,2018-04-15 13:30:00,"St. James' Park, Newcastle",52210,Home,Newcastle,Arsenal,2,1,W,1,1,0,0,2.0,8.0,4.0,2.0,2.0,1.0,1.0,,1.0,2.0,6.0,6.0,20.0,48.0,274.0,173.0,28.2,17.0,22.0,16.0,15.0,29.0,29.0,12.0,4.0,2.0,,9.0,16.0,151.0,2.0,1.0,,,57.0,65.0,21.0,20.0,2.0,2.0,,11.0,8.0,0.0,0.0,,1.0
919237,35,2018-04-23 20:00:00,"Goodison Park, Liverpool",39061,Away,Newcastle,Everton,0,1,L,0,0,0,0,,9.0,2.0,4.0,3.0,,,1.0,,,7.0,5.0,33.0,65.0,362.0,230.0,43.5,25.0,19.0,13.0,13.0,30.0,30.0,23.0,3.0,,,9.0,9.0,193.0,,1.0,,,67.0,61.0,27.0,30.0,6.0,6.0,,11.0,10.0,0.0,0.0,,1.0
919248,36,2018-04-28 15:00:00,"St. James' Park, Newcastle",52283,Home,Newcastle,West Brom,0,1,L,0,1,0,0,,17.0,2.0,9.0,6.0,2.0,,2.0,1.0,,14.0,6.0,50.0,85.0,580.0,467.0,63.5,23.0,23.0,13.0,11.0,15.0,15.0,27.0,1.0,1.0,,12.0,12.0,172.0,1.0,1.0,,,71.0,58.0,28.0,21.0,5.0,5.0,1.0,8.0,11.0,0.0,0.0,,
919261,37,2018-05-05 15:00:00,"Vicarage Road, Watford",20375,Away,Newcastle,Watford,1,2,L,0,2,0,0,1.0,9.0,1.0,4.0,4.0,1.0,1.0,,1.0,1.0,6.0,3.0,35.0,65.0,577.0,474.0,60.8,25.0,8.0,5.0,8.0,16.0,16.0,20.0,2.0,,2.0,2.0,9.0,164.0,6.0,2.0,,,50.0,44.0,25.0,17.0,5.0,5.0,1.0,11.0,9.0,0.0,0.0,,3.0
919268,38,2018-05-13 15:00:00,"St. James' Park, Newcastle",52294,Home,Newcastle,Chelsea,3,0,W,1,0,0,0,3.0,16.0,6.0,5.0,5.0,2.0,2.0,1.0,,2.0,10.0,6.0,29.0,57.0,406.0,316.0,41.9,15.0,19.0,10.0,18.0,10.0,10.0,20.0,1.0,,,15.0,12.0,137.0,2.0,,1.0,,45.0,69.0,11.0,25.0,4.0,4.0,1.0,11.0,9.0,0.0,0.0,,
