gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attGoalHighCentre,keeperGoals,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attObxCentre,fouledFinalThird,accuratePullBack,attOboxBlocked,attMissLeft,attOboxTarget,freekickCross,attMissRight,attemptsObox,attOboxMiss,attMissHighLeft,offtargetAttAssist,accurateThroughBall,attMissHigh,attAssistSetplay,attSvLowRight,attHdMiss,attBxLeft,blockedScoringAtt,shotOffTarget,attIboxMiss,attCmissRight,attSvHighRight,attSetpiece,penaltyConceded,attCmissHigh,penaltyFaced,penGoalsConceded,accurateCornersIntobox,attFreekickTotal,freekickTotal,attLgCentre,expectedGoalsFreekick,errorLeadToShot,sixYardBlock,foulThrowIn,goalAssistSetplay,goalAssist,attCmissLeft,ptsDroppedWinningPos,bigChanceScored,goalAssistOpenplay,attOneOnOne,attMissHighRight,ptsGainedLosingPos,attFreekickTarget,goalAssistIntentional,clearanceOffLine,forwardGoals,postScoringAtt,attIboxPost,hitWoodwork,attCmissHighRight,attObxRight,attFreekickMiss,attPostRight,errorLeadToGoal,handBall,penaltySave,goalAssistDeadball,attHdPost,accurateFreekickCross,attPostHigh,attPostLeft,attIboxOwnGoal,attSvHighLeft,goalFastbreak,contentiousDecision,attCmissHighLeft,attObxLeft,attOboxPost,penaltyWon
1,2561896,2025-08-16 12:30:00,"Villa Park, Birmingham",42526.0,Home,Aston Villa,Newcastle United,0,0,D,0.0,0.0,1,0,0.0,1.0,50.0,0.0,0.0,2.0,0.2041,17.0,20.0,1.0,3.0,3.0,0.0,1.0,125.0,0.0,3.0,9.0,0.0,3.0,3.0,67.0,129.0,40.0,3.0,20.0,3.0,1.0,1.0,3.0,1.0,11.0,5.0,0.0,20.0,1.0,2.0,27.0,0.6442,114.0,1.0,0.0,0.0,73.0,13.0,0.0,3.0,1.0,0.0,1.0,3.0,29.0,25.0,3.0,41.0,1.0,10.0,12.0,0.0,0.0,5.0,129.0,1.0,9.0,0.0,77.0,472.0,3.0,4.0,14.0,1.0,10.0,210.0,18.0,3.0,10.0,3.0,1.0,7.0,0.233068,18.0,279.0,46.0,33.48,149484,2.0,116.0,1.0,5.0,143.0,6.0,103824.63,0.0,1.0,6.0,14.0,43.0,0.0,4.0,0.0,2.0,4.0,0.0,15.0,7.0,6.0,0.0,59.0,227.0,11.0,2.0,22.0,1.0,59.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,39.9,9.0,4.0,1.0,4.0,24.0,3.0,3.0,310.0,10.0,4.0,10.0,24.0,178.0,1.0,2.0,10.0,40.0,18.0,2.0,10.0,11.0,0.0,0.0,2.0,1.0,15.0,0.2036,2.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561907,2025-08-23 15:00:00,"Gtech Community Stadium, Brentford",16838.0,Away,Aston Villa,Brentford,0,1,L,0.0,1.0,0,0,0.0,2.0,46.0,0.0,0.0,,0.1324,25.0,12.0,7.0,12.0,1.0,0.0,,143.0,0.0,4.0,8.0,0.0,12.0,2.0,186.0,145.0,52.0,17.0,17.0,,1.0,,,1.0,27.0,12.0,0.0,12.0,6.0,16.0,41.0,1.3602,307.0,,0.0,0.0,180.0,9.0,0.0,1.0,1.0,0.0,,,79.0,67.0,7.0,80.0,1.0,21.0,17.0,0.0,0.0,8.0,145.0,1.0,8.0,0.0,178.0,785.0,11.0,1.0,43.0,,6.0,490.0,17.0,2.0,7.0,,2.0,3.0,1.5296,23.0,562.0,69.0,32.54,149484,10.0,211.0,1.0,11.0,226.0,7.0,107279.22,0.0,2.0,,10.0,62.0,0.0,4.0,0.0,,5.0,0.0,15.0,1.0,9.0,0.0,41.0,514.0,11.0,8.0,8.0,5.0,56.0,1.0,0.0,0.0,0.0,,0.0,1.0,2.0,1.0,0.0,1.0,,0.0,4.0,1.0,3.0,76.4,17.0,1.0,,5.0,43.0,9.0,1.0,587.0,6.0,12.0,23.0,42.0,388.0,7.0,15.0,21.0,136.0,22.0,1.0,7.0,14.0,0.0,1.0,11.0,5.0,24.0,1.1903,1.0,,9.0,7.0,5.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561915,2025-08-31 19:00:00,"Villa Park, Birmingham",41036.0,Home,Aston Villa,Crystal Palace,0,3,L,0.0,1.0,0,0,0.0,,43.0,0.0,0.0,,1.0148,29.0,17.0,1.0,10.0,1.0,0.0,4.0,129.0,0.0,6.0,7.0,0.0,10.0,4.0,166.0,118.0,37.0,13.0,9.0,3.0,1.0,2.0,3.0,1.0,31.0,5.0,0.0,17.0,7.0,5.0,27.0,2.4469,300.0,,0.0,0.0,162.0,7.0,0.0,,1.0,0.0,1.0,1.0,85.0,72.0,5.0,76.0,,24.0,18.0,0.0,0.0,13.0,118.0,1.0,5.0,0.0,160.0,718.0,8.0,2.0,20.0,,6.0,451.0,12.0,4.0,10.0,3.0,2.0,1.0,0.673415,20.0,505.0,79.0,32.9,441302,4.0,181.0,2.0,10.0,189.0,3.0,112322.01,0.0,,8.0,3.0,48.0,0.0,1.0,0.0,,4.0,0.0,8.0,1.0,3.0,0.0,45.0,475.0,13.0,6.0,9.0,3.0,51.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,,0.0,3.0,,3.0,58.4,18.0,8.0,1.0,4.0,38.0,10.0,1.0,531.0,6.0,18.0,11.0,42.0,373.0,9.0,5.0,6.0,124.0,18.0,,10.0,11.0,0.0,3.0,9.0,5.0,15.0,1.1405,,8.0,10.0,1.0,3.0,2.0,,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,5.0,,4.0,2.0,,3.0,2.0,1.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561930,2025-09-13 15:00:00,"Hill Dickinson Stadium, Liverpool",52114.0,Away,Aston Villa,Everton,0,0,D,0.0,0.0,0,0,0.0,,38.0,0.0,0.0,,0.1268,14.0,19.0,2.0,3.0,2.0,0.0,1.0,132.0,0.0,3.0,2.0,0.0,4.0,1.0,106.0,119.0,51.0,7.0,20.0,,,,,1.0,10.0,11.0,0.0,19.0,3.0,7.0,20.0,0.2926,162.0,1.0,0.0,0.0,105.0,15.0,0.0,1.0,,0.0,,1.0,48.0,35.0,4.0,51.0,,7.0,16.0,0.0,0.0,,119.0,,14.0,0.0,95.0,558.0,2.0,1.0,8.0,,4.0,286.0,17.0,4.0,6.0,,3.0,9.0,0.36346,14.0,348.0,43.0,31.81,199798,1.0,154.0,,7.0,176.0,5.0,101637.98,0.0,,8.0,16.0,66.0,0.0,,0.0,2.0,1.0,0.0,12.0,6.0,12.0,0.0,49.0,313.0,16.0,8.0,23.0,2.0,53.0,,0.0,0.0,0.0,1.0,0.0,,10.0,2.0,0.0,0.0,,0.0,2.0,1.0,1.0,51.7,12.0,2.0,,1.0,29.0,3.0,1.0,384.0,4.0,10.0,9.0,23.0,218.0,4.0,6.0,17.0,75.0,17.0,5.0,6.0,16.0,0.0,0.0,3.0,4.0,15.0,0.5352,5.0,8.0,3.0,3.0,3.0,2.0,,2.0,,1.0,,1.0,4.0,1.0,,,,,2.0,,,1.0,5.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,0.0484,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2561942,2025-09-21 14:00:00,"Stadium of Light, Sunderland",46261.0,Away,Aston Villa,Sunderland,1,1,D,0.0,0.0,0,1,0.0,,38.0,0.0,0.0,2.0,0.1524,15.0,28.0,6.0,6.0,3.0,0.0,1.0,159.0,0.0,4.0,,1.0,7.0,2.0,148.0,120.0,40.0,12.0,14.0,1.0,,1.0,,1.0,26.0,7.0,0.0,28.0,2.0,9.0,30.0,0.9853,320.0,,1.0,0.0,230.0,8.0,0.0,,,0.0,,,92.0,86.0,6.0,86.0,,24.0,16.0,1.0,0.0,13.0,120.0,1.0,10.0,0.0,154.0,728.0,6.0,,34.0,,3.0,463.0,17.0,2.0,23.0,,1.0,4.0,0.897275,18.0,522.0,67.0,33.6,485337,3.0,172.0,2.0,9.0,185.0,4.0,103795.07,1.0,2.0,6.0,8.0,47.0,0.0,,1.0,3.0,5.0,0.0,13.0,4.0,8.0,0.0,32.0,488.0,13.0,5.0,7.0,1.0,40.0,,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,1.0,,0.0,4.0,,,71.4,16.0,3.0,,5.0,25.0,5.0,,547.0,3.0,12.0,11.0,45.0,388.0,6.0,7.0,17.0,197.0,11.0,1.0,23.0,11.0,0.0,1.0,10.0,5.0,8.0,0.7842,1.0,6.0,5.0,3.0,6.0,2.0,,3.0,2.0,,2.0,,6.0,2.0,1.0,1.0,,1.0,,,,1.0,6.0,4.0,2.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2561945,2025-09-28 14:00:00,"Villa Park, Birmingham",40350.0,Home,Aston Villa,Fulham,3,1,W,1.0,1.0,0,0,0.0,1.0,48.0,2.0,0.0,,1.704,17.0,26.0,5.0,4.0,3.0,1.0,,140.0,0.0,1.0,5.0,3.0,6.0,4.0,113.0,110.0,38.0,9.0,9.0,,,1.0,2.0,,10.0,4.0,0.0,26.0,1.0,4.0,27.0,0.7571,151.0,,1.0,0.0,99.0,10.0,0.0,2.0,,1.0,,1.0,40.0,50.0,5.0,41.0,2.0,9.0,20.0,1.0,0.0,2.0,110.0,2.0,9.0,1.0,109.0,571.0,2.0,3.0,18.0,,7.0,315.0,16.0,4.0,15.0,2.0,1.0,4.0,0.85816,11.0,374.0,43.0,33.75,149484,1.0,190.0,1.0,6.0,202.0,5.0,112193.92,2.0,2.0,11.0,9.0,46.0,0.0,8.0,0.0,2.0,5.0,3.0,17.0,2.0,7.0,0.0,36.0,340.0,11.0,11.0,8.0,1.0,58.0,,0.0,0.0,0.0,,0.0,1.0,8.0,3.0,2.0,1.0,,0.0,,1.0,,48.3,9.0,6.0,,5.0,39.0,2.0,1.0,403.0,7.0,9.0,10.0,22.0,211.0,4.0,4.0,14.0,65.0,16.0,3.0,15.0,10.0,0.0,1.0,6.0,5.0,12.0,1.1112,3.0,11.0,2.0,1.0,5.0,2.0,,1.0,1.0,1.0,1.0,,5.0,2.0,,1.0,2.0,1.0,1.0,,,,2.0,3.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,0.0508,1.0,1.0,,,3.0,1.0,,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,2561957,2025-10-05 14:00:00,"Villa Park, Birmingham",40308.0,Home,Aston Villa,Burnley,2,1,W,1.0,0.0,0,0,0.0,1.0,48.0,2.0,0.0,1.0,2.0474,21.0,23.0,3.0,12.0,1.0,0.0,3.0,139.0,0.0,8.0,6.0,2.0,13.0,7.0,148.0,107.0,56.0,15.0,7.0,3.0,,1.0,1.0,,11.0,10.0,0.0,23.0,5.0,16.0,26.0,0.2861,173.0,,0.0,0.0,92.0,9.0,0.0,1.0,,0.0,1.0,1.0,52.0,35.0,8.0,79.0,,6.0,14.0,0.0,0.0,1.0,107.0,1.0,3.0,0.0,130.0,672.0,7.0,2.0,23.0,1.0,5.0,410.0,21.0,3.0,15.0,1.0,3.0,2.0,1.48704,9.0,469.0,40.0,33.12,178301,8.0,269.0,1.0,5.0,286.0,5.0,111314.4,2.0,1.0,8.0,4.0,44.0,0.0,3.0,0.0,3.0,3.0,2.0,9.0,2.0,3.0,0.0,38.0,434.0,15.0,2.0,8.0,6.0,54.0,,0.0,0.0,0.0,,0.0,1.0,4.0,,2.0,1.0,2.0,0.0,3.0,,6.0,55.0,7.0,3.0,,3.0,39.0,6.0,1.0,496.0,5.0,13.0,15.0,23.0,221.0,6.0,14.0,20.0,65.0,18.0,,15.0,15.0,0.0,1.0,9.0,6.0,20.0,1.1633,,8.0,6.0,3.0,3.0,1.0,,,2.0,2.0,,2.0,3.0,1.0,,5.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,5.0,4.0,,3.0,,,,,,5.0,,,,,,,,,2.0,,,1.0,2.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
8,2561973,2025-10-19 14:00:00,"Tottenham Hotspur Stadium, London",61291.0,Away,Aston Villa,Tottenham Hotspur,2,1,W,1.0,1.0,0,0,0.0,,41.0,1.0,0.0,1.0,0.967,15.0,29.0,4.0,2.0,2.0,1.0,,123.0,0.0,1.0,7.0,2.0,5.0,2.0,84.0,123.0,55.0,8.0,11.0,,2.0,,1.0,,16.0,15.0,0.0,29.0,5.0,11.0,28.0,0.9961,122.0,,2.0,0.0,87.0,7.0,0.0,2.0,2.0,1.0,,2.0,46.0,33.0,2.0,49.0,1.0,11.0,14.0,0.0,0.0,2.0,123.0,,7.0,1.0,92.0,544.0,4.0,5.0,7.0,,2.0,272.0,14.0,2.0,16.0,1.0,0.0,1.0,0.149499,21.0,321.0,43.0,34.47,441302,1.0,170.0,,9.0,180.0,2.0,106891.59,1.0,,8.0,7.0,48.0,0.0,2.0,0.0,1.0,4.0,2.0,19.0,3.0,4.0,0.0,42.0,292.0,11.0,5.0,11.0,2.0,49.0,2.0,1.0,0.0,0.0,,0.0,,6.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,,47.4,16.0,4.0,,4.0,22.0,6.0,2.0,348.0,2.0,14.0,14.0,25.0,184.0,4.0,11.0,14.0,61.0,16.0,1.0,16.0,24.0,0.0,1.0,6.0,4.0,18.0,0.3154,1.0,8.0,6.0,1.0,6.0,,,1.0,2.0,,,1.0,6.0,3.0,1.0,3.0,,,,,,1.0,2.0,4.0,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2561977,2025-10-26 14:00:00,"Villa Park, Birmingham",41988.0,Home,Aston Villa,Manchester City,1,0,W,1.0,0.0,0,0,0.0,,45.0,0.0,1.0,,0.8061,25.0,19.0,4.0,8.0,3.0,1.0,2.0,150.0,0.0,3.0,6.0,1.0,6.0,3.0,111.0,99.0,42.0,9.0,13.0,2.0,,,1.0,1.0,12.0,11.0,0.0,19.0,4.0,8.0,38.0,0.1635,157.0,1.0,1.0,0.0,87.0,8.0,0.0,1.0,,0.0,1.0,1.0,43.0,44.0,6.0,94.0,5.0,8.0,8.0,0.0,0.0,2.0,99.0,1.0,14.0,0.0,94.0,627.0,3.0,3.0,26.0,,7.0,364.0,20.0,,8.0,1.0,1.0,10.0,0.531955,13.0,419.0,48.0,33.72,449871,4.0,234.0,2.0,5.0,249.0,6.0,113542.04,0.0,1.0,5.0,7.0,41.0,0.0,3.0,1.0,1.0,7.0,0.0,10.0,4.0,5.0,0.0,59.0,388.0,15.0,6.0,9.0,4.0,57.0,,0.0,0.0,0.0,,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,1.0,,1.0,47.0,9.0,1.0,,7.0,33.0,5.0,2.0,449.0,7.0,7.0,20.0,26.0,212.0,4.0,8.0,3.0,52.0,8.0,2.0,8.0,18.0,0.0,0.0,4.0,5.0,13.0,0.8135,2.0,5.0,5.0,5.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,1.0,2.0,1.0,,2.0,5.0,1.0,1.0,,,,,,,,2.0,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,2561989,2025-11-01 20:00:00,"Anfield, Liverpool",60407.0,Away,Aston Villa,Liverpool,0,2,L,0.0,1.0,0,0,1.0,,34.0,0.0,0.0,2.0,0.3005,21.0,26.0,,4.0,2.0,0.0,3.0,129.0,0.0,1.0,6.0,0.0,10.0,3.0,110.0,108.0,36.0,10.0,10.0,,1.0,,,,18.0,7.0,0.0,26.0,3.0,10.0,29.0,1.0119,132.0,,0.0,0.0,104.0,11.0,0.0,2.0,1.0,0.0,2.0,,50.0,31.0,4.0,63.0,2.0,15.0,16.0,0.0,0.0,3.0,108.0,,7.0,0.0,96.0,564.0,9.0,2.0,22.0,,6.0,306.0,13.0,2.0,18.0,,3.0,5.0,0.431817,12.0,363.0,51.0,34.32,149484,4.0,205.0,,12.0,220.0,3.0,107660.47,0.0,,6.0,10.0,42.0,0.0,3.0,0.0,,5.0,0.0,14.0,9.0,8.0,0.0,48.0,336.0,13.0,9.0,11.0,,48.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,,0.0,2.0,,0.0,1.0,2.0,1.0,46.6,10.0,3.0,,5.0,27.0,4.0,,398.0,6.0,8.0,16.0,29.0,196.0,9.0,10.0,6.0,70.0,9.0,2.0,18.0,11.0,0.0,1.0,8.0,5.0,10.0,0.4076,2.0,6.0,4.0,1.0,5.0,2.0,,,2.0,3.0,,1.0,6.0,3.0,,6.0,1.0,,1.0,,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,2.0,,,,,,,,,,2.0,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
