gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowRight,savedObox,attLfGoal,goals,attOboxBlocked,shotFastbreak,goalAssistOpenplay,attMissLeft,attGoalHighRight,attOboxTarget,attOboxGoal,attGoalHighCentre,attHdTarget,goalAssist,attRfGoal,attFastbreak,attSvLowRight,attCmissLeft,attIboxGoal,goalsConceded,goalAssistIntentional,shieldBallOop,forwardGoals,goalsConcededIbox,handBall,attLfTarget,attFreekickTotal,interceptionsInBox,freekickTotal,attObxdRight,attFreekickTarget,attSvHighCentre,attGoalLowLeft,goalAssistSetplay,totalFastbreak,midfielderGoals,attSvLowLeft,bigChanceCreated,attLgCentre,errorLeadToShot,penaltyConceded,goalsOpenplay,foulThrowIn,clearanceOffLine,penaltyFaced,penGoalsConceded,attHdGoal,attGoalLowCentre,attMissHighRight,bigChanceMissed,attCmissHighLeft,attCmissHighRight,attSvHighRight,penaltyWon,ownGoals,attPenGoal,attSvHighLeft,hitWoodwork,accurateFreekickCross,attGoalHighLeft,goalsConcededObox,defenderGoals,errorLeadToGoal,goalAssistDeadball,goalFastbreak,secondYellow,attFreekickMiss,postScoringAtt,attIboxPost,attHdPost,attPostRight,attPostHigh,attObxRight,attIboxOwnGoal
1,360470,2011-08-13 15:00:00,"Craven Cottage, London",25700,Away,Aston Villa,Fulham,0,0,D,0,0,0,0,48.0,1.0,26.0,43.0,2.0,1.0,1.0,140.0,5.0,2.0,2.0,7.0,1.0,1.0,1.0,75.0,156.0,42.0,7.0,19.0,1.0,1.0,1.0,1.0,20.0,8.0,17.0,3.0,6.0,21.0,164.0,1.0,0.0,145.0,19.0,2.0,2.0,1.0,80.0,47.0,2.0,60.0,2.0,17.0,5.0,2.0,130.0,10.0,77.0,546.0,5.0,14.0,25.0,22.0,1.0,11.0,23.0,1.0,4.0,4.0,5.0,23.0,99.0,1.0,8380,3.0,110.0,10.0,1.0,2.0,114.0,1.0,11.0,50.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,2.0,57.0,269.0,10.0,3.0,2.0,32.0,90.0,1.0,0.0,2.0,2.0,5.0,2.0,0.0,4.0,2.0,45.9,16.0,2.0,1.0,1.0,4.0,1.0,39.0,3.0,1.0,352.0,18.0,1.0,10.0,5.0,22.0,1.0,3.0,258.0,3.0,4.0,19.0,81.0,13.0,1.0,9.0,11.0,4.0,2.0,10.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,360480,2011-08-20 15:00:00,"Villa Park, Birmingham",32319,Home,Aston Villa,Blackburn Rovers,3,1,W,2,0,0,0,36.0,,26.0,26.0,5.0,3.0,1.0,158.0,4.0,8.0,,8.0,,,5.0,90.0,160.0,56.0,10.0,8.0,1.0,,,,17.0,11.0,13.0,4.0,8.0,27.0,174.0,,0.0,126.0,9.0,,,,51.0,69.0,5.0,75.0,,13.0,2.0,2.0,147.0,5.0,84.0,598.0,5.0,18.0,19.0,17.0,,11.0,12.0,,3.0,4.0,3.0,30.0,66.0,,8380,3.0,143.0,9.0,,,166.0,1.0,11.0,44.0,,,1.0,4.0,7.0,7.0,5.0,2.0,53.0,313.0,13.0,10.0,1.0,32.0,91.0,,0.0,,4.0,,4.0,0.0,3.0,2.0,51.6,21.0,1.0,2.0,1.0,4.0,1.0,44.0,5.0,,407.0,17.0,5.0,9.0,4.0,16.0,1.0,2.0,258.0,5.0,7.0,16.0,79.0,11.0,5.0,5.0,19.0,,3.0,20.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,360489,2011-08-27 12:05:00,"Villa Park, Birmingham",30776,Home,Aston Villa,Wolverhampton Wanderers,0,0,D,0,0,0,0,50.0,2.0,21.0,23.0,6.0,10.0,,158.0,9.0,4.0,,14.0,,2.0,3.0,66.0,168.0,42.0,18.0,9.0,2.0,2.0,,1.0,29.0,12.0,13.0,9.0,4.0,33.0,146.0,1.0,0.0,124.0,11.0,,,,66.0,44.0,4.0,60.0,2.0,20.0,7.0,4.0,158.0,4.0,62.0,543.0,9.0,11.0,16.0,20.0,,5.0,15.0,,1.0,3.0,10.0,28.0,64.0,2.0,8380,7.0,113.0,13.0,1.0,1.0,132.0,2.0,6.0,38.0,2.0,2.0,2.0,4.0,7.0,3.0,3.0,4.0,51.0,250.0,9.0,6.0,5.0,27.0,75.0,,0.0,3.0,8.0,2.0,4.0,0.0,4.0,5.0,45.9,14.0,4.0,3.0,2.0,4.0,4.0,36.0,11.0,,346.0,15.0,6.0,18.0,11.0,29.0,5.0,7.0,243.0,2.0,4.0,12.0,73.0,20.0,3.0,6.0,17.0,,2.0,11.0,3.0,11.0,,,,,,2.0,,,5.0,,1.0,,,1.0,,,,1.0,2.0,,,,1.0,,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,360501,2011-09-10 15:00:00,"Goodison Park, Liverpool",32736,Away,Aston Villa,Everton,2,2,D,0,1,0,0,49.0,1.0,26.0,32.0,5.0,4.0,,162.0,3.0,5.0,2.0,8.0,,,3.0,77.0,172.0,55.0,9.0,17.0,,1.0,,,8.0,10.0,20.0,,4.0,19.0,116.0,,0.0,106.0,12.0,2.0,,1.0,52.0,39.0,4.0,50.0,2.0,8.0,3.0,3.0,160.0,12.0,53.0,523.0,6.0,17.0,10.0,29.0,2.0,14.0,18.0,,1.0,7.0,4.0,24.0,67.0,1.0,8380,1.0,115.0,5.0,,2.0,142.0,,14.0,54.0,,3.0,6.0,,11.0,9.0,8.0,,69.0,228.0,12.0,12.0,,49.0,91.0,,0.0,1.0,8.0,4.0,3.0,0.0,3.0,1.0,45.8,22.0,,1.0,,,2.0,39.0,,1.0,342.0,8.0,7.0,9.0,4.0,15.0,,1.0,208.0,4.0,4.0,17.0,45.0,13.0,,11.0,21.0,5.0,3.0,12.0,,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,,1.0,1.0,,,2.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,360509,2011-09-17 15:00:00,"Villa Park, Birmingham",34248,Home,Aston Villa,Newcastle United,1,1,D,1,0,0,0,53.0,2.0,20.0,38.0,2.0,7.0,,149.0,3.0,8.0,1.0,7.0,,,2.0,55.0,163.0,52.0,11.0,11.0,,,,,18.0,15.0,18.0,2.0,10.0,24.0,142.0,,0.0,121.0,14.0,3.0,1.0,3.0,45.0,52.0,2.0,46.0,1.0,16.0,6.0,2.0,143.0,12.0,59.0,526.0,7.0,17.0,14.0,20.0,2.0,13.0,19.0,,1.0,9.0,5.0,24.0,68.0,1.0,8380,5.0,87.0,9.0,,,104.0,1.0,11.0,62.0,,1.0,2.0,2.0,10.0,10.0,7.0,1.0,47.0,226.0,10.0,14.0,,33.0,81.0,1.0,0.0,1.0,9.0,3.0,6.0,0.0,3.0,,41.1,20.0,,1.0,3.0,2.0,2.0,46.0,4.0,3.0,309.0,13.0,8.0,7.0,7.0,18.0,,5.0,223.0,4.0,9.0,14.0,70.0,22.0,4.0,8.0,20.0,10.0,3.0,24.0,4.0,4.0,1.0,,2.0,1.0,1.0,,1.0,,2.0,,1.0,,,,,,1.0,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
6,360525,2011-09-25 16:00:00,"Kiyan Prince Foundation Stadium, London",16707,Away,Aston Villa,Queens Park Rangers,1,1,D,0,0,0,1,43.0,3.0,19.0,35.0,4.0,6.0,,129.0,4.0,6.0,,7.0,,,2.0,50.0,180.0,48.0,11.0,24.0,,1.0,,,26.0,14.0,22.0,5.0,6.0,25.0,121.0,,0.0,121.0,19.0,1.0,,,62.0,36.0,4.0,38.0,1.0,21.0,5.0,1.0,167.0,10.0,49.0,493.0,6.0,11.0,17.0,21.0,,10.0,23.0,,6.0,9.0,3.0,27.0,72.0,1.0,8380,2.0,65.0,16.0,,,84.0,1.0,12.0,75.0,,1.0,2.0,1.0,13.0,10.0,5.0,,54.0,182.0,14.0,5.0,1.0,34.0,82.0,1.0,0.0,2.0,11.0,2.0,2.0,0.0,3.0,,40.8,17.0,,3.0,3.0,1.0,5.0,29.0,8.0,,266.0,15.0,13.0,14.0,4.0,14.0,1.0,3.0,208.0,5.0,4.0,10.0,76.0,17.0,4.0,13.0,18.0,,2.0,20.0,4.0,8.0,1.0,1.0,,1.0,1.0,2.0,1.0,,3.0,,1.0,,,,,,1.0,,2.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
7,360529,2011-10-01 15:00:00,"Villa Park, Birmingham",30744,Home,Aston Villa,Wigan Athletic,2,0,W,1,0,0,0,53.0,1.0,25.0,30.0,8.0,4.0,1.0,108.0,4.0,4.0,1.0,14.0,,1.0,6.0,63.0,137.0,50.0,16.0,12.0,2.0,1.0,,1.0,18.0,24.0,15.0,3.0,9.0,28.0,114.0,1.0,0.0,113.0,11.0,3.0,1.0,4.0,54.0,28.0,8.0,42.0,2.0,15.0,4.0,4.0,122.0,7.0,59.0,474.0,11.0,10.0,10.0,24.0,,6.0,7.0,,0.0,5.0,6.0,25.0,71.0,,8380,3.0,84.0,10.0,,1.0,91.0,,9.0,46.0,,1.0,4.0,2.0,3.0,8.0,3.0,2.0,55.0,194.0,6.0,12.0,1.0,24.0,66.0,,0.0,2.0,10.0,3.0,1.0,0.0,3.0,1.0,38.8,21.0,1.0,1.0,1.0,2.0,4.0,29.0,5.0,4.0,272.0,6.0,4.0,17.0,6.0,22.0,1.0,2.0,199.0,11.0,9.0,10.0,60.0,15.0,6.0,3.0,30.0,14.0,3.0,11.0,6.0,5.0,1.0,,1.0,,2.0,3.0,,2.0,,,2.0,,,,2.0,2.0,,,,2.0,,1.0,,2.0,,,3.0,1.0,,1.0,,,,1.0,,,,1.0,3.0,1.0,,,2.0,,,,,,,2.0,2.0,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,360542,2011-10-15 15:00:00,"Etihad Stadium, Manchester",47019,Away,Aston Villa,Manchester City,1,4,L,0,1,0,0,54.0,3.0,21.0,15.0,3.0,6.0,1.0,135.0,6.0,1.0,3.0,6.0,,,4.0,67.0,129.0,36.0,10.0,5.0,2.0,1.0,,2.0,12.0,18.0,12.0,1.0,4.0,31.0,151.0,,0.0,125.0,7.0,2.0,1.0,1.0,37.0,59.0,3.0,75.0,,11.0,5.0,2.0,126.0,8.0,84.0,531.0,4.0,6.0,27.0,26.0,,5.0,3.0,,1.0,2.0,3.0,17.0,70.0,,80979,4.0,132.0,5.0,,2.0,146.0,,6.0,30.0,1.0,1.0,1.0,3.0,15.0,6.0,1.0,1.0,50.0,277.0,11.0,6.0,1.0,26.0,72.0,,0.0,2.0,5.0,2.0,1.0,0.0,5.0,1.0,35.9,16.0,1.0,3.0,2.0,3.0,3.0,32.0,1.0,1.0,361.0,18.0,8.0,14.0,3.0,15.0,1.0,1.0,227.0,2.0,4.0,4.0,70.0,18.0,3.0,3.0,20.0,8.0,3.0,5.0,3.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,2.0,,1.0,,1.0,,1.0,,2.0,,,1.0,4.0,,,,3.0,,2.0,,1.0,,,,,,,2.0,,,2.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,
9,360550,2011-10-22 15:00:00,"Villa Park, Birmingham",34152,Home,Aston Villa,West Bromwich Albion,1,2,L,1,1,1,0,47.0,1.0,24.0,34.0,4.0,3.0,,119.0,2.0,7.0,2.0,5.0,,,1.0,61.0,158.0,50.0,8.0,18.0,,,1.0,,16.0,15.0,15.0,3.0,8.0,25.0,92.0,,0.0,91.0,11.0,2.0,1.0,1.0,43.0,43.0,2.0,47.0,2.0,13.0,5.0,3.0,139.0,6.0,59.0,486.0,3.0,10.0,25.0,28.0,,8.0,14.0,1.0,2.0,5.0,3.0,28.0,64.0,,8380,3.0,109.0,7.0,,1.0,122.0,,7.0,50.0,1.0,1.0,,3.0,8.0,7.0,1.0,2.0,59.0,199.0,9.0,4.0,2.0,35.0,85.0,,0.0,,8.0,,3.0,1.0,1.0,1.0,38.5,21.0,1.0,2.0,1.0,3.0,2.0,36.0,3.0,1.0,286.0,16.0,7.0,7.0,5.0,19.0,1.0,2.0,180.0,4.0,6.0,7.0,37.0,12.0,4.0,7.0,27.0,5.0,3.0,17.0,4.0,3.0,1.0,,2.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,1.0,2.0,,,,4.0,,,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,
10,360564,2011-10-29 15:00:00,"Stadium of Light, Sunderland",37062,Away,Aston Villa,Sunderland,2,2,D,1,1,0,0,55.0,4.0,35.0,30.0,5.0,6.0,1.0,155.0,6.0,10.0,4.0,12.0,,,3.0,75.0,167.0,58.0,14.0,12.0,1.0,4.0,,,24.0,16.0,16.0,6.0,9.0,29.0,161.0,,0.0,142.0,14.0,1.0,3.0,1.0,59.0,66.0,7.0,64.0,1.0,18.0,8.0,3.0,153.0,10.0,72.0,581.0,7.0,19.0,23.0,22.0,1.0,8.0,14.0,,3.0,7.0,5.0,21.0,76.0,2.0,8380,4.0,111.0,7.0,,2.0,130.0,,10.0,52.0,,2.0,,2.0,4.0,6.0,6.0,1.0,70.0,266.0,8.0,6.0,3.0,36.0,86.0,,0.0,3.0,5.0,1.0,3.0,0.0,3.0,3.0,50.0,17.0,2.0,3.0,,2.0,5.0,38.0,6.0,1.0,366.0,19.0,10.0,10.0,6.0,22.0,3.0,3.0,260.0,4.0,6.0,17.0,86.0,22.0,5.0,9.0,23.0,7.0,1.0,20.0,5.0,6.0,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,1.0,,,2.0,,1.0,1.0,,1.0,2.0,1.0,,,2.0,,,,1.0,,,,,,1.0,2.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,
