gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,attCmissRight,attBxRight,accurateKeeperSweeper,attMissHighRight,cleanSheet,goodHighClaim,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,sixYardBlock,attSetpiece,attAssistSetplay,attCmissLeft,overrun,totalHighClaim,accurateCornersIntobox,handBall,attLfTarget,attRfTarget,attIboxTarget,attSvLowCentre,ptsGainedLosingPos,attSvLowLeft,bigChanceCreated,attHdTarget,bigChanceMissed,attSvLowRight,effectiveBlockedCross,blockedCross,attSvHighRight,attSvHighCentre,errorLeadToGoal,attSvHighLeft,accurateThroughBall,attObxdLeft,defenderGoals,attCmissHighLeft,goalAssistDeadball,attOboxTarget,penaltyConceded,attGoalHighLeft,penaltyFaced,attHdGoal,goalsConcededObox,shotFastbreak,totalFastbreak,ownGoals,attFastbreak,clearanceOffLine,attIboxOwnGoal,errorLeadToShot,ptsDroppedWinningPos,penaltySave,accuratePullBack,foulThrowIn,attGoalLowCentre,hitWoodwork,attObxdRight,goalFastbreak,penGoalsConceded,punches,attFreekickTarget,attOneOnOne,secondYellow,postScoringAtt,attIboxPost,attPostRight,attObxLeft,attCmissHighRight,attPostLeft,attHdPost
1,2210280,2021-08-14 15:00:00,"Vicarage Road, Watford",20051,Away,Aston Villa,Watford,2,3,L,0,2,0,0,1.0,26.0,56.0,2.0,2.0,28.0,6.0,7.0,6.0,4.0,4.0,1.0,159.0,17.0,2.0,14.0,2.0,3.0,6.0,2.0,142.0,142.0,62.0,1.0,11.0,1.0,24.0,1.0,2.0,26.0,11.0,1.0,6.0,4.0,2.0,40.0,187.0,1.0,1.0,0.0,125.0,13.0,2.0,1.0,2.0,57.0,64.0,4.0,69.0,1.0,2.0,22.0,6.0,7.0,1.0,1.0,9.0,5.0,142.0,9.0,138.0,702.0,5.0,3.0,22.0,11.0,412.0,19.0,4.0,3.0,1.0,1.0,2.0,2.0,21.0,483.0,59.0,98980,3.0,250.0,11.0,262.0,10.0,1.0,1.0,6.0,7.0,65.0,1.0,2.0,2.0,10.0,1.0,24.0,4.0,5.0,2.0,1.0,50.0,435.0,18.0,13.0,10.0,1.0,78.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,62.1,17.0,1.0,4.0,1.0,10.0,3.0,50.0,4.0,508.0,11.0,1.0,13.0,20.0,6.0,34.0,1.0,272.0,4.0,2.0,17.0,83.0,23.0,1.0,3.0,13.0,3.0,8.0,3.0,16.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210282,2021-08-21 15:00:00,"Villa Park, Birmingham",41964,Home,Aston Villa,Newcastle United,2,0,W,1,0,0,0,1.0,23.0,41.0,,1.0,24.0,23.0,4.0,2.0,6.0,1.0,,116.0,12.0,5.0,2.0,2.0,5.0,8.0,2.0,72.0,116.0,48.0,,10.0,,18.0,,1.0,16.0,10.0,,23.0,3.0,2.0,32.0,126.0,,1.0,0.0,101.0,8.0,,,4.0,62.0,40.0,2.0,35.0,,1.0,13.0,9.0,4.0,,,2.0,4.0,116.0,6.0,80.0,466.0,5.0,5.0,19.0,4.0,218.0,13.0,3.0,10.0,1.0,3.0,1.0,6.0,15.0,277.0,47.0,98980,2.0,117.0,7.0,128.0,4.0,2.0,1.0,9.0,10.0,44.0,,1.0,3.0,,,18.0,3.0,5.0,2.0,1.0,48.0,238.0,16.0,4.0,11.0,1.0,56.0,0.0,4.0,1.0,2.0,,3.0,0.0,4.0,1.0,1.0,2.0,47.3,12.0,1.0,4.0,1.0,,1.0,27.0,3.0,303.0,4.0,,10.0,21.0,7.0,27.0,3.0,191.0,6.0,2.0,17.0,66.0,22.0,2.0,10.0,13.0,,4.0,3.0,6.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210291,2021-08-28 15:00:00,"Villa Park, Birmingham",42045,Home,Aston Villa,Brentford,1,1,D,1,1,0,0,,30.0,63.0,,,23.0,15.0,2.0,1.0,5.0,1.0,,145.0,12.0,5.0,10.0,1.0,3.0,6.0,5.0,75.0,148.0,57.0,,7.0,,20.0,1.0,1.0,21.0,6.0,,15.0,3.0,6.0,57.0,114.0,1.0,,0.0,106.0,15.0,,1.0,3.0,74.0,20.0,4.0,48.0,,1.0,18.0,21.0,2.0,,,5.0,1.0,148.0,7.0,96.0,541.0,4.0,8.0,19.0,4.0,253.0,25.0,4.0,9.0,1.0,3.0,5.0,2.0,17.0,341.0,55.0,98980,4.0,160.0,10.0,187.0,6.0,1.0,1.0,21.0,7.0,55.0,,3.0,1.0,5.0,1.0,17.0,2.0,6.0,,,65.0,269.0,13.0,5.0,16.0,,62.0,0.0,2.0,1.0,,1.0,1.0,0.0,5.0,1.0,,3.0,46.5,14.0,1.0,,1.0,5.0,,34.0,3.0,364.0,4.0,,12.0,20.0,2.0,34.0,1.0,198.0,3.0,6.0,21.0,56.0,27.0,,9.0,13.0,1.0,4.0,3.0,14.0,10.0,3.0,,1.0,,,,,,,,,,,2.0,,3.0,1.0,,,,,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210303,2021-09-11 17:30:00,"Stamford Bridge, London",39969,Away,Aston Villa,Chelsea,0,3,L,0,1,0,0,,28.0,57.0,1.0,4.0,30.0,18.0,7.0,3.0,11.0,1.0,,139.0,18.0,6.0,19.0,,2.0,10.0,6.0,68.0,136.0,56.0,,18.0,5.0,16.0,,1.0,30.0,9.0,,18.0,10.0,1.0,41.0,137.0,,,0.0,123.0,11.0,,,3.0,55.0,38.0,8.0,54.0,1.0,1.0,20.0,17.0,7.0,,,5.0,2.0,136.0,6.0,83.0,551.0,8.0,3.0,33.0,12.0,254.0,20.0,3.0,5.0,,4.0,2.0,2.0,16.0,322.0,63.0,84939,5.0,139.0,12.0,151.0,7.0,,1.0,17.0,6.0,52.0,,1.0,1.0,7.0,,17.0,6.0,5.0,,,63.0,270.0,11.0,11.0,13.0,3.0,57.0,0.0,4.0,,,3.0,,0.0,4.0,,,3.0,43.2,11.0,1.0,5.0,3.0,7.0,9.0,31.0,11.0,344.0,12.0,,3.0,19.0,3.0,46.0,1.0,223.0,12.0,1.0,14.0,77.0,23.0,,5.0,12.0,3.0,11.0,3.0,31.0,6.0,11.0,,,,1.0,2.0,,1.0,,1.0,,,,2.0,1.0,2.0,2.0,,,1.0,2.0,1.0,1.0,4.0,6.0,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210311,2021-09-18 17:30:00,"Villa Park, Birmingham",41888,Home,Aston Villa,Everton,3,0,W,0,0,0,0,,21.0,53.0,1.0,2.0,34.0,9.0,7.0,8.0,7.0,1.0,2.0,133.0,11.0,6.0,13.0,3.0,5.0,10.0,3.0,99.0,133.0,56.0,1.0,15.0,4.0,16.0,2.0,1.0,24.0,7.0,1.0,9.0,5.0,2.0,26.0,162.0,,,0.0,123.0,7.0,1.0,,3.0,82.0,50.0,8.0,35.0,1.0,3.0,20.0,19.0,8.0,1.0,1.0,6.0,4.0,133.0,8.0,117.0,573.0,4.0,4.0,26.0,9.0,287.0,10.0,5.0,5.0,2.0,1.0,5.0,2.0,15.0,361.0,66.0,98980,3.0,152.0,11.0,161.0,5.0,,1.0,19.0,12.0,51.0,1.0,1.0,,6.0,2.0,13.0,3.0,10.0,1.0,,56.0,308.0,10.0,6.0,16.0,2.0,66.0,0.0,4.0,,3.0,,1.0,0.0,4.0,1.0,1.0,2.0,55.6,12.0,,4.0,1.0,6.0,6.0,37.0,5.0,384.0,9.0,1.0,9.0,17.0,6.0,25.0,2.0,247.0,5.0,2.0,24.0,80.0,30.0,,5.0,10.0,,8.0,4.0,26.0,8.0,5.0,,,,1.0,2.0,,,1.0,,,1.0,,1.0,,4.0,4.0,1.0,1.0,,3.0,,,,1.0,,,,,1.0,,,2.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210328,2021-09-25 12:30:00,"Old Trafford, Manchester",72922,Away,Aston Villa,Manchester United,1,0,W,0,0,0,0,,22.0,46.0,,,24.0,14.0,3.0,1.0,4.0,4.0,,115.0,8.0,3.0,6.0,1.0,2.0,5.0,3.0,58.0,138.0,35.0,1.0,7.0,1.0,19.0,,,20.0,3.0,,14.0,5.0,2.0,38.0,103.0,,,0.0,96.0,13.0,3.0,,1.0,65.0,34.0,2.0,37.0,3.0,,15.0,16.0,3.0,1.0,,7.0,1.0,138.0,17.0,61.0,466.0,3.0,8.0,16.0,15.0,176.0,15.0,4.0,4.0,1.0,2.0,12.0,3.0,25.0,244.0,55.0,98980,1.0,87.0,7.0,102.0,8.0,,,16.0,13.0,58.0,,3.0,3.0,2.0,,16.0,11.0,7.0,2.0,,60.0,187.0,9.0,16.0,12.0,3.0,55.0,0.0,5.0,4.0,1.0,,4.0,0.0,1.0,1.0,,2.0,40.4,22.0,1.0,5.0,,2.0,1.0,18.0,5.0,271.0,15.0,,4.0,14.0,3.0,28.0,2.0,189.0,4.0,1.0,11.0,54.0,17.0,,4.0,9.0,,3.0,2.0,14.0,13.0,5.0,,,1.0,,,2.0,1.0,1.0,,,,2.0,,,,1.0,,3.0,,2.0,2.0,,2.0,1.0,1.0,,1.0,2.0,,3.0,,2.0,2.0,,,,,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210338,2021-10-03 14:00:00,"Tottenham Hotspur Stadium, London",53076,Away,Aston Villa,Tottenham Hotspur,1,2,L,0,1,0,0,1.0,24.0,68.0,2.0,4.0,22.0,6.0,5.0,6.0,9.0,6.0,,120.0,9.0,4.0,4.0,1.0,2.0,7.0,3.0,73.0,158.0,58.0,,14.0,2.0,21.0,1.0,3.0,27.0,12.0,,6.0,7.0,2.0,50.0,102.0,,,0.0,103.0,14.0,2.0,,1.0,43.0,31.0,6.0,47.0,1.0,2.0,20.0,14.0,5.0,,,8.0,2.0,158.0,10.0,78.0,519.0,6.0,4.0,37.0,12.0,210.0,24.0,,1.0,1.0,1.0,4.0,1.0,18.0,295.0,52.0,98980,3.0,128.0,11.0,151.0,11.0,1.0,,14.0,7.0,65.0,,1.0,1.0,5.0,1.0,21.0,8.0,7.0,,,61.0,226.0,11.0,16.0,11.0,4.0,63.0,0.0,5.0,5.0,1.0,2.0,2.0,0.0,3.0,1.0,,1.0,43.7,12.0,1.0,6.0,,6.0,6.0,24.0,8.0,318.0,12.0,,4.0,17.0,5.0,43.0,3.0,194.0,7.0,1.0,22.0,59.0,30.0,1.0,1.0,21.0,1.0,8.0,3.0,14.0,8.0,8.0,1.0,,,2.0,3.0,,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,2.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,2210342,2021-10-16 15:00:00,"Villa Park, Birmingham",41951,Home,Aston Villa,Wolverhampton Wanderers,2,3,L,0,0,0,0,1.0,27.0,59.0,,2.0,22.0,22.0,4.0,4.0,10.0,1.0,1.0,141.0,13.0,3.0,11.0,2.0,3.0,12.0,5.0,111.0,121.0,53.0,,14.0,,12.0,1.0,1.0,23.0,7.0,,22.0,6.0,4.0,45.0,121.0,1.0,,0.0,106.0,8.0,1.0,1.0,3.0,45.0,39.0,5.0,51.0,,2.0,17.0,17.0,4.0,,,8.0,3.0,121.0,6.0,88.0,566.0,10.0,6.0,23.0,9.0,295.0,23.0,1.0,13.0,1.0,2.0,2.0,7.0,15.0,364.0,55.0,98980,5.0,196.0,6.0,212.0,4.0,,,17.0,7.0,35.0,,1.0,1.0,2.0,2.0,8.0,3.0,5.0,2.0,,50.0,314.0,17.0,8.0,10.0,1.0,66.0,0.0,7.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,3.0,48.3,8.0,1.0,2.0,,2.0,2.0,35.0,6.0,391.0,9.0,,2.0,20.0,7.0,34.0,4.0,202.0,7.0,3.0,14.0,67.0,31.0,1.0,13.0,12.0,2.0,13.0,3.0,16.0,7.0,6.0,2.0,,,2.0,5.0,,,,1.0,,2.0,,,,,1.0,,1.0,1.0,1.0,,,2.0,3.0,1.0,,1.0,2.0,1.0,1.0,,3.0,3.0,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,
9,2210351,2021-10-22 20:00:00,"Emirates Stadium, London",59496,Away,Aston Villa,Arsenal,1,3,L,0,2,0,0,,36.0,57.0,3.0,1.0,21.0,16.0,5.0,6.0,5.0,6.0,,152.0,18.0,2.0,9.0,1.0,4.0,8.0,4.0,98.0,127.0,54.0,1.0,10.0,2.0,11.0,1.0,,12.0,8.0,1.0,16.0,3.0,6.0,43.0,120.0,1.0,,0.0,101.0,10.0,4.0,,1.0,40.0,42.0,6.0,55.0,2.0,2.0,9.0,15.0,5.0,1.0,,4.0,1.0,127.0,14.0,87.0,576.0,6.0,4.0,16.0,11.0,287.0,27.0,1.0,6.0,1.0,5.0,5.0,2.0,19.0,362.0,57.0,98980,3.0,192.0,4.0,216.0,6.0,1.0,1.0,15.0,8.0,38.0,1.0,4.0,,6.0,1.0,16.0,8.0,8.0,1.0,,50.0,310.0,16.0,4.0,10.0,,62.0,0.0,7.0,3.0,,3.0,2.0,0.0,1.0,,,,46.2,14.0,,2.0,1.0,6.0,3.0,35.0,4.0,392.0,11.0,1.0,7.0,20.0,3.0,27.0,2.0,188.0,4.0,6.0,16.0,61.0,20.0,,6.0,14.0,3.0,8.0,3.0,15.0,7.0,4.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,3.0,,2.0,2.0,,,2.0,,2.0,1.0,2.0,2.0,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10,2210361,2021-10-31 16:30:00,"Villa Park, Birmingham",41874,Home,Aston Villa,West Ham United,1,4,L,1,2,1,0,1.0,20.0,60.0,1.0,1.0,21.0,11.0,3.0,1.0,6.0,4.0,,140.0,10.0,4.0,8.0,1.0,1.0,6.0,3.0,72.0,149.0,62.0,,9.0,,16.0,1.0,1.0,15.0,8.0,,11.0,2.0,3.0,31.0,123.0,,,0.0,114.0,7.0,2.0,,2.0,84.0,23.0,3.0,46.0,1.0,3.0,13.0,10.0,3.0,,,5.0,3.0,149.0,13.0,75.0,517.0,3.0,5.0,17.0,5.0,228.0,27.0,7.0,6.0,1.0,1.0,8.0,3.0,21.0,310.0,60.0,98980,3.0,125.0,6.0,141.0,5.0,1.0,1.0,10.0,7.0,50.0,,,2.0,4.0,1.0,18.0,8.0,4.0,1.0,,61.0,244.0,13.0,7.0,30.0,1.0,66.0,0.0,6.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,,4.0,42.4,13.0,2.0,2.0,,4.0,1.0,26.0,3.0,333.0,5.0,,8.0,13.0,5.0,23.0,2.0,207.0,4.0,2.0,25.0,69.0,25.0,1.0,6.0,16.0,3.0,6.0,3.0,20.0,4.0,3.0,,,,1.0,1.0,,,,,2.0,,,1.0,1.0,2.0,2.0,,1.0,,1.0,,1.0,,2.0,,,,1.0,1.0,,1.0,3.0,3.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
