matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
803288,13,2015-11-21 15:00:00,"Stamford Bridge, London",41582,Home,Chelsea,Norwich,1,0,W,0,0,0,0,1.0,21.0,7.0,9.0,5.0,3.0,1.0,2.0,1.0,1.0,18.0,10.0,56.0,89.0,606.0,517.0,64.4,19.0,13.0,13.0,20.0,14.0,18.0,1.0,1.0,,10.0,14.0,164.0,2.0,,1.0,,78.0,53.0,25.0,13.0,6.0,6.0,2.0,4.0,12.0,0.0,0.0,,,6.0
803293,14,2015-11-29 12:00:00,"White Hart Lane, London",35639,Away,Chelsea,Spurs,0,0,D,0,0,0,0,,5.0,1.0,3.0,1.0,,,,,,5.0,2.0,24.0,77.0,360.0,252.0,42.3,23.0,14.0,26.0,21.0,11.0,12.0,3.0,,,8.0,10.0,175.0,4.0,,1.0,,49.0,44.0,10.0,12.0,4.0,4.0,,9.0,14.0,0.0,0.0,,,4.0
803303,15,2015-12-05 17:30:00,"Stamford Bridge, London",41631,Home,Chelsea,Bournemouth,0,1,L,0,0,0,0,,19.0,6.0,9.0,4.0,,,1.0,,,17.0,9.0,50.0,64.0,524.0,445.0,62.9,21.0,19.0,17.0,20.0,17.0,22.0,6.0,2.0,,16.0,10.0,152.0,4.0,1.0,,,64.0,55.0,11.0,11.0,11.0,11.0,,10.0,13.0,0.0,0.0,,,2.0
803313,16,2015-12-14 20:00:00,"King Power Stadium, Leicester",32054,Away,Chelsea,Leicester,1,2,L,0,1,0,0,1.0,11.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,7.0,5.0,42.0,76.0,522.0,420.0,65.6,14.0,9.0,18.0,32.0,26.0,21.0,1.0,,,15.0,18.0,187.0,3.0,2.0,,,62.0,69.0,23.0,20.0,8.0,8.0,1.0,8.0,14.0,0.0,0.0,,,2.0
803329,17,2015-12-19 15:00:00,"Stamford Bridge, London",41562,Home,Chelsea,Sunderland,3,1,W,2,0,0,0,3.0,17.0,7.0,6.0,4.0,4.0,1.0,4.0,,1.0,11.0,6.0,39.0,59.0,577.0,489.0,67.2,17.0,12.0,15.0,20.0,17.0,9.0,2.0,1.0,,11.0,16.0,139.0,2.0,1.0,,,56.0,68.0,12.0,18.0,2.0,2.0,,12.0,12.0,0.0,0.0,1.0,1.0,
803339,18,2015-12-26 15:00:00,"Stamford Bridge, London",41630,Home,Chelsea,Watford,2,2,D,1,1,0,0,2.0,17.0,2.0,8.0,7.0,1.0,1.0,1.0,,2.0,11.0,7.0,44.0,62.0,544.0,454.0,62.4,21.0,15.0,5.0,12.0,8.0,12.0,5.0,,,7.0,18.0,156.0,1.0,2.0,,1.0,57.0,54.0,17.0,13.0,9.0,9.0,,7.0,13.0,0.0,0.0,1.0,,2.0
803344,19,2015-12-28 17:30:00,"Old Trafford, Manchester",75275,Away,Chelsea,Man Utd,0,0,D,0,0,0,0,,8.0,3.0,5.0,,2.0,,2.0,,,7.0,2.0,17.0,42.0,312.0,222.0,33.2,26.0,23.0,14.0,29.0,27.0,13.0,5.0,,,5.0,16.0,137.0,2.0,,1.0,,61.0,38.0,10.0,6.0,3.0,3.0,1.0,6.0,16.0,0.0,0.0,,,
803354,20,2016-01-03 13:30:00,"Selhurst Park, London",24854,Away,Chelsea,Crystal Palace,3,0,W,1,0,0,0,3.0,10.0,4.0,2.0,4.0,2.0,2.0,1.0,,2.0,9.0,7.0,19.0,65.0,593.0,488.0,60.2,23.0,20.0,14.0,21.0,14.0,15.0,2.0,,,8.0,10.0,162.0,4.0,,1.0,,58.0,51.0,13.0,13.0,7.0,7.0,1.0,15.0,12.0,0.0,0.0,,,
803371,21,2016-01-13 19:45:00,"Stamford Bridge, London",40945,Home,Chelsea,West Brom,2,2,D,1,1,0,0,2.0,14.0,2.0,8.0,4.0,1.0,1.0,,,1.0,10.0,5.0,25.0,56.0,528.0,430.0,61.1,13.0,7.0,16.0,34.0,24.0,17.0,2.0,,1.0,7.0,12.0,160.0,4.0,2.0,,,55.0,56.0,24.0,16.0,7.0,7.0,,13.0,8.0,0.0,0.0,,,1.0
803374,22,2016-01-16 15:00:00,"Stamford Bridge, London",41633,Home,Chelsea,Everton,3,3,D,0,0,0,0,3.0,14.0,7.0,3.0,4.0,3.0,2.0,1.0,,3.0,10.0,8.0,40.0,77.0,569.0,494.0,54.9,26.0,21.0,21.0,15.0,14.0,15.0,2.0,1.0,,14.0,10.0,144.0,2.0,3.0,,1.0,58.0,59.0,15.0,15.0,6.0,6.0,,12.0,4.0,0.0,0.0,,,3.0
803384,23,2016-01-24 16:00:00,"Emirates Stadium, London",60072,Away,Chelsea,Arsenal,1,0,W,1,0,0,1,1.0,12.0,6.0,3.0,3.0,1.0,1.0,1.0,,1.0,7.0,6.0,24.0,71.0,549.0,472.0,53.4,23.0,19.0,13.0,25.0,19.0,14.0,1.0,,,19.0,10.0,134.0,1.0,,1.0,,56.0,56.0,10.0,9.0,7.0,7.0,1.0,13.0,13.0,0.0,0.0,,,7.0
803394,24,2016-02-03 19:45:00,"Vicarage Road, Watford",20910,Away,Chelsea,Watford,0,0,D,0,0,0,0,,12.0,4.0,3.0,5.0,3.0,,3.0,,,9.0,6.0,36.0,56.0,555.0,460.0,55.0,22.0,18.0,21.0,23.0,20.0,17.0,6.0,,,12.0,15.0,157.0,3.0,,1.0,,54.0,62.0,11.0,19.0,7.0,7.0,,13.0,9.0,0.0,0.0,,,2.0
803406,25,2016-02-07 16:00:00,"Stamford Bridge, London",41434,Home,Chelsea,Man Utd,1,1,D,0,0,0,0,1.0,16.0,5.0,6.0,5.0,2.0,1.0,2.0,,,12.0,7.0,41.0,64.0,413.0,326.0,49.3,23.0,16.0,8.0,26.0,16.0,17.0,3.0,,,11.0,9.0,158.0,6.0,1.0,,,60.0,53.0,18.0,16.0,10.0,10.0,1.0,6.0,8.0,0.0,0.0,,,1.0
803415,26,2016-02-13 17:30:00,"Stamford Bridge, London",41622,Home,Chelsea,Newcastle,5,1,W,3,0,0,0,5.0,14.0,7.0,4.0,3.0,5.0,3.0,2.0,,4.0,11.0,7.0,38.0,73.0,555.0,465.0,54.9,21.0,12.0,12.0,19.0,12.0,24.0,5.0,,,7.0,8.0,145.0,2.0,1.0,,,57.0,37.0,12.0,6.0,8.0,8.0,1.0,11.0,16.0,0.0,0.0,,,2.0
803425,27,2016-02-27 15:00:00,"St. Mary's Stadium, Southampton",31688,Away,Chelsea,Southampton,2,1,W,0,1,0,0,2.0,16.0,4.0,9.0,3.0,,,,,2.0,14.0,7.0,45.0,60.0,660.0,576.0,65.4,13.0,13.0,7.0,33.0,26.0,17.0,2.0,1.0,1.0,4.0,5.0,135.0,1.0,1.0,,,55.0,41.0,18.0,12.0,8.0,8.0,,11.0,10.0,0.0,0.0,,,2.0
803432,28,2016-03-01 19:45:00,"Carrow Road, Norwich",27091,Away,Chelsea,Norwich,2,1,W,2,0,0,0,2.0,10.0,2.0,4.0,4.0,1.0,1.0,1.0,,2.0,10.0,6.0,36.0,58.0,520.0,427.0,53.0,22.0,14.0,19.0,27.0,20.0,20.0,3.0,,,15.0,8.0,146.0,2.0,1.0,,,61.0,46.0,10.0,12.0,4.0,4.0,,5.0,17.0,0.0,0.0,,,2.0
803449,29,2016-03-05 15:00:00,"Stamford Bridge, London",41381,Home,Chelsea,Stoke,1,1,D,1,0,0,0,1.0,20.0,7.0,8.0,5.0,,,,,1.0,17.0,10.0,32.0,58.0,441.0,357.0,48.7,18.0,13.0,17.0,17.0,13.0,10.0,4.0,,2.0,18.0,9.0,149.0,4.0,1.0,,,50.0,62.0,13.0,14.0,8.0,8.0,1.0,9.0,8.0,0.0,0.0,,,3.0
803452,30,2016-05-11 20:00:00,"Anfield, Liverpool",43210,Away,Chelsea,Liverpool,1,1,D,1,0,0,0,1.0,13.0,7.0,3.0,3.0,,,,,1.0,12.0,10.0,15.0,64.0,446.0,363.0,44.7,23.0,18.0,10.0,21.0,17.0,22.0,10.0,,1.0,13.0,12.0,143.0,7.0,1.0,,,65.0,53.0,12.0,5.0,3.0,3.0,2.0,12.0,11.0,0.0,0.0,,,2.0
803471,31,2016-03-19 15:00:00,"Stamford Bridge, London",41623,Home,Chelsea,West Ham,2,2,D,1,1,0,0,2.0,22.0,5.0,11.0,6.0,,1.0,,,,14.0,6.0,53.0,69.0,534.0,429.0,59.4,18.0,13.0,15.0,18.0,13.0,21.0,5.0,,,5.0,7.0,173.0,3.0,2.0,,,63.0,59.0,18.0,23.0,10.0,10.0,3.0,13.0,13.0,0.0,0.0,1.0,1.0,1.0
803472,32,2016-04-02 12:45:00,"Villa Park, Birmingham",31120,Away,Chelsea,Aston Villa,4,0,W,2,0,0,1,4.0,11.0,8.0,3.0,,1.0,3.0,,,2.0,6.0,5.0,22.0,65.0,604.0,524.0,58.3,21.0,14.0,12.0,20.0,16.0,21.0,4.0,1.0,,12.0,16.0,134.0,4.0,,1.0,,53.0,62.0,10.0,20.0,2.0,2.0,,8.0,12.0,0.0,0.0,1.0,1.0,3.0
803484,33,2016-04-09 15:00:00,"Swansea.com Stadium, Swansea",20966,Away,Chelsea,Swansea,0,1,L,0,1,0,0,,8.0,2.0,3.0,3.0,1.0,,2.0,,,5.0,3.0,49.0,82.0,616.0,515.0,60.7,17.0,13.0,9.0,15.0,13.0,18.0,3.0,3.0,1.0,9.0,10.0,175.0,5.0,1.0,,,54.0,58.0,11.0,12.0,9.0,9.0,,13.0,14.0,0.0,0.0,,,3.0
803495,34,2016-04-16 17:30:00,"Stamford Bridge, London",41212,Home,Chelsea,Man City,0,3,L,0,1,1,0,,11.0,4.0,3.0,4.0,,,,,,9.0,7.0,33.0,65.0,529.0,434.0,51.8,20.0,16.0,7.0,8.0,8.0,29.0,3.0,,,22.0,7.0,160.0,4.0,3.0,,,54.0,58.0,6.0,12.0,11.0,11.0,,12.0,15.0,0.0,0.0,,,5.0
803503,35,2016-04-23 15:00:00,"Vitality Stadium, Bournemouth",11365,Away,Chelsea,Bournemouth,4,1,W,2,1,0,0,4.0,16.0,4.0,4.0,8.0,3.0,3.0,,,4.0,12.0,9.0,29.0,65.0,560.0,473.0,54.7,24.0,18.0,11.0,22.0,13.0,22.0,3.0,,,12.0,9.0,144.0,3.0,1.0,,,58.0,46.0,5.0,10.0,7.0,7.0,,4.0,10.0,0.0,0.0,,,3.0
803520,36,2016-05-02 20:00:00,"Stamford Bridge, London",41545,Home,Chelsea,Spurs,2,2,D,0,2,0,0,2.0,13.0,5.0,5.0,3.0,1.0,1.0,,,2.0,11.0,6.0,30.0,62.0,366.0,283.0,47.3,24.0,16.0,13.0,22.0,15.0,20.0,6.0,,1.0,6.0,12.0,152.0,3.0,2.0,,,71.0,54.0,16.0,17.0,7.0,7.0,2.0,9.0,20.0,0.0,0.0,,,3.0
803523,37,2016-05-07 15:00:00,"Stadium of Light, Sunderland",47050,Away,Chelsea,Sunderland,2,3,L,2,1,1,0,2.0,9.0,8.0,,1.0,3.0,2.0,2.0,,1.0,6.0,6.0,26.0,55.0,652.0,560.0,68.6,15.0,12.0,5.0,23.0,21.0,17.0,7.0,1.0,,7.0,8.0,132.0,1.0,3.0,,,49.0,38.0,9.0,7.0,3.0,3.0,,9.0,11.0,0.0,0.0,,,1.0
803535,38,2016-05-15 15:00:00,"Stamford Bridge, London",41494,Home,Chelsea,Leicester,1,1,D,0,0,0,0,1.0,17.0,4.0,4.0,9.0,,1.0,,,,14.0,11.0,34.0,59.0,525.0,438.0,54.0,26.0,20.0,14.0,26.0,18.0,28.0,7.0,1.0,,16.0,13.0,153.0,4.0,1.0,,,65.0,55.0,9.0,10.0,7.0,7.0,,5.0,11.0,0.0,0.0,1.0,1.0,8.0
