gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,attCmissRight,shotFastbreak,postScoringAtt,accurateKeeperSweeper,attGoalHighRight,attOboxGoal,divingSave,totalFastbreak,midfielderGoals,goodHighClaim,interceptionsInBox,attPostLeft,hitWoodwork,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attCmissHigh,ownGoals,totalThroughBall,attMissHigh,attFastbreak,attFreekickGoal,attOboxPost,attHdMiss,attBxLeft,totalHighClaim,attIboxOwnGoal,attIboxTarget,cleanSheet,attObxdLeft,attRfGoal,attGoalHighLeft,attSvLowRight,forwardGoals,accurateThroughBall,penaltyConceded,totalPullBack,attCmissLeft,punches,attCmissHighRight,penaltyFaced,penGoalsConceded,attSvHighCentre,goalsConcededObox,attCmissHighLeft,clearanceOffLine,goalAssistSetplay,goalAssistDeadball,attSvLowLeft,attHdTarget,attPostHigh,attFreekickMiss,ptsGainedLosingPos,accuratePullBack,sixYardBlock,attGoalHighCentre,foulThrowIn,attIboxPost,penaltyWon,attHdPost,attPenGoal,attPostRight,errorLeadToGoal,ptsDroppedWinningPos,attObxLeft,goalFastbreak,attLgCentre
1,918895,2017-08-12 15:00:00,"Stamford Bridge, London",41616,Home,Chelsea,Burnley,2,3,L,0,3,2,0,1.0,3.0,2.0,50.0,1.0,3.0,31.0,22.0,12.0,7.0,7.0,2.0,1.0,1.0,162.0,1.0,4.0,5.0,2.0,3.0,14.0,6.0,140.0,127.0,41.0,1.0,19.0,4.0,22.0,2.0,2.0,2.0,2.0,26.0,8.0,4.0,22.0,7.0,22.0,40.0,1.0,227.0,2.0,1.0,0.0,178.0,16.0,1.0,2.0,43.0,63.0,10.0,74.0,1.0,19.0,14.0,12.0,1.0,3.0,4.0,1.0,127.0,2.0,2.0,8.0,145.0,692.0,10.0,7.0,25.0,9.0,432.0,23.0,1.0,2.0,14.0,2.0,3.0,1.0,4.0,13.0,503.0,61.0,1.0,94245,3.0,223.0,14.0,1.0,235.0,7.0,14.0,4.0,46.0,1.0,2.0,6.0,2.0,17.0,2.0,2.0,61.0,446.0,11.0,2.0,2.0,16.0,62.0,0.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,61.9,12.0,2.0,6.0,7.0,31.0,8.0,521.0,9.0,5.0,22.0,6.0,37.0,1.0,2.0,312.0,11.0,21.0,17.0,133.0,19.0,1.0,14.0,10.0,1.0,3.0,12.0,3.0,8.0,1.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918911,2017-08-20 16:00:00,"Wembley Stadium, London",73587,Away,Chelsea,Tottenham Hotspur,2,1,W,1,0,0,0,1.0,,,61.0,,3.0,23.0,40.0,3.0,3.0,6.0,6.0,2.0,,136.0,,6.0,9.0,2.0,2.0,8.0,2.0,55.0,129.0,68.0,1.0,9.0,,12.0,1.0,1.0,,,15.0,22.0,,40.0,3.0,5.0,29.0,,90.0,,,0.0,76.0,21.0,,2.0,32.0,30.0,4.0,41.0,1.0,12.0,22.0,3.0,1.0,3.0,1.0,,129.0,1.0,,11.0,48.0,498.0,7.0,7.0,13.0,10.0,183.0,24.0,1.0,7.0,19.0,1.0,3.0,6.0,4.0,8.0,254.0,38.0,1.0,94245,4.0,111.0,7.0,,137.0,8.0,22.0,9.0,59.0,,,6.0,1.0,17.0,8.0,3.0,60.0,195.0,14.0,16.0,,25.0,56.0,0.0,,1.0,14.0,2.0,1.0,1.0,2.0,0.0,5.0,1.0,,1.0,32.3,6.0,1.0,7.0,3.0,22.0,3.0,280.0,10.0,8.0,15.0,4.0,24.0,1.0,2.0,158.0,4.0,4.0,16.0,43.0,22.0,4.0,19.0,31.0,,1.0,7.0,2.0,15.0,4.0,14.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918914,2017-08-27 13:30:00,"Stamford Bridge, London",41382,Home,Chelsea,Everton,2,0,W,2,0,0,0,1.0,1.0,1.0,62.0,1.0,1.0,32.0,23.0,9.0,4.0,8.0,,,4.0,198.0,,2.0,11.0,2.0,1.0,13.0,7.0,142.0,138.0,47.0,,18.0,6.0,10.0,3.0,2.0,4.0,1.0,18.0,9.0,3.0,23.0,3.0,24.0,35.0,,253.0,,,0.0,168.0,12.0,,,62.0,53.0,10.0,102.0,2.0,15.0,13.0,10.0,,5.0,1.0,,138.0,1.0,,3.0,141.0,761.0,10.0,4.0,24.0,7.0,488.0,25.0,,5.0,16.0,2.0,2.0,2.0,3.0,26.0,566.0,68.0,,94245,3.0,249.0,10.0,,270.0,8.0,13.0,6.0,45.0,,,5.0,2.0,10.0,4.0,4.0,63.0,500.0,7.0,7.0,1.0,17.0,72.0,0.0,,5.0,3.0,,2.0,,2.0,0.0,1.0,2.0,,1.0,56.7,19.0,6.0,5.0,7.0,43.0,6.0,583.0,7.0,13.0,16.0,4.0,36.0,1.0,3.0,331.0,13.0,23.0,16.0,120.0,26.0,2.0,16.0,14.0,1.0,,14.0,3.0,15.0,2.0,7.0,6.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918927,2017-09-09 15:00:00,"King Power Stadium, Leicester",31923,Away,Chelsea,Leicester City,2,1,W,1,0,0,0,,1.0,1.0,65.0,2.0,3.0,31.0,20.0,7.0,4.0,9.0,1.0,,3.0,154.0,,4.0,11.0,2.0,2.0,16.0,6.0,140.0,138.0,48.0,1.0,16.0,2.0,12.0,3.0,2.0,3.0,1.0,21.0,16.0,3.0,20.0,5.0,17.0,43.0,,229.0,1.0,,0.0,160.0,8.0,,,70.0,64.0,10.0,76.0,1.0,16.0,18.0,7.0,1.0,5.0,1.0,,138.0,2.0,1.0,4.0,151.0,719.0,13.0,2.0,25.0,12.0,414.0,23.0,1.0,5.0,9.0,2.0,0.0,2.0,5.0,17.0,496.0,59.0,,94245,4.0,209.0,11.0,,229.0,5.0,18.0,8.0,45.0,,3.0,8.0,2.0,10.0,4.0,7.0,59.0,434.0,10.0,7.0,,21.0,70.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,,1.0,59.6,16.0,2.0,8.0,5.0,42.0,9.0,521.0,12.0,12.0,25.0,5.0,31.0,,4.0,313.0,10.0,17.0,7.0,121.0,30.0,3.0,9.0,20.0,1.0,1.0,14.0,3.0,17.0,3.0,3.0,9.0,,,1.0,,,1.0,,1.0,1.0,,1.0,3.0,2.0,,,1.0,,1.0,,,2.0,1.0,,,,,2.0,3.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,918934,2017-09-17 13:30:00,"Stamford Bridge, London",41478,Home,Chelsea,Arsenal,0,0,D,0,0,1,0,,,,71.0,,2.0,30.0,21.0,6.0,1.0,7.0,2.0,,4.0,210.0,,2.0,14.0,,6.0,10.0,4.0,129.0,170.0,59.0,,13.0,4.0,20.0,1.0,,2.0,1.0,16.0,10.0,1.0,21.0,2.0,13.0,41.0,,183.0,1.0,,0.0,151.0,11.0,,1.0,48.0,72.0,7.0,71.0,,14.0,22.0,6.0,,2.0,1.0,,170.0,1.0,,6.0,122.0,729.0,8.0,8.0,17.0,13.0,395.0,34.0,1.0,4.0,15.0,,2.0,4.0,3.0,26.0,502.0,75.0,,94245,4.0,235.0,11.0,3.0,263.0,6.0,22.0,9.0,56.0,,4.0,1.0,,13.0,5.0,5.0,76.0,416.0,15.0,6.0,2.0,28.0,88.0,0.0,,2.0,1.0,1.0,,,3.0,1.0,2.0,,1.0,1.0,50.6,24.0,6.0,1.0,6.0,47.0,5.0,532.0,13.0,10.0,17.0,3.0,22.0,,2.0,285.0,11.0,10.0,17.0,95.0,29.0,1.0,15.0,13.0,,,9.0,3.0,23.0,1.0,11.0,5.0,,1.0,,,,,,,2.0,,,,3.0,,,,1.0,1.0,,,3.0,,,,,1.0,2.0,,,3.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6,918950,2017-09-23 15:00:00,"bet365 Stadium, Stoke",29661,Away,Chelsea,Stoke City,4,0,W,2,0,0,0,1.0,,2.0,71.0,1.0,,24.0,29.0,1.0,,6.0,2.0,,,175.0,1.0,,14.0,4.0,1.0,6.0,4.0,160.0,130.0,56.0,,7.0,,7.0,1.0,3.0,,2.0,5.0,24.0,,29.0,,11.0,25.0,1.0,211.0,,,0.0,115.0,14.0,,,46.0,58.0,3.0,71.0,1.0,5.0,15.0,1.0,,,,,130.0,2.0,1.0,7.0,141.0,739.0,3.0,7.0,15.0,11.0,452.0,38.0,,4.0,16.0,3.0,2.0,4.0,3.0,17.0,532.0,46.0,,94245,1.0,255.0,5.0,,278.0,9.0,15.0,8.0,41.0,,1.0,7.0,4.0,21.0,6.0,7.0,55.0,466.0,5.0,3.0,,21.0,85.0,0.0,,,5.0,1.0,3.0,,3.0,0.0,,2.0,,,55.9,14.0,2.0,8.0,,53.0,,547.0,11.0,11.0,10.0,3.0,19.0,,3.0,274.0,7.0,9.0,11.0,88.0,22.0,6.0,16.0,26.0,,,7.0,3.0,21.0,6.0,9.0,,2.0,1.0,1.0,,,,,1.0,,,,,2.0,,,,,1.0,,,5.0,,,,,,1.0,,,,1.0,,4.0,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918955,2017-09-30 17:30:00,"Stamford Bridge, London",41530,Home,Chelsea,Manchester City,0,1,L,0,0,0,0,,2.0,,69.0,,,26.0,20.0,,2.0,4.0,4.0,,,143.0,,3.0,10.0,,4.0,4.0,2.0,98.0,138.0,49.0,,4.0,,18.0,1.0,,1.0,1.0,14.0,13.0,,20.0,1.0,16.0,41.0,,128.0,,,0.0,105.0,8.0,,2.0,58.0,51.0,2.0,56.0,,13.0,19.0,,,4.0,,,138.0,2.0,,12.0,98.0,589.0,2.0,5.0,14.0,9.0,291.0,38.0,1.0,1.0,5.0,,0.0,6.0,2.0,25.0,369.0,51.0,1.0,94245,1.0,186.0,7.0,2.0,212.0,5.0,19.0,9.0,52.0,,8.0,8.0,,14.0,5.0,7.0,58.0,311.0,13.0,8.0,2.0,14.0,66.0,0.0,,,8.0,4.0,,1.0,3.0,0.0,3.0,,,2.0,38.1,23.0,1.0,8.0,,34.0,4.0,395.0,9.0,13.0,21.0,2.0,17.0,,2.0,197.0,,11.0,7.0,68.0,20.0,3.0,5.0,19.0,,,2.0,3.0,16.0,3.0,5.0,4.0,,1.0,,,,,,,2.0,,,,3.0,,,,,2.0,,,,,,,,2.0,1.0,,,2.0,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,918965,2017-10-14 15:00:00,"Selhurst Park, London",25480,Away,Chelsea,Crystal Palace,1,2,L,1,2,0,0,,1.0,,74.0,,1.0,43.0,37.0,9.0,1.0,6.0,4.0,,2.0,185.0,,4.0,13.0,1.0,1.0,11.0,5.0,141.0,169.0,67.0,1.0,15.0,3.0,5.0,,,3.0,1.0,21.0,13.0,3.0,37.0,7.0,12.0,49.0,,239.0,1.0,,0.0,160.0,6.0,,1.0,74.0,65.0,8.0,74.0,,14.0,24.0,9.0,1.0,5.0,2.0,,169.0,,,9.0,159.0,795.0,6.0,9.0,14.0,11.0,437.0,31.0,,3.0,22.0,1.0,1.0,3.0,3.0,19.0,536.0,65.0,,94245,4.0,224.0,8.0,,253.0,3.0,24.0,12.0,45.0,,6.0,5.0,,19.0,6.0,12.0,55.0,459.0,7.0,11.0,4.0,8.0,70.0,0.0,,3.0,5.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,,3.0,57.0,18.0,7.0,5.0,4.0,46.0,8.0,559.0,11.0,16.0,35.0,6.0,29.0,3.0,3.0,327.0,11.0,9.0,24.0,115.0,30.0,1.0,22.0,23.0,1.0,2.0,10.0,3.0,20.0,1.0,8.0,8.0,1.0,3.0,,,1.0,1.0,,,1.0,,1.0,1.0,3.0,,1.0,1.0,2.0,,1.0,1.0,3.0,3.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
9,918973,2017-10-21 12:30:00,"Stamford Bridge, London",41467,Home,Chelsea,Watford,4,2,W,1,1,0,0,,,2.0,69.0,2.0,,21.0,28.0,8.0,,6.0,3.0,,4.0,164.0,1.0,4.0,13.0,4.0,3.0,12.0,8.0,122.0,136.0,72.0,,14.0,1.0,16.0,,1.0,1.0,1.0,19.0,16.0,2.0,28.0,2.0,8.0,27.0,1.0,175.0,1.0,,0.0,129.0,13.0,1.0,,38.0,67.0,7.0,67.0,2.0,17.0,14.0,8.0,,4.0,4.0,,136.0,1.0,,9.0,109.0,675.0,7.0,4.0,18.0,13.0,350.0,27.0,1.0,4.0,17.0,3.0,2.0,5.0,5.0,11.0,431.0,55.0,,94245,5.0,206.0,13.0,2.0,224.0,7.0,14.0,6.0,51.0,,6.0,3.0,2.0,10.0,7.0,5.0,50.0,377.0,15.0,5.0,2.0,12.0,62.0,0.0,,2.0,6.0,1.0,3.0,2.0,1.0,0.0,3.0,3.0,,2.0,52.5,10.0,4.0,3.0,1.0,33.0,6.0,462.0,13.0,15.0,10.0,5.0,27.0,1.0,1.0,257.0,12.0,7.0,24.0,84.0,34.0,3.0,17.0,22.0,2.0,2.0,8.0,3.0,15.0,3.0,9.0,6.0,,2.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,2.0,,,2.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,2.0,,1.0,,,,3.0,,,,,,,,,,,,,,
10,918983,2017-10-28 17:30:00,"Vitality Stadium, Bournemouth",10998,Away,Chelsea,Bournemouth,1,0,W,0,0,0,0,,3.0,,73.0,1.0,4.0,37.0,13.0,5.0,9.0,13.0,1.0,1.0,,195.0,,5.0,5.0,1.0,,15.0,5.0,176.0,130.0,41.0,,18.0,2.0,12.0,1.0,1.0,2.0,2.0,19.0,12.0,1.0,13.0,2.0,17.0,31.0,,315.0,1.0,,0.0,216.0,5.0,,,64.0,65.0,9.0,98.0,1.0,17.0,15.0,5.0,,3.0,2.0,,130.0,2.0,,5.0,184.0,825.0,13.0,5.0,35.0,13.0,558.0,33.0,1.0,4.0,7.0,1.0,0.0,3.0,6.0,17.0,638.0,66.0,,94245,7.0,259.0,14.0,,281.0,3.0,15.0,5.0,30.0,,5.0,4.0,1.0,16.0,2.0,3.0,58.0,569.0,5.0,7.0,1.0,11.0,76.0,0.0,,2.0,5.0,1.0,1.0,,2.0,0.0,4.0,,,2.0,58.3,15.0,5.0,4.0,6.0,54.0,5.0,653.0,13.0,5.0,16.0,7.0,38.0,1.0,5.0,391.0,6.0,15.0,15.0,170.0,28.0,2.0,7.0,16.0,,,16.0,3.0,7.0,2.0,4.0,5.0,,,,,,,,,,,,2.0,,,,,,2.0,1.0,,2.0,2.0,,,,1.0,2.0,2.0,,3.0,1.0,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,3.0,,,,,,,,,,,,
