gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowRight,attGoalLowCentre,attObxLeft,shotFastbreak,postScoringAtt,goalFastbreak,attIboxPost,attOneOnOne,ptsGainedLosingPos,totalFastbreak,goodHighClaim,bigChanceCreated,hitWoodwork,accurateThroughBall,bigChanceMissed,goalKicks,accurateGoalKicks,attFastbreak,attPostHigh,goalAssistIntentional,totalHighClaim,cleanSheet,attHdTarget,attCmissHigh,punches,attFreekickMiss,attSvHighRight,totalKeeperSweeper,sixYardBlock,attSetpiece,penaltyConceded,shieldBallOop,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,accurateFreekickCross,attSvHighCentre,attCmissLeft,attGoalHighRight,foulThrowIn,goalAssistSetplay,attLfGoal,attFreekickPost,attPostLeft,attOboxPost,defenderGoals,attPostRight,accurateKeeperSweeper,errorLeadToShot,ownGoals,clearanceOffLine,attIboxOwnGoal,attGoalHighLeft,attHdGoal,goalAssistDeadball,attPenTarget,attFreekickGoal,attHdPost,attLgCentre,attObxdLeft
1,855175,2016-08-15 20:00:00,"Stamford Bridge, London",41521,Home,Chelsea,West Ham United,2,1,W,0,0,0,0,2.0,1.0,65.0,1.0,1.0,1.0,35.0,17.0,7.0,2.0,9.0,2.0,2.0,195.0,5.0,16.0,2.0,6.0,11.0,1.0,1.0,6.0,139.0,146.0,71.0,2.0,16.0,3.0,25.0,3.0,3.0,1.0,1.0,1.0,20.0,10.0,1.0,16.0,5.0,14.0,36.0,267.0,1.0,1.0,1.0,0.0,185.0,16.0,2.0,1.0,1.0,1.0,2.0,93.0,71.0,7.0,91.0,2.0,2.0,16.0,13.0,7.0,2.0,1.0,2.0,2.0,146.0,2.0,4.0,131.0,770.0,7.0,8.0,33.0,7.0,464.0,17.0,1.0,4.0,13.0,1.0,5.0,2.0,4.0,29.0,538.0,86.0,94245,4.0,218.0,12.0,230.0,12.0,2.0,1.0,13.0,68.0,3.0,1.0,4.0,1.0,20.0,3.0,1.0,1.0,58.0,480.0,14.0,3.0,3.0,16.0,4.0,70.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,61.7,23.0,2.0,6.0,1.0,4.0,4.0,53.0,7.0,556.0,7.0,8.0,24.0,6.0,38.0,4.0,4.0,346.0,11.0,14.0,24.0,133.0,36.0,1.0,2.0,13.0,18.0,1.0,9.0,3.0,33.0,2.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855189,2016-08-20 15:00:00,"Vicarage Road, Watford",20772,Away,Chelsea,Watford,2,1,W,0,0,0,0,,2.0,57.0,,,1.0,35.0,18.0,6.0,4.0,6.0,1.0,2.0,184.0,3.0,11.0,2.0,5.0,9.0,,,4.0,148.0,140.0,58.0,2.0,13.0,2.0,9.0,,1.0,1.0,1.0,2.0,25.0,11.0,2.0,13.0,4.0,14.0,33.0,267.0,,,,0.0,196.0,10.0,1.0,,,1.0,2.0,62.0,92.0,4.0,76.0,,1.0,21.0,16.0,7.0,2.0,,7.0,3.0,140.0,1.0,3.0,152.0,767.0,8.0,10.0,34.0,15.0,465.0,35.0,1.0,,13.0,1.0,3.0,2.0,5.0,19.0,536.0,65.0,94245,3.0,224.0,12.0,243.0,4.0,2.0,1.0,16.0,52.0,2.0,2.0,3.0,2.0,14.0,3.0,1.0,,55.0,488.0,19.0,9.0,,11.0,,61.0,,0.0,1.0,1.0,,1.0,2.0,1.0,6.0,0.0,2.0,,62.4,15.0,,6.0,1.0,3.0,3.0,47.0,5.0,560.0,15.0,11.0,21.0,6.0,43.0,1.0,2.0,342.0,9.0,13.0,12.0,156.0,13.0,1.0,2.0,11.0,17.0,1.0,11.0,3.0,25.0,2.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855192,2016-08-27 15:00:00,"Stamford Bridge, London",41607,Home,Chelsea,Burnley,3,0,W,2,0,0,0,3.0,1.0,65.0,1.0,,3.0,48.0,17.0,8.0,4.0,14.0,,3.0,208.0,3.0,11.0,3.0,1.0,17.0,,,10.0,152.0,136.0,44.0,1.0,22.0,2.0,15.0,6.0,2.0,3.0,3.0,2.0,26.0,8.0,1.0,14.0,5.0,21.0,42.0,274.0,,1.0,,0.0,223.0,6.0,,1.0,2.0,,,95.0,71.0,13.0,102.0,1.0,,22.0,18.0,8.0,1.0,,6.0,4.0,136.0,,4.0,164.0,813.0,9.0,8.0,51.0,10.0,529.0,30.0,,3.0,12.0,3.0,2.0,2.0,4.0,22.0,606.0,70.0,94245,10.0,274.0,16.0,293.0,4.0,3.0,,18.0,44.0,,1.0,6.0,3.0,11.0,2.0,5.0,,79.0,545.0,9.0,7.0,5.0,18.0,7.0,82.0,3.0,0.0,,1.0,5.0,,2.0,,3.0,0.0,2.0,1.0,60.1,20.0,,4.0,1.0,6.0,5.0,45.0,9.0,626.0,10.0,5.0,29.0,7.0,39.0,2.0,3.0,359.0,17.0,21.0,15.0,191.0,25.0,,3.0,9.0,9.0,,13.0,3.0,23.0,3.0,10.0,9.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,2.0,,,2.0,4.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855210,2016-09-11 16:00:00,"Swansea.com Stadium, Swansea",20865,Away,Chelsea,Swansea City,2,2,D,1,0,0,0,1.0,,54.0,1.0,,3.0,31.0,21.0,10.0,5.0,18.0,,4.0,165.0,11.0,9.0,2.0,5.0,22.0,,,7.0,122.0,122.0,59.0,1.0,28.0,6.0,15.0,4.0,6.0,1.0,2.0,6.0,21.0,11.0,1.0,15.0,8.0,10.0,37.0,212.0,2.0,,,0.0,151.0,9.0,,,,,2.0,58.0,53.0,11.0,78.0,1.0,1.0,13.0,29.0,10.0,1.0,,7.0,3.0,122.0,2.0,3.0,123.0,697.0,16.0,8.0,50.0,10.0,394.0,25.0,,5.0,10.0,1.0,4.0,2.0,11.0,21.0,464.0,52.0,94245,7.0,215.0,4.0,232.0,5.0,2.0,,29.0,47.0,1.0,3.0,5.0,2.0,14.0,3.0,3.0,,54.0,416.0,17.0,5.0,5.0,14.0,6.0,63.0,,0.0,,,1.0,,2.0,2.0,5.0,0.0,4.0,4.0,55.1,17.0,4.0,3.0,2.0,5.0,9.0,44.0,11.0,488.0,10.0,6.0,26.0,12.0,38.0,7.0,9.0,277.0,19.0,8.0,17.0,117.0,21.0,2.0,1.0,9.0,18.0,2.0,18.0,3.0,22.0,1.0,11.0,11.0,,1.0,,,,,,,,1.0,,,1.0,,,2.0,4.0,2.0,,,1.0,,,,,,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855212,2016-09-16 20:00:00,"Stamford Bridge, London",41514,Home,Chelsea,Liverpool,1,2,L,0,2,0,0,1.0,1.0,54.0,,1.0,3.0,47.0,24.0,3.0,2.0,9.0,3.0,,157.0,5.0,22.0,1.0,4.0,10.0,2.0,,4.0,155.0,131.0,65.0,1.0,12.0,2.0,14.0,3.0,2.0,1.0,1.0,1.0,28.0,12.0,,19.0,6.0,18.0,50.0,246.0,,,,0.0,164.0,6.0,2.0,,,,3.0,87.0,69.0,7.0,70.0,1.0,,22.0,11.0,3.0,1.0,,6.0,1.0,131.0,,7.0,158.0,778.0,6.0,11.0,27.0,19.0,459.0,26.0,,3.0,13.0,1.0,1.0,6.0,3.0,24.0,524.0,69.0,94245,6.0,233.0,13.0,247.0,4.0,1.0,2.0,11.0,55.0,1.0,6.0,5.0,1.0,13.0,6.0,2.0,,71.0,474.0,13.0,16.0,3.0,13.0,3.0,68.0,1.0,0.0,,1.0,4.0,2.0,1.0,2.0,5.0,0.0,2.0,4.0,52.7,22.0,1.0,1.0,,5.0,5.0,46.0,6.0,540.0,19.0,7.0,29.0,3.0,36.0,3.0,2.0,321.0,6.0,18.0,13.0,127.0,22.0,1.0,3.0,11.0,18.0,1.0,7.0,3.0,35.0,3.0,7.0,6.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,2.0,,,1.0,1.0,,2.0,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
6,855223,2016-09-24 17:30:00,"Emirates Stadium, London",60028,Away,Chelsea,Arsenal,0,3,L,0,3,0,0,,,65.0,,1.0,2.0,31.0,20.0,2.0,,7.0,2.0,2.0,190.0,6.0,9.0,,4.0,7.0,,1.0,2.0,138.0,146.0,54.0,,9.0,,10.0,1.0,2.0,,1.0,2.0,18.0,17.0,1.0,15.0,1.0,13.0,41.0,261.0,1.0,,,0.0,183.0,11.0,2.0,,,,4.0,98.0,64.0,3.0,74.0,2.0,1.0,17.0,18.0,2.0,,,5.0,1.0,146.0,,9.0,136.0,738.0,7.0,5.0,19.0,11.0,430.0,30.0,,2.0,13.0,,2.0,4.0,4.0,21.0,518.0,71.0,94245,3.0,192.0,8.0,220.0,5.0,,,18.0,48.0,1.0,2.0,6.0,,20.0,5.0,1.0,,58.0,447.0,8.0,11.0,,14.0,,71.0,1.0,0.0,,2.0,9.0,1.0,,3.0,2.0,0.0,6.0,1.0,50.5,20.0,1.0,7.0,1.0,6.0,2.0,42.0,1.0,538.0,11.0,8.0,22.0,5.0,29.0,,4.0,336.0,8.0,13.0,16.0,140.0,21.0,,2.0,10.0,21.0,3.0,7.0,3.0,19.0,2.0,11.0,1.0,1.0,,,,,,,,1.0,,,2.0,1.0,,1.0,1.0,6.0,5.0,,,,2.0,,,,,,,,,2.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
7,855234,2016-10-01 15:00:00,"The MKM Stadium, Hull",21257,Away,Chelsea,Hull City,2,0,W,0,0,0,0,2.0,,66.0,,2.0,2.0,41.0,18.0,9.0,7.0,13.0,2.0,4.0,197.0,6.0,18.0,2.0,6.0,17.0,,1.0,9.0,132.0,150.0,65.0,1.0,22.0,2.0,12.0,2.0,2.0,1.0,1.0,4.0,29.0,15.0,5.0,15.0,6.0,8.0,31.0,285.0,,,,0.0,208.0,15.0,3.0,,,,4.0,61.0,80.0,9.0,73.0,,3.0,23.0,21.0,9.0,1.0,,1.0,2.0,150.0,1.0,3.0,152.0,759.0,13.0,9.0,44.0,13.0,449.0,20.0,1.0,8.0,10.0,1.0,2.0,2.0,8.0,10.0,538.0,65.0,94245,7.0,181.0,18.0,207.0,8.0,2.0,1.0,21.0,51.0,3.0,,4.0,2.0,8.0,5.0,1.0,,71.0,460.0,12.0,3.0,3.0,28.0,4.0,78.0,5.0,0.0,,1.0,5.0,,2.0,,6.0,0.0,4.0,3.0,59.1,10.0,2.0,6.0,2.0,4.0,4.0,51.0,7.0,554.0,13.0,11.0,17.0,9.0,39.0,2.0,7.0,376.0,12.0,8.0,18.0,162.0,35.0,2.0,2.0,9.0,19.0,,15.0,3.0,30.0,2.0,8.0,7.0,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,5.0,3.0,,,,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,2.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
8,855244,2016-10-15 12:30:00,"Stamford Bridge, London",41547,Home,Chelsea,Leicester City,3,0,W,2,0,0,0,1.0,3.0,77.0,,,3.0,32.0,27.0,6.0,4.0,10.0,,2.0,191.0,3.0,17.0,3.0,5.0,13.0,,,6.0,128.0,159.0,68.0,2.0,16.0,1.0,16.0,1.0,2.0,2.0,2.0,2.0,21.0,14.0,2.0,24.0,7.0,8.0,40.0,229.0,,,,0.0,158.0,6.0,,,1.0,,1.0,54.0,78.0,8.0,84.0,3.0,2.0,14.0,12.0,6.0,2.0,,2.0,2.0,159.0,2.0,2.0,150.0,768.0,9.0,8.0,24.0,19.0,447.0,26.0,1.0,4.0,19.0,3.0,1.0,2.0,5.0,25.0,533.0,71.0,94245,6.0,232.0,11.0,252.0,2.0,2.0,1.0,12.0,47.0,5.0,,5.0,2.0,15.0,3.0,,,65.0,458.0,10.0,5.0,1.0,12.0,3.0,96.0,,0.0,1.0,2.0,5.0,,3.0,,6.0,0.0,1.0,1.0,54.9,16.0,1.0,11.0,1.0,5.0,4.0,54.0,8.0,553.0,19.0,14.0,16.0,6.0,32.0,2.0,3.0,322.0,11.0,8.0,22.0,111.0,35.0,2.0,,17.0,19.0,,11.0,3.0,23.0,,6.0,8.0,,2.0,1.0,,1.0,1.0,,,2.0,,1.0,1.0,4.0,1.0,2.0,2.0,8.0,2.0,1.0,,2.0,1.0,1.0,,,2.0,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
9,855255,2016-10-23 16:00:00,"Stamford Bridge, London",41424,Home,Chelsea,Manchester United,4,0,W,2,0,0,0,1.0,3.0,58.0,1.0,3.0,4.0,23.0,25.0,3.0,5.0,11.0,5.0,1.0,136.0,4.0,12.0,4.0,1.0,10.0,,,6.0,121.0,123.0,54.0,,14.0,1.0,10.0,1.0,1.0,3.0,1.0,,11.0,13.0,1.0,20.0,3.0,17.0,27.0,196.0,,,,0.0,117.0,7.0,5.0,,1.0,1.0,1.0,55.0,51.0,8.0,50.0,2.0,1.0,8.0,21.0,3.0,,,1.0,1.0,123.0,,9.0,140.0,657.0,7.0,4.0,23.0,27.0,344.0,30.0,2.0,5.0,14.0,3.0,3.0,5.0,2.0,16.0,414.0,51.0,94245,7.0,172.0,6.0,204.0,3.0,3.0,,21.0,44.0,2.0,2.0,5.0,3.0,7.0,7.0,,,57.0,364.0,17.0,7.0,,25.0,3.0,57.0,,0.0,,,7.0,2.0,4.0,,1.0,0.0,4.0,1.0,43.9,13.0,1.0,3.0,1.0,5.0,5.0,31.0,5.0,447.0,27.0,12.0,14.0,3.0,19.0,,2.0,254.0,8.0,15.0,8.0,83.0,19.0,2.0,4.0,12.0,18.0,,10.0,3.0,21.0,4.0,8.0,5.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,2.0,,1.0,,10.0,5.0,1.0,,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,
10,855266,2016-10-30 16:00:00,"St. Mary's Stadium, Southampton",31827,Away,Chelsea,Southampton,2,0,W,1,0,0,0,1.0,,49.0,,1.0,2.0,27.0,33.0,4.0,4.0,9.0,1.0,4.0,152.0,4.0,13.0,2.0,6.0,13.0,,,7.0,94.0,131.0,69.0,,13.0,,18.0,3.0,2.0,1.0,4.0,1.0,13.0,21.0,2.0,33.0,3.0,4.0,31.0,174.0,,1.0,,0.0,128.0,16.0,1.0,,,,1.0,63.0,47.0,9.0,71.0,,1.0,10.0,22.0,4.0,,,1.0,1.0,131.0,,6.0,92.0,622.0,10.0,8.0,23.0,16.0,313.0,25.0,,5.0,18.0,2.0,0.0,3.0,4.0,25.0,385.0,43.0,94245,2.0,155.0,8.0,182.0,6.0,1.0,,22.0,64.0,2.0,,3.0,1.0,8.0,4.0,2.0,,61.0,325.0,13.0,8.0,1.0,21.0,1.0,65.0,,0.0,,1.0,7.0,,1.0,,2.0,0.0,2.0,1.0,45.2,19.0,1.0,2.0,2.0,3.0,2.0,31.0,3.0,409.0,16.0,15.0,17.0,4.0,22.0,2.0,3.0,240.0,8.0,4.0,16.0,99.0,18.0,2.0,2.0,18.0,27.0,,11.0,3.0,21.0,2.0,11.0,3.0,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,9.0,2.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
