gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,subsMade,totalContest,blockedCross,wonCorners,savedObox,attOboxTarget,divingSave,attSvHighLeft,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,goalsConcededIbox,attGoalLowCentre,goals,accuratePullBack,shotFastbreak,goalAssistOpenplay,attMissHighRight,goalAssist,totalPullBack,defenderGoals,attFastbreak,attIboxGoal,goalAssistIntentional,attHdGoal,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,midfielderGoals,sixYardBlock,attRfGoal,attLgCentre,attSvLowRight,foulThrowIn,attSvHighCentre,attObxLeft,postScoringAtt,attIboxPost,attHdPost,attHdTarget,hitWoodwork,attPostHigh,clearanceOffLine,errorLeadToGoal,attGoalLowLeft,cleanSheet,attSvHighRight,secondYellow,attLfGoal,goalFastbreak,penaltyWon,attPenGoal,forwardGoals,attOboxGoal,attPenTarget,attemptsIbox,saves,fouledFinalThird,attGoalHighRight,freekickCross,attemptsObox,attObxdRight,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateFreekickCross,attBxCentre,goalsOpenplay,attCorner,attCmissLeft,attBxLeft,attOpenplay,attObxRight,attLgLeft,attBxRight,totalFastbreak,ownGoals,attIboxOwnGoal,attObxdLeft,attOboxPost,attGoalHighLeft,attFreekickGoal,penaltySave,attPostLeft
1,284006,2009-08-15 15:00:00,"Fratton Park, Portsmouth",17510,Home,Portsmouth,Fulham,0,1,L,0,1,0,0,1.0,1.0,1.0,49.0,2.0,43.0,22.0,7.0,2.0,1.0,4.0,4.0,12.0,2.0,143.0,58.0,3.0,17.0,2.0,13.0,2.0,1.0,1.0,2.0,27.0,18.0,14.0,6.0,21.0,36.0,164.0,0.0,147.0,11.0,1.0,1.0,68.0,54.0,6.0,2.0,2.0,21.0,3.0,5.0,5.0,135.0,5.0,648.0,10.0,9.0,15.0,10.0,2.0,11.0,12.0,1.0,3.0,2.0,6.0,20.0,84.0,1.0,1.0,6991,170.0,15.0,1.0,181.0,10.0,44.0,3.0,1.0,5.0,8.0,5.0,5.0,85.0,330.0,18.0,3.0,2.0,32.0,95.0,1.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,55.1,17.0,3.0,3.0,5.0,4.0,45.0,6.0,1.0,415.0,15.0,2.0,8.0,16.0,11.0,24.0,2.0,6.0,261.0,12.0,17.0,10.0,86.0,26.0,1.0,6.0,26.0,2.0,14.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,284011,2009-08-19 19:45:00,"St. Andrew's @ Knighthead Park, Birmingham",19922,Away,Portsmouth,Birmingham City,0,1,L,0,0,0,0,,,1.0,71.0,,25.0,47.0,8.0,3.0,2.0,2.0,8.0,7.0,3.0,172.0,58.0,1.0,10.0,2.0,24.0,1.0,,,2.0,13.0,13.0,28.0,4.0,25.0,27.0,121.0,0.0,124.0,20.0,2.0,4.0,41.0,48.0,3.0,2.0,1.0,9.0,1.0,2.0,4.0,153.0,4.0,683.0,7.0,11.0,22.0,36.0,,4.0,25.0,,5.0,5.0,4.0,31.0,70.0,1.0,3.0,6991,168.0,4.0,,191.0,12.0,72.0,2.0,4.0,4.0,10.0,5.0,2.0,61.0,287.0,11.0,8.0,,23.0,89.0,3.0,0.0,4.0,,1.0,2.0,0.0,1.0,4.0,,52.2,24.0,,4.0,6.0,2.0,41.0,5.0,4.0,389.0,20.0,,16.0,11.0,5.0,19.0,1.0,1.0,211.0,7.0,21.0,20.0,59.0,17.0,3.0,15.0,19.0,3.0,12.0,3.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,284020,2009-08-22 15:00:00,"Emirates Stadium, London",60049,Away,Portsmouth,Arsenal,1,4,L,1,2,0,0,,,2.0,55.0,2.0,26.0,18.0,3.0,3.0,,3.0,9.0,9.0,3.0,119.0,49.0,,10.0,,9.0,1.0,2.0,,1.0,13.0,16.0,9.0,3.0,17.0,28.0,135.0,0.0,102.0,12.0,2.0,3.0,35.0,45.0,4.0,4.0,2.0,10.0,,,2.0,110.0,12.0,618.0,8.0,7.0,22.0,30.0,1.0,6.0,7.0,2.0,0.0,7.0,5.0,12.0,57.0,1.0,1.0,6991,190.0,9.0,1.0,206.0,10.0,55.0,3.0,2.0,14.0,11.0,5.0,,50.0,322.0,9.0,16.0,,10.0,82.0,,0.0,8.0,2.0,4.0,4.0,0.0,1.0,1.0,1.0,40.5,8.0,,2.0,14.0,2.0,45.0,4.0,3.0,393.0,21.0,,9.0,11.0,5.0,15.0,2.0,3.0,200.0,6.0,16.0,10.0,66.0,6.0,1.0,4.0,21.0,3.0,18.0,1.0,4.0,6.0,1.0,4.0,,,,,,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,284036,2009-08-30 13:30:00,"Fratton Park, Portsmouth",17826,Home,Portsmouth,Manchester City,0,1,L,0,1,0,0,,1.0,,61.0,,16.0,37.0,6.0,3.0,1.0,4.0,4.0,9.0,1.0,163.0,63.0,,12.0,5.0,9.0,1.0,1.0,,1.0,21.0,30.0,24.0,3.0,20.0,28.0,164.0,0.0,146.0,13.0,1.0,1.0,64.0,35.0,4.0,3.0,2.0,18.0,,4.0,1.0,150.0,6.0,681.0,9.0,6.0,26.0,26.0,,2.0,23.0,1.0,2.0,2.0,5.0,23.0,87.0,1.0,,7718,136.0,12.0,1.0,152.0,8.0,57.0,2.0,3.0,8.0,8.0,3.0,2.0,46.0,296.0,9.0,14.0,,18.0,88.0,1.0,0.0,11.0,3.0,1.0,1.0,0.0,3.0,,2.0,50.0,21.0,2.0,4.0,8.0,5.0,41.0,3.0,2.0,397.0,25.0,,12.0,13.0,6.0,24.0,1.0,5.0,266.0,7.0,17.0,8.0,81.0,20.0,1.0,16.0,41.0,3.0,14.0,1.0,3.0,3.0,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,284045,2009-09-12 15:00:00,"Fratton Park, Portsmouth",17564,Home,Portsmouth,Bolton Wanderers,2,3,L,1,2,0,0,,,1.0,42.0,4.0,28.0,36.0,11.0,4.0,,9.0,7.0,14.0,3.0,166.0,48.0,1.0,22.0,3.0,13.0,,,,3.0,44.0,9.0,15.0,7.0,16.0,20.0,180.0,0.0,156.0,17.0,1.0,3.0,66.0,48.0,5.0,,2.0,37.0,1.0,13.0,7.0,144.0,12.0,618.0,11.0,8.0,10.0,12.0,1.0,6.0,18.0,,2.0,4.0,9.0,34.0,84.0,2.0,1.0,8420,93.0,22.0,2.0,102.0,11.0,58.0,2.0,3.0,7.0,5.0,7.0,6.0,64.0,264.0,16.0,3.0,2.0,25.0,75.0,1.0,0.0,5.0,2.0,3.0,2.0,0.0,5.0,,5.0,62.2,33.0,4.0,3.0,7.0,7.0,42.0,7.0,3.0,340.0,10.0,1.0,18.0,10.0,12.0,30.0,4.0,5.0,282.0,12.0,16.0,12.0,104.0,16.0,3.0,10.0,13.0,2.0,14.0,4.0,7.0,,1.0,,,1.0,,1.0,1.0,3.0,,2.0,,,,,1.0,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,284051,2009-09-19 15:00:00,"Villa Park, Birmingham",35979,Away,Portsmouth,Aston Villa,0,2,L,0,2,0,0,1.0,,4.0,48.0,,23.0,30.0,12.0,7.0,2.0,4.0,11.0,14.0,6.0,127.0,63.0,1.0,17.0,6.0,14.0,1.0,,,2.0,23.0,15.0,13.0,4.0,20.0,18.0,175.0,0.0,114.0,13.0,1.0,2.0,52.0,45.0,11.0,2.0,1.0,19.0,1.0,9.0,3.0,110.0,2.0,565.0,13.0,17.0,18.0,18.0,2.0,9.0,19.0,,0.0,2.0,3.0,21.0,67.0,1.0,1.0,8420,86.0,10.0,,97.0,10.0,44.0,1.0,2.0,7.0,4.0,5.0,,45.0,257.0,17.0,5.0,1.0,21.0,73.0,1.0,0.0,7.0,1.0,2.0,7.0,0.0,3.0,1.0,2.0,51.0,16.0,2.0,4.0,7.0,6.0,45.0,5.0,2.0,323.0,17.0,,7.0,8.0,5.0,17.0,1.0,2.0,249.0,8.0,16.0,16.0,76.0,12.0,1.0,8.0,19.0,2.0,16.0,1.0,5.0,,5.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,284065,2009-09-26 12:45:00,"Fratton Park, Portsmouth",18116,Home,Portsmouth,Everton,0,1,L,0,1,0,0,,,,40.0,5.0,27.0,35.0,8.0,3.0,2.0,6.0,7.0,12.0,3.0,154.0,60.0,1.0,19.0,6.0,16.0,2.0,,1.0,1.0,26.0,15.0,19.0,5.0,15.0,17.0,158.0,0.0,143.0,15.0,,1.0,48.0,47.0,9.0,,1.0,21.0,1.0,5.0,2.0,138.0,7.0,618.0,9.0,11.0,21.0,14.0,1.0,9.0,23.0,,0.0,3.0,3.0,26.0,81.0,2.0,,8420,102.0,13.0,1.0,117.0,6.0,58.0,4.0,,3.0,6.0,2.0,1.0,56.0,254.0,16.0,5.0,3.0,31.0,84.0,1.0,0.0,6.0,3.0,1.0,4.0,0.0,3.0,,2.0,51.4,22.0,,1.0,3.0,11.0,46.0,5.0,2.0,342.0,21.0,,11.0,9.0,5.0,29.0,3.0,2.0,251.0,12.0,12.0,11.0,90.0,17.0,6.0,15.0,26.0,3.0,18.0,6.0,5.0,2.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,284079,2009-10-03 15:00:00,"Molineux Stadium, Wolverhampton",29023,Away,Portsmouth,Wolverhampton Wanderers,1,0,W,1,0,0,0,,,,51.0,3.0,15.0,78.0,4.0,3.0,2.0,5.0,7.0,10.0,4.0,165.0,64.0,,13.0,2.0,15.0,3.0,,,1.0,16.0,16.0,44.0,4.0,14.0,12.0,122.0,0.0,114.0,13.0,1.0,3.0,35.0,65.0,7.0,1.0,2.0,12.0,,2.0,2.0,131.0,9.0,564.0,8.0,7.0,12.0,15.0,,3.0,45.0,,2.0,4.0,3.0,33.0,69.0,4.0,,8420,56.0,9.0,,67.0,10.0,48.0,7.0,3.0,4.0,5.0,,1.0,45.0,173.0,10.0,6.0,1.0,23.0,87.0,1.0,0.0,8.0,3.0,,5.0,0.0,4.0,2.0,3.0,39.9,26.0,1.0,2.0,5.0,5.0,36.0,6.0,4.0,258.0,12.0,,9.0,5.0,4.0,15.0,1.0,2.0,207.0,7.0,12.0,27.0,62.0,21.0,5.0,26.0,20.0,3.0,12.0,5.0,6.0,1.0,,2.0,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,,,2.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,284086,2009-10-17 15:00:00,"Fratton Park, Portsmouth",20821,Home,Portsmouth,Tottenham Hotspur,1,2,L,0,2,1,1,,2.0,1.0,48.0,1.0,28.0,34.0,11.0,5.0,5.0,13.0,5.0,20.0,8.0,152.0,56.0,2.0,24.0,4.0,12.0,3.0,,2.0,3.0,40.0,21.0,26.0,9.0,13.0,22.0,167.0,0.0,133.0,18.0,3.0,3.0,38.0,68.0,11.0,,2.0,31.0,2.0,11.0,5.0,144.0,10.0,602.0,17.0,9.0,14.0,10.0,2.0,8.0,27.0,,2.0,2.0,9.0,33.0,71.0,,,8420,71.0,15.0,1.0,78.0,7.0,70.0,,6.0,1.0,3.0,2.0,4.0,46.0,225.0,13.0,10.0,2.0,20.0,77.0,,0.0,9.0,,2.0,,1.0,11.0,,3.0,49.9,27.0,2.0,1.0,1.0,5.0,48.0,10.0,3.0,292.0,14.0,1.0,19.0,10.0,11.0,30.0,2.0,6.0,254.0,16.0,11.0,10.0,88.0,31.0,4.0,22.0,28.0,3.0,18.0,4.0,10.0,1.0,4.0,1.0,1.0,,1.0,,,2.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,284094,2009-10-24 15:00:00,"The MKM Stadium, Hull",23720,Away,Portsmouth,Hull City,0,0,D,0,0,0,0,,2.0,,44.0,2.0,13.0,52.0,4.0,2.0,2.0,5.0,3.0,6.0,2.0,180.0,49.0,1.0,11.0,,17.0,2.0,,1.0,4.0,29.0,7.0,29.0,6.0,17.0,18.0,141.0,0.0,101.0,25.0,,2.0,46.0,62.0,2.0,1.0,,23.0,1.0,7.0,4.0,157.0,1.0,614.0,6.0,12.0,18.0,11.0,,8.0,30.0,,1.0,3.0,4.0,32.0,60.0,,,8420,117.0,12.0,2.0,140.0,11.0,59.0,1.0,1.0,3.0,7.0,2.0,2.0,48.0,253.0,16.0,4.0,,39.0,101.0,2.0,0.0,6.0,1.0,,2.0,0.0,5.0,1.0,,56.2,25.0,,2.0,3.0,2.0,41.0,6.0,2.0,354.0,18.0,1.0,11.0,11.0,7.0,18.0,,3.0,243.0,8.0,16.0,14.0,60.0,23.0,2.0,13.0,15.0,1.0,7.0,2.0,6.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
