matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
2210272,1,2021-08-14 15:00:00,"Turf Moor, Burnley",16910,Away,Brighton,Burnley,2,1,W,0,1,0,0,2.0,14.0,8.0,4.0,2.0,3.0,2.0,1.0,,2.0,10.0,8.0,28.0,43.0,518.0,424.0,64.1,23.0,16.0,9.0,6.0,27.0,27.0,12.0,3.0,,12.0,12.0,131.0,2.0,1.0,,49.0,61.0,20.0,26.0,6.0,6.0,,7.0,10.0,0.0,0.0,,,
2210283,2,2021-08-21 17:30:00,"American Express Stadium, Falmer",29485,Home,Brighton,Watford,2,0,W,2,0,0,0,2.0,13.0,3.0,5.0,5.0,1.0,1.0,2.0,,2.0,10.0,7.0,29.0,44.0,585.0,502.0,56.9,30.0,19.0,11.0,8.0,17.0,17.0,23.0,4.0,,6.0,12.0,134.0,1.0,,1.0,49.0,48.0,17.0,18.0,7.0,7.0,,11.0,6.0,0.0,0.0,,,1.0
2210292,3,2021-08-28 15:00:00,"American Express Stadium, Falmer",30548,Home,Brighton,Everton,0,2,L,0,1,0,0,,14.0,3.0,5.0,6.0,,,,,,10.0,7.0,21.0,56.0,612.0,529.0,65.6,18.0,25.0,16.0,10.0,14.0,14.0,18.0,5.0,,7.0,11.0,132.0,3.0,2.0,,52.0,40.0,8.0,9.0,4.0,4.0,,7.0,8.0,0.0,0.0,,,1.0
2210302,4,2021-09-11 15:00:00,"Gtech Community Stadium, Brentford",16518,Away,Brighton,Brentford,1,0,W,0,0,0,0,1.0,4.0,2.0,1.0,1.0,,,,,1.0,4.0,3.0,29.0,73.0,496.0,396.0,58.7,15.0,16.0,11.0,12.0,11.0,11.0,21.0,,,8.0,12.0,156.0,1.0,,1.0,45.0,56.0,11.0,15.0,5.0,6.0,,12.0,9.0,0.0,0.0,,,2.0
2210312,5,2021-09-19 14:00:00,"American Express Stadium, Falmer",31078,Home,Brighton,Leicester,2,1,W,1,0,0,0,2.0,12.0,5.0,4.0,3.0,,1.0,,,1.0,9.0,6.0,21.0,37.0,322.0,245.0,37.1,19.0,19.0,13.0,16.0,29.0,29.0,17.0,5.0,,12.0,6.0,120.0,2.0,1.0,,62.0,47.0,18.0,11.0,4.0,4.0,2.0,8.0,9.0,0.0,0.0,1.0,1.0,3.0
2210324,6,2021-09-27 20:00:00,"Selhurst Park, London",22975,Away,Brighton,Crystal Palace,1,1,D,0,1,0,0,1.0,8.0,4.0,2.0,2.0,2.0,1.0,1.0,,1.0,4.0,3.0,28.0,42.0,565.0,466.0,53.1,22.0,29.0,19.0,10.0,13.0,13.0,14.0,2.0,,4.0,7.0,142.0,2.0,1.0,,61.0,36.0,15.0,7.0,5.0,5.0,2.0,10.0,11.0,0.0,0.0,,,
2210331,7,2021-10-02 17:30:00,"American Express Stadium, Falmer",31266,Home,Brighton,Arsenal,0,0,D,0,0,0,0,,21.0,2.0,12.0,7.0,,,,,,18.0,6.0,38.0,60.0,497.0,420.0,58.2,30.0,16.0,5.0,9.0,13.0,13.0,24.0,1.0,,6.0,6.0,126.0,2.0,,1.0,43.0,29.0,16.0,7.0,8.0,8.0,,8.0,5.0,0.0,0.0,,,1.0
2210348,8,2021-10-16 15:00:00,"Carrow Road, Norwich",26777,Away,Brighton,Norwich,0,0,D,0,0,0,0,,11.0,3.0,4.0,4.0,1.0,,1.0,1.0,,9.0,6.0,36.0,72.0,569.0,478.0,64.9,30.0,19.0,12.0,8.0,22.0,22.0,23.0,8.0,1.0,11.0,5.0,132.0,2.0,,1.0,51.0,48.0,21.0,14.0,4.0,4.0,1.0,14.0,5.0,0.0,0.0,,,
2210353,9,2021-10-23 17:30:00,"American Express Stadium, Falmer",31215,Home,Brighton,Man City,1,4,L,0,3,0,0,1.0,10.0,5.0,4.0,1.0,,1.0,,,,8.0,5.0,28.0,39.0,501.0,422.0,47.7,27.0,16.0,11.0,13.0,9.0,9.0,19.0,6.0,,12.0,5.0,119.0,8.0,4.0,,48.0,33.0,14.0,5.0,7.0,7.0,,10.0,6.0,0.0,0.0,1.0,1.0,2.0
2210364,10,2021-10-30 15:00:00,"Anfield, Liverpool",53197,Away,Brighton,Liverpool,2,2,D,1,2,0,0,2.0,9.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,8.0,6.0,25.0,53.0,464.0,361.0,41.6,21.0,20.0,10.0,16.0,17.0,17.0,19.0,5.0,,10.0,8.0,144.0,1.0,2.0,,49.0,36.0,11.0,11.0,3.0,3.0,,5.0,7.0,0.0,0.0,,,5.0
