gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,penaltySave,attLfTarget,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attPostHigh,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalHighRight,interceptionsInBox,accurateLaunches,totalPullBack,attIboxGoal,foulThrowIn,bigChanceScored,attGoalLowLeft,goalAssistSetplay,attMissLeft,attMissHighLeft,accurateFreekickCross,sixYardBlock,attSetpiece,attSvLowRight,accurateFlickOn,attSvHighCentre,attFreekickMiss,attHdGoal,attObxLeft,midfielderGoals,attHdTarget,attRfGoal,goalsConceded,goalsConcededIbox,totalFastbreak,contentiousDecision,attCmissHigh,attCmissLeft,goalAssistDeadball,accuratePullBack,shotFastbreak,goalFastbreak,attFastbreak,attObpGoal,goalAssistIntentional,errorLeadToGoal,penaltyWon,attPenGoal,attPostRight,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,expectedGoalsOnTarget,attemptsIbox,expectedGoalsOnTargetConceded,attemptsObox,touchesInOppBox,expectedAssists,expectedGoalsFreekick,attCmissHighLeft,attGoalHighLeft,attCmissHighRight,penGoalsConceded,expectedGoals,attGoalLowCentre,attLgCentre,defenderGoals,attFreekickGoal,ownGoals,attCorner,attIboxOwnGoal,attGoalHighCentre,attPostLeft,attObxdRight,attOboxPost,attLgLeft,attPenMiss,attPenPost
1,694904,2013-08-17 12:45:00,"Anfield, Liverpool",44822,Home,Liverpool,Stoke City,1,0,W,1,0,0,0,1.0,1.0,4.0,61.0,1.0,3.0,3.0,23.0,18.0,8.0,9.0,5.0,1.0,6.0,196.0,6.0,12.0,1.0,2.0,21.0,2.0,11.0,113.0,165.0,71.0,1.0,25.0,2.0,24.0,8.0,3.0,1.0,1.0,6.0,24.0,1.0,26.0,2.0,15.0,10.0,12.0,23.0,2.0,266.0,1.0,1.0,1.0,1.0,0.0,202.0,11.0,3.0,1.0,2.0,2.0,1.0,38.0,86.0,14.0,83.0,5.0,14.0,22.0,1.0,4.0,3.0,162.0,3.0,7.0,128.0,1.0,765.0,17.0,1.0,3.0,10.0,421.0,22.0,9.0,1.0,1.0,1.0,7.0,27.0,507.0,63.0,5.0,1.0,9631,8.0,170.0,4.0,8.0,1.0,192.0,5.0,22.0,6.0,74.0,7.0,2.0,4.0,1.0,15.0,5.0,4.0,2.0,51.0,430.0,11.0,6.0,3.0,16.0,76.0,1.0,0.0,1.0,1.0,6.0,3.0,1.0,0.0,1.0,2.0,2.0,55.3,27.0,1.0,3.0,2.0,4.0,5.0,1.0,46.0,12.0,1.0,1.0,520.0,10.0,16.0,8.0,9.0,21.0,5.0,5.0,352.0,14.0,12.0,15.0,150.0,30.0,1.0,1.0,6.0,34.0,19.0,1.0,30.0,1.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694911,2013-08-24 17:30:00,"Villa Park, Birmingham",42098,Away,Liverpool,Aston Villa,1,0,W,1,0,0,0,,,,56.0,,1.0,1.0,26.0,35.0,2.0,2.0,3.0,1.0,,182.0,1.0,9.0,1.0,,5.0,,1.0,135.0,156.0,57.0,,5.0,1.0,15.0,,1.0,,1.0,,9.0,,17.0,,33.0,2.0,37.0,31.0,,223.0,2.0,,1.0,,0.0,134.0,8.0,3.0,,,,,69.0,72.0,3.0,101.0,,7.0,19.0,,2.0,1.0,154.0,,7.0,128.0,,756.0,4.0,6.0,,15.0,445.0,26.0,19.0,1.0,3.0,5.0,2.0,22.0,533.0,69.0,,,9631,1.0,232.0,,5.0,,253.0,7.0,19.0,11.0,64.0,4.0,2.0,3.0,1.0,9.0,10.0,6.0,,48.0,454.0,9.0,11.0,,22.0,92.0,1.0,0.0,,3.0,8.0,2.0,,0.0,1.0,1.0,,52.6,19.0,,4.0,,3.0,2.0,,56.0,2.0,,,546.0,15.0,22.0,16.0,2.0,12.0,,1.0,302.0,2.0,37.0,18.0,92.0,22.0,1.0,2.0,17.0,23.0,5.0,2.0,18.0,2.0,9.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694924,2013-09-01 13:30:00,"Anfield, Liverpool",44411,Home,Liverpool,Manchester United,1,0,W,1,0,0,0,1.0,,,58.0,,3.0,2.0,20.0,33.0,7.0,2.0,4.0,,4.0,150.0,2.0,11.0,1.0,5.0,8.0,,5.0,85.0,138.0,69.0,2.0,11.0,1.0,21.0,,1.0,,,,5.0,,24.0,4.0,33.0,1.0,12.0,29.0,,149.0,1.0,,1.0,,0.0,102.0,15.0,1.0,1.0,1.0,2.0,,55.0,57.0,6.0,67.0,,4.0,14.0,2.0,1.0,2.0,138.0,1.0,4.0,77.0,,589.0,5.0,6.0,,18.0,280.0,26.0,15.0,1.0,2.0,4.0,2.0,19.0,361.0,55.0,,2.0,9631,2.0,142.0,,1.0,,168.0,3.0,14.0,10.0,57.0,1.0,1.0,2.0,,13.0,6.0,2.0,,55.0,289.0,15.0,7.0,2.0,19.0,82.0,1.0,0.0,1.0,,7.0,1.0,,0.0,1.0,1.0,1.0,43.0,13.0,,3.0,,2.0,3.0,,37.0,2.0,,,379.0,18.0,10.0,11.0,3.0,10.0,1.0,1.0,216.0,6.0,10.0,13.0,63.0,20.0,1.0,6.0,15.0,31.0,6.0,3.0,18.0,6.0,7.0,2.0,,1.0,4.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694939,2013-09-16 20:00:00,"Swansea.com Stadium, Swansea",20752,Away,Liverpool,Swansea City,2,2,D,2,1,0,0,,,,57.0,,5.0,,27.0,43.0,4.0,4.0,6.0,1.0,2.0,168.0,4.0,7.0,2.0,3.0,7.0,,5.0,97.0,129.0,43.0,1.0,12.0,2.0,22.0,2.0,,,,2.0,18.0,,11.0,1.0,43.0,7.0,21.0,27.0,,164.0,,,,1.0,0.0,92.0,10.0,5.0,,1.0,2.0,2.0,41.0,46.0,3.0,77.0,1.0,11.0,11.0,1.0,2.0,1.0,129.0,1.0,8.0,90.0,,637.0,5.0,9.0,,3.0,350.0,31.0,22.0,,3.0,3.0,4.0,19.0,419.0,49.0,1.0,,9631,4.0,199.0,1.0,7.0,,218.0,1.0,11.0,10.0,56.0,4.0,2.0,2.0,2.0,12.0,10.0,3.0,2.0,51.0,359.0,7.0,8.0,2.0,18.0,80.0,3.0,0.0,,1.0,3.0,2.0,,0.0,3.0,,2.0,41.1,17.0,1.0,1.0,1.0,2.0,2.0,1.0,46.0,7.0,,2.0,432.0,3.0,12.0,14.0,5.0,9.0,1.0,4.0,232.0,6.0,21.0,14.0,61.0,16.0,1.0,3.0,22.0,16.0,8.0,3.0,13.0,3.0,9.0,7.0,,,5.0,,1.0,,1.0,2.0,,1.0,1.0,1.0,,2.0,,3.0,,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694944,2013-09-21 15:00:00,"Anfield, Liverpool",44755,Home,Liverpool,Southampton,0,1,L,0,0,0,0,,,1.0,59.0,,2.0,,32.0,27.0,6.0,4.0,7.0,,4.0,189.0,2.0,24.0,,4.0,7.0,,5.0,108.0,178.0,70.0,2.0,10.0,1.0,14.0,1.0,1.0,,,1.0,18.0,,14.0,4.0,27.0,5.0,12.0,35.0,,179.0,,1.0,,,0.0,139.0,6.0,3.0,1.0,,2.0,,81.0,62.0,3.0,66.0,,13.0,13.0,2.0,3.0,1.0,178.0,1.0,8.0,102.0,,707.0,6.0,7.0,,17.0,351.0,30.0,16.0,,0.0,2.0,4.0,28.0,450.0,72.0,1.0,1.0,9631,2.0,183.0,1.0,8.0,,202.0,5.0,13.0,12.0,66.0,2.0,3.0,3.0,,10.0,4.0,8.0,3.0,63.0,360.0,9.0,8.0,1.0,20.0,86.0,,0.0,2.0,,6.0,4.0,,0.0,1.0,1.0,1.0,55.2,26.0,1.0,2.0,1.0,3.0,1.0,,51.0,6.0,,,465.0,17.0,18.0,18.0,4.0,13.0,1.0,3.0,281.0,5.0,12.0,18.0,88.0,22.0,,1.0,16.0,20.0,5.0,3.0,44.0,1.0,6.0,6.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694958,2013-09-29 16:00:00,"Stadium of Light, Sunderland",41415,Away,Liverpool,Sunderland,3,1,W,2,0,0,0,1.0,,,64.0,2.0,3.0,,36.0,54.0,8.0,2.0,4.0,1.0,3.0,153.0,7.0,8.0,3.0,2.0,9.0,,6.0,98.0,139.0,49.0,1.0,15.0,4.0,14.0,1.0,,,2.0,,30.0,,12.0,2.0,54.0,8.0,9.0,38.0,,188.0,,1.0,,,0.0,137.0,11.0,3.0,1.0,,1.0,1.0,47.0,62.0,7.0,58.0,2.0,22.0,12.0,1.0,7.0,2.0,139.0,2.0,8.0,110.0,,664.0,6.0,6.0,,9.0,339.0,27.0,32.0,3.0,1.0,7.0,2.0,17.0,405.0,58.0,,1.0,9631,4.0,169.0,,14.0,,191.0,4.0,12.0,12.0,52.0,1.0,1.0,4.0,2.0,12.0,15.0,7.0,1.0,49.0,350.0,8.0,5.0,,10.0,72.0,3.0,0.0,1.0,2.0,10.0,1.0,,0.0,4.0,,,53.7,15.0,,3.0,1.0,4.0,4.0,,47.0,8.0,,2.0,419.0,9.0,9.0,27.0,5.0,16.0,3.0,3.0,258.0,12.0,8.0,15.0,105.0,29.0,3.0,6.0,32.0,19.0,12.0,1.0,22.0,6.0,7.0,8.0,,1.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,1.0,2.0,,,,,,,1.0,1.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694964,2013-10-05 15:00:00,"Anfield, Liverpool",44721,Home,Liverpool,Crystal Palace,3,1,W,3,0,0,0,2.0,,1.0,64.0,1.0,,,47.0,33.0,3.0,3.0,1.0,1.0,3.0,223.0,3.0,17.0,3.0,2.0,9.0,,7.0,156.0,155.0,54.0,,13.0,2.0,10.0,4.0,3.0,2.0,1.0,,29.0,2.0,16.0,,33.0,9.0,37.0,36.0,,266.0,1.0,,,,0.0,177.0,11.0,1.0,,,1.0,,64.0,93.0,6.0,87.0,1.0,20.0,16.0,,4.0,1.0,155.0,2.0,5.0,148.0,,847.0,7.0,8.0,2.0,13.0,532.0,35.0,20.0,1.0,2.0,4.0,3.0,20.0,606.0,76.0,1.0,1.0,9631,5.0,277.0,2.0,15.0,,292.0,2.0,16.0,9.0,54.0,3.0,5.0,5.0,2.0,17.0,6.0,9.0,,60.0,540.0,6.0,6.0,1.0,10.0,92.0,,0.0,,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,61.0,18.0,1.0,6.0,,5.0,2.0,,67.0,11.0,,,614.0,13.0,18.0,23.0,4.0,21.0,2.0,1.0,351.0,9.0,37.0,12.0,139.0,18.0,2.0,2.0,20.0,20.0,11.0,3.0,28.0,2.0,7.0,11.0,,,3.0,3.0,3.0,1.0,1.0,2.0,,,,,,,4.0,2.0,,,,,1.0,,2.0,1.0,1.0,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,694976,2013-10-19 12:45:00,"St. James' Park, Newcastle",51703,Away,Liverpool,Newcastle United,2,2,D,1,1,0,1,,,1.0,60.0,,2.0,,35.0,31.0,10.0,6.0,2.0,,4.0,182.0,10.0,13.0,2.0,3.0,19.0,,7.0,153.0,131.0,57.0,1.0,23.0,2.0,15.0,3.0,3.0,1.0,1.0,2.0,31.0,1.0,14.0,2.0,31.0,10.0,16.0,40.0,,305.0,1.0,,,,0.0,221.0,10.0,1.0,,1.0,1.0,,56.0,65.0,7.0,69.0,2.0,21.0,12.0,1.0,5.0,6.0,131.0,2.0,2.0,151.0,,777.0,15.0,1.0,1.0,10.0,476.0,23.0,22.0,1.0,3.0,3.0,12.0,21.0,544.0,65.0,3.0,1.0,9631,9.0,191.0,1.0,15.0,,203.0,2.0,12.0,8.0,45.0,12.0,2.0,7.0,1.0,12.0,12.0,8.0,5.0,41.0,486.0,8.0,,3.0,9.0,70.0,,0.0,1.0,1.0,3.0,,1.0,0.0,5.0,,6.0,62.3,17.0,5.0,,,7.0,2.0,,55.0,13.0,,,555.0,10.0,7.0,20.0,14.0,28.0,5.0,7.0,383.0,11.0,16.0,19.0,183.0,30.0,1.0,2.0,22.0,17.0,15.0,2.0,27.0,2.0,3.0,13.0,,,4.0,3.0,2.0,1.0,2.0,2.0,,3.0,2.0,,,,2.0,1.0,,,1.0,,1.0,,1.0,2.0,1.0,,,1.0,1.0,,2.0,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,694984,2013-10-26 15:00:00,"Anfield, Liverpool",44747,Home,Liverpool,West Bromwich Albion,4,1,W,2,0,0,0,3.0,,,61.0,,,,40.0,26.0,10.0,6.0,1.0,1.0,3.0,195.0,5.0,15.0,4.0,7.0,13.0,1.0,7.0,133.0,115.0,57.0,3.0,18.0,1.0,18.0,2.0,1.0,1.0,2.0,,19.0,1.0,16.0,1.0,26.0,1.0,33.0,28.0,,258.0,1.0,1.0,,1.0,0.0,165.0,14.0,,,,3.0,2.0,70.0,83.0,6.0,76.0,1.0,18.0,19.0,3.0,4.0,7.0,115.0,2.0,11.0,121.0,,737.0,9.0,5.0,2.0,15.0,447.0,28.0,13.0,3.0,0.0,5.0,6.0,20.0,505.0,81.0,1.0,1.0,9631,6.0,205.0,2.0,11.0,1.0,211.0,1.0,12.0,11.0,56.0,4.0,1.0,4.0,3.0,10.0,4.0,4.0,3.0,61.0,458.0,11.0,10.0,,7.0,85.0,1.0,0.0,,3.0,9.0,2.0,1.0,0.0,5.0,,2.0,54.8,18.0,,6.0,,4.0,1.0,2.0,57.0,3.0,1.0,2.0,525.0,15.0,8.0,20.0,10.0,27.0,,2.0,333.0,10.0,32.0,12.0,123.0,21.0,4.0,2.0,13.0,21.0,14.0,3.0,25.0,2.0,12.0,3.0,2.0,3.0,1.0,1.0,3.0,,,1.0,1.0,3.0,1.0,2.0,,1.0,1.0,2.0,1.0,3.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,2.0,,,,,,,1.0,2.7053,8.0,1.1062,10.0,31.0,1.18319,0.167085,1.0,1.0,1.0,1.0,1.33895,,,,,,,,,,,,,,
10,695000,2013-11-02 17:30:00,"Emirates Stadium, London",60042,Away,Liverpool,Arsenal,0,2,L,0,1,0,0,,,3.0,81.0,,,1.0,28.0,28.0,4.0,4.0,5.0,,1.0,197.0,5.0,11.0,,5.0,10.0,1.0,4.0,127.0,148.0,60.0,,12.0,1.0,14.0,2.0,1.0,,,,20.0,,22.0,2.0,28.0,5.0,14.0,30.0,,231.0,1.0,,,,0.0,133.0,7.0,5.0,,1.0,3.0,1.0,36.0,73.0,5.0,78.0,2.0,15.0,22.0,,4.0,1.0,148.0,2.0,9.0,111.0,,745.0,10.0,13.0,1.0,18.0,424.0,41.0,17.0,,1.0,1.0,5.0,23.0,499.0,62.0,3.0,2.0,9631,1.0,210.0,2.0,8.0,,232.0,3.0,15.0,3.0,70.0,6.0,4.0,5.0,,9.0,3.0,2.0,1.0,41.0,436.0,10.0,15.0,,9.0,76.0,1.0,0.0,,1.0,3.0,5.0,,0.0,4.0,2.0,1.0,45.6,16.0,1.0,3.0,2.0,6.0,2.0,,60.0,5.0,,1.0,513.0,18.0,16.0,12.0,6.0,28.0,1.0,5.0,301.0,7.0,13.0,13.0,94.0,31.0,,1.0,17.0,27.0,12.0,2.0,29.0,1.0,15.0,5.0,,3.0,2.0,,,,,,,2.0,,1.0,1.0,,3.0,4.0,,,,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,8.0,,4.0,20.0,,,,,,,,,,,,,,,,,,,,,
