gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,accuratePullBack,attSvHighRight,attOboxGoal,interceptionsInBox,attMissRight,attOboxMiss,attLgCentre,attHdTarget,attMissHighLeft,sixYardBlock,attSetpiece,totalPullBack,attAssistSetplay,attSvLowRight,attCmissLeft,savedIbox,accurateFlickOn,attCmissRight,divingSave,attHdGoal,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,shotFastbreak,attOboxTarget,cleanSheet,totalFastbreak,midfielderGoals,attSvLowLeft,attGoalHighCentre,contentiousDecision,attCmissHigh,defenderGoals,attFastbreak,attGoalHighLeft,goalAssistIntentional,attSvHighCentre,goodHighClaim,accurateFreekickCross,attCmissHighRight,attObxRight,totalHighClaim,errorLeadToShot,punches,attSvHighLeft,clearanceOffLine,attFreekickTotal,goalFastbreak,freekickTotal,attFreekickTarget,ptsDroppedWinningPos,errorLeadToGoal,attOneOnOne,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,penaltySave,attPostLeft,subsGoals,ownGoals,attIboxOwnGoal,attHdPost,attObxdRight,penaltyWon,attPenMiss,attPenGoal,goalsConcededObox,attCmissHighLeft,attFreekickGoal,foulThrowIn
1,2292813,2022-08-06 12:30:00,"Craven Cottage, London",25000.0,Away,Liverpool,Fulham,2,2,D,0,1,0,0,1.0,1.0,2.0,24.0,70.0,1.0,1.0,40.0,14.0,2.0,3.0,9.0,1.0,1.0,1.0,221.0,1.0,19.0,5.0,4.0,2.0,1.0,8.0,4.0,166.0,203.0,35.0,11.0,1.0,23.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,18.0,1.0,9.0,1.0,14.0,4.0,9.0,70.0,206.0,1.0,0.0,164.0,9.0,1.0,1.0,52.0,90.0,4.0,80.0,14.0,19.0,2.0,5.0,203.0,3.0,7.0,145.0,811.0,7.0,3.0,34.0,2.0,10.0,456.0,30.0,3.0,6.0,1.0,2.0,0.0,4.0,4.0,35.0,592.0,74.0,1.0,97032,3.0,272.0,2.0,8.0,1.0,313.0,4.0,1.0,19.0,5.0,61.0,4.0,4.0,6.0,2.0,15.0,2.0,3.0,1.0,76.0,473.0,7.0,5.0,9.0,2.0,91.0,0.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,66.9,30.0,1.0,4.0,1.0,6.0,2.0,50.0,4.0,1.0,612.0,1.0,10.0,14.0,26.0,5.0,1.0,44.0,1.0,3.0,317.0,7.0,8.0,13.0,103.0,29.0,1.0,2.0,6.0,11.0,2.0,9.0,4.0,15.0,2.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292825,2022-08-15 20:00:00,"Anfield, Liverpool",52970.0,Home,Liverpool,Crystal Palace,1,1,D,0,1,1,0,,1.0,,27.0,81.0,1.0,7.0,50.0,8.0,7.0,10.0,16.0,2.0,,,225.0,,11.0,7.0,10.0,1.0,2.0,20.0,4.0,209.0,160.0,46.0,24.0,3.0,16.0,3.0,3.0,1.0,,1.0,,3.0,29.0,1.0,15.0,,8.0,4.0,4.0,69.0,368.0,1.0,0.0,214.0,7.0,1.0,2.0,93.0,132.0,12.0,127.0,25.0,14.0,8.0,13.0,160.0,3.0,5.0,180.0,951.0,18.0,2.0,45.0,1.0,13.0,633.0,31.0,4.0,3.0,1.0,,2.0,,8.0,27.0,726.0,97.0,2.0,97032,10.0,284.0,3.0,10.0,,297.0,4.0,1.0,14.0,5.0,59.0,2.0,3.0,4.0,1.0,16.0,2.0,4.0,,78.0,645.0,7.0,13.0,14.0,1.0,100.0,0.0,,2.0,,,,1.0,1.0,6.0,2.0,3.0,72.6,27.0,,6.0,1.0,4.0,10.0,75.0,4.0,,741.0,,13.0,12.0,42.0,10.0,1.0,60.0,1.0,5.0,473.0,11.0,3.0,9.0,154.0,40.0,1.0,1.0,3.0,20.0,1.0,22.0,4.0,21.0,1.0,7.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292836,2022-08-22 20:00:00,"Old Trafford, Manchester",,Away,Liverpool,Manchester United,1,2,L,0,1,0,0,,,,23.0,69.0,1.0,4.0,32.0,7.0,2.0,5.0,15.0,3.0,,2.0,200.0,,8.0,6.0,10.0,1.0,3.0,13.0,5.0,172.0,165.0,53.0,17.0,1.0,14.0,4.0,2.0,,1.0,,3.0,2.0,23.0,,11.0,,7.0,8.0,4.0,60.0,258.0,,0.0,183.0,7.0,,3.0,78.0,76.0,7.0,94.0,15.0,22.0,2.0,4.0,165.0,1.0,8.0,179.0,835.0,9.0,3.0,47.0,,6.0,523.0,28.0,2.0,4.0,,1.0,1.0,3.0,6.0,28.0,627.0,66.0,,97032,10.0,288.0,1.0,8.0,,320.0,6.0,,22.0,4.0,56.0,2.0,2.0,8.0,,14.0,5.0,4.0,1.0,54.0,540.0,10.0,11.0,5.0,8.0,77.0,0.0,,6.0,1.0,,,2.0,0.0,2.0,,4.0,70.5,25.0,1.0,5.0,1.0,8.0,5.0,58.0,8.0,,645.0,,6.0,21.0,29.0,7.0,,43.0,4.0,6.0,348.0,8.0,3.0,20.0,128.0,27.0,1.0,1.0,4.0,13.0,2.0,9.0,3.0,13.0,1.0,7.0,8.0,1.0,1.0,1.0,,1.0,4.0,1.0,,2.0,,,,2.0,4.0,,1.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292845,2022-08-27 15:00:00,"Anfield, Liverpool",53328.0,Home,Liverpool,Bournemouth,9,0,W,5,0,0,0,,,3.0,26.0,71.0,1.0,1.0,33.0,3.0,3.0,5.0,16.0,2.0,1.0,4.0,182.0,1.0,13.0,11.0,10.0,9.0,,15.0,12.0,216.0,136.0,45.0,19.0,,14.0,3.0,,,2.0,4.0,1.0,,20.0,,10.0,1.0,3.0,6.0,6.0,38.0,388.0,1.0,0.0,229.0,6.0,,,102.0,134.0,10.0,90.0,14.0,22.0,3.0,5.0,136.0,3.0,3.0,193.0,849.0,7.0,3.0,50.0,,9.0,578.0,24.0,1.0,1.0,6.0,2.0,0.0,1.0,5.0,19.0,669.0,93.0,2.0,97032,8.0,212.0,3.0,9.0,,226.0,2.0,4.0,22.0,3.0,46.0,3.0,3.0,5.0,5.0,12.0,2.0,3.0,2.0,63.0,589.0,5.0,6.0,17.0,7.0,81.0,0.0,,1.0,7.0,,,,0.0,6.0,,6.0,69.4,19.0,2.0,5.0,1.0,5.0,1.0,58.0,8.0,,681.0,,9.0,8.0,19.0,6.0,,44.0,5.0,6.0,475.0,8.0,6.0,18.0,174.0,36.0,4.0,,1.0,12.0,,12.0,5.0,22.0,,9.0,8.0,2.0,,1.0,2.0,,3.0,,,,,,,,2.0,,,1.0,1.0,3.0,,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292857,2022-08-31 20:00:00,"Anfield, Liverpool",53316.0,Home,Liverpool,Newcastle United,2,1,W,0,1,0,0,1.0,1.0,,17.0,69.0,1.0,6.0,36.0,4.0,6.0,6.0,16.0,1.0,,3.0,201.0,,6.0,10.0,11.0,2.0,2.0,17.0,6.0,151.0,172.0,43.0,23.0,3.0,22.0,3.0,3.0,,2.0,2.0,1.0,2.0,41.0,,5.0,,4.0,12.0,1.0,76.0,270.0,3.0,0.0,210.0,9.0,3.0,3.0,66.0,84.0,12.0,91.0,29.0,15.0,7.0,11.0,172.0,1.0,2.0,182.0,823.0,12.0,2.0,51.0,,6.0,506.0,28.0,,2.0,2.0,2.0,0.0,,5.0,24.0,606.0,83.0,2.0,97032,9.0,263.0,1.0,15.0,,283.0,5.0,2.0,15.0,6.0,58.0,2.0,2.0,9.0,1.0,10.0,3.0,5.0,1.0,74.0,523.0,10.0,6.0,9.0,7.0,86.0,0.0,1.0,,2.0,,,1.0,0.0,8.0,1.0,1.0,71.8,21.0,,10.0,3.0,9.0,9.0,45.0,13.0,,625.0,,6.0,10.0,38.0,8.0,,59.0,2.0,5.0,383.0,16.0,1.0,15.0,151.0,21.0,1.0,,2.0,7.0,1.0,14.0,3.0,24.0,,3.0,13.0,,,,,1.0,1.0,3.0,,,1.0,,2.0,2.0,3.0,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292864,2022-09-03 12:30:00,"Goodison Park, Liverpool",39240.0,Away,Liverpool,Everton,0,0,D,0,0,0,0,2.0,3.0,,19.0,54.0,2.0,4.0,32.0,16.0,3.0,8.0,20.0,4.0,,4.0,154.0,,12.0,11.0,3.0,,1.0,18.0,8.0,132.0,149.0,39.0,23.0,2.0,9.0,7.0,5.0,1.0,,,2.0,2.0,29.0,1.0,12.0,,16.0,8.0,1.0,48.0,219.0,2.0,0.0,163.0,11.0,,2.0,71.0,76.0,11.0,61.0,21.0,10.0,3.0,5.0,149.0,,11.0,122.0,682.0,14.0,2.0,46.0,3.0,12.0,364.0,31.0,1.0,8.0,,,2.0,5.0,7.0,34.0,451.0,70.0,,97032,12.0,172.0,1.0,14.0,,195.0,4.0,,10.0,8.0,41.0,,2.0,4.0,,15.0,3.0,8.0,1.0,56.0,380.0,7.0,4.0,10.0,6.0,73.0,0.0,,7.0,,,,,0.0,5.0,,7.0,60.9,28.0,4.0,3.0,1.0,4.0,6.0,48.0,9.0,,469.0,,12.0,14.0,24.0,9.0,1.0,43.0,6.0,8.0,303.0,8.0,1.0,14.0,117.0,16.0,,,8.0,15.0,,16.0,5.0,8.0,,4.0,9.0,,1.0,,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,1.0,,1.0,2.0,,,,,,1.0,1.0,,,3.0,,,1.0,,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2292876,2023-03-01 20:00:00,"Anfield, Liverpool",53259.0,Home,Liverpool,Wolverhampton Wanderers,2,0,W,0,0,0,0,,1.0,2.0,23.0,63.0,,,27.0,5.0,3.0,3.0,12.0,1.0,,2.0,185.0,,17.0,6.0,13.0,2.0,1.0,12.0,6.0,149.0,134.0,47.0,15.0,3.0,12.0,4.0,,,,1.0,2.0,3.0,17.0,,10.0,,5.0,5.0,7.0,50.0,196.0,,0.0,133.0,13.0,,1.0,58.0,73.0,7.0,90.0,12.0,14.0,3.0,5.0,134.0,3.0,4.0,104.0,713.0,7.0,4.0,34.0,,12.0,422.0,18.0,1.0,2.0,2.0,,2.0,1.0,5.0,27.0,507.0,45.0,,97032,10.0,249.0,1.0,6.0,,273.0,12.0,1.0,5.0,3.0,61.0,2.0,1.0,6.0,1.0,8.0,,1.0,1.0,44.0,439.0,13.0,15.0,5.0,3.0,92.0,0.0,2.0,2.0,2.0,,,,0.0,4.0,2.0,3.0,56.8,25.0,2.0,8.0,1.0,6.0,3.0,64.0,5.0,,528.0,,12.0,12.0,24.0,6.0,,31.0,2.0,6.0,272.0,8.0,7.0,9.0,85.0,30.0,1.0,1.0,2.0,12.0,,10.0,4.0,22.0,1.0,5.0,5.0,,2.0,,,1.0,2.0,,,,,,2.0,3.0,3.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,2.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,2292883,2023-04-04 20:00:00,"Stamford Bridge, London",40093.0,Away,Liverpool,Chelsea,0,0,D,0,0,0,0,,1.0,,25.0,68.0,,2.0,27.0,17.0,4.0,1.0,2.0,2.0,,3.0,167.0,,9.0,1.0,11.0,,,4.0,4.0,155.0,151.0,36.0,7.0,1.0,8.0,,1.0,,1.0,,,,13.0,,7.0,,17.0,5.0,8.0,52.0,193.0,,0.0,140.0,17.0,,,56.0,68.0,4.0,82.0,8.0,22.0,5.0,4.0,151.0,,9.0,133.0,719.0,3.0,5.0,17.0,,6.0,432.0,29.0,3.0,8.0,,1.0,4.0,3.0,,25.0,516.0,55.0,1.0,92217,1.0,257.0,,4.0,,279.0,10.0,,12.0,9.0,65.0,1.0,3.0,,,19.0,3.0,7.0,,54.0,449.0,2.0,16.0,10.0,2.0,71.0,0.0,1.0,3.0,,,,,0.0,,,,50.4,21.0,,10.0,,,3.0,43.0,5.0,,537.0,,6.0,16.0,32.0,,,23.0,1.0,,271.0,6.0,6.0,10.0,99.0,28.0,,1.0,8.0,13.0,,5.0,4.0,19.0,1.0,12.0,5.0,,,1.0,,3.0,,,1.0,,,1.0,,1.0,1.0,1.0,,3.0,3.0,,2.0,,,,,,4.0,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,2292896,2022-10-01 15:00:00,"Anfield, Liverpool",53320.0,Home,Liverpool,Brighton and Hove Albion,3,3,D,1,2,0,0,3.0,1.0,2.0,25.0,68.0,,2.0,26.0,16.0,3.0,6.0,12.0,3.0,1.0,2.0,182.0,1.0,11.0,3.0,8.0,3.0,3.0,9.0,7.0,129.0,166.0,46.0,15.0,,8.0,4.0,2.0,,,2.0,3.0,,25.0,,9.0,,16.0,8.0,1.0,54.0,256.0,,0.0,191.0,9.0,1.0,2.0,108.0,58.0,6.0,95.0,17.0,18.0,3.0,6.0,166.0,4.0,6.0,124.0,753.0,6.0,3.0,45.0,1.0,9.0,416.0,21.0,1.0,10.0,2.0,,1.0,,3.0,26.0,512.0,83.0,,97032,9.0,179.0,3.0,9.0,,198.0,4.0,1.0,10.0,1.0,48.0,,1.0,7.0,2.0,21.0,,1.0,1.0,56.0,432.0,13.0,11.0,11.0,3.0,75.0,0.0,,2.0,3.0,,,3.0,0.0,2.0,1.0,3.0,53.8,25.0,1.0,6.0,1.0,7.0,2.0,50.0,9.0,,530.0,,9.0,16.0,25.0,6.0,,41.0,1.0,4.0,357.0,6.0,1.0,11.0,133.0,32.0,2.0,2.0,10.0,14.0,3.0,10.0,5.0,15.0,2.0,10.0,9.0,1.0,,,,3.0,4.0,2.0,,2.0,1.0,,1.0,,1.0,,,3.0,2.0,1.0,2.0,,,,,1.0,1.0,,2.0,,2.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10,2292901,2022-10-09 16:30:00,"Emirates Stadium, London",59968.0,Away,Liverpool,Arsenal,2,3,L,1,2,0,0,2.0,,1.0,25.0,47.0,,,28.0,19.0,3.0,3.0,5.0,4.0,1.0,1.0,148.0,1.0,11.0,1.0,4.0,2.0,,5.0,3.0,133.0,145.0,39.0,8.0,3.0,13.0,1.0,2.0,,,2.0,1.0,,12.0,,7.0,,19.0,3.0,1.0,53.0,187.0,,0.0,117.0,11.0,,,61.0,45.0,3.0,69.0,9.0,11.0,3.0,3.0,145.0,1.0,10.0,138.0,670.0,2.0,3.0,19.0,,8.0,377.0,21.0,1.0,8.0,2.0,,2.0,3.0,2.0,29.0,467.0,47.0,1.0,97032,2.0,209.0,,6.0,1.0,237.0,6.0,1.0,4.0,3.0,46.0,2.0,6.0,10.0,2.0,11.0,1.0,2.0,1.0,56.0,395.0,10.0,8.0,6.0,1.0,68.0,0.0,,4.0,2.0,,,3.0,0.0,,1.0,1.0,56.0,21.0,1.0,2.0,1.0,10.0,3.0,34.0,3.0,1.0,488.0,1.0,8.0,11.0,22.0,2.0,,20.0,1.0,2.0,263.0,4.0,1.0,10.0,79.0,12.0,1.0,1.0,8.0,15.0,3.0,7.0,5.0,9.0,1.0,4.0,3.0,1.0,,,,2.0,1.0,,,,,,,,1.0,,,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
