gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,attSvHighLeft,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,wonCorners,attLfTarget,bigChanceScored,attMissLeft,ptsGainedLosingPos,attSvLowLeft,freekickCross,goodHighClaim,interceptionsInBox,penaltyConceded,blockedPass,attCmissHigh,attCmissLeft,shieldBallOop,penaltyFaced,totalHighClaim,penGoalsConceded,successfulPutThrough,handBall,accuratePullBack,goalAssistOpenplay,attSvLowCentre,attOneOnOne,goalAssist,accurateThroughBall,accurateFreekickCross,totalThroughBall,attAssistSetplay,attSvLowRight,punches,goalAssistIntentional,effectiveBlockedCross,attIboxOwnGoal,blockedCross,attFreekickTotal,shotFastbreak,accurateKeeperSweeper,goalFastbreak,totalFastbreak,freekickTotal,attHdTarget,attMissHighLeft,totalKeeperSweeper,expectedGoalsFreekick,attFastbreak,attFreekickMiss,attSvHighRight,cleanSheet,attFreekickTarget,forwardGoals,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,attMissHighRight,ptsDroppedWinningPos,attLgCentre,attPostLeft,attOboxPost,foulThrowIn,attObxRight,attPostRight,penaltyWon,attCmissHighLeft,attCmissHighRight,attFreekickPost
1,2561897,2025-08-16 15:00:00,"American Express Stadium, Falmer",31478.0,Away,Fulham,Brighton and Hove Albion,1,1,D,0.0,0.0,0,0,0.0,38.0,0.0,1.0,2.0,,0.7315,29.0,15.0,2.0,3.0,5.0,3.0,1.0,,151.0,0.0,3.0,5.0,1.0,1.0,5.0,,2.0,98.0,122.0,44.0,7.0,1.0,14.0,1.0,,,14.0,,8.0,0.0,,15.0,3.0,8.0,28.0,1.0209,143.0,0.0,0.0,100.0,15.0,0.0,2.0,,0.0,60.0,40.0,2.0,78.0,,11.0,13.0,2.0,0.0,0.0,3.0,1.0,122.0,,,6.0,1.0,96.0,,583.0,5.0,3.0,19.0,,2.0,324.0,9.0,6.0,7.0,3.0,1.0,3.0,0.505336,20.0,393.0,49.0,1.0,33.25,159533,1.0,209.0,,7.0,,,228.0,6.0,107226.55,0.0,,10.0,51.0,0.0,0.0,2.0,6.0,0.0,11.0,4.0,9.0,2.0,0.0,53.0,349.0,16.0,4.0,22.0,1.0,54.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,,1.0,,0.0,2.0,1.0,50.2,18.0,1.0,1.0,1.0,,7.0,1.0,,29.0,3.0,423.0,2.0,11.0,14.0,4.0,22.0,1.0,3.0,209.0,3.0,6.0,10.0,64.0,18.0,7.0,15.0,0.0,1.0,6.0,5.0,13.0,0.7603,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561911,2025-08-24 16:30:00,"Craven Cottage, London",27512.0,Home,Fulham,Manchester United,1,1,D,0.0,0.0,0,0,0.0,36.0,1.0,0.0,1.0,4.0,1.374,21.0,24.0,3.0,1.0,10.0,3.0,0.0,3.0,126.0,0.0,10.0,2.0,1.0,2.0,9.0,,4.0,111.0,125.0,41.0,13.0,1.0,23.0,2.0,1.0,,33.0,,8.0,0.0,1.0,24.0,9.0,13.0,20.0,0.5612,191.0,0.0,0.0,138.0,12.0,0.0,2.0,,0.0,54.0,70.0,7.0,76.0,2.0,24.0,17.0,3.0,0.0,0.0,9.0,1.0,125.0,3.0,,9.0,1.0,106.0,,611.0,6.0,4.0,38.0,,8.0,337.0,11.0,3.0,14.0,1.0,1.0,2.0,2.08083,21.0,399.0,47.0,,34.82,212314,1.0,172.0,2.0,13.0,1.0,,187.0,5.0,106068.29,1.0,2.0,9.0,53.0,1.0,0.0,2.0,4.0,1.0,14.0,2.0,5.0,2.0,0.0,43.0,353.0,9.0,2.0,17.0,7.0,46.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,1.0,,1.0,2.0,0.0,5.0,4.0,52.4,19.0,3.0,2.0,3.0,,4.0,5.0,,26.0,9.0,419.0,8.0,6.0,14.0,4.0,40.0,5.0,3.0,265.0,8.0,13.0,20.0,113.0,18.0,14.0,10.0,0.0,1.0,6.0,4.0,13.0,1.7567,9.0,,1.0,,1.0,1.0,2.0,,,1.0,4.0,1.0,,3.0,1.0,,,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561917,2025-08-30 12:30:00,"Stamford Bridge, London",39745.0,Away,Fulham,Chelsea,0,2,L,0.0,1.0,0,0,0.0,46.0,0.0,0.0,2.0,2.0,0.1025,25.0,20.0,3.0,3.0,8.0,4.0,0.0,1.0,143.0,0.0,5.0,3.0,0.0,3.0,9.0,,3.0,109.0,127.0,56.0,11.0,,17.0,2.0,,,15.0,,12.0,0.0,1.0,20.0,3.0,6.0,33.0,3.1877,139.0,0.0,0.0,94.0,17.0,0.0,3.0,,0.0,59.0,34.0,5.0,67.0,1.0,12.0,8.0,3.0,0.0,0.0,2.0,2.0,127.0,1.0,1.0,10.0,0.0,96.0,,610.0,7.0,4.0,20.0,,6.0,316.0,17.0,3.0,8.0,2.0,6.0,4.0,0.468234,20.0,392.0,49.0,1.0,34.03,232892,6.0,203.0,1.0,8.0,,,230.0,10.0,112319.18,0.0,1.0,8.0,60.0,0.0,0.0,1.0,8.0,0.0,17.0,3.0,6.0,1.0,0.0,62.0,337.0,11.0,8.0,24.0,3.0,58.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,,2.0,2.0,0.0,3.0,3.0,46.2,19.0,2.0,4.0,,,8.0,2.0,,28.0,4.0,415.0,6.0,7.0,14.0,6.0,25.0,2.0,4.0,200.0,5.0,6.0,13.0,64.0,15.0,8.0,29.0,0.0,2.0,7.0,5.0,15.0,1.023,4.0,1.0,,3.0,,1.0,2.0,1.0,1.0,1.0,4.0,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,,3.0,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0393,1.0,1.0,,,,,,,,,,,,,,,,,,,
4,2561931,2025-09-13 15:00:00,"Craven Cottage, London",27327.0,Home,Fulham,Leeds United,1,0,W,0.0,0.0,0,0,0.0,42.0,0.0,0.0,1.0,,0.8843,19.0,23.0,2.0,1.0,3.0,3.0,0.0,1.0,149.0,0.0,3.0,6.0,1.0,3.0,4.0,,3.0,117.0,131.0,59.0,5.0,,20.0,1.0,,,22.0,,16.0,0.0,2.0,23.0,3.0,9.0,23.0,0.516,211.0,0.0,0.0,131.0,20.0,0.0,1.0,1.0,0.0,66.0,54.0,2.0,64.0,1.0,19.0,18.0,2.0,0.0,0.0,8.0,,131.0,2.0,,7.0,0.0,121.0,,650.0,4.0,8.0,10.0,,6.0,362.0,16.0,2.0,9.0,1.0,4.0,2.0,0.613838,25.0,429.0,76.0,,34.45,159533,2.0,174.0,2.0,9.0,,,191.0,8.0,105166.99,0.0,1.0,7.0,60.0,0.0,0.0,1.0,5.0,0.0,17.0,3.0,6.0,1.0,0.0,39.0,382.0,15.0,4.0,6.0,,52.0,0.0,0.0,0.0,0.0,,3.0,2.0,0.0,,0.0,1.0,0.0,3.0,2.0,54.0,18.0,1.0,3.0,,,5.0,,,35.0,3.0,451.0,6.0,9.0,7.0,2.0,38.0,,2.0,282.0,2.0,8.0,14.0,90.0,18.0,9.0,24.0,0.0,0.0,4.0,5.0,15.0,0.8471,3.0,1.0,,,,,2.0,,,,9.0,,,,,,,9.0,,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,,0.1211,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
5,2561939,2025-09-20 20:00:00,"Craven Cottage, London",26113.0,Home,Fulham,Brentford,3,1,W,2.0,1.0,0,0,0.0,43.0,1.0,0.0,,1.0,0.8459,22.0,39.0,6.0,6.0,8.0,2.0,1.0,,135.0,1.0,5.0,8.0,3.0,1.0,11.0,,3.0,113.0,125.0,54.0,14.0,5.0,10.0,1.0,1.0,,13.0,,9.0,0.0,,39.0,2.0,11.0,20.0,0.8847,166.0,0.0,0.0,99.0,11.0,0.0,,,2.0,44.0,71.0,7.0,77.0,1.0,11.0,18.0,6.0,0.0,0.0,1.0,1.0,125.0,2.0,1.0,8.0,0.0,131.0,,663.0,7.0,3.0,27.0,,6.0,368.0,19.0,6.0,25.0,4.0,3.0,4.0,0.615055,16.0,434.0,40.0,1.0,34.06,232892,4.0,221.0,1.0,10.0,,1.0,242.0,4.0,112070.42,1.0,,5.0,36.0,0.0,0.0,2.0,6.0,2.0,25.0,,1.0,2.0,0.0,49.0,382.0,13.0,4.0,23.0,2.0,63.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,2.0,,1.0,,0.0,4.0,2.0,53.0,14.0,2.0,1.0,1.0,,6.0,6.0,,36.0,2.0,456.0,6.0,9.0,11.0,5.0,16.0,1.0,4.0,227.0,6.0,10.0,15.0,71.0,17.0,25.0,19.0,0.0,1.0,11.0,5.0,12.0,1.0051,2.0,1.0,2.0,2.0,3.0,,,1.0,2.0,,8.0,1.0,,,,1.0,,8.0,,,2.0,1.0,,2.0,1.0,,2.0,2.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
6,2561945,2025-09-28 14:00:00,"Villa Park, Birmingham",40350.0,Away,Fulham,Aston Villa,1,3,L,1.0,1.0,0,0,1.0,52.0,0.0,1.0,1.0,1.0,0.7571,26.0,23.0,2.0,5.0,9.0,1.0,0.0,2.0,128.0,0.0,7.0,11.0,1.0,3.0,7.0,,4.0,100.0,116.0,46.0,11.0,2.0,14.0,3.0,,,30.0,,7.0,0.0,,23.0,7.0,4.0,31.0,1.704,155.0,0.0,0.0,114.0,13.0,0.0,1.0,,0.0,70.0,35.0,5.0,64.0,,23.0,21.0,2.0,0.0,0.0,5.0,,116.0,1.0,1.0,4.0,0.0,122.0,,611.0,6.0,2.0,27.0,,9.0,339.0,24.0,1.0,11.0,4.0,2.0,2.0,0.846442,18.0,395.0,56.0,1.0,35.33,159533,7.0,209.0,1.0,16.0,,,231.0,3.0,111007.39,0.0,1.0,4.0,38.0,0.0,0.0,4.0,3.0,0.0,16.0,5.0,4.0,1.0,0.0,46.0,357.0,10.0,5.0,7.0,1.0,43.0,0.0,0.0,0.0,0.0,,2.0,,1.0,,3.0,1.0,0.0,6.0,3.0,51.7,13.0,1.0,3.0,1.0,,4.0,3.0,,26.0,8.0,414.0,9.0,4.0,19.0,4.0,36.0,1.0,4.0,213.0,3.0,4.0,9.0,89.0,16.0,11.0,16.0,1.0,2.0,9.0,5.0,17.0,0.9233,8.0,,,2.0,,,2.0,2.0,,,8.0,1.0,,,,2.0,,8.0,1.0,1.0,,2.0,,1.0,2.0,1.0,2.0,,1.0,,1.0,2.0,,2.0,,2.0,2.0,,2.0,,1.0,,2.0,,2.0,,,,,1.0,,1.0,1.0,1.0,3.0,,,,,,,,,,
7,2561955,2025-10-03 20:00:00,"Vitality Stadium, Bournemouth",11165.0,Away,Fulham,Bournemouth,1,3,L,0.0,0.0,0,0,1.0,54.0,0.0,0.0,1.0,2.0,1.0641,22.0,38.0,7.0,7.0,5.0,3.0,1.0,1.0,158.0,0.0,3.0,9.0,1.0,1.0,9.0,1.0,4.0,120.0,136.0,33.0,12.0,2.0,11.0,1.0,,,17.0,,9.0,0.0,2.0,38.0,3.0,7.0,35.0,1.808,178.0,0.0,0.0,149.0,10.0,0.0,3.0,,1.0,61.0,49.0,7.0,74.0,1.0,14.0,21.0,7.0,1.0,0.0,1.0,3.0,136.0,1.0,,6.0,0.0,121.0,,654.0,8.0,2.0,17.0,,7.0,360.0,29.0,5.0,17.0,1.0,3.0,2.0,1.00707,19.0,446.0,55.0,1.0,34.37,232892,3.0,208.0,,12.0,2.0,,245.0,5.0,119024.89,0.0,1.0,14.0,40.0,0.0,0.0,2.0,2.0,1.0,17.0,5.0,13.0,2.0,0.0,57.0,383.0,7.0,10.0,24.0,2.0,54.0,0.0,0.0,0.0,0.0,,4.0,2.0,1.0,,3.0,1.0,0.0,3.0,1.0,46.5,16.0,,3.0,1.0,,2.0,4.0,,24.0,3.0,473.0,7.0,7.0,14.0,4.0,28.0,,1.0,245.0,4.0,6.0,6.0,112.0,18.0,17.0,11.0,0.0,2.0,8.0,5.0,12.0,0.8824,3.0,2.0,1.0,,,,1.0,1.0,1.0,,9.0,,,,,1.0,,9.0,1.0,,1.0,2.0,1.0,1.0,2.0,,3.0,,1.0,2.0,1.0,2.0,,2.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,3.0,,,,,,,,,,
8,2561968,2025-10-18 17:30:00,"Craven Cottage, London",27736.0,Home,Fulham,Arsenal,0,1,L,0.0,0.0,0,0,0.0,44.0,0.0,0.0,,2.0,,19.0,35.0,3.0,7.0,6.0,4.0,0.0,,118.0,0.0,2.0,6.0,0.0,1.0,8.0,1.0,,70.0,117.0,38.0,9.0,1.0,22.0,,2.0,,18.0,,13.0,0.0,,35.0,6.0,2.0,34.0,1.4233,100.0,0.0,0.0,66.0,11.0,0.0,4.0,,0.0,33.0,35.0,3.0,51.0,2.0,12.0,14.0,3.0,0.0,0.0,5.0,2.0,117.0,,,14.0,0.0,74.0,,504.0,6.0,5.0,16.0,,7.0,234.0,22.0,5.0,16.0,0.0,4.0,5.0,0.241329,17.0,294.0,37.0,,33.5,560552,3.0,150.0,,6.0,,,167.0,4.0,109892.3,0.0,1.0,11.0,52.0,0.0,0.0,,5.0,0.0,20.0,2.0,7.0,1.0,0.0,54.0,248.0,4.0,10.0,19.0,3.0,59.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,0.0,,1.0,1.0,0.0,,,37.0,11.0,,1.0,1.0,,6.0,3.0,,23.0,6.0,313.0,7.0,5.0,16.0,6.0,28.0,2.0,4.0,164.0,2.0,2.0,8.0,44.0,10.0,16.0,20.0,0.0,1.0,6.0,5.0,10.0,0.4403,6.0,,,2.0,,,1.0,2.0,2.0,1.0,8.0,,1.0,1.0,,2.0,,8.0,,,,,,,,,1.0,2.0,,2.0,,1.0,,1.0,,2.0,1.0,,2.0,,,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,
9,2561983,2025-10-25 15:00:00,"St. James' Park, Newcastle",52152.0,Away,Fulham,Newcastle United,1,2,L,0.0,1.0,0,0,0.0,48.0,0.0,0.0,2.0,3.0,2.6891,22.0,21.0,4.0,3.0,8.0,5.0,0.0,4.0,138.0,1.0,1.0,5.0,1.0,,7.0,,5.0,114.0,140.0,46.0,12.0,2.0,14.0,2.0,2.0,,13.0,,11.0,0.0,2.0,21.0,3.0,13.0,33.0,2.1465,147.0,0.0,0.0,106.0,18.0,0.0,2.0,,1.0,49.0,44.0,6.0,75.0,,10.0,18.0,4.0,0.0,0.0,2.0,,140.0,,,10.0,0.0,117.0,,627.0,6.0,2.0,25.0,1.0,9.0,336.0,24.0,6.0,9.0,2.0,5.0,1.0,0.318324,23.0,422.0,48.0,1.0,34.73,159533,3.0,205.0,1.0,8.0,,,241.0,6.0,110770.79,0.0,1.0,8.0,52.0,0.0,0.0,1.0,4.0,1.0,16.0,8.0,3.0,,0.0,50.0,351.0,11.0,6.0,16.0,1.0,55.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,,2.0,,0.0,,2.0,49.2,20.0,1.0,3.0,1.0,1.0,4.0,5.0,,28.0,3.0,444.0,9.0,7.0,13.0,2.0,15.0,1.0,2.0,216.0,7.0,11.0,11.0,72.0,16.0,9.0,19.0,1.0,2.0,11.0,5.0,12.0,1.5272,3.0,,1.0,2.0,,1.0,,,1.0,,7.0,,,3.0,,,,7.0,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,
10,2561988,2025-11-01 15:00:00,"Craven Cottage, London",26413.0,Home,Fulham,Wolverhampton Wanderers,3,0,W,1.0,0.0,0,1,0.0,48.0,1.0,0.0,,6.0,1.9238,19.0,22.0,8.0,10.0,11.0,2.0,2.0,2.0,170.0,1.0,6.0,7.0,3.0,6.0,16.0,1.0,6.0,145.0,129.0,40.0,19.0,2.0,15.0,2.0,2.0,1.0,21.0,1.0,2.0,0.0,2.0,22.0,8.0,10.0,35.0,0.0973,239.0,1.0,0.0,161.0,13.0,0.0,,1.0,1.0,90.0,58.0,12.0,86.0,2.0,14.0,13.0,8.0,0.0,0.0,1.0,3.0,129.0,1.0,,3.0,0.0,148.0,,751.0,12.0,,37.0,1.0,4.0,459.0,21.0,,13.0,1.0,1.0,4.0,1.09054,31.0,529.0,58.0,,35.95,560552,4.0,244.0,1.0,11.0,1.0,1.0,263.0,3.0,110827.54,0.0,2.0,4.0,46.0,0.0,1.0,3.0,10.0,2.0,15.0,2.0,4.0,2.0,0.0,41.0,477.0,13.0,2.0,6.0,2.0,59.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,,0.0,,0.0,3.0,,63.3,25.0,,3.0,3.0,,10.0,8.0,,40.0,10.0,549.0,4.0,9.0,16.0,5.0,33.0,4.0,1.0,307.0,9.0,9.0,14.0,123.0,14.0,13.0,6.0,0.0,0.0,16.0,5.0,15.0,1.3868,10.0,2.0,1.0,,,1.0,2.0,1.0,1.0,,4.0,,,,,1.0,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,1.0,3.0,,3.0,,2.0,,,2.0,,,,,,2.0,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,
