gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attFreekickGoal,goalsConcededObox,redCard,attIboxGoal,goalsConceded,attOboxGoal,yellowCard,attGoalLowLeft,attGoalLowRight,totalRedCard,winningGoal,midfielderGoals,fastestPlayer,attLfGoal,attGoalLowCentre,attRfGoal,goals,attGoalHighCentre,keeperGoals,ownGoals,defenderGoals,goalsOpenplay,subsGoals,attPenGoal,attHdGoal,goalsConcededIbox,attGoalHighLeft,attGoalHighRight,attObpGoal,totalYelCard,handBall,ballRecovery,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,lostCorners,savedIbox,accurateFlickOn,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,attLgLeft,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,postScoringAtt,goalAssistOpenplay,attIboxPost,attSvLowLeft,goodHighClaim,interceptionsInBox,attHdPost,attHdTarget,hitWoodwork,goalAssist,totalOffside,attMissHigh,attCorner,goalAssistIntentional,attBxLeft,totalHighClaim,attPostRight,accurateCornersIntobox,ptsDroppedWinningPos,attLfTarget,savedObox,goalAssistSetplay,shotFastbreak,attOneOnOne,penaltyWon,divingSave,totalFastbreak,accurateThroughBall,attFastbreak,attCmissLeft,shieldBallOop,foulThrowIn,attBxRight,accurateKeeperSweeper,attSvHighRight,totalKeeperSweeper,sixYardBlock,totalPullBack,attMissHighRight,attMissHighLeft,attCmissHigh,punches,attPostHigh,accuratePullBack,overrun,attOboxPost,errorLeadToGoal,attPostLeft,penaltyConceded,penaltyFaced,penGoalsConceded,ptsGainedLosingPos,attSvHighLeft,attObxRight,attCmissHighLeft,goalAssistDeadball,attObxdLeft,attFreekickMiss,secondYellow,attCmissHighRight,attIboxOwnGoal,penaltySave,attFreekickTarget
1,2561902,2025-08-17 14:00:00,"Stamford Bridge, London",39678.0,Away,Crystal Palace,Chelsea,0,0,D,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,35.0,1.0,0.2606,18.0,41.0,5.0,2.0,4.0,2.0,4.0,82.0,1.0,5.0,2.0,5.0,1.0,4.0,57.0,101.0,47.0,1.0,11.0,3.0,17.0,1.0,2.0,2.0,11.0,13.0,3.0,41.0,2.0,5.0,23.0,0.6538,61.0,1.0,44.0,12.0,3.0,32.0,15.0,4.0,25.0,1.0,9.0,11.0,7.0,1.0,4.0,1.0,101.0,1.0,1.0,11.0,62.0,410.0,1.0,4.0,5.0,8.0,7.0,152.0,17.0,6.0,25.0,10.0,1.0,0.093333,18.0,204.0,0.1562,28.0,1.0,1.0,34.07,437499,4.0,107.0,1.0,2.0,2.0,125.0,3.0,105191.01,5.0,14.0,52.0,1.0,1.0,15.0,8.0,10.0,43.0,168.0,10.0,12.0,1.0,17.0,49.0,1.0,11.0,3.0,2.0,1.0,1.0,28.5,15.0,1.0,1.0,1.0,2.0,4.0,1.0,31.0,2.0,226.0,7.0,11.0,13.0,1.0,3.0,18.0,2.0,112.0,8.0,5.0,16.0,23.0,14.0,1.0,2.0,25.0,16.0,6.0,2.0,7.0,0.6573,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561909,2025-08-24 14:00:00,"Selhurst Park, London",24876.0,Home,Crystal Palace,Nottingham Forest,1,1,D,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,43.0,,0.8252,8.0,21.0,1.0,2.0,7.0,,1.0,139.0,6.0,3.0,1.0,7.0,1.0,4.0,108.0,128.0,49.0,,8.0,,17.0,2.0,2.0,1.0,18.0,11.0,1.0,21.0,1.0,9.0,27.0,0.2584,128.0,,110.0,11.0,,53.0,36.0,4.0,41.0,1.0,17.0,16.0,1.0,,7.0,,128.0,2.0,,8.0,89.0,534.0,,4.0,5.0,21.0,7.0,267.0,16.0,2.0,14.0,1.0,3.0,0.904364,14.0,351.0,,51.0,,,32.61,232185,6.0,165.0,1.0,10.0,1.0,184.0,6.0,104795.25,7.0,11.0,45.0,1.0,2.0,10.0,1.0,9.0,49.0,287.0,11.0,6.0,2.0,21.0,67.0,,3.0,,,5.0,4.0,42.1,12.0,1.0,2.0,,2.0,,,27.0,1.0,377.0,7.0,8.0,9.0,,4.0,26.0,3.0,211.0,2.0,9.0,16.0,62.0,21.0,1.0,3.0,14.0,20.0,5.0,3.0,7.0,1.1023,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561915,2025-08-31 19:00:00,"Villa Park, Birmingham",41036.0,Away,Crystal Palace,Aston Villa,3,0,W,1.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,,48.0,,2.4469,17.0,37.0,1.0,1.0,5.0,4.0,,136.0,2.0,6.0,2.0,4.0,,4.0,82.0,95.0,48.0,,6.0,1.0,6.0,1.0,1.0,1.0,11.0,16.0,,37.0,,7.0,25.0,1.0148,169.0,1.0,96.0,14.0,1.0,59.0,53.0,3.0,72.0,,11.0,12.0,1.0,,1.0,,95.0,3.0,,10.0,96.0,566.0,,3.0,6.0,14.0,10.0,317.0,21.0,4.0,21.0,1.0,1.0,1.1862,9.0,368.0,,51.0,,1.0,32.7,209036,2.0,161.0,2.0,9.0,,180.0,7.0,115843.16,4.0,10.0,37.0,4.0,5.0,11.0,3.0,6.0,39.0,328.0,7.0,7.0,,14.0,49.0,,10.0,3.0,2.0,2.0,2.0,41.6,7.0,1.0,4.0,,6.0,1.0,,30.0,1.0,386.0,10.0,9.0,15.0,,1.0,17.0,1.0,217.0,3.0,7.0,9.0,66.0,15.0,2.0,6.0,21.0,26.0,4.0,4.0,8.0,2.6496,6.0,4.0,1.0,2.0,,,,,4.0,2.0,,,,1.0,2.0,,,1.0,1.0,4.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561929,2025-09-13 15:00:00,"Selhurst Park, London",25154.0,Home,Crystal Palace,Sunderland,0,0,D,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,2.0,1.3646,27.0,25.0,6.0,3.0,8.0,,4.0,154.0,5.0,2.0,2.0,8.0,,6.0,140.0,125.0,33.0,,14.0,2.0,21.0,4.0,1.0,3.0,20.0,6.0,2.0,25.0,5.0,5.0,26.0,,173.0,1.0,112.0,10.0,2.0,55.0,50.0,5.0,56.0,,15.0,16.0,6.0,,7.0,2.0,125.0,1.0,,5.0,141.0,656.0,,7.0,9.0,21.0,6.0,396.0,15.0,8.0,17.0,2.0,3.0,1.01059,23.0,474.0,,45.0,,1.0,34.73,244723,4.0,242.0,3.0,6.0,2.0,265.0,4.0,111356.99,10.0,8.0,53.0,5.0,5.0,12.0,1.0,5.0,58.0,410.0,7.0,11.0,1.0,20.0,79.0,2.0,3.0,,4.0,4.0,2.0,55.9,19.0,1.0,4.0,,5.0,4.0,,46.0,5.0,491.0,6.0,5.0,8.0,,4.0,38.0,2.0,246.0,9.0,5.0,14.0,75.0,15.0,,2.0,17.0,10.0,7.0,2.0,10.0,1.7696,2.0,10.0,5.0,,,,,3.0,,2.0,,,,,,1.0,2.0,,,,,1.0,,2.0,,,,1.0,,,,1.0,,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,2561943,2025-09-20 15:00:00,"London Stadium, London",62455.0,Away,Crystal Palace,West Ham United,2,1,W,1.0,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,,39.0,4.0,1.3703,22.0,35.0,4.0,5.0,14.0,2.0,,123.0,8.0,5.0,3.0,13.0,2.0,3.0,94.0,104.0,70.0,,18.0,2.0,18.0,1.0,,,18.0,16.0,,35.0,7.0,3.0,27.0,1.5549,127.0,,94.0,5.0,2.0,37.0,34.0,4.0,51.0,3.0,11.0,19.0,4.0,,3.0,2.0,104.0,2.0,,7.0,77.0,547.0,,9.0,4.0,27.0,10.0,261.0,18.0,6.0,24.0,1.0,9.0,1.31784,12.0,318.0,,47.0,1.0,,33.46,437499,6.0,165.0,2.0,6.0,3.0,183.0,4.0,109902.4,13.0,10.0,46.0,4.0,4.0,17.0,1.0,9.0,48.0,284.0,15.0,14.0,4.0,18.0,48.0,1.0,8.0,2.0,1.0,5.0,7.0,43.4,7.0,4.0,2.0,,4.0,6.0,,27.0,8.0,345.0,10.0,8.0,16.0,,9.0,31.0,6.0,180.0,6.0,3.0,29.0,61.0,13.0,1.0,2.0,24.0,22.0,9.0,3.0,6.0,2.3102,2.0,13.0,8.0,2.0,1.0,,1.0,,,,1.0,,2.0,,2.0,4.0,5.0,,1.0,,,3.0,,1.0,,,,,,1.0,,,,,1.0,,2.0,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
6,2561948,2025-09-27 15:00:00,"Selhurst Park, London",25118.0,Home,Crystal Palace,Liverpool,2,1,W,1.0,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,40.0,1.0,2.6497,23.0,32.0,4.0,6.0,12.0,3.0,1.0,125.0,2.0,6.0,1.0,12.0,1.0,7.0,53.0,125.0,48.0,,16.0,1.0,22.0,5.0,4.0,2.0,8.0,16.0,,32.0,2.0,4.0,26.0,1.7945,83.0,,105.0,10.0,1.0,31.0,14.0,8.0,39.0,1.0,6.0,16.0,4.0,,2.0,2.0,125.0,6.0,,13.0,53.0,450.0,,11.0,7.0,33.0,9.0,160.0,16.0,3.0,14.0,4.0,4.0,1.11665,20.0,241.0,,58.0,,2.0,33.24,232185,9.0,94.0,5.0,3.0,1.0,114.0,6.0,120374.34,7.0,16.0,45.0,2.0,4.0,8.0,7.0,8.0,71.0,175.0,7.0,6.0,,29.0,65.0,,6.0,2.0,1.0,2.0,3.0,28.1,15.0,2.0,3.0,,4.0,2.0,,21.0,2.0,270.0,9.0,6.0,13.0,,7.0,26.0,4.0,164.0,7.0,4.0,12.0,54.0,13.0,1.0,,14.0,24.0,12.0,4.0,7.0,2.9201,,7.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,1.0,,,3.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,2.0,1.0,,,1.0,1.0,,1.0,,3.0,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
7,2561960,2025-10-05 14:00:00,"Hill Dickinson Stadium, Liverpool",51770.0,Away,Crystal Palace,Everton,1,2,L,1.0,0.0,0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,49.0,1.0,1.3981,17.0,38.0,4.0,6.0,11.0,5.0,5.0,132.0,3.0,2.0,1.0,8.0,1.0,8.0,117.0,136.0,73.0,,15.0,2.0,24.0,6.0,4.0,,14.0,15.0,1.0,38.0,4.0,7.0,24.0,2.6158,133.0,,107.0,16.0,2.0,54.0,32.0,6.0,64.0,2.0,10.0,18.0,4.0,,4.0,1.0,136.0,2.0,,10.0,119.0,662.0,,6.0,6.0,23.0,14.0,335.0,21.0,2.0,18.0,2.0,2.0,1.37496,22.0,411.0,,56.0,,,33.05,205533,4.0,219.0,4.0,4.0,1.0,239.0,4.0,114021.77,9.0,5.0,62.0,3.0,4.0,16.0,4.0,2.0,52.0,349.0,13.0,6.0,1.0,20.0,60.0,1.0,2.0,5.0,3.0,1.0,1.0,49.7,16.0,,1.0,1.0,4.0,3.0,,29.0,4.0,432.0,14.0,9.0,9.0,,4.0,28.0,2.0,207.0,8.0,6.0,27.0,66.0,18.0,,1.0,18.0,31.0,8.0,4.0,12.0,1.5266,1.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,,2.0,3.0,2.0,,,,1.0,,1.0,,3.0,,,,,3.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
8,2561967,2025-10-18 15:00:00,"Selhurst Park, London",25125.0,Home,Crystal Palace,Bournemouth,3,3,D,0.0,2.0,0,0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,50.0,6.0,3.9307,36.0,32.0,5.0,10.0,15.0,2.0,2.0,152.0,6.0,4.0,3.0,12.0,1.0,7.0,95.0,145.0,73.0,,20.0,1.0,22.0,2.0,1.0,1.0,19.0,14.0,2.0,32.0,5.0,9.0,26.0,2.8101,122.0,,130.0,8.0,2.0,32.0,43.0,8.0,50.0,1.0,14.0,22.0,5.0,,4.0,2.0,145.0,5.0,1.0,5.0,107.0,614.0,,10.0,10.0,41.0,6.0,289.0,19.0,14.0,19.0,1.0,4.0,2.57848,17.0,378.0,,60.0,,1.0,34.17,244723,9.0,192.0,4.0,8.0,,212.0,5.0,109653.67,12.0,4.0,53.0,3.0,1.0,9.0,3.0,4.0,69.0,308.0,14.0,6.0,1.0,32.0,61.0,,5.0,1.0,4.0,4.0,2.0,52.3,12.0,1.0,4.0,,1.0,7.0,,32.0,6.0,404.0,6.0,6.0,9.0,,6.0,45.0,4.0,211.0,8.0,7.0,32.0,73.0,21.0,3.0,,19.0,23.0,13.0,1.0,16.0,4.4449,,12.0,6.0,3.0,,1.0,,2.0,,2.0,,,,1.0,3.0,3.0,3.0,1.0,1.0,,,2.0,,2.0,1.0,,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,,,1.0,,,,2.0,2.0,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,
9,2561976,2025-10-26 14:00:00,"Emirates Stadium, London",60103.0,Away,Crystal Palace,Arsenal,0,1,L,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,43.0,3.0,0.4775,19.0,44.0,2.0,1.0,5.0,2.0,,138.0,3.0,4.0,,4.0,,1.0,85.0,133.0,42.0,,7.0,,21.0,1.0,,,10.0,9.0,,44.0,3.0,7.0,38.0,1.0192,122.0,,97.0,11.0,,28.0,39.0,2.0,47.0,1.0,7.0,15.0,2.0,,3.0,2.0,133.0,,,7.0,90.0,536.0,,2.0,4.0,15.0,12.0,254.0,19.0,4.0,22.0,3.0,2.0,0.288373,19.0,344.0,,46.0,,,33.45,437499,3.0,146.0,,4.0,,164.0,4.0,115418.92,6.0,6.0,48.0,4.0,3.0,14.0,3.0,4.0,63.0,265.0,6.0,5.0,2.0,24.0,72.0,,4.0,2.0,1.0,1.0,3.0,40.3,16.0,1.0,3.0,1.0,3.0,3.0,,37.0,3.0,360.0,12.0,10.0,15.0,,3.0,20.0,1.0,206.0,3.0,7.0,16.0,45.0,17.0,,,22.0,16.0,5.0,5.0,6.0,0.4548,,6.0,3.0,,,,,,,2.0,,1.0,,,1.0,1.0,2.0,,,1.0,,2.0,,,,,1.0,,,1.0,1.0,,1.0,,2.0,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
10,2561987,2025-11-01 15:00:00,"Selhurst Park, London",25083.0,Home,Crystal Palace,Brentford,2,0,W,1.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,48.0,1.0,0.8182,17.0,31.0,3.0,1.0,6.0,2.0,1.0,126.0,2.0,2.0,2.0,4.0,2.0,3.0,47.0,144.0,42.0,1.0,10.0,3.0,25.0,1.0,,,17.0,7.0,1.0,31.0,6.0,6.0,30.0,0.7742,85.0,1.0,97.0,7.0,,30.0,32.0,3.0,39.0,2.0,11.0,10.0,4.0,1.0,6.0,1.0,144.0,,,2.0,56.0,451.0,,3.0,6.0,24.0,12.0,171.0,17.0,5.0,20.0,2.0,1.0,0.213478,23.0,245.0,0.0976,57.0,,,33.59,232185,5.0,95.0,1.0,5.0,1.0,110.0,2.0,110240.12,6.0,8.0,53.0,1.0,2.0,17.0,4.0,1.0,56.0,178.0,11.0,6.0,,26.0,64.0,1.0,5.0,1.0,3.0,2.0,2.0,35.7,19.0,,3.0,1.0,3.0,4.0,,25.0,6.0,268.0,12.0,9.0,13.0,,3.0,35.0,2.0,175.0,7.0,6.0,16.0,42.0,21.0,1.0,1.0,20.0,13.0,5.0,3.0,9.0,0.6997,1.0,6.0,6.0,,1.0,,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
