id,first_name,second_name,team_id,team_name
1,David,Raya Martín,1,Arsenal
2,Kepa,Arrizabalaga Revuelta,1,Arsenal
3,Karl,Hein,1,Arsenal
4,Tommy,Setford,1,Arsenal
5,Gabriel,dos Santos Magalhães,1,Arsenal
6,William,Saliba,1,Arsenal
7,Riccardo,Calafiori,1,Arsenal
8,Jurriën,Timber,1,Arsenal
9,Jakub,Kiwior,1,Arsenal
10,Myles,Lewis-Skelly,1,Arsenal
11,Benjamin,White,1,Arsenal
13,Brayden,Clarke,1,Arsenal
14,Maldini,Kacurri,1,Arsenal
15,Josh,Nichols,1,Arsenal
16,Bukayo,Saka,1,Arsenal
17,Martin,Ødegaard,1,Arsenal
18,Noni,Madueke,1,Arsenal
19,Gabriel,Martinelli Silva,1,Arsenal
20,Leandro,Trossard,1,Arsenal
21,Declan,Rice,1,Arsenal
22,Mikel,Merino Zazón,1,Arsenal
23,Fábio,Ferreira Vieira,1,Arsenal
24,Christian,Nørgaard,1,Arsenal
25,Ethan,Nwaneri,1,Arsenal
26,Martín,Zubimendi Ibáñez,1,Arsenal
28,Ismeal,Kabia,1,Arsenal
29,Albert,Sambi Lokonga,1,Arsenal
30,Kai,Havertz,1,Arsenal
31,Gabriel,Fernando de Jesus,1,Arsenal
266,Eberechi,Eze,1,Arsenal
662,Cristhian,Mosquera,1,Arsenal
666,Viktor,Gyökeres,1,Arsenal
700,Max,Dowman,1,Arsenal
711,Andre,Harriman-Annous,1,Arsenal
725,Piero,Hincapié,1,Arsenal
759,Marli,Salmon,1,Arsenal
32,Emiliano,Martínez Romero,2,Aston Villa
33,Marco,Bizot,2,Aston Villa
34,Joe,Gauci,2,Aston Villa
35,Filip,Marschall,2,Aston Villa
36,Matty,Cash,2,Aston Villa
37,Lucas,Digne,2,Aston Villa
38,Ezri,Konsa Ngoyo,2,Aston Villa
39,Ian,Maatsen,2,Aston Villa
40,Tyrone,Mings,2,Aston Villa
41,Pau,Torres,2,Aston Villa
42,Andrés,García,2,Aston Villa
43,Álex,Moreno Lopera,2,Aston Villa
44,Lamare,Bogarde,2,Aston Villa
45,Lino,da Cruz Sousa,2,Aston Villa
46,Yasin,Özcan,2,Aston Villa
47,Morgan,Rogers,2,Aston Villa
48,Youri,Tielemans,2,Aston Villa
49,Leon,Bailey,2,Aston Villa
50,Emiliano,Buendía Stati,2,Aston Villa
51,Samuel,Iling-Junior,2,Aston Villa
53,Donyell,Malen,2,Aston Villa
54,John,McGinn,2,Aston Villa
55,Ross,Barkley,2,Aston Villa
56,Enzo,Barrenechea,2,Aston Villa
57,Lewis,Dobbin,2,Aston Villa
58,Boubacar,Kamara,2,Aston Villa
59,Amadou,Onana,2,Aston Villa
60,Ben,Broggio,2,Aston Villa
61,Leander,Dendoncker,2,Aston Villa
62,Jamaldeen,Jimoh-Aloba,2,Aston Villa
63,Kadan,Young,2,Aston Villa
64,Ollie,Watkins,2,Aston Villa
65,Zépiqueno,Redmond,2,Aston Villa
389,Harvey,Elliott,2,Aston Villa
456,Jadon,Sancho,2,Aston Villa
688,James,Wright,2,Aston Villa
699,Douglas Luiz,Soares de Paulo,2,Aston Villa
701,Triston,Rowe,2,Aston Villa
702,Bradley,Burrowes,2,Aston Villa
703,Sam,Proctor,2,Aston Villa
710,Travis,Patterson,2,Aston Villa
719,Victor,Lindelöf,2,Aston Villa
754,George,Hemmings,2,Aston Villa
757,Ronnie,Hollingshead,2,Aston Villa
768,Leon,Routh,2,Aston Villa
781,TJ,Carroll,2,Aston Villa
792,Alysson Edward Franco,da Rocha dos Santos,2,Aston Villa
808,Tammy,Abraham,2,Aston Villa
183,Max,Weiß,3,Burnley
184,Etienne,Green,3,Burnley
185,Václav,Hladký,3,Burnley
186,Connor,Roberts,3,Burnley
187,Kyle,Walker,3,Burnley
188,Hannes,Delcroix,3,Burnley
189,Owen,Dodgson,3,Burnley
190,Hjalmar,Ekdal,3,Burnley
191,Maxime,Estève,3,Burnley
192,Quilindschy,Hartman,3,Burnley
193,Bashir,Humphreys,3,Burnley
194,Jordan,Beyer,3,Burnley
195,Lucas,Pires Silva,3,Burnley
196,Shurandy,Sambo,3,Burnley
197,Oliver,Sonne,3,Burnley
198,Axel,Tuanzebe,3,Burnley
199,Joe,Worrall,3,Burnley
200,Jaidon,Anthony,3,Burnley
201,Manuel,Benson Hedilazio,3,Burnley
202,Jacob,Bruun Larsen,3,Burnley
203,Enock,Agyei,3,Burnley
204,Darko,Churlinov,3,Burnley
205,Josh,Cullen,3,Burnley
206,Marcus,Edwards,3,Burnley
207,Hannibal,Mejbri,3,Burnley
208,Luca,Koleosho,3,Burnley
209,Josh,Laurent,3,Burnley
210,Loum,Tchaouna,3,Burnley
211,Aaron,Ramsey,3,Burnley
212,Oluwaseun,Adewumi,3,Burnley
213,Jaydon,Banel,3,Burnley
214,Mike,Trésor Ndayishimiye,3,Burnley
215,Zian,Flemming,3,Burnley
216,Zeki,Amdouni,3,Burnley
217,Lyle,Foster,3,Burnley
218,Ashley,Barnes,3,Burnley
219,Michael,Obafemi,3,Burnley
470,Martin,Dúbravka,3,Burnley
614,James,Ward-Prowse,3,Burnley
676,Lesley,Ugochukwu,3,Burnley
680,Armando,Broja,3,Burnley
722,Florentino Ibrain,Morris Luís,3,Burnley
776,Oliver,Pimlott,3,Burnley
784,George,Brierley,3,Burnley
820,Kian,McMahon-Brown,3,Burnley
66,Norberto,Murara Neto,4,Bournemouth
67,Đorđe,Petrović,4,Bournemouth
68,Will,Dennis,4,Bournemouth
69,Callan,McKenna,4,Bournemouth
70,Alex,Paulsen,4,Bournemouth
71,Illia,Zabarnyi,4,Bournemouth
72,Marcos,Senesi Barón,4,Bournemouth
73,Adam,Smith,4,Bournemouth
74,Adrien,Truffert,4,Bournemouth
75,Matai,Akinmboni,4,Bournemouth
76,Owen,Bevan,4,Bournemouth
77,James,Hill,4,Bournemouth
78,Julián,Araujo Zúñiga,4,Bournemouth
79,Chris,Mepham,4,Bournemouth
80,Julio,Soler Barreto,4,Bournemouth
81,Justin,Kluivert,4,Bournemouth
84,Marcus,Tavernier,4,Bournemouth
85,Tyler,Adams,4,Bournemouth
86,David,Brooks,4,Bournemouth
87,Ryan,Christie,4,Bournemouth
88,Lewis,Cook,4,Bournemouth
89,Philip,Billing,4,Bournemouth
90,Alex,Scott,4,Bournemouth
91,Luis,Sinisterra Lucumí,4,Bournemouth
92,Romain,Faivre,4,Bournemouth
93,Hamed,Traorè,4,Bournemouth
94,Dominic,Sadi,4,Bournemouth
95,Zain,Silcott-Duberry,4,Bournemouth
96,Ben,Winterburn,4,Bournemouth
97,Francisco Evanilson,de Lima Barbosa,4,Bournemouth
98,Enes,Ünal,4,Bournemouth
99,Daniel,Adu-Adjei,4,Bournemouth
100,Junior,Kroupi,4,Bournemouth
391,Ben,Gannon-Doak,4,Bournemouth
685,Bafodé,Diakité,4,Bournemouth
687,Remy,Rees-Dottin,4,Bournemouth
697,Amine,Adli,4,Bournemouth
713,Álex,Jiménez Sánchez,4,Bournemouth
721,Veljko,Milosavljevic,4,Bournemouth
756,Malcom,DaCosta,4,Bournemouth
782,Fraser,Forster,4,Bournemouth
799,Charlie,Stevens,4,Bournemouth
801,Alex,Tóth,4,Bournemouth
806,Christos,Mandas,4,Bournemouth
807,Rayan Vitor,Simplício Rocha,4,Bournemouth
27,Reiss,Nelson,5,Brentford
83,Dango,Ouattara,5,Brentford
101,Caoimhín,Kelleher,5,Brentford
102,Ellery,Balcombe,5,Brentford
103,Matthew,Cox,5,Brentford
104,Julian,Eyestone,5,Brentford
105,Hákon Rafn,Valdimarsson,5,Brentford
106,Nathan,Collins,5,Brentford
107,Keane,Lewis-Potter,5,Brentford
108,Kristoffer,Ajer,5,Brentford
109,Rico,Henry,5,Brentford
110,Michael,Kayode,5,Brentford
111,Ethan,Pinnock,5,Brentford
112,Mads,Roerslev Rasmussen,5,Brentford
113,Sepp,van den Berg,5,Brentford
114,Benjamin,Arthur,5,Brentford
115,Benjamin,Fredrick,5,Brentford
116,Aaron,Hickey,5,Brentford
117,Kim,Ji-soo,5,Brentford
118,Jayden,Meghoma,5,Brentford
120,Kevin,Schade,5,Brentford
