gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,penaltySave,attLfTarget,bigChanceScored,accuratePullBack,attCmissRight,shotFastbreak,attBxRight,goalAssistOpenplay,attMissLeft,attOboxTarget,cleanSheet,totalFastbreak,attSvLowLeft,interceptionsInBox,attMissRight,bigChanceCreated,goalAssist,totalPullBack,totalThroughBall,attFastbreak,attCmissLeft,goalAssistIntentional,goalAssistSetplay,attLgRight,attSvLowCentre,attOneOnOne,accurateThroughBall,shieldBallOop,attBxLeft,forwardGoals,errorLeadToGoal,attHdTarget,hitWoodwork,attMissHighLeft,sixYardBlock,attSvHighCentre,attCmissHighLeft,attFreekickMiss,attCmissHigh,ptsDroppedWinningPos,attSvHighRight,penaltyWon,ptsGainedLosingPos,clearanceOffLine,attObxRight,goalAssistDeadball,contentiousDecision,postScoringAtt,attPostLeft,attOboxPost,attIboxPost,attSvHighLeft,attHdPost,attFreekickTarget,attPostHigh,goalFastbreak,foulThrowIn,attPostRight,attObxdLeft,attCmissHighRight,secondYellow,attIboxOwnGoal,attLgCentre
1,2561904,2025-08-18 20:00:00,"Elland Road, Leeds",36820.0,Away,Everton,Leeds United,0,1,L,0.0,0.0,0,0,0.0,1.0,37.0,0.0,0.0,1.0,2.0,0.1047,18.0,31.0,2.0,1.0,5.0,2.0,0.0,1.0,138.0,0.0,4.0,6.0,0.0,3.0,3.0,1.0,96.0,136.0,47.0,1.0,7.0,1.0,18.0,1.0,1.0,11.0,12.0,0.0,31.0,2.0,14.0,28.0,1.0712,124.0,1.0,0.0,0.0,98.0,8.0,0.0,1.0,0.0,2.0,1.0,46.0,29.0,1.0,64.0,9.0,13.0,2.0,1.0,0.0,0.0,4.0,1.0,136.0,12.0,0.0,113.0,602.0,2.0,5.0,14.0,2.0,311.0,18.0,7.0,16.0,1.0,2.0,10.0,2.0,0.438116,21.0,392.0,0.0393,48.0,1.0,2.0,33.01,440993,2.0,204.0,1.0,3.0,4.0,1.0,234.0,2.0,105113.81,0.0,7.0,13.0,45.0,0.0,0.0,2.0,5.0,0.0,19.0,9.0,8.0,2.0,0.0,56.0,324.0,6.0,6.0,1.0,27.0,1.0,53.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,3.0,0.0,3.0,3.0,45.6,16.0,2.0,3.0,5.0,3.0,25.0,2.0,1.0,1.0,411.0,1.0,2.0,3.0,11.0,3.0,22.0,1.0,2.0,188.0,3.0,13.0,19.0,61.0,10.0,2.0,16.0,16.0,0.0,1.0,1.0,2.0,18.0,0.8028,2.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561910,2025-08-24 14:00:00,"Hill Dickinson Stadium, Liverpool",51759.0,Home,Everton,Brighton and Hove Albion,2,0,W,1.0,0.0,0,0,0.0,1.0,44.0,1.0,1.0,2.0,,1.2097,31.0,35.0,5.0,4.0,6.0,4.0,0.0,,140.0,0.0,4.0,9.0,2.0,3.0,10.0,3.0,80.0,127.0,70.0,,11.0,1.0,16.0,,1.0,12.0,8.0,0.0,35.0,2.0,7.0,25.0,1.5401,152.0,,1.0,0.0,137.0,7.0,0.0,2.0,1.0,2.0,1.0,74.0,51.0,3.0,66.0,10.0,12.0,5.0,,0.0,0.0,3.0,2.0,127.0,7.0,0.0,76.0,545.0,5.0,11.0,18.0,8.0,252.0,17.0,6.0,18.0,1.0,4.0,3.0,7.0,0.993035,19.0,332.0,,73.0,,2.0,32.66,586309,2.0,124.0,1.0,5.0,1.0,1.0,141.0,4.0,108850.34,2.0,3.0,7.0,47.0,0.0,1.0,,2.0,2.0,8.0,6.0,4.0,2.0,0.0,69.0,272.0,15.0,8.0,3.0,31.0,2.0,74.0,0.0,0.0,,0.0,1.0,0.0,,2.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,42.4,15.0,2.0,2.0,2.0,1.0,38.0,2.0,1.0,1.0,362.0,,8.0,10.0,16.0,7.0,22.0,2.0,5.0,233.0,5.0,6.0,31.0,84.0,15.0,1.0,18.0,15.0,0.0,0.0,8.0,4.0,16.0,1.596,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561924,2025-08-30 15:00:00,"Molineux Stadium, Wolverhampton",30271.0,Away,Everton,Wolverhampton Wanderers,3,2,W,2.0,1.0,0,0,0.0,1.0,50.0,0.0,1.0,2.0,2.0,2.5781,23.0,28.0,2.0,4.0,7.0,2.0,2.0,1.0,135.0,1.0,2.0,8.0,3.0,2.0,9.0,4.0,94.0,153.0,63.0,,10.0,2.0,12.0,1.0,4.0,13.0,11.0,0.0,28.0,2.0,10.0,22.0,1.1555,159.0,,0.0,0.0,125.0,10.0,0.0,1.0,2.0,3.0,1.0,46.0,79.0,7.0,75.0,11.0,13.0,3.0,,0.0,0.0,3.0,1.0,153.0,6.0,0.0,67.0,576.0,5.0,6.0,23.0,16.0,255.0,11.0,3.0,15.0,4.0,1.0,5.0,2.0,1.44252,23.0,341.0,,61.0,1.0,1.0,32.57,486385,3.0,118.0,1.0,5.0,3.0,,141.0,2.0,114748.13,0.0,7.0,10.0,47.0,0.0,0.0,1.0,2.0,2.0,17.0,6.0,7.0,,0.0,64.0,275.0,15.0,3.0,1.0,30.0,1.0,79.0,1.0,0.0,,0.0,,0.0,1.0,2.0,,3.0,2.0,1.0,0.0,2.0,2.0,41.5,19.0,1.0,4.0,2.0,4.0,34.0,2.0,,1.0,371.0,,16.0,11.0,11.0,2.0,23.0,,1.0,243.0,4.0,9.0,24.0,80.0,29.0,,15.0,16.0,1.0,2.0,6.0,4.0,20.0,1.932,,7.0,2.0,,,2.0,,,,,2.0,2.0,,,,1.0,1.0,,3.0,3.0,,7.0,,,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561930,2025-09-13 15:00:00,"Hill Dickinson Stadium, Liverpool",52114.0,Home,Everton,Aston Villa,0,0,D,0.0,0.0,0,0,0.0,1.0,49.0,0.0,0.0,1.0,6.0,0.2926,25.0,17.0,6.0,3.0,14.0,1.0,0.0,1.0,132.0,0.0,8.0,8.0,0.0,2.0,17.0,2.0,63.0,119.0,66.0,,20.0,3.0,17.0,2.0,,22.0,16.0,0.0,17.0,7.0,4.0,19.0,0.1268,177.0,1.0,0.0,0.0,123.0,17.0,0.0,,0.0,1.0,1.0,82.0,48.0,8.0,65.0,15.0,21.0,6.0,,0.0,0.0,4.0,3.0,119.0,3.0,0.0,83.0,548.0,15.0,8.0,46.0,5.0,261.0,9.0,7.0,9.0,,3.0,5.0,9.0,1.2499,20.0,316.0,,53.0,1.0,,33.6,586309,9.0,112.0,3.0,10.0,3.0,,123.0,9.0,100509.72,0.0,8.0,6.0,51.0,0.0,0.0,2.0,4.0,0.0,20.0,4.0,5.0,2.0,0.0,49.0,281.0,15.0,2.0,2.0,21.0,5.0,57.0,0.0,0.0,,0.0,,0.0,,3.0,,0.0,0.0,4.0,0.0,6.0,6.0,48.3,15.0,4.0,5.0,4.0,9.0,34.0,10.0,,1.0,343.0,,5.0,11.0,12.0,9.0,35.0,2.0,6.0,242.0,11.0,3.0,20.0,95.0,26.0,,9.0,23.0,0.0,0.0,9.0,2.0,13.0,2.0812,,8.0,10.0,,,,,,2.0,1.0,,,,1.0,2.0,1.0,,5.0,3.0,,,,2.0,,,,,1.0,,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2561940,2025-09-20 12:30:00,"Anfield, Liverpool",60342.0,Away,Everton,Liverpool,1,2,L,0.0,2.0,0,0,0.0,,49.0,0.0,0.0,,1.0,0.5692,23.0,23.0,3.0,3.0,6.0,1.0,0.0,,133.0,0.0,5.0,12.0,1.0,1.0,8.0,2.0,86.0,139.0,56.0,1.0,9.0,2.0,20.0,1.0,3.0,20.0,13.0,0.0,23.0,3.0,2.0,27.0,1.1755,149.0,1.0,0.0,0.0,133.0,10.0,0.0,1.0,1.0,1.0,,53.0,50.0,5.0,53.0,17.0,14.0,3.0,1.0,0.0,0.0,7.0,1.0,139.0,9.0,0.0,73.0,541.0,6.0,4.0,21.0,10.0,249.0,16.0,5.0,13.0,3.0,3.0,5.0,3.0,0.620271,23.0,322.0,0.0306,54.0,,,34.76,512462,3.0,119.0,,9.0,,,134.0,7.0,101982.9,1.0,9.0,9.0,57.0,0.0,0.0,1.0,3.0,1.0,16.0,2.0,4.0,,0.0,61.0,263.0,11.0,10.0,1.0,24.0,3.0,67.0,1.0,0.0,1.0,0.0,,0.0,,5.0,1.0,1.0,2.0,1.0,0.0,4.0,,42.8,16.0,,4.0,3.0,3.0,30.0,4.0,,,345.0,,10.0,11.0,12.0,4.0,42.0,1.0,3.0,231.0,6.0,2.0,15.0,88.0,24.0,,13.0,18.0,0.0,2.0,5.0,3.0,19.0,0.7006,,9.0,4.0,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,3.0,,1.0,1.0,,,,,,,3.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,2561949,2025-09-29 20:00:00,"Hill Dickinson Stadium, Liverpool",51890.0,Home,Everton,West Ham United,1,1,D,1.0,0.0,0,0,0.0,,45.0,0.0,0.0,,3.0,0.4135,25.0,37.0,3.0,2.0,9.0,2.0,0.0,3.0,127.0,0.0,3.0,4.0,1.0,5.0,9.0,6.0,128.0,129.0,52.0,1.0,12.0,,23.0,4.0,1.0,22.0,6.0,0.0,37.0,3.0,10.0,30.0,1.1927,226.0,,0.0,0.0,147.0,7.0,0.0,,0.0,2.0,,68.0,59.0,7.0,63.0,19.0,16.0,3.0,1.0,1.0,0.0,6.0,2.0,129.0,10.0,0.0,129.0,652.0,8.0,6.0,30.0,5.0,358.0,18.0,5.0,18.0,1.0,3.0,5.0,2.0,0.68751,19.0,423.0,0.0352,51.0,,2.0,33.13,224967,5.0,157.0,1.0,11.0,2.0,,172.0,6.0,106702.86,0.0,9.0,7.0,50.0,0.0,1.0,,4.0,0.0,20.0,4.0,7.0,1.0,0.0,45.0,380.0,16.0,4.0,,13.0,3.0,58.0,0.0,0.0,,0.0,,0.0,,5.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,51.8,12.0,1.0,8.0,4.0,3.0,35.0,3.0,,,447.0,,5.0,10.0,17.0,3.0,35.0,1.0,1.0,297.0,7.0,9.0,21.0,110.0,14.0,2.0,18.0,11.0,1.0,1.0,6.0,2.0,10.0,0.7349,2.0,9.0,3.0,,1.0,,1.0,,1.0,4.0,,2.0,1.0,,1.0,1.0,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,4.0,,,1.0,,,,1.0,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
7,2561960,2025-10-05 14:00:00,"Hill Dickinson Stadium, Liverpool",51770.0,Home,Everton,Crystal Palace,2,1,W,0.0,1.0,0,0,0.0,,48.0,1.0,0.0,1.0,1.0,2.6158,24.0,35.0,4.0,4.0,10.0,5.0,1.0,2.0,132.0,0.0,6.0,6.0,2.0,2.0,10.0,7.0,116.0,158.0,62.0,,14.0,1.0,27.0,5.0,2.0,19.0,10.0,0.0,35.0,1.0,3.0,31.0,1.3981,174.0,1.0,0.0,0.0,128.0,13.0,0.0,2.0,2.0,2.0,,83.0,50.0,7.0,66.0,18.0,17.0,4.0,,1.0,0.0,8.0,3.0,158.0,11.0,0.0,119.0,675.0,9.0,6.0,28.0,11.0,334.0,20.0,2.0,22.0,3.0,2.0,5.0,2.0,1.14619,31.0,410.0,,66.0,1.0,1.0,33.63,486385,5.0,183.0,3.0,8.0,2.0,,198.0,9.0,111095.23,1.0,7.0,4.0,73.0,0.0,0.0,,3.0,1.0,22.0,4.0,3.0,1.0,1.0,49.0,351.0,13.0,2.0,,16.0,1.0,71.0,0.0,0.0,,0.0,,0.0,1.0,4.0,6.0,2.0,1.0,,0.0,6.0,3.0,50.3,22.0,1.0,5.0,3.0,2.0,44.0,2.0,,,433.0,,11.0,17.0,18.0,5.0,28.0,,2.0,254.0,7.0,3.0,24.0,80.0,18.0,2.0,22.0,19.0,0.0,1.0,9.0,4.0,20.0,2.0315,2.0,7.0,2.0,,1.0,2.0,,,1.0,,,1.0,,,1.0,2.0,2.0,2.0,3.0,,,3.0,1.0,,,,,1.0,,2.0,,3.0,,,2.0,,,,1.0,,,,,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
8,2561970,2025-10-18 15:00:00,"Etihad Stadium, Manchester",52498.0,Away,Everton,Manchester City,0,2,L,0.0,0.0,0,0,0.0,1.0,41.0,0.0,0.0,,1.0,0.0673,25.0,28.0,,2.0,4.0,5.0,0.0,1.0,109.0,0.0,1.0,5.0,0.0,1.0,3.0,1.0,60.0,115.0,49.0,,5.0,1.0,17.0,1.0,,10.0,11.0,0.0,28.0,3.0,8.0,37.0,1.4775,125.0,,0.0,0.0,84.0,14.0,0.0,4.0,0.0,1.0,,44.0,30.0,1.0,57.0,7.0,13.0,1.0,,0.0,0.0,1.0,,115.0,16.0,0.0,74.0,466.0,3.0,4.0,15.0,7.0,222.0,24.0,7.0,12.0,1.0,2.0,7.0,2.0,0.773058,11.0,281.0,,43.0,,,33.92,512462,2.0,113.0,1.0,6.0,,,124.0,7.0,113233.26,0.0,6.0,9.0,60.0,0.0,0.0,1.0,4.0,0.0,21.0,3.0,7.0,,0.0,56.0,237.0,8.0,15.0,,19.0,,73.0,0.0,0.0,,0.0,1.0,0.0,1.0,11.0,5.0,0.0,2.0,1.0,0.0,1.0,1.0,28.9,5.0,1.0,1.0,4.0,2.0,39.0,3.0,,,300.0,,7.0,5.0,18.0,2.0,21.0,,2.0,186.0,2.0,7.0,18.0,56.0,12.0,1.0,12.0,18.0,0.0,2.0,5.0,5.0,15.0,0.8099,1.0,6.0,3.0,,,,,,,1.0,,2.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
9,2561980,2025-10-26 16:30:00,"Hill Dickinson Stadium, Liverpool",52501.0,Home,Everton,Tottenham Hotspur,0,3,L,0.0,2.0,0,0,0.0,1.0,46.0,0.0,0.0,,3.0,1.199,16.0,27.0,4.0,6.0,8.0,1.0,0.0,1.0,121.0,0.0,3.0,8.0,0.0,2.0,9.0,2.0,111.0,135.0,54.0,,12.0,2.0,11.0,1.0,1.0,33.0,10.0,0.0,27.0,8.0,6.0,30.0,3.2262,206.0,,0.0,0.0,168.0,9.0,0.0,1.0,0.0,2.0,,66.0,55.0,5.0,70.0,25.0,14.0,4.0,,0.0,0.0,17.0,1.0,135.0,5.0,0.0,140.0,631.0,9.0,4.0,31.0,6.0,358.0,17.0,5.0,16.0,1.0,2.0,1.0,4.0,1.48026,17.0,425.0,,56.0,,1.0,33.29,440993,2.0,171.0,3.0,6.0,1.0,,183.0,6.0,106271.81,0.0,5.0,3.0,48.0,0.0,0.0,2.0,3.0,0.0,8.0,2.0,3.0,1.0,0.0,37.0,374.0,8.0,8.0,,12.0,1.0,58.0,0.0,0.0,1.0,0.0,1.0,0.0,,8.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,53.5,11.0,1.0,3.0,3.0,5.0,37.0,9.0,,,442.0,,6.0,8.0,12.0,5.0,47.0,1.0,4.0,292.0,5.0,6.0,19.0,123.0,21.0,,16.0,19.0,0.0,3.0,9.0,3.0,21.0,1.7387,,5.0,9.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,6.0,,,1.0,1.0,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
10,2561992,2025-11-03 20:00:00,"Stadium of Light, Sunderland",41476.0,Away,Everton,Sunderland,1,1,D,1.0,0.0,0,0,1.0,,45.0,0.0,0.0,1.0,3.0,0.736,13.0,45.0,3.0,5.0,5.0,2.0,1.0,1.0,128.0,0.0,2.0,6.0,1.0,1.0,4.0,2.0,82.0,126.0,50.0,,8.0,,19.0,,2.0,9.0,6.0,0.0,45.0,1.0,6.0,19.0,1.3733,137.0,,0.0,0.0,93.0,12.0,0.0,1.0,1.0,2.0,,58.0,31.0,2.0,45.0,8.0,13.0,3.0,,0.0,0.0,,1.0,126.0,12.0,0.0,92.0,540.0,4.0,5.0,19.0,8.0,258.0,23.0,5.0,23.0,2.0,2.0,7.0,2.0,0.72914,21.0,330.0,,47.0,,,32.22,232928,3.0,132.0,1.0,6.0,,,159.0,7.0,108770.37,0.0,6.0,5.0,52.0,0.0,0.0,,3.0,1.0,15.0,5.0,2.0,1.0,0.0,46.0,267.0,10.0,7.0,,25.0,,66.0,1.0,0.0,,0.0,1.0,0.0,,4.0,2.0,1.0,1.0,1.0,0.0,2.0,,39.3,11.0,,4.0,3.0,3.0,27.0,1.0,,,347.0,,8.0,6.0,8.0,3.0,22.0,1.0,1.0,197.0,3.0,6.0,20.0,59.0,12.0,,23.0,14.0,0.0,0.0,7.0,4.0,14.0,0.8883,,6.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,1.0,2.0,,1.0,,1.0,3.0,,1.0,,,,,,,2.0,,,,,1.0,,,,,,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
