gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attFreekickTotal,goalAssistOpenplay,attOboxTarget,freekickTotal,bigChanceCreated,contentiousDecision,attMissHighLeft,goalAssist,expectedGoalsFreekick,accurateFreekickCross,errorLeadToShot,bigChanceMissed,totalPullBack,totalOffside,forwardGoals,ptsDroppedWinningPos,errorLeadToGoal,bigChanceScored,shotFastbreak,accurateKeeperSweeper,goalFastbreak,attSvHighRight,cleanSheet,penaltyWon,totalFastbreak,totalKeeperSweeper,attFastbreak,goalAssistIntentional,goalAssistSetplay,goalAssistDeadball,attMissHighRight,accurateThroughBall,attCmissHighRight,foulThrowIn,savedObox,ptsGainedLosingPos,penaltyConceded,penaltyFaced,penGoalsConceded,clearanceOffLine,postScoringAtt,attIboxPost,hitWoodwork,attFreekickTarget,attPostRight,handBall,attCmissHigh,secondYellow,attObxLeft,attIboxOwnGoal,attOneOnOne,attOboxPost,attPostHigh,attObxRight,attCmissHighLeft,attPostLeft,attLgCentre,attHdPost
1,2561899,2025-08-16 15:00:00,"Stadium of Light, Sunderland",46233.0,Away,West Ham United,Sunderland,0,3,L,0.0,0.0,0,0,0.0,2.0,42.0,0.0,0.0,2.0,0.3685,26.0,16.0,5.0,6.0,7.0,2.0,0.0,1.0,161.0,0.0,5.0,7.0,0.0,3.0,7.0,1.0,4.0,148.0,133.0,46.0,12.0,4.0,18.0,4.0,1.0,1.0,1.0,26.0,7.0,0.0,16.0,7.0,13.0,35.0,1.6411,274.0,0.0,0.0,169.0,10.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,79.0,120.0,7.0,103.0,1.0,1.0,19.0,20.0,5.0,0.0,0.0,5.0,1.0,133.0,9.0,0.0,138.0,731.0,6.0,9.0,28.0,1.0,4.0,454.0,12.0,7.0,12.0,1.0,1.0,1.0,0.539709,20.0,535.0,78.0,33.37,210494,6.0,199.0,11.0,1.0,2.0,219.0,2.0,103453.94,0.0,9.0,6.0,42.0,0.0,1.0,0.0,4.0,0.0,14.0,1.0,6.0,1.0,0.0,59.0,468.0,8.0,1.0,1.0,28.0,3.0,70.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,5.0,2.0,0.0,3.0,4.0,0.0,4.0,1.0,3.0,62.8,19.0,1.0,4.0,1.0,1.0,4.0,6.0,48.0,7.0,1.0,550.0,4.0,6.0,16.0,2.0,32.0,1.0,1.0,357.0,3.0,12.0,19.0,123.0,22.0,4.0,12.0,12.0,0.0,3.0,7.0,3.0,15.0,0.5619,4.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561914,2025-08-22 20:00:00,"London Stadium, London",62462.0,Home,West Ham United,Chelsea,1,5,L,1.0,3.0,0,0,0.0,3.0,34.0,0.0,0.0,2.0,0.3267,15.0,29.0,3.0,5.0,9.0,2.0,1.0,,132.0,0.0,7.0,5.0,1.0,2.0,10.0,,4.0,99.0,100.0,39.0,12.0,1.0,15.0,2.0,3.0,2.0,1.0,16.0,6.0,1.0,29.0,7.0,9.0,23.0,5.1386,160.0,1.0,0.0,91.0,7.0,0.0,1.0,,0.0,,2.0,1.0,41.0,70.0,5.0,66.0,1.0,1.0,9.0,10.0,3.0,0.0,0.0,3.0,,100.0,10.0,0.0,95.0,569.0,5.0,3.0,19.0,,7.0,321.0,17.0,5.0,16.0,0.0,1.0,5.0,0.667523,25.0,373.0,43.0,35.12,462116,4.0,186.0,4.0,1.0,1.0,194.0,3.0,110847.01,0.0,6.0,4.0,45.0,0.0,,0.0,3.0,1.0,12.0,2.0,3.0,1.0,0.0,35.0,339.0,9.0,4.0,4.0,17.0,4.0,52.0,0.0,0.0,1.0,,0.0,,0.0,,5.0,2.0,0.0,5.0,1.0,0.0,4.0,,5.0,40.8,22.0,4.0,1.0,1.0,,3.0,3.0,32.0,7.0,1.0,392.0,7.0,9.0,12.0,5.0,23.0,3.0,5.0,214.0,2.0,9.0,14.0,70.0,12.0,,16.0,11.0,0.0,5.0,6.0,3.0,15.0,0.7264,,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.1057,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561921,2025-08-31 14:00:00,"The City Ground, Nottingham",30215.0,Away,West Ham United,Nottingham Forest,3,0,W,0.0,0.0,0,0,0.0,2.0,49.0,2.0,0.0,,3.2854,13.0,32.0,2.0,4.0,10.0,3.0,2.0,3.0,126.0,0.0,7.0,8.0,3.0,1.0,11.0,1.0,8.0,107.0,115.0,47.0,12.0,,12.0,4.0,,1.0,,18.0,9.0,1.0,32.0,5.0,12.0,22.0,0.2912,101.0,1.0,0.0,81.0,6.0,0.0,1.0,,2.0,,,3.0,28.0,61.0,7.0,54.0,,1.0,13.0,18.0,2.0,0.0,0.0,4.0,,115.0,9.0,1.0,98.0,581.0,6.0,2.0,18.0,,6.0,296.0,20.0,3.0,20.0,0.0,5.0,4.0,0.465678,12.0,357.0,33.0,32.57,450070,6.0,222.0,9.0,,1.0,237.0,3.0,109661.74,0.0,5.0,12.0,43.0,0.0,1.0,0.0,10.0,2.0,14.0,2.0,9.0,3.0,1.0,43.0,316.0,13.0,6.0,3.0,22.0,3.0,49.0,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,9.0,3.0,2.0,0.0,1.0,0.0,3.0,,4.0,41.6,11.0,3.0,2.0,1.0,2.0,10.0,,22.0,7.0,3.0,385.0,6.0,8.0,10.0,4.0,19.0,4.0,4.0,166.0,4.0,11.0,10.0,53.0,17.0,5.0,20.0,16.0,1.0,0.0,7.0,3.0,19.0,2.4203,5.0,5.0,7.0,,,2.0,1.0,,3.0,,,2.0,,,,2.0,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561934,2025-09-13 17:30:00,"London Stadium, London",62459.0,Home,West Ham United,Tottenham Hotspur,0,3,L,0.0,0.0,1,0,0.0,2.0,34.0,0.0,0.0,,0.2859,17.0,41.0,1.0,4.0,6.0,2.0,0.0,,131.0,0.0,3.0,6.0,0.0,1.0,6.0,1.0,4.0,62.0,105.0,47.0,7.0,,13.0,4.0,1.0,2.0,,9.0,9.0,0.0,41.0,1.0,11.0,22.0,2.227,115.0,0.0,0.0,92.0,8.0,0.0,1.0,,0.0,2.0,1.0,,54.0,55.0,3.0,56.0,,2.0,8.0,14.0,1.0,0.0,0.0,1.0,1.0,105.0,10.0,0.0,61.0,477.0,5.0,5.0,10.0,2.0,5.0,226.0,19.0,4.0,28.0,0.0,5.0,3.0,0.512592,19.0,286.0,48.0,34.57,233963,3.0,127.0,6.0,,1.0,144.0,5.0,99902.81,0.0,8.0,9.0,48.0,0.0,1.0,0.0,2.0,0.0,9.0,4.0,3.0,,0.0,58.0,239.0,6.0,11.0,1.0,23.0,2.0,56.0,0.0,0.0,,,0.0,2.0,0.0,2.0,13.0,2.0,0.0,3.0,1.0,1.0,3.0,,3.0,36.0,18.0,1.0,3.0,,,2.0,,20.0,2.0,,310.0,5.0,7.0,8.0,3.0,11.0,,2.0,175.0,,9.0,22.0,59.0,9.0,1.0,28.0,13.0,0.0,3.0,4.0,4.0,15.0,0.5992,1.0,8.0,2.0,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2561943,2025-09-20 15:00:00,"London Stadium, London",62455.0,Home,West Ham United,Crystal Palace,1,2,L,0.0,1.0,0,0,0.0,1.0,43.0,1.0,0.0,,1.5549,21.0,22.0,1.0,1.0,7.0,1.0,0.0,1.0,131.0,0.0,7.0,14.0,1.0,2.0,8.0,2.0,3.0,129.0,128.0,46.0,8.0,1.0,29.0,2.0,1.0,1.0,,22.0,6.0,0.0,22.0,8.0,9.0,30.0,1.3703,197.0,0.0,0.0,108.0,15.0,0.0,1.0,,0.0,1.0,2.0,1.0,79.0,74.0,4.0,58.0,,3.0,14.0,19.0,1.0,0.0,0.0,4.0,,128.0,14.0,0.0,132.0,628.0,6.0,2.0,20.0,1.0,7.0,363.0,14.0,5.0,14.0,4.0,6.0,4.0,1.22607,19.0,431.0,56.0,32.2,450070,3.0,185.0,8.0,,,194.0,8.0,106055.67,0.0,4.0,11.0,70.0,0.0,6.0,0.0,6.0,0.0,12.0,4.0,6.0,,0.0,47.0,375.0,5.0,5.0,1.0,17.0,2.0,65.0,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,8.0,1.0,1.0,2.0,1.0,0.0,4.0,1.0,5.0,56.6,18.0,3.0,2.0,,,6.0,1.0,44.0,8.0,1.0,450.0,7.0,15.0,13.0,4.0,29.0,3.0,4.0,278.0,2.0,8.0,18.0,59.0,20.0,2.0,14.0,9.0,1.0,2.0,6.0,3.0,21.0,0.6641,2.0,4.0,8.0,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6,2561949,2025-09-29 20:00:00,"Hill Dickinson Stadium, Liverpool",51890.0,Away,West Ham United,Everton,1,1,D,0.0,1.0,0,0,0.0,1.0,49.0,1.0,0.0,4.0,1.1927,19.0,36.0,4.0,7.0,10.0,5.0,1.0,1.0,148.0,0.0,4.0,4.0,1.0,1.0,10.0,,3.0,111.0,126.0,50.0,14.0,2.0,21.0,2.0,3.0,,1.0,18.0,7.0,0.0,36.0,5.0,11.0,22.0,0.4135,189.0,0.0,0.0,132.0,16.0,0.0,2.0,,1.0,1.0,1.0,,60.0,64.0,7.0,53.0,1.0,2.0,13.0,17.0,4.0,0.0,0.0,5.0,2.0,126.0,9.0,0.0,104.0,617.0,8.0,5.0,29.0,1.0,6.0,322.0,19.0,7.0,22.0,4.0,3.0,3.0,0.916931,22.0,399.0,53.0,34.19,178186,4.0,147.0,7.0,2.0,2.0,167.0,9.0,107596.31,0.0,6.0,9.0,52.0,0.0,2.0,0.0,7.0,1.0,12.0,3.0,4.0,1.0,0.0,55.0,332.0,7.0,4.0,2.0,30.0,2.0,61.0,0.0,0.0,1.0,,0.0,1.0,0.0,,3.0,4.0,1.0,1.0,4.0,0.0,3.0,,3.0,48.2,19.0,1.0,3.0,1.0,1.0,7.0,6.0,35.0,5.0,,416.0,6.0,5.0,11.0,5.0,32.0,1.0,3.0,267.0,4.0,11.0,23.0,92.0,18.0,1.0,22.0,16.0,0.0,1.0,9.0,4.0,10.0,1.194,1.0,6.0,5.0,,,,,,,,1.0,,,1.0,,1.0,,2.0,,,,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,2561956,2025-10-04 15:00:00,"Emirates Stadium, London",60181.0,Away,West Ham United,Arsenal,0,2,L,0.0,1.0,0,0,0.0,,30.0,0.0,0.0,1.0,,14.0,50.0,,1.0,4.0,3.0,0.0,,101.0,0.0,2.0,3.0,0.0,1.0,4.0,,,48.0,112.0,45.0,4.0,,12.0,,1.0,,,11.0,7.0,0.0,50.0,3.0,5.0,15.0,2.1969,102.0,0.0,0.0,70.0,14.0,0.0,2.0,,0.0,,,1.0,34.0,38.0,1.0,41.0,1.0,,8.0,11.0,,0.0,0.0,3.0,,112.0,16.0,0.0,78.0,480.0,2.0,3.0,8.0,,12.0,191.0,17.0,6.0,23.0,2.0,9.0,3.0,0.423609,18.0,242.0,34.0,32.92,450070,,110.0,5.0,,,120.0,6.0,102559.16,0.0,9.0,7.0,54.0,0.0,,0.0,2.0,0.0,16.0,5.0,5.0,3.0,0.0,45.0,210.0,13.0,5.0,2.0,29.0,2.0,47.0,0.0,0.0,,,0.0,2.0,0.0,1.0,8.0,3.0,0.0,2.0,1.0,0.0,,1.0,2.0,32.1,15.0,2.0,,1.0,,2.0,1.0,23.0,3.0,1.0,268.0,12.0,12.0,9.0,3.0,17.0,2.0,3.0,159.0,1.0,3.0,12.0,43.0,10.0,1.0,23.0,17.0,0.0,2.0,1.0,3.0,14.0,0.4918,1.0,9.0,3.0,,,,,,2.0,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
8,2561974,2025-10-20 20:00:00,"London Stadium, London",62452.0,Home,West Ham United,Brentford,0,2,L,0.0,1.0,0,0,0.0,1.0,46.0,0.0,0.0,1.0,0.2026,19.0,39.0,5.0,1.0,2.0,4.0,0.0,,146.0,0.0,2.0,2.0,0.0,2.0,4.0,,1.0,72.0,136.0,43.0,7.0,2.0,36.0,,1.0,,,20.0,12.0,0.0,39.0,4.0,6.0,10.0,1.7499,131.0,0.0,0.0,85.0,10.0,0.0,2.0,,0.0,1.0,2.0,2.0,46.0,62.0,2.0,47.0,1.0,,16.0,16.0,5.0,0.0,0.0,8.0,2.0,136.0,20.0,0.0,79.0,552.0,4.0,8.0,14.0,,2.0,241.0,18.0,4.0,22.0,1.0,6.0,2.0,0.197207,26.0,319.0,33.0,34.41,462116,1.0,128.0,6.0,,,145.0,1.0,109414.76,0.0,5.0,9.0,62.0,0.0,2.0,0.0,8.0,0.0,14.0,2.0,4.0,,0.0,56.0,257.0,10.0,6.0,,29.0,1.0,64.0,0.0,0.0,,,0.0,1.0,0.0,,10.0,5.0,0.0,2.0,3.0,0.0,2.0,,,43.7,23.0,,5.0,,,8.0,3.0,32.0,6.0,2.0,344.0,2.0,4.0,5.0,3.0,26.0,,1.0,219.0,6.0,4.0,15.0,54.0,12.0,1.0,22.0,16.0,0.0,2.0,5.0,5.0,9.0,0.3491,1.0,5.0,6.0,,,,1.0,,,,,,,,,,,3.0,,,,,1.0,,,,,,1.0,,1.0,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
9,2561981,2025-10-24 20:00:00,"Elland Road, Leeds",36788.0,Away,West Ham United,Leeds United,1,2,L,0.0,2.0,0,0,0.0,1.0,52.0,1.0,0.0,,1.0311,19.0,12.0,5.0,4.0,4.0,3.0,0.0,1.0,181.0,0.0,3.0,6.0,1.0,2.0,7.0,1.0,3.0,148.0,160.0,57.0,9.0,3.0,15.0,2.0,,1.0,,23.0,6.0,0.0,12.0,4.0,12.0,36.0,1.4603,242.0,0.0,0.0,149.0,11.0,0.0,1.0,,0.0,,,,76.0,87.0,6.0,73.0,1.0,2.0,19.0,13.0,5.0,0.0,0.0,11.0,2.0,160.0,8.0,1.0,134.0,724.0,6.0,4.0,10.0,,4.0,427.0,18.0,6.0,10.0,3.0,3.0,1.0,0.939614,31.0,515.0,62.0,33.27,214590,3.0,202.0,8.0,,,217.0,3.0,117094.01,0.0,4.0,5.0,52.0,0.0,2.0,0.0,5.0,1.0,18.0,5.0,1.0,,0.0,47.0,441.0,12.0,5.0,,18.0,1.0,78.0,0.0,0.0,,,0.0,,0.0,,3.0,2.0,1.0,2.0,1.0,0.0,3.0,,2.0,59.1,27.0,1.0,5.0,,1.0,6.0,3.0,44.0,4.0,,536.0,4.0,10.0,15.0,3.0,32.0,,1.0,342.0,3.0,12.0,26.0,99.0,22.0,,10.0,13.0,1.0,2.0,8.0,5.0,17.0,0.6499,,4.0,4.0,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,2561994,2025-11-02 14:00:00,"London Stadium, London",62441.0,Home,West Ham United,Newcastle United,3,1,W,2.0,1.0,0,0,1.0,3.0,45.0,1.0,1.0,2.0,1.925,20.0,41.0,5.0,6.0,10.0,3.0,1.0,3.0,131.0,0.0,6.0,7.0,3.0,2.0,10.0,,9.0,64.0,127.0,41.0,15.0,1.0,11.0,4.0,2.0,3.0,,21.0,13.0,0.0,41.0,6.0,9.0,21.0,0.7865,130.0,1.0,0.0,96.0,5.0,0.0,3.0,,1.0,,1.0,1.0,48.0,40.0,8.0,57.0,1.0,,15.0,11.0,5.0,0.0,0.0,4.0,,127.0,6.0,1.0,68.0,527.0,7.0,6.0,21.0,1.0,7.0,236.0,21.0,6.0,24.0,1.0,2.0,2.0,0.342768,17.0,298.0,41.0,32.97,214590,4.0,121.0,10.0,,,144.0,3.0,113623.27,1.0,7.0,11.0,31.0,0.0,2.0,0.0,4.0,2.0,20.0,6.0,1.0,2.0,0.0,62.0,245.0,8.0,7.0,2.0,25.0,3.0,54.0,0.0,0.0,3.0,,0.0,2.0,0.0,1.0,6.0,2.0,1.0,1.0,2.0,0.0,4.0,,1.0,37.4,14.0,,1.0,2.0,1.0,5.0,3.0,18.0,7.0,1.0,320.0,7.0,5.0,7.0,3.0,21.0,2.0,2.0,197.0,8.0,9.0,5.0,69.0,15.0,2.0,24.0,21.0,0.0,0.0,11.0,3.0,10.0,1.7514,2.0,7.0,7.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0682,1.0,,2.0,,4.0,,,,,5.0,,1.0,1.0,,1.0,5.0,,5.0,,,,,,,,1.0,3.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
