gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,accurateLongBalls,totalClearance,saves,attLfGoal,fwdPass,attGoalLowCentre,goals,rightsidePass,possLostAll,duelWon,aerialLost,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,passesLeft,passesRight,backwardPass,totalCrossNocorner,attGoalHighCentre,keeperGoals,crosses18yardplus,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,accurateBackZonePass,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,duelLost,ownGoals,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attPenGoal,totalLongBalls,accuratePass,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,totalPass,interceptionWon,dispossessed,penAreaEntries,totalFwdZonePass,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,totalContest,blockedCross,bigChanceScored,savedObox,attIboxBlocked,expectedGoalsOnTarget,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,totalScoringAtt,attIboxTarget,accurateKeeperSweeper,attOboxTarget,totalCornersIntobox,totalLayoffs,attMissHighRight,penaltyWon,attSvLowLeft,freekickCross,ontargetAttAssist,interceptionsInBox,attMissRight,putThrough,attemptsObox,attOboxMiss,attAssistOpenplay,touchesInOppBox,attHdTarget,attMissHighLeft,totalKeeperSweeper,outfielderBlock,offtargetAttAssist,attBxCentre,crosses18yard,totalPullBack,blockedPass,goalKicks,attCmissHigh,attemptsConcededObox,accurateGoalKicks,attMissHigh,fkFoulWon,attAssistSetplay,attCorner,punches,overrun,accurateFlickOn,accurateCrossNocorner,attHdTotal,attHdMiss,attBxLeft,blockedScoringAtt,cornerTaken,accurateChippedPass,shotOffTarget,accurateCornersIntobox,attIboxMiss,attRfTotal,accurateLayoffs,forwardGoals,attOpenplay,subsMade,expectedGoals,errorLeadToGoal,successfulPutThrough,wonCorners,shotFastbreak,attSvLowCentre,attMissLeft,attOneOnOne,cleanSheet,totalFastbreak,goodHighClaim,bigChanceCreated,accurateThroughBall,bigChanceMissed,sixYardBlock,totalThroughBall,totalOffside,attFastbreak,totalHighClaim,handBall,attPenTarget,attOboxBlocked,goalAssistOpenplay,contentiousDecision,goalAssist,attSetpiece,penaltyConceded,goalAssistIntentional,shieldBallOop,attSvHighCentre,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attLfTarget,goalAssistSetplay,attCmissRight,goalFastbreak,attSvHighRight,ptsGainedLosingPos,accurateFreekickCross,errorLeadToShot,attBxRight,attIboxOwnGoal,penaltySave,attSvHighLeft,foulThrowIn,attIboxPost,attCmissHighLeft,attCmissHighRight,postScoringAtt,attHdPost,hitWoodwork,attSvLowRight,attCmissLeft,attPostHigh,attFreekickTotal,freekickTotal,expectedGoalsFreekick,attFreekickMiss,clearanceOffLine,goalAssistDeadball,attLgRight,attOboxPost,attPostRight,attFreekickPost,attPostLeft,attObxdLeft,attFreekickTarget,attObxdRight
11,2561996,2025-11-09 14:00:00,"Gtech Community Stadium, Brentford",17207.0,Home,Brentford,Newcastle United,3,1,W,0.0,1.0,0,1,0.0,55.0,0.0,1.0,28.0,16.0,,0.0,158.0,1.0,3.0,107.0,151.0,53.0,14.0,16.0,12.0,0.0,16.0,29.0,0.2155,166.0,0.0,0.0,128.0,10.0,0.0,,1.0,49.0,64.0,60.0,11.0,1.0,0.0,1.0,151.0,2.0,0.0,98.0,599.0,5.0,10.0,309.0,24.0,10.0,7.0,2.0,0.798006,26.0,406.0,64.0,33.2,533463,160.0,180.0,3.0,113600.24,2.0,39.0,0.0,0.0,2.0,1.0,14.0,1.0,61.0,321.0,7.0,29.0,64.0,0.0,0.0,0.0,0.0,2.0,,3.0,1.0,0.0,48.8,16.0,4.0,2.0,29.0,423.0,10.0,5.0,41.0,259.0,19.0,74.0,25.0,,7.0,17.0,1.0,1.0,11.0,,3.0,,3.0,2.7499,2.0,3.0,13.0,4.0,5.0,6.0,4.0,9.0,,7.0,15.0,4.0,,,5.0,9.0,,1.0,,4.0,6.0,1.0,2.0,16.0,2.0,1.0,7.0,35.0,,,,1.0,3.0,7.0,6.0,,6.0,6.0,,3.0,2.0,,13.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0,3.0,1.0,4.0,6.0,14.0,4.0,1.0,3.0,7.0,7.0,2.0,7.0,4.0,2.3545,,6.0,6.0,1.0,2.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,,2.0,1.0,,,,1.0,,,,3.0,,,2.0,1.0,,,,,,1.0,,,3.0,2.0,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
12,2562007,2025-11-22 15:00:00,"American Express Stadium, Falmer",31358.0,Away,Brentford,Brighton and Hove Albion,1,2,L,1.0,0.0,0,0,1.0,56.0,1.0,0.0,18.0,29.0,3.0,0.0,125.0,0.0,1.0,73.0,137.0,48.0,14.0,14.0,8.0,0.0,29.0,20.0,1.6043,90.0,0.0,0.0,70.0,9.0,0.0,1.0,0.0,21.0,35.0,48.0,10.0,0.0,0.0,4.0,137.0,8.0,0.0,68.0,512.0,4.0,13.0,221.0,26.0,8.0,18.0,2.0,0.553784,11.0,292.0,42.0,35.88,513418,147.0,168.0,5.0,113525.0,1.0,55.0,0.0,0.0,3.0,0.0,18.0,1.0,51.0,234.0,10.0,27.0,64.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,2.0,0.0,35.8,9.0,3.0,4.0,34.0,314.0,13.0,11.0,20.0,160.0,9.0,35.0,19.0,1.0,18.0,20.0,0.0,1.0,21.0,1.0,1.0,1.0,1.0,1.8275,3.0,,7.0,3.0,3.0,9.0,5.0,5.0,,4.0,10.0,2.0,,1.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,,,15.0,3.0,2.0,3.0,25.0,,1.0,,1.0,3.0,6.0,3.0,,11.0,12.0,,6.0,5.0,2.0,10.0,2.0,2.0,,1.0,1.0,2.0,3.0,2.0,,1.0,4.0,11.0,5.0,1.0,3.0,7.0,3.0,1.0,4.0,4.0,1.9076,,11.0,4.0,,1.0,1.0,,,,,1.0,,2.0,,,1.0,,1.0,,1.0,,,,,2.0,,,1.0,,,,3.0,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
13,2562016,2025-11-29 15:00:00,"Gtech Community Stadium, Brentford",17176.0,Home,Brentford,Burnley,3,1,W,0.0,0.0,0,0,0.0,58.0,1.0,0.0,19.0,51.0,1.0,2.0,151.0,1.0,3.0,105.0,156.0,52.0,16.0,24.0,8.0,0.0,51.0,28.0,0.9567,170.0,0.0,0.0,123.0,7.0,0.0,1.0,1.0,49.0,65.0,56.0,19.0,0.0,0.0,7.0,156.0,2.0,0.0,94.0,633.0,8.0,11.0,316.0,15.0,6.0,39.0,0.0,0.806172,23.0,398.0,71.0,33.64,513418,156.0,175.0,3.0,109395.01,1.0,51.0,0.0,0.0,6.0,2.0,15.0,1.0,42.0,321.0,2.0,17.0,64.0,1.0,0.0,0.0,0.0,6.0,,3.0,1.0,0.0,52.1,15.0,8.0,6.0,39.0,406.0,11.0,16.0,40.0,255.0,30.0,73.0,27.0,2.0,39.0,9.0,0.0,1.0,17.0,2.0,3.0,1.0,,2.1461,3.0,4.0,11.0,1.0,5.0,7.0,3.0,10.0,1.0,4.0,14.0,,1.0,1.0,5.0,8.0,1.0,1.0,,2.0,3.0,2.0,1.0,19.0,3.0,1.0,7.0,35.0,,1.0,1.0,3.0,7.0,7.0,10.0,1.0,11.0,1.0,,4.0,1.0,3.0,6.0,2.0,3.0,,1.0,3.0,3.0,6.0,6.0,,1.0,5.0,12.0,9.0,2.0,8.0,4.0,8.0,2.0,8.0,4.0,3.0628,,11.0,5.0,3.0,1.0,3.0,1.0,,4.0,1.0,3.0,1.0,3.0,,3.0,3.0,3.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
14,2562026,2025-12-03 19:30:00,"Emirates Stadium, London",60110.0,Away,Brentford,Arsenal,0,2,L,0.0,1.0,0,0,0.0,48.0,0.0,0.0,28.0,34.0,5.0,0.0,125.0,0.0,0.0,78.0,138.0,51.0,16.0,12.0,12.0,0.0,34.0,35.0,1.2808,104.0,0.0,0.0,81.0,9.0,0.0,5.0,0.0,24.0,43.0,60.0,4.0,0.0,0.0,3.0,138.0,10.0,0.0,70.0,522.0,9.0,10.0,242.0,26.0,6.0,23.0,1.0,0.315198,14.0,315.0,55.0,35.34,513418,154.0,177.0,1.0,116176.19,0.0,57.0,0.0,0.0,2.0,0.0,18.0,0.0,65.0,255.0,7.0,24.0,59.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,38.1,7.0,,2.0,25.0,333.0,10.0,13.0,29.0,168.0,20.0,44.0,20.0,,23.0,19.0,0.0,2.0,18.0,,,2.0,2.0,0.1405,1.0,1.0,5.0,,3.0,5.0,,4.0,,1.0,6.0,1.0,2.0,,8.0,3.0,,,,,2.0,1.0,2.0,11.0,1.0,,2.0,13.0,1.0,,2.0,4.0,2.0,1.0,1.0,1.0,7.0,8.0,,5.0,7.0,,7.0,2.0,4.0,,,,1.0,3.0,1.0,1.0,3.0,8.0,17.0,2.0,2.0,2.0,2.0,3.0,,2.0,5.0,0.3483,1.0,7.0,8.0,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
15,2562043,2025-12-06 15:00:00,"Tottenham Hotspur Stadium, London",60759.0,Away,Brentford,Tottenham Hotspur,0,2,L,0.0,2.0,0,0,0.0,48.0,0.0,0.0,17.0,34.0,5.0,0.0,113.0,0.0,0.0,86.0,133.0,58.0,16.0,18.0,16.0,0.0,34.0,21.0,2.8873,139.0,0.0,0.0,100.0,9.0,0.0,1.0,0.0,56.0,38.0,50.0,12.0,0.0,0.0,5.0,133.0,9.0,0.0,106.0,559.0,4.0,7.0,266.0,21.0,5.0,16.0,4.0,0.588236,15.0,333.0,50.0,35.66,513418,144.0,158.0,4.0,111722.18,0.0,50.0,0.0,0.0,5.0,0.0,21.0,0.0,42.0,281.0,8.0,18.0,57.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,0.0,46.7,12.0,3.0,5.0,27.0,355.0,7.0,9.0,33.0,215.0,18.0,60.0,19.0,2.0,16.0,24.0,0.0,2.0,16.0,2.0,,2.0,1.0,0.4459,1.0,1.0,3.0,1.0,2.0,8.0,,3.0,,1.0,4.0,1.0,2.0,,6.0,3.0,1.0,,,1.0,2.0,3.0,2.0,11.0,1.0,1.0,3.0,16.0,,,2.0,3.0,1.0,2.0,6.0,,5.0,10.0,,6.0,6.0,,8.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,,1.0,6.0,10.0,2.0,1.0,1.0,2.0,3.0,,3.0,5.0,0.2869,1.0,5.0,6.0,1.0,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
16,2562046,2025-12-14 16:30:00,"Gtech Community Stadium, Brentford",17159.0,Home,Brentford,Leeds United,1,1,D,0.0,0.0,0,0,0.0,42.0,1.0,0.0,33.0,44.0,3.0,0.0,158.0,0.0,1.0,137.0,155.0,53.0,26.0,18.0,9.0,0.0,44.0,37.0,1.6698,186.0,0.0,0.0,117.0,8.0,0.0,1.0,1.0,52.0,87.0,72.0,18.0,0.0,0.0,12.0,155.0,11.0,0.0,130.0,692.0,10.0,8.0,392.0,23.0,9.0,26.0,0.0,0.215228,25.0,479.0,62.0,34.28,533463,218.0,238.0,3.0,113684.03,1.0,57.0,0.0,0.0,2.0,1.0,18.0,0.0,77.0,403.0,8.0,35.0,83.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,56.9,17.0,2.0,2.0,43.0,497.0,8.0,4.0,32.0,277.0,31.0,76.0,14.0,1.0,26.0,12.0,0.0,1.0,15.0,1.0,1.0,,1.0,0.8401,3.0,3.0,4.0,,1.0,4.0,1.0,4.0,,2.0,7.0,1.0,,,,13.0,,1.0,,1.0,2.0,1.0,,5.0,3.0,3.0,3.0,14.0,,,,7.0,2.0,1.0,5.0,1.0,2.0,8.0,2.0,7.0,3.0,2.0,8.0,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,15.0,4.0,,1.0,3.0,13.0,,4.0,4.0,0.72,,2.0,,,1.0,2.0,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2562064,2025-12-20 15:00:00,"Molineux Stadium, Wolverhampton",27662.0,Away,Brentford,Wolverhampton Wanderers,2,0,W,0.0,0.0,0,0,0.0,53.0,0.0,1.0,20.0,36.0,2.0,1.0,160.0,1.0,2.0,109.0,138.0,47.0,16.0,22.0,6.0,0.0,36.0,33.0,0.9896,186.0,0.0,0.0,100.0,15.0,0.0,1.0,0.0,67.0,60.0,83.0,18.0,0.0,0.0,4.0,138.0,6.0,0.0,129.0,680.0,5.0,16.0,387.0,28.0,3.0,21.0,4.0,1.70883,22.0,464.0,49.0,32.2,502500,224.0,244.0,7.0,112587.46,1.0,53.0,0.0,0.0,1.0,2.0,16.0,0.0,49.0,400.0,7.0,19.0,67.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,56.8,13.0,,1.0,37.0,481.0,16.0,7.0,39.0,259.0,19.0,63.0,24.0,,21.0,12.0,0.0,0.0,13.0,,2.0,,,1.7271,,2.0,7.0,1.0,10.0,4.0,2.0,5.0,,6.0,7.0,4.0,,,4.0,7.0,,,,3.0,4.0,1.0,1.0,11.0,,,3.0,28.0,2.0,,,6.0,1.0,7.0,11.0,1.0,3.0,5.0,,3.0,3.0,,12.0,,,1.0,2.0,2.0,9.0,2.0,,,,4.0,14.0,1.0,1.0,1.0,3.0,6.0,2.0,7.0,1.0,1.2798,,3.0,4.0,1.0,4.0,,,1.0,1.0,,4.0,,2.0,,1.0,2.0,1.0,,,,,2.0,,2.0,,1.0,2.0,,,1.0,,,1.0,,1.0,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,2562066,2025-12-27 15:00:00,"Gtech Community Stadium, Brentford",17152.0,Home,Brentford,Bournemouth,4,1,W,2.0,0.0,0,0,0.0,53.0,0.0,1.0,35.0,51.0,9.0,1.0,157.0,1.0,4.0,84.0,139.0,52.0,15.0,8.0,7.0,1.0,51.0,39.0,1.1825,149.0,0.0,0.0,121.0,9.0,0.0,3.0,3.0,38.0,51.0,70.0,7.0,0.0,0.0,4.0,139.0,13.0,0.0,84.0,622.0,7.0,10.0,297.0,29.0,11.0,31.0,2.0,1.4465,19.0,373.0,52.0,34.85,513418,164.0,191.0,2.0,112721.82,1.0,56.0,0.0,0.0,5.0,3.0,20.0,0.0,64.0,311.0,14.0,29.0,63.0,0.0,0.0,0.0,0.0,15.0,4.0,3.0,1.0,0.0,49.3,11.0,,5.0,36.0,395.0,10.0,12.0,23.0,212.0,21.0,80.0,14.0,2.0,31.0,12.0,1.0,1.0,18.0,2.0,3.0,5.0,3.0,3.3417,5.0,7.0,10.0,,2.0,12.0,1.0,11.0,,7.0,15.0,2.0,2.0,2.0,1.0,11.0,,,,1.0,8.0,1.0,1.0,13.0,5.0,2.0,7.0,32.0,,,2.0,9.0,3.0,5.0,2.0,,4.0,9.0,,7.0,7.0,,8.0,1.0,1.0,,,4.0,1.0,2.0,1.0,1.0,4.0,2.0,26.0,4.0,1.0,2.0,6.0,10.0,,13.0,4.0,3.6596,1.0,4.0,2.0,6.0,3.0,3.0,,,7.0,,5.0,1.0,2.0,1.0,1.0,3.0,6.0,,,,1.0,3.0,,3.0,1.0,,3.0,3.0,,,,,4.0,,,1.0,1.0,,1.0,,2.0,,,,,,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,
19,2562076,2026-01-01 20:00:00,"Gtech Community Stadium, Brentford",17141.0,Home,Brentford,Tottenham Hotspur,0,0,D,0.0,0.0,0,0,0.0,64.0,0.0,0.0,24.0,20.0,2.0,0.0,186.0,0.0,0.0,122.0,153.0,48.0,18.0,20.0,12.0,0.0,20.0,35.0,0.8925,199.0,0.0,0.0,145.0,8.0,0.0,1.0,0.0,78.0,55.0,80.0,17.0,0.0,0.0,8.0,153.0,7.0,0.0,127.0,704.0,10.0,9.0,415.0,24.0,9.0,14.0,1.0,1.31973,18.0,500.0,72.0,33.78,513418,231.0,250.0,3.0,111686.05,0.0,53.0,0.0,0.0,5.0,0.0,21.0,0.0,58.0,426.0,9.0,30.0,69.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,55.9,15.0,5.0,5.0,36.0,515.0,9.0,10.0,32.0,285.0,17.0,97.0,28.0,,14.0,18.0,0.0,0.0,11.0,,,,1.0,0.2865,3.0,3.0,4.0,,4.0,3.0,3.0,4.0,1.0,2.0,7.0,2.0,1.0,,3.0,12.0,,,,1.0,3.0,1.0,1.0,13.0,3.0,2.0,3.0,20.0,2.0,1.0,1.0,5.0,1.0,4.0,8.0,1.0,5.0,5.0,,2.0,4.0,1.0,10.0,1.0,1.0,,2.0,6.0,2.0,2.0,,,2.0,3.0,18.0,3.0,2.0,1.0,2.0,11.0,,3.0,2.0,0.9238,,5.0,3.0,,1.0,,,1.0,,2.0,1.0,,1.0,1.0,1.0,4.0,,2.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,0.0749,,1.0,,,,,,,,,
20,2562088,2026-01-04 15:00:00,"Hill Dickinson Stadium, Liverpool",52514.0,Away,Brentford,Everton,4,2,W,1.0,0.0,0,0,0.0,64.0,2.0,0.0,21.0,24.0,4.0,1.0,163.0,1.0,4.0,106.0,150.0,54.0,29.0,12.0,8.0,1.0,24.0,31.0,1.1633,130.0,0.0,0.0,104.0,8.0,0.0,1.0,0.0,50.0,51.0,87.0,7.0,0.0,0.0,5.0,150.0,11.0,0.0,99.0,667.0,5.0,10.0,347.0,23.0,10.0,14.0,2.0,1.32802,19.0,437.0,61.0,34.76,502500,231.0,257.0,2.0,113650.12,2.0,73.0,0.0,1.0,9.0,3.0,15.0,0.0,74.0,355.0,13.0,41.0,70.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,0.0,54.6,16.0,6.0,9.0,25.0,455.0,10.0,12.0,25.0,210.0,24.0,57.0,24.0,1.0,14.0,16.0,1.0,2.0,18.0,1.0,4.0,1.0,2.0,3.0962,1.0,5.0,9.0,2.0,6.0,6.0,,9.0,,7.0,11.0,3.0,,,5.0,6.0,,,,,9.0,3.0,1.0,18.0,2.0,2.0,5.0,23.0,,1.0,,6.0,1.0,6.0,2.0,,9.0,5.0,1.0,3.0,2.0,1.0,9.0,1.0,1.0,2.0,,,5.0,1.0,1.0,1.0,2.0,5.0,11.0,2.0,1.0,1.0,5.0,5.0,3.0,9.0,4.0,2.6562,,9.0,5.0,5.0,2.0,,3.0,,6.0,,6.0,4.0,2.0,,5.0,2.0,5.0,1.0,,,,3.0,,4.0,,,3.0,1.0,,,,,1.0,1.0,,2.0,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,
21,2562097,2026-01-07 19:30:00,"Gtech Community Stadium, Brentford",17016.0,Home,Brentford,Sunderland,3,0,W,1.0,0.0,0,0,0.0,51.0,1.0,1.0,30.0,22.0,3.0,1.0,141.0,1.0,3.0,87.0,108.0,42.0,18.0,22.0,3.0,0.0,22.0,28.0,0.9991,171.0,0.0,0.0,129.0,13.0,0.0,,1.0,34.0,72.0,61.0,17.0,0.0,0.0,3.0,108.0,7.0,0.0,103.0,565.0,7.0,8.0,312.0,21.0,6.0,15.0,2.0,1.5013,14.0,369.0,41.0,34.43,513418,161.0,178.0,7.0,111938.06,1.0,41.0,0.0,0.0,2.0,2.0,14.0,0.0,65.0,328.0,3.0,28.0,54.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,50.5,10.0,4.0,2.0,29.0,392.0,8.0,1.0,42.0,236.0,17.0,99.0,21.0,,15.0,8.0,1.0,0.0,10.0,,3.0,1.0,3.0,3.1614,3.0,5.0,14.0,1.0,4.0,4.0,3.0,14.0,1.0,6.0,18.0,3.0,,,5.0,8.0,,,,,8.0,2.0,1.0,9.0,4.0,1.0,10.0,42.0,,1.0,,4.0,6.0,8.0,14.0,3.0,4.0,5.0,,4.0,2.0,2.0,13.0,1.0,3.0,,,4.0,3.0,3.0,1.0,,5.0,7.0,19.0,7.0,1.0,2.0,10.0,8.0,2.0,13.0,4.0,3.2432,,4.0,7.0,3.0,2.0,,1.0,1.0,4.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,,,2.0,3.0,,3.0,,1.0,2.0,1.0,1.0,1.0,,,2.0,,1.0,1.0,,,,,1.0,,1.0,,,3.0,,,4.0,,4.0,,,2.0,2.0,2.0,0.1121,,,,,1.0,1.0,1.0,1.0,1.0,,
22,2562107,2026-01-17 15:00:00,"Stamford Bridge, London",39704.0,Away,Brentford,Chelsea,0,2,L,0.0,1.0,0,0,0.0,50.0,0.0,0.0,22.0,16.0,,0.0,141.0,0.0,0.0,146.0,125.0,36.0,12.0,29.0,9.0,0.0,16.0,43.0,1.2431,197.0,0.0,0.0,129.0,10.0,0.0,,0.0,70.0,57.0,81.0,21.0,0.0,0.0,8.0,125.0,4.0,0.0,145.0,694.0,,8.0,430.0,18.0,2.0,10.0,2.0,1.17975,21.0,497.0,62.0,33.94,513418,256.0,266.0,4.0,113975.36,0.0,45.0,0.0,0.0,2.0,0.0,14.0,0.0,49.0,446.0,7.0,12.0,63.0,0.0,0.0,0.0,0.0,3.0,,0.0,2.0,0.0,54.2,18.0,4.0,2.0,37.0,513.0,8.0,7.0,43.0,276.0,12.0,91.0,25.0,2.0,10.0,14.0,0.0,2.0,13.0,2.0,,,2.0,0.6015,5.0,4.0,10.0,4.0,7.0,3.0,1.0,14.0,,5.0,15.0,4.0,,1.0,8.0,4.0,,,,1.0,9.0,1.0,2.0,15.0,5.0,1.0,12.0,33.0,1.0,,,2.0,5.0,7.0,12.0,1.0,8.0,6.0,,2.0,6.0,1.0,7.0,2.0,4.0,,1.0,,5.0,3.0,2.0,1.0,5.0,9.0,23.0,5.0,2.0,3.0,7.0,3.0,,7.0,4.0,1.5161,,8.0,9.0,2.0,3.0,1.0,,,2.0,,3.0,1.0,3.0,1.0,1.0,1.0,2.0,,1.0,,3.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,2.0,,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,
23,2562117,2026-01-25 14:00:00,"Gtech Community Stadium, Brentford",17134.0,Home,Brentford,Nottingham Forest,0,2,L,0.0,1.0,0,0,0.0,54.0,0.0,0.0,32.0,22.0,,0.0,164.0,0.0,0.0,142.0,153.0,57.0,16.0,36.0,6.0,0.0,22.0,31.0,0.852,290.0,0.0,0.0,182.0,11.0,0.0,,0.0,105.0,95.0,92.0,31.0,0.0,0.0,13.0,153.0,5.0,0.0,169.0,785.0,9.0,15.0,475.0,14.0,4.0,15.0,1.0,1.78905,24.0,552.0,74.0,32.43,607464,207.0,219.0,7.0,110657.13,0.0,54.0,0.0,0.0,2.0,0.0,21.0,0.0,45.0,490.0,9.0,8.0,75.0,0.0,0.0,0.0,0.0,5.0,,0.0,2.0,0.0,65.9,20.0,8.0,2.0,52.0,567.0,15.0,9.0,50.0,384.0,23.0,141.0,29.0,1.0,15.0,14.0,0.0,2.0,19.0,1.0,,,2.0,0.3632,1.0,2.0,9.0,,7.0,10.0,3.0,9.0,,1.0,10.0,1.0,,,5.0,9.0,,,,4.0,4.0,1.0,1.0,19.0,1.0,,5.0,42.0,,,,3.0,5.0,5.0,14.0,,6.0,5.0,1.0,2.0,5.0,2.0,10.0,4.0,3.0,,3.0,4.0,4.0,5.0,3.0,1.0,3.0,6.0,19.0,6.0,3.0,6.0,3.0,8.0,,3.0,5.0,1.8087,,6.0,6.0,2.0,1.0,3.0,1.0,,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,,,2.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,
24,2562125,2026-02-01 14:00:00,"Villa Park, Birmingham",41415.0,Away,Brentford,Aston Villa,1,0,W,1.0,0.0,1,0,0.0,48.0,0.0,0.0,26.0,34.0,5.0,1.0,107.0,0.0,1.0,52.0,124.0,35.0,15.0,7.0,4.0,0.0,34.0,23.0,0.9796,76.0,0.0,0.0,63.0,8.0,0.0,2.0,1.0,26.0,50.0,43.0,6.0,0.0,0.0,3.0,124.0,17.0,0.0,54.0,446.0,4.0,13.0,173.0,27.0,8.0,21.0,3.0,0.154554,18.0,224.0,53.0,35.68,513418,109.0,119.0,2.0,112892.14,0.0,49.0,0.0,0.0,,1.0,11.0,0.0,73.0,184.0,8.0,26.0,65.0,1.0,0.0,0.0,0.0,12.0,4.0,1.0,0.0,1.0,28.3,10.0,,,21.0,256.0,13.0,7.0,13.0,144.0,18.0,30.0,13.0,2.0,21.0,7.0,0.0,0.0,14.0,2.0,1.0,1.0,1.0,0.6991,1.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,,2.0,6.0,1.0,1.0,,1.0,4.0,,,,1.0,1.0,3.0,2.0,16.0,1.0,1.0,2.0,13.0,,1.0,1.0,10.0,2.0,2.0,2.0,,13.0,18.0,,10.0,6.0,,8.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,,2.0,2.0,4.0,,2.0,4.0,0.3764,,13.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,6.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
