fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round
2,15,True,2025-08-16T11:30:00Z,0,0,1
19,12,True,2025-08-25T19:00:00Z,2,3,2
24,11,False,2025-08-30T16:30:00Z,0,0,3
39,20,True,2025-09-13T14:00:00Z,1,0,4
42,4,False,2025-09-21T13:00:00Z,0,0,5
58,1,True,2025-09-28T15:30:00Z,1,2,6
69,16,True,2025-10-05T13:00:00Z,2,0,7
71,6,False,2025-10-18T14:00:00Z,2,1,8
89,10,True,2025-10-25T14:00:00Z,2,1,9
100,19,False,2025-11-02T14:00:00Z,3,1,10
102,5,False,2025-11-09T14:00:00Z,3,1,11
119,13,True,2025-11-22T17:30:00Z,2,1,12
125,9,False,2025-11-29T17:30:00Z,1,4,13
139,18,True,2025-12-02T20:15:00Z,2,2,14
148,3,True,2025-12-06T15:00:00Z,2,1,15
159,17,False,2025-12-14T14:00:00Z,1,0,16
168,7,True,2025-12-20T12:30:00Z,2,2,17
177,14,False,2025-12-26T20:00:00Z,1,0,18
183,3,False,2025-12-30T19:30:00Z,1,3,19
198,8,True,2026-01-04T15:00:00Z,2,0,20
209,11,True,2026-01-07T20:15:00Z,4,3,21
220,20,False,2026-01-18T14:00:00Z,0,0,22
229,2,True,2026-01-25T14:00:00Z,0,2,23
235,12,False,2026-01-31T20:00:00Z,4,1,24
249,5,True,2026-02-07T17:30:00Z,2,3,25
259,18,False,2026-02-10T19:30:00Z,1,2,26
266,13,False,2026-02-21T20:00:00Z,2,1,27
279,9,True,2026-02-28T15:00:00Z,2,3,28
288,14,True,2026-03-04T20:15:00Z,2,1,29
294,7,False,2026-03-14T17:30:00Z,0,1,30
308,17,True,2026-03-22T12:00:00Z,1,2,31
315,8,False,2026-04-12T13:00:00Z,2,1,32
328,4,True,2026-04-18T14:00:00Z,1,2,33
331,1,False,2026-04-25T16:30:00Z,1,0,34
349,6,True,2026-05-02T14:00:00Z,3,1,35
357,16,False,2026-05-10T13:00:00Z,1,1,36
369,19,True,2026-05-17T16:30:00Z,3,1,37
374,10,False,2026-05-24T15:00:00Z,2,0,38
