gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateThroughBall,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,goalAssistSetplay,goalAssistDeadball,attCmissRight,shotFastbreak,attBxRight,goalAssistOpenplay,attMissHighRight,penaltyWon,totalFastbreak,attMissRight,bigChanceCreated,goalAssist,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,totalPullBack,attAssistSetplay,attFastbreak,overrun,accurateFlickOn,goalAssistIntentional,attHdMiss,forwardGoals,accurateKeeperSweeper,attSvLowLeft,interceptionsInBox,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,attFreekickMiss,effectiveBlockedCross,blockedCross,handBall,accuratePullBack,postScoringAtt,attIboxPost,attHdTarget,hitWoodwork,attSvHighCentre,attPostRight,attOneOnOne,attSvHighRight,ptsGainedLosingPos,attCmissHigh,contentiousDecision,attPostLeft,attObxdLeft,attOboxPost,attCmissLeft,attSvHighLeft,attHdPost,attPostHigh,goalFastbreak,attLgCentre,attFreekickTarget,ptsDroppedWinningPos,attCmissHighRight,attObxRight,errorLeadToGoal,foulThrowIn,attCmissHighLeft,attObxdRight,clearanceOffLine,attIboxOwnGoal
1,2561903,2025-08-17 16:30:00,"Old Trafford, Manchester",73475.0,Away,Arsenal,Manchester United,1,0,W,1.0,0.0,0,0,0.0,1.0,1.0,50.0,0.0,1.0,2.0,2.0,1.2134,20.0,30.0,4.0,4.0,5.0,7.0,0.0,1.0,126.0,0.0,2.0,9.0,1.0,2.0,5.0,3.0,67.0,129.0,53.0,1.0,9.0,1.0,23.0,1.0,1.0,2.0,11.0,10.0,0.0,1.0,30.0,3.0,5.0,21.0,0.7494,112.0,1.0,0.0,0.0,84.0,19.0,0.0,2.0,0.0,1.0,2.0,29.0,49.0,4.0,32.0,8.0,10.0,4.0,1.0,0.0,0.0,1.0,2.0,129.0,15.0,0.0,69.0,499.0,5.0,5.0,20.0,4.0,208.0,14.0,5.0,13.0,4.0,8.0,1.0,0.513726,15.0,272.0,0.0569,35.0,1.0,35.29,444145,2.0,109.0,6.0,122.0,10.0,112430.48,0.0,4.0,9.0,70.0,0.0,2.0,1.0,2.0,9.0,0.0,15.0,7.0,2.0,1.0,0.0,49.0,219.0,10.0,9.0,19.0,3.0,58.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,38.9,9.0,4.0,2.0,9.0,3.0,29.0,4.0,2.0,294.0,4.0,6.0,8.0,3.0,25.0,1.0,1.0,183.0,4.0,3.0,16.0,51.0,21.0,13.0,18.0,1.0,0.0,5.0,5.0,25.0,1.3073,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561906,2025-08-23 17:30:00,"Emirates Stadium, London",60110.0,Home,Arsenal,Leeds United,5,0,W,2.0,0.0,0,0,0.0,,2.0,38.0,2.0,1.0,,2.0,2.7748,24.0,7.0,5.0,5.0,13.0,1.0,0.0,,133.0,0.0,8.0,12.0,5.0,5.0,12.0,5.0,193.0,96.0,47.0,,18.0,2.0,4.0,,,3.0,19.0,8.0,0.0,,7.0,2.0,15.0,28.0,0.1446,212.0,1.0,0.0,0.0,127.0,8.0,0.0,,0.0,3.0,,67.0,63.0,7.0,79.0,17.0,17.0,5.0,,2.0,0.0,5.0,3.0,96.0,2.0,0.0,194.0,780.0,6.0,2.0,34.0,5.0,539.0,8.0,6.0,4.0,0.0,2.0,5.0,0.90332,28.0,589.0,,52.0,1.0,34.69,248857,7.0,345.0,9.0,350.0,4.0,112876.65,4.0,13.0,2.0,34.0,0.0,3.0,2.0,,1.0,2.0,12.0,1.0,2.0,1.0,1.0,35.0,549.0,11.0,4.0,10.0,4.0,55.0,0.0,0.0,,0.0,,0.0,2.0,1.0,5.0,0.0,0.0,6.0,,2.0,67.5,24.0,7.0,,1.0,4.0,40.0,2.0,1.0,599.0,5.0,6.0,20.0,9.0,24.0,2.0,6.0,268.0,10.0,13.0,13.0,97.0,21.0,4.0,12.0,1.0,0.0,11.0,5.0,24.0,2.8787,13.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561919,2025-08-31 16:30:00,"Anfield, Liverpool",60455.0,Away,Arsenal,Liverpool,0,1,L,0.0,0.0,0,0,1.0,1.0,,45.0,0.0,0.0,,5.0,0.5561,25.0,19.0,3.0,6.0,8.0,2.0,0.0,,125.0,0.0,3.0,3.0,0.0,,5.0,1.0,95.0,115.0,32.0,1.0,11.0,2.0,10.0,1.0,,,17.0,6.0,0.0,,19.0,8.0,7.0,23.0,0.2733,122.0,,0.0,0.0,103.0,10.0,0.0,,0.0,,1.0,47.0,44.0,4.0,56.0,9.0,18.0,3.0,1.0,0.0,0.0,2.0,1.0,115.0,4.0,0.0,95.0,536.0,4.0,5.0,29.0,9.0,292.0,11.0,6.0,5.0,2.0,4.0,1.0,0.44536,16.0,356.0,0.0183,46.0,,34.16,248857,4.0,184.0,7.0,197.0,4.0,114030.88,0.0,6.0,5.0,38.0,0.0,,0.0,,7.0,0.0,19.0,5.0,5.0,,0.0,50.0,303.0,7.0,7.0,22.0,3.0,55.0,0.0,0.0,,0.0,,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,47.0,14.0,2.0,2.0,7.0,7.0,30.0,8.0,2.0,371.0,9.0,6.0,11.0,3.0,25.0,2.0,2.0,191.0,3.0,7.0,9.0,64.0,21.0,5.0,14.0,0.0,0.0,6.0,4.0,8.0,0.4853,6.0,8.0,,,,,2.0,,1.0,,,1.0,,,,,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561926,2025-09-13 12:30:00,"Emirates Stadium, London",60167.0,Home,Arsenal,Nottingham Forest,3,0,W,1.0,0.0,0,0,0.0,,1.0,44.0,0.0,0.0,,3.0,2.3488,15.0,15.0,4.0,4.0,12.0,1.0,0.0,1.0,146.0,0.0,5.0,11.0,3.0,1.0,13.0,5.0,128.0,108.0,44.0,,16.0,2.0,9.0,2.0,1.0,2.0,20.0,11.0,1.0,,15.0,8.0,10.0,17.0,0.0627,190.0,1.0,1.0,0.0,135.0,8.0,0.0,1.0,2.0,1.0,,59.0,64.0,6.0,79.0,12.0,15.0,4.0,,2.0,0.0,3.0,1.0,108.0,3.0,0.0,125.0,645.0,8.0,3.0,38.0,7.0,400.0,13.0,3.0,10.0,1.0,3.0,6.0,1.67156,12.0,461.0,,48.0,,32.95,444145,5.0,230.0,8.0,246.0,4.0,117436.19,2.0,7.0,6.0,32.0,0.0,5.0,0.0,2.0,5.0,1.0,11.0,2.0,6.0,2.0,0.0,30.0,415.0,11.0,5.0,11.0,4.0,49.0,0.0,0.0,,0.0,,0.0,4.0,1.0,2.0,0.0,0.0,2.0,,4.0,54.2,9.0,7.0,1.0,5.0,5.0,37.0,8.0,,478.0,7.0,2.0,10.0,6.0,31.0,3.0,4.0,252.0,8.0,10.0,9.0,100.0,19.0,10.0,13.0,1.0,0.0,9.0,5.0,21.0,1.8352,7.0,8.0,1.0,,1.0,,1.0,1.0,,,,1.0,3.0,2.0,,4.0,1.0,2.0,4.0,2.0,,2.0,1.0,2.0,2.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5,2561936,2025-09-21 16:30:00,"Emirates Stadium, London",60161.0,Home,Arsenal,Manchester City,1,1,D,0.0,1.0,0,0,0.0,,1.0,50.0,0.0,1.0,,3.0,1.237,33.0,18.0,1.0,3.0,11.0,2.0,0.0,2.0,161.0,0.0,5.0,6.0,1.0,1.0,8.0,3.0,170.0,142.0,51.0,,12.0,,17.0,2.0,,1.0,32.0,13.0,0.0,,18.0,11.0,8.0,27.0,1.1089,277.0,,0.0,0.0,189.0,11.0,0.0,1.0,0.0,1.0,,66.0,76.0,5.0,76.0,21.0,21.0,1.0,,0.0,0.0,6.0,1.0,142.0,4.0,1.0,175.0,791.0,6.0,3.0,39.0,5.0,505.0,21.0,12.0,13.0,1.0,,3.0,0.96983,20.0,568.0,,61.0,2.0,33.8,444145,6.0,245.0,14.0,259.0,8.0,121460.73,1.0,12.0,1.0,51.0,0.0,7.0,0.0,4.0,1.0,1.0,27.0,1.0,1.0,3.0,0.0,53.0,517.0,10.0,10.0,24.0,3.0,57.0,0.0,0.0,1.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,4.0,1.0,3.0,66.8,17.0,2.0,1.0,1.0,3.0,41.0,11.0,,582.0,5.0,8.0,18.0,6.0,43.0,1.0,5.0,355.0,6.0,6.0,15.0,148.0,24.0,13.0,20.0,0.0,1.0,8.0,5.0,11.0,0.8884,12.0,11.0,,,,,3.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
6,2561952,2025-09-28 16:30:00,"St. James' Park, Newcastle",52199.0,Away,Arsenal,Newcastle United,2,1,W,0.0,1.0,0,0,0.0,1.0,1.0,48.0,0.0,1.0,1.0,5.0,2.7305,22.0,29.0,1.0,7.0,18.0,2.0,0.0,2.0,169.0,1.0,9.0,11.0,2.0,1.0,15.0,7.0,122.0,137.0,54.0,,20.0,1.0,26.0,5.0,2.0,,23.0,6.0,0.0,1.0,29.0,10.0,12.0,30.0,0.9259,246.0,,0.0,0.0,176.0,9.0,0.0,,0.0,2.0,1.0,56.0,72.0,9.0,77.0,13.0,9.0,2.0,,0.0,0.0,4.0,1.0,137.0,7.0,1.0,127.0,683.0,12.0,3.0,43.0,10.0,395.0,19.0,7.0,18.0,1.0,3.0,6.0,1.6798,19.0,481.0,,63.0,1.0,34.34,224117,13.0,168.0,7.0,186.0,4.0,114603.4,0.0,4.0,3.0,49.0,0.0,2.0,1.0,,4.0,0.0,14.0,1.0,,2.0,0.0,58.0,405.0,8.0,3.0,30.0,4.0,70.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,2.0,1.0,0.0,6.0,,6.0,63.4,15.0,2.0,,6.0,6.0,38.0,12.0,1.0,495.0,10.0,6.0,16.0,7.0,49.0,3.0,5.0,332.0,7.0,11.0,22.0,127.0,19.0,18.0,13.0,2.0,1.0,12.0,5.0,17.0,2.0437,4.0,12.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
7,2561956,2025-10-04 15:00:00,"Emirates Stadium, London",60181.0,Home,Arsenal,West Ham United,2,0,W,1.0,0.0,0,0,0.0,1.0,2.0,36.0,0.0,1.0,,7.0,2.1969,10.0,27.0,5.0,6.0,16.0,,1.0,3.0,141.0,0.0,3.0,5.0,2.0,5.0,11.0,5.0,181.0,122.0,54.0,,21.0,2.0,12.0,3.0,3.0,3.0,23.0,14.0,0.0,,27.0,6.0,3.0,18.0,,259.0,1.0,0.0,0.0,171.0,14.0,0.0,,1.0,4.0,,64.0,64.0,8.0,75.0,17.0,10.0,5.0,,1.0,0.0,4.0,2.0,122.0,4.0,0.0,169.0,760.0,8.0,2.0,46.0,7.0,481.0,13.0,5.0,16.0,0.0,1.0,2.0,2.00085,16.0,548.0,,44.0,2.0,31.66,224117,5.0,242.0,9.0,250.0,10.0,109318.73,1.0,1.0,4.0,45.0,0.0,5.0,0.0,1.0,5.0,1.0,10.0,,3.0,1.0,1.0,27.0,498.0,14.0,3.0,17.0,5.0,51.0,0.0,0.0,,0.0,,0.0,3.0,,2.0,0.0,0.0,3.0,1.0,3.0,67.9,10.0,4.0,2.0,5.0,9.0,30.0,8.0,,566.0,7.0,9.0,10.0,7.0,49.0,,4.0,339.0,12.0,3.0,12.0,129.0,13.0,16.0,23.0,0.0,0.0,12.0,5.0,13.0,2.7741,1.0,8.0,,,,,4.0,,,1.0,,,2.0,,2.0,2.0,3.0,3.0,1.0,2.0,,,1.0,,2.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
8,2561968,2025-10-18 17:30:00,"Craven Cottage, London",27736.0,Away,Arsenal,Fulham,1,0,W,0.0,0.0,0,0,0.0,1.0,1.0,48.0,0.0,0.0,,3.0,1.4233,20.0,29.0,2.0,4.0,14.0,,0.0,3.0,150.0,1.0,5.0,10.0,1.0,1.0,13.0,5.0,157.0,135.0,52.0,,16.0,1.0,8.0,4.0,3.0,4.0,24.0,5.0,0.0,,29.0,7.0,4.0,33.0,,273.0,1.0,0.0,0.0,195.0,4.0,0.0,,0.0,1.0,,61.0,97.0,8.0,67.0,17.0,15.0,2.0,,0.0,0.0,3.0,1.0,135.0,6.0,0.0,172.0,734.0,11.0,1.0,46.0,1.0,459.0,10.0,2.0,17.0,0.0,2.0,5.0,1.05263,17.0,524.0,,80.0,2.0,32.35,444145,1.0,207.0,13.0,214.0,3.0,114080.82,1.0,6.0,8.0,38.0,0.0,6.0,0.0,2.0,3.0,0.0,19.0,3.0,4.0,2.0,0.0,48.0,475.0,11.0,6.0,16.0,4.0,71.0,0.0,0.0,1.0,0.0,,0.0,6.0,,1.0,0.0,0.0,4.0,,3.0,63.0,13.0,4.0,5.0,3.0,4.0,49.0,10.0,,546.0,1.0,16.0,18.0,7.0,48.0,1.0,6.0,356.0,9.0,3.0,22.0,143.0,31.0,17.0,9.0,0.0,0.0,12.0,3.0,14.0,1.8679,6.0,10.0,1.0,,1.0,1.0,3.0,,,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,,2.0,1.0,1.0,,1.0,,2.0,1.0,1.0,,1.0,2.0,1.0,3.0,,2.0,2.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,
9,2561976,2025-10-26 14:00:00,"Emirates Stadium, London",60103.0,Home,Arsenal,Crystal Palace,1,0,W,1.0,0.0,0,0,0.0,,,45.0,0.0,1.0,,1.0,1.0192,18.0,28.0,3.0,2.0,7.0,1.0,0.0,2.0,152.0,0.0,4.0,5.0,1.0,3.0,7.0,3.0,162.0,146.0,48.0,,10.0,2.0,16.0,2.0,,1.0,10.0,7.0,0.0,,28.0,4.0,6.0,28.0,0.4775,220.0,1.0,0.0,0.0,147.0,6.0,0.0,,1.0,3.0,,64.0,54.0,3.0,75.0,6.0,16.0,3.0,,0.0,0.0,,1.0,146.0,5.0,0.0,151.0,716.0,6.0,6.0,25.0,6.0,433.0,16.0,6.0,13.0,0.0,3.0,4.0,0.947257,17.0,517.0,,87.0,2.0,33.41,116216,3.0,233.0,3.0,252.0,2.0,118050.88,1.0,10.0,9.0,42.0,0.0,3.0,0.0,2.0,3.0,0.0,19.0,2.0,8.0,,0.0,53.0,449.0,10.0,4.0,27.0,1.0,81.0,0.0,0.0,,0.0,,0.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,59.7,7.0,3.0,1.0,3.0,3.0,46.0,4.0,1.0,540.0,6.0,10.0,15.0,4.0,23.0,2.0,2.0,298.0,6.0,5.0,21.0,88.0,18.0,13.0,12.0,0.0,0.0,2.0,5.0,11.0,0.9168,10.0,4.0,,,1.0,,,,,,,2.0,2.0,,,2.0,,6.0,,1.0,,2.0,1.0,,1.0,,2.0,1.0,,,2.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
10,2561986,2025-11-01 15:00:00,"Turf Moor, Burnley",21538.0,Away,Arsenal,Burnley,2,0,W,2.0,0.0,0,0,0.0,2.0,2.0,45.0,1.0,0.0,,1.0,2.5808,13.0,28.0,3.0,3.0,9.0,,0.0,4.0,150.0,0.0,4.0,5.0,2.0,1.0,10.0,8.0,130.0,118.0,47.0,,12.0,,18.0,4.0,1.0,1.0,14.0,7.0,0.0,2.0,28.0,5.0,12.0,26.0,,186.0,1.0,0.0,0.0,112.0,13.0,0.0,,1.0,,1.0,64.0,38.0,9.0,62.0,9.0,18.0,3.0,,1.0,0.0,4.0,1.0,118.0,2.0,0.0,152.0,676.0,7.0,2.0,23.0,6.0,414.0,21.0,3.0,19.0,1.0,,1.0,1.3398,21.0,478.0,,50.0,1.0,33.86,204480,5.0,244.0,5.0,258.0,6.0,114650.78,0.0,13.0,2.0,49.0,0.0,5.0,0.0,1.0,4.0,1.0,17.0,1.0,2.0,1.0,0.0,43.0,426.0,10.0,6.0,23.0,2.0,58.0,0.0,0.0,1.0,0.0,,0.0,1.0,,2.0,0.0,0.0,2.0,1.0,3.0,53.6,14.0,2.0,1.0,4.0,1.0,30.0,6.0,1.0,494.0,6.0,8.0,10.0,3.0,26.0,2.0,2.0,250.0,6.0,12.0,16.0,78.0,16.0,19.0,16.0,2.0,0.0,9.0,5.0,11.0,2.4222,13.0,6.0,1.0,,,5.0,1.0,1.0,1.0,,6.0,,4.0,2.0,,2.0,,1.0,,1.0,5.0,1.0,,2.0,1.0,1.0,,2.0,,,,,,3.0,3.0,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,
