gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,saves,divingSave,outfielderBlock,punches,savedIbox,handBall,savedObox,freekickCross,accurateFreekickCross,errorLeadToShot,attGoalLowRight,attLfGoal,attCmissRight,attFreekickTotal,attGoalHighRight,cleanSheet,attOboxGoal,freekickTotal,attCmissHighLeft,attFreekickTarget,foulThrowIn,postScoringAtt,attIboxPost,hitWoodwork,attPostRight,shotFastbreak,attSvHighRight,penaltyWon,totalFastbreak,attSvHighLeft,attPenGoal,attFastbreak,clearanceOffLine,attFreekickMiss,attHdTarget,defenderGoals,attOboxPost,attGoalHighCentre,penaltyConceded,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,goalsConcededObox,midfielderGoals,attPostHigh,attObxLeft,attPostLeft,attHdPost,attPenTarget,penaltySave,attObxdLeft
1,918893,2017-08-11 19:45:00,"Emirates Stadium, London",59387,Home,Arsenal,Leicester City,4,3,W,2,2,0,0,3.0,1.0,61.0,2.0,5.0,2.0,1.0,37.0,30.0,12.0,11.0,15.0,3.0,201.0,1.0,6.0,16.0,4.0,2.0,25.0,1.0,10.0,171.0,146.0,69.0,27.0,3.0,18.0,3.0,2.0,2.0,2.0,2.0,2.0,20.0,17.0,3.0,30.0,7.0,28.0,44.0,1.0,358.0,2.0,0.0,220.0,9.0,3.0,1.0,1.0,96.0,76.0,17.0,94.0,1.0,3.0,14.0,21.0,12.0,3.0,6.0,146.0,4.0,1.0,5.0,166.0,859.0,19.0,6.0,30.0,13.0,512.0,33.0,1.0,1.0,15.0,4.0,2.0,0.0,8.0,21.0,603.0,79.0,1.0,98745,10.0,186.0,3.0,11.0,1.0,1.0,219.0,5.0,2.0,1.0,21.0,6.0,48.0,1.0,2.0,5.0,3.0,2.0,11.0,1.0,5.0,1.0,55.0,538.0,12.0,5.0,2.0,11.0,65.0,1.0,2.0,1.0,0.0,2.0,4.0,4.0,3.0,3.0,0.0,3.0,4.0,1.0,4.0,70.0,18.0,2.0,3.0,3.0,1.0,3.0,8.0,48.0,9.0,1.0,632.0,13.0,14.0,25.0,9.0,32.0,4.0,3.0,433.0,12.0,27.0,18.0,172.0,21.0,2.0,3.0,15.0,23.0,2.0,3.0,21.0,3.0,19.0,1.0,3.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918909,2017-08-19 17:30:00,"bet365 Stadium, Stoke",29459,Away,Arsenal,Stoke City,0,1,L,0,0,0,0,2.0,,57.0,,1.0,,,22.0,9.0,9.0,5.0,9.0,4.0,212.0,,9.0,16.0,,3.0,13.0,,6.0,245.0,145.0,45.0,18.0,5.0,18.0,5.0,,1.0,,3.0,2.0,24.0,11.0,1.0,9.0,6.0,19.0,53.0,,431.0,1.0,0.0,255.0,11.0,,1.0,1.0,84.0,70.0,8.0,95.0,,1.0,18.0,13.0,9.0,6.0,3.0,145.0,2.0,3.0,9.0,179.0,908.0,11.0,3.0,37.0,7.0,618.0,25.0,,,3.0,,1.0,0.0,5.0,21.0,709.0,79.0,2.0,98745,5.0,217.0,2.0,12.0,,2.0,244.0,7.0,,1.0,13.0,7.0,54.0,1.0,7.0,3.0,6.0,,14.0,2.0,6.0,2.0,41.0,639.0,5.0,7.0,2.0,4.0,64.0,,1.0,1.0,0.0,1.0,2.0,,1.0,2.0,0.0,8.0,,,2.0,77.1,20.0,2.0,2.0,2.0,1.0,6.0,6.0,54.0,9.0,1.0,731.0,7.0,15.0,29.0,6.0,58.0,1.0,3.0,511.0,10.0,18.0,9.0,203.0,24.0,,,3.0,15.0,,1.0,13.0,3.0,20.0,,,3.0,9.0,3.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918917,2017-08-27 16:00:00,"Anfield, Liverpool",53206,Away,Arsenal,Liverpool,0,4,L,0,2,0,0,,,61.0,,1.0,,,20.0,21.0,3.0,3.0,5.0,,169.0,,1.0,9.0,,2.0,6.0,,,155.0,146.0,42.0,8.0,1.0,11.0,,1.0,1.0,,,2.0,7.0,11.0,,21.0,2.0,9.0,44.0,,203.0,1.0,0.0,126.0,9.0,,,,75.0,55.0,1.0,58.0,2.0,1.0,5.0,16.0,3.0,,2.0,146.0,,,13.0,157.0,715.0,5.0,4.0,24.0,15.0,422.0,24.0,1.0,1.0,10.0,,1.0,4.0,5.0,18.0,519.0,39.0,1.0,98745,4.0,236.0,,3.0,,1.0,270.0,5.0,,1.0,16.0,8.0,53.0,,1.0,5.0,8.0,,12.0,5.0,5.0,1.0,47.0,438.0,6.0,15.0,1.0,11.0,73.0,,,,0.0,2.0,4.0,,4.0,1.0,0.0,1.0,,1.0,1.0,51.4,18.0,1.0,3.0,,,9.0,2.0,47.0,3.0,,539.0,15.0,12.0,23.0,6.0,25.0,,4.0,276.0,4.0,7.0,14.0,87.0,25.0,,2.0,10.0,13.0,,4.0,6.0,3.0,16.0,1.0,2.0,3.0,3.0,7.0,5.0,3.0,,5.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918923,2017-09-09 15:00:00,"Emirates Stadium, London",59262,Home,Arsenal,Bournemouth,3,0,W,2,0,0,0,3.0,1.0,66.0,1.0,3.0,,,25.0,20.0,6.0,6.0,11.0,3.0,205.0,,3.0,8.0,3.0,3.0,15.0,,9.0,151.0,158.0,51.0,17.0,1.0,18.0,3.0,3.0,,3.0,1.0,1.0,12.0,12.0,3.0,20.0,5.0,17.0,45.0,1.0,236.0,,0.0,200.0,14.0,,3.0,,93.0,75.0,11.0,87.0,,1.0,7.0,13.0,6.0,3.0,1.0,158.0,4.0,1.0,6.0,140.0,760.0,11.0,8.0,29.0,18.0,449.0,25.0,1.0,1.0,10.0,3.0,,0.0,4.0,26.0,561.0,73.0,1.0,98745,4.0,231.0,3.0,3.0,1.0,,247.0,7.0,1.0,1.0,13.0,5.0,48.0,,5.0,4.0,2.0,3.0,12.0,1.0,3.0,1.0,58.0,464.0,9.0,7.0,1.0,19.0,91.0,,2.0,,0.0,1.0,3.0,2.0,,2.0,0.0,2.0,2.0,,1.0,58.4,25.0,,12.0,2.0,,2.0,4.0,48.0,10.0,,583.0,18.0,7.0,23.0,4.0,34.0,1.0,3.0,348.0,9.0,15.0,18.0,140.0,24.0,3.0,2.0,10.0,16.0,1.0,,14.0,3.0,12.0,,2.0,5.0,10.0,2.0,1.0,,,2.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918934,2017-09-17 13:30:00,"Stamford Bridge, London",41478,Away,Arsenal,Chelsea,0,0,D,0,0,0,1,1.0,,69.0,,2.0,,,25.0,24.0,5.0,5.0,6.0,1.0,194.0,,2.0,6.0,,3.0,8.0,1.0,2.0,131.0,149.0,56.0,11.0,2.0,17.0,1.0,,,,2.0,1.0,8.0,15.0,1.0,24.0,1.0,19.0,38.0,,220.0,1.0,0.0,138.0,15.0,,,2.0,77.0,71.0,5.0,69.0,,1.0,7.0,19.0,5.0,3.0,2.0,149.0,1.0,,7.0,126.0,706.0,7.0,9.0,11.0,19.0,393.0,29.0,1.0,5.0,14.0,,,3.0,3.0,15.0,497.0,53.0,,98745,5.0,193.0,2.0,3.0,,1.0,222.0,7.0,,1.0,19.0,9.0,59.0,,1.0,2.0,7.0,,17.0,6.0,9.0,,57.0,411.0,11.0,14.0,1.0,31.0,89.0,,,1.0,0.0,,5.0,,,2.0,0.0,2.0,,1.0,1.0,49.4,13.0,1.0,3.0,,,7.0,4.0,52.0,1.0,2.0,520.0,19.0,10.0,19.0,5.0,19.0,,2.0,306.0,4.0,16.0,20.0,92.0,27.0,,4.0,14.0,19.0,,,8.0,3.0,9.0,,4.0,7.0,1.0,4.0,,6.0,,3.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918943,2017-09-25 20:00:00,"Emirates Stadium, London",59134,Home,Arsenal,West Bromwich Albion,2,0,W,1,0,0,0,,2.0,61.0,,4.0,,,35.0,24.0,6.0,3.0,10.0,4.0,185.0,,3.0,13.0,2.0,7.0,9.0,,6.0,169.0,133.0,69.0,16.0,,21.0,1.0,2.0,,,1.0,1.0,18.0,9.0,3.0,24.0,5.0,22.0,35.0,,320.0,,0.0,217.0,8.0,,1.0,1.0,68.0,105.0,5.0,88.0,2.0,2.0,13.0,8.0,6.0,2.0,3.0,133.0,1.0,1.0,4.0,173.0,821.0,7.0,5.0,35.0,12.0,520.0,20.0,,4.0,18.0,,,1.0,4.0,19.0,595.0,68.0,2.0,98745,4.0,220.0,1.0,8.0,,1.0,234.0,4.0,1.0,1.0,8.0,6.0,53.0,1.0,4.0,,8.0,,22.0,3.0,3.0,3.0,53.0,537.0,17.0,10.0,2.0,11.0,73.0,,,,0.0,,4.0,2.0,,2.0,0.0,2.0,,,2.0,69.1,17.0,1.0,4.0,1.0,,8.0,4.0,57.0,7.0,1.0,615.0,12.0,10.0,24.0,6.0,33.0,1.0,3.0,399.0,11.0,18.0,24.0,173.0,28.0,2.0,2.0,18.0,15.0,1.0,,9.0,3.0,19.0,,2.0,3.0,7.0,2.0,2.0,2.0,1.0,3.0,2.0,,3.0,2.0,1.0,2.0,,2.0,3.0,,1.0,,3.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
7,918954,2017-10-01 12:00:00,"Emirates Stadium, London",59378,Home,Arsenal,Brighton and Hove Albion,2,0,W,1,0,0,0,3.0,1.0,61.0,1.0,2.0,,,16.0,23.0,11.0,7.0,14.0,5.0,188.0,,3.0,10.0,2.0,3.0,18.0,,11.0,209.0,127.0,63.0,25.0,4.0,13.0,7.0,1.0,,1.0,2.0,3.0,12.0,11.0,2.0,23.0,5.0,32.0,35.0,,419.0,,0.0,255.0,7.0,,4.0,2.0,85.0,78.0,13.0,93.0,,1.0,8.0,16.0,11.0,3.0,4.0,127.0,2.0,,4.0,207.0,874.0,15.0,2.0,41.0,11.0,601.0,14.0,1.0,1.0,12.0,1.0,,0.0,5.0,17.0,679.0,65.0,1.0,98745,8.0,196.0,1.0,4.0,1.0,3.0,214.0,2.0,2.0,1.0,16.0,6.0,40.0,,1.0,2.0,6.0,1.0,18.0,5.0,1.0,2.0,34.0,612.0,8.0,10.0,2.0,5.0,58.0,1.0,3.0,1.0,0.0,1.0,5.0,2.0,,1.0,0.0,1.0,1.0,1.0,2.0,65.2,15.0,1.0,8.0,4.0,,6.0,6.0,42.0,6.0,2.0,697.0,11.0,7.0,17.0,8.0,44.0,3.0,3.0,495.0,16.0,30.0,30.0,206.0,31.0,1.0,1.0,12.0,15.0,,,17.0,3.0,13.0,,1.0,7.0,6.0,1.0,1.0,3.0,4.0,,,1.0,1.0,1.0,,,,,2.0,,1.0,,2.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
8,918972,2017-10-14 17:30:00,"Vicarage Road, Watford",20384,Away,Arsenal,Watford,1,2,L,1,0,0,0,3.0,,71.0,,,1.0,1.0,36.0,36.0,4.0,5.0,5.0,1.0,190.0,,2.0,2.0,1.0,1.0,8.0,,6.0,142.0,156.0,57.0,9.0,,22.0,3.0,,1.0,,2.0,,13.0,12.0,2.0,36.0,4.0,16.0,45.0,,226.0,,0.0,152.0,10.0,,2.0,1.0,63.0,85.0,6.0,81.0,1.0,1.0,9.0,14.0,4.0,3.0,2.0,156.0,2.0,1.0,7.0,139.0,723.0,7.0,7.0,20.0,9.0,428.0,33.0,1.0,3.0,22.0,1.0,1.0,0.0,2.0,15.0,529.0,63.0,3.0,98745,4.0,218.0,2.0,6.0,,,242.0,4.0,,,14.0,8.0,52.0,1.0,7.0,,6.0,,17.0,4.0,4.0,1.0,74.0,442.0,8.0,6.0,,24.0,86.0,,1.0,,0.0,2.0,2.0,1.0,2.0,,0.0,1.0,1.0,,2.0,53.9,14.0,,2.0,1.0,,6.0,,56.0,5.0,1.0,552.0,9.0,12.0,22.0,3.0,32.0,1.0,1.0,323.0,2.0,15.0,30.0,100.0,27.0,,1.0,22.0,18.0,1.0,2.0,7.0,3.0,5.0,,1.0,8.0,5.0,,,3.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,
9,918974,2017-10-22 13:30:00,"Goodison Park, Liverpool",39189,Away,Arsenal,Everton,5,2,W,1,1,0,1,2.0,3.0,61.0,3.0,5.0,,,39.0,23.0,9.0,9.0,21.0,6.0,207.0,,3.0,11.0,5.0,3.0,19.0,,14.0,174.0,142.0,50.0,30.0,3.0,18.0,5.0,5.0,,4.0,2.0,2.0,15.0,9.0,4.0,23.0,7.0,12.0,48.0,3.0,274.0,1.0,0.0,186.0,14.0,3.0,2.0,,82.0,54.0,11.0,69.0,1.0,4.0,8.0,23.0,9.0,1.0,1.0,142.0,6.0,,6.0,166.0,807.0,15.0,4.0,48.0,8.0,498.0,36.0,,2.0,15.0,4.0,,1.0,8.0,30.0,592.0,66.0,,98745,11.0,245.0,4.0,7.0,,3.0,276.0,10.0,3.0,1.0,23.0,6.0,43.0,,2.0,1.0,4.0,5.0,17.0,3.0,4.0,,69.0,516.0,14.0,6.0,,16.0,73.0,,4.0,1.0,0.0,,,5.0,2.0,,0.0,2.0,4.0,1.0,4.0,67.6,26.0,2.0,3.0,,1.0,4.0,8.0,50.0,7.0,,616.0,8.0,6.0,26.0,8.0,45.0,1.0,6.0,355.0,17.0,12.0,13.0,133.0,17.0,3.0,,15.0,12.0,1.0,1.0,23.0,2.0,13.0,2.0,,8.0,7.0,1.0,,2.0,,,2.0,1.0,,,,1.0,1.0,1.0,2.0,,,,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,
10,918984,2017-10-28 15:00:00,"Emirates Stadium, London",59493,Home,Arsenal,Swansea City,2,1,W,0,1,0,0,1.0,1.0,67.0,1.0,2.0,,,42.0,13.0,4.0,8.0,12.0,1.0,212.0,,3.0,3.0,2.0,3.0,17.0,2.0,5.0,237.0,145.0,45.0,17.0,2.0,8.0,3.0,,2.0,2.0,1.0,3.0,18.0,13.0,,13.0,5.0,19.0,55.0,,491.0,1.0,0.0,336.0,9.0,3.0,,,152.0,143.0,9.0,103.0,1.0,2.0,13.0,10.0,5.0,3.0,3.0,145.0,4.0,,3.0,253.0,963.0,13.0,2.0,44.0,7.0,688.0,27.0,1.0,2.0,9.0,2.0,2.0,0.0,8.0,23.0,792.0,113.0,,98745,7.0,213.0,3.0,9.0,,2.0,230.0,6.0,,4.0,10.0,2.0,35.0,,6.0,2.0,8.0,2.0,8.0,1.0,2.0,,66.0,701.0,9.0,4.0,2.0,10.0,82.0,,1.0,3.0,0.0,2.0,2.0,2.0,1.0,,0.0,2.0,1.0,,2.0,72.9,23.0,1.0,3.0,3.0,1.0,8.0,4.0,64.0,5.0,,805.0,7.0,10.0,25.0,8.0,55.0,1.0,4.0,593.0,7.0,19.0,17.0,261.0,29.0,,1.0,9.0,16.0,,1.0,15.0,2.0,7.0,,1.0,3.0,5.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,2.0,1.0,1.0,,,,,
