gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,penaltySave,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,shotFastbreak,attBxRight,goalFastbreak,attMissHighRight,totalFastbreak,midfielderGoals,goodHighClaim,attGoalHighCentre,attAssistSetplay,attFastbreak,attSvLowRight,shieldBallOop,attBxLeft,totalHighClaim,accurateCornersIntobox,accuratePullBack,cleanSheet,attSvHighLeft,interceptionsInBox,totalPullBack,attFreekickTarget,clearanceOffLine,attGoalLowCentre,attRfGoal,punches,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attSvHighRight,attHdTarget,attMissHighLeft,accurateFreekickCross,attSetpiece,defenderGoals,attHdGoal,attCmissRight,attGoalHighRight,attOboxGoal,ptsGainedLosingPos,attCmissHighLeft,subsGoals,attCmissHigh,penaltyWon,attPenGoal,attGoalHighLeft,postScoringAtt,attIboxPost,attHdPost,attPostRight,attPostLeft,attOboxPost,attPostHigh,attSvHighCentre,foulThrowIn,errorLeadToGoal,ownGoals,attIboxOwnGoal,attLgCentre,attObxLeft
1,695281,2013-08-17 15:00:00,"Emirates Stadium, London",60003,Home,Arsenal,Aston Villa,1,3,L,1,1,1,0,1.0,1.0,1.0,66.0,1.0,1.0,2.0,16.0,16.0,6.0,3.0,9.0,2.0,1.0,2.0,176.0,4.0,14.0,1.0,1.0,13.0,4.0,152.0,126.0,60.0,1.0,15.0,4.0,19.0,2.0,3.0,1.0,2.0,1.0,24.0,9.0,1.0,15.0,3.0,26.0,31.0,1.0,260.0,0.0,146.0,15.0,2.0,1.0,2.0,49.0,48.0,9.0,56.0,3.0,21.0,19.0,6.0,1.0,1.0,1.0,1.0,126.0,3.0,2.0,6.0,141.0,728.0,12.0,7.0,32.0,1.0,15.0,435.0,30.0,2.0,9.0,1.0,4.0,4.0,1.0,4.0,16.0,501.0,59.0,2.0,1.0,8597,8.0,201.0,2.0,18.0,1.0,2.0,215.0,10.0,13.0,3.0,65.0,5.0,3.0,9.0,1.0,12.0,4.0,2.0,1.0,31.0,457.0,18.0,11.0,9.0,1.0,68.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,63.8,16.0,3.0,3.0,9.0,6.0,49.0,4.0,2.0,525.0,1.0,15.0,1.0,10.0,19.0,5.0,35.0,4.0,334.0,8.0,23.0,20.0,111.0,24.0,1.0,1.0,9.0,10.0,3.0,13.0,3.0,25.0,3.0,1.0,13.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694914,2013-08-24 12:45:00,"Craven Cottage, London",25622,Away,Arsenal,Fulham,3,1,W,2,0,0,0,,3.0,1.0,49.0,1.0,3.0,3.0,45.0,19.0,7.0,9.0,12.0,6.0,3.0,3.0,184.0,9.0,10.0,3.0,1.0,16.0,9.0,164.0,106.0,44.0,,19.0,4.0,8.0,4.0,1.0,2.0,3.0,1.0,18.0,9.0,2.0,18.0,8.0,27.0,23.0,1.0,243.0,0.0,157.0,9.0,5.0,1.0,1.0,61.0,70.0,13.0,84.0,1.0,10.0,15.0,7.0,,1.0,1.0,,106.0,3.0,,4.0,137.0,737.0,12.0,9.0,32.0,,9.0,478.0,28.0,5.0,10.0,2.0,1.0,2.0,3.0,3.0,16.0,540.0,66.0,2.0,,8597,8.0,262.0,2.0,8.0,1.0,,275.0,5.0,11.0,13.0,48.0,3.0,,3.0,3.0,5.0,12.0,8.0,,67.0,496.0,10.0,14.0,16.0,4.0,69.0,,0.0,,1.0,3.0,3.0,1.0,2.0,0.0,3.0,1.0,2.0,53.8,15.0,1.0,2.0,3.0,7.0,41.0,8.0,,569.0,,9.0,,10.0,15.0,3.0,25.0,2.0,312.0,8.0,25.0,15.0,117.0,12.0,1.0,1.0,10.0,10.0,1.0,15.0,3.0,18.0,,2.0,11.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694930,2013-09-01 16:00:00,"Emirates Stadium, London",60071,Home,Arsenal,Tottenham Hotspur,1,0,W,1,0,0,0,,1.0,,59.0,1.0,3.0,,29.0,34.0,7.0,3.0,5.0,4.0,1.0,3.0,163.0,3.0,9.0,1.0,4.0,8.0,5.0,85.0,135.0,68.0,2.0,12.0,2.0,15.0,2.0,,1.0,1.0,1.0,12.0,23.0,2.0,34.0,3.0,28.0,30.0,,161.0,0.0,123.0,15.0,2.0,2.0,1.0,42.0,49.0,4.0,63.0,2.0,9.0,12.0,7.0,2.0,1.0,3.0,,135.0,,,4.0,94.0,606.0,6.0,11.0,17.0,,19.0,286.0,29.0,8.0,17.0,1.0,,2.0,5.0,4.0,17.0,379.0,58.0,1.0,,8597,4.0,147.0,,7.0,,,177.0,8.0,7.0,11.0,57.0,6.0,1.0,3.0,1.0,8.0,10.0,8.0,2.0,46.0,305.0,14.0,14.0,17.0,1.0,62.0,1.0,0.0,,6.0,2.0,1.0,,,0.0,1.0,1.0,2.0,43.4,14.0,2.0,1.0,3.0,2.0,38.0,3.0,,405.0,,19.0,1.0,7.0,18.0,5.0,23.0,2.0,240.0,7.0,22.0,19.0,84.0,19.0,1.0,1.0,17.0,29.0,,9.0,3.0,16.0,,1.0,7.0,3.0,,,1.0,,,,1.0,,3.0,,1.0,1.0,,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694938,2013-09-14 15:00:00,"Stadium of Light, Sunderland",39055,Away,Arsenal,Sunderland,3,1,W,1,0,0,0,,1.0,1.0,44.0,,1.0,3.0,42.0,18.0,2.0,5.0,12.0,2.0,1.0,2.0,220.0,5.0,6.0,3.0,3.0,10.0,6.0,169.0,137.0,52.0,2.0,14.0,1.0,17.0,2.0,,3.0,,1.0,23.0,11.0,1.0,18.0,5.0,26.0,35.0,2.0,345.0,0.0,213.0,11.0,1.0,1.0,1.0,63.0,127.0,6.0,93.0,2.0,18.0,22.0,2.0,2.0,1.0,,,137.0,3.0,,9.0,187.0,854.0,7.0,11.0,27.0,,8.0,563.0,16.0,6.0,11.0,3.0,,2.0,6.0,4.0,22.0,639.0,71.0,5.0,,92372,8.0,248.0,2.0,16.0,,1.0,276.0,3.0,7.0,13.0,54.0,9.0,,4.0,3.0,9.0,9.0,10.0,,54.0,588.0,12.0,2.0,15.0,2.0,77.0,,0.0,3.0,6.0,1.0,3.0,1.0,7.0,0.0,3.0,3.0,2.0,69.4,21.0,2.0,1.0,4.0,4.0,62.0,6.0,1.0,669.0,1.0,8.0,,15.0,24.0,4.0,36.0,4.0,416.0,7.0,24.0,19.0,176.0,20.0,1.0,3.0,11.0,16.0,1.0,10.0,3.0,16.0,,3.0,7.0,6.0,1.0,2.0,,3.0,,1.0,,2.0,,,,,2.0,2.0,1.0,,2.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694950,2013-09-22 13:30:00,"Emirates Stadium, London",60002,Home,Arsenal,Stoke City,3,1,W,2,1,0,0,,3.0,1.0,53.0,,2.0,2.0,24.0,14.0,5.0,9.0,12.0,2.0,1.0,2.0,187.0,5.0,9.0,3.0,6.0,14.0,9.0,121.0,115.0,61.0,1.0,17.0,2.0,16.0,3.0,2.0,,,1.0,12.0,13.0,3.0,14.0,4.0,34.0,23.0,,233.0,0.0,133.0,8.0,2.0,2.0,4.0,25.0,72.0,10.0,96.0,,8.0,6.0,5.0,1.0,,,,115.0,,,6.0,126.0,706.0,11.0,7.0,20.0,,12.0,445.0,26.0,8.0,5.0,2.0,2.0,0.0,3.0,4.0,16.0,511.0,61.0,1.0,,92372,5.0,231.0,,4.0,,,249.0,2.0,3.0,4.0,50.0,2.0,1.0,5.0,,9.0,4.0,2.0,1.0,45.0,459.0,14.0,6.0,23.0,3.0,87.0,,0.0,3.0,7.0,,3.0,1.0,1.0,0.0,3.0,2.0,3.0,50.4,12.0,,2.0,5.0,4.0,59.0,6.0,,530.0,,12.0,,7.0,13.0,4.0,21.0,4.0,293.0,5.0,32.0,19.0,103.0,15.0,,4.0,5.0,23.0,,11.0,3.0,22.0,,4.0,3.0,6.0,,3.0,,4.0,,1.0,,1.0,2.0,,1.0,,2.0,,1.0,2.0,2.0,,,1.0,,,1.0,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
6,694959,2013-09-28 17:30:00,"Swansea.com Stadium, Swansea",20712,Away,Arsenal,Swansea City,2,1,W,0,0,0,0,,2.0,,57.0,,1.0,,17.0,16.0,3.0,4.0,,2.0,,,155.0,1.0,8.0,2.0,2.0,9.0,4.0,108.0,142.0,57.0,,10.0,2.0,12.0,2.0,1.0,2.0,1.0,2.0,13.0,14.0,,16.0,3.0,21.0,30.0,1.0,193.0,0.0,127.0,11.0,2.0,1.0,2.0,44.0,63.0,5.0,67.0,2.0,10.0,21.0,,,3.0,1.0,,142.0,1.0,1.0,3.0,107.0,622.0,6.0,13.0,,,20.0,336.0,26.0,6.0,10.0,2.0,1.0,2.0,2.0,4.0,17.0,424.0,62.0,1.0,1.0,92372,5.0,153.0,1.0,5.0,,,178.0,3.0,21.0,12.0,45.0,3.0,4.0,6.0,2.0,9.0,7.0,9.0,,37.0,345.0,5.0,7.0,17.0,,75.0,2.0,0.0,1.0,4.0,1.0,2.0,1.0,4.0,0.0,1.0,2.0,2.0,41.5,12.0,2.0,5.0,6.0,2.0,42.0,3.0,,437.0,,20.0,,6.0,15.0,4.0,8.0,3.0,272.0,4.0,19.0,27.0,85.0,15.0,,2.0,10.0,18.0,1.0,9.0,3.0,18.0,,2.0,9.0,3.0,,1.0,,1.0,,,,2.0,6.0,,1.0,,,2.0,1.0,6.0,,,,,3.0,,,,,2.0,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,694970,2013-10-06 16:00:00,"The Hawthorns, West Bromwich",24839,Away,Arsenal,West Bromwich Albion,1,1,D,0,1,0,0,,1.0,,53.0,1.0,3.0,,42.0,29.0,10.0,7.0,4.0,3.0,1.0,3.0,178.0,2.0,8.0,1.0,2.0,11.0,5.0,151.0,116.0,51.0,1.0,14.0,3.0,14.0,1.0,,1.0,2.0,,22.0,14.0,3.0,29.0,2.0,25.0,19.0,,284.0,0.0,180.0,11.0,2.0,1.0,,65.0,68.0,7.0,75.0,2.0,20.0,15.0,10.0,1.0,5.0,3.0,,116.0,1.0,1.0,5.0,150.0,728.0,9.0,10.0,18.0,,11.0,464.0,33.0,2.0,16.0,1.0,,2.0,2.0,4.0,13.0,526.0,81.0,1.0,,92372,1.0,203.0,1.0,15.0,,,219.0,5.0,8.0,15.0,55.0,3.0,2.0,3.0,1.0,8.0,7.0,10.0,2.0,56.0,485.0,6.0,15.0,7.0,1.0,77.0,,0.0,,6.0,,,1.0,5.0,0.0,1.0,1.0,,55.9,11.0,,1.0,3.0,3.0,59.0,2.0,,554.0,,11.0,1.0,10.0,14.0,6.0,28.0,3.0,357.0,7.0,22.0,17.0,144.0,12.0,,,16.0,22.0,1.0,12.0,2.0,13.0,,,8.0,2.0,,,1.0,,,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
8,694980,2013-10-19 15:00:00,"Emirates Stadium, London",60009,Home,Arsenal,Norwich City,4,1,W,1,0,0,0,,4.0,3.0,62.0,2.0,5.0,1.0,43.0,12.0,9.0,9.0,11.0,5.0,1.0,3.0,200.0,8.0,8.0,4.0,,17.0,11.0,182.0,129.0,43.0,,20.0,2.0,17.0,2.0,,4.0,1.0,1.0,29.0,15.0,5.0,12.0,7.0,31.0,27.0,1.0,335.0,0.0,192.0,8.0,3.0,1.0,,58.0,119.0,12.0,94.0,1.0,22.0,19.0,9.0,,3.0,2.0,,129.0,3.0,1.0,4.0,167.0,828.0,12.0,7.0,44.0,,15.0,546.0,30.0,6.0,5.0,4.0,,0.0,2.0,5.0,13.0,623.0,58.0,1.0,,8758,9.0,233.0,,19.0,,,253.0,2.0,12.0,6.0,43.0,2.0,1.0,5.0,4.0,10.0,8.0,3.0,1.0,59.0,560.0,7.0,7.0,17.0,3.0,79.0,,0.0,1.0,1.0,,4.0,1.0,2.0,0.0,5.0,3.0,4.0,56.3,13.0,3.0,6.0,5.0,3.0,59.0,10.0,,643.0,,15.0,,9.0,17.0,6.0,35.0,4.0,419.0,7.0,29.0,8.0,154.0,21.0,,1.0,5.0,21.0,1.0,17.0,3.0,12.0,,1.0,12.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,,,1.0,1.0,4.0,,1.0,,3.0,1.0,,,3.0,1.0,,,,2.0,2.0,,,,1.0,,2.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
9,694983,2013-10-26 12:45:00,"Selhurst Park, London",20050,Away,Arsenal,Crystal Palace,2,0,W,0,0,1,0,,1.0,2.0,63.0,1.0,4.0,1.0,51.0,21.0,1.0,4.0,9.0,4.0,,1.0,226.0,5.0,11.0,2.0,4.0,9.0,4.0,168.0,135.0,60.0,,10.0,,20.0,2.0,1.0,1.0,1.0,1.0,15.0,17.0,,21.0,3.0,24.0,34.0,,332.0,0.0,236.0,8.0,2.0,,2.0,75.0,135.0,4.0,90.0,2.0,12.0,16.0,1.0,,4.0,1.0,,135.0,3.0,1.0,5.0,189.0,880.0,8.0,4.0,38.0,,12.0,574.0,26.0,6.0,10.0,1.0,1.0,0.0,2.0,5.0,17.0,653.0,87.0,2.0,,8758,5.0,263.0,2.0,6.0,1.0,,273.0,2.0,5.0,8.0,59.0,3.0,2.0,8.0,1.0,9.0,8.0,7.0,1.0,67.0,590.0,12.0,6.0,17.0,,82.0,,0.0,4.0,4.0,,2.0,,1.0,1.0,4.0,1.0,3.0,62.5,16.0,2.0,2.0,9.0,1.0,61.0,3.0,,673.0,,12.0,,13.0,22.0,5.0,34.0,4.0,415.0,3.0,22.0,13.0,174.0,25.0,1.0,3.0,10.0,26.0,,9.0,3.0,23.0,,3.0,5.0,3.0,,,,1.0,,,1.0,1.0,2.0,,,,1.0,1.0,,2.0,1.0,,1.0,,1.0,2.0,,,,1.0,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,695000,2013-11-02 17:30:00,"Emirates Stadium, London",60042,Home,Arsenal,Liverpool,2,0,W,1,0,0,0,,4.0,1.0,78.0,,2.0,1.0,20.0,17.0,3.0,7.0,9.0,4.0,,1.0,222.0,1.0,15.0,2.0,2.0,9.0,7.0,165.0,156.0,70.0,,12.0,,13.0,5.0,3.0,1.0,3.0,2.0,14.0,27.0,,17.0,2.0,20.0,20.0,2.0,360.0,0.0,243.0,11.0,2.0,2.0,2.0,92.0,118.0,7.0,93.0,1.0,12.0,22.0,3.0,,2.0,2.0,,156.0,1.0,,8.0,143.0,837.0,8.0,8.0,23.0,1.0,11.0,512.0,24.0,10.0,12.0,1.0,3.0,2.0,2.0,2.0,25.0,598.0,97.0,1.0,1.0,8758,2.0,163.0,2.0,8.0,,,178.0,1.0,7.0,9.0,60.0,1.0,1.0,6.0,2.0,10.0,4.0,1.0,,46.0,522.0,7.0,11.0,28.0,,90.0,2.0,0.0,1.0,5.0,2.0,1.0,,3.0,0.0,1.0,,1.0,54.4,23.0,,9.0,7.0,1.0,56.0,3.0,,623.0,,11.0,,11.0,13.0,4.0,31.0,1.0,459.0,4.0,15.0,14.0,183.0,28.0,,2.0,12.0,34.0,,12.0,3.0,31.0,,2.0,7.0,3.0,1.0,,,2.0,,,,2.0,3.0,,,,,,4.0,3.0,,,1.0,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
