gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attOboxGoal,midfielderGoals,attSvLowLeft,interceptionsInBox,subsGoals,attMissHighLeft,accurateThroughBall,attRfGoal,totalPullBack,totalThroughBall,totalOffside,punches,accurateFlickOn,attGoalLowCentre,shotFastbreak,goalFastbreak,attOneOnOne,totalFastbreak,secondYellow,fastestPlayer_topSpeed,totalDistance,attFastbreak,goalsConceded,goalsConcededIbox,ptsDroppedWinningPos,savedObox,goalAssistDeadball,accurateKeeperSweeper,attSvHighRight,attGoalHighCentre,attHdTarget,totalKeeperSweeper,defenderGoals,ptsGainedLosingPos,attCmissHigh,attGoalHighLeft,shieldBallOop,goalsConcededObox,attGoalLowLeft,expectedGoalsOnTarget,postScoringAtt,attIboxPost,expectedGoalsOnTargetConceded,attMissHighRight,winningGoal,keeperGoals,contentiousDecision,hitWoodwork,expectedAssists,ownGoals,attPenGoal,attObpGoal,attFreekickGoal,attCmissHighRight,attPostRight,expectedGoals,penaltyConceded,foulThrowIn,penaltyFaced,penGoalsConceded,accurateFreekickCross,attFreekickTotal,penaltyWon,freekickTotal,attFreekickMiss,handBall,attPostLeft,attHdPost,attPostHigh,expectedGoalsFreekick,attOboxPost,attCmissHighLeft,attFreekickTarget,errorLeadToGoal
1,2444471,2024-08-17 15:00:00,"Emirates Stadium, London",60261,Home,Arsenal,Wolverhampton Wanderers,2,0,W,1,0,0,0,2.0,1.0,38.0,1.0,5.0,1.0,17.0,15.0,6.0,7.0,12.0,3.0,1.0,2.0,137.0,3.0,9.0,2.0,1.0,17.0,1.0,6.0,112.0,110.0,58.0,18.0,1.0,13.0,2.0,6.0,1.0,1.0,1.0,15.0,13.0,1.0,2.0,15.0,6.0,6.0,11.0,172.0,1.0,0.0,118.0,17.0,2.0,1.0,1.0,45.0,49.0,12.0,60.0,2.0,9.0,12.0,6.0,3.0,3.0,110.0,2.0,6.0,111.0,609.0,13.0,2.0,50.0,8.0,336.0,11.0,2.0,7.0,2.0,2.0,1.0,5.0,18.0,395.0,40.0,2.0,85955,4.0,188.0,1.0,5.0,2.0,2.0,209.0,9.0,5.0,6.0,57.0,5.0,1.0,13.0,3.0,4.0,3.0,37.0,357.0,14.0,8.0,2.0,18.0,2.0,52.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,3.0,53.0,17.0,1.0,4.0,1.0,1.0,5.0,6.0,34.0,8.0,1.0,420.0,8.0,9.0,8.0,6.0,30.0,1.0,3.0,226.0,8.0,6.0,17.0,94.0,15.0,2.0,1.0,7.0,18.0,1.0,13.0,3.0,19.0,1.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444481,2024-08-24 17:30:00,"Villa Park, Birmingham",41587,Away,Arsenal,Aston Villa,2,0,W,0,0,0,0,2.0,,38.0,2.0,,,18.0,15.0,4.0,5.0,5.0,3.0,,,119.0,1.0,6.0,2.0,1.0,7.0,,4.0,167.0,93.0,38.0,9.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,13.0,9.0,,,15.0,1.0,6.0,17.0,217.0,1.0,0.0,151.0,16.0,2.0,1.0,,38.0,81.0,3.0,69.0,,12.0,10.0,4.0,3.0,2.0,93.0,2.0,7.0,159.0,670.0,6.0,2.0,35.0,8.0,455.0,10.0,3.0,7.0,1.0,3.0,4.0,4.0,12.0,496.0,48.0,1.0,85955,2.0,253.0,2.0,8.0,,,257.0,8.0,6.0,6.0,58.0,4.0,2.0,9.0,4.0,5.0,2.0,30.0,469.0,8.0,11.0,,6.0,,59.0,,,0.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,,60.7,9.0,,3.0,1.0,,4.0,1.0,47.0,1.0,,514.0,8.0,13.0,9.0,4.0,30.0,,2.0,270.0,4.0,6.0,7.0,124.0,20.0,,2.0,7.0,17.0,,9.0,3.0,15.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444490,2024-08-31 12:30:00,"Emirates Stadium, London",60326,Home,Arsenal,Brighton and Hove Albion,1,1,D,1,0,1,0,4.0,1.0,47.0,,2.0,,21.0,20.0,1.0,6.0,10.0,3.0,1.0,2.0,101.0,2.0,8.0,1.0,1.0,8.0,,7.0,69.0,107.0,46.0,11.0,,19.0,6.0,1.0,1.0,4.0,,7.0,11.0,,,20.0,3.0,1.0,24.0,82.0,,0.0,76.0,12.0,3.0,1.0,5.0,32.0,31.0,7.0,35.0,1.0,4.0,13.0,1.0,1.0,,107.0,5.0,15.0,65.0,451.0,7.0,4.0,31.0,12.0,190.0,13.0,8.0,7.0,1.0,3.0,8.0,1.0,13.0,246.0,37.0,1.0,444145,4.0,120.0,4.0,2.0,1.0,1.0,134.0,6.0,8.0,10.0,58.0,3.0,1.0,7.0,7.0,,1.0,51.0,200.0,7.0,10.0,,20.0,1.0,58.0,1.0,,0.0,1.0,7.0,3.0,,1.0,2.0,1.0,1.0,35.8,10.0,1.0,6.0,2.0,,3.0,2.0,27.0,3.0,5.0,270.0,12.0,11.0,13.0,2.0,14.0,,2.0,143.0,4.0,,14.0,42.0,18.0,1.0,1.0,7.0,17.0,,9.0,3.0,15.0,1.0,8.0,3.0,,1.0,,1.0,2.0,,,2.0,,1.0,5.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,33.63,100688.91,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444508,2024-09-15 14:00:00,"Tottenham Hotspur Stadium, London",61645,Away,Arsenal,Tottenham Hotspur,1,0,W,0,0,0,0,,1.0,43.0,,3.0,1.0,19.0,32.0,,2.0,7.0,5.0,,1.0,112.0,4.0,12.0,1.0,,6.0,,4.0,58.0,112.0,59.0,7.0,,14.0,3.0,1.0,,2.0,,13.0,12.0,,,32.0,6.0,5.0,20.0,96.0,1.0,0.0,84.0,10.0,2.0,,2.0,32.0,57.0,6.0,49.0,,7.0,22.0,,3.0,,112.0,2.0,10.0,63.0,480.0,5.0,8.0,24.0,9.0,195.0,14.0,6.0,10.0,1.0,3.0,5.0,,16.0,256.0,37.0,1.0,444145,3.0,121.0,1.0,4.0,,,141.0,7.0,11.0,7.0,51.0,5.0,,7.0,5.0,5.0,,46.0,213.0,12.0,7.0,,23.0,3.0,48.0,,,0.0,,7.0,4.0,1.0,0.0,2.0,1.0,3.0,36.3,13.0,,4.0,2.0,,6.0,3.0,24.0,6.0,2.0,282.0,9.0,12.0,12.0,,24.0,2.0,,154.0,2.0,4.0,15.0,54.0,14.0,,,10.0,21.0,1.0,4.0,3.0,20.0,,11.0,6.0,,,,,1.0,,,,,,1.0,3.0,,3.0,,1.0,,,1.0,,35.57,107361.27,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444516,2024-09-22 16:30:00,"Etihad Stadium, Manchester",52846,Away,Arsenal,Manchester City,2,2,D,2,1,1,0,1.0,1.0,41.0,,,1.0,14.0,37.0,1.0,2.0,4.0,9.0,1.0,,84.0,3.0,4.0,2.0,1.0,4.0,,3.0,48.0,89.0,37.0,5.0,,16.0,1.0,,1.0,1.0,,7.0,10.0,1.0,,37.0,2.0,2.0,20.0,51.0,,0.0,50.0,10.0,5.0,1.0,3.0,13.0,27.0,2.0,35.0,,5.0,10.0,1.0,1.0,,89.0,2.0,15.0,41.0,363.0,1.0,4.0,8.0,4.0,135.0,18.0,3.0,19.0,2.0,4.0,13.0,2.0,5.0,175.0,34.0,1.0,444145,2.0,100.0,2.0,3.0,,,116.0,4.0,8.0,12.0,46.0,,1.0,12.0,18.0,5.0,2.0,47.0,148.0,6.0,10.0,1.0,15.0,2.0,44.0,,,0.0,,8.0,6.0,1.0,1.0,1.0,1.0,2.0,22.8,3.0,1.0,,,,,,17.0,2.0,3.0,208.0,4.0,6.0,11.0,2.0,10.0,2.0,2.0,99.0,1.0,2.0,12.0,25.0,7.0,,4.0,19.0,16.0,1.0,3.0,4.0,8.0,4.0,8.0,2.0,,1.0,,,2.0,,,,,1.0,,1.0,,,,,,1.0,,1.0,33.16,104725.85,,2.0,2.0,2.0,3.0,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2444521,2024-09-28 15:00:00,"Emirates Stadium, London",60323,Home,Arsenal,Leicester City,4,2,W,2,0,0,0,5.0,3.0,46.0,1.0,7.0,,17.0,8.0,8.0,14.0,27.0,1.0,0.0,5.0,161.0,9.0,18.0,4.0,2.0,25.0,2.0,16.0,188.0,142.0,61.0,35.0,2.0,15.0,9.0,5.0,2.0,5.0,,38.0,12.0,0.0,4.0,8.0,17.0,7.0,25.0,421.0,,0.0,340.0,11.0,1.0,1.0,,105.0,131.0,19.0,102.0,4.0,21.0,17.0,8.0,6.0,2.0,142.0,7.0,5.0,213.0,876.0,20.0,5.0,77.0,4.0,582.0,3.0,4.0,6.0,2.0,2.0,1.0,6.0,19.0,650.0,62.0,,444145,11.0,180.0,6.0,14.0,1.0,1.0,186.0,6.0,5.0,3.0,54.0,2.0,3.0,15.0,,3.0,3.0,32.0,592.0,6.0,4.0,3.0,10.0,11.0,58.0,2.0,,0.0,,,1.0,3.0,0.0,4.0,2.0,8.0,74.6,17.0,3.0,9.0,3.0,3.0,2.0,9.0,38.0,17.0,,664.0,4.0,14.0,14.0,10.0,69.0,5.0,7.0,516.0,12.0,7.0,18.0,289.0,30.0,2.0,,6.0,19.0,0.0,22.0,3.0,28.0,,5.0,17.0,1.0,0.0,1.0,2.0,,0.0,1.0,,2.0,3.0,,,,4.0,0.0,2.0,1.0,,2.0,,34.2,110633.19,2.0,2.0,2.0,,,,,1.0,0.0,3.0,,0.0,,1.0,0.0,3.0,0.0,2.0,5.7093,1.0,1.0,0.2144,1.0,0.0,0.0,1.0,1.0,2.46778,0.0,0.0,1.0,0.0,1.0,1.0,4.95706,,,,,,,,,,,,,,,,,,
7,2444530,2024-10-05 15:00:00,"Emirates Stadium, London",60307,Home,Arsenal,Southampton,3,1,W,0,0,0,0,1.0,2.0,50.0,,8.0,,19.0,10.0,9.0,11.0,20.0,1.0,2.0,1.0,139.0,6.0,14.0,3.0,2.0,22.0,2.0,6.0,151.0,107.0,48.0,29.0,2.0,15.0,2.0,6.0,2.0,1.0,3.0,32.0,12.0,,1.0,10.0,12.0,4.0,18.0,314.0,,0.0,232.0,10.0,,2.0,,83.0,112.0,13.0,95.0,4.0,20.0,15.0,9.0,6.0,6.0,107.0,4.0,5.0,151.0,722.0,15.0,3.0,65.0,9.0,473.0,12.0,3.0,5.0,2.0,0.0,4.0,9.0,18.0,525.0,61.0,,444145,7.0,175.0,2.0,12.0,1.0,,183.0,5.0,4.0,1.0,45.0,3.0,3.0,7.0,3.0,1.0,4.0,34.0,483.0,9.0,6.0,5.0,13.0,8.0,47.0,1.0,1.0,0.0,,1.0,,3.0,0.0,2.0,2.0,5.0,58.6,13.0,3.0,13.0,,1.0,3.0,10.0,32.0,13.0,,536.0,9.0,10.0,11.0,13.0,48.0,4.0,6.0,385.0,13.0,4.0,9.0,199.0,21.0,1.0,,5.0,16.0,,21.0,5.0,19.0,,4.0,13.0,,,1.0,,,1.0,,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,,,1.0,,,34.36,112736.29,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,3.0,,,,,2.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
8,2444540,2024-10-19 17:30:00,"Vitality Stadium, Bournemouth",11235,Away,Arsenal,Bournemouth,0,2,L,0,0,1,0,,,51.0,,1.0,,20.0,26.0,1.0,1.0,5.0,2.0,,1.0,149.0,4.0,7.0,,1.0,3.0,2.0,1.0,102.0,145.0,53.0,6.0,,12.0,1.0,,,,,15.0,10.0,,,26.0,4.0,8.0,33.0,151.0,,0.0,125.0,11.0,,,2.0,52.0,64.0,2.0,81.0,2.0,11.0,21.0,1.0,5.0,1.0,145.0,1.0,9.0,107.0,619.0,1.0,6.0,22.0,6.0,332.0,28.0,6.0,13.0,,1.0,5.0,1.0,12.0,410.0,49.0,3.0,85955,5.0,201.0,2.0,6.0,,,220.0,6.0,8.0,7.0,56.0,3.0,,19.0,4.0,2.0,1.0,52.0,348.0,12.0,17.0,2.0,20.0,2.0,71.0,1.0,,0.0,,7.0,2.0,,1.0,1.0,,2.0,51.3,6.0,1.0,2.0,,,3.0,1.0,35.0,4.0,3.0,439.0,6.0,10.0,13.0,4.0,19.0,3.0,3.0,234.0,3.0,5.0,17.0,83.0,12.0,,3.0,13.0,17.0,,4.0,4.0,13.0,3.0,8.0,4.0,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,2.0,2.0,,,,1.0,,,,2.0,,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,2444550,2024-10-27 16:30:00,"Emirates Stadium, London",60383,Home,Arsenal,Liverpool,2,2,D,2,1,0,0,,2.0,42.0,,2.0,1.0,21.0,24.0,4.0,4.0,5.0,2.0,1.0,1.0,133.0,3.0,6.0,2.0,3.0,8.0,,3.0,104.0,129.0,55.0,9.0,,11.0,,,1.0,,,13.0,11.0,1.0,1.0,24.0,1.0,6.0,29.0,169.0,,0.0,132.0,14.0,1.0,2.0,1.0,50.0,78.0,4.0,67.0,,12.0,14.0,4.0,4.0,3.0,129.0,2.0,5.0,79.0,557.0,5.0,4.0,33.0,7.0,289.0,16.0,4.0,15.0,2.0,2.0,2.0,4.0,15.0,359.0,41.0,1.0,85955,2.0,140.0,,6.0,1.0,2.0,156.0,7.0,8.0,6.0,50.0,2.0,1.0,17.0,4.0,6.0,1.0,46.0,306.0,14.0,9.0,1.0,22.0,1.0,52.0,,,0.0,1.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,44.7,9.0,,5.0,1.0,1.0,2.0,2.0,24.0,1.0,1.0,383.0,7.0,10.0,18.0,4.0,25.0,,1.0,240.0,3.0,6.0,18.0,98.0,13.0,,4.0,15.0,17.0,1.0,6.0,4.0,12.0,4.0,8.0,1.0,,,2.0,,2.0,,2.0,,,1.0,,2.0,,,,,,,,,,,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
10,2444565,2024-11-02 12:30:00,"St. James' Park, Newcastle",52249,Away,Arsenal,Newcastle United,0,1,L,0,1,0,0,1.0,,51.0,,3.0,,16.0,18.0,3.0,5.0,7.0,3.0,,,149.0,7.0,3.0,,4.0,9.0,2.0,1.0,126.0,128.0,50.0,10.0,,19.0,1.0,1.0,,,1.0,27.0,10.0,,,18.0,6.0,2.0,29.0,264.0,,0.0,177.0,18.0,2.0,4.0,2.0,82.0,82.0,4.0,74.0,3.0,21.0,22.0,3.0,4.0,3.0,128.0,1.0,7.0,153.0,702.0,8.0,,31.0,6.0,420.0,16.0,1.0,14.0,,4.0,3.0,5.0,17.0,487.0,58.0,,85955,2.0,176.0,1.0,13.0,1.0,,191.0,10.0,13.0,1.0,65.0,8.0,,13.0,2.0,1.0,,35.0,433.0,16.0,6.0,1.0,14.0,3.0,54.0,1.0,1.0,0.0,1.0,4.0,2.0,,0.0,4.0,,2.0,63.9,15.0,2.0,6.0,,,8.0,3.0,32.0,6.0,2.0,502.0,6.0,13.0,15.0,6.0,41.0,3.0,3.0,338.0,3.0,2.0,14.0,142.0,21.0,,,14.0,17.0,,7.0,5.0,13.0,,13.0,6.0,,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
