gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,attRfTarget,attGoalLowCentre,attMissLeft,attGoalHighRight,divingSave,penaltyConceded,attMissHigh,attSvLowRight,shieldBallOop,attSvHighCentre,penaltyFaced,penGoalsConceded,accuratePullBack,attSvHighRight,totalPullBack,errorLeadToGoal,fouledFinalThird,attCmissRight,attBxRight,freekickCross,attObxdRight,accurateFreekickCross,attBxCentre,ownGoals,goalsOpenplay,foulThrowIn,attIboxOwnGoal,attOpenplay,postScoringAtt,attIboxPost,attPostLeft,attHdTarget,attAssistSetplay,accurateCornersIntobox,cleanSheet,attGoalHighCentre,sixYardBlock,attOboxPost,attFreekickMiss,punches,attHdPost,attPostHigh,goalsConcededObox,expectedGoalsOnTarget,attemptsIbox,saves,expectedGoalsOnTargetConceded,winningGoal,totalFastbreak,attemptsObox,keeperGoals,subsGoals,touchesInOppBox,successfulOpenPlayPass,expectedAssists,openPlayPass,expectedGoalsFreekick,attPenGoal,attCorner,attObpGoal,attCmissLeft,attFreekickGoal,attBxLeft,ptsDroppedWinningPos,expectedGoals,attCmissHigh,attPenTarget,penaltyWon,attPostRight,penaltySave,attLgCentre,errorLeadToShot,attCmissHighRight,attObxLeft
11,284100,2009-10-31 12:45:00,"Emirates Stadium, London",60103.0,Home,Arsenal,Tottenham Hotspur,3,0,W,2,0,0,0,2.0,2.0,89.0,1.0,1.0,2.0,3.0,,,23.0,27.0,6.0,9.0,,4.0,13.0,3.0,14.0,8.0,168.0,62.0,,18.0,1.0,23.0,5.0,3.0,,2.0,3.0,1.0,18.0,19.0,,15.0,5.0,28.0,28.0,212.0,,1.0,0.0,152.0,14.0,,1.0,,3.0,43.0,82.0,8.0,,2.0,13.0,,3.0,4.0,156.0,4.0,781.0,10.0,11.0,,24.0,36.0,,8.0,21.0,2.0,,1.0,2.0,6.0,17.0,67.0,4.0,6254,173.0,8.0,1.0,193.0,3.0,5.0,77.0,11.0,,4.0,12.0,6.0,2.0,51.0,381.0,10.0,9.0,30.0,105.0,3.0,,0.0,,2.0,2.0,2.0,,3.0,0.0,3.0,1.0,1.0,52.0,15.0,,2.0,12.0,4.0,,65.0,6.0,5.0,481.0,24.0,19.0,15.0,6.0,22.0,2.0,306.0,7.0,23.0,15.0,99.0,32.0,2.0,,13.0,24.0,,,3.0,27.0,,6.0,2.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,284119,2009-11-07 17:30:00,"Molineux Stadium, Wolverhampton",28937.0,Away,Arsenal,Wolverhampton Wanderers,4,1,W,3,0,0,0,,2.0,70.0,1.0,1.0,,3.0,,,38.0,42.0,4.0,6.0,,2.0,7.0,4.0,12.0,5.0,193.0,56.0,,13.0,2.0,14.0,3.0,2.0,1.0,1.0,1.0,1.0,17.0,21.0,,23.0,4.0,26.0,28.0,198.0,,1.0,0.0,142.0,15.0,1.0,2.0,,2.0,46.0,77.0,9.0,,1.0,13.0,,4.0,1.0,174.0,3.0,784.0,11.0,10.0,,28.0,36.0,,8.0,25.0,1.0,1.0,3.0,3.0,3.0,32.0,77.0,3.0,8597,233.0,8.0,,256.0,2.0,6.0,57.0,8.0,,8.0,4.0,4.0,2.0,70.0,429.0,9.0,2.0,34.0,102.0,2.0,,0.0,,4.0,,3.0,1.0,4.0,0.0,2.0,1.0,1.0,60.5,29.0,,1.0,4.0,5.0,,51.0,4.0,2.0,547.0,27.0,20.0,11.0,3.0,23.0,2.0,308.0,5.0,24.0,15.0,88.0,25.0,,2.0,14.0,25.0,,1.0,3.0,13.0,2.0,4.0,,,,,,,2.0,,2.0,1.0,,,1.0,,2.0,,1.0,1.0,1.0,1.0,,,7.0,,1.0,,,12.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
13,284128,2009-11-21 15:00:00,"Stadium of Light, Sunderland",44918.0,Away,Arsenal,Sunderland,0,1,L,0,0,0,0,1.0,,61.0,,,,,,,25.0,36.0,8.0,3.0,,3.0,8.0,,9.0,2.0,169.0,39.0,,12.0,4.0,12.0,1.0,,2.0,,,,30.0,12.0,1.0,23.0,3.0,31.0,20.0,254.0,3.0,,0.0,169.0,11.0,1.0,,1.0,2.0,53.0,101.0,4.0,,1.0,27.0,,4.0,3.0,156.0,7.0,833.0,8.0,11.0,,24.0,25.0,,5.0,20.0,,2.0,1.0,,5.0,36.0,66.0,1.0,8597,191.0,21.0,,214.0,,8.0,58.0,5.0,,1.0,11.0,1.0,4.0,51.0,442.0,10.0,7.0,23.0,102.0,,,0.0,,2.0,1.0,,1.0,5.0,0.0,2.0,,,64.5,32.0,,1.0,11.0,4.0,,63.0,6.0,2.0,533.0,24.0,20.0,11.0,6.0,22.0,3.0,349.0,9.0,27.0,6.0,124.0,21.0,,3.0,15.0,15.0,,1.0,3.0,17.0,3.0,6.0,2.0,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,284130,2009-11-29 16:00:00,"Emirates Stadium, London",60067.0,Home,Arsenal,Chelsea,0,3,L,0,2,0,0,,,63.0,,,,3.0,,,25.0,21.0,7.0,3.0,,6.0,7.0,,6.0,2.0,165.0,61.0,1.0,12.0,4.0,11.0,1.0,,,,1.0,,36.0,23.0,1.0,11.0,3.0,19.0,17.0,249.0,1.0,,0.0,176.0,17.0,,,1.0,2.0,73.0,67.0,6.0,,1.0,33.0,1.0,11.0,2.0,155.0,6.0,718.0,4.0,7.0,,21.0,28.0,,3.0,12.0,,,2.0,2.0,,24.0,71.0,,8597,157.0,20.0,1.0,171.0,,6.0,71.0,5.0,,3.0,7.0,5.0,2.0,38.0,400.0,13.0,8.0,15.0,73.0,,,0.0,,3.0,2.0,,3.0,2.0,0.0,6.0,,1.0,56.3,22.0,,1.0,8.0,7.0,,52.0,4.0,2.0,480.0,20.0,24.0,11.0,3.0,25.0,1.0,345.0,8.0,17.0,8.0,128.0,26.0,,,5.0,33.0,,2.0,3.0,18.0,,4.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,3.0,,,2.0,,1.0,4.0,1.0,,,1.0,10.0,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
15,284140,2009-12-05 15:00:00,"Emirates Stadium, London",60048.0,Home,Arsenal,Stoke City,2,0,W,1,0,0,0,1.0,,55.0,,2.0,2.0,2.0,,,32.0,41.0,3.0,,,3.0,9.0,2.0,11.0,7.0,178.0,57.0,,15.0,,21.0,4.0,,1.0,1.0,1.0,,31.0,16.0,1.0,21.0,8.0,37.0,21.0,330.0,1.0,1.0,0.0,215.0,4.0,,2.0,1.0,,108.0,71.0,5.0,,1.0,23.0,,5.0,1.0,158.0,2.0,934.0,10.0,5.0,1.0,21.0,27.0,,1.0,27.0,1.0,1.0,0.0,1.0,6.0,26.0,89.0,7.0,8597,227.0,17.0,,247.0,2.0,3.0,61.0,16.0,,1.0,6.0,3.0,2.0,45.0,554.0,10.0,2.0,10.0,72.0,,,0.0,,2.0,1.0,1.0,,2.0,0.0,3.0,1.0,2.0,66.8,24.0,2.0,3.0,6.0,2.0,,50.0,10.0,1.0,645.0,20.0,24.0,12.0,6.0,26.0,5.0,429.0,13.0,37.0,16.0,161.0,18.0,,,13.0,22.0,,,3.0,20.0,,10.0,5.0,,3.0,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
16,284155,2009-12-13 16:00:00,"Anfield, Liverpool",43853.0,Away,Arsenal,Liverpool,2,1,W,0,1,0,0,,,78.0,,,,,,,22.0,34.0,4.0,,,2.0,13.0,2.0,7.0,4.0,210.0,65.0,,9.0,2.0,19.0,2.0,,,,,,18.0,16.0,1.0,16.0,1.0,18.0,22.0,165.0,,,0.0,124.0,16.0,,1.0,1.0,3.0,35.0,84.0,4.0,2.0,,17.0,,4.0,1.0,192.0,8.0,696.0,5.0,13.0,,25.0,34.0,,2.0,19.0,,,3.0,3.0,3.0,27.0,76.0,,6254,159.0,10.0,2.0,189.0,1.0,12.0,75.0,7.0,,2.0,8.0,1.0,3.0,51.0,322.0,19.0,13.0,25.0,103.0,,1.0,0.0,,3.0,2.0,2.0,1.0,1.0,0.0,2.0,,2.0,51.9,22.0,2.0,,10.0,2.0,,49.0,4.0,3.0,453.0,25.0,20.0,8.0,3.0,23.0,2.0,282.0,7.0,15.0,14.0,59.0,27.0,,2.0,7.0,19.0,,1.0,3.0,20.0,2.0,4.0,3.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,4.0,,1.0,3.0,,1.0,3.0,,1.0,,,7.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
17,284162,2009-12-16 19:45:00,"Turf Moor, Burnley",21309.0,Away,Arsenal,Burnley,1,1,D,1,1,0,0,,1.0,48.0,1.0,,1.0,1.0,,,15.0,40.0,10.0,5.0,,4.0,4.0,1.0,14.0,7.0,177.0,67.0,2.0,19.0,2.0,16.0,4.0,,,,,,21.0,27.0,2.0,23.0,6.0,15.0,13.0,206.0,2.0,,0.0,163.0,12.0,1.0,1.0,1.0,2.0,35.0,63.0,7.0,1.0,1.0,15.0,2.0,4.0,5.0,160.0,5.0,671.0,12.0,8.0,1.0,25.0,11.0,1.0,4.0,24.0,,,0.0,2.0,7.0,24.0,77.0,4.0,6254,112.0,10.0,,145.0,1.0,10.0,51.0,9.0,,4.0,2.0,4.0,4.0,52.0,314.0,11.0,4.0,27.0,77.0,,,0.0,1.0,3.0,,1.0,1.0,4.0,0.0,1.0,,3.0,53.7,20.0,1.0,7.0,2.0,3.0,,33.0,6.0,2.0,430.0,24.0,11.0,7.0,9.0,39.0,3.0,306.0,11.0,15.0,18.0,112.0,20.0,,1.0,11.0,34.0,,1.0,2.0,12.0,1.0,6.0,3.0,,2.0,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,,2.0,1.0,,,5.0,,1.0,,,13.0,1.0,,,2.0,2.0,3.0,,,,1.0,,,,,,,9.0,2.0,,,,10.0,,,29.0,302.0,,405.0,,,4.0,,1.0,,1.0,2.0,,,,,1.0,,,,,
18,284170,2009-12-19 17:30:00,"Emirates Stadium, London",60006.0,Home,Arsenal,Hull City,3,0,W,1,0,0,0,,1.0,67.0,2.0,,,3.0,,,20.0,31.0,8.0,5.0,,4.0,6.0,3.0,17.0,4.0,163.0,59.0,2.0,20.0,2.0,16.0,1.0,3.0,3.0,2.0,,,24.0,23.0,,14.0,5.0,32.0,17.0,306.0,,1.0,0.0,192.0,9.0,,2.0,1.0,2.0,55.0,83.0,7.0,1.0,1.0,19.0,2.0,3.0,5.0,146.0,6.0,885.0,15.0,8.0,,21.0,32.0,2.0,1.0,18.0,2.0,3.0,1.0,2.0,10.0,18.0,69.0,4.0,6254,206.0,14.0,,225.0,3.0,9.0,58.0,10.0,,,10.0,3.0,6.0,45.0,508.0,15.0,8.0,22.0,74.0,3.0,,0.0,,,3.0,2.0,,,0.0,3.0,2.0,,64.1,18.0,,1.0,10.0,5.0,,48.0,8.0,2.0,606.0,20.0,21.0,8.0,11.0,24.0,6.0,405.0,13.0,28.0,10.0,130.0,22.0,1.0,,7.0,28.0,,,3.0,10.0,,8.0,,,7.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
19,284180,2009-12-27 13:30:00,"Emirates Stadium, London",60056.0,Home,Arsenal,Aston Villa,3,0,W,0,0,0,0,,4.0,67.0,,2.0,1.0,3.0,,,18.0,24.0,9.0,5.0,,4.0,12.0,3.0,15.0,9.0,171.0,57.0,3.0,21.0,3.0,33.0,5.0,1.0,1.0,2.0,4.0,1.0,27.0,12.0,1.0,14.0,8.0,13.0,19.0,247.0,,2.0,0.0,174.0,15.0,,3.0,1.0,2.0,32.0,98.0,11.0,,,19.0,3.0,5.0,4.0,161.0,7.0,774.0,10.0,8.0,,11.0,32.0,1.0,6.0,14.0,2.0,1.0,1.0,2.0,4.0,22.0,73.0,1.0,6254,164.0,10.0,3.0,183.0,3.0,8.0,81.0,5.0,,1.0,6.0,3.0,2.0,39.0,407.0,20.0,4.0,19.0,84.0,1.0,1.0,0.0,,4.0,1.0,1.0,,,0.0,2.0,1.0,2.0,61.5,17.0,2.0,1.0,6.0,6.0,,41.0,10.0,2.0,503.0,10.0,25.0,6.0,6.0,20.0,2.0,347.0,12.0,13.0,11.0,122.0,24.0,,1.0,7.0,14.0,,,3.0,17.0,1.0,10.0,2.0,,,,,,5.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,
20,284196,2009-12-30 19:45:00,"Fratton Park, Portsmouth",20404.0,Away,Arsenal,Portsmouth,4,1,W,2,0,0,0,,,66.0,2.0,1.0,,4.0,,,31.0,30.0,9.0,7.0,1.0,5.0,10.0,4.0,9.0,5.0,177.0,67.0,2.0,19.0,5.0,13.0,1.0,1.0,1.0,2.0,1.0,,32.0,18.0,1.0,15.0,7.0,29.0,23.0,302.0,2.0,1.0,0.0,193.0,3.0,,3.0,1.0,1.0,65.0,105.0,8.0,2.0,,25.0,2.0,6.0,2.0,162.0,8.0,857.0,7.0,4.0,,22.0,19.0,1.0,1.0,19.0,2.0,1.0,0.0,3.0,1.0,14.0,73.0,,8597,220.0,17.0,2.0,240.0,1.0,7.0,42.0,6.0,,4.0,6.0,4.0,6.0,50.0,517.0,14.0,5.0,13.0,90.0,1.0,,0.0,,2.0,3.0,3.0,1.0,1.0,0.0,4.0,2.0,2.0,65.2,8.0,1.0,3.0,7.0,9.0,,57.0,10.0,3.0,619.0,20.0,16.0,10.0,5.0,25.0,3.0,411.0,10.0,26.0,16.0,144.0,33.0,,3.0,9.0,27.0,1.0,1.0,3.0,15.0,3.0,10.0,2.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,,3.0,,1.0,2.0,,,7.0,,2.0,,,12.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,
21,284200,2010-01-09 15:00:00,"Emirates Stadium, London",60053.0,Home,Arsenal,Everton,2,2,D,1,1,0,0,1.0,,59.0,,,1.0,4.0,,,24.0,30.0,4.0,3.0,,6.0,14.0,2.0,8.0,1.0,167.0,57.0,,9.0,2.0,10.0,,1.0,1.0,1.0,,,34.0,16.0,,21.0,6.0,26.0,18.0,312.0,,,0.0,164.0,12.0,,1.0,,1.0,70.0,112.0,7.0,2.0,1.0,28.0,,15.0,2.0,158.0,3.0,838.0,5.0,6.0,,21.0,23.0,,4.0,17.0,1.0,2.0,1.0,2.0,1.0,15.0,76.0,1.0,8597,215.0,13.0,,234.0,1.0,9.0,62.0,7.0,,2.0,6.0,5.0,7.0,45.0,521.0,11.0,9.0,23.0,81.0,1.0,,0.0,,8.0,,2.0,2.0,4.0,0.0,2.0,1.0,,65.9,13.0,,2.0,6.0,6.0,,56.0,6.0,1.0,613.0,21.0,22.0,10.0,2.0,25.0,,413.0,5.0,24.0,12.0,118.0,26.0,,3.0,11.0,20.0,,1.0,3.0,24.0,3.0,6.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,3.0,,1.0,,,5.0,,,,,2.0,4.0,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
22,284212,2010-01-17 16:00:00,"Toughsheet Community Stadium, Bolton",23893.0,Away,Arsenal,Bolton Wanderers,2,0,W,1,0,0,0,1.0,1.0,77.0,2.0,,2.0,1.0,,,24.0,40.0,8.0,5.0,,2.0,11.0,2.0,10.0,5.0,214.0,69.0,2.0,15.0,4.0,21.0,1.0,,,1.0,1.0,,16.0,17.0,2.0,14.0,4.0,31.0,22.0,235.0,,,0.0,158.0,8.0,,2.0,,4.0,58.0,59.0,6.0,,,12.0,2.0,4.0,2.0,188.0,7.0,848.0,7.0,5.0,,20.0,18.0,,4.0,23.0,1.0,,2.0,5.0,4.0,27.0,73.0,,8597,171.0,6.0,1.0,210.0,2.0,10.0,61.0,5.0,,2.0,11.0,9.0,2.0,61.0,404.0,13.0,5.0,28.0,117.0,,,0.0,1.0,2.0,2.0,2.0,,2.0,0.0,1.0,1.0,1.0,58.9,23.0,1.0,2.0,12.0,5.0,,55.0,4.0,4.0,534.0,20.0,22.0,9.0,5.0,20.0,3.0,340.0,9.0,27.0,25.0,106.0,28.0,,2.0,6.0,20.0,,,3.0,18.0,2.0,4.0,2.0,,3.0,,1.0,,2.0,,2.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,284226,2010-01-27 19:45:00,"Villa Park, Birmingham",39601.0,Away,Arsenal,Aston Villa,0,0,D,0,0,0,0,,1.0,47.0,,,,4.0,,,16.0,38.0,5.0,3.0,,1.0,7.0,,11.0,3.0,164.0,50.0,2.0,15.0,4.0,21.0,2.0,,,,1.0,,15.0,9.0,1.0,23.0,6.0,14.0,5.0,176.0,1.0,,0.0,149.0,16.0,,,2.0,4.0,30.0,71.0,7.0,3.0,1.0,9.0,2.0,2.0,,149.0,7.0,649.0,9.0,7.0,2.0,26.0,20.0,,9.0,19.0,,,2.0,,4.0,22.0,70.0,1.0,8597,119.0,7.0,,140.0,,14.0,61.0,4.0,,1.0,5.0,4.0,4.0,43.0,294.0,16.0,3.0,36.0,88.0,,,0.0,,7.0,1.0,,,2.0,0.0,,,,51.3,17.0,,2.0,5.0,8.0,,41.0,7.0,4.0,392.0,26.0,17.0,1.0,4.0,19.0,2.0,267.0,12.0,12.0,16.0,96.0,16.0,,7.0,7.0,11.0,,,3.0,11.0,7.0,7.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,2.0,1.0,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,284230,2010-01-31 16:00:00,"Emirates Stadium, London",60091.0,Home,Arsenal,Manchester United,1,3,L,0,2,0,0,,,65.0,1.0,,1.0,4.0,,,24.0,26.0,8.0,5.0,1.0,9.0,18.0,1.0,17.0,3.0,178.0,63.0,,20.0,,8.0,,3.0,,,1.0,,34.0,17.0,2.0,10.0,5.0,20.0,21.0,248.0,,1.0,0.0,165.0,9.0,,,1.0,1.0,86.0,56.0,6.0,3.0,7.0,29.0,,8.0,5.0,162.0,9.0,801.0,13.0,9.0,,25.0,27.0,1.0,2.0,12.0,,,1.0,3.0,11.0,27.0,64.0,1.0,8597,153.0,20.0,1.0,177.0,,10.0,62.0,8.0,1.0,,10.0,4.0,5.0,38.0,392.0,12.0,9.0,10.0,76.0,3.0,,0.0,,5.0,,,3.0,2.0,0.0,7.0,,3.0,53.7,24.0,3.0,2.0,10.0,4.0,,48.0,8.0,1.0,485.0,25.0,24.0,9.0,13.0,26.0,8.0,342.0,10.0,17.0,15.0,116.0,25.0,,3.0,5.0,18.0,,3.0,3.0,30.0,3.0,8.0,2.0,,3.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,284243,2010-02-07 16:00:00,"Stamford Bridge, London",41794.0,Away,Arsenal,Chelsea,0,2,L,0,2,0,0,1.0,,58.0,,,,2.0,,,38.0,17.0,8.0,6.0,,1.0,21.0,,10.0,2.0,178.0,72.0,1.0,14.0,2.0,8.0,1.0,,2.0,,1.0,,33.0,25.0,1.0,11.0,6.0,20.0,23.0,275.0,,,0.0,221.0,15.0,,,,,83.0,69.0,3.0,,3.0,27.0,1.0,9.0,5.0,172.0,10.0,815.0,8.0,9.0,,15.0,22.0,,4.0,9.0,,2.0,2.0,1.0,7.0,33.0,85.0,3.0,8597,148.0,18.0,2.0,158.0,,6.0,69.0,9.0,,1.0,4.0,3.0,3.0,56.0,422.0,12.0,11.0,14.0,79.0,,,0.0,1.0,4.0,3.0,,2.0,4.0,0.0,1.0,,1.0,58.7,31.0,1.0,1.0,4.0,4.0,,48.0,8.0,,519.0,14.0,28.0,15.0,8.0,29.0,3.0,394.0,7.0,17.0,10.0,160.0,28.0,,2.0,7.0,29.0,,2.0,3.0,29.0,2.0,8.0,2.0,,5.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,284250,2010-02-10 19:45:00,"Emirates Stadium, London",60045.0,Home,Arsenal,Liverpool,1,0,W,0,0,0,0,,1.0,68.0,,,2.0,1.0,,,23.0,45.0,5.0,2.0,,3.0,10.0,1.0,7.0,3.0,182.0,61.0,1.0,11.0,2.0,18.0,1.0,1.0,,1.0,1.0,,17.0,17.0,1.0,23.0,3.0,10.0,18.0,159.0,,,0.0,126.0,21.0,,1.0,1.0,1.0,42.0,54.0,3.0,,1.0,14.0,1.0,2.0,2.0,160.0,6.0,724.0,5.0,10.0,,27.0,29.0,1.0,7.0,19.0,1.0,,3.0,3.0,4.0,20.0,71.0,4.0,8597,169.0,10.0,2.0,195.0,,5.0,80.0,13.0,,3.0,6.0,4.0,2.0,39.0,325.0,14.0,12.0,24.0,79.0,1.0,1.0,0.0,,6.0,2.0,1.0,,1.0,0.0,2.0,1.0,2.0,47.5,17.0,1.0,1.0,6.0,3.0,,43.0,3.0,2.0,431.0,27.0,21.0,8.0,5.0,21.0,3.0,253.0,7.0,10.0,17.0,76.0,29.0,,3.0,10.0,20.0,1.0,,3.0,19.0,3.0,3.0,1.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,284260,2010-02-20 15:00:00,"Emirates Stadium, London",60083.0,Home,Arsenal,Sunderland,2,0,W,1,0,0,0,,2.0,70.0,1.0,1.0,1.0,4.0,,,33.0,27.0,9.0,6.0,,3.0,17.0,2.0,15.0,7.0,173.0,52.0,1.0,24.0,4.0,18.0,4.0,2.0,4.0,1.0,1.0,,28.0,14.0,1.0,16.0,6.0,36.0,42.0,283.0,2.0,,0.0,204.0,9.0,,1.0,2.0,1.0,85.0,69.0,9.0,,,22.0,1.0,3.0,4.0,162.0,3.0,845.0,12.0,7.0,1.0,10.0,27.0,1.0,3.0,16.0,1.0,4.0,1.0,1.0,6.0,34.0,94.0,1.0,8597,175.0,16.0,2.0,192.0,2.0,4.0,52.0,10.0,,2.0,7.0,4.0,2.0,53.0,455.0,10.0,2.0,10.0,90.0,2.0,,0.0,1.0,1.0,2.0,2.0,,3.0,0.0,1.0,,1.0,67.8,29.0,1.0,2.0,8.0,8.0,,57.0,7.0,1.0,559.0,10.0,17.0,17.0,9.0,31.0,5.0,395.0,17.0,33.0,7.0,139.0,31.0,1.0,1.0,8.0,18.0,,,3.0,23.0,1.0,7.0,3.0,,6.0,,1.0,,,2.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,
28,284277,2010-02-27 17:30:00,"bet365 Stadium, Stoke",27011.0,Away,Arsenal,Stoke City,3,1,W,1,1,0,1,,,41.0,,2.0,,2.0,,,25.0,28.0,12.0,2.0,,3.0,15.0,3.0,14.0,6.0,187.0,64.0,1.0,19.0,5.0,14.0,,,1.0,2.0,1.0,,24.0,12.0,3.0,14.0,5.0,26.0,34.0,273.0,,,0.0,213.0,8.0,,1.0,1.0,2.0,70.0,84.0,10.0,,2.0,19.0,1.0,6.0,4.0,173.0,4.0,763.0,11.0,16.0,,13.0,14.0,,4.0,16.0,2.0,1.0,1.0,3.0,4.0,39.0,80.0,1.0,8597,113.0,13.0,1.0,127.0,2.0,6.0,51.0,8.0,1.0,2.0,6.0,4.0,,56.0,383.0,13.0,3.0,24.0,77.0,,,0.0,,3.0,1.0,3.0,1.0,9.0,0.0,2.0,2.0,2.0,64.6,31.0,1.0,1.0,7.0,7.0,,32.0,7.0,2.0,491.0,13.0,18.0,17.0,6.0,33.0,2.0,388.0,15.0,21.0,18.0,154.0,15.0,1.0,,10.0,18.0,1.0,1.0,3.0,23.0,,6.0,3.0,,3.0,1.0,,,1.0,,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
