gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,attGoalLowCentre,fouledFinalThird,attFreekickTotal,attOboxBlocked,goalAssistOpenplay,attOboxGoal,ptsGainedLosingPos,freekickTotal,contentiousDecision,attHdTarget,hitWoodwork,attMissHighLeft,accurateThroughBall,errorLeadToShot,sixYardBlock,attRfGoal,defenderGoals,attCmissHighLeft,goalsOpenplay,attAssistSetplay,attCorner,goalsConceded,possessionPercentage,accurateCornersIntobox,attMissHighRight,penaltyWon,attSvHighLeft,interceptionsInBox,attPenGoal,attSvLowRight,attFreekickTarget,attSvHighCentre,goalsConcededIbox,attGoalHighRight,errorLeadToGoal,postScoringAtt,attIboxPost,attSvHighRight,attGoalHighCentre,attPostLeft,attHdPost,attOboxPost,attPostHigh,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,midfielderGoals,attLgCentre,shotFastbreak,totalFastbreak,attFastbreak,foulThrowIn,attOneOnOne,winningGoal,keeperGoals,subsGoals,ownGoals,attObpGoal,attFreekickGoal,attFreekickMiss,clearanceOffLine,attPostRight,attObxdLeft,attIboxOwnGoal,attFreekickPost,attPenTarget
1,2128291,2020-09-13 16:30:00,"Tottenham Hotspur Stadium, London",,Away,Everton,Tottenham Hotspur,1,0,W,0,0,0,0,1.0,1.0,20.0,63.0,1.0,4.0,1.0,1.0,41.0,36.0,5.0,5.0,10.0,5.0,2.0,137.0,15.0,2.0,18.0,1.0,13.0,1.0,2.0,4.0,158.0,116.0,65.0,15.0,18.0,1.0,2.0,1.0,2.0,2.0,12.0,9.0,2.0,36.0,3.0,10.0,34.0,163.0,1.0,0.0,72.0,7.0,1.0,1.0,1.0,1.0,63.0,45.0,8.0,93.0,3.0,9.0,16.0,5.0,5.0,3.0,116.0,1.0,8.0,141.0,735.0,12.0,4.0,19.0,19.0,432.0,29.0,5.0,21.0,1.0,1.0,0.0,3.0,5.0,17.0,505.0,32.0,1.0,60025,3.0,289.0,2.0,3.0,1.0,317.0,4.0,2.0,16.0,4.0,38.0,1.0,1.0,1.0,5.0,12.0,1.0,3.0,2.0,73.0,450.0,14.0,5.0,24.0,76.0,1.0,2.0,2.0,0.0,1.0,5.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,13.0,1.0,3.0,3.0,5.0,4.0,48.0,3.0,1.0,529.0,19.0,7.0,23.0,7.0,24.0,4.0,224.0,8.0,10.0,15.0,47.0,21.0,1.0,2.0,21.0,19.0,1.0,14.0,3.0,20.0,2.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128299,2020-09-19 12:30:00,"Goodison Park, Liverpool",,Home,Everton,West Bromwich Albion,5,2,W,2,1,0,1,1.0,,20.0,61.0,1.0,4.0,1.0,1.0,31.0,4.0,4.0,6.0,13.0,2.0,1.0,212.0,9.0,9.0,7.0,5.0,12.0,,,7.0,222.0,137.0,50.0,17.0,14.0,1.0,,,1.0,2.0,32.0,13.0,1.0,4.0,11.0,10.0,38.0,263.0,,0.0,144.0,9.0,2.0,1.0,3.0,,84.0,67.0,7.0,128.0,1.0,22.0,19.0,4.0,5.0,1.0,137.0,2.0,2.0,237.0,982.0,5.0,3.0,38.0,6.0,706.0,29.0,2.0,2.0,3.0,,1.0,1.0,5.0,17.0,782.0,56.0,2.0,60025,7.0,468.0,1.0,14.0,4.0,490.0,7.0,1.0,19.0,5.0,45.0,,3.0,1.0,5.0,14.0,4.0,4.0,1.0,56.0,722.0,10.0,5.0,10.0,88.0,1.0,1.0,,0.0,2.0,1.0,1.0,4.0,2.0,0.0,5.0,2.0,,5.0,15.0,3.0,5.0,1.0,5.0,5.0,64.0,11.0,,799.0,6.0,10.0,20.0,5.0,39.0,4.0,341.0,5.0,10.0,12.0,109.0,22.0,4.0,1.0,2.0,21.0,1.0,8.0,3.0,15.0,1.0,9.0,11.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,71.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128308,2020-09-26 15:00:00,"Selhurst Park, London",,Away,Everton,Crystal Palace,2,1,W,2,1,0,0,1.0,1.0,16.0,55.0,,1.0,,,39.0,25.0,3.0,3.0,7.0,,2.0,154.0,7.0,3.0,7.0,2.0,6.0,,,5.0,142.0,150.0,60.0,10.0,15.0,2.0,,1.0,,2.0,14.0,10.0,1.0,25.0,4.0,9.0,41.0,156.0,,0.0,87.0,15.0,,,2.0,1.0,89.0,56.0,4.0,91.0,,10.0,22.0,3.0,3.0,1.0,150.0,2.0,5.0,137.0,742.0,3.0,8.0,15.0,10.0,413.0,29.0,9.0,12.0,1.0,1.0,1.0,5.0,2.0,25.0,499.0,36.0,,60025,5.0,280.0,1.0,5.0,1.0,316.0,9.0,1.0,22.0,7.0,64.0,,,,3.0,16.0,3.0,5.0,,67.0,433.0,14.0,9.0,22.0,68.0,1.0,1.0,2.0,0.0,1.0,7.0,,2.0,3.0,0.0,1.0,1.0,1.0,1.0,21.0,1.0,3.0,,4.0,2.0,41.0,6.0,1.0,524.0,10.0,16.0,25.0,3.0,18.0,2.0,222.0,6.0,8.0,21.0,59.0,18.0,2.0,4.0,12.0,20.0,,5.0,3.0,17.0,4.0,8.0,6.0,,2.0,,,,1.0,5.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,,2.0,,,1.0,2.0,2.0,1.0,57.7,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128319,2020-10-03 15:00:00,"Goodison Park, Liverpool",,Home,Everton,Brighton and Hove Albion,4,2,W,2,1,0,0,1.0,,28.0,54.0,,2.0,2.0,1.0,21.0,18.0,5.0,4.0,6.0,1.0,2.0,126.0,14.0,4.0,9.0,4.0,10.0,,,6.0,131.0,119.0,51.0,11.0,4.0,,,,,,12.0,15.0,2.0,18.0,2.0,5.0,29.0,173.0,,0.0,96.0,13.0,,1.0,1.0,1.0,59.0,50.0,8.0,77.0,1.0,10.0,17.0,5.0,3.0,2.0,119.0,4.0,6.0,140.0,669.0,5.0,2.0,18.0,26.0,380.0,23.0,3.0,8.0,4.0,,0.0,5.0,2.0,13.0,444.0,34.0,1.0,60025,3.0,235.0,,6.0,1.0,259.0,5.0,,17.0,8.0,52.0,,,,4.0,18.0,5.0,5.0,,47.0,404.0,13.0,16.0,15.0,58.0,,,1.0,0.0,1.0,10.0,1.0,4.0,,0.0,4.0,4.0,1.0,2.0,11.0,,8.0,1.0,4.0,3.0,35.0,3.0,1.0,474.0,26.0,14.0,15.0,2.0,19.0,,227.0,5.0,4.0,9.0,74.0,15.0,3.0,1.0,8.0,20.0,2.0,9.0,3.0,15.0,1.0,9.0,3.0,1.0,4.0,,3.0,1.0,,2.0,,1.0,2.0,,,,,,,1.0,,2.0,,1.0,1.0,,2.0,1.0,1.0,2.0,43.4,,,,,4.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128328,2020-10-17 12:30:00,"Goodison Park, Liverpool",,Home,Everton,Liverpool,2,2,D,1,1,1,0,2.0,2.0,33.0,65.0,2.0,,1.0,1.0,30.0,27.0,5.0,4.0,6.0,6.0,1.0,146.0,17.0,5.0,8.0,2.0,11.0,,,5.0,94.0,145.0,51.0,11.0,11.0,1.0,1.0,,1.0,1.0,12.0,8.0,2.0,27.0,2.0,3.0,36.0,122.0,,0.0,113.0,15.0,2.0,1.0,1.0,,52.0,47.0,6.0,49.0,,10.0,16.0,5.0,6.0,2.0,145.0,3.0,15.0,91.0,554.0,8.0,8.0,12.0,1.0,266.0,26.0,6.0,14.0,2.0,,3.0,5.0,4.0,12.0,348.0,59.0,1.0,60025,3.0,167.0,2.0,3.0,,192.0,8.0,,16.0,14.0,52.0,,1.0,2.0,4.0,15.0,7.0,5.0,2.0,74.0,284.0,8.0,11.0,20.0,70.0,,,1.0,0.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,2.0,,4.0,9.0,1.0,5.0,,4.0,1.0,31.0,2.0,,380.0,1.0,14.0,17.0,5.0,23.0,2.0,200.0,3.0,3.0,19.0,61.0,26.0,1.0,,14.0,16.0,2.0,9.0,3.0,12.0,,7.0,2.0,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,2.0,41.9,1.0,,,,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128343,2020-10-25 14:00:00,"St. Mary's Stadium, Southampton",,Away,Everton,Southampton,0,2,L,0,2,1,0,,1.0,27.0,51.0,2.0,2.0,,,19.0,14.0,3.0,1.0,3.0,4.0,,147.0,15.0,2.0,13.0,,4.0,1.0,,2.0,146.0,130.0,48.0,6.0,5.0,1.0,,,2.0,,21.0,9.0,1.0,14.0,3.0,4.0,26.0,172.0,,0.0,100.0,11.0,3.0,,2.0,,90.0,35.0,3.0,67.0,,18.0,15.0,3.0,7.0,,130.0,,10.0,149.0,686.0,4.0,3.0,16.0,11.0,416.0,19.0,2.0,6.0,,,2.0,1.0,1.0,17.0,489.0,51.0,,60025,2.0,265.0,,9.0,1.0,287.0,9.0,1.0,15.0,6.0,52.0,,,1.0,2.0,14.0,3.0,6.0,,41.0,435.0,10.0,18.0,14.0,62.0,,,,0.0,2.0,4.0,2.0,,1.0,1.0,2.0,,,1.0,15.0,,1.0,1.0,2.0,3.0,39.0,5.0,,509.0,11.0,10.0,13.0,1.0,24.0,,243.0,4.0,4.0,10.0,69.0,28.0,,2.0,6.0,15.0,,3.0,3.0,21.0,2.0,7.0,5.0,,,,,,,2.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,2.0,45.7,,,,,1.0,,,1.0,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128352,2020-11-01 14:00:00,"St. James' Park, Newcastle",,Away,Everton,Newcastle United,1,2,L,0,0,0,0,,,27.0,49.0,,4.0,,,26.0,12.0,6.0,6.0,9.0,2.0,2.0,142.0,14.0,4.0,5.0,1.0,12.0,,1.0,4.0,187.0,115.0,45.0,15.0,6.0,2.0,1.0,,3.0,,27.0,12.0,1.0,12.0,4.0,4.0,23.0,253.0,,0.0,124.0,10.0,1.0,,2.0,1.0,82.0,63.0,6.0,82.0,1.0,23.0,22.0,6.0,10.0,4.0,115.0,,7.0,196.0,803.0,9.0,4.0,25.0,6.0,533.0,14.0,4.0,6.0,,,4.0,4.0,6.0,23.0,593.0,52.0,2.0,66838,7.0,298.0,,11.0,2.0,306.0,3.0,,22.0,3.0,40.0,,1.0,,3.0,19.0,4.0,3.0,3.0,37.0,547.0,8.0,11.0,8.0,53.0,,,,0.0,,5.0,2.0,1.0,3.0,0.0,4.0,,,2.0,23.0,1.0,5.0,,3.0,5.0,40.0,4.0,1.0,607.0,6.0,6.0,14.0,6.0,30.0,2.0,328.0,7.0,4.0,10.0,91.0,27.0,1.0,1.0,6.0,22.0,,13.0,3.0,12.0,1.0,12.0,4.0,,1.0,,1.0,,,2.0,,1.0,,,,,,1.0,,1.0,1.0,,,1.0,,,1.0,3.0,,2.0,62.3,,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,2128360,2020-11-07 12:30:00,"Goodison Park, Liverpool",,Home,Everton,Manchester United,1,3,L,1,2,0,0,,,27.0,71.0,1.0,1.0,,,33.0,10.0,2.0,2.0,5.0,2.0,,145.0,11.0,6.0,12.0,1.0,5.0,1.0,,1.0,138.0,139.0,74.0,7.0,14.0,,,,,1.0,29.0,12.0,,10.0,4.0,4.0,49.0,191.0,,0.0,152.0,12.0,,,4.0,,73.0,56.0,1.0,88.0,,25.0,24.0,2.0,7.0,2.0,139.0,,7.0,152.0,736.0,5.0,7.0,21.0,6.0,419.0,35.0,5.0,1.0,,,4.0,3.0,4.0,19.0,494.0,59.0,,66838,4.0,257.0,,14.0,,275.0,6.0,1.0,24.0,6.0,45.0,1.0,,3.0,10.0,16.0,6.0,2.0,2.0,64.0,442.0,19.0,6.0,15.0,66.0,,,,0.0,1.0,2.0,1.0,1.0,4.0,0.0,6.0,,,1.0,17.0,1.0,3.0,1.0,10.0,1.0,41.0,5.0,1.0,523.0,6.0,6.0,30.0,5.0,30.0,2.0,277.0,4.0,3.0,19.0,110.0,20.0,1.0,,1.0,25.0,,6.0,2.0,19.0,,10.0,5.0,,,1.0,,,,4.0,,,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,3.0,54.7,,,,,,,,,,3.0,,,1.0,1.0,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
9,2128368,2020-11-22 12:00:00,"Craven Cottage, London",,Away,Everton,Fulham,3,2,W,3,1,0,0,2.0,2.0,31.0,76.0,2.0,1.0,,,29.0,18.0,1.0,3.0,7.0,4.0,2.0,170.0,15.0,5.0,11.0,3.0,9.0,,,7.0,144.0,164.0,64.0,9.0,13.0,3.0,,,1.0,,21.0,15.0,1.0,18.0,5.0,3.0,43.0,183.0,,0.0,131.0,10.0,1.0,1.0,1.0,,66.0,51.0,8.0,81.0,,16.0,21.0,2.0,7.0,,164.0,3.0,7.0,122.0,702.0,5.0,3.0,25.0,12.0,391.0,42.0,9.0,10.0,2.0,,0.0,4.0,,16.0,491.0,57.0,1.0,66838,5.0,224.0,1.0,8.0,1.0,267.0,6.0,,21.0,4.0,51.0,,,3.0,6.0,14.0,7.0,1.0,,78.0,402.0,13.0,19.0,35.0,79.0,,,,0.0,1.0,2.0,2.0,3.0,,0.0,5.0,2.0,,1.0,13.0,,3.0,,6.0,2.0,36.0,5.0,,517.0,12.0,7.0,20.0,,28.0,,271.0,5.0,3.0,18.0,89.0,20.0,2.0,,10.0,22.0,1.0,8.0,2.0,16.0,,7.0,5.0,,3.0,1.0,,,1.0,1.0,,1.0,2.0,,,,,,,,,,,2.0,,,3.0,1.0,,2.0,45.9,,,,,2.0,,1.0,,,2.0,1.0,,,,1.0,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10,2128380,2020-11-28 17:30:00,"Goodison Park, Liverpool",,Home,Everton,Leeds United,0,1,L,0,0,0,0,,4.0,26.0,61.0,2.0,1.0,,,31.0,23.0,5.0,7.0,10.0,5.0,4.0,139.0,14.0,4.0,13.0,,13.0,,,8.0,97.0,132.0,62.0,15.0,13.0,5.0,,1.0,3.0,1.0,13.0,10.0,3.0,23.0,4.0,8.0,27.0,162.0,,0.0,112.0,8.0,3.0,1.0,1.0,1.0,32.0,41.0,8.0,59.0,3.0,9.0,13.0,5.0,2.0,2.0,132.0,2.0,17.0,96.0,606.0,12.0,8.0,24.0,15.0,283.0,26.0,9.0,9.0,,1.0,1.0,6.0,5.0,11.0,360.0,40.0,,66838,6.0,149.0,2.0,6.0,2.0,168.0,4.0,,13.0,7.0,46.0,,1.0,2.0,7.0,15.0,6.0,4.0,1.0,58.0,307.0,14.0,6.0,23.0,61.0,,,,0.0,,2.0,3.0,,3.0,0.0,2.0,,,2.0,9.0,2.0,6.0,2.0,7.0,1.0,37.0,4.0,2.0,391.0,15.0,12.0,13.0,6.0,24.0,4.0,236.0,6.0,8.0,16.0,73.0,19.0,,2.0,9.0,19.0,,12.0,3.0,20.0,2.0,9.0,4.0,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,41.8,2.0,,,,2.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
