gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,handBall,attGoalLowLeft,attLfGoal,attGoalLowCentre,attCmissRight,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attGoalHighRight,attMissHighRight,attOboxGoal,attSvHighLeft,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attRfGoal,totalPullBack,attCmissHigh,totalOffside,attCmissHighLeft,goalsOpenplay,attFastbreak,overrun,goalsConceded,forwardGoals,errorLeadToGoal,attSvLowLeft,goalsConcededIbox,accuratePullBack,contentiousDecision,defenderGoals,attCmissLeft,attOboxPost,attPostRight,goalFastbreak,attOneOnOne,attGoalHighLeft,attGoalHighCentre,attHdPost,accurateThroughBall,penaltyWon,attPenGoal,secondYellow,attOboxOwnGoal,ownGoals,attIboxOwnGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attemptsIbox,saves,ptsGainedLosingPos,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attObpGoal,attFreekickPost,attFreekickGoal,attObxdLeft,foulThrowIn,attObxLeft,attCmissHighRight,attObxdRight,attLgCentre
1,442000,2012-08-20 20:00:00,"Goodison Park, Liverpool",38415,Home,Everton,Manchester United,1,0,W,0,0,0,0,2.0,1.0,61.0,1.0,2.0,1.0,1.0,1.0,16.0,42.0,5.0,6.0,2.0,120.0,6.0,7.0,1.0,5.0,13.0,7.0,64.0,139.0,65.0,2.0,18.0,1.0,18.0,4.0,2.0,2.0,1.0,18.0,2.0,16.0,2.0,23.0,6.0,11.0,24.0,144.0,2.0,1.0,0.0,117.0,13.0,1.0,1.0,1.0,3.0,2.0,44.0,42.0,6.0,42.0,4.0,1.0,12.0,2.0,3.0,2.0,120.0,1.0,8.0,1.0,49.0,485.0,8.0,14.0,2.0,2.0,14.0,22.0,4.0,8.0,22.0,1.0,1.0,5.0,7.0,18.0,67.0,1.0,9007,8.0,58.0,6.0,1.0,1.0,74.0,13.0,53.0,1.0,1.0,8.0,6.0,9.0,1.0,47.0,196.0,11.0,7.0,4.0,36.0,67.0,1.0,1.0,0.0,1.0,8.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,6.0,30.8,16.0,3.0,7.0,1.0,1.0,1.0,2.0,1.0,34.0,6.0,2.0,275.0,8.0,1.0,12.0,11.0,9.0,18.0,3.0,5.0,219.0,5.0,9.0,28.0,72.0,24.0,4.0,15.0,19.0,1.0,9.0,3.0,10.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442009,2012-08-25 15:00:00,"Villa Park, Birmingham",36565,Away,Everton,Aston Villa,3,1,W,3,0,0,1,1.0,,73.0,,1.0,4.0,,,45.0,31.0,8.0,2.0,1.0,174.0,8.0,4.0,3.0,5.0,17.0,6.0,127.0,156.0,49.0,1.0,21.0,2.0,18.0,2.0,,1.0,2.0,22.0,,10.0,1.0,14.0,7.0,23.0,30.0,259.0,,,0.0,188.0,12.0,,2.0,2.0,,1.0,101.0,54.0,11.0,74.0,1.0,2.0,15.0,1.0,3.0,4.0,139.0,1.0,6.0,,132.0,699.0,12.0,9.0,1.0,,13.0,26.0,1.0,7.0,17.0,3.0,0.0,3.0,6.0,22.0,77.0,,88894,7.0,174.0,12.0,,1.0,188.0,7.0,54.0,,6.0,8.0,3.0,2.0,3.0,69.0,425.0,12.0,9.0,2.0,27.0,89.0,,,0.0,,1.0,1.0,2.0,,4.0,0.0,5.0,2.0,1.0,5.0,60.8,15.0,3.0,3.0,2.0,,6.0,6.0,1.0,53.0,9.0,1.0,507.0,9.0,1.0,12.0,16.0,9.0,22.0,3.0,5.0,341.0,14.0,23.0,19.0,143.0,35.0,3.0,8.0,14.0,1.0,15.0,3.0,10.0,3.0,9.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442026,2012-09-01 15:00:00,"The Hawthorns, West Bromwich",25383,Away,Everton,West Bromwich Albion,0,2,L,0,0,0,0,1.0,,56.0,,2.0,4.0,,,38.0,41.0,1.0,5.0,,151.0,6.0,2.0,,3.0,11.0,2.0,108.0,136.0,50.0,1.0,13.0,1.0,12.0,2.0,,,2.0,25.0,,14.0,,19.0,3.0,27.0,36.0,229.0,,,0.0,149.0,16.0,2.0,1.0,,3.0,1.0,82.0,52.0,6.0,72.0,1.0,,22.0,1.0,10.0,,114.0,,6.0,,120.0,639.0,8.0,7.0,1.0,,9.0,24.0,3.0,7.0,26.0,,4.0,2.0,5.0,14.0,84.0,1.0,9007,8.0,163.0,9.0,,,173.0,8.0,42.0,,11.0,11.0,6.0,4.0,1.0,57.0,386.0,12.0,4.0,3.0,19.0,71.0,,,0.0,,6.0,1.0,,,3.0,0.0,3.0,,,5.0,55.7,12.0,4.0,2.0,3.0,,11.0,5.0,,46.0,3.0,2.0,451.0,7.0,1.0,5.0,16.0,6.0,26.0,3.0,6.0,303.0,3.0,23.0,15.0,105.0,18.0,,15.0,21.0,,9.0,3.0,7.0,,3.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,1.0,2.0,2.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442031,2012-09-17 20:00:00,"Goodison Park, Liverpool",32510,Home,Everton,Newcastle United,2,2,D,1,0,0,0,2.0,,52.0,,,3.0,,,32.0,40.0,6.0,6.0,1.0,152.0,1.0,8.0,2.0,2.0,14.0,6.0,99.0,171.0,60.0,,18.0,3.0,13.0,4.0,1.0,2.0,2.0,21.0,,15.0,,23.0,2.0,23.0,24.0,219.0,,,0.0,163.0,18.0,1.0,,,2.0,1.0,99.0,47.0,10.0,55.0,,2.0,19.0,,7.0,2.0,154.0,1.0,8.0,,100.0,631.0,11.0,11.0,1.0,2.0,8.0,17.0,,13.0,25.0,2.0,3.0,3.0,4.0,34.0,87.0,,9007,6.0,107.0,10.0,,1.0,119.0,7.0,62.0,,7.0,19.0,3.0,4.0,,57.0,325.0,13.0,10.0,1.0,28.0,76.0,1.0,1.0,0.0,,3.0,1.0,2.0,,4.0,0.0,1.0,1.0,1.0,1.0,58.3,30.0,,2.0,3.0,,7.0,6.0,,41.0,3.0,1.0,406.0,5.0,,16.0,10.0,6.0,26.0,,3.0,308.0,11.0,21.0,22.0,109.0,22.0,2.0,14.0,17.0,,16.0,2.0,14.0,2.0,3.0,1.0,1.0,,2.0,2.0,1.0,,2.0,,2.0,,1.0,,,,1.0,1.0,,1.0,,3.0,,2.0,,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442044,2012-09-22 12:45:00,"Swansea.com Stadium, Swansea",20464,Away,Everton,Swansea City,3,0,W,2,0,0,1,1.0,2.0,55.0,1.0,1.0,4.0,2.0,1.0,34.0,31.0,7.0,4.0,4.0,137.0,10.0,4.0,3.0,8.0,22.0,11.0,105.0,122.0,50.0,3.0,31.0,5.0,8.0,8.0,1.0,1.0,4.0,27.0,1.0,8.0,,19.0,2.0,24.0,23.0,245.0,,1.0,0.0,186.0,9.0,4.0,4.0,1.0,6.0,1.0,105.0,43.0,14.0,66.0,,3.0,25.0,3.0,5.0,2.0,110.0,4.0,11.0,,106.0,611.0,18.0,7.0,3.0,2.0,14.0,23.0,,10.0,11.0,2.0,1.0,6.0,8.0,16.0,58.0,3.0,8378,14.0,116.0,14.0,1.0,4.0,125.0,8.0,31.0,3.0,7.0,5.0,7.0,6.0,1.0,47.0,351.0,22.0,,2.0,23.0,61.0,2.0,,0.0,,8.0,3.0,3.0,1.0,,0.0,8.0,2.0,1.0,5.0,51.5,14.0,,4.0,6.0,,7.0,9.0,,39.0,3.0,1.0,414.0,9.0,1.0,12.0,14.0,11.0,34.0,2.0,8.0,316.0,21.0,22.0,13.0,150.0,21.0,2.0,7.0,11.0,2.0,21.0,3.0,8.0,2.0,3.0,,2.0,,1.0,1.0,1.0,4.0,,,,,2.0,,1.0,,,3.0,,1.0,1.0,3.0,,1.0,4.0,2.0,,2.0,,4.0,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442051,2012-09-29 15:00:00,"Goodison Park, Liverpool",37922,Home,Everton,Southampton,3,1,W,3,1,0,0,,2.0,65.0,1.0,2.0,3.0,1.0,,42.0,25.0,7.0,2.0,2.0,152.0,14.0,7.0,3.0,1.0,19.0,8.0,122.0,152.0,36.0,,22.0,3.0,14.0,3.0,1.0,3.0,2.0,28.0,1.0,13.0,2.0,15.0,8.0,24.0,31.0,244.0,1.0,,0.0,174.0,4.0,1.0,,1.0,1.0,,83.0,60.0,13.0,92.0,,1.0,20.0,,8.0,2.0,142.0,3.0,6.0,,116.0,723.0,11.0,7.0,3.0,1.0,24.0,24.0,,9.0,15.0,3.0,0.0,,6.0,19.0,66.0,,8378,9.0,189.0,11.0,1.0,,195.0,16.0,48.0,1.0,4.0,12.0,4.0,4.0,2.0,66.0,419.0,6.0,5.0,5.0,26.0,96.0,1.0,1.0,0.0,,3.0,2.0,3.0,1.0,1.0,0.0,9.0,2.0,,7.0,52.4,15.0,2.0,3.0,1.0,,4.0,6.0,,58.0,10.0,,482.0,19.0,,11.0,19.0,8.0,24.0,5.0,5.0,315.0,13.0,24.0,7.0,133.0,29.0,3.0,9.0,16.0,1.0,16.0,3.0,22.0,3.0,10.0,,1.0,,1.0,,1.0,,3.0,,2.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,6.0,,2.0,,5.0,1.0,2.0,1.0,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,442068,2012-10-06 15:00:00,"DW Stadium, Wigan",18759,Away,Everton,Wigan Athletic,2,2,D,1,2,0,0,1.0,2.0,39.0,1.0,1.0,1.0,,,31.0,20.0,9.0,3.0,4.0,142.0,2.0,3.0,2.0,5.0,14.0,7.0,101.0,168.0,36.0,1.0,17.0,5.0,11.0,1.0,1.0,1.0,,21.0,1.0,6.0,4.0,7.0,5.0,12.0,18.0,218.0,,,0.0,180.0,16.0,1.0,,,1.0,1.0,99.0,35.0,10.0,47.0,2.0,1.0,16.0,1.0,10.0,,155.0,3.0,8.0,1.0,111.0,583.0,13.0,12.0,,1.0,15.0,12.0,,13.0,17.0,1.0,5.0,3.0,4.0,38.0,66.0,,8378,6.0,91.0,5.0,,1.0,114.0,6.0,44.0,1.0,3.0,11.0,3.0,2.0,2.0,53.0,307.0,15.0,3.0,,39.0,66.0,3.0,,0.0,,7.0,,2.0,,1.0,0.0,2.0,1.0,1.0,1.0,53.9,30.0,,1.0,,1.0,3.0,6.0,,36.0,6.0,1.0,401.0,11.0,,12.0,10.0,4.0,31.0,,3.0,308.0,13.0,10.0,10.0,134.0,20.0,2.0,7.0,8.0,1.0,13.0,3.0,7.0,2.0,6.0,,2.0,,1.0,,,,,,1.0,1.0,,,,,,2.0,,,1.0,1.0,,1.0,,2.0,2.0,1.0,,,2.0,,3.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,442073,2012-10-21 16:00:00,"MATRADE Loftus Road, London",17959,Away,Everton,Queens Park Rangers,1,1,D,1,1,1,0,1.0,,49.0,,2.0,3.0,,,21.0,31.0,6.0,2.0,1.0,137.0,5.0,3.0,1.0,5.0,13.0,3.0,70.0,160.0,56.0,2.0,16.0,3.0,20.0,2.0,2.0,1.0,1.0,14.0,2.0,15.0,1.0,12.0,4.0,9.0,21.0,142.0,,,0.0,121.0,18.0,3.0,1.0,,2.0,,71.0,39.0,7.0,41.0,,1.0,10.0,2.0,2.0,2.0,141.0,2.0,9.0,1.0,81.0,522.0,10.0,11.0,1.0,2.0,9.0,16.0,,6.0,17.0,,0.0,2.0,6.0,20.0,60.0,2.0,8402,3.0,97.0,6.0,1.0,2.0,117.0,10.0,63.0,,3.0,12.0,7.0,7.0,2.0,46.0,234.0,12.0,10.0,3.0,30.0,83.0,1.0,2.0,0.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0,3.0,,1.0,4.0,43.0,17.0,1.0,5.0,1.0,,3.0,6.0,,44.0,4.0,,329.0,7.0,1.0,8.0,7.0,7.0,18.0,2.0,3.0,226.0,10.0,9.0,22.0,74.0,24.0,6.0,7.0,19.0,,8.0,2.0,10.0,6.0,4.0,1.0,,,,,,,3.0,,,,1.0,,,,,3.0,,,,3.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,442082,2012-10-28 13:30:00,"Goodison Park, Liverpool",39613,Home,Everton,Liverpool,2,2,D,2,2,0,0,1.0,1.0,55.0,,2.0,2.0,,,32.0,15.0,5.0,3.0,1.0,154.0,11.0,8.0,2.0,4.0,14.0,4.0,97.0,169.0,63.0,1.0,16.0,1.0,19.0,2.0,,,2.0,34.0,,11.0,,5.0,8.0,16.0,31.0,208.0,1.0,,0.0,156.0,17.0,1.0,,1.0,3.0,,72.0,59.0,6.0,43.0,3.0,4.0,26.0,1.0,12.0,3.0,159.0,2.0,8.0,,105.0,625.0,9.0,11.0,,,20.0,20.0,1.0,6.0,11.0,1.0,4.0,2.0,8.0,33.0,77.0,2.0,9007,5.0,116.0,11.0,,1.0,129.0,11.0,68.0,1.0,3.0,12.0,6.0,6.0,2.0,55.0,313.0,18.0,10.0,4.0,24.0,87.0,,,0.0,,5.0,,1.0,,5.0,0.0,8.0,1.0,,5.0,56.2,28.0,5.0,5.0,3.0,,3.0,3.0,,49.0,9.0,,399.0,17.0,1.0,12.0,17.0,9.0,30.0,3.0,6.0,304.0,8.0,16.0,17.0,101.0,24.0,4.0,3.0,20.0,,9.0,2.0,19.0,4.0,9.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,,1.0,3.0,,1.0,,2.0,2.0,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10,442089,2012-11-03 15:00:00,"Craven Cottage, London",25699,Away,Everton,Fulham,2,2,D,0,1,0,0,2.0,1.0,68.0,,1.0,6.0,,,34.0,15.0,8.0,7.0,4.0,170.0,12.0,8.0,2.0,4.0,19.0,9.0,124.0,152.0,55.0,,27.0,3.0,11.0,6.0,,,3.0,40.0,,16.0,1.0,9.0,8.0,14.0,28.0,255.0,,,0.0,190.0,10.0,,,2.0,4.0,,93.0,68.0,12.0,64.0,2.0,2.0,32.0,,7.0,4.0,146.0,1.0,3.0,,134.0,723.0,16.0,4.0,1.0,1.0,19.0,26.0,1.0,9.0,11.0,1.0,1.0,3.0,7.0,29.0,78.0,2.0,8402,13.0,167.0,21.0,1.0,3.0,180.0,5.0,51.0,6.0,7.0,8.0,6.0,5.0,1.0,53.0,410.0,16.0,4.0,2.0,26.0,80.0,3.0,,0.0,,5.0,1.0,2.0,,1.0,0.0,10.0,1.0,,3.0,59.1,28.0,2.0,5.0,3.0,1.0,7.0,9.0,,55.0,9.0,,492.0,15.0,,19.0,18.0,9.0,31.0,2.0,5.0,352.0,15.0,14.0,10.0,138.0,27.0,,7.0,21.0,,21.0,2.0,15.0,,9.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,2.0,3.0,,1.0,,2.0,,,2.0,,,3.0,1.0,2.0,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
