gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowRight,savedObox,attCmissRight,attBxRight,attMissHighRight,cleanSheet,penaltyWon,goodHighClaim,interceptionsInBox,attOboxMiss,attMissHigh,attPenGoal,attAssistSetplay,attCorner,overrun,attCmissHighRight,goalAssistIntentional,foulThrowIn,attHdMiss,attSvHighCentre,totalHighClaim,accurateCornersIntobox,attGoalLowCentre,attMissLeft,attSvLowLeft,freekickCross,attLgCentre,attHdTarget,accurateFreekickCross,attSetpiece,attCmissHigh,attSvLowRight,attCmissLeft,shieldBallOop,attFreekickMiss,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,attGoalHighLeft,attLfGoal,postScoringAtt,contentiousDecision,hitWoodwork,attMissHighLeft,sixYardBlock,penaltyConceded,punches,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,goalAssistSetplay,goalAssistDeadball,attObxLeft,shotFastbreak,attGoalHighRight,totalFastbreak,defenderGoals,attFastbreak,attIboxPost,attHdPost,ptsDroppedWinningPos,errorLeadToGoal,attSvHighRight,secondYellow,attPostRight,attGoalHighCentre,ptsGainedLosingPos,attPostLeft,attFreekickPost,attObxdLeft,ownGoals,attFreekickGoal,attIboxOwnGoal,attPenTarget,penaltySave,goalFastbreak,attObxdRight,clearanceOffLine
1,855172,2016-08-14 13:30:00,"Vitality Stadium, Bournemouth",11355,Away,Manchester United,Bournemouth,3,1,W,1,0,0,0,1.0,2.0,62.0,3.0,1.0,35.0,30.0,3.0,2.0,8.0,2.0,3.0,150.0,2.0,8.0,3.0,1.0,8.0,1.0,7.0,158.0,114.0,50.0,1.0,11.0,1.0,8.0,3.0,2.0,3.0,7.0,18.0,1.0,27.0,2.0,27.0,29.0,2.0,206.0,1.0,0.0,116.0,10.0,2.0,1.0,2.0,70.0,66.0,6.0,102.0,2.0,5.0,19.0,3.0,1.0,2.0,114.0,2.0,6.0,151.0,743.0,6.0,9.0,17.0,13.0,474.0,37.0,13.0,12.0,2.0,1.0,4.0,2.0,17.0,543.0,42.0,1.0,1.0,9808,3.0,284.0,2.0,3.0,304.0,6.0,2.0,1.0,19.0,7.0,44.0,1.0,4.0,1.0,3.0,13.0,3.0,5.0,70.0,488.0,7.0,13.0,34.0,81.0,0.0,1.0,4.0,2.0,2.0,1.0,7.0,0.0,2.0,1.0,52.6,13.0,2.0,3.0,1.0,2.0,49.0,2.0,561.0,13.0,8.0,13.0,2.0,13.0,2.0,264.0,8.0,24.0,8.0,92.0,21.0,1.0,7.0,11.0,27.0,1.0,1.0,10.0,3.0,15.0,7.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855184,2016-08-19 20:00:00,"Old Trafford, Manchester",75326,Home,Manchester United,Southampton,2,0,W,1,0,0,0,,1.0,58.0,1.0,1.0,28.0,20.0,5.0,1.0,7.0,1.0,3.0,131.0,4.0,16.0,2.0,1.0,9.0,,5.0,103.0,128.0,48.0,,12.0,,6.0,1.0,1.0,2.0,18.0,8.0,2.0,15.0,4.0,25.0,22.0,,179.0,,0.0,111.0,11.0,,,,72.0,48.0,5.0,70.0,3.0,14.0,20.0,5.0,,3.0,128.0,,7.0,104.0,609.0,7.0,6.0,24.0,14.0,327.0,25.0,2.0,10.0,1.0,0.0,3.0,4.0,29.0,388.0,35.0,,,9808,5.0,165.0,,11.0,181.0,5.0,1.0,1.0,20.0,10.0,44.0,1.0,2.0,3.0,1.0,11.0,6.0,6.0,48.0,340.0,8.0,3.0,12.0,51.0,0.0,,,,2.0,,,0.0,3.0,2.0,43.4,23.0,4.0,1.0,3.0,1.0,29.0,4.0,408.0,14.0,12.0,12.0,6.0,30.0,3.0,245.0,9.0,21.0,13.0,81.0,26.0,2.0,5.0,9.0,11.0,1.0,,10.0,3.0,29.0,5.0,12.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855195,2016-08-27 17:30:00,"The MKM Stadium, Hull",24560,Away,Manchester United,Hull City,1,0,W,0,0,0,0,2.0,1.0,74.0,,4.0,35.0,7.0,14.0,5.0,14.0,2.0,4.0,187.0,9.0,14.0,1.0,4.0,19.0,,9.0,185.0,143.0,51.0,3.0,29.0,4.0,9.0,4.0,1.0,4.0,41.0,10.0,4.0,7.0,6.0,21.0,26.0,,402.0,,0.0,286.0,6.0,1.0,,,121.0,97.0,10.0,59.0,4.0,35.0,16.0,15.0,3.0,13.0,143.0,1.0,2.0,184.0,824.0,17.0,,49.0,12.0,531.0,32.0,2.0,5.0,1.0,3.0,2.0,9.0,16.0,604.0,90.0,1.0,,9808,8.0,149.0,1.0,21.0,158.0,3.0,1.0,,16.0,5.0,39.0,1.0,1.0,3.0,1.0,14.0,6.0,5.0,48.0,542.0,9.0,5.0,7.0,59.0,0.0,1.0,1.0,2.0,1.0,,,0.0,9.0,5.0,62.1,15.0,4.0,4.0,3.0,8.0,46.0,6.0,615.0,12.0,12.0,18.0,12.0,58.0,5.0,498.0,19.0,20.0,15.0,234.0,34.0,,2.0,5.0,14.0,,,22.0,3.0,22.0,2.0,8.0,7.0,1.0,,,2.0,,,1.0,,,1.0,7.0,3.0,,1.0,3.0,2.0,,1.0,,3.0,,,,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855206,2016-09-10 12:30:00,"Old Trafford, Manchester",75272,Home,Manchester United,Manchester City,1,2,L,1,2,0,0,1.0,,79.0,,1.0,31.0,23.0,9.0,3.0,5.0,4.0,,156.0,6.0,15.0,1.0,,11.0,,3.0,79.0,160.0,71.0,,14.0,4.0,14.0,2.0,,,25.0,16.0,,21.0,4.0,16.0,36.0,,168.0,,0.0,125.0,15.0,3.0,1.0,,36.0,54.0,5.0,48.0,1.0,21.0,24.0,9.0,,12.0,160.0,2.0,11.0,93.0,610.0,11.0,13.0,26.0,23.0,265.0,35.0,7.0,7.0,,4.0,4.0,6.0,16.0,349.0,58.0,,,9808,2.0,122.0,2.0,7.0,147.0,11.0,1.0,,24.0,8.0,61.0,,3.0,4.0,,18.0,7.0,5.0,63.0,284.0,10.0,11.0,25.0,63.0,0.0,,4.0,4.0,1.0,2.0,7.0,0.0,6.0,1.0,39.9,13.0,3.0,2.0,4.0,5.0,34.0,4.0,376.0,23.0,15.0,19.0,6.0,34.0,1.0,254.0,10.0,14.0,22.0,82.0,31.0,1.0,1.0,7.0,24.0,,1.0,13.0,3.0,23.0,1.0,15.0,4.0,1.0,,,,,,,,1.0,5.0,5.0,4.0,,,,2.0,,,,,,1.0,,,1.0,1.0,2.0,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855220,2016-09-18 12:00:00,"Vicarage Road, Watford",21118,Away,Manchester United,Watford,1,3,L,0,1,0,0,,1.0,62.0,,3.0,21.0,39.0,7.0,6.0,8.0,2.0,,150.0,6.0,8.0,1.0,5.0,7.0,,2.0,110.0,129.0,58.0,1.0,15.0,1.0,16.0,1.0,,1.0,32.0,13.0,,35.0,6.0,8.0,24.0,,204.0,,0.0,123.0,19.0,2.0,,1.0,77.0,51.0,2.0,64.0,1.0,26.0,16.0,7.0,1.0,6.0,129.0,,6.0,93.0,630.0,5.0,5.0,25.0,17.0,337.0,24.0,3.0,21.0,,4.0,2.0,5.0,17.0,399.0,60.0,1.0,1.0,9808,4.0,149.0,1.0,15.0,161.0,7.0,,,16.0,6.0,56.0,2.0,2.0,3.0,1.0,10.0,4.0,1.0,48.0,347.0,14.0,5.0,19.0,65.0,0.0,,5.0,1.0,1.0,3.0,1.0,0.0,4.0,3.0,60.1,15.0,3.0,1.0,3.0,4.0,44.0,7.0,417.0,17.0,14.0,16.0,9.0,35.0,3.0,288.0,6.0,7.0,21.0,87.0,32.0,,1.0,20.0,15.0,,3.0,11.0,3.0,13.0,1.0,11.0,7.0,2.0,,1.0,,1.0,3.0,,,,1.0,5.0,,,2.0,2.0,,,,,2.0,,1.0,2.0,1.0,3.0,,5.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,855226,2016-09-24 12:30:00,"Old Trafford, Manchester",75256,Home,Manchester United,Leicester City,4,1,W,4,0,0,0,,1.0,65.0,1.0,1.0,40.0,31.0,3.0,3.0,12.0,2.0,3.0,204.0,3.0,4.0,4.0,2.0,12.0,1.0,7.0,185.0,141.0,45.0,,16.0,,13.0,1.0,1.0,1.0,18.0,9.0,2.0,27.0,7.0,37.0,39.0,,328.0,,0.0,171.0,9.0,1.0,1.0,3.0,125.0,108.0,8.0,113.0,1.0,11.0,11.0,4.0,,3.0,141.0,3.0,2.0,210.0,912.0,8.0,11.0,25.0,20.0,602.0,25.0,11.0,15.0,4.0,0.0,6.0,4.0,27.0,688.0,69.0,2.0,,9808,7.0,294.0,2.0,8.0,313.0,6.0,1.0,1.0,11.0,3.0,39.0,3.0,4.0,4.0,1.0,9.0,8.0,1.0,69.0,619.0,11.0,3.0,26.0,98.0,0.0,,6.0,1.0,4.0,1.0,1.0,0.0,1.0,3.0,67.3,24.0,3.0,3.0,4.0,1.0,62.0,8.0,712.0,20.0,8.0,22.0,8.0,30.0,6.0,417.0,10.0,37.0,15.0,128.0,27.0,,1.0,14.0,15.0,2.0,,11.0,3.0,10.0,1.0,4.0,8.0,,2.0,1.0,1.0,1.0,2.0,,,1.0,1.0,2.0,5.0,,,5.0,3.0,,4.0,,1.0,,1.0,2.0,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
7,855236,2016-10-02 12:00:00,"Old Trafford, Manchester",75251,Home,Manchester United,Stoke City,1,1,D,0,0,0,0,3.0,,50.0,,5.0,27.0,35.0,8.0,7.0,16.0,5.0,5.0,164.0,6.0,10.0,1.0,1.0,18.0,1.0,9.0,151.0,126.0,54.0,,24.0,3.0,10.0,6.0,,2.0,38.0,19.0,2.0,30.0,10.0,21.0,26.0,1.0,299.0,,0.0,200.0,14.0,1.0,1.0,,84.0,107.0,13.0,77.0,1.0,28.0,9.0,8.0,,11.0,126.0,5.0,4.0,142.0,772.0,16.0,7.0,39.0,20.0,454.0,19.0,6.0,19.0,,3.0,,5.0,28.0,513.0,62.0,2.0,,9808,8.0,175.0,5.0,16.0,183.0,9.0,1.0,2.0,9.0,3.0,40.0,4.0,1.0,5.0,1.0,10.0,3.0,2.0,47.0,468.0,9.0,5.0,12.0,70.0,0.0,,2.0,2.0,1.0,1.0,3.0,0.0,4.0,3.0,67.2,27.0,4.0,3.0,5.0,8.0,51.0,13.0,534.0,20.0,8.0,14.0,7.0,52.0,3.0,389.0,14.0,20.0,13.0,153.0,18.0,,,18.0,22.0,,1.0,18.0,3.0,16.0,,8.0,13.0,,,3.0,1.0,2.0,,,,,1.0,3.0,1.0,,2.0,6.0,2.0,,,,1.0,1.0,,2.0,,4.0,2.0,1.0,,,,,,2.0,3.0,,,,,,,,1.0,,2.0,,2.0,,,,1.0,,,,,,,1.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
8,855246,2016-10-17 20:00:00,"Anfield, Liverpool",52769,Away,Manchester United,Liverpool,0,0,D,0,0,0,0,1.0,,62.0,,,32.0,37.0,5.0,1.0,2.0,3.0,,142.0,2.0,17.0,,2.0,5.0,,1.0,85.0,150.0,88.0,1.0,7.0,1.0,8.0,,,,12.0,20.0,1.0,34.0,1.0,18.0,23.0,,181.0,,0.0,107.0,20.0,2.0,1.0,,77.0,69.0,2.0,42.0,3.0,11.0,23.0,5.0,1.0,4.0,150.0,1.0,4.0,73.0,593.0,4.0,20.0,6.0,27.0,238.0,25.0,13.0,18.0,,4.0,3.0,3.0,27.0,315.0,69.0,,,9808,1.0,80.0,1.0,7.0,97.0,14.0,,,23.0,7.0,60.0,1.0,5.0,,,19.0,5.0,7.0,58.0,259.0,14.0,10.0,29.0,72.0,0.0,,3.0,2.0,,,12.0,0.0,1.0,2.0,35.4,19.0,6.0,,,1.0,44.0,1.0,342.0,27.0,11.0,7.0,5.0,16.0,2.0,257.0,4.0,17.0,29.0,66.0,26.0,,2.0,17.0,28.0,,,5.0,2.0,28.0,2.0,12.0,1.0,,,1.0,1.0,,,1.0,,1.0,5.0,3.0,2.0,,1.0,1.0,3.0,,,,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,855255,2016-10-23 16:00:00,"Stamford Bridge, London",41424,Away,Manchester United,Chelsea,0,4,L,0,2,0,0,2.0,,55.0,,3.0,24.0,24.0,7.0,4.0,9.0,2.0,3.0,143.0,8.0,7.0,,2.0,14.0,1.0,5.0,159.0,127.0,44.0,,16.0,2.0,8.0,2.0,,1.0,31.0,15.0,3.0,21.0,6.0,32.0,23.0,,367.0,,0.0,220.0,17.0,2.0,,,82.0,125.0,9.0,83.0,1.0,25.0,21.0,7.0,,12.0,127.0,,11.0,171.0,774.0,13.0,6.0,22.0,19.0,467.0,17.0,2.0,13.0,,2.0,5.0,5.0,32.0,535.0,60.0,1.0,,9808,7.0,126.0,,12.0,138.0,11.0,,1.0,21.0,7.0,54.0,2.0,3.0,5.0,,8.0,3.0,5.0,41.0,485.0,6.0,12.0,11.0,44.0,0.0,,5.0,1.0,,4.0,2.0,0.0,7.0,2.0,56.1,29.0,5.0,,5.0,5.0,31.0,7.0,556.0,19.0,10.0,12.0,6.0,44.0,4.0,449.0,10.0,31.0,10.0,184.0,28.0,,1.0,11.0,21.0,,4.0,14.0,3.0,15.0,1.0,13.0,7.0,,,1.0,,,,,,,3.0,2.0,4.0,,1.0,,1.0,,,,2.0,,,1.0,,,,1.0,,,1.0,2.0,2.0,3.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
10,855264,2016-10-29 15:00:00,"Old Trafford, Manchester",75325,Home,Manchester United,Burnley,0,0,D,0,0,1,0,5.0,,48.0,,10.0,35.0,25.0,17.0,14.0,21.0,1.0,4.0,207.0,9.0,13.0,,3.0,30.0,1.0,11.0,177.0,134.0,52.0,,38.0,9.0,22.0,8.0,,4.0,38.0,4.0,3.0,25.0,14.0,31.0,33.0,1.0,377.0,,0.0,240.0,12.0,,1.0,,92.0,75.0,24.0,95.0,,24.0,11.0,17.0,,12.0,134.0,2.0,4.0,167.0,858.0,28.0,11.0,51.0,11.0,548.0,20.0,3.0,18.0,,1.0,1.0,6.0,26.0,619.0,73.0,3.0,,9808,10.0,205.0,2.0,10.0,214.0,3.0,,1.0,11.0,11.0,50.0,5.0,,3.0,,11.0,3.0,10.0,61.0,573.0,7.0,1.0,18.0,79.0,0.0,,1.0,1.0,,,6.0,1.0,8.0,3.0,71.9,24.0,1.0,4.0,3.0,19.0,55.0,19.0,646.0,11.0,9.0,20.0,8.0,66.0,2.0,470.0,21.0,30.0,25.0,199.0,23.0,,,18.0,7.0,,,29.0,3.0,21.0,,3.0,19.0,,,,,3.0,1.0,1.0,,1.0,1.0,5.0,4.0,,2.0,7.0,2.0,,,,,2.0,1.0,1.0,,1.0,2.0,2.0,,2.0,2.0,2.0,,2.0,1.0,,,,,,,,1.0,,2.0,1.0,4.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
