gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,accuratePullBack,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,attHdPost,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,subsMade,totalContest,blockedCross,wonCorners,attemptsIbox,saves,fouledFinalThird,attCmissRight,attPenTarget,attBxRight,accurateKeeperSweeper,penaltyWon,freekickCross,interceptionsInBox,attemptsObox,touchesInOppBox,successfulOpenPlayPass,totalKeeperSweeper,openPlayPass,accurateFreekickCross,attBxCentre,attCmissHigh,attCorner,goalsConceded,attCmissHighRight,shieldBallOop,attBxLeft,goalsConcededIbox,attOpenplay,handBall,attGoalLowLeft,attGoalLowRight,attLfGoal,goalAssistOpenplay,attOboxGoal,midfielderGoals,goalAssist,attFreekickGoal,goalAssistIntentional,attSvHighCentre,attFreekickMiss,attHdGoal,goalsConcededObox,attLgCentre,attSetpiece,attPenGoal,attCmissLeft,foulThrowIn,goalFastbreak,attGoalHighRight,secondYellow,attObxRight,goalAssistSetplay,goalAssistDeadball,attMissHighLeft,sixYardBlock,errorLeadToGoal,defenderGoals,goalsOpenplay,totalFastbreak,errorLeadToShot,attFreekickTarget,attPostHigh,attGoalHighLeft,attOboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighCentre,attObxdLeft,attObxLeft,attObpGoal,attObxdRight
1,284005,2009-08-16 13:30:00,"Old Trafford, Manchester",75062,Home,Manchester United,Birmingham City,1,0,W,1,0,0,0,2.0,72.0,1.0,2.0,45.0,23.0,18.0,6.0,6.0,1.0,11.0,12.0,1.0,26.0,1.0,11.0,135.0,54.0,1.0,30.0,8.0,12.0,4.0,1.0,1.0,3.0,1.0,34.0,1.0,20.0,6.0,14.0,6.0,26.0,35.0,309.0,2.0,1.0,1.0,0.0,207.0,13.0,2.0,2.0,3.0,4.0,71.0,61.0,18.0,3.0,28.0,1.0,8.0,4.0,126.0,2.0,1.0,868.0,25.0,8.0,2.0,1.0,13.0,29.0,3.0,15.0,1.0,2.0,8.0,16.0,74.0,1.0,9089,217.0,20.0,227.0,1.0,1.0,5.0,58.0,5.0,2.0,13.0,5.0,4.0,2.0,58.0,515.0,8.0,7.0,1.0,8.0,74.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,4.0,0.0,9.0,4.0,63.0,14.0,1.0,4.0,13.0,10.0,1.0,58.0,12.0,4.0,587.0,12.0,19.0,18.0,9.0,1.0,23.0,2.0,4.0,394.0,20.0,21.0,9.0,158.0,25.0,1.0,1.0,9.0,25.0,3.0,19.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,284012,2009-08-19 19:45:00,"Turf Moor, Burnley",20872,Away,Manchester United,Burnley,0,1,L,0,1,0,0,,60.0,1.0,3.0,41.0,14.0,8.0,2.0,2.0,,11.0,9.0,,18.0,1.0,3.0,171.0,40.0,,19.0,3.0,11.0,2.0,,,,2.0,39.0,,13.0,1.0,4.0,9.0,26.0,31.0,284.0,1.0,,,0.0,204.0,12.0,1.0,,1.0,1.0,70.0,72.0,8.0,5.0,30.0,,10.0,4.0,161.0,5.0,,777.0,16.0,10.0,1.0,,11.0,20.0,4.0,6.0,1.0,,10.0,40.0,102.0,2.0,9089,181.0,17.0,203.0,,2.0,10.0,36.0,8.0,3.0,12.0,4.0,5.0,2.0,72.0,454.0,8.0,2.0,2.0,15.0,98.0,,2.0,,0.0,1.0,1.0,,5.0,0.0,7.0,5.0,66.7,36.0,4.0,2.0,12.0,6.0,,60.0,13.0,1.0,569.0,11.0,8.0,12.0,10.0,,52.0,4.0,6.0,405.0,12.0,25.0,8.0,142.0,26.0,,2.0,2.0,15.0,3.0,12.0,2.0,13.0,11.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,8.0,36.0,442.0,2.0,551.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,284029,2009-08-22 15:00:00,"The Brick Community Stadium, Wigan",18164,Away,Manchester United,Wigan Athletic,5,0,W,0,0,0,0,2.0,66.0,3.0,3.0,23.0,28.0,7.0,5.0,3.0,,4.0,7.0,5.0,15.0,1.0,11.0,133.0,60.0,2.0,20.0,3.0,9.0,4.0,,,3.0,1.0,21.0,,23.0,2.0,16.0,4.0,13.0,22.0,194.0,,,1.0,0.0,141.0,9.0,2.0,,,1.0,44.0,49.0,14.0,,17.0,2.0,3.0,1.0,121.0,6.0,,671.0,11.0,6.0,1.0,,18.0,26.0,2.0,17.0,2.0,6.0,1.0,17.0,80.0,8.0,9089,139.0,14.0,151.0,3.0,3.0,8.0,52.0,12.0,4.0,7.0,12.0,4.0,2.0,44.0,329.0,11.0,5.0,,16.0,68.0,,2.0,,0.0,3.0,2.0,4.0,3.0,0.0,4.0,2.0,51.8,15.0,,5.0,7.0,6.0,,37.0,5.0,1.0,393.0,17.0,24.0,11.0,3.0,,18.0,,2.0,263.0,13.0,12.0,10.0,109.0,28.0,4.0,1.0,10.0,31.0,3.0,13.0,1.0,5.0,,,,,,,2.0,,,1.0,,,,2.0,,,,,,,,,,,,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,284035,2009-08-29 17:15:00,"Old Trafford, Manchester",75095,Home,Manchester United,Arsenal,2,1,W,0,1,0,0,1.0,82.0,1.0,2.0,32.0,23.0,5.0,5.0,1.0,,5.0,7.0,2.0,9.0,1.0,3.0,186.0,62.0,1.0,14.0,1.0,16.0,1.0,,,,2.0,26.0,,23.0,1.0,7.0,5.0,19.0,22.0,141.0,,,,0.0,124.0,22.0,1.0,,1.0,2.0,70.0,48.0,4.0,3.0,21.0,1.0,6.0,4.0,170.0,6.0,,634.0,8.0,15.0,,,9.0,34.0,10.0,12.0,3.0,3.0,5.0,24.0,75.0,2.0,9089,176.0,13.0,195.0,1.0,1.0,8.0,66.0,8.0,7.0,6.0,6.0,2.0,3.0,57.0,312.0,15.0,9.0,1.0,23.0,95.0,,1.0,,0.0,5.0,1.0,2.0,3.0,0.0,2.0,,51.1,22.0,,9.0,6.0,3.0,,46.0,6.0,3.0,424.0,9.0,13.0,9.0,8.0,,21.0,3.0,4.0,255.0,8.0,17.0,9.0,61.0,29.0,1.0,5.0,4.0,31.0,2.0,13.0,5.0,6.0,,,6.0,,,,,1.0,2.0,,,,,,,,7.0,,,1.0,,,1.0,,9.0,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,284048,2009-09-12 17:30:00,"White Hart Lane, London",35785,Away,Manchester United,Tottenham Hotspur,3,1,W,2,1,1,0,2.0,63.0,5.0,1.0,26.0,27.0,6.0,7.0,5.0,1.0,4.0,10.0,3.0,14.0,,11.0,172.0,59.0,1.0,18.0,1.0,15.0,7.0,4.0,,2.0,3.0,19.0,,16.0,1.0,15.0,5.0,21.0,18.0,211.0,,1.0,,0.0,139.0,13.0,3.0,,3.0,1.0,65.0,54.0,10.0,1.0,14.0,1.0,6.0,3.0,160.0,5.0,,726.0,12.0,6.0,1.0,,12.0,22.0,6.0,18.0,1.0,3.0,4.0,24.0,87.0,,9089,143.0,7.0,168.0,,,7.0,62.0,3.0,9.0,5.0,9.0,2.0,1.0,57.0,350.0,16.0,10.0,1.0,25.0,95.0,4.0,2.0,,0.0,3.0,,1.0,2.0,1.0,2.0,1.0,50.9,23.0,,1.0,5.0,2.0,,51.0,9.0,1.0,455.0,12.0,18.0,10.0,5.0,,20.0,2.0,2.0,306.0,10.0,18.0,12.0,85.0,28.0,1.0,2.0,11.0,21.0,2.0,16.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,284057,2009-09-20 13:30:00,"Old Trafford, Manchester",75066,Home,Manchester United,Manchester City,4,3,W,1,1,0,0,2.0,43.0,,5.0,27.0,11.0,7.0,5.0,,,12.0,8.0,4.0,17.0,1.0,8.0,173.0,56.0,1.0,24.0,1.0,13.0,4.0,,,1.0,2.0,46.0,,13.0,,5.0,10.0,19.0,16.0,231.0,1.0,,,0.0,176.0,15.0,1.0,,1.0,,75.0,65.0,11.0,2.0,37.0,1.0,9.0,6.0,167.0,6.0,,719.0,9.0,11.0,2.0,,12.0,14.0,7.0,7.0,2.0,1.0,6.0,21.0,94.0,1.0,9089,159.0,24.0,170.0,2.0,1.0,7.0,62.0,4.0,,9.0,5.0,4.0,4.0,47.0,378.0,15.0,7.0,4.0,16.0,88.0,,,1.0,0.0,1.0,1.0,4.0,3.0,0.0,9.0,7.0,61.0,20.0,3.0,1.0,9.0,6.0,,54.0,12.0,,480.0,12.0,19.0,5.0,10.0,,24.0,4.0,4.0,356.0,10.0,16.0,18.0,108.0,19.0,2.0,,3.0,15.0,3.0,16.0,,11.0,,,,,,,1.0,,,,,,,1.0,,,,,,3.0,,,,1.0,,,1.0,2.0,,3.0,,2.0,4.0,,4.0,2.0,,2.0,2.0,,2.0,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
7,284066,2009-09-26 15:00:00,"bet365 Stadium, Stoke",27500,Away,Manchester United,Stoke City,2,0,W,0,0,0,0,,56.0,1.0,3.0,33.0,32.0,4.0,4.0,1.0,1.0,4.0,5.0,2.0,11.0,,3.0,184.0,43.0,,14.0,2.0,14.0,,1.0,,,1.0,30.0,,15.0,1.0,16.0,6.0,13.0,48.0,286.0,1.0,,1.0,0.0,200.0,8.0,,,,4.0,88.0,84.0,7.0,1.0,26.0,,5.0,1.0,168.0,2.0,,799.0,9.0,8.0,,,11.0,13.0,6.0,21.0,1.0,,4.0,31.0,102.0,2.0,9089,147.0,19.0,165.0,1.0,2.0,7.0,38.0,6.0,4.0,8.0,1.0,2.0,2.0,67.0,429.0,10.0,3.0,,27.0,100.0,1.0,1.0,,0.0,2.0,,2.0,3.0,0.0,4.0,1.0,68.2,31.0,,2.0,8.0,5.0,,48.0,8.0,4.0,548.0,11.0,10.0,23.0,6.0,,21.0,2.0,5.0,413.0,9.0,13.0,12.0,131.0,28.0,1.0,1.0,10.0,16.0,3.0,9.0,1.0,7.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,2.0,,2.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
8,284077,2009-10-03 17:30:00,"Old Trafford, Manchester",75114,Home,Manchester United,Sunderland,2,2,D,0,1,0,1,1.0,63.0,1.0,1.0,40.0,19.0,12.0,3.0,4.0,,10.0,13.0,2.0,13.0,,6.0,187.0,50.0,1.0,21.0,6.0,17.0,3.0,,,3.0,2.0,48.0,,12.0,2.0,12.0,14.0,19.0,17.0,280.0,,,,0.0,203.0,12.0,1.0,,,,86.0,78.0,7.0,2.0,34.0,1.0,18.0,4.0,180.0,2.0,,792.0,10.0,4.0,,,24.0,33.0,6.0,14.0,2.0,,6.0,30.0,97.0,,9089,176.0,15.0,195.0,1.0,,4.0,69.0,7.0,,4.0,3.0,3.0,4.0,60.0,446.0,15.0,9.0,2.0,20.0,92.0,,2.0,,0.0,1.0,,2.0,2.0,0.0,8.0,2.0,63.1,30.0,2.0,2.0,4.0,7.0,,56.0,15.0,,556.0,24.0,25.0,8.0,8.0,,34.0,2.0,4.0,409.0,16.0,17.0,5.0,139.0,24.0,1.0,1.0,10.0,17.0,3.0,19.0,1.0,15.0,,,6.0,,,1.0,,,1.0,1.0,,,,,,,4.0,1.0,,2.0,,,1.0,1.0,15.0,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
9,284085,2009-10-17 15:00:00,"Old Trafford, Manchester",75103,Home,Manchester United,Bolton Wanderers,2,1,W,2,0,0,0,1.0,68.0,3.0,2.0,31.0,39.0,2.0,1.0,4.0,,10.0,7.0,2.0,13.0,,7.0,172.0,50.0,,15.0,,19.0,5.0,1.0,,2.0,1.0,32.0,,16.0,1.0,15.0,8.0,18.0,21.0,239.0,1.0,,,0.0,168.0,15.0,2.0,,4.0,1.0,86.0,70.0,7.0,2.0,25.0,,5.0,1.0,148.0,7.0,,717.0,10.0,5.0,1.0,1.0,14.0,27.0,8.0,24.0,0.0,3.0,6.0,20.0,73.0,6.0,8595,169.0,19.0,185.0,1.0,1.0,9.0,61.0,9.0,4.0,4.0,11.0,3.0,2.0,56.0,398.0,10.0,4.0,2.0,23.0,95.0,1.0,,,0.0,1.0,2.0,2.0,2.0,0.0,8.0,2.0,58.5,18.0,1.0,5.0,4.0,2.0,,55.0,12.0,1.0,488.0,13.0,19.0,13.0,6.0,,23.0,3.0,5.0,335.0,11.0,18.0,11.0,123.0,31.0,,1.0,10.0,22.0,3.0,12.0,1.0,13.0,,,1.0,,,3.0,,,1.0,,,,,,,1.0,6.0,,,1.0,,,1.0,1.0,12.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
10,284095,2009-10-25 14:00:00,"Anfield, Liverpool",44188,Away,Manchester United,Liverpool,0,2,L,0,0,1,1,,64.0,1.0,,46.0,29.0,4.0,,2.0,,7.0,7.0,,5.0,,3.0,185.0,73.0,2.0,8.0,3.0,16.0,2.0,,1.0,1.0,,19.0,1.0,22.0,1.0,19.0,1.0,21.0,39.0,205.0,,,,0.0,157.0,13.0,3.0,,1.0,1.0,44.0,63.0,3.0,,18.0,2.0,4.0,,175.0,8.0,,769.0,5.0,16.0,1.0,1.0,18.0,32.0,10.0,20.0,2.0,5.0,2.0,30.0,86.0,,9089,162.0,12.0,187.0,,1.0,10.0,66.0,6.0,3.0,,8.0,6.0,1.0,74.0,360.0,20.0,6.0,,27.0,104.0,,,2.0,0.0,5.0,2.0,,8.0,1.0,7.0,2.0,56.2,23.0,1.0,3.0,1.0,3.0,,61.0,1.0,1.0,476.0,18.0,27.0,21.0,2.0,,19.0,,1.0,308.0,6.0,19.0,21.0,91.0,24.0,,3.0,12.0,25.0,2.0,12.0,3.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,2.0,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,
