gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,handBall,bigChanceScored,attGoalLowLeft,savedObox,saves,fouledFinalThird,attFreekickTotal,attBxRight,accurateKeeperSweeper,attMissLeft,divingSave,attSvLowLeft,freekickTotal,totalKeeperSweeper,penaltyConceded,totalPullBack,attCmissHigh,attMissHigh,attAssistSetplay,attSvLowRight,attCmissLeft,savedIbox,goalsConceded,shieldBallOop,attHdTotal,attHdMiss,attBxLeft,penaltyFaced,penGoalsConceded,accurateCornersIntobox,goalsConcededIbox,attLfGoal,goalFastbreak,attGoalHighRight,penaltyWon,ptsGainedLosingPos,attSvHighLeft,attMissRight,accurateThroughBall,accurateFreekickCross,attSetpiece,totalThroughBall,attPenGoal,punches,accurateFlickOn,effectiveBlockedCross,blockedCross,attGoalLowRight,attCmissRight,attOboxMiss,ptsDroppedWinningPos,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,attPenTarget,attHdTarget,ownGoals,defenderGoals,foulThrowIn,forwardGoals,attIboxOwnGoal,attHdGoal,accuratePullBack,errorLeadToShot,sixYardBlock,attMissHighRight,hitWoodwork,attOneOnOne,attFreekickTarget,attFreekickMiss,attObxLeft,attGoalHighLeft,goalsConcededObox,postScoringAtt,attIboxPost,attOboxGoal,attPostLeft,winningGoal,attGoalHighCentre,keeperGoals,subsGoals,attObpGoal,attFreekickGoal,goodHighClaim,totalHighClaim,attCmissHighRight,attOboxPost,attPostRight,attCmissHighLeft,attObxdLeft
1,2128286,2021-01-12 20:15:00,"Turf Moor, Burnley",,Away,Manchester United,Burnley,1,0,W,0,0,0,0,2.0,33.0,66.0,3.0,23.0,19.0,4.0,4.0,9.0,4.0,177.0,1.0,18.0,5.0,6.0,1.0,11.0,7.0,138.0,135.0,54.0,13.0,1.0,12.0,3.0,1.0,1.0,3.0,21.0,8.0,3.0,19.0,1.0,5.0,40.0,270.0,2.0,1.0,0.0,191.0,13.0,1.0,1.0,1.0,86.0,77.0,10.0,96.0,1.0,20.0,17.0,4.0,12.0,135.0,1.0,1.0,6.0,155.0,753.0,10.0,1.0,29.0,10.0,457.0,33.0,2.0,1.0,13.0,1.0,2.0,5.0,1.0,14.0,537.0,48.0,95658,9.0,210.0,1.0,7.0,246.0,6.0,1.0,17.0,7.0,32.0,2.0,5.0,1.0,16.0,5.0,3.0,54.0,475.0,14.0,2.0,16.0,1.0,61.0,1.0,0.0,3.0,3.0,1.0,0.0,5.0,1.0,62.7,12.0,3.0,1.0,5.0,4.0,36.0,4.0,566.0,10.0,2.0,17.0,2.0,37.0,2.0,341.0,9.0,5.0,22.0,155.0,24.0,13.0,12.0,12.0,3.0,9.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128302,2020-09-19 17:30:00,"Old Trafford, Manchester",,Home,Manchester United,Crystal Palace,1,3,L,0,1,0,0,2.0,16.0,58.0,2.0,33.0,14.0,10.0,4.0,7.0,1.0,190.0,,10.0,5.0,13.0,1.0,12.0,4.0,209.0,166.0,48.0,17.0,7.0,16.0,,,,,27.0,9.0,3.0,14.0,6.0,11.0,38.0,414.0,,,0.0,294.0,13.0,,,1.0,143.0,122.0,8.0,102.0,,21.0,33.0,10.0,8.0,166.0,1.0,1.0,9.0,204.0,912.0,10.0,1.0,38.0,9.0,585.0,30.0,,4.0,8.0,,2.0,3.0,4.0,24.0,684.0,84.0,95658,5.0,197.0,1.0,12.0,215.0,9.0,1.0,33.0,4.0,61.0,1.0,2.0,1.0,16.0,5.0,4.0,50.0,606.0,10.0,9.0,9.0,4.0,62.0,,0.0,1.0,3.0,1.0,0.0,2.0,,75.8,21.0,3.0,,2.0,9.0,46.0,9.0,705.0,9.0,16.0,20.0,4.0,43.0,4.0,517.0,10.0,10.0,11.0,230.0,23.0,8.0,14.0,12.0,3.0,21.0,10.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128306,2020-09-26 12:30:00,"American Express Stadium, Falmer",,Away,Manchester United,Brighton and Hove Albion,3,2,W,1,1,0,0,1.0,19.0,54.0,3.0,19.0,21.0,1.0,3.0,6.0,,152.0,,11.0,2.0,14.0,3.0,4.0,3.0,113.0,113.0,56.0,7.0,,10.0,,1.0,1.0,,8.0,10.0,1.0,21.0,1.0,9.0,34.0,186.0,,,0.0,86.0,16.0,2.0,2.0,3.0,86.0,42.0,4.0,67.0,2.0,7.0,21.0,1.0,,113.0,1.0,2.0,12.0,113.0,622.0,2.0,2.0,18.0,11.0,350.0,26.0,,2.0,8.0,1.0,2.0,4.0,,11.0,418.0,34.0,95658,4.0,188.0,,4.0,210.0,12.0,1.0,21.0,9.0,58.0,4.0,2.0,1.0,15.0,6.0,6.0,40.0,372.0,17.0,20.0,9.0,1.0,52.0,1.0,0.0,2.0,7.0,3.0,0.0,1.0,1.0,46.7,10.0,4.0,,2.0,3.0,35.0,1.0,445.0,11.0,4.0,15.0,1.0,13.0,1.0,243.0,3.0,8.0,11.0,60.0,21.0,8.0,15.0,3.0,3.0,22.0,13.0,1.0,,2.0,,,3.0,3.0,,,,,,,,,1.0,2.0,,,1.0,,,3.0,2.0,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128322,2020-10-04 16:30:00,"Old Trafford, Manchester",,Home,Manchester United,Tottenham Hotspur,1,6,L,1,4,1,0,,25.0,44.0,,15.0,11.0,3.0,1.0,2.0,1.0,125.0,,13.0,2.0,17.0,1.0,4.0,2.0,107.0,118.0,53.0,5.0,1.0,3.0,,,,,9.0,5.0,1.0,11.0,2.0,5.0,20.0,173.0,,,0.0,115.0,14.0,,1.0,2.0,53.0,47.0,2.0,67.0,2.0,7.0,19.0,3.0,3.0,118.0,,,16.0,117.0,598.0,3.0,5.0,15.0,11.0,328.0,20.0,,2.0,3.0,,2.0,8.0,2.0,20.0,395.0,34.0,95658,2.0,177.0,,2.0,193.0,6.0,1.0,19.0,6.0,50.0,1.0,4.0,,15.0,6.0,5.0,25.0,348.0,11.0,11.0,3.0,,55.0,,0.0,1.0,4.0,1.0,1.0,1.0,,38.4,17.0,1.0,,4.0,1.0,37.0,2.0,416.0,11.0,16.0,10.0,2.0,20.0,1.0,232.0,3.0,5.0,10.0,82.0,19.0,3.0,15.0,3.0,3.0,24.0,7.0,2.0,1.0,1.0,,,2.0,4.0,,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,2.0,6.0,,1.0,1.0,,1.0,1.0,1.0,6.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128332,2020-10-17 20:00:00,"St. James' Park, Newcastle",,Away,Manchester United,Newcastle United,4,1,W,1,1,0,0,2.0,34.0,71.0,3.0,25.0,13.0,13.0,3.0,15.0,7.0,185.0,1.0,17.0,4.0,11.0,4.0,24.0,14.0,173.0,138.0,55.0,28.0,5.0,19.0,7.0,2.0,3.0,4.0,19.0,10.0,3.0,13.0,7.0,4.0,40.0,300.0,,,0.0,204.0,12.0,3.0,1.0,1.0,119.0,51.0,19.0,98.0,,12.0,22.0,13.0,5.0,138.0,1.0,2.0,4.0,173.0,823.0,19.0,2.0,42.0,16.0,532.0,27.0,,4.0,7.0,4.0,1.0,1.0,5.0,20.0,620.0,75.0,95658,6.0,245.0,1.0,6.0,266.0,4.0,3.0,22.0,1.0,62.0,2.0,3.0,3.0,10.0,4.0,1.0,47.0,541.0,9.0,15.0,9.0,5.0,68.0,2.0,0.0,1.0,,4.0,0.0,,4.0,63.6,17.0,5.0,1.0,3.0,8.0,44.0,7.0,629.0,16.0,8.0,18.0,6.0,35.0,1.0,382.0,23.0,4.0,21.0,157.0,36.0,7.0,14.0,21.0,3.0,21.0,15.0,7.0,,1.0,,2.0,4.0,2.0,,2.0,,3.0,4.0,5.0,,,,,,1.0,1.0,,2.0,2.0,1.0,,2.0,,6.0,,,4.0,1.0,,1.0,2.0,1.0,3.0,,2.0,1.0,,,1.0,,,1.0,,,1.0,,5.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128342,2020-10-24 17:30:00,"Old Trafford, Manchester",,Home,Manchester United,Chelsea,0,0,D,0,0,0,0,1.0,33.0,58.0,4.0,28.0,20.0,7.0,3.0,7.0,3.0,167.0,,19.0,5.0,8.0,,12.0,4.0,168.0,153.0,38.0,14.0,1.0,8.0,,,,2.0,20.0,7.0,4.0,20.0,7.0,15.0,45.0,259.0,1.0,1.0,0.0,161.0,8.0,,,,106.0,76.0,9.0,79.0,,13.0,32.0,7.0,7.0,153.0,,1.0,4.0,168.0,785.0,10.0,6.0,20.0,12.0,470.0,21.0,,,7.0,,3.0,3.0,3.0,26.0,566.0,54.0,95658,5.0,230.0,,6.0,261.0,6.0,,32.0,6.0,38.0,2.0,5.0,,13.0,2.0,5.0,49.0,484.0,6.0,6.0,6.0,5.0,50.0,,0.0,3.0,6.0,,0.0,3.0,,50.2,21.0,2.0,,5.0,5.0,29.0,9.0,582.0,12.0,9.0,23.0,5.0,27.0,3.0,341.0,9.0,14.0,11.0,118.0,29.0,7.0,13.0,9.0,3.0,16.0,14.0,9.0,,,,,1.0,,,,,4.0,,1.0,,,,1.0,,,2.0,,1.0,1.0,,1.0,1.0,1.0,2.0,,,2.0,,,,,,,,1.0,,,,,,,1.0,3.0,3.0,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128351,2020-11-01 16:30:00,"Old Trafford, Manchester",,Home,Manchester United,Arsenal,0,1,L,0,0,0,0,1.0,24.0,57.0,1.0,18.0,12.0,4.0,1.0,4.0,1.0,147.0,,8.0,4.0,5.0,,8.0,2.0,181.0,137.0,45.0,8.0,2.0,9.0,1.0,,,2.0,18.0,7.0,1.0,12.0,6.0,12.0,30.0,229.0,,,0.0,128.0,12.0,,,3.0,55.0,58.0,5.0,80.0,2.0,12.0,15.0,4.0,4.0,137.0,,,3.0,162.0,731.0,6.0,1.0,25.0,8.0,466.0,24.0,,1.0,8.0,,3.0,,3.0,21.0,548.0,49.0,95658,3.0,260.0,,5.0,291.0,6.0,,15.0,9.0,46.0,4.0,2.0,,11.0,4.0,8.0,43.0,485.0,12.0,6.0,8.0,1.0,48.0,,0.0,2.0,3.0,,0.0,2.0,,53.3,21.0,4.0,,2.0,3.0,28.0,6.0,570.0,8.0,12.0,11.0,3.0,34.0,2.0,297.0,4.0,10.0,18.0,94.0,26.0,8.0,10.0,6.0,3.0,13.0,9.0,6.0,1.0,,,1.0,1.0,4.0,,,,2.0,,,,,1.0,,,,2.0,,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,2128360,2020-11-07 12:30:00,"Goodison Park, Liverpool",,Away,Manchester United,Everton,3,1,W,2,1,0,0,,27.0,63.0,,17.0,22.0,6.0,2.0,7.0,2.0,158.0,,16.0,4.0,6.0,3.0,9.0,5.0,127.0,131.0,45.0,13.0,3.0,19.0,1.0,1.0,3.0,1.0,8.0,4.0,1.0,22.0,2.0,9.0,33.0,199.0,,,0.0,125.0,19.0,2.0,2.0,1.0,68.0,45.0,7.0,48.0,,6.0,18.0,6.0,2.0,131.0,4.0,,5.0,120.0,641.0,6.0,3.0,20.0,9.0,352.0,28.0,,,14.0,3.0,2.0,1.0,2.0,19.0,429.0,50.0,95658,4.0,174.0,2.0,3.0,198.0,10.0,2.0,18.0,10.0,74.0,1.0,4.0,3.0,14.0,2.0,6.0,48.0,369.0,12.0,12.0,11.0,1.0,62.0,1.0,0.0,1.0,5.0,3.0,0.0,4.0,2.0,45.3,17.0,3.0,,4.0,3.0,38.0,2.0,453.0,9.0,18.0,15.0,5.0,27.0,3.0,263.0,10.0,8.0,14.0,89.0,28.0,14.0,13.0,9.0,3.0,13.0,8.0,2.0,,2.0,1.0,,,4.0,2.0,,,,,1.0,2.0,,,,2.0,3.0,,,,,1.0,,1.0,,2.0,,,,1.0,,1.0,,,3.0,,2.0,1.0,,1.0,1.0,,,,6.0,6.0,2.0,1.0,2.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
9,2128371,2020-11-21 20:00:00,"Old Trafford, Manchester",,Home,Manchester United,West Bromwich Albion,1,0,W,0,0,0,0,,37.0,70.0,5.0,36.0,7.0,5.0,5.0,11.0,5.0,209.0,,21.0,4.0,18.0,1.0,12.0,7.0,158.0,152.0,71.0,17.0,3.0,7.0,4.0,,,1.0,20.0,5.0,2.0,7.0,6.0,4.0,44.0,317.0,,1.0,0.0,204.0,12.0,,1.0,2.0,138.0,88.0,10.0,107.0,,14.0,22.0,6.0,5.0,152.0,2.0,1.0,6.0,189.0,842.0,9.0,4.0,31.0,14.0,539.0,28.0,2.0,1.0,3.0,,1.0,1.0,2.0,21.0,638.0,80.0,95658,8.0,249.0,2.0,7.0,268.0,9.0,1.0,22.0,8.0,46.0,1.0,,,16.0,1.0,8.0,57.0,562.0,16.0,14.0,7.0,6.0,73.0,,0.0,3.0,2.0,1.0,0.0,1.0,,63.1,19.0,4.0,1.0,,8.0,45.0,8.0,663.0,14.0,7.0,31.0,2.0,38.0,1.0,415.0,10.0,3.0,25.0,155.0,38.0,3.0,13.0,8.0,3.0,24.0,5.0,8.0,,1.0,,,2.0,4.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,3.0,1.0,,2.0,,,1.0,,1.0,,,3.0,,,,,1.0,,1.0,,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
10,2128383,2020-11-29 14:00:00,"St. Mary's Stadium, Southampton",,Away,Manchester United,Southampton,3,2,W,0,2,0,0,1.0,33.0,71.0,2.0,28.0,18.0,5.0,2.0,10.0,2.0,194.0,,14.0,5.0,9.0,3.0,10.0,6.0,120.0,155.0,56.0,15.0,2.0,13.0,2.0,2.0,1.0,3.0,21.0,9.0,1.0,18.0,8.0,2.0,40.0,216.0,,,0.0,148.0,12.0,2.0,1.0,1.0,97.0,42.0,5.0,76.0,2.0,13.0,20.0,5.0,5.0,155.0,4.0,,5.0,129.0,726.0,7.0,2.0,28.0,17.0,399.0,26.0,,5.0,11.0,2.0,0.0,2.0,5.0,21.0,500.0,68.0,95658,8.0,206.0,3.0,7.0,240.0,8.0,1.0,20.0,4.0,58.0,,5.0,1.0,14.0,5.0,4.0,50.0,417.0,11.0,12.0,16.0,4.0,60.0,2.0,0.0,1.0,5.0,3.0,0.0,4.0,2.0,50.1,21.0,3.0,,5.0,4.0,38.0,9.0,519.0,17.0,15.0,22.0,5.0,31.0,3.0,300.0,9.0,1.0,17.0,100.0,37.0,11.0,19.0,10.0,3.0,16.0,9.0,9.0,,3.0,3.0,2.0,3.0,1.0,,,,3.0,2.0,,,,,,1.0,2.0,1.0,,2.0,1.0,2.0,,3.0,1.0,1.0,,,1.0,1.0,,,,,3.0,,,2.0,,1.0,3.0,,,,2.0,2.0,,,2.0,,,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
