gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attLfTotal,attLfGoal,attPenTarget,attFreekickTotal,attIboxTarget,attObxLeft,attSvLowLeft,freekickTotal,attGoalHighCentre,bigChanceMissed,attAssistSetplay,attCorner,goalsConceded,attFreekickMiss,ptsDroppedWinningPos,attPenPost,attBxRight,postScoringAtt,attIboxPost,attGoalHighRight,goodHighClaim,attPostLeft,attHdTarget,hitWoodwork,attMissHighLeft,accurateFreekickCross,sixYardBlock,attSetpiece,attCmissHigh,attMissHigh,goalsConcededIbox,attLfTarget,attCmissRight,attMissRight,attSvLowRight,punches,attCmissHighRight,shieldBallOop,attSvHighCentre,attSvHighLeft,attFreekickPost,errorLeadToShot,attFreekickTarget,attOboxPost,attPostHigh,attCmissLeft,attSvHighRight,totalPullBack,errorLeadToGoal,attGoalLowCentre,attOneOnOne,attPostRight,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,ptsGainedLosingPos,attHdPost,defenderGoals,attHdGoal,attObxRight,attObxdLeft,ownGoals,attIboxOwnGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdRight,goalAssistSetplay,foulThrowIn,goalAssistDeadball,attCmissHighLeft,attLgCentre,attFreekickGoal
1,1059710,2019-08-11 16:30:00,"Old Trafford, Manchester",73620.0,Home,Manchester United,Chelsea,4,0,W,1,0,0,0,3.0,59.0,1.0,2.0,4.0,3.0,28.0,19.0,4.0,7.0,7.0,1.0,142.0,4.0,14.0,4.0,4.0,9.0,5.0,127.0,140.0,55.0,11.0,1.0,9.0,2.0,3.0,1.0,1.0,1.0,14.0,10.0,1.0,19.0,3.0,6.0,23.0,134.0,1.0,1.0,1.0,1.0,0.0,100.0,15.0,3.0,3.0,2.0,1.0,61.0,34.0,7.0,60.0,2.0,12.0,25.0,4.0,2.0,1.0,140.0,2.0,2.0,9.0,120.0,649.0,6.0,3.0,28.0,12.0,348.0,23.0,3.0,10.0,3.0,3.0,4.0,2.0,16.0,428.0,31.0,1.0,95658,5.0,233.0,9.0,269.0,8.0,4.0,25.0,7.0,58.0,2.0,2.0,5.0,3.0,17.0,9.0,5.0,1.0,53.0,363.0,12.0,13.0,14.0,43.0,2.0,1.0,0.0,2.0,5.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,46.2,14.0,1.0,4.0,1.0,5.0,4.0,24.0,3.0,1.0,449.0,12.0,15.0,14.0,2.0,18.0,1.0,1.0,194.0,10.0,5.0,13.0,73.0,24.0,1.0,1.0,10.0,16.0,10.0,3.0,20.0,1.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059721,2019-08-19 20:00:00,"Molineux Stadium, Wolverhampton",31314.0,Away,Manchester United,Wolverhampton Wanderers,1,1,D,1,0,0,0,,65.0,,,,1.0,37.0,15.0,3.0,5.0,1.0,1.0,191.0,4.0,7.0,1.0,3.0,5.0,2.0,198.0,142.0,67.0,9.0,2.0,10.0,,1.0,,,3.0,17.0,15.0,,15.0,5.0,9.0,40.0,305.0,1.0,,,1.0,0.0,173.0,8.0,,,,1.0,94.0,122.0,2.0,102.0,,12.0,15.0,4.0,5.0,2.0,142.0,,,5.0,177.0,845.0,3.0,1.0,21.0,5.0,560.0,13.0,1.0,6.0,1.0,2.0,1.0,3.0,17.0,647.0,64.0,,95658,5.0,278.0,6.0,297.0,4.0,,15.0,3.0,42.0,,1.0,8.0,1.0,17.0,1.0,3.0,,61.0,579.0,17.0,9.0,9.0,71.0,,,0.0,3.0,4.0,1.0,1.0,,0.0,1.0,1.0,2.0,65.6,15.0,2.0,,,8.0,3.0,52.0,6.0,,668.0,5.0,9.0,24.0,4.0,33.0,3.0,2.0,388.0,6.0,9.0,20.0,129.0,44.0,1.0,1.0,6.0,23.0,4.0,3.0,15.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059726,2019-08-24 15:00:00,"Old Trafford, Manchester",73454.0,Home,Manchester United,Crystal Palace,1,2,L,0,1,0,0,,49.0,,,,4.0,31.0,6.0,8.0,14.0,1.0,1.0,166.0,9.0,7.0,1.0,9.0,15.0,3.0,156.0,139.0,57.0,22.0,2.0,15.0,,1.0,1.0,,3.0,27.0,4.0,1.0,6.0,8.0,2.0,38.0,299.0,1.0,,,1.0,0.0,213.0,8.0,,,1.0,4.0,95.0,91.0,7.0,71.0,1.0,19.0,14.0,8.0,,5.0,139.0,1.0,2.0,5.0,169.0,748.0,8.0,1.0,37.0,6.0,464.0,16.0,3.0,2.0,1.0,2.0,1.0,7.0,21.0,543.0,73.0,2.0,95658,9.0,191.0,15.0,210.0,3.0,1.0,14.0,5.0,56.0,2.0,,2.0,1.0,13.0,,5.0,,49.0,481.0,18.0,9.0,8.0,49.0,,,0.0,,1.0,1.0,1.0,,0.0,4.0,1.0,4.0,71.3,20.0,3.0,2.0,2.0,3.0,6.0,29.0,8.0,1.0,562.0,6.0,16.0,19.0,13.0,41.0,5.0,7.0,379.0,14.0,2.0,23.0,166.0,27.0,,2.0,2.0,9.0,12.0,3.0,16.0,2.0,4.0,8.0,,,3.0,,,3.0,1.0,,1.0,3.0,,3.0,5.0,3.0,2.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059740,2019-08-31 12:30:00,"St. Mary's Stadium, Southampton",30499.0,Away,Manchester United,Southampton,1,1,D,1,0,0,1,,62.0,,,,3.0,21.0,16.0,8.0,13.0,1.0,4.0,190.0,4.0,10.0,1.0,1.0,18.0,8.0,127.0,183.0,70.0,21.0,1.0,18.0,,1.0,2.0,,1.0,22.0,11.0,3.0,16.0,3.0,4.0,48.0,240.0,1.0,,,,0.0,168.0,7.0,1.0,,1.0,1.0,95.0,61.0,11.0,72.0,,20.0,22.0,8.0,5.0,4.0,183.0,2.0,1.0,5.0,148.0,771.0,17.0,3.0,39.0,7.0,404.0,32.0,,8.0,1.0,2.0,3.0,7.0,38.0,508.0,56.0,1.0,95658,5.0,191.0,14.0,230.0,5.0,1.0,22.0,10.0,55.0,1.0,1.0,5.0,1.0,18.0,5.0,6.0,,45.0,427.0,15.0,6.0,7.0,67.0,,,0.0,4.0,2.0,1.0,1.0,2.0,0.0,4.0,,2.0,58.6,31.0,2.0,3.0,6.0,5.0,4.0,35.0,3.0,,537.0,7.0,16.0,21.0,9.0,38.0,,5.0,329.0,12.0,4.0,27.0,125.0,21.0,,2.0,8.0,19.0,20.0,3.0,19.0,2.0,6.0,3.0,,1.0,7.0,,,,4.0,,2.0,,,2.0,,1.0,1.0,,2.0,,,,,1.0,,,,,1.0,,1.0,,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059746,2019-09-14 15:00:00,"Old Trafford, Manchester",73689.0,Home,Manchester United,Leicester City,1,0,W,1,0,0,0,1.0,60.0,,1.0,1.0,,15.0,30.0,5.0,4.0,3.0,2.0,138.0,2.0,13.0,1.0,4.0,6.0,5.0,74.0,145.0,57.0,10.0,,16.0,,,1.0,,1.0,9.0,11.0,2.0,30.0,3.0,4.0,16.0,134.0,,1.0,,1.0,0.0,97.0,14.0,,,,1.0,76.0,54.0,3.0,51.0,1.0,6.0,15.0,6.0,,3.0,145.0,,,3.0,82.0,566.0,4.0,4.0,13.0,12.0,243.0,26.0,3.0,16.0,,1.0,1.0,3.0,28.0,322.0,45.0,,95658,3.0,126.0,5.0,144.0,8.0,1.0,15.0,7.0,72.0,1.0,,2.0,,17.0,6.0,6.0,1.0,41.0,258.0,14.0,12.0,20.0,62.0,,,0.0,2.0,9.0,2.0,1.0,1.0,0.0,,,2.0,41.7,26.0,1.0,4.0,,2.0,,36.0,3.0,,345.0,12.0,14.0,7.0,5.0,13.0,2.0,1.0,210.0,5.0,3.0,11.0,58.0,24.0,1.0,5.0,16.0,19.0,5.0,3.0,29.0,5.0,2.0,3.0,,,3.0,,,2.0,2.0,1.0,1.0,2.0,,,2.0,2.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,2.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059761,2019-09-22 14:00:00,"London Stadium, London",59936.0,Away,Manchester United,West Ham United,0,2,L,0,1,0,0,,55.0,,,2.0,1.0,20.0,18.0,4.0,5.0,4.0,2.0,173.0,4.0,11.0,,,8.0,3.0,128.0,135.0,45.0,9.0,3.0,21.0,1.0,,3.0,,2.0,20.0,9.0,1.0,18.0,6.0,5.0,33.0,180.0,,,,,0.0,125.0,9.0,2.0,1.0,,1.0,68.0,66.0,6.0,64.0,1.0,14.0,15.0,4.0,,,135.0,2.0,,3.0,114.0,661.0,8.0,3.0,21.0,5.0,376.0,18.0,3.0,11.0,,2.0,1.0,2.0,21.0,456.0,57.0,,95658,2.0,223.0,13.0,244.0,5.0,,15.0,10.0,50.0,,1.0,5.0,,15.0,5.0,10.0,,43.0,399.0,8.0,4.0,10.0,61.0,1.0,,0.0,3.0,3.0,2.0,,1.0,0.0,2.0,,,53.5,17.0,,6.0,1.0,5.0,4.0,33.0,7.0,,479.0,5.0,13.0,14.0,2.0,30.0,2.0,2.0,255.0,5.0,5.0,13.0,88.0,25.0,,3.0,11.0,13.0,8.0,3.0,14.0,3.0,5.0,7.0,1.0,,4.0,,,,2.0,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1059768,2019-09-30 20:00:00,"Old Trafford, Manchester",73201.0,Home,Manchester United,Arsenal,1,1,D,1,0,0,0,,58.0,,,1.0,2.0,29.0,7.0,12.0,4.0,4.0,2.0,148.0,4.0,8.0,1.0,2.0,11.0,4.0,118.0,142.0,45.0,16.0,4.0,11.0,1.0,1.0,,,2.0,19.0,6.0,2.0,7.0,6.0,5.0,30.0,180.0,1.0,,1.0,,0.0,130.0,18.0,4.0,1.0,1.0,1.0,74.0,65.0,7.0,68.0,2.0,13.0,18.0,12.0,7.0,5.0,142.0,1.0,,7.0,106.0,631.0,9.0,3.0,26.0,11.0,327.0,13.0,2.0,6.0,1.0,4.0,2.0,4.0,22.0,413.0,51.0,1.0,95658,1.0,174.0,5.0,197.0,11.0,1.0,18.0,8.0,54.0,1.0,2.0,7.0,1.0,11.0,3.0,7.0,,50.0,350.0,12.0,8.0,9.0,60.0,1.0,1.0,0.0,3.0,7.0,3.0,,1.0,0.0,1.0,1.0,1.0,54.8,20.0,1.0,5.0,1.0,7.0,6.0,36.0,8.0,1.0,440.0,11.0,10.0,13.0,6.0,23.0,3.0,1.0,262.0,11.0,5.0,10.0,89.0,31.0,,1.0,6.0,15.0,11.0,2.0,17.0,1.0,6.0,8.0,,1.0,4.0,,,1.0,1.0,,,1.0,,1.0,1.0,4.0,1.0,,2.0,,1.0,,,,1.0,,,,,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,1059777,2019-10-06 16:30:00,"St. James' Park, Newcastle",51198.0,Away,Manchester United,Newcastle United,0,1,L,0,0,0,0,,56.0,,,1.0,1.0,27.0,7.0,5.0,7.0,1.0,2.0,145.0,5.0,3.0,,5.0,11.0,3.0,176.0,133.0,41.0,12.0,3.0,23.0,,,,,,25.0,6.0,1.0,7.0,6.0,9.0,31.0,295.0,,,,,0.0,157.0,10.0,1.0,,,5.0,122.0,81.0,6.0,77.0,,19.0,13.0,5.0,6.0,1.0,133.0,1.0,1.0,4.0,196.0,757.0,6.0,2.0,16.0,8.0,495.0,18.0,1.0,7.0,,3.0,5.0,5.0,27.0,577.0,66.0,,95658,5.0,222.0,8.0,238.0,5.0,,13.0,8.0,53.0,,2.0,5.0,,16.0,8.0,8.0,,51.0,512.0,9.0,11.0,8.0,68.0,,,0.0,1.0,4.0,,,,0.0,2.0,,5.0,68.1,27.0,4.0,3.0,,5.0,4.0,45.0,6.0,,594.0,8.0,5.0,11.0,5.0,31.0,3.0,4.0,381.0,6.0,9.0,18.0,120.0,30.0,,,7.0,11.0,5.0,3.0,10.0,,5.0,6.0,1.0,1.0,1.0,,,1.0,2.0,,,1.0,,1.0,5.0,4.0,1.0,,,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,3.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1059788,2019-10-20 16:30:00,"Old Trafford, Manchester",73737.0,Home,Manchester United,Liverpool,1,1,D,1,0,0,0,1.0,70.0,,,1.0,,16.0,29.0,4.0,3.0,3.0,1.0,135.0,2.0,8.0,1.0,1.0,7.0,2.0,62.0,163.0,41.0,7.0,1.0,26.0,1.0,1.0,1.0,1.0,4.0,15.0,3.0,1.0,29.0,3.0,2.0,44.0,93.0,,,,,0.0,96.0,6.0,1.0,2.0,,1.0,54.0,52.0,3.0,32.0,,12.0,16.0,4.0,2.0,2.0,163.0,1.0,1.0,6.0,70.0,509.0,6.0,8.0,12.0,11.0,189.0,25.0,1.0,16.0,1.0,0.0,1.0,4.0,33.0,274.0,51.0,,95658,1.0,108.0,9.0,131.0,4.0,1.0,16.0,8.0,54.0,,4.0,7.0,1.0,16.0,4.0,2.0,,62.0,199.0,13.0,5.0,17.0,71.0,1.0,,0.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,,32.0,23.0,,9.0,1.0,7.0,1.0,23.0,3.0,,299.0,11.0,10.0,17.0,4.0,18.0,,2.0,183.0,4.0,1.0,10.0,52.0,26.0,1.0,1.0,16.0,10.0,7.0,2.0,16.0,1.0,5.0,3.0,,,3.0,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,1059798,2019-10-27 16:30:00,"Carrow Road, Norwich",27108.0,Away,Manchester United,Norwich City,3,1,W,2,0,0,0,2.0,67.0,,1.0,1.0,1.0,37.0,13.0,8.0,13.0,2.0,5.0,150.0,4.0,19.0,3.0,3.0,12.0,11.0,108.0,137.0,61.0,21.0,2.0,4.0,2.0,2.0,,1.0,,19.0,13.0,1.0,13.0,10.0,6.0,20.0,268.0,2.0,,,2.0,0.0,182.0,10.0,1.0,3.0,2.0,,104.0,88.0,8.0,70.0,,9.0,20.0,8.0,2.0,5.0,137.0,4.0,2.0,6.0,152.0,692.0,7.0,5.0,27.0,6.0,392.0,21.0,3.0,5.0,2.0,2.0,2.0,4.0,22.0,460.0,56.0,,95658,9.0,142.0,7.0,162.0,8.0,3.0,20.0,5.0,53.0,,,1.0,2.0,13.0,4.0,2.0,,56.0,406.0,12.0,13.0,12.0,52.0,2.0,,0.0,4.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,53.9,17.0,1.0,7.0,,1.0,3.0,35.0,10.0,,480.0,6.0,15.0,15.0,7.0,29.0,3.0,2.0,337.0,14.0,6.0,6.0,143.0,36.0,1.0,2.0,5.0,24.0,11.0,3.0,30.0,2.0,9.0,10.0,,,4.0,,2.0,1.0,7.0,,3.0,1.0,,5.0,3.0,7.0,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,1.0,1.0,2.0,1.0,3.0,3.0,,1.0,,2.0,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
