matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,totalOffside
2292811,1,2022-08-06 15:00:00,"Vitality Stadium, Bournemouth",10000,Home,Bournemouth,Aston Villa,2,0,W,1,0,0,0,2.0,7.0,3.0,2.0,2.0,1.0,,1.0,,1.0,5.0,3.0,16.0,46.0,301.0,211.0,34.4,9.0,20.0,12.0,13.0,36.0,36.0,16.0,6.0,,,14.0,5.0,128.0,2.0,,1.0,,62.0,58.0,16.0,16.0,5.0,5.0,2.0,18.0,16.0,0.0,0.0,1.0
2292826,2,2022-08-13 15:00:00,"Etihad Stadium, Manchester",53453,Away,Bournemouth,Man City,0,4,L,0,3,0,0,,3.0,1.0,1.0,1.0,,,,,,2.0,1.0,10.0,21.0,353.0,288.0,33.3,5.0,10.0,5.0,6.0,20.0,20.0,1.0,4.0,,1.0,10.0,4.0,88.0,4.0,4.0,,1.0,33.0,36.0,8.0,9.0,1.0,1.0,,9.0,9.0,0.0,0.0,1.0
2292830,3,2022-08-20 17:30:00,"Vitality Stadium, Bournemouth",10423,Home,Bournemouth,Arsenal,0,3,L,0,2,0,0,,6.0,1.0,5.0,,,,,,,5.0,1.0,24.0,41.0,411.0,324.0,41.8,12.0,22.0,8.0,7.0,11.0,11.0,7.0,4.0,,,12.0,9.0,131.0,3.0,3.0,,,51.0,52.0,12.0,15.0,3.0,3.0,,12.0,10.0,0.0,0.0,1.0
2292845,4,2022-08-27 15:00:00,"Anfield, Liverpool",53328,Away,Bournemouth,Liverpool,0,9,L,0,5,0,0,,5.0,2.0,2.0,1.0,,,,1.0,,5.0,3.0,11.0,42.0,303.0,211.0,30.6,8.0,20.0,12.0,11.0,17.0,17.0,21.0,1.0,,,10.0,7.0,131.0,4.0,9.0,,1.0,46.0,46.0,14.0,18.0,1.0,1.0,2.0,5.0,6.0,0.0,0.0,
2292850,5,2022-08-31 19:30:00,"Vitality Stadium, Bournemouth",10113,Home,Bournemouth,Wolves,0,0,D,0,0,0,0,,5.0,2.0,2.0,1.0,,,,,,3.0,2.0,16.0,39.0,320.0,238.0,34.1,16.0,24.0,20.0,8.0,27.0,27.0,12.0,5.0,,,4.0,13.0,139.0,3.0,,1.0,,57.0,54.0,12.0,14.0,2.0,2.0,,12.0,12.0,0.0,0.0,
2292867,6,2022-09-03 15:00:00,"The City Ground, Nottingham",28720,Away,Bournemouth,Nott'm Forest,3,2,W,0,2,0,0,3.0,8.0,3.0,2.0,3.0,1.0,1.0,,,3.0,7.0,5.0,27.0,43.0,442.0,359.0,47.3,17.0,12.0,8.0,3.0,29.0,29.0,19.0,4.0,,,8.0,7.0,132.0,1.0,2.0,,,42.0,41.0,12.0,12.0,6.0,6.0,,10.0,13.0,0.0,0.0,1.0
2292870,7,2023-04-04 19:45:00,"Vitality Stadium, Bournemouth",10266,Home,Bournemouth,Brighton,0,2,L,0,1,0,0,,14.0,3.0,6.0,5.0,1.0,,2.0,,,11.0,6.0,25.0,31.0,344.0,269.0,36.7,21.0,18.0,8.0,15.0,13.0,13.0,5.0,1.0,,,14.0,5.0,128.0,4.0,2.0,,,42.0,55.0,12.0,14.0,5.0,5.0,2.0,11.0,4.0,0.0,0.0,1.0
2292886,8,2022-09-17 15:00:00,"St. James' Park, Newcastle",52238,Away,Bournemouth,Newcastle,1,1,D,0,0,0,0,1.0,10.0,3.0,5.0,2.0,1.0,1.0,,,1.0,9.0,5.0,15.0,27.0,245.0,165.0,27.6,10.0,18.0,14.0,8.0,35.0,35.0,20.0,5.0,,,5.0,7.0,125.0,6.0,1.0,,,53.0,44.0,11.0,14.0,1.0,1.0,,11.0,10.0,0.0,0.0,1.0
2292890,9,2022-10-01 15:00:00,"Vitality Stadium, Bournemouth",10126,Home,Bournemouth,Brentford,0,0,D,0,0,0,0,,7.0,1.0,4.0,2.0,1.0,,1.0,,,5.0,2.0,26.0,62.0,375.0,297.0,42.0,12.0,14.0,8.0,9.0,20.0,20.0,5.0,4.0,,,6.0,14.0,131.0,4.0,,1.0,,40.0,47.0,12.0,10.0,7.0,7.0,,11.0,9.0,0.0,0.0,1.0
2292900,10,2022-10-08 15:00:00,"Vitality Stadium, Bournemouth",10272,Home,Bournemouth,Leicester,2,1,W,0,1,0,0,2.0,10.0,4.0,2.0,4.0,1.0,1.0,,,1.0,5.0,5.0,27.0,47.0,424.0,359.0,44.2,26.0,13.0,11.0,10.0,12.0,12.0,11.0,2.0,,,6.0,15.0,137.0,4.0,1.0,,,46.0,64.0,7.0,19.0,7.0,7.0,,8.0,16.0,0.0,0.0,3.0
