matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside,totalDistance
2444475,1,2024-08-17 15:00:00,"The City Ground, Nottingham",29763.0,Away,Bournemouth,Nott'm Forest,1,1,D,0,1,0,0,1.0,13.0,4.0,6.0,3.0,,,2.0,1.0,2.0,,,,7.0,4.0,29.0,63.0,432.0,335.0,47.1,23.0,18.0,7.0,14.0,29.0,29.0,10.0,3.0,,1.0,9.0,14.0,155.0,7.0,1.0,,,55.0,66.0,15.0,25.0,6.0,6.0,,8.0,17.0,0.0,0.0,,,4.0,
2444480,2,2024-08-25 14:00:00,"Vitality Stadium, Bournemouth",11161.0,Home,Bournemouth,Newcastle,1,1,D,1,0,0,0,1.0,16.0,4.0,7.0,5.0,,,2.0,1.0,1.0,1.0,,1.0,14.0,8.0,27.0,60.0,321.0,245.0,39.3,27.0,21.0,16.0,6.0,34.0,34.0,19.0,5.0,,,6.0,9.0,131.0,4.0,1.0,,,44.0,56.0,13.0,10.0,8.0,8.0,,20.0,8.0,0.0,0.0,,,,
2444493,3,2024-08-31 15:00:00,"Goodison Park, Liverpool",38805.0,Away,Bournemouth,Everton,3,2,W,0,0,0,0,3.0,17.0,7.0,5.0,5.0,,,4.0,3.0,2.0,,,3.0,14.0,9.0,32.0,53.0,392.0,300.0,53.1,28.0,26.0,10.0,7.0,23.0,23.0,8.0,2.0,,,10.0,6.0,152.0,6.0,2.0,,,54.0,60.0,17.0,23.0,4.0,4.0,1.0,11.0,6.0,0.0,0.0,,,2.0,108059.67
2444500,4,2024-09-14 20:00:00,"Vitality Stadium, Bournemouth",11235.0,Home,Bournemouth,Chelsea,0,1,L,0,0,0,0,,19.0,7.0,8.0,4.0,1.7651,2.4786,,,1.0,2.0,0.602434,,13.0,8.0,30.0,57.0,276.0,193.0,33.3,28.0,14.0,8.0,10.0,18.0,18.0,6.0,4.0,1.0,,12.0,6.0,130.0,2.0,1.0,1.1734,,47.0,51.0,15.0,11.0,6.0,6.0,1.0,16.0,9.0,0.0,0.0,1.0,,4.0,111078.87
2444515,5,2024-09-21 15:00:00,"Anfield, Liverpool",60347.0,Away,Bournemouth,Liverpool,0,3,L,0,3,0,0,,19.0,6.0,9.0,4.0,,,1.0,,2.0,1.0,,,14.0,7.0,33.0,42.0,389.0,332.0,41.2,32.0,20.0,11.0,7.0,16.0,16.0,8.0,4.0,,1.0,16.0,8.0,116.0,9.0,3.0,,,46.0,56.0,6.0,9.0,9.0,9.0,2.0,12.0,9.0,0.0,0.0,,,3.0,110940.24
2444520,6,2024-09-30 20:00:00,"Vitality Stadium, Bournemouth",11243.0,Home,Bournemouth,Southampton,3,1,W,3,0,0,0,3.0,14.0,6.0,2.0,6.0,,,1.0,1.0,,,,3.0,11.0,11.0,29.0,54.0,378.0,305.0,40.2,27.0,20.0,8.0,11.0,17.0,17.0,12.0,3.0,,,7.0,15.0,131.0,2.0,1.0,,,48.0,62.0,9.0,17.0,6.0,7.0,1.0,19.0,11.0,0.0,0.0,,,1.0,112497.88
2444537,7,2024-10-05 15:00:00,"King Power Stadium, Leicester",31706.0,Away,Bournemouth,Leicester,0,1,L,0,1,0,0,,19.0,2.0,11.0,6.0,,,5.0,,5.0,2.0,,,17.0,7.0,41.0,63.0,443.0,362.0,55.9,34.0,22.0,14.0,6.0,20.0,20.0,9.0,,,,6.0,10.0,144.0,1.0,1.0,,,58.0,55.0,17.0,21.0,9.0,9.0,2.0,14.0,11.0,0.0,0.0,,,1.0,113604.01
2444540,8,2024-10-19 17:30:00,"Vitality Stadium, Bournemouth",11235.0,Home,Bournemouth,Arsenal,2,0,W,0,0,0,1,2.0,13.0,4.0,4.0,5.0,,,1.0,1.0,2.0,,,1.0,10.0,7.0,32.0,66.0,405.0,323.0,48.7,28.0,16.0,11.0,6.0,20.0,20.0,12.0,1.0,1.0,,7.0,6.0,140.0,1.0,,,1.0,56.0,53.0,12.0,17.0,7.0,7.0,,12.0,11.0,0.0,0.0,1.0,1.0,1.0,
2444551,9,2024-10-26 15:00:00,"Villa Park, Birmingham",42165.0,Away,Bournemouth,Aston Villa,1,1,D,0,0,0,0,1.0,10.0,3.0,4.0,3.0,,,,,,,,1.0,8.0,5.0,28.0,49.0,325.0,270.0,43.4,17.0,17.0,10.0,11.0,21.0,21.0,8.0,5.0,,,6.0,5.0,109.0,7.0,1.0,,,49.0,43.0,16.0,13.0,7.0,7.0,1.0,14.0,12.0,0.0,0.0,,,5.0,
2444560,10,2024-11-02 15:00:00,"Vitality Stadium, Bournemouth",11231.0,Home,Bournemouth,Man City,2,1,W,1,0,0,0,2.0,12.0,6.0,4.0,2.0,,,4.0,2.0,4.0,1.0,,2.0,10.0,7.0,22.0,49.0,334.0,282.0,35.5,23.0,16.0,12.0,12.0,36.0,36.0,4.0,4.0,,,6.0,9.0,93.0,3.0,1.0,,,45.0,46.0,13.0,15.0,3.0,3.0,,11.0,5.0,0.0,0.0,,,2.0,
