matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
855301,13,2016-11-27 12:00:00,"Vicarage Road, Watford",20058,Away,Stoke,Watford,1,0,W,1,0,0,1,1.0,14.0,1.0,7.0,6.0,,,,1.0,,10.0,4.0,26.0,58.0,371.0,273.0,50.2,19.0,17.0,12.0,11.0,38.0,38.0,18.0,1.0,,,12.0,15.0,153.0,2.0,,1.0,,73.0,60.0,25.0,17.0,3.0,3.0,6.0,14.0,23.0,0.0,0.0,,,6.0
855307,14,2016-12-03 15:00:00,"bet365 Stadium, Stoke",27306,Home,Stoke,Burnley,2,0,W,2,0,0,0,2.0,10.0,4.0,3.0,3.0,1.0,,1.0,1.0,2.0,7.0,5.0,19.0,66.0,448.0,349.0,55.9,17.0,17.0,13.0,11.0,40.0,40.0,9.0,4.0,1.0,,3.0,9.0,150.0,4.0,,1.0,,67.0,55.0,26.0,30.0,4.0,4.0,,7.0,13.0,0.0,0.0,,,3.0
855312,15,2016-12-10 15:00:00,"Emirates Stadium, London",59964,Away,Stoke,Arsenal,1,3,L,1,1,0,0,1.0,12.0,5.0,5.0,2.0,,1.0,,1.0,,9.0,5.0,24.0,47.0,288.0,212.0,35.6,20.0,15.0,11.0,18.0,29.0,29.0,13.0,7.0,1.0,,10.0,12.0,120.0,3.0,3.0,,,44.0,41.0,15.0,11.0,7.0,7.0,,6.0,9.0,0.0,0.0,1.0,1.0,3.0
855330,16,2016-12-14 20:00:00,"bet365 Stadium, Stoke",27002,Home,Stoke,Southampton,0,0,D,0,0,1,0,,5.0,3.0,1.0,1.0,,,,,,3.0,2.0,11.0,34.0,227.0,140.0,28.3,10.0,16.0,10.0,12.0,45.0,45.0,8.0,4.0,,,10.0,12.0,141.0,4.0,,1.0,,49.0,49.0,17.0,12.0,3.0,3.0,1.0,9.0,9.0,0.0,0.0,,,1.0
855337,17,2016-12-17 15:00:00,"bet365 Stadium, Stoke",27663,Home,Stoke,Leicester,2,2,D,2,0,0,1,2.0,16.0,7.0,4.0,5.0,1.0,2.0,1.0,1.0,,11.0,7.0,49.0,72.0,573.0,490.0,64.9,33.0,9.0,5.0,7.0,21.0,21.0,12.0,3.0,,,6.0,12.0,147.0,6.0,2.0,,,45.0,45.0,18.0,15.0,9.0,9.0,2.0,9.0,11.0,0.0,0.0,1.0,1.0,3.0
855347,18,2016-12-27 17:15:00,"Anfield, Liverpool",53094,Away,Stoke,Liverpool,1,4,L,1,2,0,0,1.0,6.0,2.0,2.0,2.0,,,,,1.0,4.0,2.0,17.0,55.0,352.0,256.0,36.2,9.0,25.0,12.0,20.0,36.0,36.0,15.0,9.0,,2.0,9.0,14.0,151.0,2.0,4.0,,1.0,74.0,54.0,32.0,13.0,2.0,2.0,,6.0,8.0,0.0,0.0,,,2.0
855354,19,2016-12-31 15:00:00,"Stamford Bridge, London",41601,Away,Stoke,Chelsea,2,4,L,0,1,0,0,2.0,5.0,2.0,3.0,,1.0,1.0,,,1.0,3.0,1.0,24.0,46.0,322.0,242.0,40.4,12.0,17.0,12.0,11.0,31.0,31.0,13.0,3.0,1.0,1.0,11.0,10.0,120.0,3.0,4.0,,,54.0,43.0,22.0,11.0,3.0,3.0,3.0,10.0,12.0,0.0,0.0,,,2.0
855367,20,2017-01-03 20:00:00,"bet365 Stadium, Stoke",27010,Home,Stoke,Watford,2,0,W,1,0,0,0,2.0,16.0,5.0,7.0,4.0,3.0,1.0,2.0,,2.0,13.0,8.0,34.0,62.0,399.0,296.0,54.0,21.0,7.0,5.0,9.0,42.0,42.0,19.0,4.0,,,6.0,12.0,171.0,1.0,,1.0,,60.0,53.0,26.0,23.0,7.0,7.0,1.0,10.0,15.0,0.0,0.0,,,3.0
855377,21,2017-01-14 15:00:00,"Stadium of Light, Sunderland",42722,Away,Stoke,Sunderland,3,1,W,3,1,0,0,3.0,14.0,6.0,3.0,5.0,1.0,1.0,,1.0,2.0,10.0,8.0,25.0,57.0,424.0,321.0,48.8,26.0,12.0,10.0,11.0,36.0,36.0,16.0,5.0,,,8.0,7.0,147.0,2.0,1.0,,,67.0,44.0,27.0,10.0,2.0,2.0,1.0,11.0,16.0,0.0,0.0,,,1.0
855390,22,2017-01-21 15:00:00,"bet365 Stadium, Stoke",27423,Home,Stoke,Man Utd,1,1,D,1,0,0,0,1.0,6.0,1.0,3.0,2.0,,,,,,5.0,2.0,18.0,57.0,331.0,235.0,34.9,7.0,16.0,10.0,16.0,42.0,42.0,20.0,9.0,,,12.0,12.0,151.0,7.0,1.0,,,57.0,56.0,26.0,20.0,1.0,1.0,,13.0,11.0,0.0,0.0,,,
855401,23,2017-02-01 20:00:00,"bet365 Stadium, Stoke",27612,Home,Stoke,Everton,1,1,D,1,1,0,0,1.0,14.0,7.0,5.0,2.0,3.0,1.0,2.0,,1.0,9.0,6.0,35.0,79.0,422.0,329.0,47.1,18.0,14.0,10.0,15.0,23.0,23.0,13.0,2.0,,,9.0,1.0,138.0,5.0,1.0,,1.0,59.0,50.0,23.0,14.0,5.0,5.0,1.0,21.0,12.0,0.0,0.0,,,1.0
855411,24,2017-02-04 15:00:00,"The Hawthorns, West Bromwich",23921,Away,Stoke,West Brom,0,1,L,0,1,0,0,,12.0,2.0,5.0,5.0,2.0,,2.0,1.0,,8.0,5.0,45.0,87.0,523.0,423.0,62.3,19.0,17.0,11.0,16.0,11.0,11.0,13.0,4.0,,,14.0,10.0,170.0,3.0,1.0,,,48.0,64.0,22.0,22.0,6.0,6.0,1.0,13.0,6.0,0.0,0.0,,,2.0
855418,25,2017-02-11 15:00:00,"bet365 Stadium, Stoke",27007,Home,Stoke,Crystal Palace,1,0,W,0,0,0,0,1.0,7.0,4.0,2.0,1.0,1.0,,1.0,,1.0,6.0,4.0,26.0,81.0,451.0,339.0,57.5,17.0,24.0,21.0,14.0,33.0,33.0,12.0,1.0,,,5.0,11.0,164.0,1.0,,1.0,,66.0,58.0,21.0,24.0,5.0,5.0,,10.0,13.0,0.0,0.0,,,3.0
855429,26,2017-02-26 13:30:00,"White Hart Lane, London",31864,Away,Stoke,Spurs,0,4,L,0,4,0,0,,5.0,3.0,2.0,,1.0,,1.0,,,3.0,2.0,19.0,48.0,317.0,219.0,35.7,12.0,20.0,15.0,12.0,18.0,18.0,14.0,5.0,,1.0,10.0,8.0,147.0,5.0,4.0,,,53.0,48.0,14.0,13.0,5.0,5.0,,14.0,11.0,0.0,0.0,,,2.0
855435,27,2017-03-04 15:00:00,"bet365 Stadium, Stoke",27644,Home,Stoke,Boro,2,0,W,2,0,0,0,2.0,13.0,8.0,5.0,,4.0,2.0,2.0,1.0,2.0,9.0,6.0,40.0,71.0,435.0,340.0,54.8,33.0,16.0,12.0,11.0,17.0,17.0,10.0,3.0,,,13.0,14.0,157.0,2.0,,1.0,,78.0,69.0,21.0,18.0,6.0,6.0,,16.0,18.0,0.0,0.0,,,1.0
855449,28,2017-03-08 20:00:00,"Etihad Stadium, Manchester",52625,Away,Stoke,Man City,0,0,D,0,0,0,0,,5.0,2.0,2.0,1.0,,,,,,4.0,3.0,19.0,56.0,331.0,228.0,34.7,15.0,20.0,12.0,24.0,25.0,25.0,21.0,4.0,1.0,,15.0,15.0,159.0,1.0,,1.0,,58.0,63.0,21.0,16.0,1.0,1.0,2.0,11.0,6.0,0.0,0.0,,,1.0
855457,29,2017-03-18 15:00:00,"bet365 Stadium, Stoke",27724,Home,Stoke,Chelsea,1,2,L,1,1,1,0,1.0,5.0,1.0,2.0,2.0,,1.0,,,,3.0,1.0,19.0,70.0,290.0,194.0,36.2,21.0,21.0,13.0,16.0,17.0,17.0,17.0,8.0,,1.0,11.0,20.0,157.0,5.0,2.0,,,49.0,64.0,13.0,16.0,5.0,5.0,,16.0,9.0,0.0,0.0,1.0,1.0,3.0
855466,30,2017-04-01 15:00:00,"King Power Stadium, Leicester",31958,Away,Stoke,Leicester,0,2,L,0,1,0,0,,10.0,2.0,5.0,3.0,2.0,,2.0,,,9.0,4.0,37.0,57.0,418.0,310.0,51.7,31.0,11.0,10.0,13.0,40.0,40.0,28.0,6.0,,,8.0,9.0,178.0,8.0,2.0,,,68.0,64.0,40.0,25.0,4.0,4.0,,11.0,7.0,0.0,0.0,,,4.0
855473,31,2017-04-04 19:45:00,"Turf Moor, Burnley",19881,Away,Stoke,Burnley,0,1,L,0,0,0,0,,15.0,2.0,7.0,6.0,1.0,,2.0,,,10.0,7.0,43.0,69.0,400.0,275.0,51.9,24.0,10.0,9.0,20.0,40.0,40.0,14.0,3.0,1.0,,9.0,5.0,174.0,2.0,1.0,,,72.0,68.0,38.0,35.0,5.0,5.0,2.0,16.0,9.0,0.0,0.0,,,3.0
855487,32,2017-04-08 15:00:00,"bet365 Stadium, Stoke",27568,Home,Stoke,Liverpool,1,2,L,1,0,0,0,1.0,9.0,4.0,4.0,1.0,3.0,1.0,3.0,,1.0,6.0,5.0,26.0,69.0,380.0,281.0,44.3,18.0,20.0,17.0,14.0,25.0,25.0,16.0,5.0,,,6.0,19.0,164.0,2.0,2.0,,,59.0,53.0,15.0,19.0,5.0,5.0,1.0,7.0,11.0,0.0,0.0,,,7.0
855497,33,2017-04-15 15:00:00,"bet365 Stadium, Stoke",27505,Home,Stoke,Hull,3,1,W,1,0,0,0,3.0,14.0,4.0,6.0,4.0,2.0,,3.0,1.0,3.0,10.0,7.0,27.0,50.0,359.0,264.0,44.9,21.0,14.0,6.0,10.0,25.0,25.0,23.0,5.0,1.0,,11.0,13.0,145.0,2.0,1.0,,,42.0,50.0,14.0,9.0,3.0,3.0,,12.0,5.0,0.0,0.0,,,4.0
855510,34,2017-04-22 15:00:00,"Swansea.com Stadium, Swansea",20566,Away,Stoke,Swansea,0,2,L,0,1,0,0,,9.0,3.0,5.0,1.0,2.0,,3.0,,,6.0,2.0,31.0,64.0,455.0,389.0,54.6,19.0,15.0,8.0,9.0,21.0,21.0,17.0,2.0,2.0,,4.0,16.0,125.0,4.0,2.0,,,51.0,49.0,16.0,10.0,4.0,4.0,1.0,14.0,5.0,0.0,0.0,1.0,,1.0
855517,35,2017-04-29 15:00:00,"bet365 Stadium, Stoke",27628,Home,Stoke,West Ham,0,0,D,0,0,0,0,,19.0,4.0,7.0,8.0,1.0,,2.0,,,15.0,10.0,37.0,85.0,507.0,402.0,57.1,30.0,19.0,13.0,8.0,24.0,24.0,25.0,4.0,2.0,,12.0,7.0,151.0,4.0,,1.0,,53.0,62.0,22.0,21.0,5.0,5.0,2.0,12.0,3.0,0.0,0.0,,,2.0
855522,36,2017-05-06 15:00:00,"Vitality Stadium, Bournemouth",11046,Away,Stoke,Bournemouth,2,2,D,1,0,0,0,2.0,14.0,3.0,6.0,5.0,2.0,1.0,2.0,,,9.0,4.0,36.0,63.0,358.0,280.0,42.2,20.0,13.0,2.0,18.0,15.0,15.0,11.0,3.0,,,9.0,7.0,133.0,1.0,2.0,,1.0,49.0,50.0,18.0,14.0,7.0,7.0,1.0,15.0,10.0,0.0,0.0,,,2.0
855537,37,2017-05-13 17:30:00,"bet365 Stadium, Stoke",27535,Home,Stoke,Arsenal,1,4,L,0,1,0,0,1.0,10.0,4.0,3.0,3.0,2.0,1.0,1.0,,1.0,8.0,6.0,29.0,42.0,287.0,199.0,33.2,24.0,21.0,17.0,9.0,20.0,20.0,17.0,1.0,2.0,,14.0,9.0,145.0,2.0,4.0,,,52.0,64.0,13.0,21.0,7.0,7.0,,13.0,7.0,0.0,0.0,,,3.0
855549,38,2017-05-21 15:00:00,"St. Mary's Stadium, Southampton",31286,Away,Stoke,Southampton,1,0,W,0,0,0,0,1.0,14.0,3.0,6.0,5.0,1.0,1.0,,,1.0,12.0,6.0,41.0,67.0,319.0,239.0,39.0,25.0,16.0,16.0,22.0,29.0,29.0,12.0,5.0,1.0,,4.0,11.0,129.0,6.0,,1.0,,56.0,39.0,23.0,14.0,10.0,10.0,,10.0,12.0,0.0,0.0,,,2.0
