gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,penaltySave,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,fouledFinalThird,attOneOnOne,attMissHighRight,freekickCross,contentiousDecision,totalFlickOn,attHdTarget,accurateFreekickCross,bigChanceMissed,attSetpiece,overrun,attBxLeft,penGoalsConceded,attGoalLowCentre,attFreekickTotal,attBxRight,attSvLowLeft,goodHighClaim,interceptionsInBox,freekickTotal,errorLeadToShot,attRfGoal,accurateFlickOn,attSvHighCentre,totalHighClaim,attFreekickMiss,goalsConcededObox,attLfTarget,attOboxTarget,errorLeadToGoal,ptsGainedLosingPos,attSvHighLeft,attSvLowRight,goalAssistSetplay,attGoalHighRight,attSvHighRight,attOboxGoal,midfielderGoals,attCmissHighLeft,secondYellow,punches,accurateKeeperSweeper,totalKeeperSweeper,attGoalHighLeft,sixYardBlock,goalAssistDeadball,attLfGoal,ownGoals,attIboxOwnGoal,penaltyWon,attGoalHighCentre,attPenGoal,attCmissHighRight,cleanSheet,attFreekickTarget,attLgLeft,attObxLeft,postScoringAtt,attIboxPost,attPostRight,attLgCentre,attFreekickGoal,attPostLeft,attHdPost,attPostHigh,foulThrowIn,goalFastbreak
1,2210277,2021-08-15 14:00:00,"St. James' Park, Newcastle",50673,Home,Newcastle United,West Ham United,2,4,L,2,1,0,0,1.0,1.0,20.0,49.0,1.0,1.0,1.0,1.0,26.0,21.0,8.0,6.0,9.0,4.0,1.0,123.0,11.0,6.0,14.0,2.0,12.0,1.0,1.0,3.0,118.0,123.0,37.0,17.0,6.0,20.0,1.0,1.0,2.0,1.0,2.0,27.0,5.0,21.0,7.0,2.0,29.0,176.0,0.0,92.0,4.0,1.0,1.0,68.0,62.0,8.0,54.0,2.0,20.0,8.0,8.0,2.0,2.0,123.0,1.0,12.0,106.0,596.0,8.0,28.0,1.0,9.0,324.0,24.0,1.0,4.0,13.0,2.0,1.0,6.0,4.0,16.0,381.0,38.0,1.0,90105,8.0,170.0,18.0,1.0,190.0,3.0,1.0,8.0,10.0,58.0,1.0,1.0,1.0,1.0,4.0,2.0,15.0,6.0,7.0,2.0,51.0,340.0,3.0,11.0,2.0,8.0,7.0,65.0,1.0,1.0,0.0,6.0,4.0,2.0,4.0,0.0,4.0,2.0,2.0,4.0,46.4,14.0,1.0,3.0,4.0,7.0,1.0,39.0,7.0,1.0,401.0,9.0,14.0,10.0,7.0,28.0,2.0,5.0,238.0,7.0,2.0,12.0,74.0,18.0,1.0,4.0,13.0,8.0,2.0,4.0,10.0,3.0,23.0,3.0,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210282,2021-08-21 15:00:00,"Villa Park, Birmingham",41964,Away,Newcastle United,Aston Villa,0,2,L,0,1,0,0,,,23.0,38.0,,,,,18.0,20.0,3.0,2.0,6.0,,,124.0,11.0,7.0,4.0,,9.0,,,1.0,78.0,120.0,44.0,9.0,1.0,17.0,1.0,,,1.0,1.0,20.0,7.0,20.0,4.0,2.0,38.0,100.0,0.0,82.0,18.0,,,57.0,34.0,2.0,41.0,2.0,16.0,8.0,3.0,6.0,2.0,120.0,1.0,6.0,90.0,482.0,5.0,19.0,,2.0,245.0,21.0,,3.0,10.0,,4.0,,7.0,24.0,309.0,42.0,3.0,90105,5.0,164.0,9.0,1.0,180.0,6.0,1.0,8.0,11.0,48.0,,3.0,,2.0,3.0,,8.0,4.0,4.0,2.0,53.0,257.0,8.0,2.0,4.0,12.0,3.0,59.0,,,0.0,3.0,,,2.0,0.0,4.0,,,4.0,52.7,20.0,3.0,1.0,3.0,1.0,,22.0,4.0,1.0,333.0,2.0,5.0,12.0,7.0,24.0,3.0,5.0,173.0,3.0,2.0,18.0,48.0,12.0,,1.0,10.0,14.0,,2.0,5.0,3.0,12.0,,1.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210296,2021-08-28 15:00:00,"St. James' Park, Newcastle",44017,Home,Newcastle United,Southampton,2,2,D,0,0,0,0,,2.0,23.0,70.0,,,2.0,,28.0,15.0,3.0,,7.0,4.0,2.0,128.0,13.0,4.0,10.0,2.0,7.0,,,5.0,65.0,144.0,62.0,10.0,,14.0,3.0,1.0,1.0,,3.0,17.0,18.0,15.0,4.0,2.0,20.0,99.0,0.0,84.0,11.0,2.0,1.0,44.0,47.0,4.0,32.0,,13.0,13.0,3.0,5.0,3.0,144.0,1.0,12.0,68.0,478.0,5.0,22.0,,5.0,188.0,31.0,,8.0,5.0,1.0,3.0,9.0,3.0,12.0,271.0,41.0,1.0,90105,5.0,108.0,8.0,1.0,133.0,8.0,,13.0,13.0,54.0,1.0,1.0,,5.0,4.0,2.0,18.0,10.0,6.0,2.0,65.0,203.0,5.0,15.0,1.0,27.0,2.0,64.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,3.0,1.0,2.0,3.0,36.3,12.0,1.0,8.0,4.0,,,29.0,4.0,1.0,293.0,5.0,12.0,7.0,5.0,20.0,1.0,2.0,177.0,7.0,,16.0,54.0,24.0,2.0,2.0,5.0,31.0,1.0,2.0,7.0,2.0,13.0,2.0,2.0,2.0,4.0,1.0,1.0,,,,1.0,6.0,1.0,,,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210308,2021-09-11 15:00:00,"Old Trafford, Manchester",72732,Away,Newcastle United,Manchester United,1,4,L,0,1,0,0,,1.0,20.0,43.0,1.0,,1.0,,30.0,21.0,7.0,4.0,5.0,2.0,1.0,118.0,15.0,2.0,12.0,1.0,7.0,,1.0,3.0,90.0,107.0,44.0,12.0,3.0,7.0,1.0,,1.0,1.0,3.0,10.0,10.0,21.0,3.0,3.0,23.0,120.0,0.0,71.0,2.0,,,85.0,29.0,4.0,63.0,1.0,7.0,18.0,7.0,3.0,3.0,107.0,1.0,12.0,94.0,559.0,6.0,17.0,,13.0,275.0,21.0,,12.0,10.0,1.0,0.0,6.0,3.0,19.0,337.0,32.0,,83314,1.0,181.0,4.0,,204.0,1.0,,18.0,11.0,35.0,,,1.0,3.0,,1.0,9.0,9.0,9.0,,64.0,299.0,9.0,7.0,,31.0,1.0,53.0,,,0.0,7.0,2.0,1.0,4.0,0.0,2.0,1.0,,1.0,35.9,18.0,1.0,3.0,,3.0,1.0,26.0,3.0,,365.0,13.0,11.0,13.0,6.0,14.0,,3.0,171.0,7.0,1.0,6.0,50.0,10.0,,,10.0,17.0,,3.0,10.0,3.0,20.0,,,9.0,3.0,,,,2.0,,,3.0,,,,1.0,1.0,2.0,,,,1.0,,1.0,5.0,,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210316,2021-09-17 20:00:00,"St. James' Park, Newcastle",50407,Home,Newcastle United,Leeds United,1,1,D,1,1,0,0,,,30.0,66.0,1.0,,5.0,1.0,25.0,28.0,7.0,4.0,10.0,9.0,2.0,130.0,17.0,4.0,7.0,1.0,13.0,1.0,,7.0,68.0,131.0,49.0,17.0,1.0,9.0,4.0,1.0,1.0,1.0,2.0,8.0,10.0,28.0,4.0,1.0,28.0,113.0,0.0,96.0,9.0,5.0,1.0,46.0,27.0,7.0,40.0,2.0,4.0,14.0,7.0,1.0,4.0,131.0,1.0,10.0,63.0,488.0,11.0,32.0,,9.0,193.0,30.0,,3.0,8.0,1.0,2.0,4.0,6.0,10.0,272.0,48.0,,90105,6.0,102.0,3.0,,125.0,5.0,1.0,14.0,10.0,48.0,1.0,,,1.0,5.0,1.0,14.0,12.0,6.0,3.0,59.0,211.0,11.0,11.0,1.0,18.0,2.0,64.0,1.0,,0.0,5.0,3.0,1.0,1.0,0.0,2.0,,,2.0,35.4,7.0,1.0,6.0,5.0,2.0,,36.0,4.0,,301.0,9.0,11.0,11.0,8.0,19.0,2.0,4.0,184.0,11.0,,14.0,50.0,16.0,1.0,1.0,8.0,17.0,,,15.0,3.0,15.0,,1.0,9.0,4.0,,1.0,,1.0,,,7.0,1.0,,1.0,,,3.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,3.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210330,2021-09-25 15:00:00,"Vicarage Road, Watford",20650,Away,Newcastle United,Watford,1,1,D,1,0,0,0,,,20.0,56.0,,,2.0,2.0,32.0,23.0,10.0,6.0,10.0,3.0,2.0,129.0,13.0,3.0,11.0,1.0,14.0,,1.0,6.0,80.0,127.0,74.0,20.0,4.0,17.0,3.0,1.0,,2.0,2.0,15.0,12.0,23.0,6.0,8.0,29.0,143.0,0.0,113.0,12.0,2.0,1.0,73.0,41.0,8.0,52.0,1.0,9.0,12.0,10.0,5.0,3.0,127.0,3.0,7.0,74.0,536.0,11.0,23.0,,9.0,237.0,29.0,1.0,5.0,14.0,1.0,3.0,5.0,6.0,16.0,306.0,64.0,2.0,90105,4.0,116.0,2.0,,137.0,3.0,1.0,12.0,9.0,61.0,1.0,3.0,,1.0,1.0,,15.0,8.0,3.0,3.0,69.0,256.0,17.0,21.0,2.0,20.0,5.0,71.0,1.0,1.0,0.0,5.0,1.0,,1.0,0.0,2.0,,,4.0,47.8,11.0,2.0,3.0,1.0,6.0,,39.0,6.0,,335.0,9.0,6.0,13.0,8.0,18.0,1.0,5.0,213.0,10.0,7.0,24.0,70.0,21.0,,1.0,14.0,22.0,,1.0,12.0,2.0,18.0,2.0,1.0,6.0,6.0,2.0,4.0,1.0,1.0,2.0,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,,1.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,,,,2.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210340,2021-10-02 15:00:00,"Molineux Stadium, Wolverhampton",30483,Away,Newcastle United,Wolverhampton Wanderers,1,2,L,1,1,0,0,,,32.0,56.0,1.0,,1.0,1.0,25.0,4.0,3.0,,5.0,1.0,1.0,134.0,18.0,3.0,17.0,1.0,5.0,,,2.0,103.0,147.0,60.0,8.0,2.0,11.0,1.0,,1.0,,,26.0,9.0,4.0,4.0,4.0,31.0,162.0,0.0,114.0,5.0,1.0,,78.0,77.0,2.0,65.0,3.0,22.0,19.0,3.0,9.0,,147.0,,4.0,104.0,597.0,3.0,20.0,,11.0,305.0,23.0,,5.0,1.0,1.0,2.0,1.0,3.0,27.0,387.0,40.0,,90105,4.0,164.0,9.0,,181.0,5.0,1.0,19.0,4.0,54.0,,1.0,,1.0,3.0,1.0,13.0,3.0,3.0,,48.0,323.0,15.0,13.0,1.0,13.0,1.0,62.0,,,0.0,,,,2.0,0.0,2.0,,,4.0,48.1,25.0,3.0,4.0,3.0,3.0,,37.0,4.0,,406.0,11.0,10.0,12.0,3.0,29.0,1.0,3.0,251.0,4.0,4.0,14.0,77.0,25.0,,,1.0,14.0,,2.0,5.0,3.0,32.0,,,8.0,4.0,,4.0,,,4.0,,2.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210347,2021-10-17 16:30:00,"St. James' Park, Newcastle",52214,Home,Newcastle United,Tottenham Hotspur,2,3,L,1,3,1,0,,1.0,21.0,65.0,,,1.0,,28.0,25.0,4.0,,3.0,1.0,,139.0,11.0,3.0,13.0,2.0,7.0,,1.0,1.0,70.0,131.0,66.0,7.0,2.0,12.0,,,1.0,,,15.0,16.0,25.0,2.0,5.0,30.0,129.0,0.0,96.0,13.0,,,87.0,28.0,3.0,62.0,1.0,13.0,14.0,4.0,4.0,2.0,131.0,1.0,9.0,63.0,536.0,5.0,13.0,,8.0,251.0,25.0,,8.0,11.0,1.0,4.0,7.0,4.0,19.0,318.0,40.0,,90105,3.0,139.0,8.0,,155.0,10.0,,14.0,5.0,64.0,,,,,5.0,1.0,16.0,5.0,5.0,2.0,49.0,265.0,4.0,12.0,1.0,20.0,2.0,65.0,,,0.0,9.0,,2.0,3.0,1.0,2.0,1.0,,3.0,35.5,15.0,2.0,7.0,5.0,2.0,,40.0,2.0,,334.0,8.0,16.0,18.0,4.0,21.0,1.0,2.0,194.0,4.0,5.0,23.0,70.0,25.0,1.0,2.0,11.0,26.0,1.0,3.0,5.0,3.0,24.0,3.0,2.0,6.0,2.0,,1.0,,1.0,1.0,,,,,,,3.0,,,1.0,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2210355,2021-10-23 15:00:00,"Selhurst Park, London",24609,Away,Newcastle United,Crystal Palace,1,1,D,0,0,0,0,,,25.0,39.0,,,,,25.0,35.0,1.0,1.0,5.0,2.0,1.0,118.0,16.0,5.0,5.0,1.0,5.0,,2.0,2.0,32.0,143.0,54.0,6.0,1.0,16.0,1.0,,1.0,,,16.0,11.0,35.0,7.0,1.0,36.0,74.0,0.0,89.0,9.0,1.0,,26.0,44.0,3.0,29.0,3.0,9.0,10.0,1.0,1.0,,143.0,,11.0,35.0,420.0,3.0,20.0,,7.0,121.0,22.0,,6.0,17.0,1.0,4.0,6.0,2.0,15.0,185.0,53.0,,90105,4.0,69.0,6.0,,84.0,4.0,,10.0,12.0,49.0,,1.0,,3.0,1.0,,33.0,4.0,5.0,,61.0,138.0,13.0,13.0,1.0,23.0,2.0,56.0,,,0.0,3.0,2.0,1.0,1.0,0.0,3.0,,1.0,2.0,25.0,8.0,2.0,2.0,1.0,1.0,,25.0,7.0,,214.0,7.0,4.0,15.0,3.0,26.0,2.0,3.0,146.0,3.0,1.0,18.0,52.0,9.0,1.0,1.0,17.0,18.0,,1.0,1.0,3.0,12.0,,1.0,3.0,7.0,,1.0,,,2.0,,5.0,,1.0,1.0,3.0,2.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,2210366,2021-10-30 15:00:00,"St. James' Park, Newcastle",52208,Home,Newcastle United,Chelsea,0,3,L,0,0,0,0,,,21.0,48.0,,,3.0,1.0,19.0,24.0,2.0,3.0,4.0,3.0,,95.0,7.0,3.0,10.0,,4.0,,,1.0,35.0,112.0,52.0,6.0,2.0,17.0,1.0,,,1.0,1.0,7.0,4.0,24.0,,2.0,19.0,66.0,0.0,65.0,14.0,,,23.0,48.0,2.0,32.0,,7.0,15.0,2.0,3.0,,112.0,,9.0,36.0,358.0,3.0,10.0,,6.0,109.0,19.0,,6.0,17.0,,3.0,7.0,2.0,11.0,166.0,45.0,,90105,2.0,60.0,2.0,1.0,76.0,5.0,,15.0,11.0,50.0,,,,1.0,3.0,,18.0,10.0,7.0,,59.0,123.0,11.0,9.0,1.0,29.0,,55.0,,,0.0,2.0,,,3.0,0.0,3.0,,,2.0,20.8,9.0,2.0,2.0,3.0,3.0,,22.0,,1.0,198.0,6.0,8.0,6.0,2.0,11.0,,2.0,129.0,1.0,2.0,21.0,31.0,13.0,,,17.0,10.0,,3.0,3.0,3.0,14.0,,,12.0,,1.0,1.0,,1.0,2.0,,3.0,,2.0,,3.0,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
