gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attObxCentre,attRfTarget,postScoringAtt,attSvLowCentre,attIboxPost,attOboxTarget,attMissHighRight,cleanSheet,attemptsObox,crosses18yardplus,attOboxMiss,bigChanceCreated,hitWoodwork,attMissHighLeft,bigChanceMissed,attSetpiece,attCmissHigh,attAssistSetplay,attHdMiss,attPostRight,bigChanceScored,attGoalLowLeft,goals,attCmissRight,attOboxBlocked,goalAssistOpenplay,ptsGainedLosingPos,midfielderGoals,attMissRight,goalAssist,errorLeadToShot,attRfGoal,totalPullBack,goalsOpenplay,attIboxGoal,goalAssistIntentional,shieldBallOop,attBxLeft,attGoalLowRight,attLfGoal,accuratePullBack,attFreekickTotal,attGoalHighRight,penaltyWon,attSvLowLeft,freekickTotal,contentiousDecision,sixYardBlock,attPenGoal,attFreekickMiss,forwardGoals,attOneOnOne,attPostLeft,attHdPost,attSvLowRight,ptsDroppedWinningPos,attCmissLeft,attPostHigh,attHdGoal,errorLeadToGoal,shotFastbreak,goalFastbreak,totalFastbreak,attGoalHighCentre,attFastbreak,attSvHighCentre,clearanceOffLine,attGoalLowCentre,attSvHighLeft,defenderGoals,goalAssistSetplay,penaltyConceded,penaltyFaced,penGoalsConceded,goalAssistDeadball,attOboxGoal,attFreekickTarget,attGoalHighLeft,secondYellow,attCmissHighLeft,attFreekickGoal,penaltySave,ownGoals,attIboxOwnGoal,attPenMiss,attPenTarget,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,attObpGoal,expectedGoals
1,2210273,2021-08-14 15:00:00,"Stamford Bridge, London",38965,Away,Crystal Palace,Chelsea,0,3,L,0,2,0,0,2.0,22.0,44.0,1.0,1.0,18.0,24.0,1.0,4.0,3.0,113.0,10.0,3.0,13.0,1.0,4.0,1.0,121.0,103.0,52.0,4.0,7.0,1.0,1.0,1.0,1.0,5.0,7.0,24.0,2.0,5.0,25.0,102.0,1.0,0.0,74.0,11.0,3.0,1.0,1.0,48.0,26.0,2.0,79.0,2.0,3.0,9.0,103.0,5.0,110.0,590.0,4.0,2.0,11.0,1.0,9.0,339.0,19.0,1.0,14.0,1.0,0.0,2.0,2.0,14.0,395.0,30.0,1.0,1.0,86417,3.0,264.0,2.0,291.0,5.0,9.0,9.0,46.0,2.0,1.0,7.0,17.0,8.0,9.0,1.0,39.0,363.0,14.0,8.0,9.0,2.0,42.0,1.0,0.0,1.0,5.0,2.0,3.0,1.0,0.0,2.0,1.0,38.3,13.0,3.0,7.0,1.0,28.0,2.0,1.0,423.0,9.0,14.0,11.0,2.0,9.0,1.0,2.0,137.0,2.0,5.0,15.0,50.0,14.0,3.0,14.0,11.0,1.0,2.0,3.0,20.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210284,2021-08-21 15:00:00,"Selhurst Park, London",23091,Home,Crystal Palace,Brentford,0,0,D,0,0,0,0,,38.0,70.0,1.0,,33.0,20.0,2.0,5.0,3.0,172.0,21.0,3.0,8.0,1.0,6.0,2.0,97.0,171.0,57.0,7.0,21.0,1.0,2.0,,,12.0,7.0,20.0,2.0,3.0,45.0,123.0,1.0,0.0,89.0,12.0,,1.0,1.0,58.0,53.0,2.0,66.0,1.0,10.0,20.0,171.0,8.0,96.0,644.0,5.0,7.0,12.0,,13.0,308.0,25.0,4.0,8.0,,3.0,4.0,4.0,31.0,408.0,51.0,,1.0,86417,2.0,204.0,6.0,245.0,6.0,20.0,11.0,63.0,,1.0,6.0,26.0,6.0,6.0,2.0,77.0,324.0,8.0,9.0,20.0,1.0,75.0,4.0,0.0,2.0,5.0,2.0,,2.0,0.0,3.0,2.0,52.7,29.0,4.0,6.0,,36.0,3.0,2.0,431.0,13.0,16.0,21.0,5.0,24.0,,3.0,198.0,3.0,3.0,26.0,55.0,31.0,2.0,8.0,15.0,,5.0,1.0,16.0,2.0,9.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210299,2021-08-28 15:00:00,"London Stadium, London",59751,Away,Crystal Palace,West Ham United,2,2,D,0,1,0,0,,27.0,58.0,,2.0,29.0,32.0,1.0,6.0,2.0,147.0,15.0,6.0,15.0,2.0,7.0,2.0,118.0,132.0,67.0,9.0,15.0,,,2.0,1.0,13.0,8.0,32.0,3.0,5.0,54.0,145.0,,0.0,83.0,7.0,1.0,2.0,1.0,60.0,43.0,4.0,82.0,3.0,10.0,17.0,132.0,11.0,115.0,682.0,5.0,10.0,22.0,,15.0,360.0,19.0,3.0,11.0,2.0,0.0,7.0,3.0,18.0,441.0,39.0,,2.0,86417,3.0,241.0,6.0,271.0,4.0,17.0,9.0,47.0,1.0,2.0,9.0,21.0,3.0,8.0,1.0,52.0,380.0,10.0,11.0,7.0,2.0,60.0,,0.0,3.0,5.0,2.0,2.0,2.0,0.0,5.0,3.0,54.3,17.0,2.0,9.0,4.0,37.0,3.0,1.0,462.0,15.0,10.0,26.0,3.0,23.0,1.0,2.0,204.0,5.0,5.0,29.0,56.0,26.0,4.0,11.0,13.0,2.0,5.0,1.0,21.0,4.0,11.0,3.0,2.0,,3.0,,,,,,,,3.0,2.0,1.0,2.0,,,1.0,2.0,,1.0,2.0,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210304,2021-09-11 12:30:00,"Selhurst Park, London",22740,Home,Crystal Palace,Tottenham Hotspur,3,0,W,0,0,0,1,,26.0,63.0,1.0,4.0,26.0,13.0,5.0,12.0,1.0,160.0,12.0,3.0,14.0,8.0,10.0,4.0,124.0,155.0,54.0,18.0,18.0,1.0,,,1.0,29.0,13.0,13.0,7.0,5.0,38.0,200.0,,0.0,155.0,13.0,,4.0,1.0,89.0,67.0,7.0,93.0,,22.0,22.0,155.0,1.0,121.0,702.0,7.0,6.0,23.0,,6.0,398.0,32.0,1.0,8.0,,2.0,,3.0,28.0,483.0,54.0,,,82403,8.0,215.0,8.0,243.0,10.0,22.0,4.0,59.0,,,3.0,23.0,1.0,4.0,3.0,49.0,412.0,11.0,12.0,13.0,5.0,64.0,,0.0,1.0,2.0,,,2.0,0.0,2.0,1.0,62.3,25.0,5.0,3.0,7.0,43.0,8.0,1.0,498.0,6.0,8.0,19.0,7.0,35.0,1.0,4.0,284.0,12.0,4.0,12.0,119.0,23.0,,8.0,17.0,,10.0,3.0,22.0,,9.0,8.0,,1.0,6.0,,,,,,1.0,1.0,6.0,10.0,3.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,2.0,,3.0,2.0,3.0,2.0,,,2.0,2.0,,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210314,2021-09-18 15:00:00,"Anfield, Liverpool",52985,Away,Crystal Palace,Liverpool,0,3,L,0,1,0,0,1.0,32.0,60.0,2.0,2.0,20.0,24.0,,6.0,7.0,135.0,16.0,4.0,7.0,3.0,10.0,2.0,78.0,144.0,54.0,13.0,21.0,1.0,2.0,,1.0,17.0,15.0,24.0,5.0,3.0,42.0,113.0,,0.0,88.0,11.0,4.0,2.0,,59.0,40.0,6.0,51.0,2.0,12.0,18.0,144.0,17.0,68.0,571.0,8.0,1.0,24.0,,12.0,232.0,24.0,4.0,11.0,,1.0,10.0,3.0,19.0,304.0,42.0,1.0,,82403,4.0,144.0,6.0,164.0,6.0,18.0,8.0,63.0,1.0,3.0,4.0,20.0,8.0,6.0,2.0,55.0,253.0,16.0,12.0,18.0,4.0,59.0,2.0,0.0,1.0,10.0,5.0,3.0,1.0,0.0,1.0,2.0,40.1,14.0,5.0,6.0,6.0,24.0,5.0,,332.0,12.0,11.0,19.0,5.0,28.0,3.0,2.0,185.0,11.0,3.0,7.0,55.0,23.0,4.0,11.0,24.0,2.0,7.0,3.0,17.0,4.0,11.0,5.0,2.0,,7.0,2.0,1.0,1.0,1.0,1.0,,,7.0,4.0,2.0,2.0,2.0,,2.0,1.0,,1.0,1.0,,,,,,4.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210324,2021-09-27 20:00:00,"Selhurst Park, London",22975,Home,Crystal Palace,Brighton and Hove Albion,1,1,D,1,0,0,0,1.0,29.0,65.0,,1.0,24.0,14.0,,4.0,3.0,155.0,8.0,5.0,4.0,3.0,5.0,3.0,133.0,145.0,36.0,8.0,15.0,1.0,,,,19.0,9.0,14.0,4.0,4.0,43.0,239.0,,0.0,156.0,12.0,,1.0,1.0,101.0,70.0,4.0,92.0,4.0,15.0,17.0,145.0,4.0,117.0,688.0,5.0,4.0,20.0,,12.0,398.0,17.0,3.0,7.0,,2.0,2.0,1.0,22.0,478.0,59.0,,,86417,2.0,179.0,10.0,193.0,8.0,17.0,5.0,61.0,,1.0,6.0,13.0,4.0,5.0,,58.0,413.0,9.0,6.0,16.0,,74.0,1.0,0.0,1.0,5.0,3.0,1.0,1.0,0.0,5.0,,46.9,19.0,7.0,6.0,3.0,37.0,6.0,1.0,497.0,12.0,23.0,19.0,2.0,38.0,,1.0,323.0,8.0,3.0,7.0,110.0,32.0,,7.0,17.0,,6.0,3.0,10.0,,12.0,6.0,1.0,,4.0,2.0,,,,1.0,,,4.0,4.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,2.0,2.0,,,,2.0,,,1.0,,,1.0,,,2.0,,,,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210334,2021-10-03 14:00:00,"Selhurst Park, London",22445,Home,Crystal Palace,Leicester City,2,2,D,0,2,0,0,1.0,35.0,76.0,2.0,3.0,16.0,10.0,4.0,14.0,3.0,195.0,19.0,5.0,14.0,2.0,13.0,4.0,144.0,183.0,60.0,18.0,15.0,2.0,3.0,,5.0,21.0,7.0,10.0,1.0,7.0,39.0,201.0,,0.0,145.0,15.0,1.0,2.0,,90.0,61.0,5.0,79.0,,20.0,20.0,183.0,6.0,139.0,786.0,11.0,,39.0,,4.0,433.0,17.0,1.0,7.0,,2.0,2.0,8.0,30.0,541.0,64.0,1.0,1.0,86417,9.0,250.0,14.0,277.0,6.0,20.0,2.0,70.0,1.0,2.0,8.0,21.0,3.0,2.0,2.0,58.0,446.0,11.0,10.0,20.0,1.0,80.0,,0.0,2.0,3.0,1.0,2.0,,0.0,4.0,4.0,60.0,29.0,6.0,8.0,5.0,34.0,1.0,,557.0,4.0,25.0,10.0,9.0,33.0,1.0,6.0,301.0,10.0,6.0,19.0,104.0,43.0,,7.0,16.0,1.0,16.0,3.0,19.0,,12.0,1.0,,,4.0,2.0,1.0,2.0,1.0,,1.0,,4.0,4.0,2.0,,1.0,,,1.0,,2.0,2.0,,,1.0,2.0,,2.0,,1.0,,,,,,,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210341,2021-10-18 20:00:00,"Emirates Stadium, London",59475,Away,Crystal Palace,Arsenal,2,2,D,0,1,0,0,,21.0,58.0,1.0,,30.0,17.0,3.0,3.0,4.0,143.0,11.0,2.0,7.0,1.0,7.0,6.0,122.0,123.0,56.0,9.0,8.0,,,1.0,,10.0,16.0,17.0,3.0,3.0,34.0,164.0,,0.0,84.0,4.0,4.0,1.0,,64.0,42.0,4.0,84.0,1.0,7.0,14.0,123.0,11.0,126.0,657.0,5.0,5.0,10.0,,7.0,388.0,26.0,4.0,10.0,1.0,1.0,2.0,3.0,18.0,460.0,43.0,,,86417,3.0,240.0,4.0,271.0,1.0,14.0,5.0,35.0,,3.0,7.0,18.0,6.0,4.0,2.0,56.0,402.0,7.0,8.0,18.0,1.0,52.0,,0.0,3.0,6.0,3.0,2.0,2.0,0.0,1.0,,46.4,17.0,5.0,7.0,,34.0,3.0,,475.0,7.0,4.0,19.0,3.0,12.0,1.0,1.0,214.0,6.0,1.0,20.0,59.0,19.0,1.0,10.0,22.0,2.0,8.0,3.0,20.0,1.0,6.0,4.0,1.0,2.0,6.0,2.0,,1.0,,4.0,1.0,,6.0,2.0,2.0,,,,,,,,,,,,2.0,,,2.0,1.0,1.0,,2.0,,2.0,1.0,2.0,2.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,2.0,2.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2210355,2021-10-23 15:00:00,"Selhurst Park, London",24609,Home,Crystal Palace,Newcastle United,1,1,D,0,0,0,0,,25.0,51.0,,3.0,21.0,25.0,5.0,11.0,,186.0,9.0,4.0,13.0,3.0,10.0,3.0,195.0,151.0,49.0,15.0,18.0,2.0,,1.0,2.0,23.0,6.0,25.0,3.0,4.0,33.0,312.0,,0.0,193.0,13.0,,2.0,,82.0,93.0,6.0,104.0,,20.0,11.0,151.0,5.0,180.0,865.0,9.0,7.0,33.0,,6.0,563.0,24.0,5.0,13.0,1.0,3.0,2.0,4.0,18.0,650.0,73.0,1.0,,86417,6.0,269.0,12.0,296.0,4.0,11.0,3.0,54.0,4.0,2.0,5.0,23.0,1.0,3.0,2.0,49.0,577.0,9.0,5.0,20.0,1.0,81.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,4.0,4.0,75.0,18.0,3.0,5.0,6.0,60.0,3.0,,665.0,6.0,8.0,17.0,6.0,39.0,,3.0,392.0,6.0,3.0,16.0,142.0,19.0,,13.0,11.0,1.0,14.0,3.0,23.0,,7.0,3.0,,2.0,4.0,,2.0,1.0,2.0,,,,4.0,6.0,1.0,4.0,2.0,,4.0,,1.0,,1.0,,1.0,,1.0,,3.0,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2210365,2021-10-30 15:00:00,"Etihad Stadium, Manchester",53014,Away,Crystal Palace,Manchester City,2,0,W,1,0,0,1,,38.0,67.0,1.0,,22.0,29.0,2.0,6.0,3.0,142.0,22.0,2.0,6.0,3.0,8.0,3.0,64.0,127.0,52.0,8.0,13.0,1.0,2.0,,,4.0,13.0,29.0,1.0,1.0,32.0,77.0,,0.0,66.0,11.0,,3.0,3.0,38.0,31.0,4.0,49.0,3.0,3.0,20.0,127.0,10.0,64.0,514.0,4.0,9.0,10.0,,11.0,217.0,37.0,2.0,13.0,,3.0,7.0,4.0,13.0,292.0,38.0,,1.0,86417,3.0,156.0,,191.0,9.0,20.0,14.0,48.0,,5.0,7.0,11.0,4.0,6.0,2.0,66.0,231.0,11.0,9.0,23.0,1.0,57.0,,0.0,3.0,7.0,2.0,,4.0,0.0,1.0,2.0,32.4,11.0,3.0,7.0,1.0,25.0,1.0,3.0,319.0,11.0,9.0,18.0,4.0,10.0,1.0,3.0,132.0,4.0,1.0,14.0,35.0,16.0,3.0,13.0,21.0,,6.0,3.0,13.0,3.0,16.0,1.0,1.0,,2.0,1.0,,,,,1.0,1.0,2.0,,1.0,1.0,,1.0,,1.0,,2.0,2.0,,1.0,,2.0,,1.0,2.0,,1.0,,2.0,,1.0,,2.0,2.0,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
