gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,attFreekickGoal,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attIboxBlocked,attGoalLowCentre,shotFastbreak,accurateKeeperSweeper,attSvHighRight,totalFastbreak,interceptionsInBox,attMissRight,bigChanceCreated,totalFlickOn,hitWoodwork,totalKeeperSweeper,bigChanceMissed,sixYardBlock,attSetpiece,attCmissHigh,attemptsConcededObox,attFastbreak,attGoalHighLeft,goalAssistIntentional,shieldBallOop,attHdMiss,accurateCornersIntobox,goalAssistSetplay,goalAssistDeadball,goodHighClaim,penaltyConceded,totalOffside,goalsConceded,accurateFlickOn,penaltyFaced,totalHighClaim,penGoalsConceded,attHdGoal,goalsConcededIbox,ptsDroppedWinningPos,attCmissRight,attOneOnOne,attLgCentre,errorLeadToShot,punches,attCmissHighRight,attSvHighCentre,attGoalLowRight,attSvHighLeft,attAssistSetplay,clearanceOffLine,attLgLeft,postScoringAtt,attIboxPost,contentiousDecision,attSvLowRight,attPostRight,attMissHighLeft,attCmissHighLeft,penaltyWon,attPenGoal,accurateFreekickCross,attPostHigh,ptsGainedLosingPos,errorLeadToGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,subsGoals,expectedAssists,expectedGoals,goalsConcededObox,ownGoals,attIboxOwnGoal,attObxdRight,attObxRight,attObxLeft,attPostLeft,attHdPost,attPenTarget
1,2210273,2021-08-14 15:00:00,"Stamford Bridge, London",38965.0,Home,Chelsea,Crystal Palace,3,0,W,2,0,0,0,1.0,1.0,1.0,22.0,44.0,1.0,38.0,8.0,7.0,4.0,5.0,1.0,2.0,1.0,163.0,12.0,4.0,8.0,3.0,6.0,6.0,1.0,6.0,187.0,97.0,46.0,4.0,13.0,2.0,15.0,2.0,1.0,1.0,2.0,3.0,22.0,9.0,1.0,1.0,8.0,4.0,3.0,38.0,378.0,1.0,1.0,2.0,0.0,230.0,15.0,1.0,1.0,1.0,1.0,139.0,101.0,4.0,112.0,18.0,11.0,8.0,4.0,1.0,6.0,3.0,97.0,4.0,216.0,834.0,5.0,33.0,1.0,11.0,609.0,10.0,2.0,3.0,1.0,0.0,1.0,2.0,17.0,664.0,79.0,5.0,91651,3.0,249.0,11.0,261.0,9.0,1.0,1.0,3.0,11.0,5.0,52.0,6.0,1.0,2.0,2.0,10.0,5.0,1.0,52.0,623.0,11.0,13.0,8.0,1.0,63.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,4.0,1.0,61.7,17.0,9.0,1.0,2.0,2.0,55.0,5.0,678.0,11.0,1.0,5.0,29.0,5.0,40.0,2.0,439.0,8.0,2.0,7.0,196.0,23.0,1.0,1.0,3.0,21.0,8.0,3.0,14.0,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210281,2021-08-22 16:30:00,"Emirates Stadium, London",58729.0,Away,Chelsea,Arsenal,2,0,W,2,0,0,0,1.0,,2.0,23.0,43.0,,20.0,23.0,6.0,5.0,15.0,3.0,,2.0,178.0,15.0,4.0,7.0,2.0,1.0,18.0,,5.0,178.0,116.0,46.0,,22.0,4.0,11.0,2.0,,2.0,2.0,,17.0,5.0,,1.0,23.0,6.0,3.0,39.0,269.0,1.0,1.0,,0.0,161.0,4.0,1.0,1.0,,,43.0,75.0,14.0,109.0,11.0,15.0,7.0,,,2.0,2.0,116.0,3.0,181.0,831.0,16.0,40.0,1.0,10.0,557.0,21.0,4.0,10.0,2.0,0.0,1.0,4.0,22.0,625.0,43.0,1.0,91651,9.0,309.0,9.0,333.0,1.0,1.0,2.0,,15.0,4.0,43.0,3.0,,7.0,2.0,11.0,4.0,1.0,39.0,574.0,10.0,9.0,10.0,3.0,56.0,,,0.0,,,9.0,1.0,2.0,0.0,3.0,4.0,65.0,22.0,3.0,3.0,7.0,11.0,38.0,8.0,646.0,10.0,,11.0,20.0,6.0,35.0,4.0,330.0,13.0,3.0,18.0,134.0,11.0,1.0,3.0,10.0,11.0,18.0,3.0,16.0,3.0,5.0,8.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210294,2021-08-28 17:30:00,"Anfield, Liverpool",,Away,Chelsea,Liverpool,1,1,D,1,1,1,0,1.0,1.0,,34.0,70.0,,24.0,34.0,,4.0,6.0,6.0,,1.0,156.0,15.0,2.0,4.0,1.0,1.0,6.0,,3.0,84.0,154.0,55.0,,6.0,,21.0,2.0,,,1.0,,12.0,12.0,1.0,,34.0,3.0,6.0,47.0,86.0,,,,0.0,67.0,4.0,4.0,,1.0,1.0,39.0,37.0,5.0,57.0,9.0,20.0,,,,1.0,,154.0,17.0,73.0,595.0,5.0,13.0,,21.0,246.0,40.0,2.0,16.0,1.0,2.0,4.0,1.0,20.0,338.0,25.0,,91651,3.0,184.0,7.0,228.0,,,,,20.0,14.0,43.0,4.0,,6.0,,21.0,10.0,,66.0,268.0,12.0,4.0,20.0,1.0,63.0,,,0.0,,,12.0,3.0,1.0,1.0,1.0,1.0,34.3,17.0,,3.0,6.0,2.0,28.0,3.0,370.0,21.0,,13.0,18.0,1.0,17.0,1.0,154.0,1.0,5.0,13.0,43.0,19.0,1.0,2.0,16.0,26.0,5.0,3.0,7.0,2.0,8.0,3.0,3.0,2.0,,3.0,2.0,,3.0,6.0,1.0,,5.0,,2.0,,1.0,,,7.0,3.0,,1.0,,,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210303,2021-09-11 17:30:00,"Stamford Bridge, London",39969.0,Home,Chelsea,Aston Villa,3,0,W,1,0,0,0,,1.0,2.0,28.0,57.0,1.0,27.0,40.0,5.0,6.0,6.0,6.0,1.0,,173.0,10.0,1.0,11.0,3.0,1.0,8.0,,4.0,110.0,126.0,52.0,,12.0,2.0,14.0,,,2.0,,,15.0,6.0,,1.0,40.0,3.0,7.0,33.0,149.0,1.0,1.0,,0.0,89.0,11.0,3.0,1.0,,1.0,59.0,36.0,4.0,90.0,12.0,17.0,6.0,,,3.0,3.0,126.0,11.0,103.0,688.0,6.0,18.0,,7.0,377.0,22.0,1.0,14.0,2.0,1.0,9.0,4.0,16.0,454.0,41.0,1.0,91651,3.0,248.0,8.0,281.0,7.0,,2.0,,17.0,9.0,56.0,1.0,,9.0,3.0,16.0,7.0,1.0,56.0,396.0,10.0,19.0,11.0,1.0,75.0,,,0.0,,,11.0,6.0,3.0,0.0,1.0,,56.8,14.0,1.0,3.0,9.0,2.0,48.0,4.0,476.0,7.0,,6.0,16.0,6.0,23.0,3.0,210.0,6.0,7.0,16.0,61.0,24.0,2.0,1.0,14.0,15.0,11.0,3.0,17.0,1.0,10.0,4.0,,,1.0,,,,,1.0,4.0,1.0,1.0,,,,,,,7.0,,1.0,1.0,1.0,,,,,1.0,,2.0,,,,2.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210318,2021-09-19 16:30:00,"Tottenham Hotspur Stadium, London",60059.0,Away,Chelsea,Tottenham Hotspur,3,0,W,0,0,0,0,,2.0,,26.0,61.0,1.0,29.0,19.0,3.0,8.0,17.0,2.0,,2.0,169.0,10.0,7.0,8.0,3.0,,17.0,,10.0,111.0,126.0,45.0,,20.0,,12.0,7.0,1.0,1.0,3.0,1.0,25.0,8.0,,,19.0,9.0,9.0,37.0,240.0,1.0,1.0,1.0,0.0,144.0,15.0,1.0,,2.0,,76.0,42.0,15.0,93.0,16.0,22.0,3.0,,,3.0,2.0,126.0,3.0,152.0,729.0,13.0,40.0,3.0,15.0,446.0,21.0,1.0,6.0,3.0,1.0,1.0,2.0,16.0,513.0,45.0,2.0,91651,11.0,224.0,13.0,251.0,11.0,,2.0,1.0,22.0,4.0,54.0,3.0,2.0,6.0,1.0,16.0,4.0,,44.0,457.0,4.0,7.0,10.0,5.0,53.0,,,0.0,,1.0,5.0,1.0,2.0,0.0,3.0,4.0,53.0,14.0,3.0,2.0,6.0,7.0,38.0,11.0,525.0,15.0,,10.0,28.0,3.0,35.0,1.0,299.0,8.0,9.0,18.0,120.0,28.0,,1.0,6.0,15.0,15.0,2.0,18.0,1.0,10.0,11.0,1.0,7.0,,1.0,1.0,,1.0,2.0,1.0,3.0,6.0,,1.0,3.0,,,,5.0,1.0,,2.0,,,4.0,2.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210323,2021-09-25 12:30:00,"Stamford Bridge, London",40036.0,Home,Chelsea,Manchester City,0,1,L,0,0,0,0,,,,33.0,49.0,,26.0,24.0,2.0,3.0,2.0,2.0,,,142.0,21.0,1.0,10.0,,2.0,4.0,,,106.0,125.0,50.0,1.0,5.0,2.0,9.0,,1.0,,,,17.0,6.0,,,24.0,4.0,1.0,31.0,83.0,,,,0.0,69.0,12.0,1.0,,,,22.0,38.0,3.0,46.0,13.0,17.0,3.0,1.0,,8.0,1.0,125.0,11.0,119.0,594.0,4.0,11.0,,7.0,316.0,34.0,3.0,12.0,,3.0,6.0,1.0,13.0,385.0,38.0,1.0,91651,,259.0,5.0,287.0,5.0,,,1.0,17.0,13.0,46.0,3.0,,6.0,,16.0,11.0,,49.0,341.0,9.0,9.0,13.0,,44.0,,,0.0,,2.0,13.0,3.0,,0.0,1.0,,40.9,13.0,,1.0,6.0,4.0,28.0,4.0,413.0,7.0,,8.0,18.0,1.0,23.0,,143.0,2.0,1.0,18.0,37.0,8.0,,4.0,12.0,13.0,4.0,3.0,18.0,4.0,10.0,4.0,,2.0,,,,,,,1.0,,5.0,,,,,,,4.0,,,,,,,,,3.0,,3.0,1.0,1.0,,3.0,,,1.0,,,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210333,2021-10-02 15:00:00,"Stamford Bridge, London",40109.0,Home,Chelsea,Southampton,3,1,W,1,0,0,1,,2.0,2.0,29.0,56.0,1.0,31.0,11.0,3.0,8.0,17.0,1.0,2.0,4.0,193.0,19.0,4.0,19.0,3.0,2.0,15.0,,9.0,146.0,137.0,62.0,,20.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,18.0,10.0,,1.0,11.0,6.0,8.0,33.0,195.0,,,,0.0,122.0,11.0,1.0,1.0,1.0,,41.0,74.0,12.0,84.0,12.0,20.0,3.0,,,3.0,1.0,137.0,2.0,123.0,763.0,11.0,36.0,,5.0,448.0,24.0,4.0,6.0,2.0,1.0,1.0,3.0,30.0,526.0,46.0,,91651,6.0,277.0,9.0,299.0,7.0,,,,20.0,4.0,51.0,,1.0,2.0,2.0,18.0,4.0,1.0,52.0,468.0,13.0,12.0,14.0,4.0,61.0,,,0.0,,,2.0,,3.0,0.0,2.0,3.0,61.6,28.0,3.0,3.0,2.0,5.0,35.0,7.0,546.0,5.0,,19.0,24.0,6.0,28.0,3.0,265.0,9.0,7.0,14.0,93.0,26.0,1.0,,6.0,16.0,16.0,3.0,24.0,,12.0,7.0,1.0,4.0,1.0,1.0,,,1.0,,2.0,5.0,6.0,2.0,,4.0,,,,4.0,1.0,1.0,1.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,,,2.0,2.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,
8,2210343,2021-10-16 17:30:00,"Gtech Community Stadium, Brentford",16940.0,Away,Chelsea,Brentford,1,0,W,1,0,0,0,,,,30.0,68.0,,14.0,41.0,4.0,2.0,1.0,6.0,1.0,,181.0,10.0,,11.0,1.0,2.0,2.0,,1.0,142.0,133.0,61.0,2.0,5.0,1.0,35.0,,,,,,16.0,7.0,,,41.0,5.0,5.0,31.0,268.0,2.0,1.0,,0.0,164.0,8.0,2.0,1.0,,1.0,64.0,88.0,,82.0,11.0,15.0,4.0,2.0,,4.0,3.0,133.0,13.0,135.0,751.0,2.0,20.0,,10.0,445.0,30.0,3.0,20.0,,1.0,8.0,2.0,11.0,526.0,55.0,,91651,1.0,190.0,6.0,216.0,6.0,,,1.0,15.0,1.0,70.0,5.0,,5.0,1.0,10.0,,,43.0,458.0,13.0,11.0,20.0,1.0,58.0,,,0.0,,2.0,5.0,6.0,1.0,0.0,,,56.1,8.0,3.0,,5.0,1.0,35.0,5.0,540.0,10.0,1.0,8.0,12.0,3.0,30.0,,340.0,3.0,5.0,17.0,127.0,28.0,,3.0,20.0,20.0,2.0,3.0,19.0,3.0,9.0,5.0,1.0,,,,2.0,,,,,,4.0,,2.0,,,,,4.0,,1.0,,,,,,,1.0,,4.0,,2.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
9,2210354,2021-10-23 12:30:00,"Stamford Bridge, London",40113.0,Home,Chelsea,Norwich City,7,0,W,3,0,0,1,1.0,2.0,4.0,21.0,60.0,1.0,20.0,4.0,12.0,8.0,11.0,1.0,1.0,5.0,181.0,14.0,,8.0,7.0,3.0,21.0,1.0,13.0,170.0,101.0,51.0,,23.0,1.0,6.0,3.0,3.0,5.0,,3.0,10.0,12.0,1.0,4.0,4.0,2.0,6.0,32.0,318.0,,1.0,1.0,0.0,214.0,14.0,,2.0,1.0,,75.0,78.0,15.0,101.0,8.0,19.0,12.0,,,1.0,6.0,101.0,1.0,174.0,785.0,16.0,26.0,,5.0,543.0,23.0,2.0,3.0,5.0,0.0,1.0,6.0,15.0,601.0,54.0,3.0,91651,6.0,249.0,7.0,261.0,7.0,,5.0,1.0,19.0,6.0,42.0,4.0,,2.0,5.0,15.0,6.0,3.0,34.0,567.0,14.0,11.0,5.0,3.0,52.0,1.0,,0.0,,2.0,,1.0,6.0,0.0,,,61.8,13.0,7.0,2.0,2.0,3.0,36.0,5.0,626.0,5.0,,9.0,17.0,7.0,30.0,1.0,375.0,15.0,6.0,10.0,179.0,28.0,4.0,,3.0,19.0,17.0,3.0,11.0,,12.0,5.0,,2.0,1.0,,,1.0,,,1.0,4.0,5.0,,,1.0,,2.0,1.0,2.0,,,4.0,2.0,,,,,1.0,,1.0,,2.0,,1.0,,,,,1.0,,,2.0,,,1.0,3.0,,,,,,,2.0,4.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10,2210366,2021-10-30 15:00:00,"St. James' Park, Newcastle",52208.0,Away,Chelsea,Newcastle United,3,0,W,0,0,0,0,,1.0,1.0,21.0,58.0,,16.0,10.0,10.0,7.0,9.0,1.0,1.0,2.0,208.0,14.0,2.0,9.0,3.0,3.0,12.0,,6.0,214.0,119.0,50.0,1.0,19.0,4.0,21.0,,3.0,,2.0,1.0,19.0,4.0,1.0,3.0,10.0,2.0,6.0,30.0,500.0,,1.0,,0.0,317.0,12.0,,3.0,,,105.0,97.0,8.0,116.0,17.0,15.0,10.0,1.0,1.0,5.0,3.0,119.0,4.0,235.0,927.0,11.0,30.0,,3.0,682.0,19.0,3.0,6.0,,2.0,2.0,4.0,15.0,757.0,91.0,1.0,89335,5.0,200.0,12.0,222.0,4.0,,2.0,,15.0,2.0,52.0,1.0,,2.0,2.0,11.0,2.0,4.0,30.0,698.0,13.0,10.0,8.0,1.0,52.0,,,0.0,,,,1.0,3.0,0.0,1.0,1.0,79.2,13.0,4.0,,2.0,7.0,43.0,2.0,773.0,3.0,1.0,1.0,14.0,6.0,49.0,3.0,570.0,11.0,6.0,17.0,275.0,33.0,,,6.0,12.0,16.0,3.0,18.0,,3.0,2.0,,3.0,,,1.0,,,,1.0,2.0,3.0,1.0,1.0,2.0,,,1.0,2.0,,1.0,,1.0,,1.0,,,,,4.0,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
