gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attIboxBlocked,attLfTotal,fouledFinalThird,attFreekickTotal,attOboxBlocked,attOboxTarget,attSvHighRight,attSvHighLeft,freekickCross,attFreekickPost,freekickTotal,attObxdRight,attMissHighLeft,attSetpiece,attCmissHigh,attCmissLeft,attOboxPost,attPostHigh,attSvHighCentre,blockedScoringAtt,goalsConcededObox,goalAssistSetplay,attGoalHighRight,overrun,goalsConceded,goalAssistIntentional,forwardGoals,ptsDroppedWinningPos,attMissHighRight,attLgCentre,attCmissHighLeft,goalsConcededIbox,attGoalLowRight,attLfGoal,penaltyWon,secondYellow,contentiousDecision,attPenGoal,attGoalLowCentre,shotFastbreak,attOneOnOne,ptsGainedLosingPos,totalFastbreak,attSvLowLeft,sixYardBlock,defenderGoals,attFastbreak,clearanceOffLine,attHdTarget,accurateFreekickCross,attSvLowRight,punches,attPostLeft,goalAssistDeadball,errorLeadToShot,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdLeft,attFreekickMiss,ownGoals,foulThrowIn,attIboxOwnGoal,accuratePullBack,attLgRight,attObxLeft,attOboxGoal,errorLeadToGoal,goalFastbreak,attGoalHighLeft,attHdPost,attFreekickTarget
1,2210271,2021-08-13 20:00:00,"Gtech Community Stadium, Brentford",16479,Home,Brentford,Arsenal,2,0,W,1,0,0,0,1.0,27.0,56.0,1.0,2.0,22.0,19.0,1.0,7.0,4.0,1.0,145.0,19.0,2.0,7.0,2.0,6.0,1.0,3.0,57.0,151.0,51.0,8.0,20.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,12.0,19.0,2.0,4.0,28.0,97.0,1.0,0.0,84.0,12.0,2.0,2.0,2.0,46.0,28.0,2.0,49.0,1.0,1.0,7.0,15.0,1.0,1.0,3.0,1.0,151.0,1.0,13.0,58.0,479.0,4.0,12.0,20.0,1.0,9.0,188.0,22.0,7.0,5.0,1.0,1.0,0.0,4.0,4.0,19.0,280.0,44.0,1.0,61810,1.0,106.0,1.0,4.0,138.0,6.0,1.0,2.0,15.0,16.0,50.0,1.0,1.0,5.0,1.0,16.0,9.0,6.0,2.0,65.0,201.0,7.0,9.0,1.0,30.0,1.0,66.0,0.0,5.0,2.0,2.0,4.0,0.0,1.0,2.0,3.0,35.3,9.0,2.0,4.0,1.0,5.0,23.0,2.0,2.0,309.0,9.0,5.0,14.0,5.0,1.0,20.0,1.0,3.0,180.0,5.0,3.0,17.0,49.0,18.0,3.0,5.0,20.0,1.0,6.0,3.0,11.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210284,2021-08-21 15:00:00,"Selhurst Park, London",23091,Away,Brentford,Crystal Palace,0,0,D,0,0,0,0,,38.0,80.0,,1.0,22.0,11.0,5.0,8.0,2.0,1.0,164.0,17.0,3.0,9.0,,11.0,1.0,3.0,80.0,166.0,63.0,14.0,26.0,2.0,,1.0,,,,2.0,15.0,,8.0,11.0,4.0,4.0,45.0,117.0,1.0,0.0,120.0,9.0,1.0,,2.0,48.0,60.0,6.0,59.0,2.0,2.0,11.0,20.0,6.0,,3.0,2.0,166.0,,5.0,79.0,578.0,8.0,7.0,14.0,1.0,11.0,260.0,26.0,2.0,4.0,,,1.0,,5.0,19.0,363.0,68.0,,61810,3.0,156.0,,4.0,172.0,5.0,,,20.0,6.0,57.0,,2.0,6.0,,21.0,2.0,2.0,1.0,68.0,270.0,10.0,8.0,3.0,23.0,4.0,70.0,0.0,3.0,1.0,,2.0,0.0,1.0,,2.0,47.3,15.0,2.0,6.0,3.0,6.0,20.0,5.0,2.0,382.0,11.0,11.0,19.0,7.0,,28.0,2.0,4.0,225.0,3.0,4.0,21.0,62.0,37.0,1.0,4.0,24.0,,7.0,3.0,13.0,1.0,10.0,5.0,1.0,1.0,2.0,8.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210291,2021-08-28 15:00:00,"Villa Park, Birmingham",42045,Away,Brentford,Aston Villa,1,1,D,1,1,0,0,1.0,30.0,61.0,,,29.0,21.0,2.0,7.0,4.0,1.0,164.0,18.0,1.0,5.0,1.0,9.0,2.0,2.0,95.0,141.0,55.0,9.0,21.0,1.0,2.0,,3.0,,1.0,,7.0,,12.0,21.0,2.0,2.0,45.0,95.0,,0.0,97.0,14.0,3.0,,,36.0,33.0,7.0,62.0,1.0,2.0,5.0,19.0,2.0,,1.0,,141.0,2.0,5.0,114.0,600.0,7.0,6.0,20.0,,6.0,311.0,25.0,7.0,14.0,1.0,3.0,3.0,,2.0,21.0,410.0,57.0,2.0,61810,3.0,240.0,1.0,4.0,265.0,11.0,1.0,,19.0,4.0,57.0,3.0,2.0,7.0,,13.0,2.0,4.0,,72.0,334.0,14.0,10.0,1.0,25.0,2.0,71.0,0.0,3.0,4.0,1.0,2.0,0.0,,1.0,1.0,53.5,16.0,1.0,7.0,2.0,7.0,31.0,2.0,,435.0,6.0,6.0,17.0,2.0,,26.0,1.0,2.0,177.0,7.0,2.0,20.0,44.0,16.0,3.0,14.0,16.0,,7.0,3.0,12.0,3.0,9.0,2.0,,,3.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210302,2021-09-11 15:00:00,"Gtech Community Stadium, Brentford",16518,Home,Brentford,Brighton and Hove Albion,0,1,L,0,0,0,0,,23.0,58.0,,,16.0,17.0,1.0,5.0,1.0,,145.0,5.0,2.0,8.0,,7.0,,1.0,77.0,147.0,56.0,7.0,11.0,1.0,1.0,,2.0,,1.0,1.0,20.0,,17.0,17.0,,2.0,13.0,107.0,,0.0,83.0,9.0,1.0,,,56.0,25.0,1.0,46.0,2.0,,20.0,22.0,2.0,,7.0,2.0,147.0,1.0,3.0,68.0,527.0,7.0,4.0,16.0,,13.0,232.0,25.0,6.0,8.0,,2.0,3.0,1.0,6.0,22.0,312.0,34.0,,61810,2.0,145.0,1.0,12.0,187.0,3.0,,,22.0,6.0,45.0,,,3.0,,20.0,1.0,4.0,3.0,44.0,250.0,12.0,9.0,,26.0,,52.0,0.0,6.0,1.0,,2.0,0.0,2.0,1.0,1.0,41.3,17.0,1.0,5.0,2.0,3.0,26.0,1.0,,336.0,13.0,15.0,5.0,6.0,,24.0,,4.0,169.0,2.0,2.0,15.0,64.0,18.0,3.0,8.0,21.0,,6.0,3.0,9.0,3.0,10.0,1.0,,1.0,,4.0,4.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210320,2021-09-18 12:30:00,"Molineux Stadium, Wolverhampton",29724,Away,Brentford,Wolverhampton Wanderers,2,0,W,2,0,1,0,2.0,23.0,55.0,,,21.0,28.0,3.0,6.0,,,134.0,15.0,1.0,8.0,2.0,6.0,,3.0,82.0,122.0,47.0,9.0,12.0,1.0,1.0,1.0,2.0,1.0,1.0,,7.0,1.0,9.0,28.0,2.0,1.0,28.0,101.0,1.0,0.0,84.0,7.0,,,,41.0,29.0,2.0,39.0,1.0,2.0,5.0,18.0,3.0,,2.0,3.0,122.0,1.0,4.0,69.0,486.0,5.0,5.0,13.0,1.0,10.0,224.0,28.0,4.0,8.0,1.0,2.0,2.0,3.0,4.0,16.0,298.0,51.0,1.0,61810,4.0,142.0,1.0,2.0,157.0,2.0,1.0,,18.0,11.0,47.0,5.0,2.0,4.0,1.0,14.0,7.0,8.0,,53.0,242.0,10.0,20.0,,16.0,,64.0,0.0,4.0,,2.0,3.0,1.0,,,1.0,38.1,9.0,1.0,3.0,,4.0,28.0,2.0,,324.0,10.0,3.0,9.0,5.0,,17.0,1.0,1.0,174.0,3.0,1.0,14.0,46.0,15.0,2.0,8.0,15.0,,8.0,3.0,14.0,2.0,10.0,2.0,1.0,1.0,1.0,5.0,3.0,,,,,,1.0,,,,2.0,,,,,1.0,,1.0,,,,2.0,,1.0,2.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210322,2021-09-25 17:30:00,"Gtech Community Stadium, Brentford",16876,Home,Brentford,Liverpool,3,3,D,1,1,0,0,3.0,26.0,50.0,,,20.0,31.0,2.0,10.0,3.0,,137.0,15.0,5.0,8.0,3.0,6.0,,4.0,54.0,127.0,53.0,12.0,23.0,1.0,,1.0,3.0,,,,13.0,1.0,6.0,31.0,2.0,2.0,33.0,113.0,,0.0,103.0,8.0,2.0,1.0,1.0,57.0,25.0,2.0,37.0,4.0,2.0,11.0,13.0,2.0,,4.0,2.0,127.0,3.0,9.0,43.0,449.0,5.0,7.0,21.0,1.0,15.0,166.0,16.0,4.0,16.0,1.0,3.0,1.0,5.0,4.0,15.0,242.0,57.0,1.0,61810,5.0,73.0,2.0,6.0,87.0,4.0,,,13.0,10.0,46.0,5.0,4.0,4.0,2.0,9.0,7.0,4.0,2.0,58.0,181.0,7.0,5.0,,24.0,1.0,73.0,0.0,11.0,3.0,3.0,3.0,0.0,5.0,1.0,3.0,32.7,11.0,2.0,2.0,1.0,4.0,30.0,2.0,1.0,271.0,15.0,8.0,16.0,6.0,,24.0,,3.0,197.0,5.0,2.0,25.0,59.0,20.0,,16.0,14.0,1.0,10.0,3.0,11.0,,6.0,2.0,,1.0,2.0,4.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,1.0,,2.0,1.0,1.0,,1.0,3.0,1.0,,2.0,1.0,,,2.0,1.0,2.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,2210339,2021-10-03 14:00:00,"London Stadium, London",49940,Away,Brentford,West Ham United,2,1,W,1,0,0,0,1.0,27.0,48.0,2.0,2.0,16.0,28.0,2.0,11.0,4.0,1.0,147.0,15.0,4.0,5.0,2.0,6.0,,6.0,49.0,154.0,51.0,13.0,25.0,4.0,3.0,1.0,,,,1.0,17.0,,4.0,28.0,6.0,4.0,29.0,83.0,,0.0,75.0,13.0,,,1.0,43.0,38.0,5.0,38.0,3.0,,11.0,17.0,2.0,,3.0,,154.0,,11.0,52.0,481.0,5.0,4.0,16.0,1.0,10.0,168.0,18.0,4.0,12.0,,,3.0,7.0,1.0,20.0,254.0,46.0,2.0,61810,5.0,105.0,,5.0,136.0,7.0,1.0,,17.0,15.0,62.0,2.0,1.0,5.0,1.0,14.0,7.0,6.0,1.0,53.0,184.0,16.0,9.0,1.0,22.0,3.0,64.0,0.0,11.0,2.0,2.0,1.0,0.0,3.0,,3.0,40.1,12.0,1.0,1.0,1.0,5.0,18.0,6.0,1.0,286.0,10.0,8.0,16.0,3.0,,19.0,1.0,2.0,167.0,6.0,2.0,25.0,39.0,22.0,3.0,12.0,5.0,,5.0,3.0,12.0,3.0,7.0,6.0,,1.0,3.0,4.0,3.0,1.0,1.0,,,,3.0,,1.0,,,4.0,1.0,1.0,1.0,1.0,,4.0,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,3.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
8,2210343,2021-10-16 17:30:00,"Gtech Community Stadium, Brentford",16940,Home,Brentford,Chelsea,0,1,L,0,1,0,0,,30.0,62.0,,,25.0,13.0,4.0,13.0,,5.0,155.0,20.0,8.0,11.0,,7.0,,7.0,104.0,167.0,70.0,17.0,17.0,6.0,1.0,2.0,1.0,,4.0,,26.0,2.0,7.0,13.0,4.0,3.0,51.0,152.0,,0.0,131.0,13.0,,,3.0,33.0,64.0,6.0,59.0,1.0,1.0,22.0,17.0,4.0,,9.0,1.0,167.0,1.0,1.0,87.0,608.0,7.0,16.0,40.0,3.0,4.0,286.0,23.0,5.0,7.0,,1.0,1.0,1.0,1.0,29.0,383.0,57.0,,61810,10.0,161.0,2.0,11.0,178.0,7.0,,,17.0,5.0,61.0,,1.0,8.0,,18.0,4.0,5.0,,55.0,305.0,8.0,11.0,,19.0,3.0,62.0,0.0,5.0,,,5.0,0.0,8.0,,4.0,43.9,19.0,,3.0,1.0,8.0,29.0,5.0,3.0,405.0,4.0,13.0,28.0,3.0,1.0,43.0,,,253.0,8.0,3.0,35.0,76.0,23.0,1.0,7.0,16.0,,10.0,2.0,18.0,1.0,5.0,5.0,,1.0,5.0,5.0,1.0,,2.0,1.0,,,2.0,,,,,,,,,,2.0,7.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,2210352,2021-10-24 14:00:00,"Gtech Community Stadium, Brentford",16814,Home,Brentford,Leicester City,1,2,L,0,1,0,0,,29.0,75.0,,3.0,23.0,10.0,5.0,10.0,4.0,1.0,159.0,16.0,7.0,4.0,1.0,13.0,,5.0,104.0,165.0,52.0,15.0,21.0,3.0,1.0,,,,,2.0,26.0,,12.0,10.0,7.0,6.0,50.0,171.0,,0.0,131.0,13.0,2.0,,,65.0,53.0,7.0,70.0,,2.0,19.0,17.0,5.0,,11.0,2.0,165.0,1.0,4.0,112.0,636.0,11.0,7.0,27.0,,13.0,327.0,23.0,,5.0,1.0,,1.0,1.0,6.0,21.0,428.0,70.0,1.0,61810,7.0,176.0,1.0,6.0,193.0,6.0,,,17.0,6.0,56.0,2.0,3.0,2.0,,17.0,6.0,6.0,1.0,61.0,340.0,7.0,4.0,1.0,14.0,5.0,65.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,,6.0,54.4,18.0,2.0,9.0,,2.0,32.0,9.0,,445.0,13.0,9.0,26.0,6.0,,49.0,4.0,4.0,278.0,5.0,6.0,21.0,64.0,40.0,,5.0,20.0,1.0,8.0,3.0,13.0,,8.0,9.0,,1.0,2.0,4.0,4.0,,2.0,1.0,,,2.0,,,,,1.0,,1.0,,,1.0,4.0,1.0,1.0,,,2.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,2.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,
10,2210362,2021-10-30 15:00:00,"Turf Moor, Burnley",18821,Away,Brentford,Burnley,1,3,L,0,3,0,0,,34.0,74.0,1.0,,31.0,16.0,6.0,6.0,2.0,3.0,197.0,18.0,3.0,2.0,1.0,5.0,1.0,5.0,127.0,176.0,38.0,12.0,20.0,2.0,,,,1.0,3.0,1.0,22.0,,10.0,16.0,1.0,8.0,58.0,146.0,,0.0,105.0,10.0,2.0,,2.0,32.0,60.0,3.0,66.0,1.0,1.0,21.0,16.0,6.0,,12.0,2.0,176.0,,9.0,131.0,695.0,3.0,6.0,13.0,,15.0,380.0,29.0,2.0,7.0,1.0,,1.0,1.0,2.0,20.0,498.0,62.0,,61810,5.0,255.0,,9.0,294.0,7.0,1.0,,16.0,8.0,45.0,,4.0,8.0,1.0,16.0,6.0,7.0,,77.0,398.0,7.0,7.0,1.0,20.0,1.0,88.0,0.0,4.0,3.0,1.0,,0.0,3.0,,,59.4,14.0,,1.0,,8.0,38.0,2.0,2.0,521.0,15.0,3.0,20.0,3.0,,34.0,,1.0,249.0,9.0,8.0,17.0,61.0,33.0,1.0,7.0,12.0,,8.0,3.0,7.0,1.0,7.0,2.0,,1.0,2.0,3.0,1.0,1.0,2.0,2.0,,,,,1.0,,1.0,1.0,,,,,,4.0,1.0,,,,3.0,1.0,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
