gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attIboxBlocked,attGoalLowCentre,midfielderGoals,contentiousDecision,attRfGoal,punches,goalsConceded,goalsConcededIbox,errorLeadToGoal,attGoalLowLeft,attOneOnOne,freekickCross,attOboxMiss,bigChanceCreated,attMissHighLeft,bigChanceMissed,penaltyConceded,attMissHigh,attAssistSetplay,attCorner,attGoalHighLeft,attCmissLeft,penaltyFaced,penGoalsConceded,accurateCornersIntobox,postScoringAtt,attIboxPost,goodHighClaim,attHdPost,hitWoodwork,sixYardBlock,attPostHigh,attHdTotal,attHdMiss,totalHighClaim,handBall,attSetpiece,attCmissHigh,attSvHighCentre,accuratePullBack,attMissHighRight,ptsGainedLosingPos,ownGoals,attCmissHighRight,attIboxOwnGoal,attOboxGoal,accurateFreekickCross,ptsDroppedWinningPos,goalsConcededObox,attGoalLowRight,attFreekickTotal,attGoalHighRight,freekickTotal,defenderGoals,goalFastbreak,attSvHighRight,attFreekickTarget,foulThrowIn,goalAssistSetplay,goalAssistDeadball,attCmissHighLeft,attHdGoal,attSvHighLeft,attHdTarget,penaltyWon,attPenGoal,attFreekickMiss,clearanceOffLine,penaltySave,attLgCentre,attFreekickGoal
1,2210275,2021-08-14 15:00:00,"King Power Stadium, Leicester",31983,Home,Leicester City,Wolverhampton Wanderers,1,0,W,1,0,0,0,2.0,28.0,56.0,1.0,16.0,15.0,3.0,4.0,6.0,3.0,1.0,2.0,163.0,14.0,2.0,7.0,1.0,2.0,8.0,1.0,5.0,162.0,134.0,42.0,9.0,1.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,11.0,2.0,15.0,2.0,4.0,22.0,178.0,1.0,0.0,105.0,6.0,2.0,1.0,2.0,58.0,55.0,6.0,81.0,1.0,1.0,5.0,24.0,3.0,1.0,1.0,134.0,12.0,178.0,781.0,7.0,2.0,14.0,11.0,484.0,20.0,6.0,8.0,1.0,1.0,1.0,7.0,2.0,26.0,557.0,41.0,2.0,2.0,95463,3.0,329.0,4.0,349.0,3.0,1.0,24.0,8.0,59.0,4.0,5.0,7.0,1.0,18.0,5.0,6.0,35.0,505.0,10.0,21.0,14.0,64.0,1.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,56.3,21.0,7.0,1.0,7.0,1.0,43.0,5.0,584.0,11.0,7.0,7.0,3.0,18.0,3.0,242.0,5.0,4.0,10.0,64.0,21.0,1.0,2.0,8.0,15.0,9.0,3.0,20.0,2.0,17.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210289,2021-08-23 20:00:00,"London Stadium, London",59901,Away,Leicester City,West Ham United,1,4,L,0,1,1,0,,26.0,50.0,2.0,16.0,25.0,1.0,1.0,4.0,3.0,,,155.0,14.0,,5.0,1.0,,3.0,1.0,1.0,130.0,111.0,36.0,5.0,1.0,21.0,,,,,,,1.0,3.0,7.0,,25.0,,3.0,33.0,129.0,,0.0,74.0,8.0,2.0,,,63.0,45.0,1.0,81.0,,1.0,3.0,10.0,1.0,,1.0,111.0,15.0,142.0,650.0,3.0,1.0,11.0,14.0,405.0,23.0,3.0,13.0,,,1.0,2.0,2.0,15.0,481.0,38.0,,,95463,3.0,298.0,2.0,324.0,6.0,1.0,10.0,11.0,54.0,1.0,,2.0,1.0,8.0,4.0,10.0,45.0,427.0,8.0,10.0,14.0,63.0,,,0.0,2.0,10.0,1.0,1.0,,1.0,,,,48.6,13.0,1.0,,2.0,2.0,36.0,,508.0,14.0,8.0,10.0,2.0,12.0,2.0,187.0,4.0,2.0,10.0,42.0,23.0,,3.0,13.0,13.0,5.0,3.0,12.0,3.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210297,2021-08-28 15:00:00,"Carrow Road, Norwich",26765,Away,Leicester City,Norwich City,2,1,W,1,1,0,0,,23.0,57.0,2.0,16.0,17.0,2.0,1.0,7.0,3.0,,1.0,162.0,9.0,2.0,14.0,2.0,,5.0,,3.0,116.0,153.0,52.0,9.0,1.0,13.0,1.0,1.0,1.0,,2.0,1.0,2.0,19.0,12.0,,17.0,9.0,3.0,36.0,140.0,,0.0,91.0,9.0,1.0,1.0,,51.0,67.0,3.0,69.0,1.0,1.0,10.0,13.0,2.0,,3.0,153.0,5.0,124.0,645.0,2.0,2.0,16.0,9.0,350.0,20.0,2.0,12.0,2.0,,1.0,4.0,2.0,21.0,451.0,51.0,,,95463,5.0,226.0,6.0,255.0,4.0,,13.0,9.0,46.0,,2.0,7.0,2.0,7.0,9.0,7.0,57.0,364.0,7.0,6.0,16.0,69.0,1.0,,0.0,,9.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,55.7,19.0,3.0,,7.0,1.0,36.0,9.0,471.0,9.0,9.0,10.0,5.0,33.0,4.0,235.0,8.0,3.0,14.0,44.0,27.0,1.0,1.0,12.0,17.0,7.0,3.0,23.0,1.0,5.0,9.0,1.0,,,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210307,2021-09-11 15:00:00,"King Power Stadium, Leicester",32087,Home,Leicester City,Manchester City,0,1,L,0,0,0,0,,21.0,50.0,1.0,27.0,21.0,,1.0,6.0,7.0,,1.0,140.0,14.0,5.0,6.0,,1.0,5.0,,1.0,89.0,114.0,46.0,6.0,,8.0,1.0,1.0,,,,1.0,1.0,14.0,10.0,,21.0,5.0,2.0,50.0,77.0,,0.0,66.0,4.0,3.0,1.0,,26.0,41.0,2.0,44.0,1.0,,9.0,19.0,,,3.0,114.0,21.0,91.0,543.0,4.0,5.0,17.0,3.0,276.0,26.0,,13.0,,,1.0,10.0,3.0,12.0,337.0,43.0,1.0,1.0,95463,4.0,223.0,5.0,245.0,3.0,,19.0,10.0,31.0,3.0,2.0,10.0,,20.0,4.0,7.0,58.0,295.0,10.0,5.0,6.0,54.0,1.0,,0.0,,8.0,6.0,,4.0,0.0,2.0,,,39.5,12.0,,1.0,10.0,2.0,27.0,5.0,364.0,3.0,8.0,26.0,3.0,15.0,2.0,133.0,2.0,2.0,12.0,33.0,13.0,,2.0,13.0,18.0,5.0,3.0,12.0,2.0,11.0,5.0,,2.0,,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210312,2021-09-19 14:00:00,"American Express Stadium, Falmer",31078,Away,Leicester City,Brighton and Hove Albion,1,2,L,0,1,0,0,,33.0,49.0,1.0,18.0,11.0,7.0,4.0,7.0,3.0,1.0,2.0,147.0,13.0,5.0,12.0,1.0,1.0,13.0,2.0,3.0,156.0,137.0,47.0,14.0,3.0,18.0,,,1.0,1.0,1.0,1.0,1.0,25.0,9.0,2.0,11.0,8.0,3.0,31.0,260.0,,0.0,161.0,10.0,,,,94.0,62.0,9.0,81.0,1.0,3.0,17.0,17.0,7.0,,9.0,137.0,9.0,165.0,742.0,10.0,3.0,34.0,10.0,452.0,18.0,,6.0,1.0,1.0,1.0,2.0,4.0,26.0,527.0,66.0,,,95463,4.0,216.0,8.0,240.0,5.0,2.0,17.0,6.0,62.0,1.0,2.0,2.0,1.0,14.0,3.0,6.0,35.0,471.0,7.0,16.0,6.0,47.0,,,0.0,1.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,62.9,23.0,1.0,1.0,2.0,6.0,38.0,9.0,549.0,10.0,15.0,19.0,5.0,36.0,3.0,334.0,9.0,3.0,11.0,121.0,27.0,1.0,,6.0,17.0,11.0,3.0,16.0,,8.0,9.0,1.0,3.0,,,2.0,,,2.0,2.0,,1.0,,,2.0,1.0,,,1.0,1.0,2.0,2.0,,,1.0,1.0,4.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210327,2021-09-25 15:00:00,"King Power Stadium, Leicester",31650,Home,Leicester City,Burnley,2,2,D,1,2,0,0,2.0,23.0,64.0,1.0,32.0,13.0,8.0,6.0,14.0,2.0,1.0,1.0,192.0,11.0,3.0,10.0,2.0,1.0,17.0,1.0,5.0,145.0,150.0,55.0,22.0,6.0,18.0,2.0,,,1.0,2.0,2.0,2.0,25.0,14.0,1.0,13.0,6.0,6.0,45.0,244.0,,0.0,175.0,10.0,1.0,,,86.0,77.0,12.0,71.0,4.0,1.0,19.0,13.0,8.0,,4.0,150.0,5.0,168.0,775.0,15.0,7.0,50.0,7.0,462.0,30.0,5.0,11.0,2.0,1.0,2.0,1.0,5.0,27.0,552.0,45.0,2.0,,95463,7.0,241.0,14.0,281.0,5.0,2.0,13.0,7.0,47.0,3.0,1.0,8.0,2.0,12.0,5.0,5.0,61.0,482.0,8.0,6.0,18.0,66.0,,1.0,0.0,7.0,4.0,1.0,2.0,,0.0,3.0,2.0,1.0,67.1,26.0,4.0,4.0,8.0,11.0,46.0,8.0,576.0,7.0,10.0,24.0,6.0,43.0,5.0,320.0,15.0,4.0,20.0,139.0,21.0,2.0,1.0,11.0,17.0,19.0,3.0,13.0,1.0,5.0,8.0,1.0,5.0,1.0,,,1.0,,2.0,2.0,,1.0,,1.0,1.0,2.0,,1.0,,2.0,,3.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210334,2021-10-03 14:00:00,"Selhurst Park, London",22445,Away,Leicester City,Crystal Palace,2,2,D,2,0,0,0,2.0,35.0,76.0,,27.0,27.0,3.0,4.0,6.0,2.0,1.0,1.0,166.0,16.0,1.0,10.0,2.0,3.0,5.0,,5.0,66.0,169.0,70.0,9.0,,19.0,1.0,,,,1.0,1.0,2.0,9.0,12.0,2.0,27.0,3.0,4.0,49.0,97.0,,0.0,73.0,11.0,,,2.0,39.0,54.0,3.0,66.0,1.0,,6.0,17.0,3.0,,1.0,169.0,14.0,84.0,586.0,3.0,10.0,13.0,13.0,240.0,34.0,2.0,12.0,1.0,,3.0,4.0,2.0,14.0,349.0,48.0,,,95463,3.0,166.0,3.0,207.0,9.0,,17.0,11.0,60.0,,1.0,,2.0,21.0,4.0,7.0,73.0,262.0,15.0,14.0,15.0,81.0,,,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,,40.0,12.0,6.0,3.0,,2.0,39.0,3.0,382.0,13.0,13.0,19.0,2.0,12.0,2.0,184.0,4.0,3.0,15.0,29.0,32.0,2.0,2.0,12.0,30.0,7.0,3.0,13.0,2.0,6.0,3.0,2.0,2.0,,,,1.0,,2.0,2.0,,2.0,1.0,2.0,,1.0,,,,,1.0,1.0,,2.0,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
8,2210345,2021-10-16 15:00:00,"King Power Stadium, Leicester",32219,Home,Leicester City,Manchester United,4,2,W,1,1,0,0,1.0,22.0,58.0,3.0,29.0,7.0,9.0,8.0,13.0,4.0,1.0,6.0,153.0,16.0,1.0,6.0,4.0,3.0,11.0,3.0,11.0,144.0,118.0,46.0,22.0,2.0,8.0,5.0,1.0,2.0,1.0,3.0,4.0,,9.0,7.0,2.0,7.0,3.0,4.0,36.0,177.0,,0.0,101.0,5.0,1.0,1.0,1.0,47.0,48.0,9.0,62.0,,3.0,6.0,17.0,9.0,,2.0,118.0,6.0,140.0,674.0,8.0,2.0,34.0,9.0,397.0,21.0,2.0,4.0,3.0,1.0,0.0,3.0,2.0,12.0,463.0,47.0,1.0,,95463,6.0,249.0,3.0,266.0,1.0,2.0,17.0,11.0,33.0,5.0,2.0,6.0,2.0,18.0,12.0,10.0,59.0,425.0,17.0,6.0,15.0,69.0,1.0,1.0,0.0,,3.0,1.0,4.0,,0.0,1.0,2.0,,48.8,10.0,6.0,2.0,6.0,5.0,43.0,4.0,499.0,9.0,3.0,20.0,6.0,24.0,1.0,242.0,14.0,4.0,11.0,65.0,22.0,1.0,2.0,4.0,12.0,15.0,3.0,17.0,2.0,9.0,4.0,2.0,3.0,1.0,1.0,,3.0,,2.0,1.0,,,,1.0,5.0,2.0,1.0,1.0,,2.0,,4.0,1.0,,,,,,,,,1.0,,,,,,,2.0,,1.0,,,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
9,2210352,2021-10-24 14:00:00,"Gtech Community Stadium, Brentford",16814,Away,Leicester City,Brentford,2,1,W,1,0,0,0,,29.0,66.0,1.0,22.0,41.0,6.0,1.0,4.0,4.0,,4.0,148.0,13.0,2.0,4.0,2.0,1.0,8.0,1.0,6.0,84.0,143.0,56.0,10.0,,21.0,1.0,2.0,,,1.0,2.0,,5.0,9.0,3.0,41.0,1.0,3.0,44.0,128.0,,0.0,73.0,7.0,4.0,3.0,1.0,23.0,54.0,5.0,53.0,1.0,1.0,4.0,14.0,6.0,,3.0,143.0,10.0,102.0,587.0,7.0,2.0,12.0,9.0,265.0,37.0,3.0,26.0,1.0,,1.0,3.0,3.0,19.0,351.0,43.0,2.0,,95463,4.0,160.0,1.0,197.0,6.0,,14.0,12.0,52.0,4.0,1.0,4.0,1.0,15.0,5.0,8.0,69.0,286.0,13.0,4.0,19.0,71.0,2.0,,0.0,,9.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,45.6,16.0,3.0,,4.0,1.0,29.0,2.0,387.0,9.0,13.0,19.0,3.0,12.0,1.0,195.0,8.0,3.0,21.0,45.0,17.0,1.0,2.0,26.0,18.0,9.0,3.0,11.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,,,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
10,2210363,2021-10-30 12:30:00,"King Power Stadium, Leicester",32209,Home,Leicester City,Arsenal,0,2,L,0,2,0,0,2.0,34.0,53.0,1.0,31.0,15.0,8.0,4.0,8.0,4.0,,6.0,186.0,13.0,5.0,4.0,,3.0,10.0,2.0,8.0,169.0,130.0,41.0,16.0,2.0,10.0,4.0,,,,,2.0,2.0,22.0,6.0,4.0,15.0,7.0,6.0,31.0,270.0,,0.0,157.0,8.0,2.0,,3.0,76.0,97.0,6.0,88.0,1.0,2.0,15.0,16.0,8.0,,5.0,130.0,7.0,178.0,797.0,9.0,4.0,25.0,7.0,525.0,25.0,1.0,10.0,,,2.0,3.0,4.0,24.0,601.0,71.0,,1.0,95463,3.0,276.0,10.0,298.0,5.0,2.0,16.0,6.0,34.0,3.0,2.0,6.0,,22.0,2.0,6.0,57.0,541.0,11.0,10.0,10.0,66.0,,2.0,0.0,,6.0,2.0,,2.0,0.0,4.0,,,64.3,23.0,3.0,1.0,6.0,3.0,45.0,7.0,621.0,7.0,1.0,13.0,5.0,33.0,3.0,345.0,9.0,6.0,15.0,117.0,18.0,,1.0,10.0,11.0,11.0,3.0,10.0,1.0,6.0,7.0,,1.0,,,,,,2.0,2.0,,,,,2.0,3.0,,4.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,3.0,1.0,,2.0,2.0,,,2.0,,,1.0,,,,,,,,,,,2.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
