gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,fouledFinalThird,attFreekickTotal,postScoringAtt,attIboxPost,ptsGainedLosingPos,freekickCross,interceptionsInBox,freekickTotal,crosses18yardplus,attHdTarget,hitWoodwork,accurateLaunches,accurateFreekickCross,errorLeadToShot,sixYardBlock,attSetpiece,attOboxOwnGoal,attCmissHigh,ownGoals,attMissHigh,punches,savedIbox,attPostHigh,accurateCrossNocorner,attGoalLowLeft,accurateKeeperSweeper,cleanSheet,totalKeeperSweeper,attSvHighCentre,clearanceOffLine,attObxLeft,attGoalHighRight,attMissHighRight,attOboxGoal,attGoalHighLeft,attObxRight,attLgLeft,goalsConcededIbox,penaltySave,attOneOnOne,goodHighClaim,contentiousDecision,penaltyConceded,penaltyFaced,totalHighClaim,penaltyWon,attMissHighLeft,attPenMiss,attCmissHighRight,ptsDroppedWinningPos,errorLeadToGoal,attSvHighLeft,attIboxOwnGoal,secondYellow,attHdGoal,penGoalsConceded,accuratePullBack,attPenGoal,attFreekickPost,attObxdRight,attOboxPost,attFreekickMiss,attObxdLeft,attFreekickTarget,attHdPost,goalAssistSetplay,goalAssistDeadball,attSvHighRight,defenderGoals,attPostLeft,attFreekickGoal,attPenPost,foulThrowIn,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,expectedGoalsFreekick,attObpGoal,expectedGoals
1,2210276,2021-08-14 12:30:00,"Old Trafford, Manchester",72732,Home,Manchester United,Leeds United,5,1,W,1,0,0,0,1.0,1.0,1.0,2.0,35.0,54.0,1.0,2.0,2.0,25.0,15.0,4.0,9.0,12.0,2.0,4.0,2.0,169.0,3.0,20.0,1.0,12.0,5.0,14.0,1.0,8.0,91.0,147.0,38.0,16.0,1.0,9.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,11.0,4.0,2.0,15.0,5.0,13.0,44.0,142.0,0.0,114.0,11.0,1.0,2.0,4.0,1.0,51.0,49.0,10.0,63.0,1.0,6.0,20.0,4.0,1.0,1.0,147.0,3.0,3.0,99.0,604.0,8.0,5.0,20.0,8.0,313.0,22.0,11.0,5.0,1.0,1.0,4.0,27.0,397.0,56.0,5.0,95658,5.0,193.0,1.0,6.0,220.0,7.0,1.0,1.0,20.0,12.0,51.0,10.0,2.0,3.0,5.0,20.0,7.0,8.0,47.0,334.0,9.0,9.0,1.0,5.0,2.0,49.0,1.0,1.0,2.0,0.0,2.0,4.0,5.0,1.0,1.0,0.0,4.0,1.0,1.0,48.6,25.0,1.0,5.0,2.0,3.0,3.0,31.0,5.0,422.0,8.0,11.0,22.0,5.0,26.0,1.0,4.0,213.0,6.0,13.0,11.0,71.0,24.0,1.0,1.0,11.0,6.0,14.0,3.0,24.0,1.0,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210288,2021-08-22 14:00:00,"St. Mary's Stadium, Southampton",29485,Away,Manchester United,Southampton,1,1,D,0,1,0,0,1.0,,,,33.0,64.0,,2.0,2.0,19.0,12.0,4.0,6.0,11.0,3.0,1.0,,174.0,1.0,17.0,6.0,11.0,1.0,11.0,1.0,4.0,146.0,156.0,57.0,15.0,2.0,11.0,3.0,,,1.0,2.0,,2.0,19.0,10.0,,12.0,7.0,9.0,44.0,218.0,0.0,137.0,10.0,2.0,,1.0,,80.0,68.0,5.0,63.0,2.0,12.0,15.0,4.0,,2.0,156.0,2.0,3.0,137.0,706.0,7.0,1.0,28.0,6.0,401.0,30.0,7.0,1.0,3.0,1.0,6.0,18.0,506.0,43.0,1.0,95658,7.0,203.0,3.0,6.0,238.0,4.0,,,15.0,5.0,53.0,1.0,2.0,3.0,1.0,12.0,6.0,5.0,38.0,415.0,12.0,9.0,3.0,7.0,1.0,69.0,,1.0,,0.0,1.0,7.0,1.0,1.0,,0.0,1.0,,5.0,63.6,18.0,2.0,4.0,1.0,3.0,4.0,40.0,7.0,520.0,6.0,19.0,22.0,7.0,33.0,1.0,4.0,301.0,4.0,7.0,16.0,105.0,27.0,,1.0,7.0,19.0,8.0,3.0,15.0,1.0,6.0,7.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210300,2021-08-29 16:30:00,"Molineux Stadium, Wolverhampton",30621,Away,Manchester United,Wolverhampton Wanderers,1,0,W,0,0,0,0,,,1.0,,22.0,59.0,,2.0,1.0,30.0,14.0,3.0,3.0,7.0,5.0,,1.0,152.0,,11.0,2.0,4.0,1.0,7.0,1.0,3.0,173.0,122.0,30.0,10.0,1.0,15.0,1.0,,3.0,1.0,1.0,,4.0,18.0,5.0,1.0,14.0,7.0,10.0,53.0,230.0,0.0,140.0,9.0,4.0,,,,84.0,71.0,3.0,72.0,1.0,11.0,14.0,3.0,,1.0,122.0,1.0,10.0,155.0,709.0,5.0,3.0,24.0,13.0,462.0,21.0,9.0,1.0,4.0,4.0,4.0,14.0,531.0,59.0,2.0,95658,3.0,250.0,1.0,6.0,263.0,5.0,1.0,,14.0,8.0,54.0,5.0,4.0,4.0,1.0,11.0,5.0,7.0,51.0,478.0,7.0,14.0,1.0,5.0,2.0,67.0,,,1.0,0.0,1.0,5.0,1.0,,1.0,0.0,,,1.0,55.9,14.0,,4.0,1.0,4.0,2.0,49.0,7.0,552.0,13.0,13.0,25.0,5.0,34.0,1.0,4.0,307.0,6.0,9.0,11.0,97.0,29.0,1.0,4.0,9.0,8.0,5.0,3.0,7.0,4.0,7.0,7.0,2.0,1.0,,,,,1.0,1.0,5.0,,,,,1.0,,2.0,,,,,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210308,2021-09-11 15:00:00,"Old Trafford, Manchester",72732,Home,Manchester United,Newcastle United,4,1,W,1,0,0,0,,,1.0,3.0,20.0,50.0,,1.0,2.0,28.0,11.0,6.0,8.0,12.0,2.0,1.0,1.0,142.0,2.0,5.0,4.0,7.0,4.0,17.0,1.0,7.0,197.0,116.0,35.0,21.0,3.0,6.0,2.0,2.0,2.0,3.0,2.0,,4.0,23.0,11.0,1.0,11.0,7.0,9.0,25.0,415.0,0.0,272.0,9.0,1.0,2.0,1.0,1.0,120.0,75.0,9.0,102.0,2.0,16.0,18.0,9.0,,4.0,116.0,4.0,5.0,203.0,820.0,10.0,2.0,41.0,4.0,566.0,19.0,5.0,3.0,1.0,3.0,8.0,16.0,629.0,69.0,,95658,6.0,170.0,2.0,12.0,182.0,7.0,3.0,1.0,18.0,7.0,44.0,1.0,1.0,2.0,4.0,15.0,7.0,7.0,35.0,581.0,2.0,12.0,4.0,3.0,4.0,43.0,2.0,,2.0,0.0,,3.0,3.0,1.0,,0.0,2.0,,3.0,64.1,15.0,2.0,7.0,1.0,2.0,5.0,36.0,7.0,644.0,4.0,8.0,16.0,9.0,36.0,4.0,5.0,485.0,10.0,8.0,7.0,231.0,21.0,2.0,,5.0,19.0,17.0,3.0,16.0,,9.0,7.0,,,,,,,,,4.0,1.0,,1.0,,2.0,1.0,,,,,2.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210319,2021-09-19 14:00:00,"London Stadium, London",59958,Away,Manchester United,West Ham United,2,1,W,1,1,0,0,1.0,2.0,2.0,1.0,21.0,52.0,,1.0,1.0,19.0,18.0,4.0,4.0,12.0,3.0,,6.0,165.0,,9.0,6.0,19.0,2.0,16.0,,10.0,188.0,125.0,47.0,17.0,2.0,12.0,6.0,,2.0,1.0,3.0,,2.0,33.0,9.0,2.0,18.0,11.0,8.0,27.0,341.0,0.0,198.0,8.0,2.0,,,2.0,84.0,100.0,12.0,76.0,,22.0,19.0,5.0,,1.0,125.0,2.0,6.0,195.0,814.0,13.0,3.0,31.0,2.0,545.0,19.0,10.0,1.0,0.0,4.0,4.0,12.0,607.0,59.0,1.0,95658,7.0,227.0,2.0,11.0,238.0,3.0,2.0,1.0,19.0,7.0,46.0,4.0,,6.0,2.0,19.0,7.0,7.0,25.0,562.0,5.0,14.0,2.0,3.0,4.0,47.0,,2.0,,0.0,3.0,2.0,2.0,1.0,1.0,0.0,,,2.0,60.1,12.0,2.0,3.0,2.0,6.0,3.0,40.0,11.0,624.0,2.0,9.0,18.0,4.0,43.0,5.0,3.0,419.0,11.0,8.0,9.0,160.0,23.0,1.0,1.0,10.0,14.0,13.0,3.0,24.0,1.0,9.0,11.0,,,,,3.0,,,,11.0,,1.0,2.0,,1.0,,,,,,,,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210328,2021-09-25 12:30:00,"Old Trafford, Manchester",72922,Home,Manchester United,Aston Villa,0,1,L,0,0,0,0,,,2.0,,22.0,57.0,,1.0,6.0,36.0,21.0,11.0,10.0,17.0,2.0,,1.0,163.0,,14.0,9.0,16.0,,21.0,3.0,4.0,105.0,137.0,58.0,28.0,7.0,11.0,4.0,2.0,4.0,,2.0,,3.0,21.0,8.0,,21.0,2.0,7.0,50.0,158.0,0.0,121.0,9.0,1.0,2.0,,,58.0,59.0,11.0,50.0,4.0,19.0,18.0,11.0,,4.0,137.0,1.0,4.0,91.0,603.0,19.0,6.0,34.0,9.0,293.0,25.0,10.0,,2.0,1.0,10.0,27.0,387.0,49.0,4.0,95658,7.0,164.0,2.0,11.0,210.0,8.0,,1.0,18.0,5.0,35.0,6.0,2.0,2.0,,12.0,3.0,5.0,61.0,313.0,11.0,6.0,2.0,15.0,4.0,50.0,2.0,,3.0,0.0,1.0,5.0,,1.0,1.0,0.0,,2.0,5.0,59.6,22.0,3.0,4.0,5.0,2.0,13.0,29.0,5.0,409.0,9.0,5.0,34.0,11.0,22.0,2.0,7.0,220.0,13.0,5.0,19.0,87.0,24.0,,,10.0,12.0,19.0,3.0,20.0,,3.0,5.0,3.0,2.0,,,,2.0,1.0,2.0,6.0,1.0,,4.0,1.0,1.0,,2.0,,,,1.0,,1.0,,7.0,,,,,2.0,,,,2.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210337,2021-10-02 12:30:00,"Old Trafford, Manchester",73128,Home,Manchester United,Everton,1,1,D,1,0,0,0,,,1.0,,28.0,48.0,,1.0,1.0,28.0,13.0,4.0,3.0,9.0,1.0,,3.0,175.0,,11.0,8.0,11.0,1.0,13.0,,6.0,238.0,146.0,40.0,13.0,,18.0,2.0,,,1.0,1.0,,3.0,28.0,3.0,3.0,13.0,9.0,2.0,26.0,387.0,0.0,274.0,10.0,1.0,,1.0,2.0,132.0,124.0,7.0,77.0,2.0,19.0,22.0,4.0,1.0,1.0,146.0,3.0,10.0,210.0,893.0,9.0,3.0,28.0,6.0,587.0,26.0,6.0,1.0,1.0,4.0,6.0,32.0,679.0,76.0,1.0,90152,5.0,228.0,3.0,12.0,248.0,7.0,1.0,,22.0,7.0,54.0,1.0,2.0,1.0,1.0,10.0,2.0,7.0,49.0,607.0,9.0,6.0,3.0,6.0,3.0,60.0,,,,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,71.8,31.0,4.0,2.0,2.0,1.0,1.0,50.0,10.0,700.0,6.0,7.0,16.0,6.0,40.0,4.0,5.0,480.0,5.0,2.0,13.0,215.0,18.0,,2.0,6.0,7.0,10.0,3.0,24.0,2.0,6.0,10.0,1.0,,,,,,,,7.0,1.0,,1.0,,,,,,,,,,,,4.0,,,,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210345,2021-10-16 15:00:00,"King Power Stadium, Leicester",32219,Away,Manchester United,Leicester City,2,4,L,1,1,0,0,,,1.0,1.0,22.0,65.0,,2.0,,23.0,12.0,12.0,7.0,6.0,7.0,1.0,3.0,156.0,,6.0,4.0,6.0,2.0,16.0,,6.0,149.0,117.0,33.0,18.0,3.0,11.0,1.0,,,2.0,4.0,,4.0,17.0,8.0,3.0,12.0,3.0,10.0,34.0,211.0,0.0,151.0,17.0,2.0,,1.0,,70.0,49.0,9.0,80.0,2.0,14.0,19.0,12.0,1.0,5.0,117.0,1.0,13.0,132.0,688.0,12.0,2.0,19.0,9.0,422.0,25.0,5.0,2.0,3.0,5.0,7.0,12.0,493.0,52.0,1.0,95658,6.0,238.0,,5.0,269.0,9.0,1.0,,19.0,12.0,46.0,3.0,3.0,6.0,2.0,17.0,9.0,11.0,40.0,445.0,5.0,6.0,2.0,7.0,2.0,51.0,,,,0.0,,4.0,1.0,4.0,,0.0,1.0,,2.0,51.2,12.0,2.0,6.0,,6.0,3.0,35.0,3.0,517.0,9.0,4.0,18.0,9.0,24.0,2.0,4.0,265.0,9.0,10.0,8.0,125.0,28.0,,,5.0,14.0,16.0,3.0,14.0,,8.0,3.0,1.0,,,,,,1.0,,9.0,,,1.0,,,,,,1.0,,1.0,,5.0,,2.0,,,,,,,,,,1.0,1.0,,,4.0,,,,,,,,,2.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2210358,2021-10-24 16:30:00,"Old Trafford, Manchester",73088,Home,Manchester United,Liverpool,0,5,L,0,4,1,0,,,2.0,,23.0,58.0,,1.0,2.0,20.0,13.0,2.0,5.0,10.0,3.0,,2.0,127.0,,15.0,6.0,12.0,,12.0,1.0,4.0,98.0,120.0,38.0,12.0,,9.0,4.0,,4.0,,1.0,,1.0,21.0,3.0,,13.0,5.0,6.0,32.0,154.0,0.0,98.0,10.0,2.0,,,1.0,51.0,31.0,6.0,62.0,3.0,16.0,15.0,2.0,,2.0,120.0,2.0,12.0,122.0,563.0,10.0,3.0,23.0,11.0,314.0,27.0,6.0,,6.0,6.0,6.0,13.0,384.0,36.0,1.0,95658,3.0,186.0,2.0,7.0,215.0,7.0,,1.0,15.0,8.0,32.0,1.0,7.0,3.0,,8.0,7.0,5.0,46.0,334.0,8.0,2.0,2.0,11.0,2.0,49.0,,1.0,,0.0,2.0,3.0,,5.0,1.0,1.0,,,2.0,36.8,11.0,1.0,1.0,2.0,3.0,2.0,26.0,6.0,409.0,11.0,8.0,14.0,6.0,27.0,3.0,4.0,215.0,5.0,5.0,14.0,77.0,25.0,,,6.0,5.0,9.0,3.0,15.0,,3.0,6.0,1.0,,,,,1.0,1.0,,8.0,,1.0,3.0,1.0,1.0,,1.0,,,,1.0,,2.0,,3.0,,,,,,,,,1.0,,,,,5.0,,,1.0,2.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2210368,2021-10-30 17:30:00,"Tottenham Hotspur Stadium, London",60356,Away,Manchester United,Tottenham Hotspur,3,0,W,1,0,0,0,,,1.0,2.0,25.0,55.0,1.0,,3.0,24.0,27.0,2.0,1.0,8.0,,,,135.0,,11.0,3.0,8.0,3.0,9.0,,4.0,108.0,125.0,49.0,10.0,1.0,17.0,,1.0,2.0,3.0,,1.0,2.0,8.0,12.0,1.0,27.0,1.0,5.0,51.0,179.0,0.0,109.0,14.0,,2.0,,,73.0,33.0,7.0,63.0,,7.0,23.0,2.0,,,125.0,2.0,4.0,115.0,610.0,6.0,1.0,20.0,7.0,323.0,23.0,16.0,3.0,3.0,3.0,2.0,17.0,398.0,47.0,2.0,95658,5.0,163.0,,4.0,190.0,10.0,3.0,,23.0,6.0,69.0,2.0,1.0,3.0,3.0,14.0,5.0,2.0,51.0,339.0,12.0,19.0,,7.0,,48.0,1.0,,,0.0,2.0,10.0,3.0,,1.0,0.0,3.0,,2.0,41.8,15.0,2.0,5.0,,3.0,4.0,27.0,1.0,421.0,7.0,15.0,25.0,2.0,16.0,,2.0,239.0,7.0,4.0,13.0,75.0,24.0,2.0,6.0,16.0,17.0,10.0,3.0,12.0,6.0,13.0,2.0,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,3.0,2.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
