gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,fouledFinalThird,accuratePullBack,accurateKeeperSweeper,attSvHighRight,freekickCross,totalKeeperSweeper,errorLeadToShot,attSetpiece,penaltyConceded,totalPullBack,attCmissHigh,attAssistSetplay,attCmissHighRight,attSvHighCentre,penaltyFaced,penGoalsConceded,attSvLowLeft,goodHighClaim,contentiousDecision,totalHighClaim,effectiveBlockedCross,errorLeadToGoal,blockedCross,bigChanceScored,attLfGoal,attGoalLowCentre,goals,attFreekickTotal,cleanSheet,freekickTotal,accurateFreekickCross,goalsOpenplay,attCmissLeft,attIboxGoal,attFreekickMiss,attMissHighLeft,attGoalLowLeft,goalAssistOpenplay,goalAssist,attRfGoal,goalAssistIntentional,forwardGoals,goalsConcededObox,attGoalLowRight,postScoringAtt,attIboxPost,hitWoodwork,attPostHigh,goalAssistSetplay,attOboxGoal,ptsGainedLosingPos,midfielderGoals,attHdPost,defenderGoals,attCmissHighLeft,attFreekickGoal,handBall,ptsDroppedWinningPos,goalAssistDeadball,punches,attPostRight,attHdGoal,attFreekickTarget,attSvHighLeft,clearanceOffLine,secondYellow,attPostLeft,attLgCentre,attGoalHighLeft,ownGoals,attIboxOwnGoal,attFreekickPost,attOboxPost,penaltyWon,attPenGoal,foulThrowIn,attLgLeft,attGoalHighRight,goalFastbreak,attObxdRight
1,2210275,2021-08-14 15:00:00,"King Power Stadium, Leicester",31983.0,Away,Wolverhampton Wanderers,Leicester City,0,1,L,0,1,0,0,1.0,28.0,65.0,2.0,5.0,36.0,16.0,5.0,6.0,12.0,4.0,1.0,155.0,14.0,6.0,21.0,12.0,2.0,3.0,120.0,128.0,59.0,17.0,2.0,10.0,2.0,2.0,3.0,2.0,2.0,16.0,10.0,1.0,16.0,4.0,3.0,36.0,1.0,179.0,1.0,0.0,98.0,10.0,3.0,2.0,59.0,55.0,7.0,64.0,1.0,2.0,13.0,26.0,5.0,5.0,2.0,128.0,1.0,6.0,104.0,645.0,12.0,5.0,29.0,1.0,13.0,353.0,24.0,1.0,5.0,2.0,1.0,5.0,21.0,426.0,54.0,1.0,94147,7.0,193.0,1.0,8.0,1.0,222.0,7.0,26.0,3.0,42.0,2.0,4.0,4.0,16.0,3.0,2.0,2.0,58.0,366.0,6.0,7.0,7.0,1.0,60.0,2.0,1.0,0.0,3.0,5.0,2.0,1.0,2.0,0.0,5.0,1.0,3.0,43.7,20.0,2.0,5.0,1.0,6.0,7.0,44.0,4.0,443.0,13.0,4.0,16.0,7.0,21.0,1.0,5.0,237.0,8.0,3.0,12.0,69.0,29.0,5.0,20.0,1.0,16.0,3.0,32.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210290,2021-08-22 14:00:00,"Molineux Stadium, Wolverhampton",30368.0,Home,Wolverhampton Wanderers,Tottenham Hotspur,0,1,L,0,1,0,0,3.0,29.0,58.0,1.0,6.0,45.0,7.0,11.0,7.0,14.0,5.0,2.0,147.0,13.0,9.0,19.0,23.0,,6.0,126.0,141.0,72.0,25.0,4.0,12.0,4.0,1.0,2.0,2.0,2.0,35.0,18.0,2.0,7.0,3.0,5.0,42.0,1.0,232.0,2.0,0.0,174.0,9.0,2.0,1.0,68.0,95.0,14.0,66.0,2.0,2.0,32.0,17.0,11.0,12.0,5.0,141.0,1.0,7.0,131.0,709.0,21.0,7.0,38.0,1.0,14.0,380.0,18.0,4.0,5.0,1.0,2.0,9.0,28.0,455.0,56.0,2.0,94147,10.0,171.0,1.0,18.0,,187.0,8.0,17.0,4.0,48.0,5.0,2.0,4.0,16.0,1.0,4.0,3.0,69.0,394.0,7.0,9.0,15.0,5.0,66.0,1.0,2.0,0.0,2.0,4.0,4.0,1.0,5.0,0.0,7.0,1.0,3.0,57.8,27.0,2.0,7.0,2.0,4.0,10.0,43.0,5.0,470.0,14.0,14.0,24.0,9.0,41.0,2.0,4.0,318.0,15.0,5.0,17.0,132.0,27.0,5.0,29.0,1.0,18.0,3.0,23.0,6.0,5.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210300,2021-08-29 16:30:00,"Molineux Stadium, Wolverhampton",30621.0,Home,Wolverhampton Wanderers,Manchester United,0,1,L,0,0,0,0,1.0,22.0,69.0,1.0,1.0,27.0,20.0,5.0,2.0,10.0,2.0,4.0,131.0,11.0,2.0,14.0,10.0,1.0,6.0,118.0,122.0,54.0,15.0,2.0,11.0,4.0,3.0,2.0,1.0,3.0,18.0,9.0,2.0,20.0,4.0,7.0,30.0,,161.0,,0.0,107.0,7.0,,3.0,47.0,66.0,5.0,69.0,,2.0,14.0,17.0,5.0,4.0,1.0,122.0,1.0,7.0,109.0,599.0,9.0,4.0,21.0,1.0,7.0,334.0,39.0,7.0,12.0,3.0,2.0,5.0,11.0,408.0,46.0,,94147,5.0,190.0,3.0,8.0,,219.0,5.0,17.0,4.0,30.0,1.0,5.0,7.0,11.0,3.0,3.0,1.0,50.0,349.0,9.0,4.0,17.0,3.0,56.0,3.0,4.0,0.0,3.0,7.0,1.0,1.0,,0.0,1.0,,2.0,44.1,10.0,1.0,4.0,,7.0,3.0,34.0,5.0,427.0,7.0,4.0,12.0,6.0,23.0,1.0,5.0,226.0,10.0,5.0,15.0,79.0,18.0,12.0,16.0,1.0,12.0,3.0,18.0,6.0,5.0,2.0,,2.0,,2.0,2.0,,,,1.0,,1.0,,,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210310,2021-09-11 15:00:00,"Vicarage Road, Watford",20019.0,Away,Wolverhampton Wanderers,Watford,2,0,W,0,0,0,0,1.0,26.0,51.0,,2.0,27.0,18.0,5.0,4.0,9.0,2.0,1.0,143.0,9.0,5.0,19.0,11.0,1.0,5.0,143.0,108.0,56.0,14.0,1.0,12.0,3.0,1.0,2.0,1.0,1.0,15.0,13.0,1.0,18.0,6.0,6.0,32.0,,213.0,1.0,0.0,120.0,13.0,1.0,1.0,62.0,72.0,7.0,63.0,,2.0,9.0,12.0,5.0,3.0,3.0,108.0,4.0,2.0,136.0,680.0,8.0,2.0,23.0,2.0,9.0,405.0,25.0,1.0,9.0,3.0,,4.0,13.0,461.0,56.0,2.0,94147,5.0,220.0,4.0,4.0,1.0,236.0,8.0,12.0,7.0,59.0,2.0,2.0,5.0,16.0,4.0,7.0,2.0,46.0,428.0,13.0,14.0,12.0,3.0,60.0,1.0,1.0,0.0,3.0,6.0,2.0,,1.0,0.0,2.0,,4.0,56.0,13.0,2.0,2.0,,5.0,3.0,51.0,8.0,485.0,9.0,9.0,21.0,6.0,25.0,3.0,3.0,264.0,6.0,6.0,5.0,89.0,18.0,9.0,19.0,,9.0,2.0,30.0,10.0,8.0,2.0,,1.0,1.0,2.0,1.0,,1.0,,2.0,,3.0,,,,,1.0,,,,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210320,2021-09-18 12:30:00,"Molineux Stadium, Wolverhampton",29724.0,Home,Wolverhampton Wanderers,Brentford,0,2,L,0,2,0,1,,23.0,55.0,,2.0,27.0,9.0,7.0,6.0,4.0,1.0,,154.0,8.0,4.0,20.0,8.0,,,151.0,138.0,47.0,11.0,1.0,14.0,,,1.0,,2.0,23.0,4.0,,9.0,2.0,3.0,32.0,,269.0,2.0,0.0,175.0,10.0,,,89.0,76.0,3.0,66.0,,1.0,21.0,21.0,7.0,6.0,6.0,138.0,2.0,6.0,148.0,688.0,8.0,6.0,26.0,,6.0,417.0,22.0,2.0,5.0,4.0,1.0,5.0,25.0,497.0,63.0,,94147,3.0,171.0,3.0,14.0,,192.0,7.0,21.0,9.0,47.0,3.0,2.0,2.0,16.0,3.0,8.0,2.0,47.0,436.0,6.0,8.0,14.0,1.0,65.0,,,0.0,2.0,2.0,1.0,2.0,3.0,0.0,4.0,,1.0,61.9,25.0,1.0,2.0,,3.0,3.0,37.0,4.0,519.0,6.0,8.0,17.0,8.0,25.0,,2.0,350.0,4.0,3.0,12.0,137.0,27.0,5.0,9.0,2.0,9.0,3.0,27.0,8.0,4.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210329,2021-09-26 14:00:00,"St. Mary's Stadium, Southampton",28002.0,Away,Wolverhampton Wanderers,Southampton,1,0,W,0,0,0,0,,24.0,71.0,3.0,2.0,29.0,34.0,,1.0,5.0,6.0,2.0,138.0,14.0,2.0,8.0,4.0,,3.0,90.0,138.0,46.0,5.0,,14.0,2.0,,2.0,,,6.0,6.0,,34.0,3.0,2.0,34.0,,152.0,,0.0,121.0,8.0,1.0,,70.0,51.0,4.0,64.0,,,3.0,16.0,,1.0,,138.0,2.0,8.0,91.0,567.0,3.0,7.0,18.0,,6.0,262.0,26.0,2.0,18.0,0.0,6.0,,19.0,352.0,66.0,,94147,2.0,133.0,1.0,2.0,,160.0,4.0,16.0,6.0,42.0,,1.0,7.0,18.0,10.0,4.0,,68.0,283.0,11.0,7.0,19.0,2.0,60.0,,,0.0,1.0,5.0,3.0,,2.0,0.0,,,,43.0,18.0,,7.0,,7.0,2.0,32.0,5.0,383.0,6.0,7.0,17.0,,15.0,2.0,,229.0,4.0,2.0,15.0,68.0,22.0,18.0,12.0,,3.0,3.0,14.0,7.0,5.0,,,1.0,1.0,,1.0,2.0,,,,,,,,,,1.0,1.0,,1.0,3.0,,3.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210340,2021-10-02 15:00:00,"Molineux Stadium, Wolverhampton",30483.0,Home,Wolverhampton Wanderers,Newcastle United,2,1,W,1,1,0,0,,32.0,58.0,,1.0,20.0,29.0,3.0,3.0,4.0,1.0,1.0,133.0,14.0,2.0,13.0,7.0,,3.0,140.0,114.0,54.0,7.0,,14.0,,1.0,2.0,,1.0,5.0,17.0,1.0,29.0,,6.0,25.0,,201.0,,0.0,95.0,15.0,1.0,1.0,43.0,66.0,4.0,76.0,2.0,,5.0,15.0,3.0,3.0,2.0,114.0,2.0,5.0,111.0,658.0,5.0,5.0,11.0,,13.0,380.0,31.0,1.0,10.0,0.0,3.0,3.0,23.0,448.0,41.0,1.0,94147,1.0,189.0,1.0,1.0,,213.0,9.0,15.0,4.0,60.0,2.0,2.0,4.0,19.0,3.0,2.0,1.0,45.0,388.0,5.0,17.0,14.0,,70.0,1.0,,0.0,2.0,4.0,1.0,1.0,2.0,0.0,2.0,,,51.9,21.0,,1.0,1.0,4.0,1.0,43.0,,460.0,13.0,8.0,11.0,3.0,8.0,,,252.0,4.0,6.0,11.0,72.0,21.0,10.0,25.0,,7.0,2.0,19.0,7.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,4.0,,4.0,1.0,1.0,,2.0,,,,,2.0,1.0,2.0,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210342,2021-10-16 15:00:00,"Villa Park, Birmingham",41951.0,Away,Wolverhampton Wanderers,Aston Villa,3,2,W,0,0,0,0,,27.0,56.0,,1.0,24.0,20.0,3.0,3.0,6.0,3.0,1.0,144.0,14.0,1.0,8.0,7.0,,4.0,100.0,138.0,35.0,9.0,1.0,14.0,1.0,,,1.0,1.0,21.0,4.0,,20.0,6.0,5.0,37.0,,159.0,,0.0,127.0,17.0,1.0,,52.0,46.0,4.0,70.0,,,15.0,18.0,3.0,7.0,1.0,138.0,3.0,10.0,101.0,584.0,5.0,1.0,21.0,,9.0,314.0,15.0,2.0,15.0,3.0,2.0,3.0,15.0,389.0,47.0,1.0,94147,2.0,174.0,2.0,8.0,,197.0,8.0,18.0,13.0,53.0,2.0,2.0,8.0,17.0,4.0,9.0,,55.0,332.0,8.0,11.0,17.0,4.0,57.0,,,0.0,,6.0,3.0,2.0,1.0,0.0,1.0,,2.0,51.7,12.0,1.0,7.0,,9.0,2.0,21.0,7.0,415.0,9.0,7.0,18.0,3.0,35.0,,1.0,239.0,4.0,5.0,12.0,92.0,24.0,15.0,7.0,1.0,4.0,3.0,13.0,8.0,7.0,2.0,,,,,,1.0,,,1.0,,,,,,,,4.0,,4.0,2.0,,2.0,2.0,2.0,1.0,3.0,1.0,,1.0,,,,2.0,,1.0,2.0,,2.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,2210357,2021-10-23 15:00:00,"Elland Road, Leeds",36475.0,Away,Wolverhampton Wanderers,Leeds United,1,1,D,1,0,0,0,1.0,27.0,64.0,1.0,2.0,26.0,27.0,3.0,2.0,5.0,3.0,2.0,143.0,18.0,1.0,11.0,4.0,,4.0,48.0,149.0,54.0,8.0,,12.0,1.0,2.0,,2.0,,5.0,7.0,2.0,27.0,2.0,4.0,32.0,,80.0,,0.0,72.0,14.0,,2.0,43.0,33.0,3.0,44.0,4.0,,3.0,14.0,3.0,,1.0,149.0,,13.0,58.0,502.0,4.0,6.0,11.0,,12.0,176.0,25.0,5.0,18.0,3.0,4.0,1.0,27.0,261.0,47.0,,94147,2.0,115.0,,2.0,,154.0,6.0,14.0,13.0,70.0,1.0,1.0,8.0,13.0,5.0,6.0,2.0,64.0,194.0,15.0,21.0,19.0,,63.0,2.0,,0.0,1.0,6.0,2.0,1.0,1.0,0.0,1.0,,1.0,37.0,21.0,1.0,2.0,1.0,8.0,2.0,33.0,3.0,293.0,12.0,15.0,12.0,2.0,8.0,,1.0,144.0,5.0,2.0,12.0,36.0,25.0,18.0,16.0,1.0,6.0,3.0,21.0,8.0,3.0,2.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10,2210370,2021-11-01 20:00:00,"Molineux Stadium, Wolverhampton",30617.0,Home,Wolverhampton Wanderers,Everton,2,1,W,2,0,0,0,1.0,34.0,79.0,1.0,3.0,46.0,18.0,2.0,3.0,8.0,4.0,1.0,183.0,20.0,2.0,18.0,5.0,,4.0,160.0,155.0,64.0,10.0,,19.0,1.0,,1.0,,1.0,9.0,9.0,1.0,18.0,4.0,5.0,57.0,1.0,244.0,,0.0,125.0,10.0,2.0,,85.0,77.0,4.0,98.0,1.0,,5.0,18.0,2.0,3.0,1.0,155.0,1.0,10.0,176.0,814.0,4.0,4.0,20.0,,11.0,514.0,30.0,5.0,10.0,1.0,4.0,1.0,19.0,600.0,70.0,,94147,6.0,281.0,3.0,2.0,1.0,314.0,5.0,18.0,5.0,68.0,1.0,1.0,9.0,26.0,4.0,3.0,1.0,87.0,523.0,8.0,13.0,27.0,3.0,96.0,,,0.0,,3.0,3.0,1.0,3.0,0.0,1.0,,2.0,62.0,18.0,,5.0,1.0,9.0,3.0,65.0,4.0,617.0,11.0,13.0,31.0,3.0,16.0,1.0,1.0,312.0,5.0,5.0,24.0,94.0,33.0,10.0,15.0,1.0,6.0,3.0,31.0,7.0,4.0,2.0,,1.0,,,1.0,2.0,,,,,,,1.0,,,1.0,,2.0,,1.0,,1.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
