gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attOboxBlocked,accurateKeeperSweeper,attMissHighRight,cleanSheet,divingSave,attOboxMiss,totalFlickOn,attMissHighLeft,totalKeeperSweeper,defenderGoals,totalOffside,attGoalHighLeft,attCmissLeft,attHdGoal,penaltyConceded,attCmissHigh,penaltyFaced,penGoalsConceded,attGoalLowRight,accurateThroughBall,handBall,penaltyWon,midfielderGoals,contentiousDecision,accurateFreekickCross,attSetpiece,attPenGoal,accurateFlickOn,attFreekickMiss,attOboxGoal,attSvHighLeft,foulThrowIn,hitWoodwork,errorLeadToShot,clearanceOffLine,goalsConcededObox,attGoalHighCentre,ptsDroppedWinningPos,postScoringAtt,attIboxPost,attPostLeft,shotFastbreak,totalFastbreak,attFastbreak,attObxdRight,attCmissHighRight,attObxLeft,attCmissHighLeft,attOboxPost,attPostHigh,attGoalHighRight,attObxdLeft,attPenTarget,attSvHighRight,attLfGoal,attPenMiss,attPenPost,goalFastbreak,attObpGoal
1,2210272,2021-08-14 15:00:00,"Turf Moor, Burnley",16910,Away,Brighton and Hove Albion,Burnley,2,1,W,0,1,0,0,1.0,2.0,21.0,56.0,1.0,2.0,25.0,27.0,1.0,2.0,12.0,2.0,3.0,159.0,2.0,11.0,6.0,3.0,2.0,2.0,10.0,2.0,1.0,8.0,144.0,131.0,49.0,1.0,14.0,26.0,4.0,2.0,2.0,2.0,2.0,14.0,9.0,2.0,27.0,5.0,7.0,44.0,1.0,157.0,0.0,117.0,7.0,3.0,1.0,2.0,3.0,46.0,70.0,8.0,86.0,2.0,1.0,9.0,12.0,2.0,1.0,3.0,131.0,3.0,8.0,129.0,705.0,5.0,23.0,2.0,6.0,413.0,29.0,3.0,14.0,2.0,1.0,3.0,2.0,24.0,496.0,43.0,93284,8.0,273.0,1.0,4.0,1.0,295.0,2.0,2.0,2.0,12.0,8.0,61.0,1.0,8.0,2.0,10.0,6.0,3.0,1.0,72.0,424.0,10.0,12.0,3.0,24.0,5.0,72.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,5.0,64.1,22.0,2.0,1.0,2.0,1.0,1.0,8.0,2.0,30.0,6.0,4.0,518.0,6.0,12.0,14.0,4.0,28.0,4.0,4.0,237.0,7.0,7.0,20.0,82.0,14.0,1.0,5.0,14.0,16.0,1.0,8.0,3.0,7.0,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210283,2021-08-21 17:30:00,"American Express Stadium, Falmer",29485,Home,Brighton and Hove Albion,Watford,2,0,W,2,0,0,0,1.0,1.0,36.0,60.0,,3.0,16.0,17.0,5.0,4.0,8.0,1.0,,178.0,,15.0,4.0,7.0,2.0,2.0,10.0,,1.0,3.0,159.0,134.0,49.0,,13.0,18.0,1.0,1.0,1.0,,2.0,20.0,11.0,,17.0,6.0,5.0,29.0,,166.0,0.0,136.0,11.0,,,,1.0,30.0,89.0,7.0,96.0,,1.0,14.0,23.0,5.0,,1.0,134.0,1.0,7.0,152.0,765.0,6.0,30.0,,8.0,491.0,26.0,3.0,8.0,2.0,4.0,4.0,3.0,13.0,565.0,44.0,83299,5.0,340.0,2.0,13.0,1.0,362.0,6.0,1.0,1.0,23.0,8.0,48.0,3.0,4.0,1.0,18.0,3.0,5.0,,43.0,502.0,6.0,6.0,2.0,13.0,5.0,59.0,1.0,,0.0,,1.0,2.0,1.0,2.0,,0.0,1.0,1.0,2.0,3.0,56.9,12.0,,,5.0,1.0,,5.0,5.0,35.0,7.0,2.0,585.0,8.0,12.0,12.0,5.0,29.0,3.0,2.0,243.0,6.0,5.0,17.0,91.0,21.0,1.0,1.0,8.0,19.0,,8.0,3.0,8.0,1.0,14.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210292,2021-08-28 15:00:00,"American Express Stadium, Falmer",30548,Home,Brighton and Hove Albion,Everton,0,2,L,0,1,0,0,,,30.0,63.0,2.0,1.0,30.0,14.0,9.0,1.0,5.0,3.0,3.0,160.0,,14.0,4.0,10.0,,2.0,10.0,,,3.0,174.0,132.0,52.0,2.0,14.0,9.0,1.0,,,2.0,2.0,12.0,16.0,2.0,14.0,3.0,3.0,33.0,,208.0,0.0,147.0,7.0,,,,4.0,80.0,61.0,7.0,95.0,3.0,1.0,9.0,18.0,9.0,2.0,2.0,132.0,,8.0,183.0,814.0,8.0,18.0,,10.0,513.0,29.0,3.0,3.0,,1.0,5.0,3.0,18.0,595.0,56.0,83299,3.0,325.0,,7.0,,352.0,5.0,,1.0,18.0,6.0,40.0,,7.0,,18.0,6.0,5.0,2.0,56.0,529.0,8.0,7.0,2.0,14.0,2.0,65.0,,,0.0,1.0,4.0,5.0,1.0,,2.0,0.0,2.0,,,,65.6,17.0,,,5.0,2.0,1.0,7.0,6.0,45.0,4.0,4.0,612.0,10.0,11.0,15.0,5.0,21.0,2.0,3.0,272.0,12.0,3.0,8.0,105.0,21.0,,1.0,3.0,25.0,2.0,10.0,3.0,16.0,1.0,8.0,4.0,,,,5.0,,,,2.0,2.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210302,2021-09-11 15:00:00,"Gtech Community Stadium, Brentford",16518,Away,Brighton and Hove Albion,Brentford,1,0,W,0,0,0,0,,,23.0,57.0,,,37.0,11.0,1.0,1.0,3.0,1.0,1.0,157.0,,18.0,,9.0,1.0,,4.0,,,2.0,128.0,156.0,45.0,,4.0,15.0,1.0,,1.0,1.0,1.0,11.0,11.0,,11.0,1.0,6.0,52.0,,222.0,0.0,176.0,12.0,,,1.0,3.0,93.0,71.0,3.0,98.0,1.0,,10.0,21.0,1.0,,5.0,156.0,,5.0,113.0,677.0,3.0,15.0,,12.0,382.0,21.0,1.0,7.0,1.0,2.0,,1.0,30.0,474.0,73.0,83299,1.0,174.0,,4.0,,195.0,9.0,1.0,1.0,21.0,7.0,56.0,1.0,3.0,1.0,13.0,2.0,2.0,,78.0,396.0,9.0,8.0,,20.0,,74.0,,,0.0,,2.0,1.0,1.0,1.0,,0.0,,1.0,,,58.7,23.0,,,8.0,2.0,,3.0,1.0,34.0,5.0,3.0,496.0,12.0,12.0,26.0,1.0,29.0,,1.0,312.0,3.0,6.0,11.0,120.0,21.0,1.0,4.0,7.0,16.0,,4.0,3.0,18.0,4.0,8.0,6.0,,,,1.0,,,1.0,,,2.0,,,,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210312,2021-09-19 14:00:00,"American Express Stadium, Falmer",31078,Home,Brighton and Hove Albion,Leicester City,2,1,W,1,0,0,0,1.0,1.0,33.0,47.0,2.0,2.0,19.0,29.0,3.0,3.0,9.0,2.0,2.0,134.0,,20.0,6.0,16.0,2.0,5.0,9.0,,,5.0,76.0,120.0,62.0,2.0,12.0,11.0,2.0,2.0,,2.0,1.0,15.0,13.0,1.0,29.0,4.0,3.0,43.0,,106.0,0.0,78.0,8.0,,,2.0,2.0,54.0,32.0,6.0,42.0,4.0,1.0,11.0,17.0,3.0,2.0,5.0,120.0,,7.0,70.0,532.0,5.0,19.0,,16.0,234.0,18.0,,15.0,1.0,2.0,5.0,3.0,16.0,305.0,37.0,83299,7.0,145.0,,4.0,,174.0,4.0,1.0,,17.0,8.0,47.0,3.0,3.0,,12.0,7.0,7.0,2.0,57.0,245.0,9.0,12.0,3.0,18.0,2.0,49.0,1.0,,0.0,,1.0,9.0,,2.0,1.0,0.0,4.0,1.0,,4.0,37.1,15.0,2.0,,4.0,,,3.0,3.0,23.0,4.0,2.0,322.0,16.0,6.0,17.0,4.0,21.0,2.0,3.0,163.0,5.0,3.0,18.0,52.0,22.0,1.0,,15.0,19.0,1.0,5.0,3.0,27.0,,9.0,4.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,4.0,,,,3.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210324,2021-09-27 20:00:00,"Selhurst Park, London",22975,Away,Brighton and Hove Albion,Crystal Palace,1,1,D,0,1,0,0,,1.0,29.0,69.0,1.0,,31.0,13.0,4.0,1.0,4.0,2.0,1.0,203.0,1.0,21.0,5.0,6.0,1.0,3.0,4.0,,1.0,4.0,133.0,142.0,61.0,,8.0,7.0,3.0,1.0,1.0,1.0,,20.0,19.0,,13.0,5.0,8.0,45.0,,167.0,0.0,121.0,10.0,1.0,,4.0,3.0,89.0,44.0,3.0,102.0,4.0,1.0,15.0,14.0,4.0,,3.0,142.0,2.0,4.0,127.0,743.0,2.0,22.0,2.0,10.0,453.0,37.0,5.0,6.0,1.0,5.0,2.0,1.0,13.0,546.0,42.0,83299,3.0,304.0,1.0,8.0,,333.0,2.0,1.0,,14.0,6.0,36.0,2.0,6.0,1.0,10.0,4.0,5.0,1.0,74.0,466.0,11.0,4.0,1.0,31.0,3.0,69.0,1.0,1.0,0.0,,,6.0,1.0,,1.0,0.0,5.0,1.0,1.0,2.0,53.1,12.0,,,5.0,,,6.0,2.0,31.0,5.0,3.0,565.0,10.0,7.0,24.0,2.0,28.0,,1.0,252.0,5.0,7.0,15.0,83.0,16.0,1.0,2.0,6.0,29.0,1.0,3.0,3.0,16.0,2.0,3.0,5.0,,,,2.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,2.0,1.0,,,,3.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210331,2021-10-02 17:30:00,"American Express Stadium, Falmer",31266,Home,Brighton and Hove Albion,Arsenal,0,0,D,0,0,0,0,1.0,,23.0,61.0,,4.0,28.0,13.0,8.0,4.0,13.0,2.0,1.0,166.0,,12.0,8.0,6.0,,3.0,18.0,,2.0,2.0,119.0,126.0,43.0,,21.0,7.0,1.0,2.0,,1.0,4.0,26.0,5.0,1.0,13.0,8.0,2.0,25.0,,249.0,0.0,171.0,8.0,,,2.0,,94.0,66.0,6.0,88.0,,3.0,18.0,24.0,8.0,,4.0,126.0,,4.0,124.0,669.0,14.0,30.0,,9.0,410.0,14.0,5.0,4.0,,2.0,1.0,12.0,18.0,482.0,60.0,83299,9.0,179.0,,12.0,,196.0,6.0,,,24.0,7.0,29.0,5.0,1.0,,18.0,4.0,4.0,3.0,53.0,420.0,5.0,6.0,4.0,17.0,6.0,71.0,1.0,,0.0,,,5.0,2.0,,,0.0,3.0,,,4.0,58.2,15.0,3.0,,7.0,1.0,,1.0,7.0,43.0,8.0,1.0,497.0,9.0,6.0,13.0,12.0,38.0,5.0,8.0,327.0,13.0,2.0,16.0,129.0,36.0,,1.0,4.0,16.0,,15.0,2.0,8.0,1.0,14.0,8.0,,,,3.0,,2.0,1.0,,4.0,5.0,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210348,2021-10-16 15:00:00,"Carrow Road, Norwich",26777,Away,Brighton and Hove Albion,Norwich City,0,0,D,0,0,0,0,2.0,,21.0,62.0,2.0,4.0,29.0,22.0,3.0,4.0,8.0,2.0,,152.0,,9.0,7.0,6.0,,3.0,9.0,1.0,,3.0,165.0,132.0,51.0,,11.0,14.0,2.0,1.0,,2.0,,18.0,12.0,1.0,22.0,4.0,6.0,36.0,,278.0,0.0,194.0,14.0,,,2.0,5.0,92.0,76.0,6.0,91.0,1.0,,14.0,23.0,3.0,,5.0,132.0,1.0,5.0,161.0,761.0,7.0,30.0,1.0,8.0,471.0,20.0,1.0,12.0,,5.0,8.0,3.0,23.0,558.0,72.0,83299,5.0,207.0,1.0,7.0,,224.0,5.0,,1.0,23.0,7.0,48.0,1.0,6.0,,14.0,10.0,3.0,1.0,53.0,478.0,5.0,11.0,2.0,10.0,2.0,71.0,,,0.0,,3.0,8.0,1.0,,,0.0,6.0,,,2.0,64.9,19.0,1.0,,8.0,1.0,1.0,6.0,4.0,48.0,4.0,5.0,569.0,8.0,5.0,20.0,4.0,36.0,1.0,2.0,363.0,5.0,6.0,21.0,141.0,26.0,,1.0,12.0,19.0,,8.0,3.0,10.0,1.0,10.0,4.0,,,,,1.0,2.0,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,2210353,2021-10-23 17:30:00,"American Express Stadium, Falmer",31215,Home,Brighton and Hove Albion,Manchester City,1,4,L,0,3,0,0,2.0,1.0,25.0,61.0,4.0,1.0,24.0,9.0,3.0,4.0,7.0,8.0,2.0,160.0,,12.0,5.0,12.0,1.0,2.0,8.0,,1.0,5.0,122.0,119.0,48.0,,10.0,5.0,2.0,1.0,,3.0,1.0,20.0,11.0,2.0,9.0,5.0,9.0,47.0,,118.0,0.0,114.0,10.0,,,1.0,1.0,61.0,26.0,5.0,85.0,2.0,1.0,15.0,19.0,3.0,,1.0,119.0,,18.0,134.0,677.0,8.0,27.0,,13.0,405.0,19.0,,4.0,,2.0,6.0,3.0,17.0,482.0,39.0,83299,4.0,309.0,,13.0,,336.0,5.0,1.0,,19.0,5.0,33.0,,9.0,,15.0,5.0,4.0,,47.0,422.0,6.0,12.0,,4.0,,47.0,,,0.0,,1.0,6.0,6.0,1.0,4.0,0.0,2.0,,,1.0,47.7,17.0,1.0,,7.0,2.0,1.0,9.0,1.0,22.0,7.0,3.0,501.0,13.0,5.0,22.0,4.0,28.0,3.0,3.0,185.0,5.0,8.0,14.0,76.0,24.0,,,4.0,16.0,4.0,9.0,3.0,14.0,,7.0,7.0,,,,,,,,4.0,1.0,4.0,2.0,,,2.0,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,2210364,2021-10-30 15:00:00,"Anfield, Liverpool",53197,Away,Brighton and Hove Albion,Liverpool,2,2,D,1,2,0,0,3.0,1.0,28.0,72.0,,1.0,32.0,17.0,3.0,3.0,6.0,1.0,1.0,171.0,,9.0,3.0,11.0,2.0,1.0,8.0,,,6.0,108.0,144.0,49.0,,9.0,11.0,2.0,,2.0,1.0,,11.0,10.0,2.0,17.0,3.0,2.0,62.0,,141.0,0.0,113.0,5.0,1.0,1.0,1.0,1.0,80.0,37.0,6.0,76.0,5.0,1.0,8.0,19.0,3.0,,1.0,144.0,2.0,6.0,109.0,642.0,5.0,21.0,,16.0,354.0,37.0,,14.0,2.0,2.0,5.0,2.0,19.0,445.0,53.0,83299,4.0,223.0,1.0,6.0,,248.0,3.0,2.0,,19.0,7.0,36.0,2.0,4.0,2.0,14.0,8.0,,1.0,73.0,361.0,7.0,10.0,1.0,14.0,1.0,74.0,1.0,,0.0,,1.0,5.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,41.6,16.0,1.0,,3.0,2.0,1.0,4.0,1.0,36.0,3.0,1.0,464.0,16.0,8.0,25.0,2.0,25.0,1.0,2.0,227.0,4.0,2.0,11.0,68.0,25.0,1.0,,14.0,20.0,1.0,8.0,3.0,13.0,,8.0,3.0,1.0,,,,1.0,,,,,4.0,,1.0,,5.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
