gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,attGoalLowLeft,savedObox,attCmissRight,attSvLowCentre,penaltyWon,attSvHighLeft,interceptionsInBox,contentiousDecision,attHdTarget,attMissHighLeft,attObxdLeft,attPenGoal,attAssistSetplay,accurateFlickOn,accurateCornersIntobox,ptsDroppedWinningPos,cleanSheet,totalPullBack,shieldBallOop,effectiveBlockedCross,blockedCross,attGoalLowCentre,goalFastbreak,attOneOnOne,attMissHighRight,attSvHighRight,attOboxGoal,accurateFreekickCross,attSetpiece,defenderGoals,totalOffside,attGoalHighLeft,sixYardBlock,attCmissHigh,ownGoals,attCmissHighLeft,attCmissLeft,attIboxOwnGoal,attCmissHighRight,goalsConcededObox,attObxdRight,attFreekickTarget,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickMiss,errorLeadToShot,attSvHighCentre,hitWoodwork,goalAssistDeadball,accuratePullBack,postScoringAtt,attIboxPost,attPostLeft,attPenPost,attPostHigh,foulThrowIn,secondYellow,attFreekickPost,attOboxPost,clearanceOffLine,attObpGoal,subsGoals
1,2210274,2021-08-14 15:00:00,"Goodison Park, Liverpool",38487,Home,Everton,Southampton,3,1,W,0,1,0,0,1.0,1.0,2.0,19.0,60.0,1.0,2.0,1.0,26.0,26.0,3.0,5.0,11.0,2.0,1.0,2.0,149.0,10.0,6.0,7.0,3.0,3.0,11.0,6.0,78.0,167.0,68.0,1.0,14.0,1.0,19.0,2.0,1.0,1.0,1.0,2.0,3.0,25.0,9.0,1.0,1.0,26.0,6.0,7.0,43.0,128.0,0.0,113.0,13.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,52.0,63.0,7.0,51.0,1.0,19.0,18.0,3.0,1.0,1.0,6.0,1.0,167.0,3.0,5.0,59.0,564.0,8.0,6.0,19.0,6.0,219.0,23.0,3.0,13.0,3.0,1.0,2.0,2.0,4.0,28.0,317.0,56.0,1.0,60252,5.0,113.0,1.0,11.0,148.0,10.0,1.0,18.0,4.0,61.0,1.0,7.0,2.0,18.0,1.0,2.0,1.0,68.0,235.0,14.0,10.0,20.0,2.0,64.0,1.0,2.0,1.0,0.0,2.0,8.0,2.0,3.0,1.0,0.0,6.0,3.0,4.0,48.1,23.0,2.0,6.0,1.0,7.0,3.0,27.0,6.0,1.0,337.0,6.0,14.0,17.0,5.0,31.0,4.0,214.0,5.0,6.0,25.0,72.0,21.0,1.0,13.0,23.0,1.0,1.0,11.0,3.0,14.0,1.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210285,2021-08-21 15:00:00,"Elland Road, Leeds",36293,Away,Everton,Leeds United,2,2,D,1,1,0,0,1.0,2.0,1.0,29.0,54.0,1.0,1.0,,15.0,25.0,7.0,7.0,9.0,2.0,1.0,2.0,120.0,19.0,6.0,8.0,2.0,2.0,15.0,8.0,47.0,136.0,47.0,,17.0,3.0,16.0,4.0,,,,1.0,1.0,15.0,10.0,,2.0,25.0,5.0,7.0,26.0,88.0,0.0,84.0,13.0,,,,1.0,1.0,1.0,,34.0,41.0,10.0,41.0,2.0,10.0,11.0,8.0,,,2.0,3.0,136.0,1.0,7.0,45.0,457.0,11.0,4.0,20.0,20.0,163.0,27.0,5.0,13.0,1.0,,4.0,7.0,5.0,20.0,232.0,41.0,1.0,60252,8.0,86.0,1.0,7.0,110.0,4.0,1.0,11.0,13.0,58.0,1.0,4.0,1.0,18.0,10.0,1.0,1.0,63.0,168.0,6.0,12.0,22.0,2.0,63.0,,2.0,,0.0,,8.0,,2.0,2.0,0.0,2.0,1.0,3.0,30.0,15.0,1.0,3.0,1.0,4.0,4.0,20.0,5.0,,253.0,20.0,10.0,6.0,5.0,20.0,2.0,158.0,7.0,5.0,17.0,54.0,18.0,1.0,13.0,16.0,,2.0,14.0,3.0,17.0,,4.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210292,2021-08-28 15:00:00,"American Express Stadium, Falmer",30548,Away,Everton,Brighton and Hove Albion,2,0,W,1,0,0,0,1.0,1.0,1.0,30.0,60.0,1.0,2.0,,17.0,15.0,6.0,6.0,8.0,3.0,1.0,2.0,127.0,16.0,2.0,7.0,2.0,1.0,12.0,5.0,68.0,134.0,40.0,,14.0,3.0,8.0,1.0,3.0,3.0,,1.0,1.0,14.0,10.0,,2.0,15.0,4.0,3.0,21.0,145.0,0.0,123.0,9.0,,2.0,3.0,1.0,1.0,,,78.0,42.0,8.0,47.0,1.0,10.0,18.0,6.0,,,6.0,1.0,134.0,,5.0,73.0,509.0,11.0,4.0,23.0,15.0,231.0,27.0,2.0,4.0,1.0,,2.0,6.0,4.0,20.0,294.0,40.0,,60252,2.0,100.0,,4.0,120.0,7.0,1.0,18.0,10.0,52.0,,2.0,1.0,20.0,9.0,6.0,1.0,39.0,243.0,7.0,10.0,14.0,1.0,53.0,3.0,1.0,,0.0,,4.0,1.0,2.0,,0.0,1.0,,,34.4,16.0,,12.0,3.0,2.0,5.0,28.0,5.0,,315.0,15.0,14.0,12.0,4.0,22.0,3.0,209.0,8.0,3.0,9.0,88.0,17.0,1.0,4.0,17.0,,,12.0,2.0,19.0,,10.0,5.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210305,2021-09-13 20:00:00,"Goodison Park, Liverpool",38354,Home,Everton,Burnley,3,1,W,0,0,0,0,,1.0,2.0,29.0,63.0,1.0,2.0,1.0,29.0,18.0,6.0,3.0,8.0,5.0,1.0,1.0,182.0,15.0,5.0,6.0,3.0,2.0,11.0,6.0,90.0,163.0,47.0,1.0,14.0,2.0,22.0,2.0,1.0,1.0,,2.0,2.0,16.0,6.0,,1.0,18.0,1.0,7.0,46.0,150.0,0.0,128.0,3.0,3.0,,2.0,,,1.0,1.0,63.0,67.0,9.0,68.0,1.0,15.0,23.0,6.0,1.0,,4.0,2.0,163.0,2.0,7.0,76.0,609.0,5.0,9.0,18.0,15.0,295.0,25.0,5.0,13.0,3.0,,1.0,2.0,2.0,27.0,394.0,61.0,1.0,60252,6.0,163.0,1.0,10.0,207.0,2.0,1.0,23.0,7.0,44.0,1.0,7.0,2.0,24.0,4.0,3.0,,62.0,308.0,5.0,9.0,18.0,4.0,76.0,1.0,,1.0,0.0,,6.0,2.0,2.0,1.0,0.0,4.0,2.0,4.0,51.7,19.0,1.0,,1.0,7.0,4.0,42.0,4.0,1.0,416.0,15.0,5.0,20.0,4.0,23.0,2.0,225.0,7.0,7.0,26.0,84.0,27.0,2.0,13.0,10.0,1.0,1.0,8.0,3.0,11.0,,12.0,4.0,,3.0,1.0,1.0,,1.0,1.0,,1.0,,,,3.0,3.0,1.0,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210311,2021-09-18 17:30:00,"Villa Park, Birmingham",41888,Away,Everton,Aston Villa,0,3,L,0,0,0,0,,1.0,,21.0,47.0,,3.0,,16.0,17.0,3.0,3.0,8.0,1.0,,,142.0,10.0,5.0,6.0,,1.0,9.0,1.0,58.0,135.0,51.0,1.0,11.0,2.0,24.0,,,1.0,,,1.0,18.0,10.0,,1.0,17.0,3.0,4.0,26.0,108.0,0.0,84.0,10.0,,,,,,1.0,,44.0,48.0,4.0,44.0,2.0,15.0,15.0,3.0,1.0,,5.0,,135.0,1.0,8.0,66.0,477.0,6.0,5.0,17.0,6.0,210.0,26.0,1.0,10.0,,,1.0,6.0,5.0,22.0,288.0,32.0,1.0,60252,4.0,125.0,1.0,9.0,153.0,3.0,,15.0,12.0,56.0,2.0,3.0,,17.0,8.0,9.0,1.0,45.0,228.0,7.0,13.0,17.0,2.0,59.0,,,,0.0,,5.0,1.0,,3.0,0.0,2.0,,3.0,44.4,11.0,3.0,1.0,,3.0,5.0,26.0,4.0,,310.0,6.0,5.0,17.0,5.0,22.0,5.0,175.0,5.0,4.0,16.0,59.0,17.0,,10.0,22.0,,3.0,7.0,4.0,11.0,,5.0,4.0,,,2.0,1.0,,,1.0,,,1.0,,,3.0,,3.0,,,1.0,2.0,6.0,6.0,,,,,,,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210325,2021-09-25 15:00:00,"Goodison Park, Liverpool",38821,Home,Everton,Norwich City,2,0,W,1,0,0,0,1.0,1.0,2.0,28.0,57.0,,2.0,,24.0,15.0,4.0,3.0,7.0,2.0,1.0,1.0,133.0,13.0,1.0,4.0,2.0,3.0,9.0,4.0,109.0,128.0,39.0,,11.0,2.0,14.0,2.0,,1.0,,1.0,1.0,24.0,8.0,,,15.0,6.0,9.0,29.0,191.0,0.0,128.0,12.0,,2.0,,2.0,,2.0,,93.0,46.0,6.0,68.0,2.0,18.0,25.0,4.0,,,6.0,2.0,128.0,2.0,4.0,110.0,591.0,7.0,5.0,22.0,9.0,332.0,27.0,1.0,10.0,1.0,,2.0,3.0,3.0,22.0,401.0,51.0,,60252,4.0,155.0,1.0,10.0,174.0,7.0,1.0,25.0,11.0,49.0,1.0,3.0,1.0,11.0,6.0,7.0,,49.0,345.0,9.0,12.0,14.0,2.0,65.0,,,,0.0,1.0,4.0,,2.0,,0.0,,1.0,1.0,46.8,17.0,1.0,1.0,1.0,3.0,4.0,35.0,6.0,,420.0,9.0,5.0,17.0,3.0,25.0,1.0,270.0,7.0,9.0,8.0,91.0,25.0,,10.0,18.0,,,7.0,3.0,11.0,,11.0,6.0,,2.0,1.0,2.0,1.0,,,1.0,,,,1.0,1.0,4.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210337,2021-10-02 12:30:00,"Old Trafford, Manchester",73128,Away,Everton,Manchester United,1,1,D,0,1,0,0,,,1.0,28.0,55.0,,4.0,,23.0,29.0,2.0,3.0,10.0,5.0,,1.0,131.0,17.0,4.0,6.0,1.0,2.0,12.0,2.0,50.0,122.0,54.0,,12.0,,13.0,,2.0,,,1.0,3.0,15.0,13.0,,1.0,29.0,1.0,3.0,26.0,103.0,0.0,87.0,9.0,1.0,1.0,3.0,1.0,1.0,3.0,,54.0,38.0,6.0,42.0,2.0,14.0,21.0,2.0,,,2.0,1.0,122.0,1.0,9.0,45.0,446.0,9.0,8.0,17.0,9.0,174.0,31.0,8.0,15.0,1.0,,1.0,1.0,6.0,15.0,247.0,53.0,1.0,60252,8.0,84.0,,9.0,109.0,7.0,1.0,21.0,8.0,40.0,2.0,3.0,1.0,10.0,4.0,3.0,1.0,61.0,183.0,10.0,11.0,28.0,,62.0,2.0,,,0.0,,10.0,2.0,1.0,1.0,0.0,4.0,1.0,3.0,28.2,8.0,3.0,1.0,2.0,3.0,4.0,31.0,1.0,,268.0,9.0,2.0,13.0,6.0,21.0,5.0,174.0,6.0,3.0,18.0,46.0,15.0,,15.0,20.0,,1.0,10.0,2.0,11.0,,13.0,1.0,1.0,3.0,1.0,,,,1.0,1.0,,,,,2.0,1.0,,,,,,3.0,3.0,,1.0,,,,,1.0,2.0,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210344,2021-10-17 14:00:00,"Goodison Park, Liverpool",39132,Home,Everton,West Ham United,0,1,L,0,0,0,0,,1.0,,34.0,63.0,,4.0,,21.0,27.0,2.0,3.0,13.0,3.0,,,145.0,16.0,10.0,6.0,,1.0,11.0,2.0,68.0,149.0,47.0,,15.0,,13.0,1.0,,2.0,,,4.0,32.0,12.0,,1.0,27.0,6.0,4.0,41.0,137.0,0.0,117.0,3.0,,2.0,,,,1.0,,50.0,62.0,3.0,41.0,1.0,26.0,21.0,2.0,,,8.0,1.0,149.0,1.0,12.0,73.0,536.0,8.0,7.0,27.0,10.0,225.0,33.0,4.0,12.0,,,0.0,8.0,7.0,18.0,306.0,49.0,,60252,9.0,112.0,1.0,17.0,136.0,1.0,,21.0,11.0,37.0,,7.0,,19.0,4.0,6.0,2.0,51.0,239.0,2.0,8.0,17.0,3.0,65.0,,1.0,1.0,0.0,2.0,9.0,3.0,,1.0,0.0,7.0,,5.0,39.0,13.0,4.0,4.0,2.0,7.0,4.0,37.0,7.0,1.0,327.0,10.0,4.0,19.0,9.0,38.0,8.0,223.0,7.0,3.0,20.0,74.0,15.0,,12.0,19.0,,1.0,12.0,1.0,15.0,,6.0,7.0,,,,1.0,,,1.0,,1.0,1.0,,,2.0,1.0,3.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2210356,2021-10-23 15:00:00,"Goodison Park, Liverpool",38834,Home,Everton,Watford,2,5,L,1,1,0,0,,1.0,2.0,19.0,57.0,1.0,2.0,,23.0,28.0,4.0,4.0,11.0,3.0,,,146.0,12.0,7.0,7.0,2.0,3.0,13.0,4.0,102.0,151.0,67.0,,15.0,3.0,26.0,1.0,1.0,1.0,,2.0,2.0,23.0,14.0,,1.0,28.0,3.0,3.0,39.0,158.0,0.0,131.0,9.0,,2.0,2.0,1.0,1.0,4.0,1.0,63.0,48.0,8.0,55.0,2.0,20.0,24.0,4.0,,,3.0,,151.0,2.0,10.0,86.0,612.0,9.0,5.0,37.0,9.0,276.0,28.0,2.0,15.0,2.0,,4.0,4.0,5.0,21.0,366.0,61.0,,60252,6.0,142.0,,13.0,178.0,6.0,1.0,24.0,8.0,57.0,,4.0,2.0,20.0,10.0,5.0,1.0,61.0,293.0,12.0,12.0,22.0,,66.0,1.0,,,0.0,,5.0,2.0,2.0,5.0,0.0,6.0,2.0,5.0,50.1,14.0,3.0,4.0,3.0,4.0,5.0,33.0,3.0,1.0,389.0,9.0,4.0,19.0,6.0,32.0,6.0,234.0,6.0,2.0,24.0,86.0,21.0,,15.0,25.0,1.0,5.0,13.0,2.0,14.0,,7.0,3.0,,1.0,1.0,1.0,,,,,1.0,,,,2.0,3.0,1.0,3.0,,1.0,1.0,4.0,4.0,1.0,1.0,,1.0,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2210370,2021-11-01 20:00:00,"Molineux Stadium, Wolverhampton",30617,Away,Everton,Wolverhampton Wanderers,1,2,L,0,2,0,0,,1.0,,34.0,67.0,,2.0,,18.0,13.0,4.0,2.0,10.0,2.0,,1.0,140.0,14.0,5.0,13.0,1.0,2.0,10.0,5.0,90.0,145.0,68.0,,14.0,2.0,24.0,3.0,1.0,1.0,1.0,1.0,2.0,14.0,15.0,,1.0,13.0,3.0,4.0,33.0,145.0,0.0,106.0,8.0,,2.0,1.0,1.0,1.0,2.0,,48.0,60.0,7.0,56.0,1.0,11.0,18.0,4.0,,,2.0,1.0,145.0,1.0,8.0,87.0,573.0,7.0,2.0,26.0,13.0,270.0,25.0,,3.0,1.0,1.0,1.0,3.0,3.0,20.0,353.0,53.0,,66838,6.0,140.0,2.0,7.0,161.0,4.0,1.0,18.0,5.0,64.0,1.0,2.0,1.0,18.0,2.0,3.0,,54.0,280.0,10.0,18.0,19.0,1.0,71.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,2.0,0.0,4.0,,3.0,38.0,14.0,1.0,4.0,1.0,2.0,4.0,40.0,3.0,,373.0,13.0,10.0,13.0,5.0,27.0,4.0,226.0,9.0,3.0,19.0,64.0,32.0,,3.0,26.0,,2.0,11.0,3.0,18.0,1.0,11.0,3.0,,1.0,,2.0,,,,,2.0,1.0,,,2.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,2.0,2.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
