gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,fiftyFifty,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,attLfGoal,attBxRight,attMissHighRight,ptsGainedLosingPos,midfielderGoals,attSvLowLeft,hitWoodwork,sixYardBlock,penaltyConceded,attIboxGoal,goalAssistIntentional,shieldBallOop,attBxLeft,penaltyFaced,penGoalsConceded,accurateCornersIntobox,forwardGoals,attIboxTarget,attSvLowCentre,interceptionsInBox,effectiveBlockedCross,blockedCross,accuratePullBack,attLgCentre,attHdTarget,clearanceOffLine,shotFastbreak,totalFastbreak,contentiousDecision,attObxdRight,accurateThroughBall,errorLeadToShot,attFastbreak,attObxRight,ptsDroppedWinningPos,postScoringAtt,attSvHighRight,attPostLeft,ownGoals,attOboxPost,attIboxOwnGoal,handBall,attGoalLowRight,attFreekickTotal,attIboxPost,cleanSheet,freekickTotal,attCmissHigh,attPostHigh,foulThrowIn,attFreekickMiss,attOneOnOne,penaltyWon,attSvHighLeft,attPenGoal,attFreekickGoal,attLgRight,attFreekickTarget,attGoalLowCentre,attCmissHighRight,attGoalHighCentre,goalsConcededObox,errorLeadToGoal,attGoalHighRight,attHdGoal,attFreekickPost,attPostRight,attObxdLeft,attCmissHighLeft
1,2210276,2021-08-14 12:30:00,"Old Trafford, Manchester",72732,Away,Leeds United,Manchester United,1,5,L,0,1,0,0,1.0,35.0,63.0,2.0,23.0,14.0,7.0,3.0,3.0,3.0,1.0,148.0,15.0,4.0,9.0,1.0,2.0,7.0,1.0,3.0,112.0,137.0,51.0,10.0,1.0,11.0,1.0,1.0,2.0,14.0,13.0,2.0,14.0,2.0,1.0,53.0,105.0,1.0,0.0,85.0,9.0,1.0,3.0,1.0,52.0,39.0,3.0,62.0,2.0,12.0,21.0,7.0,4.0,3.0,137.0,2.0,12.0,116.0,623.0,5.0,1.0,11.0,14.0,322.0,27.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,4.0,17.0,410.0,42.0,1.0,87873,3.0,242.0,2.0,5.0,3.0,280.0,6.0,1.0,1.0,21.0,10.0,38.0,1.0,1.0,3.0,10.0,1.0,20.0,4.0,4.0,1.0,62.0,343.0,10.0,12.0,1.0,13.0,2.0,55.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,1.0,5.0,1.0,0.0,4.0,1.0,51.4,15.0,1.0,4.0,1.0,10.0,1.0,32.0,4.0,1.0,438.0,14.0,3.0,20.0,6.0,21.0,3.0,172.0,6.0,1.0,9.0,51.0,22.0,3.0,23.0,5.0,5.0,3.0,12.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210285,2021-08-21 15:00:00,"Elland Road, Leeds",36293,Home,Leeds United,Everton,2,2,D,1,1,0,0,2.0,29.0,57.0,2.0,20.0,6.0,10.0,10.0,7.0,6.0,,169.0,10.0,4.0,12.0,2.0,1.0,13.0,1.0,4.0,175.0,150.0,58.0,17.0,4.0,17.0,,1.0,2.0,25.0,9.0,2.0,6.0,7.0,1.0,42.0,237.0,,0.0,160.0,6.0,3.0,2.0,,84.0,103.0,8.0,73.0,3.0,18.0,11.0,10.0,7.0,4.0,150.0,1.0,9.0,189.0,811.0,8.0,4.0,19.0,9.0,494.0,20.0,,,4.0,2.0,,2.0,4.0,5.0,22.0,583.0,58.0,1.0,87873,3.0,284.0,,9.0,3.0,311.0,4.0,1.0,,11.0,8.0,47.0,1.0,,,5.0,1.0,22.0,8.0,8.0,,44.0,517.0,12.0,8.0,3.0,5.0,4.0,69.0,,,1.0,,0.0,1.0,5.0,4.0,2.0,1.0,0.0,3.0,2.0,70.0,21.0,2.0,3.0,,5.0,7.0,53.0,8.0,,606.0,9.0,6.0,21.0,6.0,33.0,2.0,320.0,5.0,,16.0,115.0,29.0,4.0,19.0,2.0,10.0,2.0,22.0,7.0,8.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210293,2021-08-29 14:00:00,"Turf Moor, Burnley",18665,Away,Leeds United,Burnley,1,1,D,0,0,0,0,1.0,20.0,77.0,,39.0,16.0,3.0,6.0,9.0,2.0,,180.0,6.0,4.0,7.0,1.0,,9.0,1.0,2.0,139.0,167.0,54.0,12.0,3.0,32.0,,,2.0,27.0,10.0,,16.0,5.0,3.0,58.0,168.0,,0.0,117.0,9.0,3.0,1.0,3.0,62.0,79.0,5.0,76.0,2.0,23.0,20.0,3.0,9.0,,167.0,1.0,9.0,126.0,735.0,6.0,8.0,24.0,8.0,406.0,31.0,,4.0,9.0,,,3.0,3.0,4.0,20.0,497.0,65.0,1.0,87873,4.0,262.0,1.0,13.0,1.0,296.0,7.0,,,20.0,7.0,72.0,2.0,,2.0,10.0,1.0,21.0,3.0,5.0,1.0,83.0,426.0,12.0,8.0,3.0,13.0,3.0,71.0,,,1.0,1.0,0.0,2.0,5.0,2.0,1.0,4.0,0.0,2.0,2.0,64.1,19.0,2.0,3.0,,10.0,5.0,44.0,5.0,3.0,521.0,8.0,13.0,26.0,5.0,32.0,5.0,252.0,4.0,2.0,18.0,71.0,31.0,9.0,17.0,1.0,8.0,2.0,17.0,7.0,5.0,1.0,1.0,2.0,,1.0,3.0,,1.0,,,,1.0,,1.0,,,1.0,,,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210306,2021-09-12 16:30:00,"Elland Road, Leeds",36507,Home,Leeds United,Liverpool,0,3,L,0,1,1,0,3.0,19.0,57.0,1.0,18.0,17.0,,3.0,8.0,5.0,,136.0,7.0,4.0,7.0,,2.0,7.0,,4.0,109.0,128.0,37.0,9.0,,8.0,1.0,,,19.0,8.0,1.0,17.0,2.0,1.0,39.0,96.0,,0.0,80.0,9.0,1.0,2.0,2.0,50.0,40.0,3.0,54.0,2.0,17.0,17.0,1.0,7.0,,128.0,,22.0,105.0,592.0,6.0,1.0,21.0,10.0,308.0,21.0,,1.0,10.0,,1.0,2.0,15.0,4.0,13.0,381.0,37.0,1.0,87873,6.0,236.0,,8.0,1.0,266.0,3.0,,1.0,17.0,9.0,34.0,2.0,,2.0,11.0,,25.0,8.0,7.0,1.0,44.0,328.0,7.0,9.0,1.0,12.0,,50.0,,,,,0.0,1.0,11.0,5.0,3.0,1.0,1.0,4.0,3.0,44.1,12.0,2.0,3.0,3.0,11.0,1.0,28.0,2.0,2.0,404.0,10.0,4.0,23.0,4.0,25.0,4.0,157.0,3.0,1.0,7.0,55.0,21.0,10.0,16.0,3.0,8.0,3.0,11.0,9.0,2.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210316,2021-09-17 20:00:00,"St. James' Park, Newcastle",50407,Away,Leeds United,Newcastle United,1,1,D,1,1,0,0,3.0,30.0,55.0,2.0,29.0,14.0,9.0,9.0,10.0,6.0,5.0,169.0,13.0,3.0,11.0,1.0,1.0,18.0,1.0,9.0,151.0,136.0,48.0,22.0,2.0,14.0,,1.0,4.0,23.0,9.0,5.0,14.0,5.0,6.0,41.0,237.0,1.0,0.0,145.0,11.0,2.0,,,73.0,76.0,12.0,71.0,3.0,18.0,15.0,12.0,6.0,4.0,136.0,,10.0,150.0,745.0,15.0,2.0,36.0,6.0,440.0,24.0,1.0,2.0,6.0,1.0,,2.0,2.0,6.0,26.0,520.0,56.0,,87873,8.0,226.0,1.0,12.0,1.0,242.0,5.0,,,15.0,9.0,49.0,2.0,,1.0,9.0,1.0,14.0,7.0,9.0,,54.0,460.0,9.0,7.0,2.0,11.0,3.0,74.0,,,1.0,,0.0,3.0,4.0,4.0,1.0,,0.0,3.0,,64.6,26.0,,2.0,,9.0,4.0,53.0,5.0,,541.0,6.0,8.0,26.0,9.0,36.0,5.0,322.0,12.0,6.0,9.0,105.0,20.0,6.0,19.0,1.0,18.0,3.0,20.0,5.0,5.0,,1.0,2.0,,1.0,1.0,1.0,,1.0,2.0,,,,,,1.0,1.0,,,,,3.0,6.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210326,2021-09-25 15:00:00,"Elland Road, Leeds",36417,Home,Leeds United,West Ham United,1,2,L,1,0,0,0,3.0,23.0,52.0,2.0,18.0,16.0,9.0,8.0,6.0,5.0,1.0,138.0,8.0,2.0,5.0,1.0,,11.0,,5.0,114.0,124.0,44.0,15.0,2.0,19.0,,1.0,3.0,13.0,9.0,2.0,16.0,4.0,3.0,39.0,124.0,1.0,0.0,109.0,10.0,2.0,1.0,3.0,35.0,48.0,9.0,53.0,,9.0,10.0,9.0,2.0,3.0,124.0,1.0,12.0,109.0,583.0,10.0,1.0,27.0,4.0,319.0,21.0,,2.0,10.0,1.0,,3.0,5.0,2.0,15.0,395.0,44.0,,87873,5.0,214.0,1.0,6.0,,228.0,7.0,,,10.0,10.0,51.0,2.0,,2.0,7.0,1.0,13.0,9.0,9.0,,50.0,336.0,5.0,7.0,,13.0,1.0,57.0,,1.0,1.0,2.0,0.0,2.0,7.0,4.0,2.0,,0.0,1.0,,53.5,12.0,,6.0,1.0,7.0,6.0,21.0,5.0,4.0,414.0,4.0,5.0,14.0,4.0,27.0,,199.0,7.0,3.0,19.0,71.0,18.0,10.0,16.0,2.0,14.0,3.0,15.0,7.0,5.0,,1.0,4.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,2.0,1.0,,2.0,2.0,,,,1.0,1.0,1.0,,,,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210335,2021-10-02 15:00:00,"Elland Road, Leeds",36261,Home,Leeds United,Watford,1,0,W,1,0,0,0,1.0,19.0,72.0,,30.0,11.0,10.0,9.0,10.0,1.0,2.0,165.0,13.0,2.0,9.0,1.0,6.0,12.0,,4.0,134.0,159.0,49.0,20.0,3.0,14.0,1.0,,1.0,26.0,11.0,2.0,11.0,5.0,6.0,46.0,162.0,,0.0,148.0,10.0,,4.0,,50.0,60.0,6.0,62.0,2.0,21.0,20.0,10.0,3.0,5.0,159.0,,3.0,136.0,696.0,12.0,1.0,29.0,3.0,388.0,25.0,1.0,4.0,2.0,,1.0,0.0,1.0,6.0,20.0,478.0,60.0,,87873,5.0,245.0,,14.0,2.0,265.0,5.0,,,20.0,6.0,46.0,4.0,1.0,,4.0,,18.0,2.0,6.0,3.0,60.0,405.0,15.0,3.0,,19.0,1.0,61.0,,1.0,,,0.0,4.0,3.0,1.0,,,0.0,2.0,2.0,66.9,20.0,2.0,9.0,,4.0,6.0,36.0,6.0,,497.0,3.0,9.0,26.0,10.0,42.0,4.0,258.0,9.0,6.0,11.0,91.0,34.0,2.0,14.0,,16.0,2.0,20.0,8.0,6.0,1.0,,3.0,,1.0,2.0,2.0,,,,1.0,,,1.0,,,1.0,,,,,1.0,2.0,,2.0,2.0,,,,,,,,,3.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
8,2210349,2021-10-16 15:00:00,"St. Mary's Stadium, Southampton",30506,Away,Leeds United,Southampton,0,1,L,0,0,0,0,,35.0,61.0,2.0,28.0,15.0,1.0,1.0,2.0,3.0,,175.0,23.0,1.0,11.0,,,2.0,,,106.0,158.0,61.0,3.0,,20.0,1.0,,1.0,9.0,14.0,,15.0,1.0,2.0,54.0,116.0,,0.0,91.0,14.0,1.0,,,36.0,62.0,1.0,67.0,,8.0,19.0,1.0,5.0,1.0,158.0,,8.0,104.0,647.0,2.0,7.0,11.0,15.0,319.0,29.0,,6.0,7.0,,1.0,3.0,3.0,1.0,26.0,420.0,46.0,,87873,1.0,232.0,1.0,3.0,,277.0,11.0,,,19.0,15.0,73.0,1.0,,2.0,3.0,,20.0,11.0,13.0,,73.0,347.0,15.0,17.0,,25.0,,71.0,,,1.0,,0.0,1.0,8.0,2.0,1.0,2.0,0.0,1.0,,54.7,26.0,,2.0,,3.0,1.0,38.0,1.0,,452.0,15.0,14.0,21.0,2.0,17.0,1.0,184.0,2.0,2.0,14.0,57.0,26.0,7.0,21.0,1.0,3.0,3.0,19.0,8.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,2.0,2.0,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
9,2210357,2021-10-23 15:00:00,"Elland Road, Leeds",36475,Home,Leeds United,Wolverhampton Wanderers,1,1,D,0,1,0,0,2.0,27.0,70.0,2.0,25.0,12.0,5.0,9.0,13.0,3.0,1.0,142.0,9.0,9.0,21.0,1.0,5.0,13.0,,4.0,156.0,141.0,70.0,18.0,2.0,12.0,3.0,,6.0,21.0,15.0,1.0,12.0,6.0,6.0,41.0,208.0,,0.0,144.0,15.0,,4.0,,64.0,95.0,7.0,60.0,1.0,15.0,16.0,5.0,3.0,2.0,141.0,1.0,5.0,136.0,717.0,9.0,3.0,39.0,14.0,388.0,22.0,1.0,6.0,4.0,,3.0,2.0,2.0,6.0,14.0,479.0,54.0,3.0,87873,6.0,203.0,1.0,8.0,2.0,220.0,13.0,,,16.0,4.0,54.0,2.0,,1.0,5.0,,17.0,3.0,4.0,,48.0,402.0,12.0,11.0,4.0,17.0,4.0,55.0,,1.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,6.0,5.0,63.0,13.0,4.0,11.0,,5.0,5.0,37.0,6.0,,494.0,14.0,11.0,20.0,9.0,38.0,7.0,295.0,4.0,4.0,12.0,92.0,32.0,4.0,25.0,1.0,11.0,3.0,26.0,6.0,6.0,1.0,1.0,3.0,,1.0,3.0,1.0,1.0,,,,,,1.0,,1.0,3.0,,,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
10,2210367,2021-10-31 14:00:00,"Carrow Road, Norwich",26913,Away,Leeds United,Norwich City,2,1,W,0,0,0,0,3.0,27.0,64.0,1.0,24.0,20.0,7.0,9.0,6.0,2.0,1.0,143.0,14.0,2.0,13.0,2.0,3.0,12.0,,6.0,81.0,141.0,68.0,13.0,4.0,20.0,1.0,2.0,1.0,7.0,10.0,2.0,20.0,,5.0,33.0,106.0,1.0,0.0,88.0,23.0,3.0,2.0,1.0,26.0,44.0,10.0,44.0,,7.0,14.0,7.0,,,141.0,1.0,5.0,77.0,554.0,8.0,4.0,21.0,7.0,235.0,23.0,,4.0,13.0,2.0,1.0,4.0,4.0,2.0,24.0,323.0,44.0,1.0,87873,3.0,148.0,1.0,5.0,2.0,187.0,13.0,,,14.0,9.0,74.0,4.0,,,11.0,2.0,21.0,9.0,5.0,1.0,58.0,252.0,13.0,14.0,2.0,21.0,,66.0,,1.0,,,0.0,3.0,5.0,1.0,1.0,,0.0,2.0,1.0,52.1,22.0,1.0,3.0,,11.0,5.0,33.0,,1.0,345.0,7.0,8.0,17.0,2.0,19.0,2.0,165.0,3.0,3.0,23.0,59.0,25.0,13.0,21.0,1.0,11.0,3.0,22.0,6.0,,,1.0,1.0,,2.0,1.0,,,1.0,1.0,,,,1.0,,,2.0,,,,1.0,2.0,2.0,,2.0,2.0,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
