gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,saves,attOboxBlocked,attMissLeft,divingSave,attMissRight,crosses18yardplus,errorLeadToShot,totalOffside,attSvLowRight,punches,savedIbox,attCmissHighRight,shieldBallOop,effectiveBlockedCross,blockedCross,savedObox,accuratePullBack,attFreekickTotal,freekickTotal,sixYardBlock,attSvHighCentre,attFreekickMiss,handBall,accurateKeeperSweeper,totalKeeperSweeper,ownGoals,totalThroughBall,attIboxOwnGoal,bigChanceScored,attGoalLowLeft,attOneOnOne,contentiousDecision,accurateThroughBall,attHdGoal,goalAssistSetplay,ptsGainedLosingPos,foulThrowIn,clearanceOffLine,attCmissRight,hitWoodwork,goalAssistDeadball,attLfGoal,attGoalHighCentre,attFreekickTarget,penaltySave,expectedGoalsOnTargetConceded,secondYellow,expectedAssists,attObxdLeft,attCmissLeft,expectedGoals,attPenTarget,penaltyWon,attHdTarget,attCmissHigh,attPenGoal,errorLeadToGoal,expectedGoalsOnTarget,expectedGoalsFreekick,postScoringAtt,attIboxPost,attPostLeft,attOboxPost,attPostRight,ptsDroppedWinningPos,cleanSheet,attLgCentre,attGoalHighRight,attSvHighLeft,attPostHigh,defenderGoals
1,2210280,2021-08-14 15:00:00,"Vicarage Road, Watford",20051,Home,Watford,Aston Villa,3,2,W,2,0,0,0,1.0,26.0,68.0,1.0,2.0,21.0,25.0,4.0,1.0,9.0,4.0,136.0,1.0,9.0,2.0,13.0,3.0,2.0,11.0,7.0,66.0,128.0,65.0,13.0,17.0,2.0,3.0,2.0,2.0,2.0,1.0,8.0,6.0,2.0,25.0,2.0,4.0,46.0,80.0,1.0,1.0,0.0,78.0,18.0,4.0,1.0,1.0,2.0,3.0,28.0,45.0,8.0,46.0,3.0,7.0,6.0,4.0,2.0,128.0,1.0,4.0,69.0,487.0,8.0,7.0,21.0,9.0,216.0,35.0,1.0,1.0,14.0,2.0,3.0,3.0,3.0,17.0,290.0,45.0,1.0,9089,4.0,156.0,1.0,5.0,1.0,1.0,183.0,11.0,3.0,1.0,6.0,8.0,62.0,7.0,3.0,16.0,7.0,3.0,2.0,63.0,234.0,13.0,14.0,1.0,14.0,1.0,65.0,3.0,1.0,0.0,2.0,4.0,3.0,2.0,5.0,0.0,2.0,1.0,1.0,37.9,9.0,1.0,3.0,2.0,7.0,2.0,25.0,2.0,1.0,3.0,317.0,1.0,9.0,8.0,22.0,4.0,11.0,1.0,2.0,142.0,11.0,3.0,24.0,44.0,21.0,1.0,14.0,15.0,1.0,11.0,3.0,18.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210283,2021-08-21 17:30:00,"American Express Stadium, Falmer",29485,Away,Watford,Brighton and Hove Albion,0,2,L,0,2,0,0,,36.0,46.0,,3.0,27.0,25.0,3.0,2.0,7.0,,121.0,,21.0,3.0,6.0,,,10.0,1.0,128.0,128.0,48.0,10.0,17.0,1.0,,1.0,,,,17.0,6.0,,25.0,1.0,9.0,38.0,151.0,1.0,,0.0,108.0,6.0,,,,1.0,,35.0,73.0,5.0,56.0,2.0,16.0,22.0,3.0,2.0,128.0,,8.0,136.0,626.0,10.0,4.0,19.0,10.0,343.0,24.0,,4.0,16.0,,0.0,5.0,5.0,22.0,418.0,34.0,,9089,5.0,217.0,,10.0,,,236.0,3.0,,,22.0,8.0,49.0,3.0,,13.0,5.0,8.0,1.0,47.0,365.0,11.0,7.0,,14.0,,57.0,,,0.0,2.0,7.0,,2.0,,0.0,3.0,,3.0,43.1,20.0,3.0,5.0,1.0,4.0,4.0,36.0,2.0,,,441.0,,10.0,12.0,22.0,5.0,21.0,,3.0,222.0,5.0,8.0,18.0,72.0,13.0,,16.0,13.0,2.0,10.0,3.0,13.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210298,2021-08-29 14:00:00,"Tottenham Hotspur Stadium, London",57672,Away,Watford,Tottenham Hotspur,0,1,L,0,1,0,0,1.0,25.0,43.0,,2.0,26.0,36.0,3.0,,6.0,2.0,96.0,,14.0,4.0,10.0,,3.0,8.0,2.0,108.0,115.0,44.0,9.0,13.0,2.0,,2.0,,,,14.0,11.0,,36.0,3.0,3.0,40.0,100.0,,1.0,0.0,69.0,14.0,,,,1.0,,49.0,35.0,5.0,56.0,1.0,11.0,17.0,3.0,2.0,115.0,,9.0,104.0,564.0,8.0,5.0,17.0,4.0,282.0,18.0,,1.0,25.0,,3.0,3.0,3.0,25.0,345.0,34.0,,85624,2.0,201.0,,4.0,,,226.0,10.0,,2.0,17.0,9.0,53.0,10.0,,18.0,6.0,8.0,3.0,45.0,297.0,8.0,9.0,,4.0,1.0,48.0,,,0.0,,10.0,,1.0,1.0,0.0,3.0,,1.0,42.4,25.0,1.0,,1.0,10.0,3.0,32.0,3.0,,,364.0,,4.0,10.0,14.0,4.0,14.0,1.0,2.0,152.0,8.0,3.0,10.0,47.0,14.0,,25.0,16.0,,7.0,3.0,19.0,6.0,3.0,,7.0,1.0,1.0,3.0,,6.0,,1.0,,1.0,3.0,,,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210310,2021-09-11 15:00:00,"Vicarage Road, Watford",20019,Home,Watford,Wolverhampton Wanderers,0,2,L,0,0,0,0,,26.0,50.0,,,28.0,23.0,4.0,2.0,2.0,2.0,115.0,,17.0,1.0,14.0,,1.0,3.0,2.0,102.0,117.0,59.0,6.0,5.0,2.0,,1.0,,,,18.0,11.0,,23.0,3.0,7.0,35.0,115.0,1.0,,0.0,96.0,15.0,,,,1.0,,43.0,50.0,2.0,53.0,1.0,15.0,14.0,4.0,4.0,117.0,,10.0,100.0,560.0,3.0,5.0,16.0,8.0,279.0,23.0,1.0,4.0,8.0,,3.0,3.0,1.0,20.0,340.0,54.0,,85624,1.0,192.0,,11.0,1.0,,207.0,8.0,,3.0,14.0,10.0,56.0,9.0,,14.0,5.0,10.0,1.0,45.0,306.0,13.0,19.0,,9.0,1.0,45.0,,,0.0,1.0,8.0,,2.0,1.0,0.0,1.0,,,44.0,19.0,,2.0,,9.0,,32.0,6.0,,,370.0,,8.0,9.0,23.0,4.0,22.0,,,181.0,4.0,7.0,12.0,62.0,14.0,,8.0,20.0,2.0,4.0,2.0,24.0,2.0,6.0,,4.0,,1.0,1.0,,3.0,,1.0,2.0,,3.0,,1.0,,,1.0,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210317,2021-09-18 15:00:00,"Carrow Road, Norwich",26649,Away,Watford,Norwich City,3,1,W,1,1,0,0,,29.0,64.0,1.0,1.0,41.0,14.0,1.0,2.0,11.0,4.0,148.0,1.0,21.0,3.0,13.0,3.0,,11.0,8.0,92.0,141.0,48.0,12.0,18.0,5.0,1.0,1.0,2.0,,,21.0,6.0,,14.0,7.0,8.0,41.0,156.0,,,0.0,118.0,14.0,1.0,3.0,2.0,,1.0,60.0,78.0,8.0,67.0,,14.0,13.0,1.0,1.0,141.0,5.0,7.0,89.0,582.0,8.0,6.0,24.0,9.0,299.0,38.0,,4.0,6.0,2.0,1.0,4.0,3.0,24.0,376.0,58.0,,9089,8.0,160.0,3.0,4.0,,,180.0,9.0,2.0,2.0,13.0,6.0,57.0,3.0,3.0,18.0,5.0,3.0,,78.0,313.0,9.0,9.0,1.0,22.0,1.0,73.0,1.0,,0.0,2.0,4.0,3.0,1.0,2.0,0.0,2.0,2.0,3.0,51.3,21.0,2.0,4.0,1.0,3.0,1.0,39.0,8.0,,1.0,396.0,,9.0,9.0,25.0,3.0,27.0,1.0,2.0,237.0,7.0,7.0,15.0,78.0,15.0,,6.0,11.0,1.0,11.0,3.0,21.0,5.0,8.0,1.0,4.0,,3.0,2.0,,10.0,1.0,,3.0,,2.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,3.0,,3.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210330,2021-09-25 15:00:00,"Vicarage Road, Watford",20650,Home,Watford,Newcastle United,1,1,D,0,1,0,0,1.0,20.0,50.0,1.0,3.0,34.0,13.0,8.0,3.0,7.0,2.0,151.0,,7.0,2.0,21.0,1.0,4.0,12.0,4.0,80.0,142.0,61.0,15.0,24.0,1.0,3.0,1.0,,,,15.0,7.0,2.0,13.0,5.0,2.0,38.0,149.0,2.0,,0.0,107.0,19.0,3.0,1.0,2.0,2.0,,66.0,51.0,7.0,55.0,1.0,10.0,13.0,8.0,4.0,142.0,1.0,10.0,78.0,558.0,11.0,5.0,16.0,7.0,259.0,22.0,1.0,5.0,7.0,1.0,4.0,6.0,5.0,26.0,339.0,55.0,,9089,4.0,133.0,,5.0,1.0,,148.0,11.0,,,13.0,13.0,74.0,4.0,,19.0,10.0,11.0,2.0,60.0,280.0,10.0,11.0,,15.0,1.0,72.0,3.0,,0.0,1.0,6.0,1.0,1.0,,0.0,1.0,1.0,2.0,52.2,24.0,1.0,1.0,,4.0,5.0,44.0,5.0,,,364.0,,7.0,11.0,19.0,6.0,23.0,1.0,2.0,231.0,10.0,2.0,17.0,66.0,23.0,,7.0,13.0,,12.0,4.0,32.0,6.0,5.0,1.0,5.0,2.0,,2.0,1.0,3.0,2.0,1.0,1.0,,3.0,1.0,1.0,,,2.0,,1.0,1.0,,,,2.0,,,,2.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210335,2021-10-02 15:00:00,"Elland Road, Leeds",36261,Away,Watford,Leeds United,0,1,L,0,1,0,0,,19.0,63.0,,,22.0,34.0,2.0,1.0,3.0,1.0,117.0,,6.0,,3.0,,1.0,4.0,1.0,62.0,140.0,46.0,5.0,11.0,1.0,,2.0,,,,11.0,10.0,,34.0,3.0,2.0,33.0,77.0,,,0.0,65.0,16.0,,,,1.0,2.0,38.0,38.0,3.0,25.0,1.0,8.0,20.0,2.0,,140.0,,10.0,38.0,452.0,4.0,9.0,12.0,3.0,140.0,31.0,2.0,3.0,15.0,,3.0,7.0,1.0,25.0,219.0,40.0,,9089,,80.0,,5.0,,,110.0,6.0,,,20.0,12.0,49.0,8.0,,19.0,10.0,9.0,,57.0,157.0,9.0,9.0,,21.0,,61.0,,,0.0,2.0,6.0,,1.0,2.0,0.0,,,,33.1,17.0,,5.0,,8.0,2.0,29.0,3.0,,3.0,242.0,,3.0,5.0,15.0,2.0,18.0,,2.0,143.0,4.0,1.0,14.0,37.0,17.0,,15.0,20.0,1.0,5.0,3.0,12.0,10.0,3.0,,2.0,2.0,,2.0,,2.0,,,1.0,,1.0,,,2.0,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210350,2021-10-16 12:30:00,"Vicarage Road, Watford",21085,Home,Watford,Liverpool,0,5,L,0,2,0,0,1.0,36.0,71.0,,1.0,21.0,33.0,1.0,,5.0,2.0,123.0,,23.0,2.0,9.0,,,5.0,2.0,47.0,141.0,52.0,6.0,10.0,1.0,,,,1.0,,7.0,10.0,1.0,33.0,1.0,4.0,44.0,57.0,,,0.0,59.0,4.0,,,1.0,1.0,1.0,34.0,23.0,3.0,37.0,3.0,6.0,24.0,1.0,,141.0,,12.0,45.0,449.0,5.0,5.0,15.0,11.0,151.0,40.0,1.0,5.0,18.0,,0.0,5.0,2.0,11.0,228.0,34.0,,9089,2.0,110.0,,2.0,,,133.0,1.0,,1.0,24.0,7.0,42.0,2.0,,18.0,7.0,3.0,,61.0,165.0,10.0,10.0,,19.0,1.0,64.0,,,0.0,,9.0,,5.0,1.0,0.0,2.0,,1.0,23.8,7.0,1.0,1.0,3.0,3.0,1.0,21.0,1.0,,2.0,252.0,,11.0,7.0,14.0,3.0,13.0,,3.0,126.0,5.0,4.0,19.0,28.0,21.0,,18.0,14.0,4.0,5.0,3.0,20.0,16.0,1.0,,4.0,,1.0,3.0,1.0,3.0,1.0,8.0,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2210356,2021-10-23 15:00:00,"Goodison Park, Liverpool",38834,Away,Watford,Everton,5,2,W,1,1,0,0,,19.0,53.0,3.0,2.0,22.0,27.0,10.0,4.0,10.0,3.0,164.0,,7.0,6.0,12.0,5.0,3.0,14.0,8.0,100.0,166.0,57.0,20.0,24.0,2.0,1.0,,4.0,1.0,,24.0,6.0,1.0,27.0,4.0,3.0,30.0,143.0,1.0,,0.0,134.0,13.0,1.0,1.0,1.0,3.0,1.0,68.0,58.0,11.0,50.0,1.0,20.0,27.0,10.0,6.0,166.0,6.0,11.0,74.0,617.0,8.0,9.0,27.0,3.0,273.0,20.0,2.0,9.0,11.0,5.0,3.0,5.0,3.0,34.0,365.0,63.0,,9089,8.0,149.0,1.0,6.0,1.0,,164.0,5.0,2.0,,27.0,11.0,67.0,3.0,3.0,15.0,4.0,4.0,3.0,54.0,286.0,8.0,7.0,1.0,23.0,3.0,81.0,1.0,1.0,0.0,,3.0,5.0,2.0,5.0,0.0,4.0,3.0,2.0,49.9,28.0,1.0,3.0,1.0,3.0,5.0,42.0,5.0,,1.0,388.0,,3.0,13.0,13.0,7.0,31.0,2.0,1.0,248.0,14.0,3.0,26.0,76.0,24.0,3.0,11.0,11.0,2.0,16.0,3.0,24.0,16.0,5.0,,2.0,3.0,1.0,1.0,,11.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,5.0,,,1.0,,1.0,1.0,3.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2210369,2021-10-30 15:00:00,"Vicarage Road, Watford",20869,Home,Watford,Southampton,0,1,L,0,1,0,0,,28.0,69.0,,,27.0,27.0,5.0,2.0,5.0,3.0,153.0,,13.0,4.0,10.0,,2.0,8.0,4.0,59.0,165.0,52.0,10.0,35.0,2.0,1.0,,,1.0,,30.0,7.0,2.0,27.0,5.0,3.0,28.0,117.0,1.0,,0.0,113.0,16.0,1.0,,1.0,1.0,,38.0,61.0,3.0,44.0,3.0,25.0,16.0,5.0,3.0,165.0,1.0,9.0,41.0,492.0,7.0,5.0,9.0,12.0,189.0,32.0,,5.0,18.0,,2.0,5.0,5.0,21.0,280.0,76.0,,9089,4.0,85.0,1.0,13.0,,,109.0,7.0,,,16.0,9.0,73.0,1.0,,17.0,3.0,5.0,1.0,69.0,198.0,6.0,7.0,1.0,31.0,1.0,77.0,1.0,,0.0,2.0,8.0,,1.0,1.0,0.0,3.0,,2.0,38.7,17.0,2.0,3.0,,1.0,,37.0,5.0,,,297.0,,12.0,9.0,13.0,6.0,36.0,1.0,3.0,218.0,6.0,3.0,21.0,59.0,27.0,,18.0,15.0,1.0,8.0,3.0,16.0,8.0,5.0,1.0,,,2.0,,2.0,11.0,,2.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
