matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
803291,13,2015-11-22 16:00:00,"White Hart Lane, London",35968,Away,West Ham,Spurs,1,4,L,0,2,0,0,1.0,10.0,4.0,3.0,3.0,,,1.0,1.0,1.0,9.0,7.0,26.0,45.0,372.0,285.0,44.2,28.0,20.0,18.0,26.0,22.0,14.0,5.0,,1.0,9.0,13.0,161.0,8.0,4.0,,,64.0,51.0,10.0,12.0,6.0,6.0,1.0,9.0,13.0,0.0,0.0,,,3.0
803301,14,2015-11-29 14:05:00,"Boleyn Ground, London",34914,Home,West Ham,West Brom,1,1,D,1,0,0,0,1.0,17.0,6.0,8.0,3.0,1.0,,1.0,,,10.0,4.0,27.0,54.0,435.0,342.0,60.9,20.0,17.0,7.0,24.0,23.0,15.0,,,,4.0,11.0,149.0,3.0,1.0,,1.0,67.0,56.0,19.0,16.0,5.0,5.0,1.0,15.0,16.0,0.0,0.0,,,
803311,15,2015-12-05 15:00:00,"Old Trafford, Manchester",75350,Away,West Ham,Man Utd,0,0,D,0,0,0,0,,9.0,2.0,5.0,2.0,3.0,,3.0,2.0,,7.0,3.0,21.0,50.0,302.0,222.0,37.4,27.0,18.0,25.0,34.0,30.0,13.0,10.0,,,12.0,8.0,139.0,1.0,,1.0,,67.0,54.0,23.0,12.0,2.0,2.0,,13.0,10.0,0.0,0.0,,,1.0
803318,16,2015-12-12 15:00:00,"Boleyn Ground, London",34857,Home,West Ham,Stoke,0,0,D,0,0,0,0,,24.0,10.0,6.0,8.0,,,,1.0,,18.0,12.0,46.0,56.0,335.0,247.0,46.7,15.0,12.0,16.0,35.0,28.0,11.0,5.0,,,6.0,13.0,159.0,3.0,,1.0,,55.0,56.0,23.0,22.0,11.0,11.0,3.0,7.0,9.0,0.0,0.0,,,1.0
803331,17,2015-12-20 16:00:00,"Swansea.com Stadium, Swansea",20661,Away,West Ham,Swansea,0,0,D,0,0,0,0,,11.0,2.0,6.0,3.0,,,,,,8.0,2.0,24.0,35.0,239.0,162.0,27.3,13.0,9.0,26.0,41.0,29.0,15.0,11.0,1.0,,9.0,6.0,141.0,2.0,,1.0,,36.0,51.0,13.0,16.0,9.0,9.0,1.0,9.0,6.0,0.0,0.0,,,2.0
803341,18,2015-12-26 15:00:00,"Villa Park, Birmingham",38193,Away,West Ham,Aston Villa,1,1,D,1,0,0,0,1.0,10.0,4.0,4.0,2.0,,,1.0,1.0,1.0,6.0,3.0,24.0,43.0,309.0,222.0,40.9,21.0,13.0,9.0,48.0,36.0,12.0,3.0,,,9.0,10.0,156.0,6.0,1.0,,,62.0,64.0,22.0,25.0,6.0,6.0,1.0,13.0,12.0,0.0,0.0,,,1.0
803348,19,2015-12-28 17:30:00,"Boleyn Ground, London",34977,Home,West Ham,Southampton,2,1,W,0,1,0,0,2.0,13.0,5.0,7.0,1.0,2.0,1.0,3.0,1.0,,9.0,4.0,23.0,54.0,408.0,300.0,49.1,23.0,20.0,18.0,41.0,36.0,16.0,3.0,,,10.0,9.0,175.0,3.0,1.0,,1.0,62.0,55.0,21.0,19.0,4.0,4.0,1.0,6.0,12.0,0.0,0.0,,,1.0
803355,20,2016-01-02 12:45:00,"Boleyn Ground, London",34977,Home,West Ham,Liverpool,2,0,W,1,0,0,0,2.0,18.0,10.0,5.0,3.0,1.0,,2.0,1.0,2.0,13.0,9.0,21.0,47.0,285.0,189.0,35.6,22.0,15.0,27.0,54.0,41.0,16.0,12.0,,,10.0,6.0,164.0,1.0,,1.0,,59.0,50.0,26.0,13.0,3.0,3.0,,11.0,8.0,0.0,0.0,,,1.0
803365,21,2016-01-12 19:45:00,"Vitality Stadium, Bournemouth",11071,Away,West Ham,Bournemouth,3,1,W,0,1,0,0,3.0,10.0,5.0,4.0,1.0,2.0,1.0,2.0,,1.0,6.0,3.0,24.0,56.0,432.0,321.0,51.3,21.0,15.0,14.0,20.0,13.0,27.0,4.0,,1.0,18.0,11.0,182.0,3.0,1.0,,,67.0,51.0,21.0,10.0,7.0,7.0,,5.0,8.0,0.0,0.0,,,4.0
803381,22,2016-01-16 15:00:00,"St. James' Park, Newcastle",50031,Away,West Ham,Newcastle,1,2,L,0,2,0,0,1.0,10.0,3.0,5.0,2.0,,1.0,,,,8.0,3.0,28.0,58.0,436.0,351.0,49.3,23.0,19.0,16.0,17.0,10.0,19.0,5.0,,,7.0,11.0,161.0,8.0,2.0,,,52.0,49.0,12.0,14.0,3.0,3.0,1.0,4.0,8.0,0.0,0.0,,,1.0
803386,23,2016-01-23 17:30:00,"Boleyn Ground, London",34977,Home,West Ham,Man City,2,2,D,1,1,0,0,2.0,10.0,3.0,5.0,2.0,1.0,1.0,,1.0,1.0,8.0,3.0,29.0,72.0,401.0,297.0,46.7,23.0,17.0,11.0,24.0,19.0,18.0,9.0,,1.0,13.0,3.0,169.0,1.0,2.0,,,68.0,64.0,18.0,26.0,5.0,5.0,1.0,11.0,15.0,0.0,0.0,,,1.0
