fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round,opponent_team_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,transfers_balance,selected,transfers_in,transfers_out,ict_index,avg_value,team_id,team,players_used,players_played
1,12,False,2025-08-15T19:00:00Z,4,2,1,Liverpool,101,1075,6,2,11,4,0,0,0,2,0,3,9,394,402.4,146.4,173.0,38,40,20,71,12,3.37,1.4100000000000001,4.78,9.4,0,12314885,0,0,72.2,61.0,13,Man City,31,17
12,20,True,2025-08-23T14:00:00Z,1,0,2,Wolves,26,1091,0,1,1,21,0,0,0,1,0,3,0,126,196.8,161.79999999999998,163.0,35,53,18,75,12,2.3400000000000003,1.4300000000000002,3.7700000000000005,12.85,2020352,17196318,3592424,1572072,52.2,60.8,13,Man City,31,17
29,18,False,2025-08-30T14:00:00Z,0,1,3,Spurs,49,1076,2,1,2,20,0,0,0,3,0,5,8,187,260.59999999999997,158.4,171.0,31,59,19,75,12,1.7799999999999998,1.33,3.11,24.32,442202,18475638,2604339,2162137,59.0,60.7,13,Man City,31,16
32,6,True,2025-09-13T14:00:00Z,2,1,4,Brighton,101,1163,4,4,12,1,0,0,0,0,0,2,9,373,365.6,183.4,203.0,53,57,15,99,13,3.5,1.48,4.98,17.5,373735,19403819,3056603,2682868,75.2,59.4,13,Man City,34,16
42,15,True,2025-09-21T13:00:00Z,0,0,5,Newcastle,60,1166,1,2,5,12,0,0,0,2,0,2,5,202,245.6,85.5,79.0,73,58,22,129,13,1.2000000000000002,0.19999999999999998,1.4000000000000001,11.34,1199727,20996531,2787523,1587796,41.0,59.4,13,Man City,34,18
56,11,False,2025-09-27T14:00:00Z,2,2,6,Leeds,70,1138,4,5,0,14,0,0,0,1,0,1,6,294,378.0,287.3,276.0,37,41,13,72,13,2.24,1.5699999999999998,3.81,8.49,3871982,25403090,5031299,1159317,94.1,59.0,13,Man City,35,16
63,10,True,2025-10-03T19:00:00Z,3,1,7,Fulham,81,1092,3,2,10,3,0,0,0,2,0,1,9,328,314.8,170.60000000000002,192.0,40,55,16,82,12,1.67,1.0499999999999998,2.7199999999999998,11.33,2341108,27894563,3168343,827235,67.7,59.1,13,Man City,35,15
73,8,False,2025-10-18T14:00:00Z,3,3,8,Crystal Palace,77,1134,2,4,9,6,0,0,0,1,0,1,6,357,304.4,325.3,261.0,39,47,16,74,13,2.6799999999999997,2.35,5.029999999999999,15.23,1702712,29870046,2565158,862446,89.1,59.3,13,Man City,35,17
83,16,True,2025-10-26T14:00:00Z,2,0,9,Nott'm Forest,30,1105,0,0,1,11,0,0,0,4,0,2,0,131,199.2,231.70000000000002,170.0,42,51,14,82,12,1.31,1.13,2.44,9.8,105689,30060102,1223213,1117524,60.1,59.2,13,Man City,35,17
96,13,False,2025-11-02T16:30:00Z,3,1,10,Man City,68,1167,3,3,1,14,0,0,0,2,0,4,7,289,333.0,214.7,230.0,40,51,17,81,13,2.25,0.97,3.2199999999999998,10.73,-527753,29600716,796693,1324446,77.8,59.2,13,Man City,35,18
101,2,False,2025-11-09T14:00:00Z,4,0,11,Aston Villa,76,1078,3,3,10,4,0,0,2,2,0,2,6,301,265.4,122.4,155.0,36,42,18,74,12,2.3899999999999997,0.38,2.77,9.51,-249039,29535254,782906,1031945,54.3,59.1,13,Man City,35,14
112,19,True,2025-11-22T15:00:00Z,2,2,12,West Ham,35,1063,1,1,1,22,0,0,0,3,0,3,2,170,195.2,223.6,158.0,31,46,14,63,12,2.46,1.6800000000000002,4.140000000000001,26.430000000000003,-105469,29460650,1347947,1453416,57.7,59.0,13,Man City,35,15
128,17,False,2025-11-29T15:00:00Z,3,2,13,Sunderland,53,1169,3,3,0,27,0,1,0,6,0,1,4,206,329.79999999999995,300.9,314.0,35,55,7,63,13,3.1900000000000004,2.67,5.86,19.41,144431,30145656,1488900,1344469,94.5,59.1,13,Man City,35,16
132,9,True,2025-12-02T19:30:00Z,0,1,14,Everton,72,1168,4,5,1,45,0,0,0,1,0,1,8,264,407.00000000000006,169.4,179.0,62,58,20,111,13,2.4400000000000004,2.22,4.66,12.4,188035,30106840,913834,725799,75.5,59.1,13,Man City,35,17
