gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,attLfGoal,shotFastbreak,accurateKeeperSweeper,goalFastbreak,totalFastbreak,goodHighClaim,interceptionsInBox,attMissRight,totalKeeperSweeper,accurateThroughBall,defenderGoals,attFastbreak,punches,attCmissHighRight,totalHighClaim,savedObox,attFreekickTotal,attOboxGoal,freekickTotal,sixYardBlock,attSvLowRight,errorLeadToGoal,attOneOnOne,divingSave,forwardGoals,goalsConcededObox,attCmissRight,ptsGainedLosingPos,attLgCentre,clearanceOffLine,accurateFreekickCross,ownGoals,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attCmissHigh,ptsDroppedWinningPos,attFreekickPost,attPostHigh,attSvHighRight,contentiousDecision,attFreekickTarget,errorLeadToShot,attFreekickMiss,attGoalHighRight,attCmissHighLeft,attSvHighLeft,foulThrowIn,attGoalHighCentre,attHdPost,cleanSheet,attPenTarget
1,2367541,2023-08-12 15:00:00,"American Express Stadium, Falmer",31872,Home,Brighton and Hove Albion,Luton Town,4,1,W,1,0,0,0,2.0,4.0,4.0,56.0,2.0,3.0,17.0,13.0,6.0,6.0,20.0,2.0,3.0,181.0,1.0,7.0,6.0,4.0,5.0,23.0,1.0,12.0,165.0,109.0,43.0,27.0,2.0,21.0,6.0,1.0,3.0,2.0,3.0,3.0,23.0,2.0,10.0,2.0,13.0,3.0,4.0,27.0,279.0,1.0,1.0,0.0,178.0,11.0,2.0,4.0,1.0,119.0,45.0,13.0,105.0,20.0,13.0,7.0,13.0,2.0,109.0,4.0,7.0,2.0,1.0,154.0,794.0,17.0,1.0,51.0,1.0,3.0,4.0,524.0,18.0,1.0,2.0,9.0,2.0,2.0,2.0,10.0,16.0,578.0,61.0,83299,13.0,279.0,2.0,6.0,3.0,1.0,288.0,4.0,1.0,3.0,1.0,6.0,8.0,48.0,1.0,2.0,5.0,3.0,19.0,2.0,8.0,2.0,1.0,30.0,551.0,12.0,1.0,4.0,2.0,3.0,62.0,1.0,1.0,0.0,1.0,7.0,2.0,4.0,1.0,1.0,1.0,0.0,6.0,2.0,1.0,5.0,70.7,16.0,3.0,5.0,3.0,1.0,5.0,5.0,52.0,6.0,1.0,605.0,1.0,4.0,8.0,12.0,10.0,2.0,38.0,1.0,5.0,340.0,16.0,4.0,12.0,142.0,27.0,1.0,9.0,13.0,1.0,1.0,20.0,5.0,15.0,1.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367557,2023-08-19 15:00:00,"Molineux Stadium, Wolverhampton",31317,Away,Brighton and Hove Albion,Wolverhampton Wanderers,4,1,W,1,0,0,1,1.0,2.0,4.0,69.0,1.0,2.0,24.0,21.0,5.0,8.0,11.0,4.0,2.0,179.0,1.0,,13.0,4.0,1.0,15.0,1.0,8.0,153.0,115.0,57.0,16.0,1.0,5.0,2.0,1.0,,4.0,3.0,2.0,9.0,,17.0,2.0,21.0,2.0,11.0,35.0,199.0,1.0,,0.0,121.0,11.0,3.0,1.0,1.0,47.0,41.0,11.0,86.0,7.0,15.0,5.0,3.0,2.0,115.0,5.0,12.0,,,134.0,746.0,11.0,3.0,40.0,,,10.0,458.0,25.0,,1.0,5.0,4.0,6.0,4.0,4.0,14.0,522.0,44.0,83299,8.0,287.0,1.0,3.0,,,314.0,6.0,,1.0,1.0,9.0,9.0,59.0,5.0,7.0,3.0,4.0,11.0,4.0,9.0,,,43.0,486.0,14.0,24.0,,6.0,,52.0,1.0,1.0,0.0,,5.0,4.0,4.0,,1.0,2.0,0.0,,3.0,,1.0,53.6,12.0,1.0,7.0,1.0,,3.0,3.0,37.0,3.0,,552.0,,10.0,10.0,21.0,5.0,,21.0,,3.0,247.0,7.0,10.0,5.0,98.0,27.0,1.0,5.0,25.0,,1.0,15.0,5.0,23.0,1.0,9.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367561,2023-08-26 17:30:00,"American Express Stadium, Falmer",31508,Home,Brighton and Hove Albion,West Ham United,1,3,L,0,1,0,0,,2.0,,56.0,,5.0,27.0,12.0,12.0,5.0,13.0,4.0,5.0,190.0,,10.0,7.0,1.0,2.0,21.0,,10.0,213.0,144.0,41.0,25.0,5.0,13.0,5.0,,,1.0,3.0,2.0,41.0,,6.0,4.0,12.0,9.0,2.0,35.0,495.0,,,0.0,342.0,10.0,1.0,1.0,,97.0,118.0,17.0,145.0,32.0,19.0,12.0,12.0,2.0,144.0,1.0,10.0,,,201.0,943.0,17.0,,68.0,2.0,1.0,6.0,641.0,13.0,,1.0,7.0,1.0,1.0,1.0,4.0,15.0,722.0,94.0,83299,11.0,183.0,2.0,20.0,,,201.0,6.0,,1.0,1.0,9.0,5.0,47.0,,1.0,6.0,1.0,12.0,2.0,5.0,3.0,,38.0,668.0,9.0,9.0,3.0,3.0,6.0,47.0,,1.0,0.0,2.0,4.0,2.0,,,3.0,,0.0,7.0,,1.0,4.0,78.0,13.0,,7.0,1.0,2.0,6.0,10.0,39.0,17.0,,749.0,,6.0,6.0,22.0,5.0,,69.0,3.0,3.0,589.0,16.0,2.0,13.0,286.0,30.0,,7.0,12.0,,3.0,18.0,4.0,16.0,,9.0,17.0,1.0,,,,,,1.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367570,2023-09-02 17:30:00,"American Express Stadium, Falmer",31620,Home,Brighton and Hove Albion,Newcastle United,3,1,W,1,0,0,0,,2.0,1.0,52.0,2.0,3.0,23.0,12.0,6.0,4.0,9.0,2.0,1.0,141.0,1.0,6.0,10.0,3.0,,12.0,,6.0,162.0,101.0,47.0,15.0,1.0,5.0,2.0,,,2.0,,3.0,9.0,,3.0,1.0,12.0,4.0,9.0,44.0,221.0,,,0.0,131.0,14.0,,1.0,,58.0,60.0,8.0,115.0,5.0,17.0,6.0,1.0,2.0,101.0,,7.0,,,147.0,741.0,9.0,2.0,35.0,,,11.0,483.0,17.0,1.0,,4.0,2.0,4.0,3.0,4.0,12.0,536.0,48.0,83299,5.0,292.0,,4.0,,,310.0,10.0,,2.0,2.0,10.0,9.0,50.0,1.0,5.0,4.0,3.0,14.0,2.0,9.0,1.0,,43.0,507.0,17.0,13.0,1.0,2.0,3.0,47.0,,1.0,0.0,2.0,3.0,1.0,1.0,,1.0,1.0,0.0,2.0,,2.0,2.0,55.8,11.0,2.0,8.0,3.0,,4.0,4.0,34.0,5.0,,565.0,,11.0,9.0,22.0,5.0,,20.0,4.0,3.0,264.0,9.0,9.0,12.0,98.0,21.0,1.0,4.0,8.0,,1.0,12.0,5.0,19.0,1.0,10.0,5.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,2.0,,,2.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367582,2023-09-16 15:00:00,"Old Trafford, Manchester",73592,Away,Brighton and Hove Albion,Manchester United,3,1,W,1,0,0,0,,,1.0,59.0,1.0,,35.0,17.0,3.0,1.0,7.0,3.0,5.0,176.0,1.0,2.0,6.0,3.0,,10.0,,8.0,177.0,97.0,38.0,10.0,,1.0,4.0,1.0,,3.0,1.0,1.0,4.0,,9.0,1.0,17.0,,8.0,47.0,143.0,,,0.0,79.0,9.0,1.0,1.0,,42.0,56.0,8.0,135.0,4.0,14.0,3.0,1.0,2.0,97.0,3.0,8.0,1.0,,173.0,808.0,7.0,3.0,15.0,,,10.0,582.0,31.0,,2.0,12.0,3.0,2.0,6.0,2.0,9.0,638.0,32.0,83299,5.0,461.0,2.0,3.0,,,485.0,6.0,,2.0,,7.0,8.0,48.0,5.0,1.0,2.0,3.0,17.0,6.0,8.0,1.0,,52.0,602.0,8.0,22.0,,6.0,,61.0,,,0.0,1.0,8.0,1.0,3.0,,1.0,,0.0,2.0,3.0,,,56.1,8.0,,2.0,,,2.0,,42.0,1.0,,661.0,,10.0,6.0,31.0,2.0,,14.0,,,180.0,9.0,7.0,5.0,58.0,20.0,2.0,12.0,19.0,,,10.0,5.0,16.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,,1.0,,,,2.0,,,,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2367590,2023-09-24 14:00:00,"American Express Stadium, Falmer",31617,Home,Brighton and Hove Albion,Bournemouth,3,1,W,1,1,0,0,,1.0,2.0,55.0,2.0,4.0,30.0,14.0,4.0,6.0,8.0,2.0,1.0,168.0,,4.0,7.0,3.0,2.0,11.0,,4.0,127.0,128.0,59.0,13.0,2.0,1.0,,,,2.0,,1.0,13.0,,15.0,2.0,14.0,4.0,14.0,40.0,149.0,,,0.0,88.0,12.0,,1.0,2.0,48.0,47.0,9.0,109.0,9.0,11.0,5.0,2.0,1.0,128.0,3.0,8.0,2.0,,115.0,716.0,7.0,2.0,17.0,,,10.0,427.0,24.0,,1.0,5.0,2.0,3.0,5.0,2.0,14.0,495.0,38.0,83299,4.0,304.0,1.0,5.0,,,335.0,9.0,,1.0,,5.0,6.0,52.0,,1.0,3.0,2.0,24.0,4.0,6.0,,,56.0,449.0,17.0,16.0,2.0,3.0,4.0,61.0,,,0.0,,4.0,3.0,3.0,,1.0,1.0,0.0,2.0,2.0,,3.0,61.5,13.0,1.0,6.0,,,3.0,6.0,36.0,4.0,,519.0,,10.0,11.0,14.0,3.0,,23.0,2.0,2.0,197.0,4.0,13.0,11.0,64.0,22.0,,5.0,24.0,1.0,,9.0,5.0,19.0,,5.0,4.0,,,,,,,1.0,3.0,2.0,,,,,,,1.0,,,,,2.0,1.0,1.0,,1.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,2367599,2023-09-30 12:30:00,"Villa Park, Birmingham",40636,Away,Brighton and Hove Albion,Aston Villa,1,6,L,0,3,0,0,1.0,2.0,1.0,44.0,1.0,4.0,18.0,12.0,3.0,6.0,8.0,4.0,,125.0,,2.0,10.0,1.0,2.0,10.0,,3.0,150.0,106.0,56.0,11.0,1.0,5.0,1.0,,,1.0,1.0,,10.0,,13.0,1.0,12.0,3.0,6.0,27.0,195.0,1.0,,0.0,114.0,21.0,,,1.0,53.0,32.0,7.0,92.0,7.0,14.0,3.0,4.0,1.0,106.0,3.0,15.0,1.0,,151.0,695.0,9.0,2.0,22.0,,,8.0,431.0,12.0,,3.0,6.0,1.0,4.0,6.0,3.0,12.0,488.0,42.0,83299,4.0,268.0,2.0,2.0,1.0,,285.0,13.0,,,1.0,6.0,5.0,55.0,2.0,6.0,4.0,1.0,12.0,5.0,5.0,2.0,,30.0,461.0,19.0,9.0,,7.0,,53.0,,,0.0,1.0,1.0,4.0,1.0,,6.0,,0.0,2.0,1.0,,1.0,62.0,11.0,1.0,3.0,3.0,1.0,4.0,5.0,36.0,3.0,,518.0,,8.0,10.0,19.0,3.0,,20.0,,2.0,243.0,4.0,4.0,8.0,90.0,23.0,1.0,6.0,19.0,,4.0,10.0,5.0,21.0,1.0,6.0,3.0,,1.0,,,,,1.0,,,,2.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
8,2367609,2023-10-08 14:00:00,"American Express Stadium, Falmer",31752,Home,Brighton and Hove Albion,Liverpool,2,2,D,1,2,0,0,,1.0,1.0,50.0,,3.0,20.0,13.0,5.0,4.0,8.0,2.0,,129.0,1.0,4.0,13.0,2.0,4.0,8.0,,3.0,105.0,112.0,55.0,14.0,3.0,6.0,1.0,,,,1.0,1.0,14.0,,10.0,,13.0,5.0,6.0,28.0,111.0,,,0.0,78.0,12.0,1.0,,1.0,60.0,21.0,5.0,73.0,9.0,16.0,6.0,2.0,2.0,112.0,2.0,10.0,,,111.0,611.0,6.0,2.0,23.0,,,13.0,330.0,24.0,,1.0,6.0,1.0,1.0,5.0,3.0,18.0,390.0,30.0,83299,7.0,248.0,3.0,6.0,1.0,1.0,276.0,7.0,1.0,2.0,1.0,8.0,5.0,47.0,1.0,1.0,3.0,1.0,12.0,4.0,5.0,2.0,,40.0,355.0,20.0,7.0,1.0,10.0,4.0,44.0,,,0.0,2.0,1.0,2.0,1.0,,2.0,1.0,0.0,2.0,1.0,,1.0,46.0,16.0,1.0,5.0,,,3.0,6.0,24.0,8.0,1.0,418.0,1.0,13.0,10.0,12.0,5.0,,22.0,2.0,3.0,156.0,9.0,6.0,5.0,61.0,12.0,1.0,6.0,17.0,,2.0,7.0,3.0,25.0,1.0,8.0,8.0,1.0,,,1.0,,,,,2.0,1.0,1.0,1.0,,,,,,2.0,1.0,2.0,2.0,,,,1.0,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
9,2367623,2023-10-21 15:00:00,"Etihad Stadium, Manchester",53466,Away,Brighton and Hove Albion,Manchester City,1,2,L,0,2,0,1,,2.0,1.0,44.0,,,16.0,16.0,1.0,2.0,4.0,3.0,,144.0,,1.0,7.0,1.0,1.0,4.0,,3.0,125.0,97.0,32.0,5.0,,6.0,1.0,,,,2.0,1.0,7.0,,5.0,1.0,16.0,1.0,7.0,29.0,136.0,,,0.0,80.0,11.0,,,2.0,40.0,41.0,2.0,100.0,6.0,19.0,1.0,2.0,,97.0,2.0,6.0,1.0,,137.0,642.0,3.0,4.0,11.0,,,12.0,425.0,18.0,,,6.0,,2.0,1.0,2.0,11.0,485.0,31.0,83299,2.0,308.0,2.0,2.0,,,331.0,9.0,,1.0,,9.0,7.0,41.0,2.0,1.0,5.0,1.0,11.0,4.0,7.0,,,31.0,443.0,9.0,10.0,1.0,,1.0,41.0,,1.0,0.0,1.0,2.0,2.0,1.0,,2.0,2.0,0.0,,,1.0,1.0,45.5,10.0,1.0,2.0,,,5.0,,21.0,2.0,,506.0,,12.0,9.0,12.0,2.0,,16.0,1.0,2.0,182.0,2.0,7.0,6.0,59.0,17.0,1.0,6.0,10.0,,1.0,4.0,5.0,12.0,1.0,9.0,2.0,1.0,,,1.0,,,,2.0,1.0,1.0,2.0,,,,,,2.0,,,,,,1.0,1.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
10,2367631,2023-10-29 14:00:00,"American Express Stadium, Falmer",31550,Home,Brighton and Hove Albion,Fulham,1,1,D,1,0,0,0,1.0,2.0,,64.0,,3.0,15.0,10.0,8.0,9.0,10.0,4.0,2.0,221.0,,4.0,6.0,1.0,3.0,11.0,,7.0,245.0,136.0,48.0,18.0,,10.0,4.0,1.0,1.0,1.0,3.0,,15.0,,15.0,2.0,10.0,3.0,4.0,27.0,279.0,1.0,,0.0,161.0,12.0,,2.0,2.0,86.0,43.0,8.0,130.0,12.0,11.0,8.0,3.0,4.0,136.0,4.0,5.0,,,227.0,999.0,9.0,2.0,33.0,2.0,1.0,6.0,728.0,24.0,1.0,1.0,7.0,1.0,0.0,1.0,3.0,14.0,803.0,47.0,83299,5.0,471.0,4.0,7.0,,,498.0,5.0,,,1.0,6.0,7.0,57.0,,,5.0,1.0,19.0,5.0,7.0,3.0,,32.0,746.0,8.0,9.0,1.0,9.0,3.0,68.0,,,0.0,,3.0,2.0,,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,71.1,12.0,,8.0,3.0,,5.0,3.0,52.0,7.0,,823.0,,6.0,13.0,12.0,8.0,,22.0,1.0,3.0,340.0,7.0,4.0,13.0,124.0,25.0,3.0,7.0,21.0,,,14.0,5.0,20.0,3.0,6.0,7.0,1.0,1.0,,,,,,1.0,2.0,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,
