gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,attGoalLowCentre,fouledFinalThird,accuratePullBack,attIboxTarget,shotFastbreak,postScoringAtt,cleanSheet,penaltyWon,totalFastbreak,freekickCross,goodHighClaim,contentiousDecision,attPostLeft,hitWoodwork,attMissHighLeft,attRfGoal,goalKicks,totalOffside,accurateGoalKicks,attMissHigh,attPenGoal,attFastbreak,punches,attIboxGoal,attOboxPost,goalAssistIntentional,totalHighClaim,handBall,attIboxPost,attSvHighLeft,midfielderGoals,attGoalHighCentre,attHdTarget,accurateFreekickCross,errorLeadToShot,ownGoals,attPostHigh,attPostRight,attIboxOwnGoal,attHdGoal,ptsDroppedWinningPos,attFreekickTotal,freekickTotal,shieldBallOop,attSvHighCentre,attFreekickMiss,errorLeadToGoal,ptsGainedLosingPos,attCmissHigh,attSvLowRight,foulThrowIn,accurateKeeperSweeper,totalKeeperSweeper,attCmissHighLeft,attGoalHighRight,attOneOnOne,secondYellow,attCmissRight,attPenMiss,attFreekickTarget,winningGoal,keeperGoals,subsGoals,defenderGoals,attGoalHighLeft,attObpGoal,attFreekickGoal,attSvHighRight,attHdPost,attLgCentre,goalAssistSetplay,goalAssistDeadball,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,attPenPost,attObxLeft,attObxdRight
11,2128387,2020-12-07 20:00:00,"American Express Stadium, Falmer",2000.0,Home,Brighton and Hove Albion,Southampton,1,2,L,1,1,0,0,0.0,27.0,63.0,0.0,,,21.0,19.0,1.0,3.0,11.0,1.0,0.0,2.0,136.0,10.0,3.0,15.0,1.0,8.0,4.0,91.0,166.0,60.0,12.0,,22.0,,,1.0,3.0,17.0,11.0,,19.0,3.0,3.0,43.0,125.0,,0.0,0.0,94.0,12.0,,,55.0,47.0,2.0,55.0,2.0,1.0,14.0,18.0,1.0,4.0,1.0,166.0,2.0,7.0,95.0,585.0,6.0,2.0,28.0,10.0,260.0,31.0,6.0,11.0,,3.0,3.0,6.0,30.0,354.0,41.0,,83299,9.0,154.0,2.0,8.0,,2.0,1.0,191.0,5.0,,18.0,59.0,,6.0,0.0,19.0,3.0,57.0,276.0,11.0,11.0,2.0,27.0,,62.0,1.0,0.0,3.0,3.0,1.0,2.0,,0.0,3.0,2.0,47.7,19.0,1.0,2.0,1.0,7.0,,26.0,4.0,1.0,377.0,1.0,10.0,10.0,21.0,8.0,21.0,,7.0,203.0,7.0,3.0,13.0,58.0,21.0,1.0,1.0,11.0,21.0,2.0,9.0,3.0,20.0,1.0,7.0,4.0,,1.0,0.0,0.0,2.0,,3.0,,,,1.0,,2.0,,,,,2.0,1.0,6.0,2.0,4.0,2.0,1.0,,2.0,1.0,,,,,,,0.0,0.0,1.0,2.0,,0.0,,,,0.0,3.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
12,2128401,2020-12-13 19:15:00,"King Power Stadium, Leicester",,Away,Brighton and Hove Albion,Leicester City,0,3,L,0,3,0,0,0.0,24.0,54.0,0.0,,,34.0,11.0,6.0,4.0,6.0,3.0,0.0,2.0,136.0,14.0,3.0,10.0,0.0,9.0,4.0,132.0,120.0,53.0,12.0,4.0,15.0,,,2.0,2.0,14.0,14.0,,11.0,4.0,5.0,40.0,156.0,2.0,0.0,0.0,110.0,10.0,1.0,1.0,41.0,77.0,5.0,81.0,2.0,,10.0,17.0,6.0,3.0,2.0,120.0,1.0,13.0,106.0,629.0,6.0,3.0,11.0,15.0,351.0,22.0,4.0,3.0,,1.0,4.0,4.0,13.0,432.0,56.0,1.0,83299,6.0,219.0,1.0,4.0,,3.0,,243.0,5.0,1.0,17.0,45.0,1.0,7.0,0.0,6.0,2.0,60.0,372.0,8.0,9.0,3.0,16.0,3.0,45.0,,0.0,2.0,9.0,3.0,3.0,1.0,0.0,2.0,2.0,45.9,9.0,2.0,2.0,,8.0,4.0,27.0,5.0,,455.0,,15.0,7.0,23.0,4.0,24.0,1.0,2.0,226.0,6.0,5.0,10.0,72.0,22.0,,2.0,3.0,25.0,3.0,6.0,3.0,15.0,2.0,9.0,5.0,2.0,,0.0,0.0,3.0,,4.0,,,,,,3.0,,,,,,0.0,8.0,1.0,7.0,,0.0,,1.0,0.0,,,,,,,0.0,0.0,,1.0,,0.0,,,,0.0,,,,,1.0,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
13,2128408,2020-12-16 20:00:00,"Craven Cottage, London",,Away,Brighton and Hove Albion,Fulham,0,0,D,0,0,0,0,,31.0,76.0,,,1.0,40.0,5.0,3.0,2.0,5.0,4.0,,3.0,201.0,13.0,4.0,9.0,,7.0,4.0,101.0,195.0,53.0,9.0,,13.0,,,3.0,1.0,23.0,5.0,2.0,5.0,7.0,5.0,58.0,157.0,,,0.0,143.0,11.0,4.0,,81.0,67.0,3.0,67.0,1.0,,16.0,19.0,4.0,4.0,2.0,195.0,2.0,7.0,112.0,689.0,4.0,5.0,17.0,11.0,330.0,26.0,2.0,3.0,,0.0,2.0,3.0,32.0,455.0,75.0,,83299,3.0,195.0,2.0,11.0,,,,229.0,4.0,1.0,19.0,52.0,,4.0,,19.0,2.0,88.0,348.0,14.0,13.0,2.0,9.0,4.0,83.0,,0.0,1.0,1.0,4.0,,1.0,0.0,1.0,3.0,53.6,27.0,1.0,9.0,1.0,4.0,1.0,34.0,8.0,,481.0,,11.0,10.0,22.0,4.0,27.0,3.0,1.0,275.0,4.0,5.0,15.0,71.0,32.0,,1.0,3.0,16.0,,4.0,3.0,15.0,1.0,9.0,8.0,,,,,1.0,,2.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,6.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
14,2128416,2020-12-20 12:00:00,"American Express Stadium, Falmer",2000.0,Home,Brighton and Hove Albion,Sheffield United,1,1,D,0,0,0,1,,27.0,49.0,,2.0,5.0,32.0,6.0,5.0,7.0,16.0,2.0,1.0,2.0,141.0,13.0,12.0,9.0,1.0,18.0,5.0,168.0,138.0,54.0,21.0,3.0,27.0,3.0,,1.0,3.0,37.0,3.0,1.0,6.0,12.0,2.0,38.0,276.0,1.0,,0.0,198.0,9.0,1.0,1.0,61.0,96.0,11.0,62.0,,1.0,25.0,11.0,5.0,6.0,1.0,138.0,2.0,3.0,174.0,726.0,14.0,2.0,39.0,1.0,444.0,24.0,1.0,2.0,,1.0,,7.0,24.0,525.0,53.0,,83299,8.0,199.0,3.0,16.0,1.0,1.0,,221.0,4.0,1.0,11.0,52.0,,7.0,,15.0,2.0,55.0,463.0,11.0,5.0,4.0,12.0,7.0,50.0,1.0,0.0,1.0,2.0,,1.0,2.0,0.0,5.0,6.0,73.5,23.0,4.0,2.0,1.0,8.0,8.0,27.0,14.0,,545.0,,1.0,8.0,15.0,8.0,48.0,7.0,6.0,361.0,6.0,2.0,23.0,157.0,15.0,,,2.0,12.0,1.0,13.0,3.0,13.0,,4.0,14.0,1.0,1.0,,,4.0,,3.0,,1.0,,,,3.0,2.0,,,1.0,,,6.0,1.0,6.0,2.0,,,,1.0,,,2.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
15,2128434,2020-12-27 14:15:00,"London Stadium, London",,Away,Brighton and Hove Albion,West Ham United,2,2,D,1,0,0,0,,31.0,63.0,1.0,,1.0,41.0,17.0,5.0,4.0,8.0,2.0,,1.0,167.0,18.0,3.0,10.0,2.0,10.0,4.0,153.0,147.0,42.0,13.0,4.0,23.0,,,,2.0,13.0,7.0,1.0,17.0,3.0,4.0,46.0,209.0,,,0.0,142.0,8.0,,1.0,84.0,41.0,6.0,79.0,2.0,1.0,10.0,16.0,5.0,5.0,,147.0,,8.0,175.0,748.0,9.0,6.0,22.0,12.0,452.0,26.0,7.0,10.0,,0.0,5.0,4.0,20.0,552.0,56.0,,83299,3.0,262.0,,5.0,,,,294.0,4.0,,16.0,51.0,,5.0,1.0,12.0,3.0,83.0,468.0,5.0,6.0,1.0,23.0,2.0,66.0,1.0,0.0,2.0,5.0,2.0,2.0,1.0,0.0,2.0,2.0,56.4,18.0,1.0,3.0,2.0,5.0,5.0,31.0,4.0,,574.0,,12.0,9.0,17.0,4.0,28.0,1.0,4.0,293.0,7.0,4.0,16.0,96.0,24.0,1.0,2.0,10.0,11.0,2.0,11.0,3.0,15.0,2.0,8.0,4.0,,2.0,,,1.0,,1.0,,,,,,,,1.0,,,,2.0,7.0,1.0,3.0,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
16,2128436,2020-12-29 18:00:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Arsenal,0,1,L,0,0,0,0,,26.0,64.0,,,3.0,35.0,7.0,4.0,2.0,9.0,2.0,,2.0,169.0,9.0,8.0,13.0,,10.0,2.0,124.0,122.0,58.0,13.0,3.0,12.0,1.0,,,1.0,27.0,10.0,,7.0,4.0,7.0,40.0,191.0,,,0.0,132.0,11.0,,1.0,74.0,66.0,7.0,94.0,,1.0,23.0,20.0,4.0,4.0,1.0,122.0,,9.0,105.0,661.0,8.0,6.0,23.0,7.0,394.0,22.0,5.0,5.0,,2.0,2.0,3.0,23.0,478.0,55.0,1.0,83299,5.0,221.0,,17.0,2.0,,,248.0,4.0,1.0,20.0,37.0,1.0,7.0,,4.0,2.0,62.0,404.0,4.0,5.0,2.0,17.0,6.0,61.0,,0.0,,4.0,2.0,1.0,1.0,0.0,6.0,2.0,49.7,22.0,2.0,8.0,1.0,7.0,6.0,39.0,5.0,,492.0,,7.0,6.0,20.0,5.0,29.0,2.0,4.0,271.0,7.0,6.0,24.0,93.0,25.0,,1.0,5.0,17.0,1.0,7.0,3.0,17.0,1.0,8.0,5.0,,,,,1.0,,2.0,,,,,,2.0,2.0,1.0,,,1.0,,8.0,,5.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2128446,2021-01-02 17:30:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Wolverhampton Wanderers,3,3,D,1,3,0,0,,28.0,58.0,2.0,1.0,4.0,28.0,11.0,3.0,3.0,10.0,2.0,,1.0,161.0,12.0,8.0,7.0,3.0,10.0,4.0,136.0,117.0,54.0,13.0,2.0,9.0,1.0,1.0,1.0,,19.0,9.0,,11.0,5.0,1.0,48.0,213.0,,,0.0,136.0,13.0,1.0,,60.0,69.0,9.0,97.0,1.0,,14.0,16.0,3.0,2.0,1.0,117.0,1.0,8.0,154.0,720.0,7.0,1.0,29.0,15.0,460.0,19.0,2.0,9.0,2.0,2.0,3.0,1.0,17.0,533.0,69.0,,83299,5.0,269.0,1.0,11.0,1.0,,1.0,282.0,7.0,1.0,16.0,51.0,,4.0,1.0,15.0,4.0,53.0,474.0,7.0,16.0,1.0,6.0,4.0,59.0,,0.0,1.0,8.0,1.0,3.0,1.0,0.0,5.0,2.0,54.5,15.0,,3.0,1.0,4.0,6.0,40.0,5.0,1.0,548.0,1.0,15.0,8.0,18.0,3.0,35.0,3.0,1.0,285.0,8.0,,19.0,85.0,31.0,2.0,2.0,9.0,21.0,3.0,8.0,3.0,12.0,2.0,10.0,5.0,,2.0,,,3.0,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,,,3.0,,2.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,
18,2128465,2021-01-13 18:00:00,"Etihad Stadium, Manchester",,Away,Brighton and Hove Albion,Manchester City,0,1,L,0,1,0,0,,24.0,63.0,,1.0,,20.0,17.0,3.0,1.0,2.0,5.0,,1.0,135.0,9.0,1.0,11.0,,4.0,1.0,99.0,125.0,46.0,5.0,1.0,16.0,,,1.0,,15.0,15.0,1.0,17.0,4.0,2.0,37.0,121.0,,,0.0,87.0,12.0,3.0,,42.0,48.0,1.0,57.0,5.0,1.0,11.0,20.0,3.0,1.0,1.0,125.0,,13.0,93.0,544.0,4.0,4.0,12.0,11.0,284.0,30.0,1.0,10.0,,2.0,6.0,3.0,12.0,364.0,34.0,,83299,,178.0,,9.0,,,1.0,214.0,8.0,2.0,20.0,61.0,,3.0,,6.0,3.0,48.0,298.0,4.0,18.0,,14.0,1.0,42.0,,0.0,1.0,8.0,4.0,1.0,2.0,0.0,1.0,,34.9,12.0,,7.0,1.0,3.0,1.0,25.0,4.0,1.0,384.0,,11.0,10.0,17.0,3.0,15.0,,2.0,185.0,4.0,1.0,10.0,56.0,21.0,,1.0,10.0,21.0,1.0,4.0,3.0,17.0,1.0,7.0,4.0,,,,,1.0,,,,,,,,1.0,,,,,1.0,,12.0,2.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2128469,2021-01-16 15:00:00,"Elland Road, Leeds",,Away,Brighton and Hove Albion,Leeds United,1,0,W,1,0,0,0,,35.0,70.0,1.0,,1.0,27.0,23.0,2.0,3.0,5.0,2.0,,,147.0,21.0,,9.0,1.0,6.0,2.0,62.0,145.0,40.0,7.0,1.0,14.0,2.0,1.0,,1.0,14.0,3.0,1.0,23.0,2.0,1.0,30.0,120.0,1.0,,0.0,121.0,9.0,,,41.0,33.0,3.0,45.0,2.0,,12.0,18.0,2.0,1.0,,145.0,1.0,4.0,51.0,480.0,5.0,7.0,17.0,13.0,197.0,34.0,9.0,15.0,1.0,1.0,2.0,3.0,27.0,275.0,56.0,,83299,1.0,91.0,,10.0,,1.0,,112.0,3.0,1.0,18.0,54.0,1.0,2.0,1.0,14.0,3.0,68.0,211.0,8.0,18.0,,28.0,,68.0,,0.0,,5.0,2.0,,3.0,0.0,,,33.4,17.0,,5.0,,2.0,2.0,35.0,2.0,,305.0,,13.0,8.0,14.0,3.0,29.0,,3.0,207.0,4.0,1.0,14.0,70.0,21.0,1.0,3.0,15.0,10.0,,6.0,3.0,14.0,3.0,10.0,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,2.0,,,1.0,,1.0,11.0,,6.0,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2128476,2021-01-27 19:30:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Fulham,0,0,D,0,0,0,0,,36.0,65.0,,,4.0,25.0,6.0,4.0,1.0,12.0,2.0,,3.0,163.0,20.0,8.0,13.0,,15.0,5.0,90.0,176.0,78.0,16.0,2.0,26.0,,,4.0,,34.0,14.0,1.0,6.0,10.0,5.0,36.0,185.0,,,0.0,153.0,10.0,,,57.0,66.0,11.0,58.0,2.0,4.0,24.0,29.0,4.0,3.0,1.0,176.0,3.0,8.0,100.0,627.0,12.0,5.0,38.0,14.0,279.0,16.0,7.0,2.0,,2.0,3.0,4.0,22.0,391.0,66.0,,83299,11.0,116.0,3.0,18.0,,3.0,,139.0,7.0,,29.0,58.0,,1.0,,10.0,2.0,64.0,293.0,14.0,11.0,3.0,25.0,2.0,72.0,,0.0,2.0,,3.0,,,0.0,6.0,5.0,49.5,17.0,3.0,8.0,,1.0,6.0,29.0,10.0,,411.0,,14.0,8.0,13.0,5.0,42.0,2.0,4.0,306.0,10.0,3.0,28.0,99.0,36.0,,4.0,2.0,23.0,,10.0,1.0,17.0,4.0,16.0,10.0,,,,,5.0,,4.0,1.0,,1.0,,1.0,3.0,,,,,,,8.0,3.0,6.0,1.0,,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
21,2128487,2021-01-31 19:15:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Tottenham Hotspur,1,0,W,1,0,0,0,,36.0,75.0,,2.0,3.0,19.0,15.0,5.0,2.0,11.0,4.0,,3.0,161.0,21.0,9.0,7.0,1.0,16.0,5.0,97.0,138.0,44.0,16.0,1.0,11.0,,1.0,3.0,1.0,26.0,12.0,1.0,15.0,8.0,6.0,33.0,188.0,,,0.0,155.0,11.0,1.0,,60.0,63.0,9.0,54.0,1.0,4.0,18.0,16.0,5.0,5.0,3.0,138.0,1.0,3.0,95.0,619.0,13.0,2.0,49.0,21.0,317.0,30.0,4.0,6.0,1.0,2.0,3.0,7.0,16.0,390.0,49.0,,83299,7.0,148.0,1.0,11.0,,,,160.0,9.0,2.0,16.0,51.0,,5.0,1.0,21.0,5.0,48.0,327.0,11.0,16.0,2.0,14.0,4.0,64.0,,0.0,3.0,2.0,2.0,,2.0,0.0,7.0,3.0,43.2,13.0,2.0,6.0,3.0,5.0,4.0,26.0,9.0,,407.0,,21.0,7.0,11.0,7.0,47.0,2.0,3.0,273.0,11.0,5.0,7.0,113.0,32.0,1.0,2.0,6.0,19.0,,12.0,3.0,13.0,2.0,11.0,9.0,,,1.0,,3.0,1.0,3.0,2.0,1.0,1.0,,2.0,2.0,,,1.0,1.0,,1.0,4.0,1.0,,1.0,,2.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
22,2128503,2021-02-03 20:15:00,"Anfield, Liverpool",,Away,Brighton and Hove Albion,Liverpool,1,0,W,0,0,0,0,,28.0,76.0,,1.0,2.0,30.0,29.0,1.0,3.0,12.0,1.0,,1.0,159.0,12.0,6.0,4.0,1.0,10.0,4.0,96.0,142.0,47.0,13.0,,9.0,3.0,1.0,1.0,1.0,12.0,3.0,,29.0,3.0,5.0,36.0,127.0,,,0.0,101.0,6.0,,1.0,58.0,52.0,5.0,62.0,2.0,,9.0,18.0,1.0,3.0,1.0,142.0,1.0,5.0,87.0,590.0,6.0,7.0,19.0,15.0,280.0,38.0,2.0,13.0,1.0,0.0,6.0,5.0,16.0,377.0,55.0,,83299,5.0,181.0,,5.0,1.0,2.0,,218.0,2.0,,18.0,32.0,,6.0,1.0,13.0,6.0,64.0,302.0,12.0,6.0,3.0,23.0,3.0,59.0,,0.0,1.0,6.0,,,5.0,0.0,4.0,5.0,36.6,11.0,3.0,2.0,1.0,6.0,2.0,35.0,3.0,,404.0,,15.0,7.0,17.0,7.0,22.0,2.0,6.0,198.0,5.0,5.0,18.0,57.0,21.0,,3.0,13.0,13.0,,7.0,3.0,9.0,3.0,10.0,3.0,1.0,1.0,1.0,,,,3.0,,,1.0,,,1.0,1.0,,,,,1.0,8.0,3.0,8.0,6.0,,,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2128507,2021-02-06 15:00:00,"Turf Moor, Burnley",,Away,Brighton and Hove Albion,Burnley,1,1,D,1,0,0,0,,28.0,59.0,1.0,2.0,,20.0,20.0,5.0,1.0,5.0,6.0,,1.0,159.0,19.0,3.0,4.0,1.0,8.0,2.0,82.0,131.0,40.0,10.0,2.0,31.0,,,,3.0,14.0,3.0,1.0,20.0,6.0,7.0,29.0,132.0,1.0,,0.0,87.0,10.0,3.0,,51.0,42.0,4.0,59.0,3.0,,8.0,12.0,5.0,3.0,2.0,131.0,,12.0,79.0,537.0,6.0,3.0,11.0,10.0,278.0,25.0,6.0,12.0,1.0,0.0,4.0,4.0,15.0,347.0,47.0,,83299,4.0,158.0,,5.0,,,,183.0,1.0,1.0,6.0,59.0,,7.0,,17.0,8.0,70.0,287.0,8.0,11.0,1.0,28.0,2.0,78.0,1.0,0.0,1.0,8.0,4.0,1.0,1.0,0.0,1.0,2.0,45.5,13.0,1.0,,1.0,7.0,2.0,35.0,7.0,,379.0,,10.0,5.0,13.0,6.0,25.0,2.0,4.0,210.0,7.0,6.0,22.0,52.0,17.0,,4.0,12.0,7.0,1.0,7.0,3.0,7.0,4.0,6.0,7.0,,,,,1.0,,,1.0,,,,1.0,,2.0,,,,,,11.0,,2.0,2.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,0.5506,1.3538,0.319046,0.087066,0.52088,,,
24,2128517,2021-02-13 20:00:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Aston Villa,0,0,D,0,0,0,0,,25.0,55.0,,1.0,5.0,26.0,12.0,11.0,10.0,15.0,1.0,,3.0,165.0,7.0,8.0,5.0,,18.0,9.0,130.0,138.0,47.0,26.0,5.0,10.0,1.0,,2.0,3.0,23.0,8.0,5.0,12.0,7.0,3.0,39.0,204.0,,,0.0,184.0,16.0,,,51.0,77.0,14.0,83.0,,2.0,16.0,20.0,11.0,5.0,1.0,138.0,2.0,1.0,131.0,681.0,17.0,1.0,35.0,8.0,399.0,23.0,3.0,8.0,,2.0,2.0,4.0,26.0,492.0,51.0,,83299,6.0,219.0,2.0,10.0,1.0,1.0,,244.0,8.0,3.0,20.0,40.0,,4.0,,11.0,3.0,64.0,415.0,12.0,6.0,1.0,24.0,3.0,53.0,1.0,0.0,1.0,2.0,,,,0.0,5.0,3.0,58.2,20.0,2.0,9.0,5.0,5.0,10.0,24.0,9.0,,509.0,,8.0,4.0,15.0,7.0,44.0,3.0,6.0,288.0,13.0,3.0,19.0,136.0,18.0,,,8.0,11.0,,19.0,2.0,11.0,,7.0,9.0,5.0,,,,5.0,3.0,4.0,,,1.0,,,1.0,,,,,,,3.0,,3.0,2.0,,,,,,,,2.0,,2.0,,,1.0,,,,,,,,,3.0,3.0,,1.0,1.0,,,1.0,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,2128528,2021-02-22 20:00:00,"American Express Stadium, Falmer",,Home,Brighton and Hove Albion,Crystal Palace,1,2,L,0,1,0,0,,28.0,49.0,,,8.0,33.0,4.0,5.0,6.0,20.0,,1.0,2.0,195.0,10.0,12.0,10.0,1.0,14.0,5.0,201.0,155.0,41.0,25.0,1.0,17.0,3.0,,2.0,3.0,35.0,6.0,,4.0,9.0,2.0,44.0,386.0,2.0,,0.0,232.0,11.0,,2.0,121.0,99.0,6.0,110.0,,4.0,26.0,16.0,5.0,6.0,4.0,155.0,2.0,2.0,209.0,912.0,13.0,3.0,52.0,7.0,612.0,15.0,,2.0,,2.0,,8.0,30.0,700.0,85.0,,83299,13.0,253.0,2.0,18.0,1.0,1.0,,264.0,5.0,,16.0,52.0,1.0,,1.0,16.0,1.0,45.0,627.0,6.0,4.0,1.0,5.0,6.0,80.0,,0.0,,,,2.0,,0.0,9.0,3.0,74.5,27.0,2.0,5.0,1.0,,9.0,65.0,13.0,,715.0,,7.0,6.0,29.0,11.0,60.0,3.0,7.0,486.0,16.0,2.0,14.0,178.0,29.0,,,2.0,11.0,2.0,18.0,3.0,26.0,,9.0,13.0,2.0,1.0,1.0,,3.0,,4.0,,,,,,2.0,,,,,,,3.0,3.0,3.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
26,2128545,2021-02-27 15:00:00,"The Hawthorns, West Bromwich",,Away,Brighton and Hove Albion,West Bromwich Albion,0,1,L,0,1,0,0,,32.0,61.0,,,1.0,14.0,19.0,5.0,1.0,10.0,1.0,,6.0,178.0,11.0,1.0,8.0,,8.0,6.0,149.0,147.0,51.0,15.0,1.0,21.0,2.0,,3.0,1.0,17.0,10.0,2.0,19.0,3.0,6.0,34.0,221.0,,,0.0,160.0,13.0,1.0,1.0,45.0,84.0,5.0,71.0,,,14.0,16.0,5.0,3.0,2.0,147.0,1.0,4.0,155.0,738.0,8.0,,27.0,9.0,436.0,20.0,,10.0,,0.0,1.0,3.0,17.0,533.0,65.0,,83299,6.0,233.0,4.0,10.0,,,,264.0,7.0,3.0,16.0,53.0,1.0,10.0,,13.0,2.0,51.0,453.0,8.0,8.0,,13.0,1.0,69.0,,0.0,,7.0,1.0,1.0,,0.0,1.0,1.0,70.1,12.0,1.0,,1.0,10.0,2.0,39.0,4.0,,553.0,,9.0,10.0,13.0,7.0,38.0,,3.0,306.0,13.0,6.0,14.0,111.0,29.0,,1.0,10.0,21.0,1.0,11.0,3.0,11.0,1.0,6.0,4.0,,,,,5.0,2.0,4.0,,2.0,,2.0,,1.0,4.0,2.0,1.0,2.0,1.0,,8.0,,7.0,3.0,,,1.0,,,,4.0,1.0,2.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,2.0,,
