gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,goalsConcededObox,attLfTarget,bigChanceScored,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attRfTarget,goals,attSvLowCentre,attOboxTarget,attOneOnOne,midfielderGoals,contentiousDecision,goalAssist,accurateThroughBall,attRfGoal,totalThroughBall,totalOffside,goalsOpenplay,attObpGoal,attSvLowRight,attIboxGoal,goalAssistIntentional,attBxLeft,forwardGoals,effectiveBlockedCross,attHdGoal,blockedCross,cleanSheet,attSvLowLeft,attAssistSetplay,attFreekickTarget,accurateFlickOn,shieldBallOop,handBall,attLfGoal,goalAssistOpenplay,attMissHighRight,punches,attHdMiss,accuratePullBack,totalPullBack,attGoalLowCentre,postScoringAtt,attIboxPost,attSvHighRight,attOboxGoal,attPostLeft,attHdPost,hitWoodwork,attMissHighLeft,accurateFreekickCross,defenderGoals,attGoalHighLeft,errorLeadToShot,attSvHighLeft,sixYardBlock,errorLeadToGoal,clearanceOffLine,attObxdRight,attObxLeft,attOboxPost,attPostHigh,attemptsIbox,attemptsObox,touchesInOppBox,attCmissLeft,attCmissHigh,attCmissHighRight,attGoalHighRight,penaltyWon,penaltyConceded,attPenGoal,foulThrowIn,penaltyFaced,penGoalsConceded
1,694910,2013-08-17 15:00:00,"Boleyn Ground, London",34977,Away,Cardiff City,West Ham United,0,2,L,0,1,0,0,34.0,1.0,1.0,20.0,29.0,7.0,5.0,2.0,154.0,3.0,4.0,5.0,9.0,2.0,1.0,90.0,149.0,48.0,2.0,12.0,3.0,29.0,1.0,1.0,1.0,1.0,1.0,16.0,7.0,29.0,3.0,3.0,28.0,149.0,0.0,85.0,7.0,1.0,1.0,3.0,2.0,44.0,47.0,4.0,55.0,1.0,5.0,13.0,11.0,2.0,3.0,5.0,149.0,1.0,10.0,86.0,561.0,9.0,6.0,1.0,5.0,280.0,13.0,4.0,16.0,1.0,1.0,5.0,5.0,28.0,370.0,58.0,77877,3.0,142.0,1.0,7.0,1.0,173.0,1.0,11.0,15.0,57.0,6.0,10.0,8.0,6.0,1.0,62.0,288.0,10.0,12.0,25.0,80.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,1.0,56.4,20.0,1.0,1.0,1.0,6.0,4.0,32.0,3.0,2.0,385.0,5.0,2.0,7.0,8.0,7.0,18.0,1.0,2.0,228.0,6.0,3.0,23.0,47.0,11.0,16.0,11.0,2.0,9.0,3.0,8.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694912,2013-08-25 16:00:00,"Cardiff City Stadium, Cardiff",27068,Home,Cardiff City,Manchester City,3,2,W,0,0,0,0,34.0,1.0,,16.0,36.0,3.0,2.0,3.0,113.0,4.0,7.0,2.0,5.0,2.0,6.0,61.0,121.0,42.0,1.0,9.0,1.0,21.0,2.0,,,,,10.0,9.0,35.0,3.0,2.0,16.0,98.0,0.0,66.0,2.0,,,1.0,2.0,26.0,60.0,4.0,42.0,4.0,2.0,7.0,13.0,1.0,1.0,1.0,120.0,2.0,12.0,48.0,450.0,3.0,4.0,,15.0,182.0,17.0,5.0,22.0,,0.0,4.0,1.0,18.0,248.0,44.0,77877,1.0,97.0,2.0,5.0,,110.0,1.0,13.0,14.0,38.0,2.0,6.0,4.0,4.0,,48.0,191.0,9.0,3.0,27.0,70.0,,0.0,,8.0,2.0,2.0,0.0,2.0,1.0,30.0,10.0,,,,3.0,1.0,21.0,3.0,2.0,264.0,15.0,1.0,11.0,4.0,2.0,5.0,2.0,1.0,164.0,5.0,2.0,11.0,41.0,10.0,22.0,16.0,1.0,6.0,3.0,8.0,6.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694921,2013-08-31 15:00:00,"Cardiff City Stadium, Cardiff",27344,Home,Cardiff City,Everton,0,0,D,0,0,0,0,45.0,2.0,,13.0,38.0,4.0,3.0,3.0,119.0,2.0,12.0,1.0,2.0,,1.0,71.0,127.0,52.0,1.0,4.0,,17.0,,,,1.0,2.0,13.0,19.0,38.0,4.0,5.0,30.0,117.0,0.0,79.0,11.0,1.0,1.0,1.0,1.0,27.0,57.0,,46.0,,,9.0,9.0,1.0,2.0,3.0,127.0,,6.0,66.0,501.0,1.0,6.0,,19.0,224.0,18.0,5.0,19.0,1.0,1.0,5.0,2.0,16.0,291.0,46.0,77877,,113.0,,6.0,1.0,131.0,5.0,9.0,13.0,55.0,1.0,7.0,7.0,8.0,1.0,45.0,228.0,7.0,12.0,24.0,66.0,,0.0,3.0,5.0,1.0,,0.0,2.0,,37.0,9.0,,2.0,,2.0,,22.0,4.0,1.0,302.0,19.0,,11.0,10.0,3.0,7.0,,,184.0,1.0,5.0,11.0,51.0,20.0,19.0,23.0,,1.0,3.0,16.0,4.0,4.0,,,,,,,,1.0,,,1.0,,,,,1.0,,2.0,4.0,,,,,,,,6.0,,6.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694934,2013-09-14 15:00:00,"The MKM Stadium, Hull",21949,Away,Cardiff City,Hull City,1,1,D,0,1,0,0,43.0,2.0,,36.0,39.0,7.0,4.0,4.0,184.0,5.0,6.0,1.0,7.0,1.0,2.0,115.0,147.0,46.0,1.0,10.0,5.0,19.0,,,,1.0,1.0,14.0,5.0,39.0,2.0,5.0,32.0,193.0,0.0,155.0,9.0,3.0,,2.0,,55.0,52.0,4.0,77.0,1.0,1.0,12.0,8.0,1.0,5.0,1.0,147.0,2.0,9.0,129.0,705.0,6.0,14.0,,17.0,396.0,12.0,10.0,22.0,1.0,2.0,8.0,3.0,24.0,497.0,68.0,77877,3.0,215.0,1.0,5.0,1.0,238.0,2.0,8.0,11.0,45.0,12.0,15.0,9.0,8.0,,69.0,403.0,7.0,5.0,35.0,92.0,,0.0,2.0,6.0,2.0,1.0,0.0,5.0,2.0,54.0,23.0,,,,13.0,5.0,47.0,2.0,,505.0,17.0,,12.0,13.0,3.0,22.0,,2.0,281.0,4.0,4.0,24.0,103.0,16.0,22.0,10.0,1.0,8.0,3.0,7.0,2.0,2.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,3.0,,1.0,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694941,2013-09-22 16:00:00,"Cardiff City Stadium, Cardiff",27815,Home,Cardiff City,Tottenham Hotspur,0,1,L,0,0,0,0,47.0,6.0,,9.0,51.0,3.0,2.0,11.0,135.0,1.0,5.0,1.0,5.0,,,53.0,149.0,58.0,,6.0,2.0,21.0,,,,,1.0,11.0,18.0,51.0,2.0,5.0,31.0,96.0,0.0,89.0,7.0,8.0,,1.0,2.0,35.0,51.0,1.0,51.0,3.0,,9.0,9.0,,,1.0,149.0,,14.0,49.0,510.0,5.0,9.0,,15.0,181.0,18.0,5.0,30.0,,1.0,8.0,4.0,19.0,279.0,46.0,77877,3.0,90.0,1.0,8.0,1.0,108.0,3.0,9.0,10.0,50.0,8.0,6.0,15.0,5.0,3.0,49.0,185.0,7.0,10.0,35.0,73.0,,0.0,2.0,12.0,5.0,1.0,0.0,,,36.3,17.0,,6.0,,8.0,2.0,22.0,2.0,2.0,288.0,15.0,,11.0,9.0,4.0,14.0,1.0,3.0,191.0,4.0,4.0,23.0,48.0,16.0,30.0,23.0,1.0,5.0,2.0,9.0,4.0,2.0,,,,,,,,,,,,1.0,,1.0,,,,,6.0,,,,,,,,4.0,,4.0,,,,,3.0,,3.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694953,2013-09-28 15:00:00,"Craven Cottage, London",23020,Away,Cardiff City,Fulham,2,1,W,1,1,0,0,47.0,2.0,2.0,29.0,35.0,9.0,7.0,4.0,166.0,13.0,7.0,2.0,16.0,,5.0,102.0,124.0,58.0,2.0,22.0,3.0,27.0,3.0,,,,2.0,30.0,10.0,35.0,8.0,13.0,24.0,194.0,0.0,136.0,14.0,2.0,,1.0,2.0,55.0,64.0,5.0,64.0,,2.0,22.0,16.0,2.0,7.0,5.0,124.0,1.0,4.0,98.0,645.0,13.0,7.0,2.0,8.0,342.0,16.0,7.0,19.0,,1.0,1.0,11.0,20.0,413.0,62.0,77877,10.0,171.0,1.0,14.0,1.0,189.0,,16.0,8.0,51.0,4.0,11.0,5.0,4.0,3.0,53.0,352.0,14.0,5.0,26.0,70.0,,0.0,3.0,11.0,2.0,1.0,0.0,9.0,6.0,51.4,19.0,,1.0,,4.0,5.0,38.0,10.0,2.0,430.0,8.0,1.0,8.0,15.0,12.0,25.0,4.0,6.0,271.0,9.0,11.0,23.0,97.0,23.0,19.0,16.0,,13.0,3.0,9.0,8.0,10.0,1.0,,,,,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,,,,1.0,,2.0,1.0,1.0,2.0,,6.0,1.0,6.0,,,2.0,,2.0,1.0,1.0,1.0,,3.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,694961,2013-10-05 15:00:00,"Cardiff City Stadium, Cardiff",27538,Home,Cardiff City,Newcastle United,1,2,L,0,2,0,0,56.0,3.0,,27.0,22.0,3.0,2.0,8.0,170.0,5.0,11.0,1.0,7.0,,2.0,126.0,169.0,53.0,,8.0,,27.0,1.0,,1.0,1.0,1.0,23.0,15.0,22.0,3.0,8.0,35.0,190.0,0.0,132.0,11.0,6.0,,1.0,1.0,35.0,77.0,2.0,59.0,1.0,2.0,20.0,18.0,,7.0,3.0,169.0,2.0,10.0,122.0,707.0,5.0,6.0,,11.0,367.0,20.0,4.0,12.0,1.0,1.0,5.0,5.0,35.0,465.0,72.0,77877,4.0,188.0,2.0,12.0,,207.0,3.0,18.0,7.0,64.0,15.0,18.0,10.0,5.0,,55.0,373.0,8.0,8.0,18.0,81.0,,0.0,,3.0,5.0,2.0,0.0,4.0,1.0,57.3,28.0,,2.0,,15.0,,36.0,3.0,1.0,477.0,11.0,,14.0,13.0,6.0,16.0,1.0,3.0,293.0,5.0,8.0,14.0,77.0,16.0,12.0,20.0,,7.0,3.0,16.0,8.0,3.0,2.0,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,4.0,,6.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
8,694972,2013-10-19 15:00:00,"Stamford Bridge, London",41475,Away,Cardiff City,Chelsea,1,4,L,1,1,0,0,46.0,2.0,2.0,11.0,31.0,6.0,4.0,3.0,118.0,4.0,8.0,1.0,9.0,,3.0,52.0,140.0,42.0,,13.0,4.0,14.0,2.0,,,1.0,,23.0,10.0,31.0,8.0,8.0,25.0,118.0,0.0,103.0,5.0,2.0,,1.0,,45.0,45.0,6.0,52.0,1.0,1.0,15.0,7.0,,5.0,2.0,140.0,,8.0,58.0,476.0,7.0,5.0,1.0,8.0,198.0,16.0,4.0,15.0,1.0,2.0,4.0,3.0,23.0,260.0,60.0,77877,4.0,93.0,,9.0,3.0,107.0,,7.0,15.0,41.0,1.0,8.0,12.0,3.0,2.0,36.0,207.0,12.0,9.0,23.0,66.0,,0.0,2.0,6.0,1.0,4.0,0.0,3.0,2.0,35.1,13.0,,2.0,,1.0,6.0,23.0,9.0,,280.0,8.0,,11.0,12.0,4.0,18.0,1.0,2.0,196.0,6.0,8.0,10.0,63.0,18.0,15.0,14.0,3.0,8.0,3.0,12.0,5.0,9.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,1.0,,5.0,,5.0,,,2.0,,2.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
9,694986,2013-10-26 15:00:00,"Carrow Road, Norwich",26846,Away,Cardiff City,Norwich City,0,0,D,0,0,0,0,51.0,5.0,,17.0,56.0,3.0,3.0,10.0,137.0,3.0,6.0,2.0,3.0,,4.0,76.0,126.0,53.0,1.0,6.0,1.0,26.0,2.0,,1.0,1.0,,13.0,15.0,56.0,2.0,8.0,24.0,115.0,0.0,104.0,10.0,8.0,,1.0,2.0,22.0,72.0,2.0,64.0,1.0,1.0,11.0,13.0,1.0,3.0,,126.0,1.0,18.0,61.0,565.0,2.0,14.0,,14.0,253.0,25.0,4.0,26.0,1.0,1.0,8.0,1.0,17.0,327.0,48.0,77877,2.0,148.0,1.0,7.0,,168.0,,13.0,16.0,55.0,5.0,9.0,13.0,5.0,,44.0,260.0,8.0,13.0,24.0,60.0,,0.0,1.0,13.0,5.0,,0.0,2.0,1.0,39.5,12.0,,1.0,,5.0,1.0,22.0,2.0,2.0,338.0,14.0,,6.0,11.0,1.0,16.0,1.0,1.0,183.0,2.0,7.0,23.0,69.0,17.0,26.0,17.0,,4.0,3.0,9.0,9.0,2.0,,2.0,,,,,,2.0,,1.0,2.0,,,,,,,,3.0,,,1.0,,,,,8.0,,8.0,1.0,,1.0,,6.0,2.0,1.0,,,,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
10,694991,2013-11-03 16:00:00,"Cardiff City Stadium, Cardiff",27463,Home,Cardiff City,Swansea City,1,0,W,0,0,0,1,45.0,2.0,1.0,32.0,26.0,5.0,3.0,3.0,144.0,3.0,6.0,2.0,5.0,,3.0,95.0,143.0,48.0,2.0,9.0,2.0,25.0,1.0,,,1.0,1.0,18.0,14.0,26.0,4.0,10.0,35.0,154.0,0.0,114.0,11.0,3.0,1.0,,2.0,49.0,63.0,2.0,89.0,2.0,1.0,14.0,15.0,2.0,3.0,2.0,143.0,,5.0,101.0,615.0,4.0,9.0,,14.0,328.0,18.0,10.0,18.0,1.0,1.0,3.0,3.0,27.0,415.0,63.0,77877,1.0,188.0,,11.0,1.0,210.0,1.0,15.0,8.0,53.0,2.0,10.0,5.0,4.0,,61.0,339.0,6.0,5.0,33.0,69.0,,0.0,2.0,3.0,1.0,,0.0,2.0,2.0,45.3,23.0,,6.0,1.0,2.0,3.0,33.0,6.0,2.0,429.0,14.0,,11.0,18.0,3.0,13.0,1.0,1.0,237.0,4.0,10.0,18.0,72.0,17.0,18.0,18.0,,5.0,3.0,10.0,6.0,6.0,,2.0,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,3.0,,,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,1.0,3.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
