gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,winningGoal,divingSave,totalFastbreak,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateThroughBall,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,attCmissHighRight,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,savedObox,attRfTarget,accuratePullBack,attOboxBlocked,attBxRight,accurateKeeperSweeper,totalCornersIntobox,cleanSheet,attSvLowLeft,freekickCross,attHdTarget,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,sixYardBlock,attMissHigh,attCorner,punches,accurateFlickOn,shieldBallOop,attHdTotal,attHdMiss,accurateCornersIntobox,goalAssistSetplay,goalAssistOpenplay,attMissRight,goalAssist,goalAssistIntentional,attSvHighCentre,goalAssistDeadball,attOboxTarget,penaltyWon,overrun,clearanceOffLine,attSvHighRight,hitWoodwork,attSetpiece,ptsDroppedWinningPos,errorLeadToGoal,attObxdLeft,attCmissHigh,attFreekickTarget,postScoringAtt,attIboxPost,attPostLeft,attHdPost,attOboxPost,attPostRight,attCmissRight,secondYellow,attSvHighLeft,attOneOnOne,forwardGoals,goalFastbreak,accurateFreekickCross,attCmissHighLeft,attPostHigh,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickPost,attFreekickMiss,attObxLeft,attPenTarget,fastestPlayer,attIboxOwnGoal
11,2561997,2025-11-08 20:00:00,"Stamford Bridge, London",39467.0,Home,Chelsea,Wolverhampton Wanderers,3,0,W,0.0,0.0,0,0,0.0,,,3.0,42.0,0.0,0.0,4.0,3.1901,25.0,15.0,6.0,5.0,13.0,,0.0,153.0,1.0,4.0,9.0,3.0,3.0,14.0,8.0,181.0,118.0,38.0,1.0,20.0,9.0,3.0,1.0,2.0,2.0,26.0,8.0,0.0,15.0,16.0,28.0,,327.0,1.0,0.0,0.0,227.0,12.0,,0.0,,2.0,2.0,1.0,85.0,73.0,11.0,102.0,1.0,20.0,12.0,7.0,1.0,2.0,0.0,7.0,3.0,118.0,4.0,,1.0,0.0,178.0,772.0,12.0,1.0,36.0,7.0,524.0,15.0,3.0,8.0,1.0,1.0,3.0,2.76337,12.0,592.0,0.0394,70.0,3.0,33.95,493105,7.0,220.0,3.0,13.0,235.0,8.0,108122.63,2.0,3.0,3.0,4.0,35.0,0.0,5.0,1.0,,2.0,3.0,14.0,2.0,2.0,0.0,44.0,543.0,13.0,4.0,,10.0,65.0,1.0,0.0,0.0,,1.0,0.0,0.0,1.0,,3.0,0.0,,0.0,3.0,64.1,11.0,4.0,2.0,2.0,6.0,45.0,10.0,1.0,614.0,7.0,3.0,15.0,6.0,40.0,2.0,405.0,13.0,15.0,7.0,183.0,20.0,2.0,8.0,9.0,1.0,0.0,18.0,5.0,16.0,3.3063,2.0,3.0,10.0,,5.0,1.0,2.0,,,6.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,,,2.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,
12,2562008,2025-11-22 12:30:00,"Turf Moor, Burnley",21499.0,Away,Chelsea,Burnley,2,0,W,1.0,0.0,0,0,0.0,,,2.0,55.0,2.0,0.0,4.0,2.3028,18.0,19.0,5.0,5.0,10.0,2.0,0.0,167.0,0.0,1.0,9.0,2.0,,11.0,5.0,146.0,131.0,52.0,,15.0,14.0,2.0,2.0,,3.0,13.0,9.0,0.0,19.0,14.0,33.0,0.1063,134.0,1.0,0.0,0.0,96.0,8.0,,0.0,,3.0,2.0,1.0,46.0,35.0,8.0,80.0,,5.0,14.0,5.0,,0.0,0.0,3.0,3.0,131.0,2.0,,6.0,0.0,131.0,706.0,8.0,6.0,31.0,12.0,421.0,18.0,3.0,10.0,3.0,3.0,3.0,1.09323,10.0,500.0,,39.0,3.0,35.1,247632,5.0,306.0,,2.0,327.0,5.0,107028.26,1.0,1.0,9.0,6.0,39.0,0.0,9.0,0.0,3.0,4.0,2.0,12.0,2.0,5.0,0.0,46.0,439.0,12.0,1.0,1.0,17.0,81.0,2.0,0.0,0.0,2.0,,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,,55.8,9.0,4.0,2.0,5.0,5.0,39.0,9.0,1.0,524.0,12.0,9.0,15.0,5.0,26.0,2.0,210.0,8.0,12.0,16.0,59.0,24.0,,10.0,15.0,1.0,0.0,12.0,3.0,16.0,1.7171,,9.0,9.0,1.0,3.0,1.0,1.0,2.0,1.0,8.0,1.0,,,,1.0,1.0,,,,3.0,,2.0,,2.0,1.0,1.0,,2.0,,2.0,2.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
13,2562017,2025-11-30 16:30:00,"Stamford Bridge, London",39820.0,Home,Chelsea,Arsenal,1,1,D,0.0,0.0,1,0,0.0,,,,40.0,0.0,1.0,1.0,1.1528,26.0,30.0,5.0,2.0,6.0,3.0,0.0,105.0,0.0,5.0,5.0,1.0,2.0,10.0,4.0,63.0,103.0,58.0,,11.0,12.0,1.0,2.0,,1.0,15.0,6.0,0.0,30.0,9.0,18.0,2.1844,104.0,1.0,0.0,0.0,79.0,12.0,,0.0,2.0,2.0,0.0,2.0,28.0,36.0,6.0,42.0,1.0,12.0,6.0,5.0,,0.0,0.0,3.0,2.0,103.0,1.0,1.0,6.0,0.0,69.0,458.0,8.0,4.0,20.0,6.0,206.0,10.0,10.0,19.0,1.0,1.0,4.0,0.619747,14.0,255.0,,50.0,,31.85,475168,4.0,123.0,1.0,6.0,133.0,8.0,98828.37,0.0,,3.0,8.0,44.0,0.0,,1.0,1.0,7.0,0.0,17.0,2.0,4.0,0.0,61.0,222.0,13.0,5.0,1.0,28.0,57.0,2.0,0.0,0.0,1.0,,0.0,0.0,3.0,2.0,1.0,1.0,,1.0,4.0,38.3,11.0,2.0,,7.0,2.0,27.0,3.0,3.0,279.0,6.0,4.0,10.0,5.0,17.0,3.0,161.0,6.0,6.0,29.0,49.0,16.0,2.0,19.0,13.0,1.0,1.0,8.0,2.0,16.0,0.7947,2.0,3.0,3.0,1.0,2.0,,1.0,1.0,1.0,3.0,,,3.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,2.0,2.0,,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,
14,2562030,2025-12-03 20:15:00,"Elland Road, Leeds",36767.0,Away,Chelsea,Leeds United,1,3,L,0.0,2.0,0,0,1.0,1.0,,1.0,42.0,0.0,1.0,3.0,0.7723,15.0,35.0,3.0,7.0,11.0,2.0,1.0,166.0,0.0,5.0,8.0,1.0,1.0,11.0,2.0,220.0,138.0,51.0,,14.0,14.0,1.0,,1.0,1.0,20.0,11.0,0.0,35.0,16.0,36.0,2.5276,302.0,1.0,0.0,0.0,141.0,13.0,,0.0,2.0,,0.0,1.0,67.0,89.0,7.0,94.0,1.0,18.0,18.0,3.0,,0.0,0.0,7.0,1.0,138.0,1.0,,11.0,1.0,202.0,888.0,9.0,2.0,33.0,3.0,586.0,16.0,1.0,19.0,1.0,2.0,4.0,1.83891,23.0,658.0,,69.0,3.0,32.81,482609,6.0,311.0,,10.0,332.0,6.0,113079.2,0.0,2.0,6.0,8.0,51.0,0.0,6.0,0.0,1.0,4.0,1.0,21.0,6.0,8.0,0.0,35.0,608.0,9.0,4.0,1.0,10.0,77.0,,0.0,0.0,,1.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,0.0,4.0,71.1,20.0,1.0,,4.0,5.0,54.0,2.0,1.0,682.0,3.0,14.0,20.0,7.0,27.0,6.0,370.0,5.0,14.0,18.0,106.0,21.0,1.0,19.0,16.0,0.0,2.0,10.0,5.0,15.0,0.9617,1.0,6.0,2.0,,1.0,1.0,2.0,2.0,3.0,2.0,,,1.0,,,3.0,1.0,1.0,2.0,4.0,,,1.0,2.0,1.0,1.0,,1.0,3.0,1.0,1.0,,,,,3.0,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
15,2562035,2025-12-06 15:00:00,"Vitality Stadium, Bournemouth",11240.0,Away,Chelsea,Bournemouth,0,0,D,0.0,0.0,0,0,0.0,,2.0,,56.0,0.0,0.0,1.0,0.6414,21.0,26.0,5.0,4.0,6.0,5.0,0.0,170.0,0.0,5.0,7.0,0.0,2.0,9.0,4.0,117.0,142.0,61.0,,11.0,17.0,2.0,4.0,,1.0,14.0,9.0,0.0,26.0,17.0,25.0,0.7569,222.0,,0.0,0.0,158.0,13.0,,0.0,3.0,4.0,0.0,2.0,47.0,77.0,5.0,83.0,,14.0,16.0,5.0,,0.0,0.0,9.0,3.0,142.0,,,8.0,0.0,149.0,725.0,9.0,6.0,20.0,10.0,408.0,15.0,11.0,17.0,2.0,2.0,4.0,0.751554,20.0,492.0,,66.0,,33.53,499309,5.0,213.0,,4.0,235.0,6.0,107918.3,0.0,2.0,9.0,8.0,54.0,0.0,2.0,0.0,,4.0,0.0,23.0,5.0,6.0,0.0,55.0,430.0,14.0,7.0,1.0,29.0,80.0,4.0,0.0,0.0,3.0,,0.0,0.0,5.0,4.0,0.0,0.0,,0.0,5.0,60.9,17.0,1.0,,4.0,1.0,50.0,,2.0,519.0,10.0,5.0,12.0,6.0,25.0,2.0,298.0,5.0,15.0,23.0,116.0,36.0,,17.0,17.0,0.0,0.0,11.0,3.0,19.0,0.9232,,9.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,,1.0,1.0,2.0,2.0,1.0,,,,1.0,,,,,2.0,,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
16,2562048,2025-12-13 15:00:00,"Stamford Bridge, London",39552.0,Home,Chelsea,Everton,2,0,W,2.0,0.0,0,0,0.0,,,2.0,52.0,0.0,2.0,2.0,1.2123,22.0,32.0,6.0,8.0,11.0,2.0,2.0,141.0,0.0,3.0,7.0,2.0,2.0,12.0,5.0,151.0,107.0,45.0,1.0,17.0,14.0,1.0,3.0,1.0,3.0,10.0,8.0,0.0,32.0,17.0,23.0,0.7303,166.0,,0.0,0.0,110.0,13.0,,0.0,1.0,4.0,1.0,2.0,39.0,54.0,5.0,91.0,,6.0,21.0,6.0,1.0,0.0,0.0,3.0,3.0,107.0,4.0,,9.0,0.0,154.0,733.0,9.0,2.0,24.0,11.0,461.0,20.0,4.0,18.0,1.0,4.0,7.0,1.13097,8.0,518.0,0.0557,44.0,1.0,34.5,247632,5.0,310.0,3.0,2.0,329.0,10.0,103722.4,0.0,2.0,11.0,8.0,55.0,0.0,3.0,1.0,,5.0,2.0,13.0,2.0,2.0,0.0,44.0,473.0,11.0,6.0,1.0,15.0,69.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,2.0,0.0,,0.0,2.0,57.7,8.0,5.0,2.0,5.0,3.0,48.0,4.0,2.0,537.0,11.0,10.0,16.0,9.0,20.0,6.0,218.0,7.0,16.0,12.0,81.0,22.0,1.0,18.0,15.0,0.0,0.0,13.0,3.0,19.0,2.1978,1.0,11.0,4.0,,2.0,1.0,1.0,1.0,,4.0,1.0,,1.0,1.0,2.0,,,1.0,3.0,3.0,,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,,2.0,,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,
17,2562062,2025-12-20 12:30:00,"St. James' Park, Newcastle",52226.0,Away,Chelsea,Newcastle United,2,2,D,0.0,2.0,0,0,0.0,,1.0,1.0,52.0,1.0,1.0,4.0,1.4446,14.0,24.0,3.0,4.0,10.0,3.0,0.0,152.0,0.0,2.0,9.0,2.0,3.0,11.0,4.0,100.0,127.0,46.0,1.0,13.0,17.0,2.0,2.0,,,16.0,9.0,0.0,24.0,8.0,36.0,2.3162,174.0,3.0,1.0,0.0,110.0,14.0,1.0,0.0,2.0,3.0,1.0,1.0,45.0,49.0,6.0,81.0,1.0,13.0,11.0,3.0,1.0,0.0,0.0,5.0,2.0,127.0,1.0,,9.0,0.0,100.0,605.0,10.0,4.0,26.0,13.0,330.0,15.0,4.0,7.0,6.0,,5.0,0.454214,14.0,405.0,0.0418,46.0,,34.12,225796,4.0,179.0,,6.0,208.0,8.0,107798.64,2.0,2.0,4.0,11.0,48.0,0.0,1.0,0.0,,2.0,1.0,17.0,2.0,5.0,0.0,55.0,351.0,12.0,5.0,1.0,16.0,60.0,2.0,0.0,0.0,,,1.0,0.0,6.0,3.0,1.0,2.0,1.0,0.0,1.0,53.4,14.0,1.0,5.0,2.0,4.0,30.0,4.0,1.0,433.0,13.0,7.0,11.0,5.0,20.0,3.0,241.0,9.0,8.0,15.0,87.0,32.0,4.0,7.0,11.0,0.0,2.0,11.0,2.0,15.0,1.2193,4.0,4.0,4.0,,1.0,,,1.0,2.0,3.0,,1.0,2.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
18,2562068,2025-12-27 17:30:00,"Stamford Bridge, London",39765.0,Home,Chelsea,Aston Villa,1,2,L,1.0,0.0,0,0,0.0,1.0,1.0,1.0,58.0,0.0,0.0,4.0,1.4269,28.0,6.0,6.0,5.0,8.0,6.0,0.0,130.0,1.0,4.0,6.0,1.0,4.0,10.0,3.0,154.0,112.0,51.0,1.0,14.0,9.0,1.0,1.0,1.0,2.0,29.0,19.0,0.0,6.0,9.0,27.0,2.9463,286.0,1.0,0.0,0.0,183.0,16.0,,0.0,5.0,1.0,0.0,1.0,65.0,89.0,6.0,85.0,,25.0,15.0,6.0,1.0,0.0,0.0,16.0,2.0,112.0,2.0,,7.0,0.0,159.0,691.0,9.0,2.0,42.0,9.0,458.0,13.0,4.0,2.0,5.0,2.0,4.0,1.121,6.0,516.0,0.0645,58.0,,32.57,180736,5.0,187.0,1.0,8.0,196.0,7.0,95848.33,1.0,2.0,5.0,1.0,37.0,0.0,,0.0,,7.0,0.0,19.0,4.0,1.0,0.0,45.0,469.0,8.0,6.0,,13.0,65.0,1.0,0.0,0.0,1.0,,0.0,0.0,7.0,5.0,1.0,2.0,,0.0,3.0,62.9,6.0,8.0,1.0,7.0,7.0,50.0,6.0,1.0,528.0,9.0,5.0,18.0,4.0,37.0,2.0,361.0,8.0,8.0,11.0,143.0,28.0,1.0,2.0,26.0,0.0,2.0,12.0,4.0,9.0,2.1436,1.0,5.0,6.0,1.0,1.0,,3.0,1.0,,4.0,,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,3.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
19,2562078,2025-12-30 19:30:00,"Stamford Bridge, London",39622.0,Home,Chelsea,Bournemouth,2,2,D,2.0,2.0,0,0,0.0,,,1.0,51.0,1.0,0.0,8.0,2.1532,21.0,29.0,2.0,4.0,15.0,4.0,1.0,173.0,0.0,8.0,11.0,2.0,3.0,13.0,3.0,153.0,136.0,66.0,,17.0,15.0,1.0,3.0,,2.0,26.0,9.0,1.0,29.0,11.0,26.0,2.0183,306.0,,0.0,0.0,219.0,5.0,1.0,0.0,,3.0,2.0,,79.0,84.0,8.0,106.0,1.0,15.0,16.0,2.0,,0.0,0.0,8.0,1.0,136.0,1.0,1.0,12.0,0.0,131.0,777.0,11.0,5.0,52.0,8.0,465.0,20.0,4.0,16.0,1.0,4.0,5.0,1.76545,17.0,539.0,,64.0,,34.41,247632,12.0,185.0,1.0,7.0,196.0,3.0,107155.9,1.0,5.0,6.0,7.0,45.0,0.0,,0.0,,6.0,1.0,19.0,5.0,4.0,1.0,46.0,483.0,12.0,9.0,1.0,21.0,69.0,3.0,0.0,0.0,,1.0,0.0,0.0,3.0,4.0,2.0,2.0,,0.0,4.0,67.2,15.0,7.0,,6.0,8.0,45.0,12.0,,563.0,8.0,4.0,15.0,6.0,45.0,5.0,393.0,8.0,10.0,26.0,174.0,17.0,,16.0,17.0,0.0,2.0,12.0,5.0,23.0,2.3065,,6.0,12.0,1.0,1.0,,,2.0,,11.0,,1.0,,1.0,1.0,,,1.0,3.0,4.0,,2.0,,5.0,4.0,4.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,2562091,2026-01-04 17:30:00,"Etihad Stadium, Manchester",52503.0,Away,Chelsea,Manchester City,1,1,D,0.0,1.0,0,0,0.0,,1.0,1.0,48.0,1.0,0.0,1.0,1.897,15.0,23.0,,5.0,8.0,2.0,0.0,121.0,0.0,2.0,7.0,1.0,,4.0,3.0,124.0,121.0,39.0,,8.0,10.0,2.0,1.0,,1.0,4.0,10.0,0.0,23.0,10.0,40.0,1.2312,102.0,,0.0,0.0,79.0,14.0,1.0,0.0,1.0,1.0,1.0,,46.0,26.0,1.0,76.0,1.0,3.0,22.0,,,0.0,0.0,,,121.0,1.0,1.0,12.0,0.0,115.0,625.0,4.0,3.0,16.0,14.0,342.0,25.0,2.0,10.0,3.0,5.0,3.0,0.58246,21.0,412.0,,24.0,1.0,33.35,482609,4.0,263.0,2.0,2.0,299.0,8.0,113013.71,1.0,1.0,9.0,7.0,57.0,0.0,4.0,0.0,2.0,6.0,1.0,16.0,2.0,6.0,0.0,35.0,363.0,9.0,9.0,,12.0,35.0,1.0,0.0,0.0,1.0,,0.0,0.0,8.0,1.0,1.0,1.0,,0.0,1.0,42.7,18.0,4.0,1.0,6.0,1.0,18.0,2.0,,436.0,14.0,11.0,22.0,4.0,11.0,4.0,141.0,3.0,10.0,3.0,57.0,11.0,1.0,10.0,20.0,0.0,1.0,8.0,3.0,20.0,1.8509,1.0,9.0,2.0,1.0,1.0,,,,1.0,1.0,,2.0,1.0,,,1.0,2.0,,1.0,,,,3.0,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2562101,2026-01-07 19:30:00,"Craven Cottage, London",26990.0,Away,Chelsea,Fulham,1,2,L,0.0,0.0,1,0,0.0,1.0,2.0,1.0,46.0,1.0,0.0,2.0,1.9258,27.0,30.0,3.0,6.0,11.0,3.0,1.0,131.0,0.0,4.0,7.0,1.0,,10.0,6.0,121.0,117.0,41.0,,14.0,19.0,4.0,2.0,1.0,,22.0,9.0,0.0,30.0,16.0,23.0,1.7623,173.0,,0.0,0.0,105.0,6.0,,0.0,1.0,2.0,0.0,,47.0,51.0,6.0,79.0,1.0,11.0,18.0,3.0,,0.0,0.0,4.0,1.0,117.0,2.0,,9.0,0.0,128.0,641.0,8.0,5.0,25.0,8.0,382.0,19.0,3.0,15.0,3.0,7.0,4.0,0.851344,11.0,437.0,,54.0,1.0,33.07,247632,6.0,223.0,3.0,7.0,240.0,1.0,101458.27,0.0,1.0,9.0,6.0,52.0,0.0,2.0,0.0,2.0,5.0,0.0,11.0,7.0,1.0,0.0,58.0,392.0,11.0,12.0,2.0,17.0,64.0,2.0,0.0,0.0,2.0,,0.0,0.0,2.0,1.0,1.0,2.0,,1.0,2.0,45.0,8.0,5.0,1.0,5.0,3.0,35.0,11.0,,459.0,8.0,12.0,12.0,5.0,32.0,3.0,241.0,5.0,15.0,10.0,72.0,13.0,,15.0,13.0,0.0,2.0,9.0,4.0,11.0,2.3902,,9.0,11.0,2.0,3.0,,1.0,,,11.0,,1.0,,,1.0,,,,2.0,5.0,,3.0,,2.0,2.0,2.0,,,1.0,,,1.0,,1.0,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,
22,2562107,2026-01-17 15:00:00,"Stamford Bridge, London",39704.0,Home,Chelsea,Brentford,2,0,W,1.0,0.0,0,0,0.0,,,1.0,51.0,0.0,1.0,1.0,1.2431,27.0,42.0,2.0,4.0,4.0,6.0,2.0,136.0,0.0,1.0,7.0,2.0,1.0,5.0,2.0,101.0,109.0,45.0,,6.0,12.0,,,,1.0,11.0,9.0,0.0,42.0,14.0,16.0,0.6015,135.0,,0.0,0.0,99.0,7.0,,0.0,1.0,,1.0,3.0,54.0,29.0,3.0,100.0,2.0,10.0,16.0,2.0,,0.0,0.0,3.0,1.0,109.0,1.0,1.0,10.0,0.0,106.0,623.0,4.0,2.0,11.0,11.0,358.0,17.0,9.0,19.0,3.0,5.0,2.0,0.334346,13.0,421.0,,40.0,,33.02,247632,4.0,240.0,1.0,7.0,267.0,1.0,109019.88,0.0,,6.0,6.0,36.0,0.0,,0.0,1.0,5.0,1.0,13.0,5.0,4.0,1.0,55.0,374.0,9.0,3.0,,27.0,54.0,,1.0,0.0,,1.0,0.0,0.0,9.0,4.0,2.0,0.0,,0.0,1.0,45.8,10.0,3.0,,5.0,2.0,31.0,3.0,3.0,443.0,11.0,4.0,8.0,2.0,13.0,1.0,187.0,2.0,13.0,12.0,75.0,18.0,1.0,19.0,17.0,0.0,0.0,5.0,5.0,17.0,1.5914,1.0,6.0,3.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
23,2562119,2026-01-25 14:00:00,"Selhurst Park, London",25163.0,Away,Chelsea,Crystal Palace,3,1,W,1.0,0.0,0,1,0.0,1.0,2.0,3.0,39.0,0.0,1.0,1.0,1.693,31.0,45.0,2.0,4.0,8.0,5.0,2.0,165.0,2.0,5.0,6.0,3.0,1.0,4.0,6.0,163.0,134.0,46.0,,10.0,29.0,2.0,3.0,2.0,1.0,15.0,10.0,0.0,45.0,8.0,32.0,1.9039,141.0,,0.0,0.0,80.0,10.0,,0.0,1.0,4.0,2.0,1.0,53.0,45.0,3.0,92.0,2.0,10.0,13.0,2.0,,0.0,0.0,4.0,1.0,134.0,2.0,1.0,12.0,0.0,170.0,792.0,3.0,3.0,21.0,14.0,488.0,15.0,7.0,29.0,2.0,4.0,1.0,0.520713,16.0,571.0,,35.0,,33.64,247632,6.0,368.0,2.0,6.0,406.0,2.0,106072.19,1.0,,4.0,6.0,63.0,0.0,2.0,0.0,1.0,4.0,2.0,17.0,1.0,6.0,1.0,65.0,504.0,10.0,8.0,,28.0,61.0,3.0,0.0,0.0,,,0.0,0.0,4.0,6.0,3.0,1.0,,0.0,4.0,56.8,13.0,1.0,,4.0,1.0,35.0,5.0,1.0,590.0,14.0,9.0,15.0,3.0,24.0,2.0,199.0,6.0,8.0,15.0,54.0,18.0,3.0,29.0,15.0,0.0,1.0,9.0,5.0,14.0,2.201,3.0,4.0,5.0,,1.0,,,1.0,,5.0,,1.0,,,,,2.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
24,2562127,2026-01-31 17:30:00,"Stamford Bridge, London",39430.0,Home,Chelsea,West Ham United,3,2,W,0.0,2.0,0,1,1.0,,1.0,2.0,49.0,0.0,3.0,3.0,2.6361,30.0,23.0,3.0,2.0,11.0,4.0,0.0,183.0,0.0,6.0,3.0,3.0,4.0,9.0,6.0,228.0,151.0,46.0,2.0,14.0,14.0,1.0,,,,36.0,8.0,0.0,23.0,10.0,20.0,1.0477,352.0,,0.0,0.0,226.0,11.0,3.0,0.0,1.0,,1.0,,102.0,93.0,6.0,105.0,,31.0,23.0,3.0,2.0,0.0,0.0,14.0,,151.0,2.0,,8.0,2.0,205.0,943.0,7.0,3.0,35.0,8.0,622.0,17.0,5.0,8.0,3.0,3.0,3.0,1.51857,17.0,696.0,0.1128,78.0,,32.23,244851,7.0,298.0,2.0,17.0,318.0,2.0,113124.07,1.0,5.0,12.0,5.0,51.0,0.0,,0.0,,8.0,3.0,28.0,3.0,5.0,0.0,45.0,644.0,12.0,11.0,,14.0,71.0,,0.0,0.0,,,0.0,0.0,3.0,3.0,3.0,2.0,,0.0,6.0,70.8,16.0,6.0,1.0,8.0,4.0,55.0,9.0,,721.0,8.0,4.0,12.0,4.0,43.0,3.0,439.0,7.0,10.0,17.0,184.0,18.0,1.0,8.0,14.0,2.0,1.0,10.0,5.0,14.0,2.7004,1.0,12.0,9.0,1.0,1.0,3.0,1.0,,1.0,6.0,,,,1.0,1.0,1.0,2.0,1.0,,1.0,,,,5.0,,1.0,,2.0,2.0,2.0,2.0,1.0,,2.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,
